Rereading the Rabbis; A Woman's Voice.1,Abbreviations and Acronyms
"Rereading the Rabbis; A Woman's Voice, Marriage.61",<b>Conclusions</b>
"Rereading the Rabbis; A Woman's Voice, Marriage.62","This selection of passages dealing with marriage shows us that there were, over time, significant changes in how it was contracted. The father recedes as a key player and the woman, who will be taken in marriage by the man, approaches center stage, becomes the focus of attention. Her consent is required; she may even initiate the betrothal discussions and present the groom with the betrothal moneys. Most important, the bride-price of virgins, which used to be paid in advance, was turned into a lien on the husband’s real assets and deferred to the time of dissolution of the marriage by death or divorce. That, probably more than any of the other changes, transformed marriage from a purchase of “chattel” into a negotiated relationship between a woman who is subordinate and a man who is dominant. Note that it is only she whose rights have to be guaranteed in a <i>ketubah</i>."
"Rereading the Rabbis; A Woman's Voice, Marriage.63","This study is not intended to cover all aspects of marriage as presented in the Talmud. Instead, I have attempted to show, through selection of topics within the general category of marriage, that this institution was undergoing extensive, and perhaps radical, change in the rabbinic period. Although we cannot say that the change approximated treating women equally with men (which is probably the goal of much legislation within Jewish circles today, particularly in the area of marital law), the inescapable conclusion is that the general thrust of rabbinic legislation regarding marriage still seems to have intended to confer, or at least had the effect of conferring, more rights and benefits on women and on men at the same time. This is not a circumstance in which the more they give the woman, the more they deny the man, but rather one in which the more she gains, the more he gains."
"Rereading the Rabbis; A Woman's Voice, Marriage.64",<b>Notes</b>
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.1","S<small>EX CRIMES AGAINST WOMEN</small> is a topic of dispute between the sexes. Men rape and seduce women but, when charged, not only deny having committed the act but even doubt that there is such a thing as forced sex. Women invite sexual attention, men say, but if the women are not satisfied with the outcome, contend they were coerced."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.2","Even the Torah expresses skepticism about some claims of forced sex. Several passages in Deuteronomy (22:23–27) suggest that rape in a city is not possible, for if the victim cries out, she would be saved because her cries would be heard. Outside the city, rape is possible because a victim’s cries would not be heard. Should rape occur, punish the rapist but not the victim(!), because he is like one who murders by ambush, whereas she is blameless (v. 26). Since disbelief about these crimes persists to this very day, with special rules of rape corroboration only now being removed from the books in American and English law, we should note that such doubt is absent from the rabbis’ discussion of this matter. They understand the Torah’s city versus open country opposition metaphorically, distinguishing instead between those instances in which a woman objected but was overcome (“open country”) and those in which she did not object (“city”).<sup>1</sup><i class=""footnote"">See Menahem Elon, <i>Jewish Law, History, Sources, and Principles</i> (Philadelphia: Jewish Publication Society [hereafter, JPS], 1994), 1030–1031, and his references to Philo, who lived in the first half of the first century, and to <i>Sifrei Devarim</i>, Ki Tetzei, sec. 243, ed. Finkelstein and Horowitz (273). See further discussion.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.3","The reason that the rape and seduction of an unbetrothed virgin—seduction being the act of enticing a woman to unlawful sexual intercourse without the use of force—are presented by the Bible as aspects of marital law is that the preferred resolution of these cases is marrying off the victim to the aggressor. This means that rape and seduction, according to the Bible, were primarily crimes against the young woman’s father, for he would lose the anticipated income from his daughter’s virginity. However, by arranging for the seducer or rapist to marry her and pay the father a bride-price for his now not-so-eligible daughter, the matter is fully resolved. Even so, the rabbis introduced far-reaching legislative change, transforming rape and seduction from crimes against a woman’s father into crimes against a young woman herself. The motivation for these changes, although not stated explicitly, is likely to be society’s altered perception of the status of women, the nature of marriage, and women’s role in negotiating it."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.4","By introducing the requirement that the victim consent to marriage with the rapist, the rabbis give her a measure of control over her own future. She can choose either to marry him or not to marry him. This means that rape or sex does not make a marriage, as it did in the Bible. The rabbis thus turn rape into a crime against women, with marriage no longer the only outcome, but one possible outcome. Similarly, by discussing women’s pain in rape, although mediating it through men’s eyes, the rabbis are saying that rape has consequences for women other than lowering their value on the marriage market and limiting their marital prospects."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.5","The issue of consent also underlies the passages that deal with sex with a minor. Since consent has virtually no meaning when speaking of sex between adults and children, it follows that all sex with a minor is forced. The rabbis discourage such activity, such as a father’s marrying off a young daughter, but still find it necessary to discuss the legal consequences of such acts. They go on to say that consent can only be given when one reaches intellectual maturity, not before. For this reason, they make a woman legally independent when she reaches physical and mental maturity <i>(bogeret)</i>. By creating this new category, the <i>bogeret</i>, the rabbis say in a very clear way that women may—and perhaps should—make their own decisions about marriage, that they have the power to choose with whom to live and with whom to engage in sex. This is a far cry from a woman’s being handed over in marriage by her father to her husband."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.6",<b>Rape and Seduction in the Torah</b>
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.7","This set of verses is rather puzzling. In all cases of seduction, the seducer has to pay the bride-price of virgins to the father of the girl he seduced, but not in all cases will he get a bride. It depends on how her father feels about the match. If he refuses to give his daughter in marriage, he still deserves to be paid because, as a nonvirgin, she is worth less to him on the marriage market. That she was taken advantage of and shamed is not addressed. These verses suggest that a daughter is seen as the property of her father, almost as a part of him, so that it is he, not she, who suffers as a result of her exploitation. Or, more accurately, she does not suffer independently of him. The individual is not viewed so much as an individual but as a member of a family.<sup>2</sup><i class=""footnote"">We still hear today about traditional Middle Eastern families killing a young female member because her immodest sexual behavior “stained the family honor.”</i> The seducer must therefore make amends to the collective body, in particular to the head of the household, but not to the girl herself."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.8","We find a similar outlook and legal resolution of the related crime of rape, dealt with only in Deuteronomy."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.9","Here, too, the sexual crime that is committed against the daughter is analyzed in terms of its economic effect upon the father. He is paid fifty silver shekels, the equivalent of a bride-price.<sup>4</sup><i class=""footnote"">Jeffrey Tigay (<i>JPS Torah Commentary, Deuteronomy</i>, 208) writes that the fifty shekels may represent a combination of an average bride-price and also punitive damages.</i> But in this instance the Torah also shows its concern for the young woman by assigning the rapist to her as a husband, for as long as he lives, with the stated rationale “because he forced her.” This phrase expresses sympathy for the young victim: She now has a husband for good who may not fabricate a reason to divorce her. But why would she find it acceptable to marry the rapist? It seems that a girl who was raped could not easily be married off, as we will see with Tamar. Since ancient expectations of marriage had more to do with financial and social security and the opportunity to raise children than a loving relationship, the girl who was raped might not look all that askance upon the prescribed union. In addition, the Torah seems to regard the marriage to his victim as a penalty for the rapist. She becomes an albatross around his neck; he must provide for her forever. So the Torah is punishing the rapist much more severely than it punished the seducer. Since his crime was worse, in that her consent was not sought, his punishment, long-term economic obligation to his victim, without any possibility of divorce, is greater."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.10","In a preceding verse (25), the Torah says that if a man raped a betrothed virgin, his penalty is death. But why such a vast difference between the two punishments—marriage for the rape of an unbetrothed young woman and a death penalty for the rape of a betrothed young woman? Her suffering is identical in both instances. This forces us to conclude that the rape of a woman who already belongs to a man is a far more serious breach of the social order than the rape of a woman not yet purchased in marriage. The purported victim of the rape of a betrothed young woman is her husband. His virgin bride-to-be has been violated; therefore, the rapist, like the adulterer, has to die.<sup>5</sup><i class=""footnote"">Tigay (ibid., 207–208) writes that raping an engaged virgin is a capital crime because it is adulterous but raping an unengaged virgin is not a capital crime because it is not adulterous. This distinction is correct. However, since he offers no explanation as to <i>why</i> the rape of an unbetrothed virgin is viewed as a far less serious offense, even though the victim suffers in an identical manner, he conceals the sexist bias of these laws.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.11","It is even possible to argue that the Torah does not describe two different crimes against unbetrothed women, seduction in Exodus and rape in Deuteronomy, but only one, seduction. The author of the Temple Scroll, one of the Dead Sea documents, dating from sometime after 120 <small>B.C.E.</small>, cites the Torah’s “rape” verses from Deuteronomy almost verbatim but substitutes the verb “seduce” for “rape.”<sup>6</sup><i class=""footnote""><i>The Temple Scroll</i>, ed. Yigael Yadin (Jerusalem: Israel Exploration Society/Institute of Archaeology of the Hebrew University of Jerusalem, 1977–1990), col. 66, ll. 8–11, pp. 209–210.</i> Since he prescribes for seduction the same punishments that the Torah prescribes for rape—forced marriage, no divorce, payment of fifty silver shekels to the father—he may be suggesting that he sees both sets of Torah verses as portraying only one crime, seduction. In his opinion, there is no such thing as rape, that is, nonconsensual sex on her part. With the appropriate blandishments, women succumb.<sup>7</sup><i class=""footnote"">Lawrence H. Schiffman, in “Laws Pertaining to Women in the <i>Temple Scroll”</i> (<i>The Dead Sea Scrolls: Forty Years of Research,”</i> ed. Devorah Dimant and U. Rappoport [Leiden: E. J. Brill, 1992]), compares rape and seduction in the Torah, the Temple Scroll, and tannaitic literature. He concludes that since the Temple Scroll does not mention a bride-price, only a fifty-silver-shekel payment to her father, the author of the scroll considers it a penalty, like the Tannaim who will later call it <i>kenas</i>, not a compensation to the father for the loss of his daughter’s virginity (224). The author, he says further, “seeks to restore the moral balance and order.” I am not convinced by his argument.<br>Moshe Weinfeld (<i>Deuteronomy and the Deuteronomic School</i>, [Oxford: Oxford University Press, 1972], 283–287) suggests that the Torah deals with only one case, seduction. The laws as they appear in Deuteronomy pay more attention to the victim of “rape” because the Deuteronomic author is more humanistic. He takes the seduction laws of Exodus and rewrites them according to his own outlook.<br>It seems to me that there is only one sex crime presented in the Bible: It is neither rape nor seduction, as we know them today, but something in between—part forced and part consensual. The Torah’s skepticism about rape, combined with its two different terms to describe the same act, lead me to believe that it recognizes the use of force by the man but also imputes some sexual interest to the woman.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.12","It is interesting that in the two famous rape cases in the Bible, that of Dinah by Shechem (Genesis 34) and Tamar by Amnon (2 Samuel 13), the resolution differs from the recommendations made by the verses in Deuteronomy. In both instances, the brother(s) of the rape victim, in a devious manner, kill the rapist (and his family, in the first instance). The reason for their intense anger, as stated in reference to both episodes, is that “such a thing is an abomination [<span dir=""rtl"">נבלה</span>], something not done in Israel” (Genesis 34:7; 2 Samuel 13:12). We thus see that no marriage took place, in either case, between victim and rapist. Note further that neither victim ever married. Following the rape, Tamar lived in her brother’s home for two years, in a state of severe depression (2 Samuel 13:20).<sup>8</sup><i class=""footnote"">The Hebrew expression for depression is “<span dir=""rtl"">ותשב תמר</span>] <span dir=""rtl"">ושממה</span>].” No husband is ever reported for Dinah.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.13",<b>The Rabbinic Paradigm Shift: From Crime Against Father to Crime Against Daughter</b>
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.14","Unlike the author of the Temple Scroll, the rabbis posit the existence of two different sex crimes against unbetrothed women, seduction and rape. They use a new Hebrew term for rape, <i>ones</i> [<span dir=""ltr"">אנס</span>],<sup>9</sup><i class=""footnote"">The only time that this word appears in the Bible is in Esther 1:8, “no one was to be forced” [to drink], <span dir=""rtl"">והשתיה כדת</span>] <span dir=""rtl"">אין אנס</span>]. According to the NJPS translation, “No restrictions!”</i> and view all cases of forced sex as rape, without regard to where the act took place.<sup>10</sup><i class=""footnote"">The rabbis, utilizing the word <i>“moshi’a”</i> in v. 27, also require an innocent bystander to prevent the rape of a betrothed young woman, even if it means killing the man who is about to attack her (M Sanhedrin 8:7). The theory is let him die innocent rather than guilty. The penalty for the rape of a betrothed young woman is execution.</i> Even more important, they transform seduction and rape from mainly monetary crimes against the girl’s father to cases of assault and battery against the girl herself. In no instance is either the father or the victim herself forced to agree to marriage with the perpetrator of the crime. It follows that not only do the rabbis view girls as separate entities from their fathers, but as shown in earlier chapters, they no longer consider marriage a purchase, or, at least, they no longer think that such a purchase can be enacted through rape."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.15","In the first source above, a <i>mishnah</i>, the rabbis institute a new set of payments, shame and injury, for both rape and seduction, and also pain for rape, based on what the victim of the crime—<i>the woman</i>—suffered.<sup>11</sup><i class=""footnote"">Should one argue that the shame spoken of here is that suffered by her father, because the verb “to suffer shame” is in the masculine <span dir=""rtl"">מתבייש</span>, I would respond that this formulation is borrowed from M BK 8:1 where it refers to the victim, male or female. Furthermore, M Ketubot 6:1 and T BK 9:14, when speaking of an assault on a woman that was committed in private, or on a concealed part of her body, either by her husband or by others, assigns the shame payment to her (two-thirds) and part to her husband (one-third). This source makes it clear that, according to the rabbis, the primary one who suffers the shame is the victim. Cf. Judith Wegner, <i>Chattel or Person?</i> (New York: Oxford University Press, 1988), 26 and n. 53.</i> Unlike the biblical fine of fifty shekels, which is fixed, these vary from case to case. This legal innovation represents considerable social progress. Rape is now dealt with as a case of assault and battery, compensation for which is documented elsewhere, in M Baba Kama 8:1.<sup>12</sup><i class=""footnote"">M BK 8:1 lists five payments for damages—loss of limb, pain, medical costs, unemployment, and shame. Here we find only injury, pain, and shame—because the other two, medical costs and unemployment, do not always apply to rape. However, if the woman suffered injuries in the course of the forced sex act, they do. Three of these payments derive from the Torah—loss of limb, medical costs, and unemployment—and the other two, pain and shame, are rabbinic in origin. It is remarkable that Maimonides, in <i>Mishneh Torah</i>, Hilchot Hovel Umaziq 1:7, deduces the payment for pain (in a general case of injury) from the phrase “because he forced her.” This means that Maimonides acknowledges that women suffer pain in rape. The Gemara derives the pain payment from a different verse. See BT BK 85a.</i> Although the <i>mishnah</i> in Baba Kama lists five different payments for standard cases of assault, only the three mentioned above apply routinely to seduction and rape."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.16","The second source, a <i>baraita</i>, is strikingly innovative: Despite explicit statements in the Torah to the contrary, no marriage between victim and aggressor is required, neither in a case of rape nor in a case of seduction. Not only the father, but <i>even the young victim</i> may refuse the match. In the associated Gemara (BT Ketubot 39b), the Amoraim struggle, after the fact, to base each one of these new rules on scriptural phrases, as does the above <i>baraita</i> in a rather cryptic manner. These belabored efforts underscore the fact that this set of rules was generated, not by the Torah, but by the rabbis, most likely out of their desire to right a wrong to women: In the Talmudic period, automatic marriage to a rapist or seducer was no longer considered an appropriate solution to a young girl’s predicament. No one presumed that he was the man she wanted to marry. It is hard to understand, however, why the Mishnah makes no reference to this rule of refusal. The Tosefta, where it originates, and the Bavli, which accepts it, appear to be more concerned with her psychological welfare than the Mishnah.<sup>13</sup><i class=""footnote"">The Yerushalmi does not mention the possibility of refusal by the girl herself.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.17",The Mishnah further explores forced marriage resulting from rape.
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.18","This passage seems to be providing a rationale for the Torah’s forcing a raped woman to live with the man who raped her. The rabbis are saying that a man who takes advantage of a physically handicapped woman, who is more vulnerable to rape and less marriageable than others, is punished by having her “foisted” on him for the rest of his life, as repulsive as he finds her.<sup>14</sup><i class=""footnote"">The only women he is not forced to marry are those of inappropriate lineage (e.g., a <i>mamzeret</i>, born of an incestuous or adulterous union). The rabbis will not force a violation of their own marital rules, even in a case of rape. The Temple Scroll already states that a rapist can marry his victim only if she is fitting for him according to the law. It then lists a variety of forbidden consanguineous relationships.</i> Such a punishment may benefit the woman who was his victim in that it provides her with a husband. When her lack of virginity was added to her physical disability, finding herself a mate, in a patriarchal society, would have been difficult."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.19","We also see that marital suitability in this passage is viewed strictly from a male perspective: The more physically blemished she is, the less appealing she is to him and other men, the more important, therefore, for him to have to marry her. It is even possible to suggest that this passage is homiletical: It informs men that rape may give short-term pleasure, but warns them that the price they pay may be long-term suffering; no matter how unsuitable and unappealing she may be to him, he will have to live with her for the rest of his life. How attractive he is in her eyes and her opinion of him as a mate are of no relevance for this <i>mishnah</i>, however. It assumes that women, especially those whose marital prospects are limited, prefer any man to no man at all.<sup>15</sup><i class=""footnote"">See Chapter 6 and Chapter 7 for a further expansion of this idea.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.20",<b>From Fixed to Variable Fine</b>
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.21","At first reading, these <i>mishnahs</i> surprise us: they exempt many men from paying a penalty for rape or seduction, even though explicitly mandated by the Torah. Moreover, as shown by a parallel statement in the Tosefta (3:8),<sup>16</sup><i class=""footnote"">“A girl from the age of one day until [she shows the first signs of] puberty may be sold as a maidservant but <i>no</i> fine is paid by a man who rapes her…. The opinion of R. Meir…. But the Sages say: A girl from the age of one day and until the age of independence [full physical maturity, twelve and one-half], a fine <i>is</i> paid by the one who rapes her” (T 3:8). Rape penalties and the proceeds of the sale of a daughter as a maidservant are linked in that both are sums that the father receives for the “use” of his daughter.</i> the redactor of the Mishnah has codified the more restrictive view of R. Meir instead of the dissenting view of the Sages, who impose a fine in most cases of rape of a young girl. Some have claimed that this <i>mishnah</i> is evidence that the rabbis downplayed the gravity of sex crimes against women.<sup>17</sup><i class=""footnote"">Rachel Adler, “I’ve Had Nothing Yet So I Can’t Take More,” <i>Moment</i> 8 (September 1983): 22–26, writes that the rabbis neglect to ask how to hold the rapist of a little girl morally responsible for his behavior and how to compensate the young victim. The important question, she says, is how such things could happen. She further says that in a legal system in which a woman’s sexuality belongs to her father, such questions cannot arise. I disagree. The texts analyzed in this chapter indicate a growing rabbinic awareness of the suffering of the victim of rape and seduction.</i> But if we read these <i>mishnahs</i> in the context of the entire chapter, we see that the Mishnah’s aim is very specific: to limit sharply the circumstances in which it will be necessary for the rapist or seducer to pay the fine. But why would the rabbis wish to do that? That they impose restrictions in other cases, such as implementation of the death penalty and remission of debts in the sabbatical year, is understandable, given the obvious broad social benefits of interpreting those institutions out of existence. But why would they limit the scope of cases in which the rapist must pay a fine, in addition to damages, for the crime he committed? The fine, punishment above and beyond damages, makes this case different from others of personal injury. Releasing a man from paying it almost implies that he was not guilty of the crime of rape or seduction, only of damages that were incidental to the sexual act."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.22","If we backtrack for a moment and remind ourselves that the “fine,” a rabbinic term for the fifty silver shekels of the Torah, was paid to compensate the father for the loss of anticipated income from his daughter’s virginity, we realize that the fine had nothing to do with the criminality of the act. Therefore, the rabbis’ restriction of the fine should not be understood as overlooking her as victim, since the fine, like the other payments, was given not to her but to her father. In their eyes, payment of such a large amount to the father for a crime committed against the daughter must have seemed a travesty, especially since the bride-price was no longer paid, as already noted. If we read the other <i>mishnahs</i> of this chapter and the first <i>mishnah</i> of the next, we begin to notice that the fine was not eliminated but replaced by an alternative payment, <i>pegam</i>, and, perhaps even more important, that all rape and seduction payments were in the process of being reassigned from the father to the daughter."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.23","Before the broad implications of this passage are examined, the statement about how to assess the <i>pegam</i> payment requires explanation. In determining the amount to be paid for injury in a standard case of assault and battery, the rabbis say that the injured man (or woman) should be viewed as if for sale on the slave market. The amount to be paid corresponds to the difference in purchase price between a wholly intact individual and a handicapped or impaired one (M Baba Kama 8:1). Similarly here, to establish the “value” of a woman’s virginity, its differential price on the slave market has to be established. This does not imply that women are slaves to their husbands, in the sexual sense or in any other."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.24","<i>Pegam</i>, payment for personal injury, is almost always coupled with shame and appears in rabbinic literature almost exclusively in connection with seduction and rape.<sup>18</sup><i class=""footnote"">One exception is M Ketubot 6:1. Another can be found in PT Ketubot 5:5; 30a: “If one cuts off the hand of someone else’s slave, his master takes [from the one who did so] payment for injury, pain, shame, and <i>pegam</i>….”</i> It is interpreted by the Amoraim as payment for the loss of virginity, the critical injury suffered in these cases.<sup>19</sup><i class=""footnote"">– –“Said the father of Samuel: We estimate the difference between what a man would pay to have sex with a virgin slave and with a nonvirgin slave” (BT Ketubot 40b).</i> But if that is what it means, it is a different name for the fine, which also compensated the father for the loss of virginity. So why are two payments made for the same virginity? <i>Pegam</i>, as noted by the <i>mishnah</i>, is not fixed like the Torah’s fine, but variable, like the payment for shame. The level of payment varies with the victim’s socioeconomic circumstances. As the rabbis imply in M Arakhin 3:4, a fixed payment of fifty shekels can lead in some cases to paying too much, if she is of poor lineage and standing, and in others to paying too little, if she is of high social standing. So the rabbis, by virtually eliminating the fixed fifty-shekel fine and replacing it with their own variable payment, <i>pegam</i>, which can either exceed fifty or else go below it, show just how seriously they take the payments for rape and seduction: They insist that the payments correspond to the damage done, as is the rule in all cases of assault and battery. I must note, however, that allowing compensation for shame and loss of virginity to vary with family background is a concept that is foreign to most people today.<sup>20</sup><i class=""footnote"">Chapter 3 of M Arakhin reviews the various fixed payments prescribed by the Torah and examines those cases that lead to paying either more or less than the circumstances required. It seems that the rabbis, in general, opposed stipulated payments, which do not take socioeconomic standing into consideration, despite the democratic nature of such payments. Although in a number of <i>mishnahs</i> the rabbis themselves seem to say that all Jews are equally precious in God’s eyes (M BK 1:6), the other view, that social standing matters in assessment of damages, takes precedence.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.25","Furthermore, the rabbis begin to transfer sex crime payments from the father to the victim herself."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.26","The rule that this <i>mishnah</i> seeks to establish is that in certain circumstances the rapist or seducer pays damages to her and not to her father or to her brothers who are his heirs. If she went to court as a <i>bogeret</i>, an independent young woman, twelve and one-half years old or more, or if her father dies before the trial begins,<sup>21</sup><i class=""footnote"">The Hebrew phrase is “if she stood trial” [<span dir=""rtl"">עמדה בדין</span>], which could be taken as saying that she, not he, is on trial. The suit is named for her because she brings it, not because she is tried.</i> the payments are made to her. We further learn that all moneys earned by or due her after she reaches maturity, either physically or because of her father’s death, accrue to her and no one else."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.27","It therefore seems to me that the rabbis, without their saying so explicitly, have made a significant statement about crimes against women: The woman is the victim and she deserves compensation. The value of a human being as a person independent of her family seems to have gained currency by the rabbinic period. Her consent is sought for marriage to the rapist. He is no longer, automatically, her husband. Payments that go to the father, which imply that he is the victim, and not she, are in the process of being eliminated, and payments for what she suffered are in the process of being developed and transferred to her. Moreover, by eliminating the fine from most cases of rape and seduction, the rabbis are saying that this fixed, biblically prescribed payment no longer makes legal sense: The new payments, for shame, pain, and personal injury, not referred to in the Torah in this context, are the ones that they are interested in establishing firmly. Less obvious, the rabbis understand that rape is something a man does to a woman, uninvited and hurtful. When these passages are read in context, they show that the rabbis have gone a long way to rectify the no-longer-appropriate indifference of the Bible to the young woman as victim."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.28",<b>Men’s Understanding of Women’s Pain</b>
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.29","The Bavli’s commentary on M Ketubot 3:4, which introduces the payment for pain, is an attempt by men to grasp a woman’s experience in being raped."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.30","Samuel defines the pain payment of the <i>mishnah</i> as a reference to the pain suffered by the victim in being forced to submit. R. Zera expands it to include the pain of the forced sexual act itself. He relies on the view of the rabbis who disagree with R. Simon. In his cynical statement, R. Simon characterizes women’s pain in rape as not much different from the pain they suffer in the course of a consensual first sexual encounter. This means that, for him, forced and consensual sex are the same, that a virgin’s pain in rape is limited to the tearing of her hymen. His colleagues sharply rebuke him."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.31","Before examining the rest of the unit on pain, we will look at the parallel section in the Yerushalmi. It cites the same <i>baraita</i> to make the point that the Mishnah is <i>not</i> in accordance with R. Simon. That is, the Yerushalmi notes that the redactor of the Mishnah ignored R. Simon’s dismissive view of women’s pain in rape, accepting, instead, the Sages’ more sympathetic approach."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.32","R. Simon, in this version of the <i>baraita</i>, justifies his omission of a pain payment not only by pointing out that discomfort is inevitable in a first sexual encounter but also that—even in rape—it is negligible. The rabbis chide him for missing the point that, in addition to rupturing a hymen, there are other kinds of suffering that a raped virgin endures, including the psychological pain of degradation.<sup>23</sup><i class=""footnote"">The last part of the Yerushalmi <i>sugya</i> pursues R. Simon’s thinking further:<br>“How does R. Simon understand the biblical phrase <span dir=""rtl"">תחת אשר ענה</span> [which implies that she suffered pain]?<br>--R. Hisda refers it [R. Simon’s statement, <span dir=""rtl"">תפתר</span>] to a case in which he came upon her [sexually] on thorns [meaning that in such a case, according to R. Simon, he pays for the pain of the thorns but not for the pain of the first sexual act itself].”<br>We thus see that the Yerushalmi is shocked that R. Simon can assert that there is no pain associated with rape of a virgin, since the Torah explicitly says that there is. R. Hisda therefore comments that according to R. Simon the verse must be referring to the pain of the force he exerted in getting her to submit, throwing her down on a bed of thorns.</i>"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.33","This discussion by men of women’s pain in rape is of interest to women, in particular, since men, in many cultures, are skeptical about rape, not believing that women suffer during rape and not believing that women play no role in instigating this kind of abusive sexual attention. Here we find that the majority of rabbis understand that women suffer pain in rape. The point that rape is an act perpetrated on her against her will is summed up nicely in the following rather extreme statement:"
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.34","According to this Amora, rape is rape, even if at some point it appears to be sanctioned by her, a conclusion diametrically opposed to the one reached by the author of the Temple Scroll, as mentioned above. Her alleged pleasure, despite the conditions of fear and brutality, does not mitigate, in any way, the fact of rape. Pleasure does not imply consent."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.35",The Bavli continues its discussion of women’s pain in rape:
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.36","In this last section, men try to understand what women experience in their first sexual encounter when it is <i>not</i> forced upon them. Each of the rabbis quotes a woman, two their wives and one a nursemaid (whom he refers to as “Mother”). The pain described by all three women is minor and is expressed in terms that speak to men’s experience, too. By quoting women only, men recognize that the pain is real but that they cannot adequately describe it because they are men. The Bavli also reports, in the name of women but transmitted by a man, that a seduced woman does not suffer pain, which explains why the seducer does not pay for pain. This statement preaches: Since she “asked” for it, she deserves to suffer and we cannot show any sympathy for her. The women who say so are called “wise.” They appear to have internalized patriarchal values and, as a result, fail to recognize that seduction is a crime by men against women even if women, at some point, give their consent."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.37",<b>Creation of a New Legal Category: The <i>Bogeret</i></b>
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.38","The Bible never refers to a <i>bogeret</i>, an independent, physically mature young woman.<sup>25</sup><i class=""footnote"">I strongly disagree with Wegner, <i>Chattel or Person?</i> (14), who asserts that the Bible acknowledges such a status.</i> It consistently assumes that a girl who reaches puberty is married off by her father and passes from his authority to her husband’s without an interim period of independence.<sup>26</sup><i class=""footnote"">In the Bible she went from being a daughter in her father’s home, an unbetrothed young woman (Exod. 22:15; Deut. 22:28), to a betrothed young woman (Deut. 22:23, 25), to a wife in her husband’s home. Some <i>mishnahs</i> paint the same picture, e.g., Ketubot 4:5, but posit marriage prior to the time of physical maturity.</i> The rabbis present, or possibly invent, a third category: a girl who is under neither her father’s nor her husband’s authority. Today we call women (and men) who are in this category “single.” A distinguishing feature of the <i>bogeret</i>, as we will soon see, is that she has reached the age of consent. Her father may no longer arrange a marriage for her. She has to function on her own."
"Rereading the Rabbis; A Woman's Voice, Rape and Seduction.39","Before drawing any legal conclusions, we must note the legal/literary dissonance in the first <i>mishnah</i>. A woman’s physical and sexual development is compared to that of a fig, the obvious underlying metaphor being that she ripens at puberty and is ready to be picked and eaten. A passage like this sees women as objects, not persons. But note that it is precisely at this point in her life that the Sages confer independence on her, making her responsible for her own sexuality. I cannot go so far as to call this move feminist, because she loses her new status as soon as she marries, but for the rabbis to make her independent just when she reaches sexual “ripeness” is remarkable."
