rashei_tevot,expanded,context_before,context_after
עי,על ידי,זכה לו הנחתום,אחר או
לבעהב,לבעל הבית,נתן לו מעה,ואמר לו
לכא,לכל אחד,להם ואם היה,פתח פתוח
בפע,בפני עצמו,יש לו בית,אינם צריכים
והמ,והני מלי,ואוכלים בבתיהם אוסרים,כשנותנים בני
והמ,והם מתרים,בני החצר והוא,בין בביתו
אעפ,אף על פי,מת משחשכה אוסר;,שערב
אעפ,אף על פי,בבית אינו אוסר,שלא
אעפ,אף על פי,אחר שבחצר אוסר,שערב
אעפ,אף על פי,החצר שהיה גוסס,שאינו
אעפ,אף על פי,וכן קטן אוסר,שאינו
אעפ,אף על פי,מת משחשכה אוסר;,שערב
אעפ,אף על פי,בבית אינו אוסר,שלא
אעפ,אף על פי,אחר שבחצר אוסר,שערב
אעפ,אף על פי,החצר שהיה גוסס,שאינו
אעפ,אף על פי,וכן קטן אוסר,שאינו
אעפ,אף על פי,מת משחשכה אוסר;,שערב
אעפ,אף על פי,בבית אינו אוסר,שלא
אעפ,אף על פי,אחר שבחצר אוסר,שערב
אעפ,אף על פי,החצר שהיה גוסס,שאינו
אעפ,אף על פי,וכן קטן אוסר,שאינו
מבעי,מבעוד יום,ערב המוריש; ואם,מת וירשו
אעפ,אף על פי,מת משחשכה אוסר;,שערב
אעפ,אף על פי,בבית אינו אוסר,שלא
אעפ,אף על פי,אחר שבחצר אוסר,שערב
אעפ,אף על פי,החצר שהיה גוסס,שאינו
אעפ,אף על פי,וכן קטן אוסר,שאינו
ואעפ,ואף על פי,לא ערבו בו,שערבו
כא,כי אם,ולהוציא מזה לזה,שתי אמות
כא,כל אחד,ואם רצו מערבין,לעצמו ועין
כא,כל אחת,הבתים אפלו ערבו,לעצמה נפרץ
כא,כחצר אחת,ביותר מעשר חשוב,וצריכים לערב
כא,כלל אלא,לא העמיד סלם,חקק בכתל
כא,כל אחד,הוא גבוה עשרה,מערב לעצמו;
יט,י טפחים,ויהיה קצתו בתוך,הנמוכים לארץ ואז
והה,והוא הדין,רצו מערבין יחד,לארבה שבין
והה,ואם היה הכתל,יכולים לערב יחד,גבוה
והה,ואם היה הכתל,כדלעיל סי' שמ"ו,גבוה
והה,ואם העמיד הסלם,ראוי לעלות בקש,באמצע
והה,והוא הדין,מערבין שנים הגה,אם מלאו
וממ,ומכל מקום,לעלות בו הגה,בעינן שיהא
גט,ג טפחים,וכשכתלי קטנה מפלגים,מכתלי ארך הגדולה
דאלכ,דאם לא כן,מכתלי ארך הגדולה,היתה
אעפ,אף על פי,שני כתלי חצרות,שהיא
ויא,ויש אומרים,לשביל רק בחלונות,דאם אינן
כא,כל אחד,וביניהם ג' חרבות,מתר באותה
כא,כל אחד,כשלשה ראשי קנקן,מתר בחרבה
לרה,לרשות הרבים,זו לזו ופתוחות,וערבה כל
ואצ,ואינו צריך,לו כבית שער,לתן פת
ואצ,ואינו צריך,שמניחין בו ערוב,לתן פת
ואצ,ואין צריך,או קנויה לכם,לקנות בקנין
בקס,בקנין סודר,ואין צריך לקנות,ויכול לבטל
ויא,ויש אומרים,מבטלת לך ולך,שדי שיאמר
ויא,ויש אומרים,לחצר וגם הוא,שצריך לנעל
ויא,ולא יפתחנו אלא,יבא להוציא באסור,כשרוצה
ויא,ויש אומרים,שמועיל כמו בטול;,שאינו מועיל
אחכ,אחר כך,המבטל רשותו והוציא,מביתו לחצר
לכא,לכל אחד,מבני הפנימית וגם,מבני החיצונה
זעז,זה על זה,בשני בתים ואוסרים,אז
אעפ,אף על פי,השכיר בית לחברו,שיש
אעפ,אף על פי,כרחו אינו מועיל,שהיה
אעפ,אף על פי,משכירו ולקיטו שוכרים,שהוא
אעפ,אף על פי,משכירו ולקיטו לזמן,שסלקו
אעפ,אף על פי,ערוב דרך חלונות,שהם
דהול,דהוה ליה,בו שום דבר,כשכירו ולקיטו
אעפ,אף על פי,השכיר בית לחברו,שיש
אעפ,אף על פי,כרחו אינו מועיל,שהיה
אעפ,אף על פי,משכירו ולקיטו שוכרים,שהוא
אעפ,אף על פי,משכירו ולקיטו לזמן,שסלקו
אעפ,אף על פי,ערוב דרך חלונות,שהם
בכהג,בכהאי גונא,הדין שני הדרים,בבית אחד
והה,ובתוך הזמן השכיר,מהעכו"ם לזמן ידוע,העכו"ם
והה,והוא הדין,נתבטל השכירות הגה,אם שכרו
והה,והוא הדין,דירה בפני עצמו,שני הדרים
והה,והוא הדין,ישכרו מהשוכר הגה,איש אחר
עי,על ידי,החצרות למבוי והתירוהו,שתוף שגובין
אעפ,אף על פי,או הם לה,שהם
אעפ,אלא על פי,העיר אינם נעשים,השר
ביוט,ביום טוב,חצרות ושתופי מבואות,שחל להיות
בעש,בערב שבת,טוב שחל להיות,ואם שכח
ביוט,ביום טוב,ויום ששי יערב,על תנאי
ביהש,בין השמשות,אם היה קים,אם לאו
ביוט,ביום טוב,אפלו נתנה לו,הרי הוא
אעפ,אף על פי,ושחטוה ביום טוב,שלקח
אעפ,אף על פי,ממנו ביום טוב,שדרכו
ביוט,ביום טוב,אפלו נתנה לו,הרי הוא
ביוט,ביום טוב,מי שלקחו לשחטו,וכן אם
ביוט,ביום טוב,אם שחטו בעליו,ומכר בשרו
ביוט,ביום טוב,בהמה בשתפות ושחטוה,אף על
ביוט,ביום טוב,של יין וחלקוה,חלקו של
ביוט,ביום טוב,ואם שאלו ממנו,אף על
ביוט,ביום טוב,לעסתה ותבלין לקדרתה,הרי העסה
ביוט,ביום טוב,שתיהן לקח מחברו,גחלת לא
ביוט,ביום טוב,ואין צריך לומר,מלא מים
ביוט,ביום טוב,שזמן אצלו אורחים,לא יוליכו
ואחכ,ואחר כך,רבות מרבעים אותה,מוציאין חוץ
ואחכ,ואחר כך,העירות עיר שהקפה,ישבה מודדין
ואחכ,ואחר כך,ממקום ישיבתה; ישבה,הקפה מודדין
אצ,אין צריך,ד' אמות אז,למדד כל
דא,ד' אמות,מתרחק מכנגדו למטה,אז רואים
דא,ד' אמות,מודדו בחבל של,וכך יעשה
דא,ד' אמות,מודדו בחבל של,והוא שלא
אעפ,אף על פי,חוץ לתחומו לדעת,שהוא
יוט,יום טוב;,כבתחלה אם הוא,ואם הוא
לדא,לד' אמות,ואסור לטלטלם חוץ,ואם הוציאם
אעפ,אף על פי,וקבע שביתתו שם,שחזר
אעפ,אף על פי,לעיר לצפון ולדרום,שאין
וממ,ומהלך ממקום,אלפים אמה למזרח,ערובו אלפים
וממ,ונמצא מהלך מביתו,את כל העיר,עד
וממ,ואינו מהלך מביתו,והלאה אלפים אמה,בעיר
וממ,ומכל מקום,שצ"ח סעיף ב',אם כלתה
וממ,ואין מודדין ממקום,לא עשה כלום,ערובו
אעפ,אף על פי,וקבע שביתתו שם,שחזר
אעפ,אף על פי,לעיר לצפון ולדרום,שאין
ככ,כל כך,שאין לו רחב,נגד המקום
עי,על ידי,ירצה ישלח הערוב,שליח ויאמר
עי,על ידי,בערוב; ואם שלחו,חרש שוטה
עי,על ידי,לקבלו ממנו ושלחו,אחד מאלו
אעפ,אף על פי,ויקנה בו שביתה,שלא
אצ,אינו צריך,שביתה ברחוק מקום,לומר שביתתי
אעפ,אף על פי,לשבת ויום טוב,שהוא
יוט,יום טוב,אם היה ליל,ולמחר מוליכו
יוט,יום טוב;,אם היה ליל,מפני שהן
מיוט,מיום טוב,לעשות שום הכנה,לשבת או
וכש,וכל שכן,טוב אפלו בדבור,שאינו יכול
שאצ,שאין צריך,שערב בה בראשון,לומר כלום
מבעי,מבעוד יום,שיהיה בסעדה הראויה,וזה הואיל
מבעי,מבעוד יום,זה אינה ראויה,כיצד הרי
רח,ראש חדש,,מתר בעשית
אצ,אינו צריך,קבלת תענית בעלמא,התרה ואם
רח,ראש חדש,מצוה להרבות בסעדת,
בעש,בערב שבת,בהם תחנון וכן,אחר חצות
אצ,אין צריך,הזכיר או לאו,לחזר ושליח
אצ,אינו צריך,ואם ברך לגמר,לחזר ;
אצ,אינו צריך,כדי לגמר כלו,לחזר לראש
אצ,אין צריך,הזכיר או לאו,לחזר ושליח
אצ,אינו צריך,ואם ברך לגמר,לחזר ;
אצ,אינו צריך,כדי לגמר כלו,לחזר לראש
ויא,ויש אומרים,יחיד בין צבור,שהצבור מברכין
ויא,ויש אומרים,אין מברך עליו,שאף הצבור
ויא,ויש אומרים,ישראל וסביבותיה הגה,דגם יחיד
ויא,ויש אומרים,עליו עם הצבור,דכשיחיד קורא
ויא,ויש אומרים,יחיד בין צבור,שהצבור מברכין
ויא,ויש אומרים,אין מברך עליו,שאף הצבור
ויא,ויש אומרים,ישראל וסביבותיה הגה,דגם יחיד
ויא,ויש אומרים,עליו עם הצבור,דכשיחיד קורא
וממ,ומנחה מתפלל,ערבית שחרית,י"ח ברכות
וממ,ומנחה מחזירין,לא אמרו שחרית,אותו ואם
וממ,ומכל מקום,נוהגין במדינות אלו,יזהר אדם
סת,ספר תורה,ביום צרה ומחזיר,למקומו ועומדים
ויא,ויש אומרים,עניה סערה הגה,השמים כסאי
ויא,ויש אומרים,בשבת מפטירין שמעו,השמים כסאי
ויא,ויש אומרים,ראש חדש הגה,שאין להפסיק
רח,ראש חדש,אומרים רק הפטרת,וכן נוהגין
ברח,בראש חדש,אם היה חתנה,או בשאר
במוש,במוצאי שבת,על הירח אלא,כשהוא מבשם
אחכ,אחר כך,אבל אם הוא,אין ממתינין
יוהכ,יום הכפורים,באב ולא קדם,ובמוצאי יום
יוט,יום טוב,שבת שחל בו,ותולה עיניו
גדוא,גדו" א,בגה "ז מרחשון,כסלו א"ב
פא,פעם אחת,שהיו קורין השירה,לששת ימי
פא,פסוקים אחרונים,מי שירצה ח',שבתורה אין
נל,נראה לי,שצריך להפסיק וכן,עקר
כז,כל זמן,בלא ברכה יברך,שלא סים
מבב,מבני ביתו,הבית רוצה יעמיד,אצלו בשעה
בעהב,בעל הבית,סמך ברכה שברך,הגה ונוהגים
גט,ג' טפחים,אפלו אינו גבוה,כדי חפישת
אצ,אינם צריכים,מתבן וכיוצא בו,בדיקה חרי
אצ,אינם צריכים,פחות משלשה טפחים,בדיקה גג
אצ,אינם צריכין,ראוין לשום תשמיש,בדיקה אפלו
אצ,אינו צריך,רפת של בקר,בדיקה שאם
אצ,אינו צריך,לול של תרנגולים,בדיקה מפני
אצ,אינו צריך,אמצעה של חצר,בדיקה שאם
אצ,אינו צריך,ושבין יהודי לעכו"ם,בדיקה כלל
אצ,אין צריך,כדי חפישת הכלב,לבדק תחתיו
אצ,אין צריך,התחתונות עד הקורה,לבדק אלא
אצ,אדם צריך,י"ד הגה וכל,לכבד חדריו
אעפכ,אף על פי כן,שם עוד חמץ,
ויא,ולא יברך אז,יום זקוק לבדק,על
ויא,ויש אומרים,האוצר כן ביחד,דקדם ל'
ויא,ויש אומרים,יכנס לבית בפסח;,שאינו צריך
ויא,ולא יברך אז,יום זקוק לבדק,על
ויא,ויש אומרים,האוצר כן ביחד,דקדם ל'
ויא,ויש אומרים,יכנס לבית בפסח;,שאינו צריך
ויא,ואינו יודע אם,בית מחבירו בי"ד,הוא
ויא,ויש אומרים,הוא עושה הגה,דצריך להחזיר
ויא,ולא ידענו אם,ובא עכבר ונטל,נטל
ויא,ויש אומרים,ואלו אחרים הם,דהני מלי
אצ,אין צריך,ונטלו העכבר משם,לחזר ולבדק;
אצ,אינו צריך,מהבית ומצא ככר,לחזר ולבדק
אצ,אין צריך,אינם קשורים יחד,לבדק אלא
אצ,אחרת צריך,זו ומצאו בזוית,לחזר ולבדק
בכמ,בכל מקום,בביתו בין שהוא,ברשותו חיב
ויא,ויש אומרים,ביד עכו"ם אחר,שאפלו אינו
יוט,יום טוב,אם הוא קדם,צריך לעשות
אעפ,אף על פי,אינו זקוק להוציאו,שהישראל
אעפ,אף על פי,או אצל העכו"ם,שקבל
אעפ,אף על פי,"ה וכיוצא בו,שמתר
אעפ,אף על פי,בערבה אבל בבית,שאם
עמ,על מה,חמץ ויש להם,שיסמכו ואם
והה,והוא הדין,או לטוחן בטיט,לבצק שבכלי
ויא,ויש אומרים,עד שליש היום,עד ב'
ואא,ואז אינו,זמנה אחר המנחה,יכול לעשותה
ואא,ואי אפשר,והמאכל דבוק בקדרה,לקנחו יש
עמ,על מנת,יכול לתנו לעכו"ם,שלא לצאת
עמ,עד מוצאי,וכופה עליו כלי,יום טוב
לרה,לרשות הרבים,שלא לצאת בו,דרך הערמה
הז,הרי זה,לגגו של ישראל,דוחפו בקנה
כש,כלי שני,הגה ומיהו בחמום,אין לחוש
אעפ,אף על פי,פת שנפל ליין,שנטלו
אעפ,אף על פי,אחד חיב לבערו,שעשו
ביוט,ביום טוב,אסור בפסח אבל,האחרון יש
אעפ,אף על פי,אחר הפסח אסור,שבטל
אחכ,אחר כך,פסח ואני אטל,ישראל שהיה
דהול,דהוה ליה,אסור לקבל בשכרו,משתכר באסורי
אאכ,אטל אחר כך,של פסח ואני,ישראל
אאכ,אלא אם כן,מתירים גם בזה,הקדים
אי,אינו יהודי,אפלו במעותיו של,אסור להשכיר
עי,על ידי,חמין אפלו שלא,האור אלא
עי,על ידי,כלים שמשתמשים בהם,האור כגון
עי,על ידי,לכתחלה יכול להגעילן,ערוי שמערה
עי,עץ יש,ואם המדוכה של,לקלפו בכלי
עי,על ידי,כל השנה אפלו,הגעלה וכן
עי,על ידי,שלא להשתמש בנפה,הגעלה ואין
עי,על ידי,נוהגין בהן התר,כבוס; וצריך
עי,על ידי,בלא הגעלה אבל,הגעלה אפלו
כיוב,כיוצא בזה,ראשון וכן כל,ויעביר האבן
כיוב,כיוצא בזה,; וכן בכל,כגון הכלי
עי,על ידי,לכתחלה יכול להגעילן,ערוי שמערה
אצ,אפלו צונן,אסור להשתמש בו,בלא הכשר
אצ,אלא צריך,בהכשר דכלי שני,לערות עליו
אצ,אין צריך,הטלאי לבליעת האסור,להסירו דכבולעו
אצ,אין צריכים,משתמש בהם בחמין,שום הכשר
ואחכ,ואחד כלי,אחד כלי עץ,אבן ואחד
ואחכ,ואחד כלי,ואחד כלי אבן,מתכת דינם
ואחכ,ואחר כך,האסור אם ישנו,מגעיל כל
אחכ,אחר כך,דחיישינן לגומות ולהגעילו,הדף שעורכים
עי,על ידי,חמין אפלו שלא,האור אלא
עי,על ידי,כלים שמשתמשים בהם,האור כגון
עי,על ידי,לכתחלה יכול להגעילן,ערוי שמערה
עי,עץ יש,ואם המדוכה של,לקלפו בכלי
עי,על ידי,כל השנה אפלו,הגעלה וכן
עי,על ידי,שלא להשתמש בנפה,הגעלה ואין
עי,על ידי,נוהגין בהן התר,כבוס; וצריך
עי,על ידי,בלא הגעלה אבל,הגעלה אפלו
עי,על ידי,שלא להשתמש בנפה,הגעלה ואין
ככ,כל כך,לראות שאין בו,שלא יהא
עג,על גבי,מהרחים אסור להניחם,בהמה שאין
יח,ידי חובתו,אין אדם יוצא,במצה גזולה
אעפ,אף על פי,זה מתר בדיעבד,שאין
ביוט,ביום טוב,האחרות הלש עסה,של פסח
ביוט,ביום טוב,ואינו רשאי לשרפה,ואם שכח
ביוט,ביום טוב,אומרים דמתר לו,ללוש פחות
בעש,בערב שבת,להיות בשבת לשין,אחר שש
ואחכ,ואחר כך,גרירה והמחמיר יגררן,ידיחן וביום
ואחכ,ואחר כך,אחר הלישה ותחמיץ,כשחוזר ולש
עי,על ידי,ולא אופין אותה,אינו יהודי
אי,אינו יהודי,אותה על ידי,ולא על
עי,על ידי,אינו יהודי ולא,חרש שוטה
עג,על גבי,אדם חטים ויתן,מכתו מפני
אעפ,אף על פי,הנותר מן הבהמה,שאין
אא,אי אפשר,הקמח שבשק; ואם,לעשות כן
אעפ,אף על פי,שנפלו עליו מים,שלא
עי,על ידי,עליה ולהתיר האחרות,קליפה קצת
עי,על ידי,זו בזו כי,הפוך השפוד
עי,על ידי,זו בזו כי,הפוך השפוד
עי,על ידי,מי שאוסר אפלו,אינו יהודי;
אי,אינו יהודי;,אפלו על ידי,ויש מי
ליוט,ליום טוב;,מתקן הוא כליו,וכן מי
ואעפכ,ואף על פי כן,מקום שהלך לשם,
אכ,אם כן,צריכה הסבה אלא,היא חשובה
אכ,אם כן,רבו מבהק אלא,יתן לו
ונל,ונראה לי,יצא בלא הסבה,אם לא
בלאה,בלאו הכי,של ברכת המזון,אין לוקחים
ואחכ,ואחר כך,עד גאל ישראל,יבדיל הגה
ואחכ,ואחר כך,עב זכר לטיט,נותנין בו
והה,והוא הדין,והביצה תהיה מבשלת,צלויה וכן
אאכ,אלא אם כן,שבעלין אין יוצאין,הם
כא,כי אם,בורא פרי הגפן,על כוס
כא,כי אם,מברכין על הגפן,אחר כוס
ואחכ,ואחר כך,ועל אכילת מצה,יבצע מהשלמה
ואחכ,ואחר כך,יאכל המוציא תחלה,של אכילת
ואחכ,ואחר כך,של אכילת מצה,יקח כזית
ואחכ,ואחר כך,ויאכלנו בלא הסבה,נוטל מצה
ואחכ,ואחר כך,נכפה בעת שטותו,נתרפא חיב
ואחכ,ואחר כך,ועל אכילת מצה,יבצע מהשלמה
ואחכ,ואחר כך,יאכל המוציא תחלה,של אכילת
ואחכ,ואחר כך,של אכילת מצה,יקח כזית
ואחכ,ואחר כך,ויאכלנו בלא הסבה,נוטל מצה
ואחכ,ואחר כך,נכפה בעת שטותו,נתרפא חיב
ונל,ונראה לי,ביצים זכר לאבלות,הטעם משום
תב,תשעה באב,הטעם משום שליל,נקבע בליל
לש,ליל שמורים,כדי לזכר שהוא,ובזכות אמונה
ואחכ,ואחר כך,אכילת מצה ואוכל,אוכל שאר
ואחכ,ואחר כך,על המרור ואוכל,כורך מצה
ואא,ואם אמר,מקדש ישראל והזמנים;,מקדש השבת
ואא,ואין אומרים,השבת וישראל והזמנים;,ברכת מעין
ואא,ואם אמר אתה,יעלה ויבא יצא,בחרתנו
שצ,שליח צבור,מעין שבע אין,מקדש בבית
אצ,אין צריך,הזכירו ביעלה ויבא,לחזר ושליח
בקש,בקריאת שמע,אלא כדרך שאמרו,באמצע הפרק
אצ,אינו צריך,קדם שהגיע הזמן,להפסיק אלא
יוט,יום טוב,קדיש תתקבל; וכשחל,האחרון של
ובאי,והבדלה בפעם אחת יש,דאז אומר קדוש,
ובאי,ובארץ ישראל,ליל י"ח בניסן;,עד תחלת
יוט,יום טוב,סוף פסקא בליל,האחרון מקדשין
ואא,ואנו אין,מקרא קדש הזה,נוהגין לומר
ואא,ואין אומרין,מקדשין על היין,זמן הגה
ואא,וכן אומר את,חג המצות הזה,מוספי
ואא,ובמדינות אלו אין,כבוד השבת הגה,נוהגין
ואא,ואין אומרים,בו קצת שמחה,בו תחנון
ואא,ואילך אף,יסתפרו מל"ג בעמר,על פי
בעיוט,בערב יום טוב,מצוה לגלח,אין
בעיוט,בערב יום טוב,כך לא גלח,אינו
והה,והוא הדין,אינו מגלח במועד;,למי שהיה
עג,על גבי,בנתר ואהל ובפרהסיא,הנהר הגה
והול,והוה ליה,ולא נהגו כן,דברים המתרים
הז,הרי זה,היו עשויות ונתקלקלו,מתקנן במועד
ויא,ויש אומרים,ותולה בה המצודה;,שבשדה הלבן
דהל,דהוה ליה,מצויים אחר המועד,דבר האבד
והה,והוא הדין,לעשות סחורה ולהשתכר;,לירידים הקבועים
יוט,יום טוב,ראשון ויוציאנו בשמחת,הגה ומתר
כש,כל שהוא,בנין אפלו,אסור; ואם
לרה,לרשות הרבים,כתל חצר הסמוך,שנפל בונהו
עי,על ידי,לעכו"ם לתקנם מיהו,שנוי שרי
עע,על עצמו,וכל אדם יחמיר,לתפר בשנוי
עי,על ידי,מלאכה מתר לעשותה,פועל שאין
אעפ,אף על פי,לעשות בחל המועד,שהוא
יוט,יום טוב;,יותר ברוח לשמחת,ואם כתבן
עי,על ידי,שאסור לכתב אפלו,שנוי אסור
נל,נראה לי,יום קדם הרגל,שמתר לספדו
נל,נראה לי,פי שהיא רחוקה,שמה שאנו
נל,נסרים לארון,היער לנסר ממנו,ואין חוצבין
אעפ,אף על פי,טוב שני האחרון,שאינו
אעפ,אף על פי,ואין צריך שמירה,שאין
אעפ,אף על פי,חל עליו אנינות,שאין
אעפ,אף על פי,שבעה למיתת המת,שעדין
אעפ,אף על פי,מת בערב החג,שאם
עי,על ידי,האבלות מלאכתו נעשית,אחרים בבתיהם
ואצ,ואין צריך,עם אשתו בחדרו,שמירה אף
ואצ,ואין צריכים,בצנעה בתוך ביתו;,לנחמו אחר
ואצ,ואינו צריך,לרחץ סמוך לערב,להמתין עד
ואצ,ואין צריך,עד הלילה ;,לומר אם
שמע,שמיני עצרת,ויום שני של,הרי כ"ב
ואחכ,ואחר כך,מנחה ולקרות ויחל,עושין החפה
כא,כי אם,ללבש בגדי שבת,הכתנת לבד
כא,כגון אבורנקי,ובנטיעה של שמחה,של מלכים
כא,כגון אשה,לא לצרך מצוה,הלובשת לבנים
כא,כבוס אבל,ראש חדש לענין,תספרת נוהגים
כא,כי אם,שחיטה שאין שוחטים,לצרך מצוה
כא,כי אם,חזון אסור לרחץ,ראשו ופניו
מרח,מראש חדש,לכובסת עכו"ם לכבס,ואילך אבל
רח,ראש חדש,פי שכובסת אחר,לאחר התענית
רח,ראש חדש,בכל זה מתחלת,עד אחר
רח,ראש חדש,ונוהגין להחמיר מתחלת,לענין כבוס
טב,ט' באב,ואילך עד אחר,שבוע שחל
טב,ט' באב,החדש עד אחר,יש נוהגים
מרח,מראש חדש,הגה מילה שהיא,עד ט'
מרח,מראש חדש,בשבת של חזון,עד התענית
מרח,מתחלת ראש חדש,להחמיר בכל זה,עד
מרח,מראש חדש,לכובסת עכו"ם לכבס,ואילך אבל
מרח,מתחלת ראש חדש,הגה ונוהגין להחמיר,לענין
מרח,מראש חדש,זה ואנו מחמירין,ואילך יש
מרח,מראש חדש,ויש להחמיר בזה,הגה והוא
מרח,מראש חדש,יין; ויש שמוסיפין,עד התענית
מרח,מראש חדש,בתמוז הגה ומצניעים,ואילך הסכין
מרח,מראש חדש,נוהגים שלא לרחץ,ויש שאין
מרח,מראש חדש,לרחץ אפלו בצונן,ואילך אפלו
מרח,מראש חדש,בתמוז הגה ומצניעים,ואילך הסכין
תב,תשעה באב,וזה אפלו בערב,שרי ובלבד
תב,תשעה באב,לה לרחץ בערב,אם אי
בעש,בערב שבת,חדש ואילך אפלו,של חזון
טב,ט' באב,שלא ימצא אחר,מתר לברך
עג,על גבי,וגו' נהגו לישב,קרקע בסעדה
ואצ,ואין צריך,קרקע בסעדה המפסקת,לחלץ מנעליו
ואחכ,ואחר כך,קבועה קדם מנחה,מתפללין מנחה
אאכ,אלא אם כן,מתר לחזר ולאכל,קבל
עי,על ידי,מי שאוסר ללמד,הרהור ומתר
עי,על ידי,שלא לעשות מתר,עכו"ם אפלו
עי,על ידי,הפרות טוב לעשות,עכו"ם אם
עי,על ירושלים,ירושלים; וכל המתאבל,זוכה ורואה
כא,כפור; אבל,שמתענות ומשלימות ביום,בג' צומות
כא,כי אם,העכו"ם לא יחלץ,ברחוב היהודים
כא,כי אם,נהגו באסור מלאכה,עד חצות
בתב,בתשעה באב,,אומר בבונה
בתב,בתשעה באב,הנחמה מי שאכל,יאמר נחם
כא,כי אם,מדליקין נרות בלילה,נר אחד
אא,אין אומרים,באב במוצאי שבת,צדקתך במנחה
אא,אומרים אותו,החזן לפסוק השיבנו,הקהל בקול
אא,אין אומרים,חל במוצאי שבת,ויהי נעם
אא,אין אומרים,לאורו קינות ואיכה,תחנון ולא
אא,אסף אסיפם,בנים ומפטירין בירמיה,וכל הקדישים
אא,אחר איכה,וכל הקדישים שאומרים,עד שיוצאים
אא,אין אומרים,למחר מבית הכנסת,תתקבל ואין
אא,אומרים אל,אומרים תתקבל ואין,ארך אפים
אא,אל ארך,תתקבל ואין אומרים,אפים ולא
אא,ארך אפים,ואין אומרים אל,ולא למנצח
אא,אותו אחר,תינוק למול מלין,שגומרים הקינות;
אא,אחרים אך,ברית לובש בגדים,לא לבנים
אא,אין אומרים,מת בט' באב,צדוק הדין
ואצ,ואין צריך,ולא פטום הקטרת,לשנות מקומו
שיוט,שיום טוב,משלים תעניתו לפי,שלו הוא
הקבה,הקדוש ברוך הוא,הודאות וזכרון חסדי,על
אצ,אומר ציון,את ירושלים בחרבנה,היתה מדבר
אצ,אינו צריך,על ירושלים תחלה,לקרע על
שצ,שליח צבור,סי' קי"ט אבל,לא יאמר
בעש,בערב שבת,צאת הכוכבים ואפלו,ועין לעיל
יא,יש אומרים,נדרו ; מיהו,דמתפלל עננו
אעפ,אף על פי,חלום מתפלל עננו,שלא
אעפ,אף על פי,נוהגין להתפלל עננו,שאין
אעפ,אף על פי,חלום מתפלל עננו,שלא
אעפ,אף על פי,תענית בתפלת המנחה,שהוא
אעפ,אף על פי,בימים ויאכל בלילות,שהוא
אעפ,אף על פי,דהוי קבלה לכלם,שלא
אעפ,אף על פי,התענית נמלך להתענות,שלן
מבעי,מבעוד יום,שלא קבלו עליו,מתענה אדם
אאכ,אלא אם כן,ואוכל ולא שותה,התנה
כא,כי אתה,הגה ואומרו קדם,שומע וכו'
כא,כי אתה,צרה וצוקה יסים,שומע תפלת
כא,כי אם,היחיד אומר עננו,במנחה שמא
כא,כי אם,הצומות שלא לאמרו,במנחה מלבד
כתצ,כתענית צבור,יש נוהגים לדונו,לענין עננו
בתצ,בכל תענית צבור,הגה ויש מחמירין,והכי
בתצ,בתענית צבור,לרחץ פיו בשחרית,לא כשר
בעשית,בעשרת ימי תשובה,וסכות או אפלו,וארע
אצ,אין צריך,קבלת תענית בעלמא,התרה; ואם
דהה,דהוא הדין,מתענה ונראה לי,לראש חדש
לרח,לראש חדש,לי דהוא הדין,וערב יום
תח,תלמיד חכם,וחזק נקרא חוטא,אינו רשאי
כתח,כתלמידי חכמים,ומלמדי תינוקות דינם,עיר שהקיפוה
ברח,בראש חדש,ביום חפתו אפלו,ניסן מפני
בחול,בחוצה לארץ,תענית שגוזרים הצבור,אוכלים בהם
באי,בארבעה ימים,ביום אחד או,אין זה
באי,בארץ ישראל,זה; היה דבר,מתענין שאר
באי,בכל ארץ ישראל,אלא כנף אחד,ואפלו
באי,בארץ ישראל,בבבל ויין ושמן,ונתמעט המשא
אעפ,אף על פי,אחרת שתיהן מתענות,שהן
אעפ,אף על פי,ומתרים לאכל בלילה,שמתענים
אעפ,אף על פי,על זאת ואומרים,שיש
הז,הרי זה,זה אחר זה,דבר יצאו
הז,הרי זה,זה אחר זה,דבר יצאו
הז,הרי זה,עומדין בצד הנהר,צרה ומתענין
הז,הרי זה,מתים מאותו חלי,צרת צבור
הז,הרי זו,נראתה בעיר ביום,משלחת; נראתה
הז,הרי זו,ולא ברחה מפניהם,משלחת; ואם
הז,הרי זו,אדם ורדפה אחריהם,משלחת; לא
הז,הרי זו,(דברים ג יא,משלחת ואם
הז,הרי זו,שוה עשרה בששה,צרת צבור
ורח,וראש חדש,ומועד חנכה ופורים,
ברח,בראש חדש,וטוב שלא להשלים,באחד בניסן
יוהכ,יום הכפורים,אלול ואילך עד,הגה ומנהג
מרח,מראש חדש,לומר סליחות ותחנונים,אלול ואילך
מרח,מראש חדש,אינו כן אלא,ואילך מתחילין
אעפ,אף על פי,ראש השנה בתפלה,שנופלים
רח,ראש חדש,הזה ואינו מזכיר,אם חל
בעיוט,בערב יום טוב,יוצא אלא בנתבטל,ועין
אעפ,אף על פי,אם לא סתמו,שנשתנה
אעפ,אף על פי,סתמו שלא במינו,שאינו
אאכ,אלא אם כן,בכל שהוא פסול,הדקו
אאכ,אלא אם כן,כשר; ברבו פסול,נשאר
אאכ,אלא אם כן,כשר; ברבו פסול,נשאר
יא,יש אומרים,ותר"ת ג' פעמים,ששעור תקיעה
יא,יש אומרים,שברים ותרועה דתשר"ת,שאינו צריך
יא,יצא אם,מי שאומר שלא,האריך בתקיעה
