Phrase,Freq,,Alternate #1,Alternate #2,Alternate #3,Alternate #4,Alternate #5,Alternate #6,Alternate #7,Alternate #8,Alternate #9,Alternate #10,Alternate #11,Alternate #12,Alternate #13,Alternate #14,Alternate #15,Alternate #16,Alternate #17,Alternate #18,Alternate #19,Alternate #20,Alternate #21,Alternate #22,Alternate #23,,,,,,,,,,,,,,,,,,,,,,,,
מתערבי',9,|,מתערבים (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בבהמ""ק",195,|,בבית_המקדש (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כרחב""א",52,|,כרב_חייא_בר_אבין (17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מו""ב",14,|,מורנות_בריאה (85),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דאות',23,|,דאותן (5),דאותם (106),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכב""ח",9,|,וכן_בלחם_חמודות (473),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ויו""כ",197,|,ויום_כיפור (3),ויום_כפור (11),ויום_כפורים (16),ויום_כיפורים (43),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
המפר',53,|,המפרשים (0),המפרשין (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הפ""א",207,|,הפא (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דיומ',25,|,דיומא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"תוי""ש",5,|,תוספתא_וירושלמי_שם (198),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לב""ק",198,|,לבבא_קמא (3),לשיטתו_בקידושין (371),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
איס',14,|,איסור (11),איסוריו (176),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
פרעה',54,|,פרעה (406),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דוקט""י",23,|,דוקטי (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לה""א",203,|,לכל_האותיות (553),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ששי',51,|,ששים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וע""ה",202,|,ועמי_הארץ (5),ועינינו_הרואות (758),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הבכ',5,|,הבכרה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וכדכתיב',55,|,וכדכתיבנא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובאב""מ",24,|,ועיין_באבני_מלואים (58),ובאבני_מלואים (283),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
נשואו',9,|,נשואות (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ז""ת",52,|,זמן_תפלין (1),זמן_תפילין (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"לא""ת",23,|,לאשם_תלוי (65),לענין_אכילת_תרומה (732),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הבב""כ",9,|,הבא_בכיסנין (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מפיה',23,|,מפיהם (6),מפיהן (23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שב""מ",9,|,שאין_במעשיו (160),שבעי_ביאת_מים (581),שליכא_במציאות (763),שנכנס_בספק_מחמת (919),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הר""ל",52,|,הראשון_למקומו (363),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כעי""ז",25,|,כעין_זה (27),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"תח""י",205,|,תחת_ידי (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מהחת""ס",53,|,מהחתם_סופר (84),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דקו""ף",53,|,דקוף (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
המפו',189,|,המפורסם (1),המפורסים (245),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנזירו',50,|,הנזירות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בדא""ה",193,|,בדיני_אומות_העולם (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בטענ',191,|,בטענת (0),בטענה (1),בטענות (5),בטענתו (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ומדל',9,|,ומדלא (114),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ה""ן",198,|,היימן (83),היימאן (152),היניין (406),האפפמאנן (441),האט_ניט (724),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
עניני',53,|,ענינין (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לקוחו',23,|,לקוחות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אד""מ",195,|,אחד_דיני_ממונות (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מסה""ת",23,|,מדברי_ספר_התרומות (763),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דדהגול""מ",50,|,דדבר_הגורם_לממון (4),דאמרי_דבר_הגורם_לממון (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מלה""ד",197,|,משל_למה_הדבר_דומה (0),משל_למה_הדבר (10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בדאו',192,|,בדאורייתא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גימט',53,|,גימטריא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובר""פ",202,|,ובריש_פרק (0),וכן_בריש_פרק (81),ובראש_פרק (188),ועיין_בריש_פרק (252),והמרדכי_בריש_פרק (850),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שב""י",192,|,שהרב_בית_יוסף (423),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
זיק',14,|,זיקה (6),זיקתו (674),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בהל""מ",53,|,בין_הלואה_למכר (442),בין_הרבה_למעט (675),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מחויבי',50,|,מחויבים (1),מחויבין (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דל""ב",197,|,דף_לב (81),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"חוב""ט",50,|,חריף_ובקי_טובא (220),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מ""ץ",200,|,מסעמניץ (102),מטיסמניץ (185),מקאריץ (537),מהעלמעץ (770),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שמל""ת",14,|,שמסיח_לפי_תומו (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבס""א",24,|,דבספק_אחד (61),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"טו""ז",193,|,טורי_זהב (617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מפור',51,|,מפורש (0),מפורשת (145),מפורשות (314),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לחצ',14,|,לחצר (1),לחצרותיהן (285),לחצירו (376),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מהס""א",5,|,מהסטרא_אחרא (51),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בתוה""ק",243,|,בתורתו_הקדושה (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
האדמ',54,|,האדמה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בשל""ש",9,|,בשלא_לשמה (413),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וקצ""ג",15,|,וקצג (526),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שבהגמ""ר",23,|,שבהגהות_מרדכי (61),שכתב_בהגהות_מרדכי (560),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ולהתוס',210,|,ולהתוספות (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שילד',9,|,שילדתה (164),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ניזוני',50,|,ניזונית (0),ניזונים (633),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שכ""ם",5,|,שהוציא_כן_מדברי (872),שהוא_כמדורה (959),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יכול',195,|,יכולה (0),יכול (19),יכולים (25),יכולין (27),יכולות (106),יכולת (155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דזבחי',51,|,דזבחים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בפנ""י",206,|,בפני_יהושע (0),בספר_פני_יהושע (149),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כשא""צ",51,|,כשאינו_צריך (1),כשאין_צריך (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מאח',187,|,מאחר (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובמ""כ",58,|,ובמחילה_מכבודו (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דרגמ""ה",191,|,דרבינו_גרשום_מאור_הגולה (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
התחו',14,|,התחום (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שהה""א",52,|,שהשם_הנשנה_אינו (306),שההשגחה_האלהית (617),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"איסו""ה",23,|,איסור_הני (236),איסור_השליח (312),איסור_הניכר (353),איסור_החשד (546),איסור_והכא (918),איסור_הפינוי (993),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
התקנ',189,|,התקנה (0),התקנות (26),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דבכורו',51,|,דבכורות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מוחי',24,|,מוחים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אלהים',391,|,אלהים (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אק""ו",52,|,אקל_וחומר (6),אקושיא (14),אידך_קושיא (269),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נפק""מ",191,|,נפקא_מיניה (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בחיו""ג",9,|,בחיוב_גמור (48),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וביי""נ",14,|,ובסתם_יינם (67),וכן_ביין_נסך (306),ומיהו_ביין (787),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בעניני',24,|,בענינים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפטר',9,|,אפטרפוס (0),אפטרופיס (506),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שיפר',50,|,שיפרע (0),שיפרענו (12),שיפרסמו (302),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"במהדו""ק",834,|,במהדורא_קמא (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובמשמ""ש",7,|,ובמשמרת_שלום (120),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"א""ג",51,|,אגב_גם (950),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ומשכח""ל",23,|,ולא_משכחת_לה (221),והיכי_משכחת_לה (358),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ש""על",7,|,שצויתיך_על (551),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מאיסו""ב",51,|,מאיסורי_ביאה (98),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כשאומר',14,|,כשאומרת (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מהע""ז",24,|,מהלכות_עבודה_זרה (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ופר""ת",212,|,וכן_פירש_רבינו_תם (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מהפוסקי',51,|,מהפוסקים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והד""מ",197,|,והדגול_מרבבה (12),והדרכי_משה (49),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובר""א",14,|,ובתשובת_בשמים_ראש (332),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבד""ש",9,|,דגם_בדבר_שהוא (856),דבעינן_דעת_שניהם (956),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דכר',192,|,דכרבי (1),דכרב (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ולא',52,|,ולאחד (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והנ""מ",205,|,ומשני_הני_מילי (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
יחזקא',7,|,יחזקאל (155),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שלאח""ז",54,|,שלאחר_זה (342),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לית',193,|,ליתא (0),ליתיה (11),ליתה (20),ליתנייהו (110),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וכללי',5,|,וכלליו (370),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
היות',50,|,היותך (243),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ליש""א",23,|,לישא_אשה (6),לישא_אחרת (7),לישאנה (28),לישא_אותה (35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מלת',187,|,מלתא (0),מלתייהו (130),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנא',190,|,הנאה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנרא',193,|,הנראה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בכותח',50,|,בכותחא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"אברה""ם",55,|,אברהם_מדת (146),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"כמשכ""ל",218,|,כמו_שכתבתי_לעיל (19),כמו_שכתבנו_לעיל (23),כמו_שכתבנו_למעלה (223),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"זע""ן",7,|,זענען (851),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"המט""א",14,|,המטה_אפרים (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בהגד""מ",27,|,בהגהות_דרכי_משה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בט""ק",52,|,בטלית_קטן (0),בטליתות_קטנים (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
והשרי',9,|,והשרים (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"תפא""י",51,|,תפארת_יוסף (598),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ודר""ל",15,|,ודריש_לקיש (126),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בתב""ש",201,|,בתבואות_שור (0),בתבואת_שור (1),בתשובת_באר_שבע (518),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לגרש',50,|,לגרשה (0),לגרש (13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
גנבי',23,|,גנבים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבז""הז",9,|,דאף_בזמן_הזה (341),דהשתא_בזמן_הזה (352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שריות',15,|,שריותא (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דאור',50,|,דאורייתא (2),דאוריתא (11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מרבוות',23,|,מרבוותא (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הט""א",218,|,הטורי_אבן (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דמיעוט',50,|,דמיעוטא (1),דמיעוט (552),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שר""ר",5,|,שריח_רע (247),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כשיאמ',9,|,כשיאמר (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דבר""ה",190,|,דברכת_התורה (512),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מפורס',50,|,מפורסם (0),מפורסים (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וכוח""ט",16,|,וכתיבה_וחתימה_טובה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למא',14,|,למאה (352),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דיל',25,|,דילמא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
וטרי',187,|,וטריא (0),וטרינן (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
טמירת',52,|,טמירתא (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חסדי',15,|,חסדים (9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בתע""ל",23,|,בדעת_תורה_על (121),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דג""ז",188,|,דגם_זה (0),דהא_גם_זה (302),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"מבא""י",23,|,מבארץ_ישראל (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בפא""ט",51,|,בפרק_אלו_טריפות (0),בפרק_אלו_טרפות (3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"חשב""ע",23,|,חולין_שנשחטו_בעזרה (6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הנקני',23,|,הנקנין (6),הנקנים (8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ובחו""מ",194,|,וכן_בחושן_משפט (133),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שבירוש',51,|,שבירושלים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בעבור',26,|,בעבורו (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"רי""מ",54,|,רבי_יעקב_משה (1),רבי_יחיאל_מיכל (50),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"נע""פ",27,|,נופלין_על_פניהם (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וביש""ש",204,|,ובים_של_שלמה (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"קילב""מ",11,|,קים_ליה_בדרבא_מיניה (14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ויל""ב",6,|,וזה_יש_לבאר (128),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
דיומי',14,|,דיומיה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שוא""ת",199,|,שב_ואל_תעשה (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"במע""ב",25,|,במעשי_בראשית (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"להדר""ג",55,|,להדרת_גאונו (90),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הבעלי',185,|,הבעלים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"הרא""בע",27,|,החכם_רבי_אברהם_בן_עזרא (5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בכרמלי',9,|,בכרמלית (7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בשאג""א",55,|,בשאגת_אריה (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דעבחז""ל",16,|,דעידיו_בחתומיו_זכין_לו (21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
שרוב',14,|,שרובה (12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
האל',188,|,האלמנה (0),האלקים (45),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דל""ס",14,|,דהמקשה_לא_סליק (109),דבא_לסתור (474),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"והג""ר",10,|,ואמנם_הגאון_רבי (169),והרב_הגדול_רבי (437),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בקגו""ש",50,|,בקנין_גמור_ושלם (2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
לזנוני',7,|,לזנונים (212),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
התשלומי',14,|,התשלומים (136),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הדגי',23,|,הדגים (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ג""ב",23,|,גאטליב (203),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
למנו',50,|,למנות (0),למנותו (2),למנותם (65),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"בבה""ק",189,|,בבית_הקברות (1),בבית_הכנסת_קבוע (450),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"חה""פ",24,|,חול_המועד_פסח (265),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ליי""נ",52,|,ליין_נסך (0),לעשות_יין (707),לתערובת_יין (796),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"העה""ז",187,|,העולם_הזה (1),הנהגת_עולם_הזה (241),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"וצ""צ",50,|,וצמח_צדק (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"דדשיל""מ",189,|,דדבר_שיש_לו_מתירין (1),דהא_דדבר_שיש_לו_מתירין (19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מיה',51,|,מיהא (0),מיהת (1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ופלגי',7,|,ופלגינא (460),ופלגינן (907),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מחיצו',51,|,מחיצות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בערכאו',50,|,בערכאות (0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"שלכס""ד",24,|,שלא_כסדרן (18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
כדתני',191,|,כדתניא (0),כדתני (15),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
