													
Don't Edit	This column will autocomplete as you type.  It uses Column A on the "People" sheet as reference.	Required if the author does not have a description, otherwise optional but desired.If there is significant book description that goes beyond author description, it's worth entering here. If authorship is in question or anonymous, mention of that certainly belongs here.		Required if the author does not have date / place data, otherwise optional.Fill them out if the data is significant, in light of the author data.						For Reference	For Reference	For Reference	For Reference
Yad Eitan on Mishneh Torah, Fringes	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Gifts to the Poor	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Heave Offerings	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Hiring	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Human Dispositions	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Immersion Pools	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Kings and Wars	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Leavened and Unleavened Bread	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Marriage	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Mourning	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Murderer and the Preservation of Life	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Nazariteship	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Oaths	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Offerings for Unintentional Transgressions	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, One Who Injures a Person or Property	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Other Sources of Defilement	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Ownerless Property and Gifts	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Paschal Offering	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Prayer and the Priestly Blessing	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Rebels	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Red Heifer	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Repentance	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Rest on a Holiday	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Rest on the Tenth of Tishrei	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Ritual Slaughter	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Robbery and Lost Property	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Sabbath	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Sabbatical Year and the Jubilee	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Sacrifices Rendered Unfit	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Sacrificial Procedure	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Sales	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Sanctification of the New Month	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Second Tithes and Fourth Year's Fruit	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Service on the Day of Atonement	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Shofar, Sukkah and Lulav	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Slaves	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Substitution	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Tefillin, Mezuzah and the Torah Scroll	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Testimony	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, The Chosen Temple	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, The Sanhedrin and the Penalties within their Jurisdiction	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Theft	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Things Forbidden on the Altar	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Those Who Defile Bed or Seat	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Tithes	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Torah Study	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Trespass	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Vessels	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Vows	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yad Eitan on Mishneh Torah, Woman Suspected of Infidelity	Avraham Maskil L'Eitan		הערות וציוני מקורות לדברי הרמב"ם בספר משנה תורה.	1828	20		1900		Achronim				
Yekar Tiferet on Mishneh Torah, Agents and Partners	David ben Solomon ibn (Abi) Zimra	Commentary of Radvaz to the parts of Rambam's Mishneh Torah on which the commentary 'Maggid Mishneh' was not written.	פירוש הרדב"ז על החלקים במשנה תורה שלא נכתב עליהם הפירוש 'מגיד משנה'.	1540	33		1757	Izmir / Smyrna	Achronim				
Yekar Tiferet on Mishneh Torah, Slaves	David ben Solomon ibn (Abi) Zimra	Commentary of Radvaz to the parts of Rambam's Mishneh Torah on which the commentary 'Maggid Mishneh' was not written.	פירוש הרדב"ז על החלקים במשנה תורה שלא נכתב עליהם הפירוש 'מגיד משנה'.	1540	33		1757	Izmir / Smyrna	Achronim				
B'Mareh HaBazak Volume I	Kollel Eretz Chemda	Responsa consisting of Halakhic inquiries received by the members of Kollel Eretz Chemda from rabbis in Jewish communities around the world. These fascinating responsa, many of which deal with our developing modern world, have been collected in a series of books entitled "B'Mareh HaBazak".	תשובות לשאלות מרבני הגולה. השאלות מבטאות את המצב מיוחד של קהילות ישראל בכל קצוות תבל בימינו אנו. התשובות מתמודדות עם המציאות בעולם מודרני מתפתח בדרך של "דרכיה דרכי נעם". הספרים עוסקים בארבעת חלקי ה"שלחן ערוך" תוך ניסיון לקחת בחשבון גם את החלק החמישי ההופך את התורה ל"תורת חיים".	1990	2	Jerusalem, Israel	1991	Jerusalem, Israel	Contemporary				
Baal HaSulam's Introduction to Zohar	Yehudah Ashlag	An accessible contemporary introduction to the Zohar and the kabbalistic system.		1940	5	Jerusalem	1945	Jerusalem	Contemporary				
Bamidbar Rabbah	N/A	Bamidbar Rabbah (The Great Numbers) is a midrash comprising a collection of rabbinical homiletical interpretations of the Book of Genesis. It contains many simple explanations of words and sentences, often in Aramaic, suitable for the instruction of youth. It also contains varied haggadic expositions popular in the public lectures of the synagogues and schools. The tradition that Rabbi Hoshaiah is the author of Genesis Rabbah may be taken to mean that he began the work as numerous additions have been made over the subsequent years before it was redacted (4th-5th Century CE). The editor strung together various longer or shorter explanations and haggadic interpretations of the successive passages, sometimes anonymously, sometimes citing the author. Even then the text was probably not closed, for longer or shorter passages could always be added, the number of prefatory passages to a section be increased, and those existing be enlarged by accretion.  It is divided into sections variably numbered between 97-101. This arrangement shows some similarity with the triennial reading of the Torah as was practised in Israel.		400	200	Talmudic Israel/Babylon	1512	Constantinople	Amoraim				
Beur HaGra on Shulchan Arukh, Orach Chayim	Vilna Gaon	Commentary of the Vilna Gaon on Shulchan Arukh, mainly containing source references. Because of it's brief style it is often difficult to determine the author's intention, as a result of which a number of supercommentaries have been written on this work.	פירוש קצר על דברי השלחן ערוך. באופן כללי, תפקיד הפירוש הוא למצוא את מקורות הדינים בסוגיות הש"ס. מפאת קיצורו קשה לעיתים לפענח את כוונתו, ובשל כך נכתבו עליו פירושים רבים.	1773	25		1803	Shklow	Achronim				
English Explanation of Mishnah Arakhin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Avodah Zarah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Bava Batra	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Bava Kamma	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Bava Metzia	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Beitzah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Bekhorot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Berakhot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Bikkurim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Chagigah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Challah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Chullin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Demai	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Eduyot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Eruvin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Gittin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Horayot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Kelim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Keritot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Ketubot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Kiddushin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Kilayim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Kinnim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Maaser Sheni	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Maasrot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Makhshirin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Makkot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Megillah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Meilah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Menachot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Middot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Mikvaot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Moed Katan	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Nazir	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Nedarim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Negaim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Niddah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Oholot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Oktzin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Orlah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Parah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Peah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Pesachim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Rosh Hashanah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Sanhedrin	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Shabbat	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Shekalim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Sheviit	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Shevuot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Sotah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Sukkah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8		2013		Contemporary				
English Explanation of Mishnah Taanit	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Tahorot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Tamid	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Temurah	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Terumot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Tevul Yom	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Yadayim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Yevamot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Yoma	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Zavim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Mishnah Zevachim	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
English Explanation of Pirkei Avot	Joshua Kulp	A contemporary user-friendly explanation of the Mishnah.		2005	8				Contemporary				
Etz Yosef on Bamidbar Rabbah	Chanoch Zundel ben Yosef	One of the classic commentaries on Midrash and Aggadah, it is devoted to analysing the various midrashim in light of each other and earlier commentators and then attempt to find creative new solutions to the apparent contradictions in the sources.	פירוש על המדרש הכולל ליקוט של פירושים קודמים כמו גם חידושים עצמיים.	1820	13	Białystok	1833	Warsaw	Achronim				
Etz Yosef on Bereishit Rabbah	Chanoch Zundel ben Yosef	One of the classic commentaries on Midrash and Aggadah, it is devoted to analysing the various midrashim in light of each other and earlier commentators and then attempt to find creative new solutions to the apparent contradictions in the sources.	פירוש על המדרש הכולל ליקוט של פירושים קודמים כמו גם חידושים עצמיים.	1820	13	Białystok	1833	Warsaw	Achronim				
Etz Yosef on Devarim Rabbah	Chanoch Zundel ben Yosef	One of the classic commentaries on Midrash and Aggadah, it is devoted to analysing the various midrashim in light of each other and earlier commentators and then attempt to find creative new solutions to the apparent contradictions in the sources.	פירוש על המדרש הכולל ליקוט של פירושים קודמים כמו גם חידושים עצמיים.	1820	13	Białystok	1833	Warsaw	Achronim				
Etz Yosef on Shemot Rabbah	Chanoch Zundel ben Yosef	One of the classic commentaries on Midrash and Aggadah, it is devoted to analysing the various midrashim in light of each other and earlier commentators and then attempt to find creative new solutions to the apparent contradictions in the sources.	פירוש על המדרש הכולל ליקוט של פירושים קודמים כמו גם חידושים עצמיים.	1820	13	Białystok	1833	Warsaw	Achronim				
Etz Yosef on Vayikra Rabbah	Chanoch Zundel ben Yosef	One of the classic commentaries on Midrash and Aggadah, it is devoted to analysing the various midrashim in light of each other and earlier commentators and then attempt to find creative new solutions to the apparent contradictions in the sources.	פירוש על המדרש הכולל ליקוט של פירושים קודמים כמו גם חידושים עצמיים.	1820	13	Białystok	1833	Warsaw	Achronim				
Haflaah on Ketubot	Pinchas Horowitz	Talmudic novellae on Tractate Ketubot by Rabbi Pinchas Horowitz of Frankfurt.	פירוש על מסכת כתובות מאת רבה של פרנקפורט דמיין, רבי פנחס הלוי איש הורוויץ. שם הספר מורכב מראשי התיבות של שמו: הקטן פנחס הלוי איש הורוויץ.	1770	15	Frankfurt am Main, Germany	1787	Offenbach	Achronim				
Maamar Hador	Avraham Yitzchak HaCohen Kook	Essay authored by Rabbi Avraham Yitzchak Kook dealing with the question of the attitude required of traditionalist Jewry toward secularist Zionism, and how to deal with the fact that the Zionist movement was founded and led by non-observant Jews.	מאמר יסוד בהגותו של הרב אברהם יצחק הכהן קוק, העוסק בשאלת היחס המתבקש של היישוב הישן לציונות החילונית, וכיצד יש לתפוס את העובדה שהציונות מונהגת על ידי יהודים שאינם שומרי תורה ומצוות.	1906		Jerusalem, Israel	1906	Jaffa	Achronim				
Maamar Mezake HaRabim	Yosef Yozel Horowitz 			1905	11	Navahrudak (Novogrudok )	1922	Pietrykaŭ, Belarus 	Achronim				
Machatzit HaShekel on Orach Chayim	Samuel Kolin	Comprehensive supercommentary on Abraham Abele Gombiner's "Magen Abraham" on Shulchan Arukh Orach Chayim, printed in most editions.	ביאור ארוך על פירוש 'מגן אברהם' לשולחן ערוך אורח חיים, נדפס על הדף ברוב מהדורות השלחן ערוך.	1780	25	Boskovice	1807	Vienna	Achronim				
Machzor Vitry	Simchah of Vitry	Halakhic compendium by R' Simcha of Vitry, a disciple of Rashi, in which the author records many of the decisions and responsa of his teacher, in addition to those of other major authorities, such as R' Amram Gaon, R' Hai Gaon, Rabbeinu Gershom and Rif.		1080	25	Vitry-sur-Seine	1889	Berlin	Rishonim				
Mevo HaTalmud (Chajes)	Zvi Hirsch Chajes	Introduction to the Talmud, in which the author deals with both the Halakha (legal aspects of the Talmud), and the Aggadah (non-legal portions), as well as presenting a detailed history and classification of the Talmud and its underlying oral tradition.		1840	5	Zhovkva	1845	Lemberg, Galicia	Achronim				
Olat Reiyah	Avraham Yitzchak HaCohen Kook	Commentary on the Siddur (Jewish prayer book) by Rav Avraham Yitzchak Kook.	פירוש על סידור התפילה מהרב אברהם יצחק הכהן קוק.	1915	15		1949	Jerusalem, Israel	Achronim				
Orot HaTorah	Avraham Yitzchak HaCohen Kook	Rav Kook's conceptual essay on the meaning, purpose and advisable structure of Torah study.		1910	15		1940	Jerusalem	Achronim				
Pri Etz Hadar		Seder for Tu biShvat — written by an unknown author from the school of Rabbi Yitzchak Luria (Arizal) —  first published as a pamphlet in Venice in 1728. It contains four basic sections: After an introduction that explains the basis for the Tu biShvat seder, there is a prayer to be said before the actual seder begins. This is followed by a description of the order of the fruit to be eaten and the way wine should be blended in each of the four cups. The bulk of the seder consists of selections from the Bible, early rabbinic texts, and the greatest portion of this material is taken from the Zohar.		1650	50	Safed	1728	Venice	Achronim				
Shabbat Siddur Sefard Linear	Avrahom Davis	A linear translation into English of the traditional Sefard (Chassidic) rite on Shabbat.		1980	2		1981	New York	Contemporary				
The Testaments of the Twelve Patriarchs		Apocryphal work purported to be the last exhortations of the twelve sons of Jacob to their children. Scholarly opinions tend to regard this book as a Christian work, either as an originally Jewish document that has been retouched by Christians, or a Christian document written originally in Greek but based on some earlier Semitic-language material.	אחד מן הספרים החיצוניים, המתאר לכאורה את צוואותיהם של בני יעקב אבינו לבניהם. הוא לא נתקבל על ידי חכמי היהדות לאורך הדורות, ולדעת החוקרים הוא נחשב כיצירה נוצרית במקור, או כמסמך יהודי שבמשך השנים נוספו לו תוספות מאוחרות על ידי נוצרים.	200 BCE	150								
Tosafot Chad Mikamei on Yevamot		Medieval commentary by an unknown Tosafist on Tractate Yevamot, printed alongside the Talmudic text in the Vilna Edition.	פירוש מאחד מבעלי התוספות בזמן הראב"ד, נדפס על הדף בדפוס ווילנא. 	1200	50				Rishonim				
Urim VeTumim, Tumim	Jonathan Eybeschutz	Commentary of Rabbi Yonatan Eybeschutz on Choshen Mishpat.		1739	25		1775	Karlsruhe	Achronim				
Urim VeTumim, Urim	Jonathan Eybeschutz	Commentary of Rabbi Yonatan Eybeschutz on Choshen Mishpat.		1739	25		1775	Karlsruhe	Achronim				
Barukh She'amar on Pesach Haggadah	Barukh HaLevi Epstein	Commentary on the Passover Haggadah by Rabbi Barukh Epstein, author of Torah Temimah on Chumash.	פירוש על הגדה של פסח מבעל "תורה תמימה." 	1920	20		1940	Vilna	Achronim				
Ben Yehoyada on Berakhot	Yosef Hayyim	Extensive commentary on the Aggadic portions of the Talmud, authored by the famed Sephardic Halakhic authority, Rabbi Yosef Hayyim of Baghdad (Ben Ish Chai).	ביאור רחב על כל חלקי האגדה של התלמוד בבלי וירושלמי, חובר על ידי רב יוסף חיים מבגדד (בן איש חי).	1880	20	Baghdad, Iraq	1897-1903	Jerusalem	Achronim				
Beur HaRe'em on Midrash Lekach Tov	Aaron Moses Padua of Karlin			1850	15		1865	Warsaw	Achronim				
Birkat Asher on Torah	Asher Wassertheil	A contemporary commentary focused on the elucidation of Rashi's commentary on the Torah.		1985	25	Jerusalem, Israel	2009	Jerusalem	Contemporary				
Chiddushei Ramban on Chullin	Ramban	Chiddushei Ramban are Ramban’s glosses on the Talmud. Ramban (1194–1270) was considered a great scholar at a young age. His commentary on the Talmud reflects his depth of knowledge and his deep respect for the legal authorities that came before him. 		1245	25				Rishonim				
Chiddushei Ramban on Megillah	Ramban	Chiddushei Ramban are Ramban’s glosses on the Talmud. Ramban (1194–1270) was considered a great scholar at a young age. His commentary on the Talmud reflects his depth of knowledge and his deep respect for the legal authorities that came before him. 		1245	25				Rishonim				
Chiddushei Ramban on Niddah	Ramban	Chiddushei Ramban are Ramban’s glosses on the Talmud. Ramban (1194–1270) was considered a great scholar at a young age. His commentary on the Talmud reflects his depth of knowledge and his deep respect for the legal authorities that came before him. 		1245	25				Rishonim				
Chiddushei Ramban on Shevuot	Ramban	Chiddushei Ramban are Ramban’s glosses on the Talmud. Ramban (1194–1270) was considered a great scholar at a young age. His commentary on the Talmud reflects his depth of knowledge and his deep respect for the legal authorities that came before him. 		1245	25				Rishonim				
