French Word,Talmud Ref,French Rashi Matches,Hebrew Rashi Matches (if different),Loazei Rashi Info
"הינדא/ויצ""א",Bekhorot 37b,Rashi on Bekhorot 37b:15:1,,"2325 בכורות לז: <b>הינדא</b><br>ויצ""א [vece] wece <b>בקיה</b><br><small>ראה לעיל מס' 115.$
</small>","(37b:15:1) הינדא - בלשון זה היו מכירין ובלשון לע""ז ויצ""א:"
"(אזנו)[אוזן]/אנש""א",Bekhorot 38a,,,"2326 בכורות לח. <b>(אזנו)[אוזן]</b><br>אנש""א anse <b>אוז, ידית (של כלי)</b><br><small>הלעז משובש בדפוסים.$
</small>"
"דק/טייל""א",Bekhorot 38a,Rashi on Bekhorot 38a:21:2,,"2327 בכורות לח. <b>דק</b><br>טייל""א teile <b>תבלול (כתם בעין המצמצם את הראייה)</b><br><small>ר' מילונו של לוי (מס' 756).$
</small>","(38a:21:2) הרי בעינו דק - כלומר הרי שיש בעינו דק טייל""א:"
"חלזון/לימ""ץ",Bekhorot 38a,Rashi on Bekhorot 38a:21:4,,"2327א בכורות לח. <b>חלזון</b><br>לימ""ץ limaz <b>מחלה בעין</b><br><small>ראה לעיל מס' 1826. הבלשן השוודי ג' טילנדר מצא בכתב-יד מהמאה הט""ו שברשותו על ריפוי מחלות הסוסים את המלה limaison, המציינת זיהום בעין הסוס. הוא משווה אותה עם limace, המופיעה במילון Littre במשמעות זיהום בכף רגלו של השור
</small>","(38a:21:4) חלזון - חולי היא שקורין לימו""ן:"
"עצב/מייל""א",Bekhorot 38a,Rashi on Bekhorot 38a:21:2,Rashi on Bekhorot 38a:21:6,"2328 בכורות לח. <b>עצב</b><br>מייל""א [maille] meile <b>ברקית</b><br><small>ראה לעיל מס' 296.$
</small>","(38a:21:2) הרי בעינו דק - כלומר הרי שיש בעינו דק טייל""א:"
"שחור/פרוניל""א",Bekhorot 38a,Rashi on Bekhorot 38a:21:7,,"2329 בכורות לח. <b>שחור</b><br>פרוניל""א prunele <b>אישון (של עין)</b><br><small>$
</small>","(38a:21:7) לבן הפוסק בסירא - סירא היינו שורה שבעין סביב לשחור. שחור הוא שקורין פרוניל""א שמשם מראית העין באה. ואם חוט של לבן יוצא מן הלבן ופוסק אותה שורה ונכנס בשחור הוי מום:"
"ברקא/מייל""א",Bekhorot 38b,Rashi on Bekhorot 38b:3:1,,"2330 בכורות לח: <b>ברקא</b><br>מייל""א [maille] meile <b>ברקית</b><br><small>ראה לעיל מס' 296.$
</small>","(38b:3:1) וסימניך ברקא - מייל""א דהוי לבן וצף והוי מום הכא נמי סימן זה יהא לך בדוק דלבן וצף הוי מום:"
"תבן ומספוא/פיי""ן",Bekhorot 38b,,Rashi on Bekhorot 38b:11:3,"2331 בכורות לח: <b>תבן ומספוא</b><br>פיי""ן fein <b>חציר (למאכל בהמה)</b><br><small>הלעז משובש בדפוסים. ספק, אם בא הלעז לפרש שתי מלים, כדברי בלונדהיים, או רק את האחרונה; נראה, שהוא מפרש ""מספוא"" בלבד.$
</small>","(38b:11:3) אכל לח ויבש של גשמים - אם האכילוהו לרפואה תבן ומספוא שקורין פיצ""א:"
"מתאימות/מישיליר""ש",Bekhorot 39a,Rashi on Bekhorot 39a:10:1,,"2332 בכורות לט. <b>מתאימות</b><br>מישיליר""ש [maisseles] meselers <b>(שיניים) טוחנות</b><br><small>ראה לעיל מס' 68.$
</small>","(39a:10:1) מתני' מתאימות - שיניים גדולות שקורין מיינשליר""ש שאחת נראית כשתים:"
"כווצן/ריריי""ט",Bekhorot 39b,,Rashi on Bekhorot 39b:10:3,"2333 בכורות לט: <b>כווצן</b><br>ריריי""ט [retrait] retreit <b>מתכווץ (או מכֻווץ)</b><br><small>$
</small>","(39b:10:3) זימנין דכווצן - רטייר""ט אפי' כשהן בריאות:"
"כסלים/פלנק""ש",Bekhorot 40a,Rashi on Bekhorot 40a:5:5,,"2334 בכורות מ. <b>כסלים</b><br>פלנק""ש flancs <b>כסלים (השרירים הפנימיים של הירך סמוך לכליה)</b><br><small>עיין לעיל מס' 1477.$
</small>","(40a:5:5) כסלים - פלנק""ש:"
"(ש)נשמטה/אישלוישיי""ר",Bekhorot 40a,,,"2335 בכורות מ. <b>(ש)נשמטה</b><br>אישלוישיי""ר esloisier [esloissier] <b>לשמוט</b><br><small>מדובר ביד או ברגל שנקעה, דהיינו שעצמה יצאה מפרקה. חסר בדפוסים.$
</small>"
"כסלי/פלנ""ק",Bekhorot 40a,"Rashi on Bekhorot 40a:14:1,
Rashi on Bekhorot 40a:5:5",,"2336 בכורות מ. <b>כסלי</b><br>פלנ""ק flanc <b>כסל (השריר הפנימי של הירך סמוך לכליה)</b><br><small>עיין לעיל מס' 1477.$
</small>","(40a:14:1) כסלי - פלנ""ק:
,
(40a:5:5) כסלים - פלנק""ש:"
"קצרות ברוחב/אינירפלי""ד",Bekhorot 40b,Rashi on Bekhorot 40b:5:2,,"2337 בכורות מ: <b>קצרות ברוחב</b><br>אינירפלי""ד enjarples <b>קצר מדאי</b><br><small>מקור המלה הצרפתית לא ברור. המלה היחידה הדומה במקצת היא jarbe/garbe (אלומה). כלום אפשר לראות ברגליים מבולמות – רגליים מאולמות?$
</small>","(40b:5:2) מבולמות - קצרות ברוחב אנקפלי""ד בלע""ז:"
"יבלת/וירוא""ה",Bekhorot 40b,,"Rashi on Bekhorot 40b:9:1,
Rashi on Bekhorot 40b:11:2","2338 בכורות מ: <b>יבלת</b><br>וירוא""ה [verrue] werue <b>יבלת</b><br><small>$
</small>","(40b:9:1) מתני' יבלת - ורואי""ן:,
(40b:11:2) והא כתיב יבלת באורייתא - גבי מומין גמורין (ויקרא כב) עורת או שבור או חרוץ או יבלת:"
"חטרות/חלדרובי""ש",Bekhorot 43a,Rashi on Bekhorot 43a:5:2,,"2339 בכורות מג. <b>חטרות</b><br>חלדרובי""ש haldrobes <b>חטוטרות, דבשות</b><br><small>ראה לעיל מס' 216.$
</small>","(43a:5:2) חטרות - חלדרוב""ש:"
"גבינין/שורציל""ש",Bekhorot 43a,Rashi on Bekhorot 43a:12:1,,"2340 בכורות מג. <b>גבינין</b><br>שורציל""ש sorcils <b>גבות-עיניים</b><br><small>$
</small>","(43a:12:1) גבן וחרום ליתנהו בבהמה - דגבן היינו שיש לו גבינים שקורין שורציל""ש ובהמה לית לה גבינים וחרום היינו שחוטמו בין שתי עיניו ובהמה אין לה חוטם בין העינים:"
"דה""מ שקוט מלפניו/בישאגו""ד",Bekhorot 43b,,,"2341 בכורות מג: <b>דה""מ שקוט מלפניו</b><br>בישאגו""ד besagud <b>כלי בעל שני ראשים חדים</b><br><small>ראה לעיל מס' 892.$
</small>"
"שמוט/אישלוישיי""ר",Bekhorot 43b,,,"2342 בכורות מג: <b>שמוט</b><br>אישלוישיי""ר [esloissier] esloisier <b>לשמוט</b><br><small>ראה לעיל מס' 2335. נראה, שעדיפה גרסת הדפוסים אישלוישי""ד [צ""ל אישלוישיי""ד] esloisied, שמוט.$
</small>"
"גבינים/שורציל""ש",Bekhorot 43b,Rashi on Bekhorot 43b:13:1,,"2343 בכורות מג: <b>גבינים</b><br>שורציל""ש sorcils <b>גבות עיניים</b><br><small>$
</small>","(43b:13:1) מתני' גבינים - שורציל""ש:
"
"עלקא/שנשוא""ה",Bekhorot 44b,Rashi on Bekhorot 44b:5:1,,"2344 בכורות מד: <b>עלקא</b><br>שנשוא""ה sansue <b>עלוקה</b><br><small>$
</small>","(44b:5:1) ותיפוק לי משום עלקא - דקתני לעיל שבקש להשתין ולא השתין ונמצא כריסו צבה ממאי דמשום המתנה הוה ליה דלמא עלקא שתה שקורין שנשוא""ה לפיכך צבה כריסו:"
"בן נפילים/נויטו""ם",Bekhorot 44b,,Rashi on Bekhorot 44b:11:1,"2345 בכורות מד: <b>בן נפילים</b><br>נויטו""ם nuitum <b>שדון</b><br><small>בצרפתית של היום lutin. כפי הנראה נגזר משם האליל Neptunus, בהשפעת nuit (לילה). ור' גם להלן מס' 2389.$
</small>","(44b:11:1) נאלת רוח שטות ע""י שד זהו בן נפילים נוייטו""ן:"
"איסתמרא/קיביל""א",Bekhorot 45a,Rashi on Bekhorot 45a:4:4,,"2346 בכורות מה. <b>איסתמרא</b><br>קיביל""א [cheville] chevile <b>קרסול</b><br><small>$
</small>","(45a:4:4) כסתות הרבה - שאיסתמרא שלו שקורין קביל""א גדולה מאד:"
"קלוש/טינב""א",Bekhorot 45a,Rashi on Bekhorot 45a:5:1,,"2347 בכורות מה. <b>קלוש</b><br>טינב""א tenve <b>דק, רזה</b><br><small>בדפוס וילנא נדבקו בטעות הפירוש העברי של ""טריפה"": קלוש, והלעז טינב""א. נראה, שלפי שיטת בלונדהיים, המביא תמיד את המלה הסמוכה ללעז, אין להציב כאן את ""טריפה"" כאילו היא מלה, שהלעז מפרש אותה, אלא ""קלוש"". אך יש להעיר, שהוראה זו של המלה ""טריפה"" נדירה ביותר, ואף אינה מופיעה במילון של Jastrow, עי אם אולי במשמעות ""להישיר, להקציע"" (הוראה מס' 6 של טָרַף); ור' גם ב""ערוך השלם"" כרך ד', ע' 92.$
</small>","(45a:5:1) טריפה - קלושטנב""א: "
"צירין/קרדיניל""ש",Bekhorot 45a,Rashi on Bekhorot 45a:17:1,,"2348 בכורות מה. <b>צירין</b><br>קרדיניל""ש chardenels <b>צירים (של דלת וכדומה)</b><br><small>$
</small>","(45a:17:1) צירין - קרדונ""ש:"
"סומקא/רו""ש",Bekhorot 45b,Rashi on Bekhorot 45b:6:1,,"2349 בכורות מה: <b>סומקא</b><br>רו""ש ros <b>אדמוני</b><br><small>יש חוקרים המציעים לתקן את הדה""מ מ""סומקא"" ל""גיחור"", כמו לעיל מס' 27 (לפי התיקון המקובל), 82, 90.$
</small>","(45b:6:1) גמ' סומקא - רו""ש בלעז:"
"בוהק/לינטילו""ש",Bekhorot 45b,,Rashi on Bekhorot 45b:8:1,"2350 בכורות מה: <b>בוהק</b><br>לינטילו""ש [lentillos] lentilos <b>עדשן, שעורו מנומש בכעין עדשים</b><br><small>חסר בדפוסים.$
</small>",(45b:8:1) בוהק - שלבן ביותר:
"דבש/מי""ץ",Bekhorot 45b,Rashi on Bekhorot 45b:10:3,,"2351 בכורות מה: <b>דבש</b><br>מי""ץ mez <b>מי-דבש</b><br><small>רש""י רוצה להסביר, מה הוא דבש לשתייה.$
</small>","(45b:10:3) דבש - מי""ד בלע""ז מים ודבש שלוקין ביחד חייב מלקות כר' יהודה מוקמינן לה בפרק אמרו לו בכריתות (שם) דקאמר התם על שאר משכרין באזהרה דאל תשת דכיון דכתיבי שאר משכרין מחלי עבודה דהא כתיב בין הקודש ובין החול ומתני' דלא חשיב להו גבי הנך דמחלי עבודה דלא כר' יהודה:"
"סול/ברוק""א",Bekhorot 51a,Rashi on Bekhorot 51a:15:1,,"2352 בכורות נא. <b>סול</b><br>ברוק""א broche <b>שפוד, קנה-עץ מחודד</b><br><small>$
</small>","(51a:15:1) הסול - ברוק""א בלע""ז:"
"אבטילאות/קונטרידי""ש",Bekhorot 55a,Rashi on Bekhorot 55a:6:2,,"2353 בכורות נה. <b>אבטילאות</b><br>קונטרידי""ש contredes <b>חבלי ארץ</b><br><small>ראה לעיל מס' 1028. כוונת רש""י לשני מחוזות שונים, השייכים למלכות אחת.$
</small>","(55a:6:2) אבטילאות - קונטריד""ש שני אפרכיות ובמלכות אחת:"
"מחצלות של קנים/קליידי""ש",Bekhorot 55b,Rashi on Bekhorot 55b:7:1,,"2354 בכורות נה: <b>מחצלות של קנים</b><br>קליידי""ש cleides <b>רשתות-נצרים, מחצלות</b><br><small>$
</small>","(55b:7:1) ומפצי ביומי תשרי - כשהיו טובלות בנהר ביומי תשרי הי' עושה להם מחצלות של קנים שקורין קלויי""ש ומשליכן לתוך המים ועומדות עליהן וטובלות לפי שבימי תשרי יש טיט רך בנהרות אצל שפתם וחושש שמא יעלה טיט למעלה על רגליהן ויהיה חוצץ:"
"חזירין/לייטוגי""ש",Bekhorot 57b,,Rashi on Bekhorot 57b:4:1,"2355 בכורות נז: <b>חזירין</b><br>לייטוגי""ש [laitugues] leituges <b>חסוֹת (ירקות)</b><br><small>ראה לעיל מס' 624.$
</small>","(57b:4:1) ועוד העיד דבר זה חזירין שבמקומנו - לשון חזרת ירק שלועזים לטוג""א:"
"המסס/צינפיי""ל",Bekhorot 57b,,Rashi on Bekhorot 57b:4:2,"2356 בכורות נז: <b>המסס</b><br>צינפיי""ל cenpeil <b>המסס (החלק השלישי בקיבת מעלי-הגירה)</b><br><small>ראה לעיל מס' 160.$
</small>","(57b:4:2) בבית המסס - היינו אותן עלין קטנים כמו הבשר עצמו שיש באותו המסס של בהמה שקורין צינטול""א:"
"מוזרתא/טורניד""א",Bekhorot 57b,Rashi on Bekhorot 57b:5:4,,"2357 בכורות נז: <b>מוזרתא</b><br>טורניד""א tornede <b>(ביצה) מקולקלת</b><br><small>כפי הנראה אותו מושג כמו בפועל torner (לעיל מס' 1667).$
</small>","(57b:5:4) מוזרתא הואי - בלע""ז טורני""ך שלא היתה ראויה לאפרוח לכך השליכה:"
"סקרתא/מיני""א",Bekhorot 58a,Rashi on Bekhorot 58a:13:1,,"2358 בכורות נח. <b>סקרתא</b><br>מיני""א [minie] minie <b>צבע אדום (העשוי מתחמוצת העופרת)</b><br><small>ראה לעיל מס' 1259.$
</small>","(58a:13:1) סקרתא - בלע""ז מצו""א שצובעין העשירי:"
"נר/קרוישו""ל",Arakhin 6b,Rashi on Arakhin 6b:2:2,,"2359 ערכין ו: <b>נר</b><br>קרוישו""ל croisol <b>מנורה</b><br><small>ראה לעיל מס' 135. בסוגייתנו מדובר ב""מנורה או נר"". כפי הנראה, ""מנורה"" היא מערכת של כמה נרות.$
</small>","(6b:2:2) נר - קרוישוי""ל של כסף או של זהב:"
"חלילין/קלימיל""ש",Arakhin 10a,Rashi on Arakhin 10a:3:3,,"2360 ערכין י. <b>חלילין</b><br>קלימיל""ש chalemels <b>חלילים (כלי-נגינה)</b><br><small>$
</small>","(10a:3:3) משני חלילין - חליל קלמייל""ש בלע""ז:"
"דק/טינבי""ש",Arakhin 10b,Rashi on Arakhin 10b:11:2,,"2361 ערכין י: <b>דק</b><br>טינבי""ש tenves <b>דק, רזה</b><br><small>לגבי הסיומת –s, ר' לעיל מס' 932 ועוד, בימי-הביניים שימשה ה – s הסופית לא רק לסימן הריבוי, אלא גם ליחסות מסוימות, ורש""י נהג כפי הנראה לפי הדקדוק המקובל.$
</small>","(10b:11:2) דק - טינב""ש. גילדו דקה:"
"צלצל/צינבי""ש",Arakhin 10b,Rashi on Arakhin 10b:11:3,,"2362 ערכין י: <b>צלצל</b><br>צינבי""ש cenbes <b>צלצלים, פעמונים</b><br><small>ראה לעיל מס' 589.$
</small>","(10b:11:3) צלצל - שני כלים מכין זה ע""ג זה וקולם דק וקורין להן צנב""ש:"
"ממורק/לוישנ""ט",Arakhin 10b,Rashi on Arakhin 10b:13:3,,"2363 ערכין י: <b>ממורק</b><br>לוישנ""ט luisant <b>מבהיק</b><br><small>$
</small>","(10b:13:3) ממורק - קלל לויישנ""ט:"
"טבלא גורגדנא/אישקיליט""א",Arakhin 10b,Rashi on Arakhin 10b:17:1,,"2364 ערכין י: <b>טבלא גורגדנא</b><br>אישקיליט""א eschelete <b>פעמון</b><br><small>כאן, בניגוד לכל המקומות האחרים, שבהם הופיע, הלעז מציין את כל הפעמון ולא רק את הזוג. אלא אם כן מעיזים לתקן את הנוסח של רש""י: ""הרדוולים טבלא גורגדנא. עינבל וזוג שקורין אישקיליט""א"".$
</small>","(10b:17:1) הרדווליס טבלא גורגדנא - זוג ועינבל שקורים אישקליט""א:"
"מגריפה/ודי""ל",Arakhin 10b,Rashi on Arakhin 10b:18:1,,"2365 ערכין י: <b>מגריפה</b><br>ודי""ל [vadil] wadil <b>יעה, מגרפה</b><br><small>ראה לעיל מס' 1093.$
</small>","(10b:18:1) מגריפה - שבה גורפין את דשן המזבח. וודי""ל והוא כעין כף:"
"דה""מ עבידתא חד עבדי/צינבי""ש",Arakhin 13b,Rashi on Arakhin 13b:5:3,,"2366 ערכין יג: <b>דה""מ עבידתא חד עבדי</b><br>צינבי""ש cenbes <b>צלצלים, פעמונים</b><br><small>ראה לעיל מס' 589.$
</small>","(13b:5:3) עבידתא חד עבדי - דאין אחד מועיל בלא חבירו שהן ב' חתיכות רחבות של מתכת ומכין זו על זו וקורין צינב""ש:"
"פטיט/פוילי""ר",Arakhin 16b,Rashi on Arakhin 16b:3:1,,"2367 ערכין טז: <b>פטיט</b><br>פוילי""ר [faveler] faweler <b>לפטפט</b><br><small>$
</small>","(16b:3:1) פטיט - לשון קול היוצא בחשאי ובלע""ז פולי""ר:"
"אציל/אישיל""א",Arakhin 19a,Rashi on Arakhin 19a:5:3,,"2368 ערכין יט. <b>אציל</b><br>אישיל""א [aissele] aisele <b>בית-שחי</b><br><small>ראה להלן מס' 2414.$
</small>","(19a:5:3) עד מרפיקו - אציל שקורין איישיל""א וכשמכניסה יוצאין המים וכשמוציאה נמצאת חסירה:"
"קיבורא/ברדו""ן",Arakhin 19b,Rashi on Arakhin 19b:7:2,,"2369 ערכין יט: <b>קיבורא</b><br>ברדו""ן bradon <b>חלק (הזרוע), שהוא מלא בשר</b><br><small>ראה לעיל מס' 9.$
</small>","(19b:7:2) קיבורא - ברדו""ן בלע""ז בגובה הזרוע רחוק מן האציל מעט:"
"קב/אישקצ""א",Arakhin 19b,Rashi on Arakhin 19b:8:1,,"2370 ערכין יט: <b>קב</b><br>אישקצ""א eschacc <b>קב (של נכה-רגל)</b><br><small>ראה לעיל מס' 265.$
</small>","(19b:8:1) פרט לבעלי קבין - מי שנחתך רגלו בפרק ראשון סמוך לשוקו וחוקק קב מקבל כתיתין ונותן שוקו לתוכה וקורין אשקנצ""א שפטור מן הראיה דאין לו רגל. אלמא לא מיקרי רגל אלא עד פרק א' שקורין קביל""א:"
"איסתוירא/קיביל""א",Arakhin 19b,Rashi on Arakhin 19b:8:1,Rashi on Arakhin 19b:12:2,"2371 ערכין יט: <b>איסתוירא</b><br>קיביל""א [cheville] chevile <b>קרסול</b><br><small>בדפוסים הלעז רשום גם בסוף דה""מ ""פרט לבעלי קבין"", וזו כפי הנראה תוספת מאוחרת.$
</small>","(19b:8:1) פרט לבעלי קבין - מי שנחתך רגלו בפרק ראשון סמוך לשוקו וחוקק קב מקבל כתיתין ונותן שוקו לתוכה וקורין אשקנצ""א שפטור מן הראיה דאין לו רגל. אלמא לא מיקרי רגל אלא עד פרק א' שקורין קביל""א:"
"מעצדין/דולידויר""א",Arakhin 23b,,Rashi on Arakhin 23b:13:2,"2372 ערכין כג: <b>מעצדין</b><br>דולידויר""א doledoire <b>מעצד (מעין גרזן)</b><br><small>לפי גרסת הדפוסים יש לפנינו צורת הריבוי דולידוירי""ש doledoires.$
</small>","(23b:13:2) מעצדין - דלדור""ש. מגירה שייג""א סכין מלא פגימות וחותך מהר כעין שיש לעושי מסריקות:"
"מגירה/שיר""א",Arakhin 23b,,"Rashi on Arakhin 23b:13:2,
Rashi on Arakhin 23b:8:2,
Rashi on Arakhin 23b:14:1","2373 ערכין כג: <b>מגירה</b><br>שיר""א [serre] sere <b>משור</b><br><small>ראה לעיל מס' xox.$
</small>","(23b:13:2) מעצדין - דלדור""ש. מגירה שייג""א סכין מלא פגימות וחותך מהר כעין שיש לעושי מסריקות:,
(23b:8:2) אלא הפודה פודה - בעלים פודין אותן מן ההקדש בזול בדינר או בדבר מועט על מנת לשלם דודאי לא חייל עלייהו הקדש שהרי אינו שלו והאי דבר מועט משום גזירה הוא כדמפרש בגמרא:,
(23b:14:1) מין אחד הרבה ומין אחד מועט - כגון ג' מעצדים ומגירה אחת נותן שנים מן המרובה והשלישית לגזבר:"
"מידק/קלי""ר",Arakhin 25a,Rashi on Arakhin 25a:8:7,,"2374 ערכין כה. <b>מידק</b><br>קלי""ר cler <b>בהיר, דליל</b><br><small>ראה לעיל מס' 956.$
</small>","(25a:8:7) <b>מעובה</b> שנותנין בה זרע מרובה. מידק שנותנין זרע מועט ובלע""ז קליי""ר:"
"קיבר/שיאונדיי""ר",Arakhin 30b,Rashi on Arakhin 30b:2:1,,"2375 ערכין ל: <b>קיבר</b><br>שיאונדיי""ר seondier <b>משני, בעל איכות נחותה</b><br><small>$
</small>","(30b:2:1) קיבר - שגונדיי""ר:"
"מגדלות/מישטיי""ר",Arakhin 32a,Rashi on Arakhin 32a:6:2,,"2376 ערכין לב. <b>מגדלות</b><br>מישטיי""ר mestier <b>מזנון לשמירת אוכל</b><br><small>ראה לעיל מס' 155.$
</small>","(32a:6:2) מגדלות - משטיי""ר וקבועה בקרקע:"
"מגדלות/יפרייט""א",Arakhin 32a,,Rashi on Arakhin 32a:6:2,"2377 ערכין לב. <b>מגדלות</b><br>יפרייט""א jafreite <b>ארון</b><br><small>ראה לעיל מס' 154. חסר בדפוסים. בכתבי-היד כתוב, שהמלה ""בלשון אשכנז"".$
</small>","(32a:6:2) מגדלות - משטיי""ר וקבועה בקרקע:"
"גונח/פלניאנ""ט",Temurah 15b,Rashi on Temurah 15b:17:1,,"2378 תמורה טו: <b>גונח</b><br>פלניאנ""ט planiant [plaignant] <b>מתייפח, מתאונן</b><br><small>ראה לעיל מס' 1153. יש לתמוה על כך, שזה הלעז היחיד בכל המסכת.$
</small>","(15b:17:1) גונח - פלניי""ט בלע""ז צועק מכאב לבו כמו גנוחי גנח באימיה דסיסרא (שופטים ה בתרגום):"
"צרי/גומ""א",Keritot 6a,Rashi on Keritot 6a:15:1,,"2379 כריתות ו. <b>צרי</b><br>גומ""א gome <b>שָֹרָף</b><br><small>$
</small>","(6a:15:1) הצרי - שרף נטף כדמפרש לקמן שרף [הנוטף] מעצי הקטף ושרף היינו מידי דמנטף מן העץ וקורין גומ""א:"
"חלבנה/גלבינ""א",Keritot 6a,Rashi on Keritot 6a:15:3,,"2380 כריתות ו. <b>חלבנה</b><br>גלבינ""א galbena <b>שרף של סוג כלך (צמח סוככי) באיטלקית</b><br><small>השרף הזה ידוע מהתורה (שמות ל', ל""ד) ושמו העברי עבר לשפות אירופה (לטינית וצרפתית galbanum וגם איטלקית של היום galbano). ועל-כך הפרשן רוצה להצביע. המקורות שלפנינו (בשניהם גלבנ""א) מעידים על צורה דיאלקטית איטלקית – הלא ידוע לנו, שפירוש מסכת כריתות אינו מאת רש""י – ובשום אופן לא על צורה צרפתית, לא בלשון העם (galme, ר' לעיל מס' 1309) ולא בלשון משכילי הכנסייה (galbanum). העובדה, שאותה צורה מצויה בפירוש רש""י על התורה (שמות כנ""ל), מוכיחה, שהחומר היה ידוע בשמו האיטלקי – מפני שיובא מאיטליה? – או, סביר יותר, שהלעז גם שם תוספת, שאינה מאת רש""י. חיזוק לסברה זו בעובדה, שרמסטטר לא רשם את הלעז מתוך כתבי-היד של הפירוש על התורה. ר' בלונדהיים פ' (ע' 49-48).$
</small>","(6a:15:3) חלבנה - גלבנ""א:"
"שבולת נרד/אישפי""ג",Keritot 6a,,Rashi on Keritot 6a:15:4,"2381 כריתות ו. <b>שבולת נרד</b><br>אישפי""ג espig <b>אזוביון</b><br><small>$
</small>","(6a:15:4) שבולת נרד - חד הוא ובלעז שפיג""א:"
"בורית/שבו""ן",Keritot 6a,Rashi on Keritot 6a:15:7,,"2382 כריתות ו. <b>בורית</b><br>שבו""ן savon <b>סבון</b><br><small>ראה לעיל מס' 1434. להלן בדבר המתחיל ""כרשינא"" המלה חוזרת בצורה איטלקית ספונ""י (sapone).$
</small>","(6a:15:7) בורית - סאבו""ן:"
"כרשינא/אירב""א שבונייר""א",Keritot 6a,Rashi on Keritot 6a:15:8,,"2383 כריתות ו. <b>כרשינא</b><br>אירב""א שבונייר""א עשב סבוני (סבונית) <b>erbe savoniere</b><br><small>הלעז משובש בשני המקורות (כתב-היד היחיד והדפוסים הראשונים), שבהם המלה השנייה נקראת שטנרי""א, שבוטי""א, אבל לפי המקבילה בסנהדרין מט: (לעיל מס' 1704) ניתן לתקן.$
</small>","(6a:15:8) כרשינא - הבא מאותו מקום. ל""א עשב הנקרא אירב""ה שנוטי""א שעושין ממנו בורית שקורין ספוני מפי הרב הגדול:
"
"ליחה סרוחה/קויטור""א",Keritot 13a,Rashi on Keritot 13a:22:2,,"2384 כריתות יג. <b>ליחה סרוחה</b><br>קויטור""א cuiture <b>כוויה (פצע מזוהם)</b><br><small>$
</small>","(13a:22:2) ליחה סרוחה - קייטור""א בלע""ז:"
"דלית/טרייל""א",Keritot 15a,Rashi on Keritot 15a:26:1,,"2385 כריתות טו. <b>דלית</b><br>טרייל""א [treille] treile <b>גפן-דליות</b><br><small>ראה לעיל מס' 653.$
</small>","(15a:26:1) בדלית - טרייל""א של גפן היא:"
"קפלוט/פוריל""ש",Keritot 15b,Rashi on Keritot 15b:3:1,,"2386 כריתות טו: <b>קפלוט</b><br>פוריל""ש porels <b>כרשים (ירק מאכל)</b><br><small>$
</small>","(15b:3:1) גמ' המוחק את הכרישה - כותש את הקפלוט שקורין פור""ש:"
"כף הירך/פולפ""א",Keritot 21a,Rashi on Keritot 21a:12:1,,"2387 כריתות כא. <b>כף הירך</b><br>פולפ""א polpe <b>הבשר שעל עצם הירך</b><br><small>$
</small>","(21a:12:1) בכף הירך תלייה רחמנא - דכל דאית ליה כף שקורין פולפ""א נוהג בו גיד הנשה והאי דאינו נוהג בעוף בפרק גיד הנשה (חולין דף צב:) מפרש דלא עגיל כף דידיה:"
"שריף/הומי""ר",Keritot 22a,Rashi on Keritot 22a:9:2,,"2388 כריתות כב. <b>שריף</b><br>הומי""ר humer <b>לגמוא (לבלוע מתוך שאיפה)</b><br><small>ראה לעיל מס' 92.$
</small>","(22a:9:2) שריף - בלע""ז הומי""ר:"
"בן תמליון/נוטוי""ן",Meilah 17b,Rashi on Meilah 17b:5:1,,"2389 מעילה יז: <b>בן תמליון</b><br>נוטוי""ן nutiun <b>שדון</b><br><small>אולי יש מקום לאחד לעז זה עם nuitum (מס' 2345). הגרסה של התוספות (לומטו""ך), יכולה להיות שיבוש של לוטי""ן (לוטטי""ן?) lutin  - כצורת המלה הצרפתית של היום.$
</small>","(17b:5:1) בן תמליון - שד שקורין נוטיו""ן:"
"דלוסקמא/טשק""א",Meilah 21a,Rashi on Meilah 21a:2:1,,"2390 מעילה כא. <b>דלוסקמא</b><br>טשק""א tasche <b>שק</b><br><small>$
</small>","(21a:2:1) מתני' דלוסקמא - טליקא דסבי שקורין טסק""א בלע""ז:"
"מרגשת/שינטי""ר",Niddah 3a,Rashi on Niddah 3a:14:1,,"2391 נידה ג. <b>מרגשת</b><br>שינטי""ר sentir <b>לחוש, להרגיש</b><br><small>אולי כוונת רש""י לדחות את הפירוש ""מתנועעת"" וכדומה.$
</small>","(3a:14:1) מרגשת - שנט""ר בלע""ז. כלומר יודעת בעצמה כשיוצא דם ממנה והא מדלא ארגשה מאתמול ודאי השתא בבדיקת עד נפק:"
"כויץ/ריטריי""ט",Niddah 3a,Rashi on Niddah 3a:21:2,,"2392 נידה ג. <b>כויץ</b><br>ריטריי""ט [retrait] retreit <b>מתכווץ (או מכֻווץ)</b><br><small>$
</small>","(3a:21:2) כויץ - דשריי""ט בלע""ז:"
"שולים/פונ""ץ",Niddah 3b,Rashi on Niddah 3b:5:2,,"2393 נידה ג: <b>שולים</b><br>פונ""ץ fonz <b>קרקעית</b><br><small>$
</small>","(3b:5:2) שולים - פונ""ץ בלע""ז. ועכבו השולים את השרץ מלצאת והוא הוציא טהרות דרך פיה מלמעלה והשרץ שבזוית אחרת לא ראה:"
