French Word (en),French Word (he),Tanakh Ref,Rashi Matches
a la partie,"א""ה ל""א פרטיא""ה",Psalms 36:12,['Rashi on Psalms 36:12:1']
aatir,"אאטי""ר",Psalms 37:1,[]
seront tranchiez,"שירונ""ט טרנקיי""ץ",Psalms 37:2,['Rashi on Psalms 37:2:1']
e reschiniant,"א""י רישקיניאנ""ט",Psalms 37:12,[]
encomancier,"אינקומנציי""ר",Psalms 37:14,['Rashi on Psalms 37:14:1']
les pas du fort,"לי""ש פ""ש ד""ו פור""ט",Psalms 37:23,[]
furent afeitiez,"פורינ""ט אפייטיי""ץ",Psalms 37:23,['Rashi on Psalms 37:23:1']
anterin,"אנטירי""ן",Psalms 38:4,['Rashi on Psalms 38:4:1']
estordison,"אישטורדישו""ן",Psalms 38:7,['Rashi on Psalms 38:7:1']
amuslment,"אמושלמינ""ט",Psalms 39:2,['Rashi on Psalms 39:2:2']
redoile,"רידויל""א",Psalms 39:6,[]
fanjias,"פניי""ש",Psalms 40:3,['Rashi on Psalms 40:3:2']
aprisier,"אפרישיי""ר",Psalms 40:6,['Rashi on Psalms 40:6:2']
en ses traces,"אי""ן שי""ש טרצי""ש",Psalms 40:16,[]
feini soit,"פיינ""י שוי""ט",Psalms 40:18,[]
pase woie,"פש""א וויא""ה",Psalms 42:5,[]
awoie oz senble,"אווי""א או""ץ שינבל""א",Psalms 42:5,['Rashi on Psalms 42:5:2']
tes chenels,"טי""ש קיניל""ש",Psalms 42:8,[]
meneront noi,"מינירונ""ט מו""י",Psalms 43:3,['Rashi on Psalms 43:3:2']
apandis nos,"אפנדי""ש נו""ש",Psalms 44:12,['Rashi on Psalms 44:12:1']
aguisiez,"אגוישיי""ץ",Psalms 45:6,[]
iwoire,"איוויר""א",Psalms 45:9,['Rashi on Psalms 45:9:3']
chatons,"קטונ""ש",Psalms 45:14,['Rashi on Psalms 45:14:1']
regrezileront,"ריגריזילירונ""ט",Psalms 46:4,[]
ses ruisels,"שי""ש רוישיל""ש",Psalms 46:5,['Rashi on Psalms 46:5:1']
contrede,"קונטריד""א",Psalms 48:3,['Rashi on Psalms 48:3:1']
angles,"אנגלי""ש",Psalms 48:3,['Rashi on Psalms 48:3:2']
furent atordiz,"פורינ""ט אטורדי""ץ",Psalms 48:6,['Rashi on Psalms 48:6:2']
redoile,"רידויל""א",Psalms 49:2,['Rashi on Psalms 49:2:2']
retreiront,"ריטריירונ""ט",Psalms 49:14,['Rashi on Psalms 49:14:3']
parement,"פרימנ""ט",Psalms 50:2,['Rashi on Psalms 50:2:1']
parc,"פר""ק",Psalms 50:9,['Rashi on Psalms 50:9:2']
esmovement,"אישמובימינ""ט",Psalms 50:11,['Rashi on Psalms 50:11:1']
ajostas,"איושט""ש",Psalms 50:19,[]
esraciner,"אישרציני""ר",Psalms 52:7,[]
defai,"דיפא""י",Psalms 55:10,['Rashi on Psalms 55:10:1']
tendit,"טינדי""ט",Psalms 55:21,[]
goloser,"גולושי""ר",Psalms 56:2,['Rashi on Psalms 56:2:1']
traces,"טרצי""ש",Psalms 56:7,[]
golosant moi,"גולושנ""ט מו""י",Psalms 57:4,['Rashi on Psalms 57:4:1']
en fanbloianz,"אי""ן פנבלוינ""ץ",Psalms 57:5,[]
clina,"קלינ""א",Psalms 57:7,['Rashi on Psalms 57:7:2']
contrepesez,"קונטריפישי""ץ",Psalms 58:3,['Rashi on Psalms 58:3:3']
meselers,"מישיליר""ש",Psalms 58:7,[]
seient porjajiez,"שיינ""ט פוריאיי""ץ",Psalms 58:8,['Rashi on Psalms 58:8:2']
limace,"לימצ""א",Psalms 58:9,['Rashi on Psalms 58:9:1']
talpe,"טלפ""א",Psalms 58:9,['Rashi on Psalms 58:9:3']
plumes,"פלומי""ש",Psalms 68:14,[]
fil,"פי""ל",Psalms 69:3,['Rashi on Psalms 69:3:2']
en ses traces,"אי""ן שי""ש טרצי""ש",Psalms 70:4,[]
winos,"וינו""ש",Psalms 75:9,['Rashi on Psalms 75:9:2']
pasmer,"פשמי""ר",Psalms 77:4,['Rashi on Psalms 77:4:3']
traces,"טרצי""ש",Psalms 77:20,['Rashi on Psalms 77:20:1']
enprenment,"אינפרינמינ""ט",Psalms 79:5,['Rashi on Psalms 79:5:3']
enmorinede,"אינמוריניד""א",Psalms 79:11,['Rashi on Psalms 79:11:2']
chardons,"קרדונ""ש",Psalms 83:14,['Rashi on Psalms 83:14:1']
toreilon,"טורביילו""ן",Psalms 83:16,['Rashi on Psalms 83:16:1']
apeiement,"אפיימינ""ט",Psalms 89:18,['Rashi on Psalms 89:18:1']
feilance,"פיילנצ""א",Psalms 89:36,['Rashi on Psalms 89:36:1']
acoper,"אצופי""ר",Psalms 91:12,['Rashi on Psalms 91:12:1']
destoletes,"דישטוליטי""ש",Psalms 101:3,[]
enmorinede,"אינמוריניד""א",Psalms 102:21,['Rashi on Psalms 102:21:1']
abriement,"אבריאמינ""ט",Psalms 104:18,[]
larjes,"לריי""ש",Psalms 104:25,['Rashi on Psalms 104:25:1']
porwantez wos,"פורונטי""ץ וו""ש",Psalms 105:3,['Rashi on Psalms 105:3:1']
prevostie,"פריבושטיא""ה",Psalms 109:8,['Rashi on Psalms 109:8:1']
seit acopez,"שיי""ט אצופי""ץ",Psalms 109:11,['Rashi on Psalms 109:11:1']
?,"שארטרמיר""א (?)",Psalms 109:13,[]
feilance,"פיילנצ""א",Psalms 116:11,['Rashi on Psalms 116:11:2']
soheit,"שוהיי""ט",Psalms 119:5,['Rashi on Psalms 119:5:1']
traces,"טרצי""ש",Psalms 119:33,['Rashi on Psalms 119:33:1']
hericier,"היריציי""ר",Psalms 119:120,['Rashi on Psalms 119:120:1']
garantir,"גרנטי""ר",Psalms 119:122,[]
cuivre,"קויבר""א",Psalms 127:5,[]
aisele,"אישיל""א",Psalms 129:7,[]
esloides,"אישלוידי""ש",Psalms 135:7,[]
destreint,"דישטריינ""ט",Psalms 139:5,[]
ireinie,"אירייני""א",Psalms 140:4,['Rashi on Psalms 140:4:2']
governeil,"גובירניי""ל",Psalms 144:13,['Rashi on Psalms 144:13:2']
apeiement,"אפיימינ""ט",Psalms 145:16,['Rashi on Psalms 145:16:1']
jelede,"ייליד""א",Psalms 147:16,[]
glace,"גלצ""א",Psalms 148:8,['Rashi on Psalms 148:8:1']
neif,"ניי""ף",Psalms 148:8,['Rashi on Psalms 148:8:2']
bruine,"ברואינ""א",Psalms 148:8,['Rashi on Psalms 148:8:3']
torbeil,"טורביי""ל",Proverbs 1:27,[]
enweisdure,"אינויישדור""א",Proverbs 1:32,[]
acoper,"אצופי""ר",Proverbs 3:23,['Rashi on Proverbs 3:23:1']
pleier,"פליי""ר",Proverbs 6:10,[]
freier,"פרייאי""ר",Proverbs 6:13,[]
luisets,"לוישיט""ש",Proverbs 6:25,[]
wenteler,"וינטילי""ר",Proverbs 7:17,[]
conpas,"קונפ""ש",Proverbs 8:27,[]
afichal,"אפיק""ל",Proverbs 8:27,[]
escluse,"אישקלוש""א",Proverbs 11:18,[]
foison,"פוישו""ן",Proverbs 11:25,[]
apeiement,"אפיימינ""ט",Proverbs 11:27,['Rashi on Proverbs 11:27:2']
escroler,"אישקרולי""ר",Proverbs 12:8,[]
larjes,"לריי""ש",Proverbs 12:26,['Rashi on Proverbs 12:26:1']
amende,"אמינד""א",Proverbs 14:9,['Rashi on Proverbs 14:9:2']
apeiement,"אפיימינ""ט",Proverbs 14:9,['Rashi on Proverbs 14:9:3']
ataine,"אטאינ""א",Proverbs 14:30,[]
talent,"טלינ""ט",Proverbs 15:13,[]
justice,"יושטיצ""א",Proverbs 16:11,['Rashi on Proverbs 16:11:1']
bresche,"ברישק""א",Proverbs 15:24,[]
ber,"בי""ר",Proverbs 18:4,[]
fendedure,"פינדידור""א",Proverbs 19:24,[]
justice,"יושטיצ""א",Proverbs 19:28,[]
estreite,"אישטרייט""א",Proverbs 23:27,[]
nacredures,"נברידורי""ש",Proverbs 23:29,[]
point,"פוינ""ט",Proverbs 23:32,['Rashi on Proverbs 23:32:1']
aguilon,"אגוילו""ן",Proverbs 23:32,['Rashi on Proverbs 23:32:1']
mast,"מש""ט",Proverbs 23:34,[]
fresgon,"פרישגו""ן",Proverbs 24:31,[]
creide,"קרייד""א",Proverbs 25:20,['Rashi on Proverbs 25:20:1']
arondele,"ארונדיל""א",Proverbs 26:2,[]
fondele,"פונדיל""א",Proverbs 26:8,[]
fondels,"פונדיל""ש",Proverbs 26:18,[]
desconeistre,"דישקוניישטר""א",Proverbs 26:24,[]
encreisant,"אינקריישנ""ט",Proverbs 27:6,[]
mortier,"מורטיי""ר",Proverbs 27:22,['Rashi on Proverbs 27:22:2']
pilon,"פילו""ן",Proverbs 27:22,[]
justice,"יושטיצ""א",Proverbs 28:5,['Rashi on Proverbs 28:5:2']
forjier,"פוריי""ר",Proverbs 30:17,['Rashi on Proverbs 30:17:2']
ireinie,"אירייני""א",Proverbs 30:28,['Rashi on Proverbs 30:28:1']
premedure,"פרימידור""א",Proverbs 30:33,['Rashi on Proverbs 30:33:1']
ortoire,"אורטויר""א",Proverbs 31:19,[]
fusel,"פושי""ל",Proverbs 31:19,['Rashi on Proverbs 31:19:1']
beneistre,"ביניישטר""א",Job 1:5,[]
antiers,"אנטייר""ש",Job 1:8,[]
a mein tenant,"אמיי""ן טיננ""ט",Job 1:14,[]
eschamucier,"אישקמוציי""ר",Job 1:17,[]
ametre,"אמיטר""א",Job 2:3,[]
grater,"גרטי""ר",Job 2:8,[]
trainer,"טראיני""ר",Job 2:8,[]
conpleindre,"קונפליינדר""א",Job 2:11,[]
esplandors,"אישפלנדור""ש",Job 3:9,[]
foisonerent,"פוישונדרינ""ט",Job 3:24,[]
hericier,"היריציי""ר",Job 4:15,[]
garove,"גרוב""א",Job 5:23,[]
entoisier,"אינטוישיי""ר",Job 6:4,[]
retreient,"ריטריינ""ט",Job 6:17,[]
froncir,"פרונצי""ר",Job 7:5,[]
recreidre,"רקריידר""א",Job 7:19,[]
maresc,"מריש""ק",Job 8:11,['Rashi on Job 8:11:1']
navredure,"נברידור""א",Job 9:17,[]
dereisnier,"דיריישניי""ר",Job 9:33,[]
badanz,"בדנ""ץ",Job 10:15,['Rashi on Job 10:15:2']
a dos,"אדו""ש",Job 13:12,[]
dereisnement,"דיריישנימינ""ט",Job 13:15,[]
cep,"צי""ף",Job 13:27,[]
estoc,"אישטו""ק",Job 13:27,[]
afiches,"אפיקי""ש",Job 13:27,[]
afichal,"אפיק""ל",Job 13:27,[]
foisoner,"פוישוני""ר",Job 15:8,[]
lime,"לימ""א",Job 15:27,['Rashi on Job 15:27:2']
bader,"בדי""ר",Job 16:10,[]
retreirent,"ריטריירינ""ט",Job 16:16,[]
estencele,"אישטינציל""א",Job 18:5,[]
coife,"קויפ""א",Job 18:8,[]
plandurs,"פלנדור""ש",Job 20:25,['Rashi on Job 20:25:4']
forbir,"פורבי""ר",Job 20:25,['Rashi on Job 20:25:4']
estuiez,"אישטויי""ץ",Job 20:26,[]
 esbaneiementאו esbaniement,"אישבניימינ""ט",Job 21:12,['Rashi on Job 21:12:1']
se chaleir,"ש""י קליי""ר",Job 21:21,['Rashi on Job 21:21:1']
glestes,"גלישטי""ש",Job 21:33,[]
conpas,"קונפ""ש",Job 22:14,['Rashi on Job 22:14:3']
esfrojeront,"אישפרויירונ""ט",Job 24:6,[]
moiste,"מוישט""א",Job 24:8,['Rashi on Job 24:8:3']
cerner,"צירני""ר",Job 26:10,[]
bruine,"ברואינ""א",Job 30:3,['Rashi on Job 30:3:3']
,"קקול""י",Job 30:4,['Rashi on Job 30:4:1']
mose,"מוש""א",Job 30:4,[]
freiteinies,"פרייטייניי""ש",Job 30:6,[]
waledes,"ולידי""ש",Job 30:6,[]
orties,"אורטיא""ש",Job 30:7,['Rashi on Job 30:7:1']
forjier,"פוריי""ר",Job 30:17,['Rashi on Job 30:17:1']
eisars,"איישר""ש",Job 30:30,[]
desraciner,"דישרציני""ר",Job 31:8,[]
espaldon,"אישפלדו""ן",Job 31:22,[]
pestel,"פישטי""ל",Job 31:22,[]
escose,"אישקוש""א",Job 33:25,['Rashi on Job 33:25:1']
debatra,"דיבטר""א",Job 34:37,[]
,"קורדי""ש",Job 36:8,['Rashi on Job 36:8:1']
esloides,"אישלוידי""ש",Job 37:4,[]
estaloner,"אישטלוני""ר",Job 37:4,[]
miredoir,"מירידוי""ר",Job 37:18,[]
tresjeter,"טרישייטי""ר",Job 37:18,[]
fosez,"פושי""ץ",Job 38:10,[]
gresle,"גרישל""א",Job 38:29,[]
,"אישטרל""ש",Job 38:30,['Rashi on Job 38:30:1']
esweier,"אישוייר""ש",Job 39:18,[]
entrelacier,"אינטרילציי""ר",Job 40:17,[]
,"אמבורי""ץ",Job 40:31,['Rashi on Job 40:31:4']
recreistras,"ריקריישטר""ש",Job 40:32,['Rashi on Job 40:32:3']
sont eschamuciez,"שונ""ט אישקמוציי""ץ",Job 41:11,['Rashi on Job 41:11:4']
conpleinte,"קונפליינט""א",Job 42:11,['Rashi on Job 42:11:2']
traces,"טרצי""ש",Song of Songs 1:8,['Rashi on Song of Songs 1:8:2']
chevalchie,"קיבלקיא""ה",Song of Songs 1:9,['Rashi on Song of Songs 1:9:2']
adesmei,"אדישמי""י",Song of Songs 1:9,['Rashi on Song of Songs 1:9:3']
atreit,"אטריי""ט",Song of Songs 2:4,['Rashi on Song of Songs 2:4:2']
chalongier,"קלוניי""ר",Song of Songs 2:7,['Rashi on Song of Songs 2:7:7']
eschelons,"אישקילונ""ש",Song of Songs 2:14,['Rashi on Song of Songs 2:14:4']
entires,"אינטירי""ש",Song of Songs 4:2,['Rashi on Song of Songs 4:2:3']
parlediz,"פרלידי""ץ",Song of Songs 4:3,['Rashi on Song of Songs 4:3:2']
pomels,"פומיל""ש",Song of Songs 4:3,['Rashi on Song of Songs 4:3:3']
flocels,"פלוציל""ש",Song of Songs 5:2,['Rashi on Song of Songs 5:2:8']
navredure,"נברידור""א",Song of Songs 5:7,['Rashi on Song of Songs 5:7:2']
pendelojes,"פינדילויי""ש",Song of Songs 5:11,['Rashi on Song of Songs 5:11:2']
masiz,משיץ,Song of Songs 5:14,['Rashi on Song of Songs 5:14:3']
asoajier,"אסואיי""ר",Song of Songs 6:5,['Rashi on Song of Songs 6:5:2']
covedes,"קובידי""ש",Song of Songs 7:5,[]
coranz,"קורנ""ץ",Song of Songs 7:6,['Rashi on Song of Songs 7:6:5']
fromier,"פרומיי""ר",Song of Songs 7:10,['Rashi on Song of Songs 7:10:3']
enprenment,"אינפרינמינ""ט",Song of Songs 8:6,['Rashi on Song of Songs 8:6:3']
waner,"וני""ר",Ruth 3:2,[]
esmovement,"אישמובימינ""ט",Lamentations 1:8,['Rashi on Lamentations 1:8:1']
sospira,"שושפיר""א",Lamentations 1:8,['Rashi on Lamentations 1:8:3']
sospirose,"שושפירוש""א",Lamentations 1:8,['Rashi on Lamentations 1:8:3']
pointured,"פוינטורי""ד",Lamentations 1:14,['Rashi on Lamentations 1:14:1']
regrezilerent,"רגריזילירינ""ט",Lamentations 2:11,['Rashi on Lamentations 2:11:1']
pasmer,"פשמי""ר",Lamentations 2:11,['Rashi on Lamentations 2:11:2']
aplastrement,"אפלשטרימינ""ט",Lamentations 2:14,['Rashi on Lamentations 2:14:1']
enweisdure,"אנויישדור""א",Lamentations 2:14,[]
sibler,"שיבלי""ר",Lamentations 2:15,['Rashi on Lamentations 2:15:1']
tresalement,"טרישלימינ""ט",Lamentations 2:18,['Rashi on Lamentations 2:18:1']
prunele,"פרוניל""א",Lamentations 2:18,['Rashi on Lamentations 2:18:2']
pasmez,"פשמי""ץ",Lamentations 2:19,[]
ferjes,"פיריי""ש",Lamentations 3:7,['Rashi on Lamentations 3:7:3']
aseneil,"אשיניי""ל",Lamentations 3:12,['Rashi on Lamentations 3:12:1']
cuivre,"קויבר""א",Lamentations 3:13,['Rashi on Lamentations 3:13:1']
adenter,"אדינטי""ר",Lamentations 3:16,['Rashi on Lamentations 3:16:3']
conpleint,"קונפליינ""ט",Lamentations 3:19,['Rashi on Lamentations 3:19:1']
estreinirent,"אישטריינירינ""ט",Lamentations 3:53,['Rashi on Lamentations 3:53:2']
color,"קולו""ר",Lamentations 4:7,[]
talent,"טלינ""ט",Ecclesiastes 1:6,['Rashi on Ecclesiastes 1:6:1']
talent,"טלינ""ט",Ecclesiastes 1:14,['Rashi on Ecclesiastes 1:14:1']
espines,"אישפיני""ש",Ecclesiastes 7:6,['Rashi on Ecclesiastes 7:6:1']
justice,"יושטיצ""א",Ecclesiastes 8:5,['Rashi on Ecclesiastes 8:5:1']
wedant,"וידנ""ט",Ecclesiastes 9:11,['Rashi on Ecclesiastes 9:11:1']
malweise,"מלוייש""א",Ecclesiastes 9:12,['Rashi on Ecclesiastes 9:12:2']
escume,"אישקומ""א",Ecclesiastes 10:1,['Rashi on Ecclesiastes 10:1:1']
enclosiede,"אינקלושייד""א",Ecclesiastes 11:5,['Rashi on Ecclesiastes 11:5:3']
pomels,"פומיל""ש",Ecclesiastes 12:2,['Rashi on Ecclesiastes 12:2:4']
cranpe,"קרנפ""א",Ecclesiastes 12:3,[]
hanche,"הנק""א",Ecclesiastes 12:5,['Rashi on Ecclesiastes 12:5:4']
ed ert sorfeisiez,"אי""ד איר""ט סורפיישיי""ץ",Ecclesiastes 12:5,['Rashi on Ecclesiastes 12:5:7']
grose,"גרוש""א",Ecclesiastes 12:11,['Rashi on Ecclesiastes 12:11:4']
estre tramis,"אישטר""א טרמי""ש",Esther 3:13,['Rashi on Esther 3:13:1']
disreinement,"דישריינימינ""ט",Esther 3:14,['Rashi on Esther 3:14:1']
e se retint,"אישיריטינ""ט",Esther 5:10,['Rashi on Esther 5:10:1']
,"שינישק""ל",Daniel 1:11,['Rashi on Daniel 1:11:1']
estolt,"אישטול""ט",Daniel 2:14,[]
atenvist,"אטינביש""ט",Daniel 2:40,[]
sibler,"שיבלי""ר",Daniel 3:5,[]
brusler,"ברושלי""ר",Daniel 3:27,[]
respit,"רישפי""ט",Daniel 4:24,[]
escriture,"אישקריטור""א",Daniel 5:7,[]
fud escheved,"פו""ד אישקיבי""ד",Daniel 7:15,[]
entomiz,"אינטומי""ץ",Daniel 8:18,[]
tolant,"טולנ""ט",Daniel 9:5,[]
fosed,"פושי""ר",Daniel 9:25,[]
retenir,"ריטיני""ר",Daniel 10:8,[]
entomiz,אינטומיץ,Daniel 10:9,[]
trenbler,"טרינבלי""ר",Daniel 10:11,[]
chardonel,"קרדוני""ל",Daniel 10:16,[]
talent,"טלינ""ט",Ezra 1:1,[]
destorber,"דישטורבי""ר",Ezra 4:22,['Rashi on Ezra 4:22:1']
marbre,"מרבר""א",Ezra 5:8,['Rashi on Ezra 5:8:4']
espleitosment,"אישפלייטושמינ""ט",Ezra 5:8,[]
marbre,"מרבר""א",Ezra 6:4,['Rashi on Ezra 6:4:1']
espleitosment,"אישפלייטושמינ""ט",Ezra 6:8,[]
sanz destorber,"שנ""ץ דישטורבי""ר",Ezra 6:9,['Rashi on Ezra 6:9:4']
desraciner,"דישרציני""ר",Ezra 7:26,['Rashi on Ezra 7:26:4']
ses werolz,"שי""ש וירול""ץ",Nehemiah 3:3,[]
dujelmes,"דויילמי""ש",Nehemiah 3:9,[]
mesprison,"מישפרישו""ן",Nehemiah 4:2,[]
geite,"גייט""א",Nehemiah 4:3,[]
mortier,"מורטיי""ר",Nehemiah 4:4,[]
escrolei,"אישקרולי""י",Nehemiah 5:13,['Rashi on Nehemiah 5:13:2']
controvant les,"קונטרובנ""ט לי""ש",Nehemiah 6:8,['Rashi on Nehemiah 6:8:2']
ses proeces,"שי""ש פרואיצי""ש",Nehemiah 6:19,[]
geites,"גייטי""ש",Nehemiah 7:3,[]
renom,"רינו""ם",Nehemiah 9:10,[]
en lor cnanpanies,"אי""ן לו""ר קנפניי""ש",Nehemiah 11:25,[]
e aprenei,"א""י אפריני""י",Nehemiah 13:10,[]
,"פורמדדיפי""ו",I Chronicles 2:52,['Rashi on I Chronicles 2:52:1']
durch brechen die Tore (בגרמנית),"דור""ך ברעכ""ן ד""י",I Chronicles 11:18,[]
talent,"טלינ""ט",I Chronicles 12:19,['Rashi on I Chronicles 12:19:1']
pauken,"פויקי""ן",I Chronicles 13:8,['Rashi on I Chronicles 13:8:1']
boclers,"בוקליר""ש",I Chronicles 18:7,['Rashi on I Chronicles 18:7:1']
negel,"נעג""ל",I Chronicles 22:3,['Rashi on I Chronicles 22:3:1']
bruderschaft,"ברודי""ר שפ""ט",I Chronicles 25:9,['Rashi on I Chronicles 25:9:3']
cacons,"קצונ""ש",I Chronicles 29:7,['Rashi on I Chronicles 29:7:1']
victorie,"ויקטורי""א",I Chronicles 29:11,[]
aprestei,"אפרישטי""י",I Chronicles 29:19,['Rashi on I Chronicles 29:19:2']
sera weritel,"שיר""א ויריטי""ל",II Chronicles 1:9,[]
stute,"שטוט""א",II Chronicles 1:16,['Rashi on II Chronicles 1:16:2']
voll auf,"פו""ל אוי""ף",II Chronicles 2:9,[]
flosse,"פלייש""א",II Chronicles 2:15,[]
entwefen,"אנטווארפי""ן",II Chronicles 3:4,['Rashi on II Chronicles 3:4:3']
coife,"קויפ""א",II Chronicles 3:16,[]
pomels,"פומיל""ש",II Chronicles 4:3,[]
soldedure,"שולדידור""א",II Chronicles 4:3,['Rashi on II Chronicles 4:3:4']
arzile,"ארזיל""א",II Chronicles 4:17,[]
fin,"פי""ן",II Chronicles 4:21,['Rashi on II Chronicles 4:21:3']
merkazen,"מערקאצ""ן",II Chronicles 9:21,[]
riemen,"רימ""ן",II Chronicles 10:11,['Rashi on II Chronicles 10:11:2']
hardin,"הרדי""ן",II Chronicles 20:6,['Rashi on II Chronicles 20:6:2']
aratori,"אראטור""י",II Chronicles 26:10,['Rashi on II Chronicles 26:10:1']
haufen,"הויפי""ן",II Chronicles 31:6,['Rashi on II Chronicles 31:6:2']
spangen,"שפנגי""ן",II Chronicles 34:11,['Rashi on II Chronicles 34:11:1']
trevs,"טריב""ש",II Chronicles 34:11,[]
por meistrer,"פו""ר מיישטרי""ר",II Chronicles 34:12,[]
