Bava Batra 2a:1	<sup>i</sup><b>W</b>ENN G<small>EMEINSCHAFTEU IM</small> [<small>GEMEINSAMEN</small>] H<small>OFE</small>$fn1 <small>EINE</small> A<small>BTEILUNG MACHEN</small>$fn2 <small>WOLLEN</small>, <small>SO BAUEN SIE DIE</small> W<small>AND IN DER</small> M<small>ITTE</small>$fn3, <small>UND ZWAR WIE ES IM</small> O<small>RTE ZU BAUEN ÜBLICH IST</small>, <small>AUS</small> B<small>RUCHSTEINEN</small>, Q<small>UADERN</small>, H<small>ALBZIEGELN ODER</small> Z<small>IEGELN</small>; <small>ALLES NACH DEM</small> L<small>ANDESBRAUCHE</small>$fn4. 
Bava Batra 137a:4	Rabbi befindet sich nicht in einem Widersprüche mit sich selber, denn eines gilt vom Kapital$fn885und eines gilt von den Früchten$fn886. R. Šimo͑n b. Gamliél befindet sich ebenfalls nicht in einem Widersprüche mit sich selber, denn eines gilt von vornherein$fn887und eines, wenn es bereits erfolgt ist.
Bava Batra 137a:5	Abajje sagte: Wer ist ein schlauer Bösewicht? Wer einen Rat erteilt, Güter zu verkaufen, nach R. Šimo͑n b. Gamliél$fn888. 
Bava Batra 137a:6	R. Joḥanan sagte: Die Halakha ist wie R. Šimo͑n b. Gamliél. Er pflichtet aber bei, daß, wenn er es$fn889als Sterbenskranker verschenkt hat, dies ungültig sei. – 
Bava Batra 137a:7	Aus welchem Grunde? Abajje erwiderte: Das Geschenk eines Sterbenskranken wird erst nach dem Tode geeignet, und jener$fn890ist ihm bereits zuvorgekommen. – 
Bava Batra 137a:8	Kann Abajje dies denn gesagt haben, es wurde ja gelehrt, das Geschenk eines Sterbenskranken werde geeignet, wie Abajje sagt, beim$fn891 Sterben, und wie Raba sagt, nach Eintritt des Todes!? – 
Bava Batra 137a:9	Abajje ist davon$fn892zurückgetreten. – Woher, daß er von dieser Ansicht zurückgetreten ist, vielleicht ist er von jener zurückgetreten!? – 
Bava Batra 137a:10	Dies ist nicht einleuchtend, denn wir haben gelernt: [Sagte jemand$fn893:] da ist dein Scheidebrief, falls$fn894ich sterbe, da ist dein Scheidebrief nach dieser Krankheit$fn895, da ist dein Scheidebrief für nach meinem Tode, so hat er nichts gesagt$fn896.
Bava Batra 137a:11	R. Zera sagte im Namen R. Joḥanans: Die Halakha ist wie R. Šimo͑n b. Gamliél, selbst für den Fall, wenn sich darunter$fn897Sklaven befunden haben, und er sie freigelassen$fn898hat. – 
Bava Batra 137a:12	Selbstverständlich!? – Man könnte glauben, man könne zu ihm sagen, jener habe es ihm nicht gegeben, um damit ein Verbot$fn899zu begehen, so lehrt er uns.
Bava Batra 137a:13	R. Joseph sagte im Namen R. Joḥanans: Die Halakha ist wie R. Šimo͑n b. Gamliél, selbst wenn er dafür$fn900Totengewänder angefertigt hat. – Selbstverständlich!? – Man könnte glauben, er habe es ihm nicht gegeben, um es der Nutznießung$fn901zu entziehen, so lehrt er uns.
Bava Batra 137a:14	R. Naḥman b. R. Ḥisda trug vor: [Wenn jemand gesagt hat:] dieser Etrog$fn902sei dir geschenkt und nach dir$fn903jenem, und der erste ihn benutzt und damit seiner Pflicht genügt$fn904hat, so kommen wir zum Streite$fn905zwischen Rabbi und R. Šimo͑n b. Gamliél. 
Bava Batra 137a:15	R. Naḥman b. Jiçḥaq wandte ein: Rabbi und R.Šimo͑n b. Gamliél streiten ja nur über jenen$fn906Fall, denn einer ist der Ansicht, der Besitz der Früchte gleiche dem Besitze des Kapitals, und einer ist der Ansicht, der Besitz der Früchte gleiche nicht dem Besitze des Kapitals, 
Bava Batra 137b:1	wozu aber hat er ihn ihm in diesem Falle gegeben, wenn nicht um damit seiner Pflicht zu genügen!? 
Bava Batra 137b:2	Vielmehr stimmen alle überein, daß er damit seiner Pflicht genügt, aber hinsichtlich des Verkaufes und Verzehrens$fn907kommen wir zum Streite zwischen Rabbi und R. Šimo͑n b. Gamliél.
Bava Batra 137b:3	Rabba b. R. Hona sagte: Wenn Brüder von der Nachlaßmasse$fn908einen Etrog gekauft haben und einer von ihnen ihn benutzt und mit ihm seiner Pflicht genügt hat, so hat er, wenn er ihn verzehren$fn909kann, seiner Pflicht genügt, wenn aber nicht, so hat er seiner Pflicht nicht genügt. 
Bava Batra 137b:4	Jedoch nur dann, wenn für jeden besonders ein Etrog vorhanden ist, nicht aber, wenn eine Quitte oder ein Granatapfel.
Bava Batra 137b:5	Raba sagte: [Wenn jemand gesagt hat:] dieser Etrog sei dir geschenkt mit der Bedingung, daß du ihn mir zurückgibst, und dieser ihn genommen und damit seiner Pflicht genügt hat, so hat er, wenn er ihn zurückgibt, seiner Pflicht genügt, und wenn er ihn nicht zurückgibt, seiner Pflicht nicht genügt. – Was lehrt er uns damit? – Daß ein Geschenk mit der Bedingung der Rückgabe als Geschenk gelte.
Bava Batra 137b:6	Einst hatte eine Frau eine Dattelpalme auf einem Grundstücke des R. Bebaj b. Abajje, und da er, sooft sie diese beschneiden ging, ihr zürnte, verkaufte sie sie ihm auf die Dauer$fn910seines Lebens. Hierauf ging er und eignete sie seinem kleinen Sohne$fn911zu. 
Bava Batra 137b:7	Da sprach R. Hona, Sohn des R. Jehošua͑, zu ihm: Weil ihr von Gekürzten$fn912stammt, redet ihr auch gekürzte Worte. Auch R. Šimo͑n b. Gamliél sagt es$fn913nur von dem Falle, wenn [nachher] einem anderen$fn914, nicht aber, wenn an sich selber$fn915.
Bava Batra 137b:8	Raba sagte im Namen R. Naḥmans: [Wenn jemand gesagt hat:] dieser Ochs sei dir geschenkt mit der Bedingung, daß du ihn mir zurückgibst, und dieser ihn dem Heiligtume geweiht und jenem zurückgegeben hat, so ist die Weihung und die Rückgabe gültig. 
Bava Batra 137b:9	Raba sprach zu R. Naḥman: Was hat er ihm denn$fn916zurückgegeben!? Dieser erwiderte: Was hat er ihm denn abgenommen!? Vielmehr, sagte R. Aši, berücksichtigen wir folgendes: sagte er zu ihm: mit der Bedingung, daß du ihn zurückgibst, so hat er ihn ihm ja zurückgegeben, sagte er aber: mit der Bedingung, daß du ihn mir zurückgibst, so meinte er, als für ihn brauchbare Sache.
Bava Batra 137b:10	R. Jehuda sagte im Namen Šemuéls: Wenn jemand sein Vermögen einem anderen verschrieben hat und dieser sagt, er wolle es nicht haben, so hat er es dennoch geeignet, selbst wenn er dasteht und protestiert. R. Joḥanan aber sagt, er habe es nicht geeignet. 
Bava Batra 137b:11	R. Abba b. Mamal sagte: Sie streiten aber nicht, 
Bava Batra 138a:1	eines in dem Falle, wenn er von Anfang an protestiert hat, und eines in dem Falle, wenn er anfangs geschwiegen hat und später protestiert.
Bava Batra 138a:2	R. Naḥman b. Jiçḥaq sagte: Wenn [der Schenkende] es ihm$fn917durch einen anderen zugeeignet und er geschwiegen hat, später aber$fn918protestiert, so kommen wir$fn919zum Streite zwischen R. Šimo͑n b. Gamliél und den Rabbanan, 
Bava Batra 138a:3	denn es wird gelehrt: Wenn jemand sein Vermögen, worunter sich Sklaven befinden, einem anderen verschrieben hat, und dieser sagt, er wolle sie nicht haben, so dürfen diese, wenn der zweite Herr ein Priester ist, von der Hebe$fn920essen. R. Šimo͑n b. Gamliél sagt, sobald dieser sagt, er wolle sie nicht haben, haben die Erben$fn921sie geeignet. 
Bava Batra 138a:4	Dagegen wandten wir ein: Sollte dies nach dem ersten Autor auch von dem Falle gelten, wenn dieser dasteht und protestiert!? 
Bava Batra 138a:5	Und Raba, nach anderen R. Joḥanan, erwiderte: Wenn er von Anfang an protestiert hat, stimmen alle überein, daß er sie nicht geeignet habe; wenn er geschwiegen hat und erst nachher protestiert, stimmen alle überein, daß er sie geeignet habe, 
Bava Batra 138a:6	sie streiten nur über den Fall, wenn jener sie ihm durch einen anderen zugeeignet, und er anfangs geschwiegen hat und später protestiert. Der erste Autor ist der Ansicht, er habe sie geeignet, da er geschwiegen$fn922hat, und später protestiert er deshalb, weil er zurücktreten will; 
Bava Batra 138a:7	und R. Šimo͑n b. Gamliél ist der Ansicht, der Schluß erkläre$fn923den Anfang, nur protestierte er bis dahin deshalb nicht, weil er dachte: wozu soll ich protestieren, bevor es in meinen Besitz kommt$fn924.
Bava Batra 138a:8	Die Rabbanan lehrten: Wenn ein Sterbenskranker gesagt hat, daß man jenem zweihundert Zuz, jenem dreihundert [Zuz] und jenem vierhundert [Zuz] gebe, so sage man nicht, wer in der Urkunde zuerst genannt ist, habe den Gewinn. Daher ist, wenn auf ihn ein Schuldschein präsentiert wird, von allen einzufordern. 
Bava Batra 138a:9	Wenn er aber gesagt hat, daß man zweihundert Zuz jenem, nachher jenem und nachher jenem gebe, so hat, wer zuerst in der Urkunde genannt ist, den Gewinn. Daher ist, wenn auf ihn ein Schuldschein präsentiert wird, vom letzten einzufordern, und wenn seines nicht reicht, vom vorletzten, und wenn auch seines nicht reicht, vom vorvorletzten einzufordern.
Bava Batra 138a:10	Die Rabbanan lehrten: Wenn ein Sterbenskranker gesagt hat, daß man jenem seinem erstgeborenen Sohne zweihundert Zuz gebe, wie es ihm zukommt, so erhält er diese und auch seinen Erstgeburtsanteil; wenn er aber gesagt hat: für seinen Erstgeburtsanteil, so hat er die Oberhand; wenn er will, nehme er$fn925diese, und wenn er will, nehme er seinen Erstgeburtsanteil. 
Bava Batra 138a:11	Wenn ein Sterbenskranker gesagt hat, daß man jener seiner Frau zweihundert Zuz gebe, wie es ihr zukommt, so erhält sie diese und auch ihre Morgengabe; wenn er aber gesagt hat: für ihre Morgengabe, 
Bava Batra 138b:1	so hat sie die Oberhand; wenn sie will, nehme sie diese, und wenn sie will, nehme sie ihre Morgengabe. 
Bava Batra 138b:2	Wenn ein Sterbenskranker gesagt hat, daß man jenem seinem Gläubiger zweihundert Zuz gebe, wie es ihm zukommt, so erhält er diese und auch seine Schuld; wenn er aber gesagt hat: für seine Schuld, so erhält er sie für seine Schuld. – 
Bava Batra 138b:3	Sollte er denn, weil er gesagt hat: wie es ihm zukommt, diese und seine Schuld erhalten, vielleicht meinte er es: wie es ihm für seine Schuld zukommt!? 
Bava Batra 138b:4	R. Naḥman erwiderte: Hona erklärte mir, diese Lehre vertrete die Ansicht R. A͑qibas, der die überflüssigen Worte deutet. 
Bava Batra 138b:5	Wir haben nämlich gelernt: Nicht den Brunnen und nicht die Zisterne$fn926, obgleich er ihm geschrieben hat: Tiefe und Höhe; er$fn927muß sich aber einen Weg zu diesen erkaufen – so R. A͑qiba; 
Bava Batra 138b:6	die Weisen sagen, er brauche sich keinen Weg zu diesen zu erkaufen. Jedoch pflichtet R. A͑qiba bei, daß, wenn er gesagt hat: außer$fn928diesen, er sich keinen Weg zu diesen zu erkaufen brauche. 
Bava Batra 138b:7	Wir sehen also, daß, wer etwas sagt, was nicht nötig$fn929ist, hinzufügen wolle, ebenso wollte auch dieser, da dies$fn930nicht nötig war und er es gesagt hat, etwas hinzufügen.
Bava Batra 138b:8	Die Rabbanan lehrten: Wenn ein Sterbenskranker gesagt hat, er habe bei jenem eine Mine, so schreiben die Zeugen es nieder, obgleich sie jenen nicht$fn931kennen; daher muß jener$fn932, wenn er es einfordern will, den Beweis erbringen – so R. Meír. Die Weisen sagen, sie schreiben es nur dann nieder, wenn sie jenen$fn933kennen; daher braucht er, wenn er es einfordern will, keinen Beweis zu erbringen. 
Bava Batra 138b:9	R. Naḥman sagte: Hona sagte mir, es gebe folgende Lehre: R. Meír sagt, sie schreiben nicht, und die Weisen sagen, sie schreiben wohl, und auch R. Meír sagt dies nur$fn934wegen eines Irrtums$fn935des Gerichtes. R. Dimi aus Nehardea͑ sagte: Die Halakha ist, man berücksichtige einen Irrtum des Gerichtes nicht. – 
Bava Batra 138b:10	Womit ist es hierbei anders als bei der Lehre Rabas? Raba sagte nämlich: Man darf die Ḥaliça vollziehen nur wenn man sie$fn936kennt, und ebenso auch eine Weigerungserklärung entgegennehmen, nur wenn man sie kennt; daher darf man [eine Urkunde über] die Ḥaliça und die Weigerungserklärung$fn937schreiben, auch wenn sie [die Person] nicht kennen. 
Bava Batra 138b:11	Doch wohl, weil ein Irrtum des Gerichtes$fn938berücksichtigt wird!? – 
Bava Batra 138b:12	Nein, ein Gericht prüft nicht die Handlung eines anderen Gerichtes nach, wohl aber die Handlung der Zeugen$fn939.
Bava Batra 138b:13	<sup>vii,2</sup> D<small>ER</small> V<small>ATER DARF</small>$fn940[F<small>RÜCHTE</small>] <small>PFLÜCKEN</small>$fn941<small>UND WEM ER WILL ZUM</small> V<small>ERZEHREN GEBEN; WAS ER ABER GEPFLÜCKT HINTERLÄSST, GEHÖRT DEN</small> E<small>RBEN</small>$fn942.
Bava Batra 138b:14	GEMARA. Nur was er gepflückt hinterläßt, nicht aber was [am Boden] haftet, 
Bava Batra 139a:1	und [dem widersprechend] wird gelehrt, was am Boden haftet, werde dem Käufer eingeschätzt$fn943!? 
Bava Batra 139a:2	U͑la erwiderte: Das ist kein Widerspruch; eines gilt von einem Sahne und eines von einem Fremden, weil jeder seinem Sohne zugetan ist$fn944.
Bava Batra 139a:3	<sup>vii,3</sup> <b>W</b><small>ENN JEMAND ERWACHSENE UND UNERWACHSENE</small> S<small>ÖHNE HINTERLASSEN HAT, SO WERDEN DIE ERWACHSENEN NICHT AUF</small> R<small>ECHNUNG DER UNERWACHSENEN</small>$fn945<small>UNTERHALTEN, UND DIE UNERWACHSENEN WERDEN NICHT AUF</small> R<small>ECHNUNG DER ERWACHSENEN</small>$fn946<small>ERNÄHRT, VIELMEHR TEILEN SIE GLEICHMÄSSIG</small>. 
Bava Batra 139a:4	H<small>EIRATEN</small>$fn947<small>DIE ERWACHSENEN, SO ENTNEHMEN</small>$fn948<small>AUCH DIE UNERWACHSENEN</small>. S<small>AGEN DIE UNERWACHSENEN: WIR WOLLEN ENTNEHMEN, WIE IHR BEREITS ENTNOMMEN</small>$fn949<small>HABT, SO HÖRE MAN NICHT AUF SIE; VIELMEHR IST, WAS DER</small> V<small>ATER DIESEN BEREITS GEGEBEN HAT, GEGEBEN</small>. 
Bava Batra 139a:5	W<small>ENN JEMAND ERWACHSENE UND UNERWACHSENE</small> T<small>ÖCHTER HINTERLASSEN HAT, SO WERDE DIE ERWACHSENEN NICHT UNTERHALTEN AUF</small> R<small>ECHNUNG DER UNERWACHSENEN, UND DIE UNERWACHSENEN WERDEN NICHT AUF</small> R<small>ECHNUNG DER ERWACHSENEN ERNÄHRT; VIELMEHR TEILEN SIE GLEICHMÄSSIG</small>. 
Bava Batra 139a:6	H<small>EIRATEN DIE ERWACHSENEN, SO ENTNEHMEN AUCH DIE UNERWACHSENEN</small>. S<small>AGEN DIE UNERWACHSENEN: WIR WOLLEN ENTNEHMEN, WIE IHR BEREITS ENTNOMMEN HABT, SO HÖRE MAN NICHT AUF SIE</small>. 
Bava Batra 139a:7	I<small>N FOLGENDEM HABEN DIE</small> T<small>ÖCHTER EIN</small> V<small>ORRECHT VOR DEN</small> S<small>ÖHNEN: DIE</small> T<small>ÖCHTER WERDEN UNTERHALTEN AUF</small> R<small>ECHNUNG DER</small> S<small>ÖHNE</small>$fn950, <small>NICHT ABER WERDEN SIE AUF</small> R<small>ECHNUNG DER</small> T<small>ÖCHTER</small>$fn951 <small>UNTERHALTEN</small>.
Bava Batra 139a:8	GEMARA. Raba sagte: Wenn der älteste der Brüder$fn952sich von der Masse kleidet$fn953und ausstattet, so ist das, was er getan hat, getan$fn954. – 
Bava Batra 139a:9	Wir haben ja aber gelernt, die erwachsenen werden nicht auf Rechnung der unerwachsenen unterhalten!? – Die Mišna spricht von Beschäftigungslosen$fn955. – 
Bava Batra 139a:10	Von Beschäftigungslosen ist dies ja selbstverständlich!? – Man könnte glauben, dies sei ihnen$fn956lieb, damit er nicht unwürdig erscheine, so lehrt er uns.
Bava Batra 139a:11	H<small>EIRATEN DIE ERWACHSENEN, SO ENTNEHMEN AUCH DIE UNERWACHSENEN</small>. Wie meint er es? 
Bava Batra 139a:12	R. Jehuda erwiderte: Er meint es wie folgt: heiraten die erwachsenen nach dem Tode ihres Vaters, so entnehmen auch die unerwachsenen nach dem Tode ihres Vaters; wenn aber die erwachsenen bereits bei Lebzeiten ihres Vaters geheiratet haben und die unerwachsenen nach dem Tode ihres Vaters sagen: wir wollen ebenfalls entnehmen, wie ihr bereits entnommen habt, so höre man nicht auf sie, vielmehr ist das, was der Vater ihnen bereits gegeben hat, gegeben.
Bava Batra 139a:13	W<small>ENN JEMAND ERWACHSENE UND UNERWACHSENE</small> T<small>ÖCHTER HINTERLÄSST</small>. Abuha b. Geneba sandte an Raba folgende Frage: Lehre uns der Meister, wie es denn sei, wenn [eine Frau] etwas geborgt, es verzehrt und sich verheiratet$fn957hat: gilt der Ehemann$fn958als Käufer oder gilt er als Erbe? 
Bava Batra 139a:14	Gilt er als Käufer, und ein mündliches Darlehen kann vom Käufer nicht eingefordert werden, oder gilt er als Erbe, und ein mündliches Darlehen kann vom Erben eingefordert werden? 
Bava Batra 139a:15	Dieser erwiderte: Es wird gelehrt: heiraten die erwachsenen, so entnehmen auch die unerwachsenen; doch wohl: haben die erwachsenen sich mit einem Manne verheiratet, so entnehmen die unerwachsenen [ihre Ausstattung] vom Ehemanne$fn959. – 
Bava Batra 139a:16	Nein, haben die erwachsenen sich mit einem Manne verheiratet, so entnehmen auch die unerwachsenen [Ausstattung zur Verheiratung] mit einem Manne. – 
Bava Batra 139a:17	Dem ist ja aber nicht so, R. Ḥija lehrte ja, wenn die erwachsenen sich mit einem Manne verheiraten, erhalten die unerwachsenen vom Ehemanne!? – 
Bava Batra 139a:18	Vielleicht verhält es sich beim Unterhalte anders, weil dies bekannt$fn960ist. 
Bava Batra 139a:19	R. Papa sprach zu Raba: Ist dies etwa nicht der Fall, den Rabin in seinem Briefe mitteilen ließ? Wenn jemand gestorben ist und eine Witwe und eine Tochter hinterlassen hat, so ist seine Witwe von seinem Vermögen zu unterhalten; verheiratet$fn961sich die Tochter, so ist seine Witwe weiter von seinem Vermögen zu unterhalten. Stirbt$fn962die Tochter? R. Jehuda, Schwesterssohn des R. Jose b. Ḥanina, erwiderte: Ich hatto einen solchen Fall, and man entschied, die Witwe sei von seinem Vermögen zu unterhalten. 
Bava Batra 139a:20	Einleuchtend ist es nun, wenn er als Erbe gilt, daß die Witwe von seinem Vermögen zu unterhalten ist, wieso aber ist sie, wenn du sagst, er gelte als Käufer, von seinem Vermögen zu unterhalten!?
Bava Batra 139a:21	Abajje sagte: Würden wir es denn, wenn Rabin es nicht mitgeteilt hätte, nicht gewußt haben, wir haben ja gelernt: Folgendes geht im Jobeljahre$fn963nicht zurück: der Erstgeburtsanteil 
Bava Batra 139b:1	und das, was der Ehemann von seiner Frau$fn964erbt. 
Bava Batra 139b:2	Raba sprach zu ihm: Wissen wir es denn jetzt, wo er es mitteilen ließ, R. Jose b. Ḥanina sagte ja, in U͑ša ordneten sie an, daß, wenn eine Frau bei Lebzeiten ihres Ehemannes Nießbrauchgüter verkauft hat, und gestorben ist, der Ehemann sie den Käufern wegnehmen$fn965könne!? 
Bava Batra 139b:3	Vielmehr, sagte R. Aši, haben die Rabbanan den Ehemann einem Erben gleichgestellt, und ebenso haben sie ihn einem Käufer gleichgestellt, und zwar immer zu seinem Vorteile. Hinsichtlich des Jobelgesetzes haben die Rabbanan ihn einem Erben gleichgestellt, wegen seines Verlustes$fn966; hinsichtlich der Lehre des R. Jose b. Ḥanina$fn967haben die Rabbanan ihn einem Käufer gleichgestellt, wegen seines Verlustes; und hinsichtlich der Lehre Rabins$fn968haben die Rabbanan ihn einem Erben gleichgestellt, wegen des Verlustes der Witwe. – 
Bava Batra 139b:4	Aber bei der Lehre des R. Jose b. Ḥanina erleiden ja die Käufer einen Verlust, dennoch haben ihn die Rabbanan einem Käufer$fn969gleichgestellt!? – 
Bava Batra 139b:5	Hierbei haben diese selber sich den Schaden zugefügt; sie sollten nicht von einer Frau kaufen, die bei ihrem Ehernanne weilt.
Bava Batra 139b:6	
Bava Batra 139b:7	<sup>i</sup> <b>W</b>ENN <small>JEMAND GESTORBEN IST UND</small> S<small>ÖHNE UND</small> T<small>ÖCHTER HINTERLASSEN HAT, SO ERBEN, WENN EIN GROSSES</small> V<small>ERMÖGEN VORHANDEN IST, DIE</small> S<small>ÖHNE, UND DIE</small> T<small>ÖCHTER WERDEN UNTERHALTEN</small>$fn1; <small>IST ABER NUR EIN GERINGES</small> V<small>ERMÖGEN VORHANDEN, SO WERDEN DIE</small> T<small>ÖCHTER UNTERHALTEN UND DIE</small> S<small>ÖHNE MÖGEN AN DEN</small> T<small>ÜREN BETTELN</small>. A<small>DMON SAGTE</small>: H<small>ABE ICH DENN, WEIL ICH MÄNNLICHEN</small> G<small>ESCHLECHTES BIN</small>, V<small>ERLUST ZU ERLEIDEN</small>!? H<small>IERZU SAGTE</small> R. G<small>AMLIÉL</small>: M<small>IR LEUCHTEN DIE</small> W<small>ORTE</small> A<small>DMONS EIN</small>.
Bava Batra 139b:8	GEMARA. Was heißt großes [Vermögen]? R. Jehuda erwiderte im Namen Rabhs : Aus dem diese und jene$fn2 zwölf Monate unterhalten werden können. Als ich dies Šemuél vortrug, sprach er zu mir: Dies ist die Ansicht des R. Gamliél b. Rabbi, die Weisen aber sagen: daß dieser und jene unterhalten werden können bis sie mannbar$fn3 sind.
Bava Batra 139b:9	Ebenso wurde auch gelehrt: Als Rabin kam, sagte er im Namen R. Joḥanans: Wenn davon diese und jene unterhalten werden können bis sie mannbar sind, so heißt dies ein großes [Vermögen], ist es aber weniger, so heißt es ein geringes. –
Bava Batra 139b:10	Und wenn es nicht für diese und jene bis sie mannbar werden ausreicht, erhalten die Töchter alles$fn4!?
Bava Batra 140a:1	Vielmehr, erklärte Raba, entnehme man davon den Unterhalt für die Töchter bis sie mannbar werden, und das übrige erhalten die Söhne.
Bava Batra 140a:2	Selbstverständlich ist es, daß wenn [das Vermögen] groß$fn5 war und vermindert$fn6 worden ist, die Erben es bereits geeignet haben$fn7; wie ist es aber, wenn es gering war und vergrößert worden ist, befindet es sich im Besitze der Erben und ist somit im Besitze der Erben gestiegen, oder aber sind die Erben davon entfernt$fn8 worden? –
Bava Batra 140a:3	Komm und höre : R. Asi sagte im Namen R. Joḥanans: Wenn die Waisen zuvorgekommen sind und vom geringen Vermögen etwas verkauft haben, so ist der Verkauf gültig$fn9.
Bava Batra 140a:4	R. Jirmeja saß vor R. Abahu und richtete an ihn folgende Frage: Vermindert die Witwe$fn10das Vermögen$fn11? Sagen wir, sie vermindere es, weil sie Unterhalt zu beanspruchen hat, oder vermindert sie es nicht, da sie nichts erhält, wenn sie sich verheiratet.
Bava Batra 140a:5	Und wenn du entscheidest, sie vermindere es nicht, weil sie nichts erhält, wenn sie sich verheiratet, [so ist es fraglich,] ob die Tochter seiner Frau$fn12das Vermögen vermindere. Sagen wir, sie vermindere es, weil sie [Unterhalt] bezieht$fn13, auch wenn sie sich verheiratet, oder aber vermindert sie es nicht, weil sie nichts erhält, wenn sie stirbt$fn14?
Bava Batra 140a:6	Und wenn du entscheidest, sie vermindere es nicht, weil sie nichts erhält, wenn sie stirbt, [so ist es fraglich,] ob ein Gläubiger$fn15das Vermögen vermindere; sagen wir, er vermindere es, weil er$fn16 [seine Forderung] erhält, auch wenn er stirbt, oder aber vermindert er es nicht, weil die Einziehung noch fehlt$fn17?
Bava Batra 140a:7	Manche ordnen diese Fragen entgegengesetzt: Vermindert ein Gläubiger das Vermögen?
Bava Batra 140b:1	Vermindert die Tochter seiner Frau das Vermögen$fn18? Vermindert seine Witwe das Vermögen$fn19? Wer geht von der Witwe und ihrer Tochter vor$fn20?
Bava Batra 140b:2	Dieser erwiderte: Geh jetzt und komme morgen. Als er kam, sprach er zu ihm: Allenfalls ist eines zu entscheiden, denn R. Abba sagte im Namen R. Asis, bei einem geringen Vermögen haben sie das Verhältnis der Witwe zur Tochter dem Verhältnisse der Tochter zu den Brüdern gleichgestellt; wie bei Tochter und Brüdern die Tochter zu unterhalten ist und die Brüder an den Türen betteln mögen, ebenso ist bei Witwe und Tochter die Witwe zu unterhalten und die Tochter mag an den Türen betteln.
Bava Batra 140b:3	A<small>DMON SAGTE</small>: H<small>ABE ICH DENN, WEIL ICH MÄNNLICHEN</small> G<small>ESCHLECHTES BIN</small>, V<small>ERLUST ZU ERLEIDEN &amp;C</small>. Wie meint er es$fn21? Abajje erwiderte: Er meint es wie folgt: habe ich denn, weil ich männlichen Geschlechtes bin und mich mit der Tora befassen kann, Verlust zu erleiden!? Raba sprach zu ihm: Demnach erbt nur, wer sich mit der Tora bef aßt, und wer sich mit der Tora nicht bef aßt, erbt nicht!? Vielmehr, erklärte Raba, meint er es wie folgt: habe ich denn, weil ich männlichen Geschlechtes bin und bei einem großen Vermögen Erbe bin, bei einem kleinen Vermögen Verlust zu erleiden!?
Bava Batra 140b:4	<sup>ii</sup> <b>W</b><small>ENN JEMAND</small> S<small>ÖHNE</small>, T<small>ÖCHTER UND EINEN</small> G<small>ESCHLECHTSLOSEN HINTERLASSEN HAT, SO KÖNNEN IHN, WENN ES EIN GROSSES</small> V<small>ERMÖGEN</small>$fn22<small>IST, DIE MÄNNLICHEN</small> [K<small>INDER</small>] <small>ZU DEN WEIBLICHEN DRÄNGEN</small>$fn23, <small>UND WENN ES EIN GERINGES</small> V<small>ERMÖGEN</small>$fn24<small>IST, DIE WEIBLICHEN ZU DEN MÄNNLICHEN DRÄNGEN</small>.
Bava Batra 140b:5	W<small>ENN JEMAND GESAGT HAT: GEBIERT MEINE</small> F<small>RAU EINEN</small> K<small>NABEN, SO SOLL ER EINE</small> M<small>INE</small>$fn25<small>ERHALTEN, UND SIE EINEN</small> K<small>NABEN GEBIERT, SO ERHÄLT ER EINE</small> M<small>INE</small>. [S<small>AGTE ER</small>:] <small>WENN EIN</small> M<small>ÄDCHEN, ZWEIHUNDERT</small> [Z<small>UZ</small>], <small>UND GEBIERT SIE EIN</small> M<small>ÄDCHEN, SO ERHÄLT ES ZWEIHUNDERT</small> [Z<small>ÜZ</small>.
Bava Batra 140b:6	S<small>AGTE ER</small>:] <small>WENN EINEN</small> K<small>NABEN, EINE</small> M<small>INE, WENN EIN</small> M<small>ÄDCHEN, ZWEIHUNDERT</small> [Z<small>ÜZ</small>], <small>UND GEBIERT SIE EINEN</small> K<small>NABEN UND EIN</small> M<small>ÄDCHEN, SO ERHÄLT DER</small> K<small>NABE EINE</small> M<small>INE UND DAS</small> M<small>ÄDCHEN ZWEIHUNDERT</small> [Z<small>UZ</small>]; <small>GEBIERT SIE EINEN</small> G<small>ESCHLECHTSLOSEN, SO ERHÄLT ER NICHTS</small>. S<small>AGTE ER ABER, WAS MEINE</small> F<small>RAU GEBIERT, SOLL ERHALTEN</small>$fn26, <small>SO ERHÄLT ES AUCH DIESER</small>$fn27. I<small>ST KEIN ANDERER</small> E<small>RBE ALS DIESER VORHANDEN, SO ERBT ER ALLES</small>$fn28.
Bava Batra 140b:7	GEMARA. Sie drängen ihn$fn29, und er erhält$fn30gleich einer Tochter, und [dem widersprechend] lehrte er im Schlußsatze, wenn sie einen Geschlechtslosen gebiert, erhalte er nichts!? Abajje erwiderte: Sie drängen ihn, und er erhält nichts$fn31.
Bava Batra 140b:8	Raba erwiderte: Sie drängen ihn, und er erhält$fn30wohl, und der Schlußsatz vertritt die Ansicht des R. Šimo͑n b. Gamliél; denn es wird gelehrt: Hat es$fn32ein Geschlechtsloses oder einen Zwitter geworfen, so erstreckt sich, wie R. Šimo͑n b. Gamliél sagt, die Heiligkeit nicht auf diese$fn33.
