Rosh Hashanah 2a:1	<b>E</b>S <small>GIBT VIER</small> J<small>AHRESANFÄNGE: DER ERSTE</small> N<small>ISAN IST</small> J<small>AHRESANFANG DER</small> K<small>ÖNIGE</small>$fn1 <small>UND DER</small> F<small>ESTE</small>$fn2. 
Rosh Hashanah 28b:11	In dem Falle, wenn er ihn noch nicht beendet$fn69hat. –
Rosh Hashanah 28b:12	Es wird ja aber gelehrt: wenn er ihn beendet hat!? – Wenn er einen Segen$fn70beendet hat!? – 
Rosh Hashanah 28b:13	Es wird ja aber gelehrt: wenn er alle Segenssprüche beendet hat!? – Anders ist es hierbei; da er, wenn er in eine andere [Bet]gemeinde kommt, den [Priester]segen wiederum sprechen muß, so gilt der ganze Tag als Pflichtzeit. – 
Rosh Hashanah 28b:14	Woher entnimmst du dies? – Wir haben gelernt: Wenn einmal zu sprengendes [Blut]$fn71mit einmal zu sprengendem vermischt worden ist, so ist es einmal zu sprengen; wenn viermal zu sprengendes mit einmal zu sprengendem, so ist es viermal zu sprengen; 
Rosh Hashanah 28b:15	wenn viermal zu sprengendes mit einem zu sprengendem, so ist es, wie R. Elie͑zer sagt, viermal, und wie R. Jehošua͑ sagt, einmal zu sprengen. 
Rosh Hashanah 28b:16	R. Elie͑zer sprach zu ihm: Man übertritt ja das Verbot des Verminderns!? R. Jehošua͑ entgegnete ihm: Man übertritt ja das Verbot des Hinzufügens!? 
Rosh Hashanah 28b:17	R. Elie͑zer erwiderte: Das Verbot des Hinzufügens gilt nur in dem Falle, wenn es gesondert$fn72ist. R. Jehošua͑ entgegnete: Auch das Verbot des Verminderns gilt nur in dem Falle, wenn es gesondert ist. 
Rosh Hashanah 28b:18	Ferner sprach R. Jehošua͑: Wenn du nicht [genügend] sprengst, übertrittst du zwar das Verbot des Verminderns, übst aber keine Handlung mit den Händen aus, wenn du aber [mehr] sprengst, so übertrittst du das Verbot des Hinzufügens und übst eine Handlung mit den Händen aus. 
Rosh Hashanah 28b:19	In diesem Falle ist ja, sobald man einmal [vom Blute] der Erstgeburt$fn73gesprengt hat, die Zeit [des Gebotes] vorüber, und er lehrt, man habe das Verbot des Hinzufügens begangen; doch wohl aus dem Grunde, weil wir sagen: wenn eine andere Erstgeburt [zur Darbringung] gelangt, muß er wiederum sprengen, somit gilt der ganze Tag als Pflichtzeit. – 
Rosh Hashanah 28b:20	Vielleicht ist R. Jehošua͑ der Ansicht, man übertrete [das Verbot des Hinzufügens] auch außerhalb der Zeit des Gebotes!? – 
Rosh Hashanah 28b:21	Wir meinen es wie folgt: weshalb übergeht R. Šamen b. Abba eine Mišna und erhebt einen Einwand aus einer Barathja, er sollte ja einen Einwand aus der Misna erhebenI? Er erhebt ihn deshalb nicht aus dieser, weil, wenn ihm eine andere Erstgebürt [zur Darbringung] gelangt, er wiederum sprengen muß, und somit der ganze Tag als Pflichtzeit gilt, und dies gilt ja auch von der Barajtha: wenn er in eine andere [Bet]gemeinde kommt, muß er den Priestersegen wiederum sprechen, somit gilt der ganze Tag als Pflichtzeit. – 
Rosh Hashanah 28b:22	Und R. Šamen b. Abba!? – Das Blutsprengen kann er nicht$fn74ablehnen, während [die Wiederholung] des Priestersegens von seinem Belieben abhängt. 
Rosh Hashanah 28b:23	Raba erklärte: Der Pflicht genügt man auch ohne Beabsichtigung, eine Übertretung aber begeht man nur bei Beabsichtigung. – 
Rosh Hashanah 28b:24	Beim Blutsprengen begeht man ja nach R. Jehošua͑ eine Übertretung ohne Beabsichtigung!? Vielmehr, erklärte Raba, der Pflicht genügt man auch ohne Beabsichtigung, eine Übertretung aber begeht man zur Zeit auch ohne Beabsichtigung, außerhalb der Zeit nur bei Beabsichtigung.
Rosh Hashanah 28b:25	R. Zera sprach zu seinem Diener:
Rosh Hashanah 29a:1	Blase für mich und beabsichtige es. Er ist also der Ansicht, der Blasende müsse es beabsichtigen. 
Rosh Hashanah 29a:2	Man wandte ein: Desgleichen hat, wer an einem Bethause vorübergeht, oder dessen Haus sich in der Nähe des Bethauses befindet, und den Schall des Blashorns oder das Vorlesen der Esterrolle hört, falls er es beabsichtigt hat, seiner Pflicht genügt, wenn aber nicht, seiner Pflicht nicht genügt. Was nützt ihm nun seine Beabsichtigung, wenn jener es nicht beabsichtigt hat!? –
Rosh Hashanah 29a:3	Hier handelt es sich um den Gemeindevertreter$fn75, der an die ganze Gemeinde denkt. – 
Rosh Hashanah 29a:4	Komm und höre: Wenn nur der Hörende und nicht der Blasende oder nur der Blasende und nicht der Hörende es beabsichtigt, so hat man seiner Pflicht nicht genügt; der Hörende und der Blasende müssen es beide beabsichtigen. Er lehrt vom Blasenden wie vom Hörenden: wie der Hörende nur für sich allein hört, ebenso der Blasende, wenn er für sich allein bläst, und er lehrt, man habe seiner Pflicht (nicht) genügt!? –
Rosh Hashanah 29a:5	Hierüber streiten Tannaím; denn es wird gelehrt: Der Hörende muß für sich hören, und der Blasende blase wie gewöhnlich. R. Jose sagt, dies gelte nur vom Gemeindevertreter, bei einem Privaten aber genüge man seiner Pflicht nur dann, wenn der Hörende und der Blasende es beide beabsichtigen.
Rosh Hashanah 29a:6	$fn76 <b>U</b><i>nd sobald Moše seine Hand erhob, da siegte Jisraél &amp;c</i>.; <small>KONNTEN DENN DIE</small> H<small>ÄNDE</small> M<small>OŠES DEN</small> K<small>RIEG FÖRDERN ODER DEN</small> K<small>RIEG ABBRECHEN?</small> D<small>IES BESAGT VIELMEHR, DASS, WENN</small> J<small>ISRAÉL NACH OBEN SCHIUT UND SIE IHR</small> H<small>ERZ IHREM</small> V<small>ATER IM</small> H<small>IMMEL UNTERWERFEN, SIE SIEGEN, WENN ABER NICHT, SIE UNTERLIEGEN</small>.
Rosh Hashanah 29a:7	<sup>viii</sup> D<small>ESGLEICHEN HEISST ES</small>:$fn77<i>fertige dir eine Brandschlange an und befestige sie an einer Stange; wenn jemand gebissen wird, so schaue er zu ihr hinauf, und er wird am Leben bleiben</i>; K<small>ONNTE DENN DIE</small> S<small>CHLANGE TÖTEN ODER AM</small> L<small>EBEN ERHALTEN</small>? V<small>IELMEHR</small>, <small>WENN</small> J<small>ISRAÉL NACH OBEN SCHAUT UND SIE IHR HERZ IHREM</small> V<small>ATER IM</small> H<small>IMMEL UNTERWERFEN, SO GENESEN SIE, WENN ABER NICHT, SO SIECHEN SIE DAHIN</small>.
Rosh Hashanah 29a:8	D<small>ER</small> T<small>AUBE, DER</small> B<small>LÖDE UND DER</small> M<small>INDERJÄHRIGE KÖNNEN DIE</small> M<small>ENGE IHRER</small> P<small>FLICHT NICHT ENTLEDIGEN</small>. D<small>IE</small> R<small>EGEL IST:</small> W<small>ER SELBST DAZU NICHT VERPFLICHTET IST, KANN DIE</small> M<small>ENGE IHRER</small> P<small>FLICHT NICHT ENTLEDIGEN</small>.
Rosh Hashanah 29a:9	GEMARA. Die Rabbanan lehrten: Alle sind zum Posaunenblasen verpflichtet: Priester, Leviten, Jisraéliten, Proselyten, freigelassene Sklaven, der Geschlechtslose, der Zwitter und der Halbsklave$fn78. 
Rosh Hashanah 29a:10	Der Geschlechtslose kann weder seinesgleichen noch andersartige der Pflicht entledigen; der Zwitter kann seinesgleichen entledigen, andersartige aber nicht; der Halbsklave kann weder seinesgleichen noch andersartige der Pflicht entledigen.
Rosh Hashanah 29a:11	Der Meister sagte: Alle sind zum Posaunenblasen verpflichtet, Priester, Leviten, Jisraéliten. Selbstverständlich, wer sonst sollte verpflichtet sein, wenn nicht diese!? – 
Rosh Hashanah 29a:12	Dies ist wegen der Priester nötig; da es heißt:$fn79<i>als Tag des Lärmblasens soll er euch gelten</i>, so könnte man glauben, nur diejenigen seien verpflichtet, denen das Blasen nur einmal [im Jahre] geboten ist, nicht aber Priester, denen das Blasen das ganze Jahr geboten ist, wie es heißt :$fn80<i>ihr sollt zu euren Brandopfern mit Trompeten blasen</i>, so lehrt er uns. –
Rosh Hashanah 29a:13	Ist es denn gleich: da sind es Trompeten, hierbei aber das Blashorn!? – Vielmehr, dies ist nötig; da wir gelernt haben, der Jobeltag gleiche dem Neujahrsfeste hinsichtlich des Blasens und der Segenssprüche, so könnte man glauben, für den das Jobelgebot gilt, gelte auch das Neujahrsgebot, für Priester aber, für die das Jobelgebot nicht gilt, wie wir gelernt haben, Priester und Leviten dürfen [Grundstücke] stets verkaufen und stets$fn81auslösen, gelte auch das Neujahrsgebot nicht, so lehrt er uns.
Rosh Hashanah 29a:14	‘Der Halbsklave kann weder seinesgleichen noch andersartige der Pflicht entledigen’. R. Hona sagte: Sich selbst aber wohl.
Rosh Hashanah 29a:15	R. Nabman sprach zu R. Hona: Andere wohl deshalb nicht, weil das Sklavische [an ihm] nicht Freie der Pflicht entledigen kann, ebenso sollte doch, wenn sich selbst, das Sklavische an ihm nicht das Freie an ihm der Pflicht entledigen!? 
Rosh Hashanah 29a:16	Vielmehr, sagte R. Naḥman, kann er auch sich selbst nicht der Pflicht entledigen. Ebenso wird gelehrt: Der Halbsklave kann auch sich selbst nicht der Pflicht entledigen.
Rosh Hashanah 29a:17	Ahaba, Sohn des R. Zera, lehrte: Bei allen Segenssprüchen kann man, auch wenn man bereits sich selbst der Pflicht entledigt hat, andere der Pflicht entledigen, ausgenommen die Segenssprüche über das Brot und über den Wein$fn82: hat man sich selbst der Pflicht nicht entledigt, so kann man auch andere der Pflicht entledigen, hat man bereits sich selbst der Pflicht entledigt, so kann man andere nicht mehr der Pflicht entledigen. 
Rosh Hashanah 29a:18	Raba fragte: 
Rosh Hashanah 29b:1	Wie ist es bei den Segenssprüchen über das Ungesäuerte und über den Wein des Weihsegens: kann man andere der Pflicht entledigen, da sie Pflicht sind, oder gibt es hierbei keinen Unterschied? – 
Rosh Hashanah 29b:2	Komm und höre: R. Aši erzählte: Als wir bei R. Papi waren, sprach er für uns den Weihsegen, und wenn seine Pächter vom Felde kamen, sprach er ihn wiederum für sie.
Rosh Hashanah 29b:3	Die Rabbanan lehrten: Man darf nicht für seine Gäste das Brot [zum Segensspruche] anbrechen, ohne mit ihnen mitzuessen, wohl aber darf man es für seine Kinder und seine Hausleute. Man kann andere der Pflicht des Lobliedes und der Esterrolle entledigen, auch wenn man sich bereits der Pflicht entledigt hat.
Rosh Hashanah 29b:4	
Rosh Hashanah 29b:5	<b>W</b>ENN <small>DAS</small> F<small>EST DES</small> N<small>EUJAHRS AUF EINEN</small> Š<small>ABBATH FIEL, BLIES MAN IM</small> T<small>EMPEL, NICHT ABER IN DER</small> P<small>ROVINZ</small>. <sup>i</sup> N<small>ACHDEM DER</small> T<small>EMPEL ZERSTÖRT WURDE, ORDNETE</small> R. J<small>OḤANAN B.ZAKKAJ AN, IN JEDEM</small> O<small>RTE ZU BLASEN, WO EIN</small> G<small>ERICHT SICH BEFINDET. R</small>. E<small>LEA͑ZAR SAGTE</small>, R. J<small>OḤLANAN B</small>.Z<small>AKKAJ HABE DIES NUR FÜR</small> J<small>ABNE</small>$fn1 <small>ANGEORDNET</small>. M<small>AN ENTGEGNETE IHM;</small> S<small>OWOHL FÜR</small> J<small>ABNE ALS AUCH FÜR JEDEN</small> O<small>RT, WO EIN</small> G<small>ERICHT SICH BEFINDET</small>.
Rosh Hashanah 29b:6	A<small>UCH HIERIN WAR</small> J<small>ERUŠALEM BEVORZUGTER ALS</small> J<small>ABNE: IN JEDER</small> S<small>TADT, DIE</small> [J<small>ERUŠALEM</small>] <small>SEHEN UND HÖREN KONNTE, IHR NAHE WAR UND AUS DER MAN DAHIN KOMMEN KONNTE, WURDE GEBLASEN, IN</small> J<small>ABNE ABER NUR VOR DEM</small> G<small>ERICHTE</small>. <sup>ii</sup>
Rosh Hashanah 29b:7	GEMARA. Woher dies? R. Levi b. Lahma erwiderte im Namen des R. Ḥama b.Ḥanina: Ein Schriftvers lautet :$fn2<i>ein Ruhetag, eine Erinnerung des Lärmblasens</i>, und ein anderer lautet : $fn3<i>als Tag des Lärmblasens gelte er euch</i>; aber das ist kein Widerspruch, denn der eine spricht von einem Festtage, der auf einen Šabbath fällt, und der andere von einem Festtage, der auf einen Wochentag fällt. 
Rosh Hashanah 29b:8	Raba sprach: Wieso durfte man, wenn es nach der Tora [verboten] ist, im Tempel blasen!? Und wozu ist ferner ein Schriftvers zur Ausschließung nötig, wo dies gar keine Arbeit ist!? 
Rosh Hashanah 29b:9	In der Schule Šemuéls wurde nämlich gelehrt:$fn3<i>Ihr sollt keinerlei Arbeit verrichten</i>, ausgenommen das Posaunenblasen und das Herausnehmen des Brotes$fn4, die Kunstfertigkeiten und keine Arbeiten sind!? 
Rosh Hashanah 29b:10	Vielmehr, erklärte Raba, nach der Tora ist es auch erlaubt, nur haben die Rabbanan [es verboten]. Dies nach Rabba, denn Rabba sagte: Jeder ist zum Posaunenblasen verpflichtet, nicht aber ist jeder des Posaunenblasens kundig; somit ist zu berücksichtigen, es könnte jemand [die Posaune] in die Hand nehmen und zu einem Kundigen es lernen gehen und so vier Ellen über öffentliches Gebiet tragen. 
Rosh Hashanah 29b:11	Dies ist auch der Grund beim Feststrausse und bei der Esterrolle$fn5.
Rosh Hashanah 29b:12	N<small>ACHDEM DER</small> T<small>EMPEL ZERSTÖRT WURDE, ORDNETE R</small>. J<small>OḤANAN B</small>. Z<small>AKKAJ AN</small> &amp;c. Die Rabbanan lehrten: Einst fiel das Neujahrsfest auf einen Šabbath, und R. Joḥanan b. Zakkaj sprach zu den Söhnen Betheras: Wir wollen blasen. Diese erwiderten: Wir wollen verhandeln$fn6. 
Rosh Hashanah 29b:13	Hierauf sprach er: Wir wollen zuerst blasen und nachher verhandeln. Nachdem man geblasen hatte, sprachen sie zu ihm: Wir wollen nun verhandeln. Da erwiderte er: In Jabne hat man das Blashorn bereits gehört; nach erfolgter Tat ist nichts einzuwenden.
Rosh Hashanah 29b:14	R. E<small>LEA͑ZAR SAGTE</small>, R. J<small>OḤANAN B</small>.Z<small>AKKAJ HABE DIES NUR FÜR</small> J<small>ABNE ANGEORDNET</small>. M<small>AN ENTGEGNETE IHM:</small> S<small>OWOHL FÜR</small> J<small>ABNE ALS AUCH FÜR JEDEN</small> O<small>RT, WO EIN</small> G<small>ERICHT SICH BEFINDET</small>. Diese sagen ja dasselbe, wie der erste Tanna!? – 
Rosh Hashanah 29b:15	Ein Unterschied besteht zwischen ihnen bei einem vorübergehenden Gerichtshöfe. 
Rosh Hashanah 29b:16	(Man entgegnete ihm: Sowohl für Jabne als auch für jeden Ort, wo ein Gericht sich befindet.) R. Hona sagte:
Rosh Hashanah 30a:1	[Man blase] nur mit dem Gerichtshöfe. – Was heißt: mit dem Gerichtshöfe? – In Anwesenheit des Gerichtshofes, sonst aber nicht. 
Rosh Hashanah 30a:2	Raba wandte ein: Auch hierin war Jerušalem bevorzugter als Jabne &amp;c. Was heißt ‘auch hierin’ : wollte man sagen, wie gelehrt$fn7 wird, so sollte es ‘hierin’ heißen, wollte man sagen, indem in Jerušalem auch einzelne bliesen
Rosh Hashanah 30a:3	und in Jabne einzelne nicht bliesen, so erzählte ja R. Jiçḥaq b. Joseph, als er kam, daß, als in Jabne der Gemeindevertreter das Blasen beendete, kein Mensch etwas mit den Ohren hören konnte, wegen des Lärmens der Blasenden!?
Rosh Hashanah 30a:4	Wahrscheinlich [wie folgt:] in Jerušalem wurde sowohl zur Zeit der Gerichtssitzung als auch außerhalb der Zeit der Gerichtssitzung geblasen, in Jabne aber nur zur Zeit der Gerichtssitzung, nicht aber außerhalb der Zeit der Gerichtssitzung; zur Zeit der Gerichtssitzung aber wurde auch in Abwesenheit des Gerichts geblasen!? – 
Rosh Hashanah 30a:5	Nein, in Jerušalem wurde sowohl in Anwesenheit des Gerichtshofes als auch in Abwesenheit des Gerichtshofes geblasen, in Jabne aber nur in Anwesenheit des Gerichtshofes, nicht aber in Abwesenheit des Gerichtshofes. 
Rosh Hashanah 30a:6	Manche beziehen die Lehre R. Honas auf das folgende : <i>Am Versöhnungstage sollt ihr in eurem ganzen Lande die Posaune erschallen lassen</i>; dies lehrt, daß jeder zu blasen verpflichtet ist. R. Hona sagte: Nur mit dem Gerichtshöfe. – Was heißt: mit dem Gerichtshofe? – Zur Zeit der Gerichtssitzung, nicht aber außerhalb der Zeit der Gerichtssitzung.
Rosh Hashanah 30a:7	Raba wandte ein: Das Posaunenblasen am Neujahrsfeste und am Jobeltage verdrängt in der Provinz den Šabbath für Mann und Haus. Was heißt ‘Mann und Haus’: wollte man sagen, Mann und Frau, so ist ja die Frau dazu nicht verpflichtet, da es ja ein von einer bestimmten Zeit abhängiges Gebot ist, und Frauen von jedem von einer bestimmten Zeit abhängigen Gebote frei sind!? 
Rosh Hashanah 30a:8	Wahrscheinlich jedermann zu Hause, und zwar auch außerhalb der Zeit der Gerichtssitzung!? – Nein, nur zur Zeit der Gerichtssitzung. 
Rosh Hashanah 30a:9	R. Šešeth wandte ein: Der Jobeltag gleicht hinsichtlich des Blasens und der Segenssprüche dem Neujahrsfeste, nur wurde am Jobeltage sowohl vor dem Gerichtshofe, der den Neumond geweiht$fn8hat, als auch vor dem Gerichtshofe, der den Neumond nicht geweiht hat, geblasen, auch ist jeder einzelne zu blasen verpflichtet, während am Neujahrsfeste nur vor dem Gerichtshofe, der den Neumond geweiht hat, geblasen wurde, auch ist nicht jeder einzelne zu blasen verpflichtet.
Rosh Hashanah 30a:10	Was heißt: auch ist nicht jeder einzelne zu blasen verpflichtet: wollte man sagen, am Jobeltage blase jeder einzelne, und am Neujahrsfeste blase jeder einzelne nicht, so erzählte ja R. Jiçḥaq b. Joseph, als er kam, daß, als in Jabne der Gemeindevertreter das Blasen beendete, kein Mensch etwas mit den Ohren hören konnte, wegen des Lärmens der Blasenden!? 
Rosh Hashanah 30a:11	Wahrscheinlich [wie folgt:] am Jobeltage wurde sowohl zur Zeit der Gerichtssitzung als auch außerhalb der Zeit der Gerichtssitzung geblasen, am Neujahrsfeste aber nur zur Zeit der Gerichtssitzung, nicht aber außerhalb der Zeit der Gerichtssitzung; am Jobeltage wurde sowohl zur Zeit der Gerichtssitzung als auch außerhalb der Zeit der Gerichtssitzung geblasen!? – 
Rosh Hashanah 30a:12	Nein, tatsächlich nur zur Zeit der Gerichtssitzung, und es ist wie folgt zu verstehen: nur wurde am Jobeltage zur Zeit der Gerichtssitzung sowohl in Anwesenheit des Gerichtshofes als auch in Abwesenheit des Gerichtshofes geblasen, am Neujahrsfeste aber nur zur Zeit der Gerichtssitzung und in Anwesenheit des Gerichtshofes. Es wurde auch gelehrt: R.Hija b.Gamda sagte im Namen des R. Jose b.Šaúl im Namen Rabbis: Man bläst nur zur Zeit der Gerichtssitzung.
Rosh Hashanah 30a:13	R. Zera fragte : Wie ist es, wenn [der Gerichtshof] zum Aufstehen sich in Bewegung gesetzt hat, aber nicht aufgestanden ist: kommt es auf die [Gerichts]sitzung an, was hierbei der Fall ist, oder auf die Sitzungszeit, was hierbei nicht der Fall ist? – Dies bleibt unentschieden.
Rosh Hashanah 30a:14	A<small>UCH HIERIN WAR</small> J<small>ERUŠALEM BEVORZUGTER ALS</small> J<small>ABNE &amp;C</small>. Sehen, ausgenommen, die in einem Tale lag; 
Rosh Hashanah 30a:15	hören, ausgenommen, die auf einem Berge lag: nahe, ausgenommen, die außerhalb des Gebietes lag; kommen konnte, ausgenommen, wenn dazwischen ein Fluß sich befand.
Rosh Hashanah 30a:16	<sup>iii</sup> <b>A</b><small>NFANGS WURDE DER</small> F<small>ESTSTRAUSS IM</small> T<small>EMPEL ALLE SIEBEN</small> T<small>AGE GENOMMEN UND IN DER</small> P<small>ROVINZ NUR EINEN</small> T<small>AG; NACHDEM ABER DER</small> T<small>EMPEL ZERSTÖRT WURDE, ORDNETE</small> R. J<small>OḤANAN B</small>.Z<small>AKKAJ AN, DASS DER</small> F<small>ESTSTRAUSS AUCH IN DER</small> P<small>ROVINZ ALLE SIEBEN</small> T<small>AGE GENOMMEN WERDE, ZUR</small> E<small>RINNERUNG AN DEN</small> T<small>EMPEL, 
Rosh Hashanah 30a:17	UND DASS AM GANZEN</small> S<small>CHWINGETAGE</small>$fn9 [<small>FRISCHE</small> F<small>ELDFRUCHT</small>] <small>VERBOTEN SEI</small>.
Rosh Hashanah 30a:18	GEMARA. Woher, daß wir Anordnungen zur Erinnerung an den Tempel treffen? – Es heißt :$fn10<i>ich will dir einen Verband anlegen, dich von deinen Wunden heilen, Spruch des Herrn, weil sie dich eine Verstoßene nennen, Çijon, um die sich niemand kümmert</i>, demnach kümmere man sich wohl.
Rosh Hashanah 30a:19	D<small>ASS AM GANZEN</small> S<small>CHWINGETAGE</small> [<small>FRISCHE</small> F<small>ELDFRUCHT</small>] <small>VERBOTEN SEI</small>. Aus welchem Grunde? – Gar schnell könnte der Tempel erbaut werden, und man würde sagen: Im Vorjahre aßen wir [frische Feldfrucht] mit dem Aufleuchten des Ostens, ebenso wollen wir auch jetzt mit dem Aufleuchten des Ostens essen. 
Rosh Hashanah 30a:20	Man würde aber nicht bedenken, daß im Vorjahre, wo keine Schwingegarbe [dargebracht wurde], das Aufleuchten des Ostens die Erlaubnis bewirkt hat, in diesem Jahre aber, wo die Schwingegarbe [darzubringen ist], die Schwingegarbe die Erlaubnis bewirkt. – 
Rosh Hashanah 30a:21	Wann sollte der Bau des Tempels fertig werden: wenn erst am sechzehnten [Nisan], so ist es ja schon mit dem Aufleuchten des Ostens erlaubt, 
Rosh Hashanah 30a:22	und wenn bereits am fünfzehnten, so ist es ja von Mittag ab erlaubt, denn wir haben gelernt: den Fernwohnenden$fn11war cs erst von Mittag ab erlaubt, weil das Gericht bei [der Darbringung] nicht lässig war!? – 
Rosh Hashanah 30a:23	In dem Falle, wenn er am fünfzehnten, kurz vor Sonnenunter gang oder nachts fertig wird. 
Rosh Hashanah 30a:24	R. Naḥman b. Jiçḥaq erklärte: R. Joḥanan b.Zakkaj 
Rosh Hashanah 30b:1	verfügte dies nach Ansicht R. Jehudas, welcher erklärt:$fn12<i>bis zu diesem Tage selbst</i>, bis zum ‘selbst’ des Tages, und er ist der Ansicht, ‘bis’ einschließlich. –
Rosh Hashanah 30b:2	Ist er denn seiner Ansicht, er streitet ja gegen ihn!? Es wird nämlich gelehrt: Nachdem der Tempel zerstört wurde, ordnete R. Joḥanan b.Zakkaj an, daß am ganzen Schwingetage [frische Feldfrucht] verboten sei. R. Jehuda sprach: Dies ist ja auch nach der Tora verboten, denn es heißt: <i>bis zu diesem Tage selbst</i>. – 
Rosh Hashanah 30b:3	R. Jehuda hatte ihn mißverstanden; er glaubte, R. Joḥanan b.Zakkaj meine es rabbanitisch; dem ist aber nicht so, er meinte nach der Tora. – 
Rosh Hashanah 30b:4	Es heißt ja aber, ‘ordnete an’!? – Ordnete an’ heißt, er legte [den Schriftvers] aus$fn13und ordnete es an.
Rosh Hashanah 30b:5	<b>A</b><small>NFANGS NAHM MAN DIE</small> Z<small>EUGENAUSSAGE ÜBER DEN</small> N<small>EUMOND DEN GANZEN</small> T<small>AG</small>$fn14<small>ENTGEGEN, 
Rosh Hashanah 30b:6	ALS ABER EINST DIE</small> Z<small>EUGEN SICH VERSPÄTETEN UND DIE</small> L<small>EVITEN MIT DEM</small> G<small>ESANGE ZU EINEM</small> V<small>ERSTOSSE KAMEN, ORDNETE MAN AN</small>, [<small>DIE</small> Z<small>EUGEN</small>] <small>NUR BIS ZUR</small> V<small>ESPERZEIT ZU EMPFANGEN, 
Rosh Hashanah 30b:7	UND WENN ZEUGEN SPÄTER KOMMEN, SO IST DIESER</small> T<small>AG HEILIG UND DER FOLGENDE EBENFALLS HEILIG</small>.
Rosh Hashanah 30b:8	<sup>iv,1</sup> N<small>ACHDEM DER</small> T<small>EMPEL ZERSTÖRT WURDE, ORDNETE</small> R. Jo<small>ḤANAN B</small>.Z<small>AKKAJ AN, DIE</small> Z<small>EUGENAUSSAGE ÜBER DEN</small> N<small>EUMOND DEN GANZEN</small> T<small>AG ENTGEGENZUNEHMEN</small>.
Rosh Hashanah 30b:9	GEMARA. Zu welchem Verstoße kamen die Leviten mit der Musik? Hier erklärten sie: Sie sangen das Lied überhaupt nicht. R. Zera sagte: Sie sangen das Alltagslied beim beständigen Abendopfer. 
Rosh Hashanah 30b:10	R. Zera sprach zu seinem Sohne Ahaba: Geh und rezitiere ihnen wie folgt: Man ordnete an, die Zeugenaussagen über den Neumond nur dann entgegenzunehmen, wenn an diesem Tage noch Zeit zurückbleibt, das beständige Opfer, das Zusatzopfer mit den Trankopfern darzubringen und das Lied ohne Wirrung zu singen. Allerdings war es eine Wirrung, wenn sie das Alltagslied gesungen haben, welche Wirrung war es aber, wenn du sagst, sie hätten das Lied überhaupt nicht gesungen!? –
Rosh Hashanah 30b:11	Wenn sie es überhaupt nicht gesungen haben, so hast du ja keine größere Wirrung, als dies. 
Rosh Hashanah 30b:12	R. Aḥa b.Hona wandte ein: Das beständige Opfer des Neujahrsfestes wurde nach Vorschrift$fn15dargebracht. Beim Zusatzopfer sangen sie:$fn16<i>Jauchzet Gott, der unsere Stärke ist, jubelt dem Gotte Ja</i>͑<i>qobs zu</i>. Beim Vesperopfer sangen sie:$fn17<i>Die Stimme des Herrn macht die Wüste erzittern</i>. 
Rosh Hashanah 30b:13	Fiel das Neujahrsfest auf einen Donnerstag, an dem auch sonst gesungen wurde: <i>Jauchzet Gott, der unsere Stärke ist</i>, so sangen sie morgens nicht das Lied ‘Jauchzet’, weil dieser Abschnitt später abermals zu singen war,
Rosh Hashanah 30b:14	vielmehr sangen sie [morgens] :$fn18<i>Ich habe seine Schulter vom Joche befreit</i>. Kamen Zeugen nach der Darbringung des beständigen Morgenopfers, so sangen sie das Lied ‘Jauchzet’, obgleich dieser Abschnitt später abermals zu singen war. 
Rosh Hashanah 30b:15	Erklärlich ist es, daß es abermals gesungen wurde, wenn du sagst, sie sangen bei einem Zweifel das Alltagslied, wieso aber wurde es abermals gesungen, wenn du sagst, man habe [bei einem Zweifel] überhaupt nicht gesungen!? – 
Rosh Hashanah 31a:1	Anders ist es da, wo es sich um das tägliche Lied$fn19handelt.
Rosh Hashanah 31a:2	Es wird gelehrt: R. Jehuda sagte im Namen R. A͑qibas: Was sangen sie am Sonntag?$fn20<i>Dem Herrn gehört die Erde und was sie fällt</i>. Weil er an diesem die Welt schuf, verschenkte und [allein]$fn21regierte. 
Rosh Hashanah 31a:3	Was sangen sie am Montag?$fn22<i>Groβ ist der Herr und hoch gepriesen</i>. Weil er an diesem seine Werke teilte und über sie herrschte. 
Rosh Hashanah 31a:4	Was sangen sie am Dienstag? $fn23<i>Gott steht in der Gottesversammlung</i>. Weil er an diesem in seiner Weisheit die Welt zum Vorschein brachte und seiner Gemeinde das Weltall bereitete. Was sangen sie am Mittwoch?$fn24<i>Ein Gott der Rache ist der Herr</i>. Weil er an diesem Sonne und Mond erschuf und dereinst ihre Anbeter bestrafen wird. 
Rosh Hashanah 31a:5	Was sangen sie am Donnerstag?$fn25<i>Jauchzet Gott, der unsere Stärke ist</i>. Weil er an diesem Vögel und Fische erschuf, seinem Namen zu huldigen. Was sangen sie am Freitag?$fn26<i>Der Herr ist Herrscher, Hoheit hat er angelegt</i>. Weil er an diesem sein Werk beendete und es regiert. Was sangen sie am Šabbath:$fn27<i>Ein Psalmlied für den Šabbathtag</i>. Für den dereinstigen Tag, der ganz Ruhetag sein wird. 
Rosh Hashanah 31a:6	R. Neḥemja sprach: Was veranlaßte die Weisen, zwischen den Zeitabschnitten zu unterscheiden$fn28!? Vielmehr, am Sonntag, weil er an diesem die Welt erschuf, verschenkte und sie [allein] regierte; am Montag, weil er an diesem seine Werke teilte und über sie herrschte; am Dienstag, weil er an diesem in seiner Weisheit die Welt zum Vorschein brachte und seiner Gemeinde das Weltall bereitete; 
