Index Title,Rashash on Pesachim
Rashash on Pesachim 102b:1,"<b>גמרא אר""ה ב""ר יהודה אר""ש א""א שתי קדושות כו'. </b>כצ""ל וכ""ה ברי""ף ורא""ש:"
Rashash on Pesachim 102b:2,"<b>ברשב""ם ד""ה על המאור. כב""ש מ""ל במסכת ברכות. </b>וכ""א (לקמן ר""ד קי):"
Rashash on Pesachim 102b:3,"<b>תוד""ה שאין. </b>עיין רש""א שכ' דיש לחלק כו'. ובין בהמ""ז וקידוש כו' דמברכין ב""פ בפ""ה ול""נ דאה""נ דאין חילוק וא""ח ומברך בפ""ה על הקידוש וכ""מ (לקמן קג ב) ברשב""ם ד""ה וא""ר יקנ""ה ושם בתד""ה רב אשי בשם הירושלמי וכ""כ המ""א סימן רע""א ס""ק ט""ז:"
Rashash on Pesachim 102b:4,"<b>תוס' ד""ה מיתיבי. ודרך הש""ס להקשות ממקום שמוצא לתרץ. </b>כה""ג כתבו (בב""מ קטו ב) ד""ה אמר ואינו מביא אלא דבר שיכול לדחות כו'. ע""ש ויותר מזה כתב הרא""ש בפ""ק דסוכה סי' טו ועמש""כ (במו""ק י):"
Rashash on Pesachim 103b:1,"<b>רשב""ם ד""ה לית הלכתא כתד""ר. וכיון דאמר ה""ל ונברך אסור למישתי עד לאחר בהמ""ז. </b>מבואר להדיא כמ""ש הרא""ש בשמו ס""י ודלא כמ""ש התוספות בשמו (לעיל ר""ד קב) עד דברכיתו בפה""ג וד""ז נעלם ממהרש""א שם:"
Rashash on Pesachim 103b:2,"<b>רשב""ם ד""ה ודעתיה. והא דקאמר רבא ל""ג כו'. </b>כצ""ל ומלת ליה נ""ל למחוק ור""ל לאפוקי מגי' לא סבר ליה למר הא דקאמר רבא אבוקה כו' ועיין גי' הרי""ף:"
Rashash on Pesachim 103b:3,"<b>תוספות ד""ה [רב אשי] . וי""ל דהגדה והלילא נמי הוי הפסק כו'. </b>נ""ל דזהו לשיטת הרי""ט (לעיל קב) בתד""ה ועקרו אבל למאי שדחו שם דבריו גם בכאן אצל""ב על כוס ב' ועל כוס אחרון וכ""פ הרא""ש סימן כ""ד:"
Rashash on Pesachim 103b:4,"<b>בא""ד וגם נראה לברך אחר כל ד""כ עה""ג כו'. </b>לכאורה זה סותר למש""כ בדבור שלפניו (ולעיל קא ב) בד""ה כשהן:"
Rashash on Pesachim 104a:1,"<b>גמרא מ""ד מע""פ כו' לא בעי למימר כו'. </b>משמע דאי בעי מצי למימר וכן הרשב""ם כתב והכי עבדי' לאפוקי נפשין מפלוגתא ולכאורה קשה הא למ""ד מע""פ הוה זה הפסק ולא יהיה מע""פ סמוך לחתימה ונ""ל דזה הוה שפיר מע""פ גם כן דבין קדש לקדש הוה מעין בין קדש לחול אבל איפכא לא הוה מעין ונכון בעז""ה ועיין בר""ן:"
Rashash on Pesachim 104a:2,"<b>גמ' א""ה בין יום השביעי כו' נמי מעין חתימה הוא. </b>מכאן ראיה דהלכה כשמואל ולא כפומבדיתאה וכ""פ הרי""ף והרא""ש ודלא כהר""ן שכ' דלא פסיקא לן כו':"
Rashash on Pesachim 104a:3,"<b>ד""ה שמואל וד""ה ולית. </b>שבריש ע""ב צ""ל בד""א ע""ש בחולין:"
Rashash on Pesachim 104a:4,"<b>תוד""ה בין. ה""נ המ""ל הא ל""כ. </b>ול""נ דקדוש והבדלה הם שמות נרדפים ומשמעות א' להם לשון פרישה והבדלה עיין רש""י ר""פ קדושים ולשון קדש נמצא לרוב במקרא על שבת והוה כמו דכתיב ביה הבדלה ועיין רא""ש סימן י""א דחשיב ואת יום השביעי משיה""מ קדשת להבדלה וע""כ מטעמא דאמרן:"
Rashash on Pesachim 105a:1,"<b>ברשב""ם ד""ה ולא אמרן. אתחולי לא כו'. </b>עיין רש""א ול""נ דהרשב""ם דייק נמי מדקאמר לישנא דלית לן בה (ולא בקיצור לא כדלעיל) משמע שאין שום חשש אפילו לכתחלה:"
Rashash on Pesachim 105a:2,"<b>תוס' ד""ה קשיא. דעולא אמר נמי כו' בלא חתימה. </b>ק""ל דא""כ פליג עולא על כל הני תנאי דלעיל וחותם בסדר בראשית כו':"
Rashash on Pesachim 105b:1,"<b>תוס' ד""ה ש""מ תמני. </b>עיין (לעיל קב ב) בתד""ה מניחו שכתב לפירוש הר""נ ואע""ג דמפסיקין להבדלה כו' הא דקאמר הכא מניחו לאחה""מ לא שמותר לאכול כו' ע""ש ולהרש""א נראה דאישתמיט זה ונראה דהרא""ש אטעיתיה שכתב על הא דאמימר בת טוות (לקמן) משמיה דר""נ דס""ל להברייתא דהבדלה אינה קובעת:"
Rashash on Pesachim 105b:2,"<b>תוס' ד""ה ש""מ המבדיל. וי""ל משום דאיכא כו' דא""צ להבדיל בשניהם כו'. </b>נראה כוונתם ואם כן מאי אולמא הך ברייתא מההיא והרש""א השיא כוונתם ע""ד אחר:"
Rashash on Pesachim 105b:3,"<b>תוס' ד""ה ש""מ ברכה. </b>עיין רש""א שכ' דאף לר""ג אין מזמנין עה""פ ואשתמיטתיה דברי התוס' (בברכות ס""ד לז) שכ' להדיא דלר""ג מזמנין עה""פ ומ""מ אי לא הוי טעונה כוס ביחיד י""ל שלא ישתו האחרים כמ""ש התוס' שם:"
Rashash on Pesachim 106a:1,"<b>ברשב""ם ד""ה לענין גיטין. או ע""מ שתתנם לי קודם השבת. </b>לכאורה כש""כ אם נתתם לו קודם דמהני ועיין ברא""ש ס""פ מי שאחזו:"
Rashash on Pesachim 106b:1,"<b>תד""ה מקדש. וכן ההיא דירושל' כו' דלא אתי למעוטי אלא כשאינו חמר מדינה. </b>הרש""א תמה דא""כ הבדלה נמי לא ע""ש ואין כאן תימה כלל דהא לקמן בגמרא דידן נמי הוה סבור למימר קדושי הוא דלא הא אבדולי מבדלינן ואיכא למימר דהירושל' סובר כן באמת וכ""ה ברא""ש שם ולפלא על הרש""א שכתב וכ""ה ברא""ש ונהפוך הוא ואולי דלשונו גבי הא דדחי ראיית ר""ת מהירושלמי איכא למימר ה""פ מבדילין בלא יין על דבר שהוא חמר מדינה אטעיתיה:"
Rashash on Pesachim 106b:2,"<b>תוס' ד""ה שבקיה. דרב הונא משמיה דרב הוה אמר שמעתתיה. </b>עמש""כ על הרא""ש בפ""א (דעירובין סימן ז):"
Rashash on Pesachim 107a:1,"<b>גמרא לשנה תו איקלע לאתרין כו' אייתינא שיכרא כו'. </b>לכאורה הא כבר בחנו בזה אישתקד ולא רצה להבדיל עליו ונ""ל דע""כ הם היו רגילין להבדיל עליו ולכן בשנה א' דימו שגם הוא יבדיל עליו והביאוהו לפניו אך הוא לא הבדיל עליו והם עכ""ז לא שנו מנהגם והבדילו עליו והראיה שלא אמרו אלא בת טוות אבל הם הבדילו עליו ואכלו ולשנה אחרת אייתוהו לעצמם להבדיל כמנהגם ולכן ל""א כאן אייתינא ליה כבפעם הא' ואף שברי""ף ורא""ש איתא גם כאן מלת ליה אולי ט""ס הוא:"
Rashash on Pesachim 107a:2,"<b>גמ' בעא מיניה ר""ה מר""ח. </b>צ""ל בהיפך ר""ח מר""ה וכ""ה ברא""ש ועיין הקדמת סה""ד:"
Rashash on Pesachim 107a:3,"<b>גמ' ארנב""י אנא תנינא לה כו'. </b>כה""ג אמר (בקדושין מד):"
Rashash on Pesachim 107a:4,"<b>ברשב""ם ד""ה תליסר. והוא לשון מסר. </b>נ""ל דצ""ל שבר וכן פירש רש""י באיכה על פסוק מגנת לב וברש""ל נראה ג""כ שיש ט""ס וצ""ל מגירה:"
Rashash on Pesachim 107a:5,"<b>רשב""ם ד""ה מקדש אשיכרא. </b>כ' הרש""א דאם כו' הוה חמר מדינה והוה שרי לקדש לכ""ע ע""ש הן הרא""ש כ' בשם הרשב""ם על הך בעיא דר""ח מר""ה מהו לקדושי אשכרא היכא דהוה חמר מדינה ומסיק דאמ""ק ואמ""ב ובאמת מלשון הרשב""ם שלפנינו אין הכרע דלא כתב שאין יין בעיר אלא שאין יין וי""ל דר""ל שאינו מצוי כ""כ וכמ""ק בדבריו ד""ה ש""מ תלתא א""נ מלתא דפשיטא כו' וכ""מ מדברי התוס' לעיל ד""ה מקדש אריפתא שכ' ובחמר מדינה פשיטא דמבדילין כו' ואם לא היה כן דעת הרשב""ם לא כתבו כ""כ בפשיטות נגד דעתו:"
Rashash on Pesachim 107b:1,"<b>רשב""ם ד""ה או דילמא. דבתשע שעות ומחצה הוא זמן כו'. </b>כצ""ל:"
Rashash on Pesachim 107b:2,"<b>רשב""ם ד""ה אלא א""א. משש שעות ואילך כו'. </b>כצ""ל ותיבת ומחצה ט""ס:"
Rashash on Pesachim 107b:3,"<b>תוס' ד""ה דילמא. ועוד י""ל כו' כיון שקיים מצות פסח כו' דאכ""פ לא מעכבא. </b>וכ' הרש""א דלפ""ז א""ש בפשיטות מאי דנקיט הש""ס משום מצה כו' ע""ש ול""נ דהא במצה אינו עובר רק על מ""ע בשוא""ת וזה בפסח נמי אף דקיים מצות עשייתו לאפטורי מכרת מ""מ ביטל מ""ע דואכלו אה""ב וגו' אמנם עכ""ז יש חילוק דבמצה ביטל מצותה לגמרי ובפסח עיקר מצותו קיים רק עבר על פרט אחד:"
Rashash on Pesachim 108a:1,"<b>גמרא </b>[אמרי לה להאי גיסא כו'. בגה""ש כאן ובשבת שכח לציין עוד גיטין (סז ב) ובב""ב ציין כהוגן] :"
Rashash on Pesachim 108a:2,"<b>גמ' אשה אצל בעלה ל""ב הסבה. </b>ברי""ף ורא""ש ליתא תיבות אצל בעלה וכ""נ מפירוש הרשב""ם ועיין בהגר""א ז""ל סימן תע""ב סק""ו:"
Rashash on Pesachim 108a:3,"<b>ברשב""ם ד""ה דההיא שעתא. הגדה. </b>הס""ד ואחר כך מה""ד השתא:"
Rashash on Pesachim 108a:4,"<b>רשב""ם ד""ה כמורא שמים. דכתיב כו'. </b>עמש""כ באבות במשנה זו:"
Rashash on Pesachim 108a:5,"<b>תוספות ד""ה נימא. אבל לכתחלה אסור משום ל""ת על חמץ כו'. </b>לכאורה מנ""ל דהכתוב בא להזהיר מלשחטו עד ו' שעות שהוא זמן ביעור לכל דילמא לא בא רק להזהיר שלא ישחטנו על חמצו (עיין לעיל סג ברש""י) ויכול כ""א לבער חמצו מבוקר וישחוט את פסחו אבל דבריהם מתפרשים עפ""י דברי רבא (לעיל ה) ותניא כוותיה וכמו שבארו שם בתד""ה זמן ע""ש אמנם בירושל' איתא דריב""ב אוסר באמת לאכול חמץ כל היום והיינו מקרא דל""ת על חמץ וכפי שיטתו הביאוהו המלחמות והר""ן בפ' ואלו עוברין:"
Rashash on Pesachim 108b:1,"<b>גמרא קתני מיהת כדי רביעית כו'. </b>עיין רשב""ם ותוספות שנדחקו ולעדנל""פ דקס""ד דשמואל דקאמר כדי מזיגת כוס יפה דהוא רובע רביעית היינו אפילו אם אינו מוזגו אלא שותהו חי כיון שיש בו שיעור שיעמוד על רביעית אחר המזיגה די בזה ובברייתא תני רביעית בין חי בין מזוג דמשמע דאפילו שותהו חי בעינן שיעור רביעית ומשני אידי כו' ור""ל דכוונת שמואל הוא נמי דוקא שימזגנו ויהיה רביעית בפועל:"
Rashash on Pesachim 108b:2,"<b>גמ' רי""א צריך כו' ומראה יין. </b>עיין בב""א ולנל""פ עפ""י הא דא""ר בר""פ המוציא דלחזותא אינו אלא ב' חלקי מים וסתם מזיגה היא ג""ח מים וקאי על הא דקאמר ת""ק אחד מזוג דמשמע כסתם מזיגה שהיא ג""ח מים ולדידיה אינו אלא בב""ח מים משום חזותא:"
Rashash on Pesachim 108b:3,"<b>גמ' הכל חייבין בארבע כוסות כו' וא' נשים. </b>לכאורה ה""ל להש""ס לסייע מהך ברייתא לריב""ל לעיל ועמש""כ בברכות כו בשם הרמב""ן והכא י""ל עוד דאיכא למדחי דהכוונה בכאן אינה אלא לחייב את בעליהן ליתן להן דומיא דתינוקות וכמו שאמר אביי לענין שמחה (בקדושין לד ב):"
Rashash on Pesachim 108b:4,"<b>תוספות ד""ה אחד. והא דנקט שא""פ קודם פירשו כו'. </b>הב""א הקשה דהא שם כ' דהיכא דאיכא פלוגתא דרך להזכיר הפשוט קודם והכא משמע לכאורה דר""י פליג על חדש ול""ד דכוונת התוספות שם אינה אלא אם דעת החולק נזכרה מקודם:"
Rashash on Pesachim 108b:5,"<b>תוס' ד""ה ואת. אך קשה כו' והא איכא כו' כוס של ברכה. </b>אם נאמר דבהמ""ז א""ט כוס ביחיד עיין לעיל (קה ב) תד""ה ש""מ ברכה לא יקשה זאת:"
Rashash on Pesachim 108b:6,"<b>בא""ד וה""נ מיירי ברייתא דמצרכה רביעית עם המזיגה כו' אבל לבתר דשני קאי שפיר ארביעית. </b>המדקדק בתיבות אלו יראה להדיא שכוונו בם ליישב הצ""ע דהרש""א והוא דלפי' הא' גם לתירוצא פירש דרביעית דברייתא היינו חי ואחד מזוג קאי אשתיה אבל לפירוש דהשתא להס""ד הוה פירושא הכי אולם לתירוצא כדי רביעית דברייתא קאי נמי אמזוג:"
Rashash on Pesachim 109a:1,"<b>ברשב""ם ד""ה קליות. </b>נפל טעות בהעתקת המשנה דתרומות ע""ש במקומה ונפלאתי על בעלי הגהות ששתקו בזה:"
Rashash on Pesachim 109a:2,"<b>רשב""ם ד""ה רביעית ש""ת. וכגון רביעית שמן לרקיקי נזיר דאיכא דיליף לה מקרא במנחות. </b>ע""ש דר""ע הוא דלמד כן לחלות ולרקיקי תודה לשניהם יחד רביעית ושמעינן מינה גם כן לחור""ק נזיר כפירוש רש""י שם במשנה ול""י מדוע פירש דוקא לר""ע הלא אפילו לראב""ע שם דס""ל דהלל""מ הוא נמי כמו דחשיב רביעית יין דנזיר דג""כ אינה רק הלכה ועיין (נזיר לח):"
Rashash on Pesachim 109a:3,"<b>תוספות ד""ה שנאמר ושמחת. </b>עמש""כ (בסוכה כז ב):"
Rashash on Pesachim 109a:4,"<b>תוס' ד""ה רביעית. ופעמיים יוקח חלק שנים עשר. </b>כ""נ דצ""ל:"
Rashash on Pesachim 109a:5,"<b>בא""ד ואצבעיים על אצבעיים מרובעות מדבריות נכנסות כו' עגולות ציפוריות. </b>עיין ברש""א ביאור דבריהם ולכאורה תמוה דלפ""ז אצבעיים על אצבעיים מדבריות תכנסנה באצבע וחצי פחות ד' שתותי שתות על אצבע וחצי פחות ד' שתותי שתות ציפוריות ואצבעיים על אצבעיים ציפוריות עגולות הם אצבעיים על אצבע וחצי ציפוריות מרובעות וא""כ נפיש טובא שיעורא דירושל' ונ""ל דזה פשוט דהאצבעות לא נתרחבו בפועל בירושלים ובצפורי רק דשם הוסיפו שתות על המדה ומ""מ חשבוה לפי חשבון אצבעות שהיה בה מקודם וע""כ ממילא נתרחבו האצבעות כמו כן אולם כ""ז בגובה ר""ל אם הוסיפו שתות בגובה המדה אז ע""כ גם באצבעות אשר על ידיהם נחשבה הגובה גם כן נתרחבו שתות אמנם אם הוסיפו שתות ברוחב המדה מצד אחד הרי לא נתרחבו האצבעות שתות רק באותו צד שהרחיבוה ואם עשו אותה הוספת שתות בב' צדדי המדה בכדי שתהא מרובעת שוה הצלעות אז ע""כ לא נתרחבו האצבעות רק חצי שתות (עוד מעט פחות מפני מילוי הקרנות) ולכן לעיל בגובה הכוס פירשו להדיא תוספת שתות על האצבעות וכאן ברוחב סתמו דבריהם משום דבב' הצדדים לא נתרחבו רק חצי שתות בינה זאת ונכון בעז""ה אח""ז מצאתי שנשאל בזה בתשו' חת""ס חא""ח סימן קנ""ג וישובו לא נתחוור בעיני:"
Rashash on Pesachim 109a:6,"<b>בא""ד ועוד מפרש דבירושל' איירי כו'. </b>עיין מה שהקשה הרש""א ושרי ליה מאריה כי החשבון מכוון מאד הגע עצמך אם היה לפנינו כוס שיעורו בגובה ורוחב כגמרתינו ונעשה סביבו עגול בגובה קומתו יהיה מחזיק רביעית ומחצה וא""כ כשתסיר אחר כך ממנו שליש גבהו ישאר רביעית מכוונת ועוד שגה במחכ""ת דחשיב שליש הרוחב מלגאו והוא באמת שליש מלבר שהוא חצי מלגאו ואני חושש לתלמיד טועה. והפייט הואיל ואייתוהו התוספות לידן אימא ביה מילתא והוא דשם לעיל כ' וכל עומר שבעת רבע וכלה. כלה זו איני יודע מה היא ולמיעוט בקיאותי לא נמצא לה שם בין המדות הנזכרות בתלמוד{כאן הערה=עי' ירושלמי (ביצה פ""ב ה""ט) תן לי כלה של תבלין. והובא בראבי""ה סימן שפ""א. ובאו""ז הל' עירובין סימן ק""מ.} ונראה לי דט""ס הוא וצ""ל ועוכלא והיא אחד מה' ברביע (ב""ב ריש דף צ' ע""ש) ועתה צא וחשוב ותמצא החשבון מכוון או שהוא קיצור לשון להבליע הע' כמו ר' זירא בבבלי בירושל' ר' זעירא [ובערוך ערך מדן פי' דהעיין מובלע והוא כמו מעדן וכ""כ רש""י בפירוש התורה בראשית (ל, לח) דצה כמו דעצה כו' ובגיטין (ר""ד לז) בוטי אלו העניים דכתיב והעבט תעביטנו:"
Rashash on Pesachim 109b:1,"<b>גמרא ארבעה כסי תקינו רבנן כל חד וחד מצוה באפי נפשיה הוא. </b>מכאן נ""ל דד' כוסות אין מעכבין זה את זה ואם אין לו אלא שלש ישתה כולן] :"
Rashash on Pesachim 110a:1,"<b>גמרא אמאי נמלך הוא. </b>פי' ואמרינן לקמן ע""ב נמלך אין בהם משום זוגות:"
Rashash on Pesachim 110a:2,"<b>גמ' דילמא חליש ומתרעי. </b>נל""פ ויחלה כמו קצירי ומריעי שכיב מרע:"
Rashash on Pesachim 110a:3,"<b>גמ' דמו בראשו. </b>הוא לישנא דקרא (יהושע ב יט) ועפרש""י (נדה יז):"
Rashash on Pesachim 110a:4,"<b>גמ' ואס""ד עשרה כו' היכי כו' ותקנו כו' לידי סכנה. </b>ק""ל הא לקמן ע""ב אמר דלענין כשפים מיהא חיישינן וא""כ מ""מ יקשה דהא לעיל פרכינן על הד' כוסות היכי מתקני כו' ופירש הרשב""ם והתוס' דאפילו כו' קפריך משום חששא דכשפים:"
Rashash on Pesachim 110a:5,"<b>גמ' דרבא אפקינהו לרבנן בד""כ. </b>לכאורה אכתי ה""ל למיחש לכשפים עיין רשב""ם וי""ל ע""פ הא דאיתא (בחולין סד""ז) אין עוד מלבדו אפילו כשפים כו' שאני ר""ח דנפישי זכותיה ולא פריך אלא על תקנה שהיא לכ""א ועוד י""ל ע""ד שכתב הרא""ש בסימן כ""ה במשנה בשם ה""ר יונה:"
Rashash on Pesachim 110a:6,"<b>[גמ' פרח פרחייכי. </b>נ""ל דרשב""ם היה גורס פרכייכי בכ""ף] :"
Rashash on Pesachim 110a:7,"<b>ברשב""ם </b>(בסה""ע) אשר אתנה מצודדות כו'. כצ""ל:"
Rashash on Pesachim 110b:1,"<b>גמרא כל יומא הוה אזיל כו'. קא עבדא ליה כשפים כו'. </b>כצ""ל:"
Rashash on Pesachim 110b:2,"<b>גמ' חנות אין בהם משום זוגות. </b>ק""ל דתיפוק לי דגמרו בידי אדם לפי' הא' של הרשב""ם ואף לפירוש הב' קשה דחלוקת כוסות הוה כמו קערות דבשלמא ד' כוסות דפסח כיון דחכמים תקנו לחלקם דוקא כדאמרינן (לעיל קח ב) שתאן בב""א ידי ד' כוסות ל""י לא מיקרו גמרו ביד""א וכן עשרה של בית האבל:"
Rashash on Pesachim 110b:3,"<b>ברשב""ם ד""ה אספרגוס. מכרוב ומיין. </b>עיין (ברכות נא) דעושין גם משיכרא:"
Rashash on Pesachim 110b:4,"<b>רשב""ם ד""ה כל המחובר לו. דתנן מפץ הע""ה מחצלת וע""ו כו'. </b>לפנינו הגי' בכלים העור הע""ה מפץ וע""ו ועיין במעילה ס""פ קדשי המזבח (ובסוכה יז ב ובשבת עו עט):"
Rashash on Pesachim 111a:1,"<b>גמרא מתקטלא בחץ קבל. </b>כצ""ל וכ""ה בע""י וכ""נ מפירוש רשב""ם ויתכן לפרש דחץ שם שד כדאמרינן במ""ר נשא פי""ב מחץ יעוף יומם אר""ב יש מזיק שהוא פורח באויר כעוף וקושט כחץ ונישנה גם כן בפ' תצא ומדכתיב יעוף יומם מכלל דאיכא נמי חץ לילה דומיא (דלקמן ע""ב) תרי קיטבי הוי חד מקמי טיהרא וחד מבתר טיהרא כו' דבתר טיהרא קטב ישוד צהרים שמיה וקבל הוא לשון חשך:"
Rashash on Pesachim 111a:2,"<b>גמ' מאן דפגע באיתתא בעידנא דסלקא מט""מ כו'. </b>בציון הגרי""פ לתוספות ב""מ נ""ד ט""ס וצ""ל פ""ד ועיין (לעיל קי) בתד""ה האי:"
Rashash on Pesachim 111b:1,"<b>גמרא מחד בתמוז עד שיתסר ביה ודאי שכיחי מכאן ואילך ספק כו'. </b>ובמדרש איכה איתא כל רודפיה השיגוה בה""מ כו' מי""ז בתמוז עד ט""ב שבהם קטב מרירי מצוי כו' וכן בפרשה נשא שם ומרירי שולט מי""ז בתמוז עד ט""ב:"
Rashash on Pesachim 111b:2,"ברשב""ם ד""ה <b>[שעתא קיימא לך. עשיר אתה. </b>כדלעיל (מט) ולקמן (קיג)] :"
Rashash on Pesachim 111b:3,"<b>רשב""ם ד""ה משתכחא. וחצב עשב שתיחם בו יהושע אה""א. </b>הוא (בב""ב נו):"
Rashash on Pesachim 112a:1,"<b>גמרא עשה שבתך חול וא""ת לבריות. </b>עיין לקמן קיג תד""ה עשה:"
Rashash on Pesachim 112a:2,"<b>גמ' אל תשב בגובה ש""ע ותשנה. </b>עיין פירש""י ורשב""ם ובסה""ד שציין בגה""ש ולשון רש""י (בסוכה מט ב) ד""ה חמוקי ירכיך ולא להיות יושב ושונה בגובה ש""ע כו':"
Rashash on Pesachim 112b:1,"<b>גמרא אוכל פירות ולו שכר נושא אשה ולו בנים. </b>כ""נ דצ""ל:"
Rashash on Pesachim 112b:2,"<b>גמ' מעיקרא הוו שכיחי כולי יומי. </b>כצ""ל ביו""ד:"
Rashash on Pesachim 113a:1,"<b>גמרא ולא תימא כו' וסניא בי מילתא. </b>כ""נ דצ""ל בנ':"
Rashash on Pesachim 113b:1,"<b>גמרא והיודע עדות בחבירו וא""מ לו. </b>עיין (ב""ק נו):"
Rashash on Pesachim 113b:2,"<b>גמ' שלשה שונאין זא""ז כו'. והחברים. </b>עיין במה שמציין הגרי""פ ועפ""י הנסיון יל""פ אותן בנ""א שהם בחבורה אחת של איזה מינוי ושררה או שהם שותפים במסחר מפני שעל הרוב אינם מסכימים לדעה אחת מה שחפץ זה ימאן חבירו ולכן באים לידי תגרה ושנאה:"
Rashash on Pesachim 113b:3,"<b>גמ' </b>[ואל תדברו אמת. הוא כדאיתא בב""מ (פו ב) לית הימנותא בעבדי] :"
Rashash on Pesachim 113b:4,"<b>גמ' הוא רי""צ בן אלעא כו'. </b>מהר""ן פ""ג דסוכה על הא דתני רי""צ ב""א ניטלה בוכנתו מוכח להדיא דהיה גורס כאן בן אלעזר וכ""ה גי' היוחסין ודברי הר""ן הללו נשמטו מהסה""ד:"
Rashash on Pesachim 113b:5,"<b>תוספות ד""ה שראה. וא""ת כו'. מה כפיית יצר שייך כו'. </b>לעד""נ מפני שהיצר מסיתו שלא לטעון עמו:"
Rashash on Pesachim 114a:1,"<b>גמרא וסימנך שמעוני אחי ועמי. </b>כ""ה הגהת הגרי""פ והוא כתוב בד""ה (א' כח ב):"
Rashash on Pesachim 114a:2,"<b>במשנה עד שמגיע לפרפרת הפת. </b>עיין בר""ן בשם הרמב""ן דהמצה גופה קרי הכי לפי שהיא עשויה רקיקין ועיין (לעיל ר""ד לז) דלר""ה שרי בעובי טפח ועמ""א סימן ת""ס סק""ד ולע""ד יל""פ מפני דמצוה בפרוסה (לקמן ר""ד קטז) והוא מלשון ויפרפרני עתוי""ט:"
Rashash on Pesachim 114a:3,"<b>משנה אע""פ שאין חרוסת מצוה. </b>פי' וה""א דאסור משום דאתי חרוסת דרשות ומבטל חזרת דמצוה קמ""ל עיין תוספות:"
Rashash on Pesachim 114a:4,"<b>ברשב""ם ד""ה אקיקלי. על אשפות העיר כו'. </b>כצ""ל כברש""י:"
Rashash on Pesachim 114a:5,"<b>רשב""ם ד""ה וכבר קדש היום. דמשקבלו עליו או מצה""כ כו'. </b>כצ""ל וכ""ה בפרש""י בברכות: (בסה""ע)"
Rashash on Pesachim 114a:6,"<b>ר""ש ד""ה מצה וחזרת וחרוסת. וב""ת כו'. </b>כצ""ל:"
Rashash on Pesachim 114a:7,"<b>תוספות ד""ה צריך. </b>עיין רש""א ואם כוונתם להוכיח מהא דל""ק הכא אלא שצריך לנהוג בו כבוד והתם קאמר דקראו רבו הא גם שם קאמר הלומד כו' צריך לנהוג בו כבוד אלא מאי א""ל למימר דה""ט דדוד משום שלמד ממנו שני דברים א""כ ה""נ יש לחלק כן ויותר ה""ל להוכיח מהא דשם קאמר אפילו אות אחת ויליף מדוד והכא קאמר דוקא דבר אחד ויליף מקרא אחרינא:"
Rashash on Pesachim 114a:8,"<b>תוס' ד""ה הביאו. שהרי אין מביאין השלחן עד אחר קידוש. </b>הוא (לעיל ק ב) ע""ש:"
Rashash on Pesachim 114a:9,"<b>תוס' ד""ה מטבל. ואין זה ראיה דהא כו'. </b>עיין בתוי""ט שפירש בכוונת הרע""ב (שהוא כלשון הרשב""ם) דהוכחתו הוא משום דברישא לא תני חרוסת כמו דתני חזרת וכ""מ לשון הרא""ש ולפ""ז נדחית דחיית התוס' והתוי""ט אעפ""כ העתיקה ול""ד במחכ""ת ומש""כ עוד שם בשם הרא""ש משום דטבול ראשון אינו לחיוב אלא להכירא כו' המ""ל עוד משום דאינו דוקא בחזרת:"
Rashash on Pesachim 114b:1,"<b>[רשב""ם ד""ה סילקא. וכ""ש שני מיני בשר. </b>וכ""כ התוס' והר""ן ולכאורה יל""פ דדוקא נקיט ולאפוקי בשר כדי שלא יהא נראה כאוכל קדשים בחוץ כדלקמן (קטז ב)] :"
Rashash on Pesachim 114b:2,"<b>ברשב""ם ד""ה דלמא הא קמ""ל. דאיכא נמי היכר לתינוקות. </b>הס""ד ואח""כ מה""ד אבל במרור לחודיה כו' כנ""ל דצ""ל:"
Rashash on Pesachim 114b:3,"רשב""ם ד""ה אע""ג שטיבל בחזרת."
Rashash on Pesachim 114b:4,"<b>מצוה להביא כו' מה""ת כו'. </b>ל""ד דהא מרור בזה""ז דרבנן (כדלקמן קטו וקכ):"
Rashash on Pesachim 114b:5,"<b>רשב""ם ד""ה אפילו דג וביצה. והיינו רבותא כו'. </b>לכאורה מתני' היא רפ""ב דביצה ושוין בדג וביצה שעליו שהן ב""ת ולפמש""כ הב""י בשם הרמב""ן בסימן תקנ""ב דקל הוא לענין עירוב וכן אפילו רש""י בפ""ד דתענית במשנה שכ' דגם לענין עט""ב מיקרי ב""ת לא למדו אלא מכאן ע""ש אבל באמת י""ל דלא קאי האי אפילו אדר""ה שלפניו (דחזקי' הוא רבי' דריו""ח ור""ה הוא תלמיד דרב) אלא אמתני' ולאשמעינן דל""ב בשר דוקא ולאפוקי מסברת רב יוסף ועמש""כ (חולין לז):"
