Topic,English description,Is a Type Of,Is a Type Of 2,Has Edge,To Topic (Original),To Topic (Actual),English description,Is a Type Of
השגחה,providence,theological tenet,theological process,related to,אלקים ידיעה מעשה,אלקים ידיעה,"""knowledge"" of HaShem",theological tenet
השגחה,providence,theological tenet,theological process,related to,אלקים ידיעה מעשה,אלקים מעשה,"creation/""actions"" of HaShem",theological process
השגחה,providence,theological tenet,theological process,similar to,הנהגה,הנהגה,HaShem controlling the universe,theological process
השגחה,providence,theological tenet,theological process,is category of,ישראל השגחה,ישראל השגחה,providence of Jewish people,theology
הפטרה,haftarah,biblical source,,related to,ברכות הפטרה,ברכת הפטרה,blessing on haftarah,halachic process
הפטרה,haftarah,biblical source,,related to,קריאת התורה,קריאת התורה,reading of the Torah,halachic process
הקזת דם,bloodletting,process,,is a,רפואה,רפואה,medicine/medical treatment,process
השחת,to waste/lay waste,process,,dissimilar to,בל תשחית,בל תשחית,not wasting,halachic process
השחת,to waste/lay waste,process,,synonymous with,שחת,השחת,to waste/lay waste,process
השבת,cease/get rid of,process,,related to,שבת,שבת,,holiday
התפתחות,development,process,,related to,אדם חייו,אדם חייו,life of man,lifecycle process
התפתחות,development,process,,related to,מציאות,מציאות,existence/reality,theology
הזאה,sprinkling,process,,has participant,פרה אדומה,פרה אדומה,the red heifer,halachic quality
הזאה,sprinkling,process,,has participant,קרבן,קרבן,korban/offering,halachic role
הבין,understand,process,,has participant,אדם ידיעה,אדם ידיעה,knowledge of man,knowledge
הבין,understand,process,,synonymous with,בינה,,#N/A,#N/A
הר חורב,,geographic site,,synonymous with,הר סיני,הר סיני,,geographic site
הבל רוח,vapor/air,group of inanimate objects,,similar to,רוח,רוח,wind/direction/will,object
התענינות,interest,process,character trait,has participant,אדם ידיעה,אדם ידיעה,knowledge of man,knowledge
התענינות,interest,process,character trait,related to,מחשבה,מחשבה,thought,process
התענינות,interest,process,character trait,similar to,רצון,רצה רצון,want/will,emotion
הוצאת שכבת זרע לבטלה,wasteful emission,halachic process,,related to,ביאה,ביאה,relations,process
הוד,beauty/light,quality,,similar to,הדר,הדר,beauty/honor,quality
הוד,beauty/light,quality,,similar to,יופי,יופי,beauty/virtue,quality
הר גריזים ועיבל,,geographic site,historical event,related to,ברכה,ברכה,blessing/plenty,quality
הר גריזים ועיבל,,geographic site,historical event,related to,כותים,כותים,,nation/ethnicity
הר גריזים ועיבל,,geographic site,historical event,related to,שומרונים,שומרונים,,group of people
הושענא רבה,,rabbinic holiday,,related to,אלקים דין,אלקים דין,judgement of HaShem,divine role
הושענא רבה,,rabbinic holiday,,temporally contained in,סוכות,סוכות,sukkos,pilgrimage festival
הושענא רבה,,rabbinic holiday,,has participant,ערבה,ערבה סוכות,willow,plant
הר סיני,,geographic site,,participates in,מתן תורה,מתן תורה,giving of the Torah,biblical historical event
הר סיני,,geographic site,,physically contained in,סיני,סיני,,geographic site
התאוה,desire,emotion,,synonymous with,תאוה,תאוה,desire/want,emotion
האסף אל עמיו,gathered unto his people (die),phrase,lifecycle process,similar to,גוע,גוע,immediate death,lifecycle process
האסף אל עמיו,gathered unto his people (die),phrase,lifecycle process,similar to,מיתה,מיתה,death,lifecycle process
האסף אל עמיו,gathered unto his people (die),phrase,lifecycle process,similar to,שכב עם אבות,,#N/A,#N/A
הוראת שעה,temporary/circumstantial psak,halachic process,,related to,דין,דין,judgement,process
הוראת שעה,temporary/circumstantial psak,halachic process,,has participant,נביא,נביא,prophet,role
הנאה,benefit,process,,related to,אדם חייו,אדם חייו,life of man,lifecycle process
הנאה,benefit,process,,similar to,אושר,אושר,personal acheivement,character trait
הנאה,benefit,process,,similar to,שמחה,שמחה,happiness,emotion
הנאה,benefit,process,,similar to,תענוג,תענוג,pleasure,emotion
השבת אבדה,returning lost object,halachic process,,specifically dependent on,אבדה,אבדה,lost object,role
הקטרה,burning incense,halachic process,,specifically dependent on,קטורת,קטורת,incense,inanimate object
הקטרה,burning incense,halachic process,,is a,קרבן הקרבה,קרבן הקרבה,sacrificial order,halachic process
הצלחה,success,process,,related to,אדם חייו,אדם חייו,life of man,lifecycle process
הצלחה,success,process,,related to,מזל,מזל,constellation/destiny,object
הודאה תודה,thanking,process,,related to,ברכות הגומל,ברכת הגומל,blessing on being saved,halachic process
הודאה תודה,thanking,process,,similar to,הכרת הטוב,הכרת טובה,being grateful,process
הודאה תודה,thanking,process,,similar to,הלל,הלל תודה,Hallel,biblical source
הודאה תודה,thanking,process,,related to,קרבן תודה,קרבן תודה,thanksgiving korban,halachic role
הודאה תודה,thanking,process,,related to,תודה,תודה,thanksgiving,process
הויה,being/existence,quality,,related to,בריאה,בריאה,Creation,theological process
הויה,being/existence,quality,,similar to,מציאות,מציאות,existence/reality,theology
הויה,being/existence,quality,,related to,עולם,עולם,world/universe/era,span of time
התחלה,beginning,process,,similar to,בראשית,בראשית,,theology
התחלה,beginning,process,,similar to,ראשית,ראשית,beginning/best,quality
התחלה,beginning,process,,synonymous with,תחלה,תחלה,beginning,moment in time
התבודדות,solitude/meditation,process,,related to,אדם חברו,אדם וחברו,treatment of others,meta halacha
התבודדות,solitude/meditation,process,,related to,דביקות,דביקות,"subsumption/""attachment"" to HaShem",theology
התבודדות,solitude/meditation,process,,related to,עבודת ה',עבודת ה,serving HaShem,theological process
הושיע,save,process,,similar to,הציל,הצל הצלה,save,process
הושיע,save,process,,similar to,עזר,עזר,help,process
הנקה,nurse,lifecycle process,,related to,אם ובן,,#N/A,#N/A
הנקה,nurse,lifecycle process,,synonymous with,ינק,ינק,nurse,lifecycle process
הגר,,biblical person,,spouse of,אברהם,אברהם,,biblical person
הגר,,biblical person,,parent of,ישמעאל,ישמעאל,,biblical person
הגר,,biblical person,,has specific dependence,שרה והגר,אברהם והגר,Avraham and Hagar,specific biblical person relationship
הכנסת אורחים,hospitality,halachic process,,has halachic application,אורח,אורח,guest,role
הכנסת אורחים,hospitality,halachic process,,is a,גמילות חסדים,גמילות חסד,doing kindness,halachic process
הרכבה,grafting,halachic process,,causes,כלאים,כלאים,forbidden mixing of species,halachic quality
הורקנוס,,mishnaic person,,participates in,הסטוריה בית שני,הסטוריה בית שני,history of second Beis HaMikdash ,span of time
המטר,to rain/bring down,process,,similar to,גשם,גשם,rain,weather
המטר,to rain/bring down,process,,has participant,מטר,מטר,rain,weather
הנה,preposition of presenting something novel ,word,,similar to,הן,הן,indeed,word
התעוררות,awakening/initiation,process,,related to,אדם מעשה,אדם מעשה,action of man,process
התעוררות,awakening/initiation,process,,related to,מצוה מעשה,מצוה מעשה,act of a mitzvah,halachic process
התעוררות,awakening/initiation,process,,related to,עבודת ה',עבודת ה,serving HaShem,theological process
הנחם,deciding/regretting,process,,related to,אלקים רצון,אלקים רצון,"""will"" of HaShem/HaShem ""changing His mind""",theological tenet
הנחם,deciding/regretting,process,,dissimilar to,רצון,רצה רצון,want/will,emotion
התראה,warning,halachic process,,precedes,מיתת בית דין,מיתת בית דין,capital punishment,halachic process
התראה,warning,halachic process,,precedes,מלקות,מלקות,lashes,halachic process
התראה,warning,halachic process,,has participant,עדות,עדות,testimony,process
התראה,warning,halachic process,,related to,עונש,עונש,punishment,process
הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time,,related to,ארץ ישראל כבוש וחלוק,ארץ ישראל כבוש וחלוקה,conquest of Israel,biblical historical event
הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time,,has participant,דוד,דוד,,biblical person
הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time,,has participant,חזקיה,חזקיה,,biblical person
הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time,,has participant,יאשיה,יאשיה,,biblical person
הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time,,has participant,עשרת השבטים,עשרת השבטים,ten lost tribes,group of people
הסטוריה בית ראשון,history of first Beis HaMikdash ,span of time,,has participant,שלמה,שלמה,,biblical person
