category,tag,parent,hebrew tag,count,is a type of,is category,not synonym,aspaklaria topic,aspkalaria english,aspaklaria type,
Torah Portions,Shlach Lecha,Parashat Lech Lecha,שלח לך,11,source,,,,#N/A,#N/A,
Torah Portions,Vayakhel,Parashat Vayakhel,ויקהל,11,source,,,,#N/A,#N/A,
Authors,Emmanuel Levinas,,,10,modern person,,,,#N/A,#N/A,
Authors,Luria,,לוריא,10,rishon person,,,,#N/A,#N/A,
Bible,Betzalel,,בצלאל,10,biblical person,,yes,בצלאל ואהליאב,,group of people,
Bible,Chana,,חנה,10,,,,חנה,,biblical person,
Bible,Daniel,,דניאל,10,,,,דניאל,,biblical person,
Bible,Gemorrah,,עמורה,10,,,,עמורה,,geographic site,
Bible,Goliath,,גלית,10,,,,גלית,,biblical person,
Bible,Judith,,יהודית,10,,,,יהודית,,mishnaic person,
Bible,King Saul,,המלך שאול,10,,,,שאול מלך,,biblical person,
Bible,Meraglim,,,10,,,,דור המדבר מרגלים,generation of desert and spies,biblical historical event,
Bible,Navi,,נביא,10,,,,נביא,prophet,role of person,
Bible,Nehemiah,,נחמיה,10,,,,נחמיה,,biblical person,
Bible,Prophetess,,נביאה,10,role of person,,,,#N/A,#N/A,
Bible,Rock,,סלע,10,,,,סלע,stone/strength,inanimate object,
Bible,Serach,Serach Bat Asher,סרח בת אשר,10,,,,סרח,,biblical person,
Bible,The Song of the Sea,,שירת הים,10,,,,שירת הים,song at the sea,biblical source,
Bible,Tochecha,,תוכחה,10,,,,תוכחה,rebuke,process,
Bible,Wells,,,10,,,,באר בור,well/pit,structure,
Education,Bekiut,,,10,,,,בקיאות,expertise/encyclopedic knowledge,knowledge,
Education,Elementary,,יסודי,10,,,,,#N/A,#N/A,
Education,Moishe House,,,10,,,,,#N/A,#N/A,
Education,National Library of Israel,,,10,structure,,,,#N/A,#N/A,
Food,Kitniyot,,קטניות,10,group of plants,,,,#N/A,#N/A,
History,Kamtza,,קמצא,10,mishnaic person,,,,#N/A,#N/A,
Holidays,Shalosh Regalim,High Holidays,שלושה רגלים,10,holiday,,,,#N/A,#N/A,
Holidays,Tenth of Tevet,,י 'בטבת,10,fast day,,,,#N/A,#N/A,
Holidays,Yom Haatzmaut,,,10,holiday,,,,#N/A,#N/A,
Law,Agunah,,עגונה,10,halachic role of person,,,,#N/A,#N/A,
Law,Courts,,,10,,,,בית דין,court,halachic role,
Law,d'Rabanan,,דרבנן,10,meta halacha,,,,#N/A,#N/A,
Law,Genizah,Geniza,גניזה,10,halachic process,,,,#N/A,#N/A,
Law,Hachnasat Orchim,,הכנסת אורחים,10,,,,הכנסת אורחים,hospitality,halachic process,
Law,Hesed,Chesed,גמילות חסדים,10,,,,גמילות חסד,doing kindness,halachic process,
Law,Masturbation,,אוננות,10,,,,הוצאת שכבת זרע לבטלה,wasteful emission,halachic process,
Law,Pikuach Nefesh,,,10,,,,פקוח נפש,life-threatening circumstance,halachic process,
Law,Repentence,Repentance,תשובה,10,,,,תשובה,repentance,halachic process,
Medicine,Pain,,,10,,,,צער,discomfort/suffering,process,
Philosophy,Arrogance,,יהירות,10,,,,גאוה,arrogance,character trait,
Philosophy,Business Ethics,,אתיקה בעסקים,10,ethic,,,,#N/A,#N/A,
Philosophy,Grief,,צער,10,,,,צער,discomfort/suffering,process,
Philosophy,Growth,,צמיחה,10,process,,,,#N/A,#N/A,
Philosophy,Heaven,,גן העדן,10,,,,גן עדן,,spiritual site,
Philosophy,Honesty,,יושרה,10,,,,יושר,integrity,character trait,
Philosophy,Inspiration,,השראה,10,theological process,,,,#N/A,#N/A,
Philosophy,Knowledge,,ידע,10,knowledge,yes,,,#N/A,#N/A,
Philosophy,Machshava,,מחשבה,10,source,,,,#N/A,#N/A,
Philosophy,Modern Thought,,חשיבה מודרנית,10,philosophy,,,,#N/A,#N/A,
Philosophy,Sanctuary,,מקלט,10,quality,,,,#N/A,#N/A,
Philosophy,Sefirot,Sephirot,ספירות,10,,,,ספירות,sefiros,theology,
Philosophy,Hisbodedus,Hitbodedut,התבודדות,10,,,,התבודדות,solitude/meditation,process,
Philosophy,Beauty,,יופי,10,,,,יופי,beauty/virtue,quality,
Prayer,Amidah,Amidah,ָAmidah,10,,,,תפלה שמונה עשרה,shmoneh esrei prayer,source,
Prayer,Birkot Hashachar,,,10,source,,,,#N/A,#N/A,
Prayer,Kavana,Kavanah,כוונה,10,,,,כוונה,intention,process,
Prayer,Kavannah,Kavanah,כוונה,10,,,,כוונה,intention,process,
Prayer,Piyyut,,פיוט,10,,,,פיוט,poem,artistic process,
Religion,Attributes,,,10,,,,מדות,traits,quality,
Religion,God's Image,,,10,,,,אדם צלם אלקים,man representing the Divine,theology,
Religion,Hashem,God,אלוהים,10,,,,אלקים,"HaShem; in a generic sense, ""powers""",divine role,
Religion,Kabbalat HaTorah,Kabbalat Hatorah,קבלת התורה,10,,,,מתן תורה,giving of the Torah,biblical historical event,
Ritual Objects,Liquor,,משקה חריף,10,,,,שכר יין,strong wine/liquor,food,
Ritual Objects,Parah,Parah Adumah,פרה אדומה,10,,,,פרה אדומה,the red heifer,halachic quality,
Science,Technology,,טכנולוגיה,10,generically dependent continuant,,,,#N/A,#N/A,
Society,#MeToo,,#גםאני,10,phrase,,,,#N/A,#N/A,
Society,Adolescence,,גיל ההתבגרות,10,lifecycle process,,,,#N/A,#N/A,
Society,Dance,,ריקוד,10,,,,רקד רקידה,dance,artistic process,
Society,Hero,,גיבור,10,quality,,,,#N/A,#N/A,
Society,Holy People,,אנשי קודש,10,group of people,,,,#N/A,#N/A,
Society,Jewish,,יהודי,10,,,,יהודי,Jew,nation/ethnicity,
Society,Jewish People,,העם היהודי,10,,,,ישראל,,nation/ethnicity,
Society,Management,,הנהלה,10,process,,,,#N/A,#N/A,
Society,Masculinity,,גבריות,10,quality,,yes,גבר,man,material quality,
Society,Men,,גברים,10,,,,גבר,man,material quality,
Society,Mourner,,,10,halachic role of person,,yes,אבלות,mourning,halachic process,
Society,Political,,,10,generically dependent continuant,,,,#N/A,#N/A,
Society,Revenge,,נקמה,10,,,,נקמה,revenge,process,
Society,Sephardi,,ספרדי,10,halachic role of person,,,,#N/A,#N/A,
Society,Slaves,,עבדים,10,,,,עבד,slave/servant,role of person,
Society,Stress,,לחץ,10,,,,לחץ,pressure,process,
Society,Travel,,נסיעה,10,,,,מסע,journey,process,
Society,Tzniut,,צניעות,10,,,,צניעות,modesty/privacy,character trait,
Society,Vulnerability,,פגיעות,10,quality,,,,#N/A,#N/A,
Society,Love,Love,אהבה,10,,,,אהבה,love,emotion,
Society,Women,Women,נשים,10,,,,אשה,woman,quality,
Texts,Genesis 11,,"בראשית י""א",10,,,,,#N/A,#N/A,
Texts,Psalm 121,,"תהילים קכ""א",10,,,,,#N/A,#N/A,
Texts,Shulchan Arukh,Shulchan Arukh,שולחן ערוך,10,source,,,,#N/A,#N/A,
Torah Portions,Parashat Behaalotchah,,בהעלותך,10,source,,,,#N/A,#N/A,
Torah Portions,Parashat Lekh Lekha,Parashat Lech Lecha,לך לך,10,source,,,,#N/A,#N/A,
Torah Portions,Parshat Noah,Parashat Noach,נח,10,source,,,,#N/A,#N/A,
Torah Portions,Tazria,Parashat Tazria,תזריע,10,source,,,,#N/A,#N/A,
