Index Title,Penei Yehoshua on Makkot
Penei Yehoshua on Makkot 2b:2,"שם ותיפוק ליה מלא תענה. משמע לכאורה מלשון הגמרא דאמימרא דעולא קשיא ליה הכי מאי איצטריך למילף מקרא דוהצדיקו הא בלא""ה חייב מלקות מלאו דלא תענה היכא דלא שייך כאשר זמם וקשיא לי טובא דמעיקרא מאי ס""ד דשייך מלקות מלאו דלא תענה דא""כ מאי איריא עידי הזמה שע""י עמנו הייתם אפילו שלא דרך הזמה נמי לחייבו מלקות ונהי דבעדים שהוכחשו לא משכחת לה דהא תרי ותרי נינהו וכה""ג היכא דליכא הזמה גמורה כגון שבאו עדים ואומרים שאחד מבעלי דינים היה עמהם ביום פלוני במקום פלוני נמי תרי ותרי נינהו דלא שייך חיוב מלקות אלא דוקא בהזמה גמורה שחידשה תורה דבתראי מהימני אלא דאכתי היכא דאסהיד תרי בחד דליכא חידוש כדאיתא בפרק מרובה א""כ אמאי לא מחייבינן להו מלקות ועוד הא ודאי מהאי לאו דלא תענה לא הוה ידעינן חיוב מלקות בעדים זוממין דמתני' דהא בכל חייבי לאוין דעלמא לא שייך חיוב מלקות אלא ע""י התראה ובעדים זוממין קי""ל בפרק אלו נערות דלא בעי התראה וא""כ על כרחך היינו בהאי קרא דוהצדיקו דגלי קרא דשייך מלקות בעדים זוממים ממילא ידעינן דלא בעו התראה כיון דלא שייך בהו התראה כדמסקינן התם בפ' אלו נערות. והנראה לענ""ד בזה דאה""נ דלאו אעיקר מימרא דעולא קשיא ליה דלא איצטריך ליה האי קרא דוהצדיקו דודאי איצטריך כדפרישית אלא דאאידך גיסא קשיא ליה כיון דאשכחן דגלי קרא דשייך חיוב מלקות בעדים וע""כ היינו דאזהרה שמענו מלאו דלא תענה א""כ מאי איריא ע""י הזמה גמורה אפילו שלא דרך הזמה כגון דאסהידו תרי בחד נמי לילקו מהאי לאו גופא דלא תענה ואפילו בלאו התראה ואהא משני שפיר דעיקר לאו דלא תענה לא ניתן כלל למלקות כיון דלאו שאין בו מעשה הוא כן נראה לי נכון ועיין מה שאכתוב עוד בזה (דף ד' ע""ב):"
Penei Yehoshua on Makkot 2b:3,"פיסקא משום ר""ע אמרו כו' מאי טעמא דר""ע קסבר קנסא הוא כו' אמר רב נחמן תדע שהרי ממון ביד בעלים ומשלמין. ומסקינן דהא דאמר רבה נמי תדע שהרי לא עשו מעשה היינו נמי מהאי טעמא גופא שהממון ביד בעלים וכפירש""י ולפי""ז משמע דהיכא שכבר שילמו הבעלים על פי העדים דלפירוש ריב""א ור""י ברפ""ק דב""ק (דף ד' ע""ב) בתוד""ה ועדים זוממין דבכה""ג נמי שייך הזמה דלענין ממון לא שייך למידרש כאשר זמם ולא כאשר עשה וכ""כ הרמב""ם ז""ל א""כ ר""ע נמי מודה דמשלמין על פי עצמן ועיקר מילתא דר""ע היינו דווקא כשעדיין לא שילמו כפשטא דמלתא דסתם עדים זוממין כן נראה לי (ועיין עוד בסמוך ולקמן (דף ה' ע""ב) אבאר עוד שיטת הרמב""ם ז""ל בזה) אלא דלפי""ז איכא למידק איפכא דא""כ מ""ט דרבנן דפליגי אדר""ע הא כיון דלא שילמו אין לך קנס גדול מזה והיאך אפשר לומר דרבנן סברי דאפילו בכה""ג שהממון ביד בעלים הוי ממון ולא קנס ועוד הא תנן בס""פ אלו נערות (דף מ""א ע""ב) זה הכלל כל המשלם יותר ממה שהזיק אין משלם על פי עצמו וכ""ש הכא שלא הזיק כלל אלא ביקש להזיק מיהו אפשר דרבנן סברי דתשלומי עדים זוממין משום כפרה ומש""ה מחייבי רבנן על פי עצמו כדאשכחן נמי בשבועת הפקדון כשנשבע לשקר והודה מחייב קרן וחומש וא""כ על כרחך דלא הוי בהאי כללא דס""פ אלו נערות שהרי משלם יותר ממה שהזיק וע""כ היינו משום דחומש נמי לכפרה אתא (כדמשמע בלשון רש""י שלהי פרק ד' שומרים ע""ש) וה""נ דכוותיה. ועוד נראה לי דכיון דבתשלומי ממון דעדים זוממין לא דרשינן כאשר זמם ולא כאשר עשה א""כ אפילו אם כבר שילם הנתבע הממון לשכנגדו ולאחר שנמצאו העדים זוממין הוחזר הממון לבעלים אפ""ה צריכין העדים זוממין לשלם ג""כ לבעלים אע""פ שלא הזיקו דהא לא גרע מכאשר זמם וכ""ש הכא דאטריחוהו לבי דינא ולמיטרח אזוזי וכ""ש למאי דפרישית דעיקר תשלומי זוממין היינו לכפרה וא""כ לפי""ז בכל ענין אמר ר""ע דאין משלמין על פי עצמן משום דקנסא הוא וכ""נ מדקדוק לשון הרמב""ם ז""ל (בפ' י""ח מהלכות עדות ה""ח) ועיין עוד בסמוך:"
Penei Yehoshua on Makkot 3a:1,"בגמרא אמר רבא באומר עדות שקר העדתי כל כמיניה כיון שהגיד כו'. ופירש""י כל כמיניה בתמיה וכי יוכל הוא לחזור בו ויפטר הנדון מלשלם. ולכאורה פירושו תמוה טובא דאדרבה מהאי טעמא גופא דלא כל כמיניה לפטור הנדון מלשלם מש""ה צריך העד זומם לשלם לפי חלקו וכבר הרגישו בזה המפרשים וביחוד בספר לחם משנה שכתב דכוונת רש""י דכאן דאין יכול לפטור הנידון מלשלם א""כ אמאי קרי ליה עד זומם והיינו לפי מאי שהבין מפרש""י דאיירי שלא הוזם ואף לפי""ז פירושו דחוק מאד בין בלשון רש""י ובין בלשון הגמרא. אמנם לענ""ד נראה דרש""י מפרש הא דמשני רבא באומר עדות שקר העדתי היינו לאחר שכבר הוזם חזר ואמר עדות שקר העדתי ומשמע ליה לרבא דהא דתניא דבעינן דוקא שיזומו שניהם היינו דוקא אם עדיין אף לאחר שהוזמו עומדין בעדותן דאכתי הו""ל תרי ותרי מש""ה אין לך בו אלא חידושו שלא האמינה תורה אחרונים יותר מן הראשונים אלא דוקא כשהוזמו שניהם ולא כשהוזם אחד מהם משא""כ כשאותו עד שהוזם אומר עדות שקר העדתי ומודה לדברי עדי הזמה שפיר מצי סבר ר""י דמשלם לפי חלקו כיון שבזו ליכא חידוש ובהא מקשה הש""ס שפיר כל כמיניה כיון שהגיד כו' ועיין פירש""י וכי הוא יכול לחזור בו ויפטר הנדון מלשלם דודאי אילו היה יכול לפטור הנדון מלשלם ומהני עכ""פ חזרתו לפני ב""ד הוי אתי שפיר משא""כ השתא דכיון שהגיד אינו חוזר ומגיד ואין יכול לפטור הנדון מלשלם א""כ הב""ד אין נזקקין לחזרתו כלל וכל מה שמודה בפניהם הוי כמודה חוץ לב""ד ולעולם יוכל לחזור מהודאתו ולומר מחמת ביעתותא הוא דאודי כדי לפטור הנדון ולפטור ג""כ מתשלומי הזמה ואפילו את""ל שצריך לשלם לצאת ידי שמים אכתי לא הוי ליה לר' יהודה למימר משלם דלשון משלם בדינא משמע כן נראה לי. ועוד יש לי לפרש בדרך אחר דרש""י נמי מפרש הא דאמר רבא באומר עדות שקר העדתי לאו אאותו עד שהוזם קאי אלא כפירוש התוספות דאעד שני קאי ולאו מטעמייהו דהתוס' אלא מטעם אחר דעיקר שינויא דרבא היינו שסובר דהא דבעינן דוקא שיוזמו שניהם היינו משום דבעינן לענות בו סרה ודרשינן עד שתסרה גופה של עדות ומש""ה כשלא הוזם אלא אחד מהם והשני עומד בעדותו לא שייך הזמה דבכה""ג לא הוסרה גופה של העדות דהשני קיים וחזי לאיצטרופי וכה""ג לאו סרה מיקרי משא""כ כשהוזם האחד והשני אומר עדות שקר העדתי ולפי""ז סרה כל העדות שפיר קרינן ביה לענות בו סרה ומש""ה קאמר ר""י אותו העד שהוזם משלם לפי חלקו ואהא מקשה הש""ס שפיר כל כמיניה כיון שהגיד וא""כ בכה""ג נמי לא סרה גוף העדות לגמרי כיון שהעד השני קיים ואינו נאמן לפטור הנדון מלשלם כיון דאי אתא עד אחרינא בהדיה חייב הנדון לשלם ועוד אפילו בעדותו לבד מחייב את הנדון שבועה כן נראה לי. ואף אם אפשר דרש""י לא כיון לזה אלא כפירושי הראשון שכתבתי אעפ""כ לא נמנעתי לכותבו שכן נראה לי עיקר לפי לשון סוגיית הש""ס עד שאני תמה על רבותינו בעלי התוס' דכיון דלקושטא דמלתא מפרשים דהאי באומר עדות שקר העדתי אעד השני קאי א""כ מי הכריחם לפרש עוד שהוזמו שניהם ולהוציא לישנא דעד זומם דרב יהודה מפשטיה והוצרכו לדחוק ג""כ בהא דמקשה גמרא כל כמיניה כו' טפי הו""ל לפרש בפשיטות כדפרישית ויש ליישב בדוחק והנראה לענ""ד כתבתי ודו""ק ועיין עוד בסמוך:"
Penei Yehoshua on Makkot 3a:2,"בתוספות בד""ה באומר עדות שקר העדתי ושוב הוזם לכאורה משמע דכי אמר הכי וכו' עד סוף הדיבור. עיין במהרש""א ונראה מדבריו שמפרש המשך לשון התוס' בענין זה דמה שכתבו בתחלה ושוב הוזם היינו שרוצים להכריח דאיירי בשוב הוזם והיינו שהוזמו שניהם כמו שכתבו בסוף הדיבור ועל זה כתבו דאע""ג דלכאורה משמע דאיירי שלא הוזם אלא באומר עדות שקר העדתי לחוד נמי משלם לפי חלקו כדין עדים זוממין ממש שאומרים עמנו הייתם חייבים לשלם אע""פ שהלה לא שילם עדיין אפ""ה חייב רחמנא משום קנס ובעי רבא למימר שכן הדין נמי בעדות שקר העדתי דהיכא דאמרי תרווייהו עדות שקר העדנו נמי חייבין לשלם אע""פ שהלה לא שילם והיינו דקרי ליה ר""י בלשון עד זומם ואתי ר""י לאשמעינן דבכה""ג דהיכא דאמר חד מינייהו עדות שקר העדתי בכה""ג אשכחן דעד אחד משלם לפי חלקו ומסקו דאי אפשר לפרש כן משום דלא אשכחן משלם אלא בעמנו הייתם אלא ע""כ דרבא נמי איירי דשוב הוזמו שניהם וכתב עוד שם לפרש לשון המקשה כל כמיניה לפי מה שכתבו התוס' בתחילת דבריהם לכאורה משמע ע""ש. ולענ""ד פירוש זה דחוק מאד הן במה שכתוב בהמשך לשון התוס' דלפירושו האי לשון ושוב הוזם שכתבו תחלה מיותר הוא והן בעיקר הפירוש שאינו עולה על הדעת כלל לפרש אף לכאורה דרבא מפרש מילתא דר""י דעד זומם בכה""ג דמה סברא הוא לומר כן ועוד דאפילו את""ל דעדות שקר נמי הוי כעד זומם לענין זה לשלם במה שביקשו להפסיד אפ""ה לא יהא הטפל חמור מן העיקר דבעיקר עדים זוממין בעינן שיוזמו שניהם ובעדות שקר העדתי יאמר ר""י דעד אחד שהוזם נמי משלם ועוד דבעדים זוממין אין משלמין על פי עצמן אם לא כשאמרו נתחייבנו ממון בב""ד ובעדות שקר שלא בא לידי הזמה יסבור ר""י דאפילו עד אחד משלם על פי עצמו ועוד לשון כל כמיניה לא שייך שפיר לפי פירושו כמבואר למעיין בדבריו וכ""ש במאי דפשיטא ליה דבעדות ממון נמי אמרינן כאשר זמם ולא כאשר עשה וכבר כתבתי שאינו כן כמ""ש ריב""א ור""י בפ""ק דב""ק ונראה דלשון הגמרא הכי משמע להו מדחשיב עדים זוממין בהדי כ""ד אבות נזיקין אלמא דבנזיקין נמי איירי וכ""כ הרמב""ם ז""ל להדיא וכן משמע מסתימת לשון הטור (סי' ל""ח) אמנם בלשון הר""ן מצאתי שכתב ג""כ דבממון נמי שייך כאשר זמם ולא כאשר עשה ועיין מה שאכתוב בזה (דף ה' ע""ב). לכך נראה יותר כמו שנראה מלשון מהרש""ל ז""ל בספר חכמת שלמה דכל דברי התוס' לעולם איירי בשוב הוזם אלא דלכאורה הוי משמע להו דבהוזם האחד והשני אומר עדות שקר העדתי הוי כאילו הוזמו שניהם וכ""ש היכא דאמרי תרווייהו עדות שקר העדנו ושוב הוזם אחד מהם ועל זה כתבו דלא נראה דכיון דלא אשכחן מאן דמשלם אלא דוקא בעמנו הייתם והיינו שהוזמו שניהם דבכה""ג גזירת הכתוב היא כן נראה לי בכוונת מהרש""ל ז""ל אלא שגם זה מגומגם קצת לכך נראה יותר כדפרישית בלשון רש""י ומתוך מה שכתבתי יש ליישב ג""כ לשון הטור במה שכתב בשם ר""ת שנתקשו בהם הב""י וכל האחרונים וע""ש בלשון הש""ך באריכות אלא שאין להאריך כאן והמשכיל יבין מדעתו ודוק היטב:"
Penei Yehoshua on Makkot 3a:3,"בגמרא כמאן דלא כר""ע. משמע מלשון סתמא דתלמודא מדדחיק לפרש מלתא דר""י דוקא באומר העדנו והוזמנו בב""ד ונתחייבנו ממון אלמא דהלכה כר""ע וכ""כ הרמב""ם והטור להדיא וכתב הב""י דמהכא פשיטא להו ומדאיירי נמי לעיל רבה ור""נ בטעמא דר""ע ואמרו תדע אלמא דהך סברא פשיטא להו טובא א""כ מסתמא דהלכה כר""ע דקסבר קנסא הוי ומה שכתבו הפוסקים והרי""ף והרא""ש והטור דיני הזמה אע""ג שאין דרכם לכתוב דינים שאינן נוהגים בזמן הזה היינו לענין דאי תפס לא מפקינן מיניה כמ""ש הב""י (סוף סי' ל""ח) ונראה שמטעם הזה השמיט הטור האי דינא דעד זומם משלם לפי חלקו אע""ג שיש בזה חידוש גדול אפ""ה כיון דלא שייך הכא לומר אי תפס לא מפקינן מיניה דהא למאי דמסקינן דלא משכחת להך מלתא אלא כשאומר הוזמנו בב""ד ונתחייבנו ממון א""כ לא שייך הך מלתא בזמן הזה שהרי אין הב""ד מחייבין אותן בזמן הזה כיון דקנסא היא כן נראה לי. והוצרכתי להאריך בזה משום דלפי דמשמע מהסכמת כל הפוסקים דהלכה כר""ע דקנסא הוא א""כ תיקשי הלכתא אהלכתא במאי דאמרינן בכמה דוכתי בש""ס הא קי""ל דאינו לוקה ומשלם והיינו כחכמים דלקמן במשנה (דף ד' ע""א) במעידין אנו באיש פלוני שחייב לחבירו מאתים זוז ודלא כר""מ דאמר לוקה ומשלם כדאיתא בפ' אלו נערות ובפ' מרובה ובפ' הפועלים ובכמה דוכתי ואנן הא מסקינן לקמן דטעמא דר""מ משום דס""ל כר""ע דאמר עדים זוממין קנסא הוא ולפי""ז משמע ע""כ דטעמא דחכמים משום דעדים זוממין ממונא הוא כמ""ש התוספות לקמן ובכל הסוגיות הנזכרים ומה שנראה לענ""ד בזה יבואר לקמן במקומו אי""ה:"
Penei Yehoshua on Makkot 3a:4,"במשנה מעידין אנו באיש פלוני שגירש את אשתו ולא נתן לה כתובתה. פירש""י שגירש את אשתו בפנינו ביום פלוני וזה אומר לא גרשתיה ואיני חייב לה כתובה עכ""ל. ונראה לכאורה מלשון רש""י שהעדים לא העידו בפירוש שלא נתן לה כתובה אלא עיקר עדותן על הגירושין לחוד אלא שע""י אותן העדות האשה תובעת כתובתה ואיירי בענין ששטר כתובתה בידה או במקום שאין כותבין לענין עיקר הכתובה בלבד אלא דלפי""ז קשיא לי דאכתי אמאי מחוייבין העדים לשלם טובת הנאת כתובתה הרי יכולין לומר שלא באו אלא להתירה לשוק שהרי הבעל אומר לא גרשתיה ולא להגבות כתובתה ועוד דהיאך העדים יודעין שלא פרע לה כתובתה דלא ראינו אינו ראיה וא""כ פשיטא דיכולין לומר שהיו סוברין שכבר פרע לה כתובתה לאחר גירושין א""כ לפי""ז נראה דהא דקתני ולא נתן לה כתובתה מן העדים הוא שאומרים בבירור שלא נתן לה כתובה כגון שהתנה בפירוש בשעת גירושין שאל יפרענה אלא בפניהם ואפשר שרש""י ג""כ הכי מפרש לה אלא שקיצר בלשונו ועיקר כוונת רש""י אינו אלא לפרש שצריכין לומר שגירש את אשתו ביום פלוני דבענין זה שייך הזמה דעמנו הייתם ביום פלוני כן נראה לי. והוצרכתי להאריך בזה משום דנפקא מיניה לענין סוגיא דשמעתין כמו שאבאר בסמוך:"
Penei Yehoshua on Makkot 3a:5,"בגמרא כיצד שמין אמר ר' חסדא כו'. עיין בפרש""י ותוס' שהאריכו בפירושם ולדבר אחד נתכוונו דכל השקלא וטריא ופלוגתא דהנך אמוראי היינו לענין עיקר הדין שנסתפקו אם אומרים זכות הבעל או זכות האשה וכדמפרשו מילתא בטעמא אלא שהרי""ף והרא""ש והר""ן מפרשו בענין אחר בשם הגאון הגדול דהא דאמרינן שמין בבעל או באשה היינו אם הוא ילד או זקן בריא או חלש קפדן או ותרן ומ""ד באשה היינו אם היא יולדת בצער ואם היא קנטרנית להקניטו שיגרשנה כו' וכ""כ הרמב""ם ז""ל בחיבורו ועיין בלשון הרא""ש מה שהקשה על פירש""י ותוס'. אמנם למאי דפרישית בסמוך נראה לענ""ד לכאורה דכפירש""י ותוס' מוכרח בסוגיא דאי כפירוש הגאון א""כ מעיקרא מאי קאמר כיצד שמין הא מסברא אית לן למימר דשמין בין באיש ובין באשה שאם עיקר הדין דשייך שומא בכל הני מילי לפי שהלוקח נותן עיניו בכל זה א""כ פשיטא שצריך לשום בשניהם בין באיש ובין באשה כיון שאפשר לקיים שניהם ואין זה סותר את זה משא""כ לפירש""י ותוס' אתי שפיר כיון דבעיקר הדין קמיפלגי דאי אפשר לילך אחר שומת שניהם שהרי סותרין זה את זה שזכות הבעל שוה יותר מזכות האשה כמו שכתבו רש""י ותוס' באריכות. ועוד דלפירושם קשה מה שדקדקתי בסמוך דהיאך שייך שומא זו לענין תשלומי הזמת העדים כיון דלא רמיא הך מילתא עלייהו למידק בשעה שהעידו אם הוא חולה או זקן או בריא או קפדן וכן להיפך כיון שאינן אלא דברים המסורים ללב ואין כל הדיעות שווין. ואף שאיני כדאי להכניס ראשי בין הקדמונים מ""מ תורה היא וללמוד אני צריך וכאן לא באתי אלא ליישב שיטת רש""י ותוס' דנראה שמזה הטעם עצמו הוכרחו לפרש כן וכ""ש ממאי דמשמע להו דהאי בכתובתה דקאמר ר""פ היינו למעוטי נכסי מלוג לפי שאין זה מעיקר עדותן שיכולין לומר לא היו יודעין מזה אלמא דלעולם אין לחייב העדים אלא בדבר ברור במה שהוא מעיקר עדותן ורמיא עלייהו למידק וכדפרישית בסמוך וצ""ע ליישב שיטת הפוסקים בזה ודו""ק:"
Penei Yehoshua on Makkot 3b:1,"בגמרא אמר רבא הכא במאי עסקינן כו' ובמוסר שטרותיו לב""ד. ופירש""י שהוא פרוזבול שהתקין הילל והתוס' הקשו על פירושו וכתבו דתרי מילי נינהו. ולענ""ד נראה דכוונת רש""י בזה דהיא גופא קשיא ליה אמאי מוקי רבא מתניתין במוסר שטרותיו דלא שכיח ולא הו""ל לסתום אלא לפרש וטפי הו""ל לאוקמי בפרוזבול דשכיח טובא שהרי הילל התקין כן מפני תיקון העולם לכך מפרש רש""י דבאמת חדא מלתא היא דאי לאו דמוסר שטרותיו לב""ד אינו משמט מדאורייתא לא היה הילל מתקן פרוזבול אף דשביעית בזמן הזה מדרבנן מ""מ כל מאי דתיקנו רבנן כעין דאורייתא תיקון אלא כיון דמוסר שטרותיו לב""ד אינו משמט מדאורייתא מש""ה התקין הילל פרוזבול והוי נמי כעין דאורייתא וא""כ לפי""ז רבא עיקר מילתא נקיט כן נראה לי:"
Penei Yehoshua on Makkot 3b:2,"שם ואמר רב יהודה אמר רב שלשה לוגין מים שנפל לתוכן קורטוב כו' לא פסלוהו כו' והתני ר' חייא הורידו את המקוה. ופירש""י בד""ה לא פסלוהו דפסול מקוה במים שאובין מדרבנן הוא ובד""ה הורידו את המקוה כתב מהכשירו לפסול עכ""ל. לכאורה מפשטא דהאי לישנא משמע דבמקוה שלימה של ארבעים סאין איירי שהיתה כשירה קודם שנפלו הג' לוגין בתוכו ואפ""ה פסול מדרבנן והיינו כשיטת הרשב""ם בפ' המוכר את הבית שהביא הב""י בהל' מעין ומקוה (בסי' ר""א) אלא דמלבד שכל הפוסקים חולקים על פירוש רשב""ם כמ""ש הב""י דרשב""ם יחידאי הוא וכ""ש דרש""י גופא בפ""ק דשבת בסוגיא די""ח דבר דמייתי הש""ס התם הילל אומר מלא הין מים שאובין פוסלין את המקוה וחכמים אומרין ג' לוגין פוסלין כתב רש""י להדיא פוסלין אם נופלין לתוכו קודם שנשלם אבל אם נשלם שוב אינו פוסל אפילו המשיך לתוכן אח""כ אלף סאים וא""כ על כרחך דהכא נמי בכה""ג גופא איירי שעדיין אין המקוה שלימה אלא חסירה ואפ""ה שייך שפיר לשון לא פסלוהו כיון דמעיקרא בחזקת כשרות היו המים שבמקוה להרבות לתוכן מים שאובין עד שישלימו למ' סאין כיון שרוב המקוה מים כשירים הן משא""כ השתא שנפלו לתוכו ג' לוגין כל מי המקוה שהיו בתוכו נפסלו לגמרי ומש""ה שייך נמי האי לישנא דהורידו את המקוה כיון שהמים שבתוכו נפסלו מהכשירן לפסול וזה ברור בכוונת רש""י. ואף דלכאורה היה באפשר לפרש לשון רש""י בפ""ק דשבת דמה שכתב אבל אם נשלם שוב אינו נפסל היינו דוקא ע""י המשכה ומטעם שאובין שהמשיכם אתי עלה כדמשמע לכאורה בלשונו שכתב אפילו המשיך לתוכו אלא דאי אפשר לפרש כן דממה נפשך אי מטעמא דשאובין שהמשיכוהו איירי הא קי""ל דבעינן ריבויא והמשכה וא""כ היאך כתב אפילו המשיך אלף סאין וליכא למימר נמי דרש""י סבר כשיטת הפוסקים דשאובה שהמשיכוהו כולה כשירה כרבנן דר""א בן יעקב ספ""ק דתמורה כמ""ש התוס' שם בשיטת רש""י דא""כ אפילו במקוה חסירה נמי כשר ע""י המשכה ולפי""ז ע""כ דרש""י בפ""ק דשבת בלא המשכה איירי ומה שכתב אפילו המשיך לתוכו לישנא בעלמא נקט כדאשכחן בכמה דוכתין במסכת מקואות ובלשון הפוסקים אלא ע""כ כדפרישית דרש""י כשיטת כל הפוסקים ס""ל דהא דקי""ל דבעינן ריבויא והמשכה נמי איירי דוקא במקוה חסירה מש""ה בעינן שיהא רוב המ' סאין מן הכשירין ומיעוט מהשאובין שנמשכו דהמשכה זו מועלת להשלים אבל במקוה השלימה לעולם אינה נפסלת אפילו מילא בכתף ונתן לתוכו אלף סאין בלא המשכה כשירה כשיטת כל הפוסקים שהביאו כמה ראיות ממשניות וברייתות דמקואות וכמו שאבאר קצת בסמוך בישוב שיטת רש""י וכן מבואר עוד בלשון רש""י בפרק מרובה גבי צינור שחקקו ולבסוף קבעו ע""ש:"
Penei Yehoshua on Makkot 3b:3,"ועוד דהא עיקר פירושו של הרשב""ם בפ' המוכר את הבית דבמקוה שלימה נמי שייך פסול שאובין נראה מפירושו שם שיצא לו כן מסוגיא דפרק הערל דמייתי הש""ס התם מתני' דמקואות דקתני נתן סאה ונטל סאה כשר ואמר רבי יוחנן עד רובו ומשמע להדיא דהיכא שלא נטל סאה נפסל המקוה ע""י שאובין שנתן לתוכה ולא ניחא ליה להרשב""ם ז""ל לפרש הך מתניתין ומימרא דר' יוחנן לענין מי פירות כמו שכתבו התוס' בפרק הגוזל קמא (ב""ק דף ק' ע""ב) בד""ה אמר לו גדור ע""ש אלא שהתוס' עצמן כתבו שם שיש להקשות על פי' זה מהך סוגיא דפרק הערל גופא ע""ש שרוצין ליישב בדוחק מש""ה לא משמע ליה להרשב""ם כלל הך סוגיא אלא במים שאובין גרידא וכיון שכן הא רש""י גופא בפ' הערל מפרש ג""כ הך מתניתין דמקואות לענין מי פירות כשיטת התוס' ודלא כהרשב""ם. ומה שיש לדקדק בעיקר פירושו של הרשב""ם ובמאי שהשיגו הרמב""ן ז""ל בפרק המוכר את הבית תקצר היריעה מהכיל ודעתי לבאר אי""ה במקום אחר וכאן לא באתי אלא בשביל דבר שנתחדש מתוך כך לקמן בשמעתין במימרא דרב בטובל בים הגדול שנחלקו רש""י והתוס' בחילוף הגירסאות וכמו שאבאר בסמוך ועיין עוד בחידושינו שם בפרק הגוזל קמא שכתבתי ליישב הך סוגיא דפרק הערל ולקיים פירש""י והתוס' דשפיר איירי במי פירות ע""ש ודוק היטב:"
