Mei HaShiloach.1.1,(Book of Genesis)<br/>
"Mei HaShiloach, Rosh Hashanah.22","So when God said, “raise your son as a sacrifice,” that was Avraham’s entire purpose in the world, in a supernatural way, as explained. Then when God said, “do not send your hand,” this became his entire purpose. Betsalel.) In these words, the blessed God showed that His entire will desired the life of Israel. This is the meaning of Avraham’s prayer that follows, “where it is said unto this day, on the mountain God is seen.” In other words, he prayed that the blessed God would always show the deep connection that was in force at the time of the binding of Yitschok, a connection that desires the life of Israel. This is as it is written in the Midrash (Rabba, <i>Vayigash</i>, 94), “we look up, and it is if the ashes of Yitschok are piled on the altar.”"
"Mei HaShiloach, Rosh Hashanah.23","This is to say, that Avraham’s prayer was successful, that the desire for the life of Israel is, as it were, always before God’s eyes. Concerning this we pray “today,” on Rosh Hashanah, on the binding of Yitschok to his progeny, “Today, remember with compassion.” The end of the blessing we recite in the service reads, “Blessed is He who remembers the Covenant.” This means that from the time of the binding of Yitschok, the blessed God was thoroughly connected to Israel in the desire for the life of Israel. This is the meaning of the blessing ending, “Blessed is He who remembers the Covenant.” For concerning the blessing of a fast it is written in the Gemara (<i>Ta’anit</i>, 15), “He who answered us at the Sea of Reeds… Blessed is He who remembers the forgotten.”"
"Mei HaShiloach, Rosh Hashanah.24","The whole matter of a miracle is because man forgets. For truly, on the day Adam was created, he saw the ocean raging and swelling, and his reaction was as if he was witnessing the miracle of the splitting of the Sea of Reeds. Yet since man is a forgetful creature, and has become accustomed to the nature of this world and the motion of the sea, when finally the Sea of Reeds split it was seen as a miracle. A miracle is only when man is awoken from the forgetting, which causes him not to see that everything is coming from the blessed God. Yet when one witnesses a miracle, he wakes up and sees this. This is how our blessing of “Blessed is He who remembers the forgotten” is only from our point of view, for with the blessed God, “there is no forgetting before His throne of Glory.” Of Him we bless, “Blessed is He who remembers the Covenant.”"
"Mei HaShiloach, Parshat Ha’azinu.1","<i>“Give ear, O heavens, and I will speak, and the earth shall hear the sayings of my mouth.”</i> (Devarim, 32:1)"
"Mei HaShiloach, Parshat Ha’azinu.2","It is said in the Midrash (<i>Sifrei Ha’azinu Piska</i> 1), “Since Moshe Rabeynu was close to the heavens, he called on the heavens to listen. And Yesahya, who was close to the earth, called on the earth to listen.”<sup>39</sup><i class=""footnote"">The prophet said, in Yesahya 8:9, “give ear, all the expanses of the earth.”</i> Moshe Rabeynu is the brain and wisdom of all of Israel, and this is called “the heavens.” The brain has the ability to receive even things that are for man as tough as sinews. Yesahya is the heart of all of Israel, and the matter of the heart is that it constantly cries out for salvation, and can only accept things that are comforting. This is the matter of the name of Isaiah, Yeshayahu in Hebrew, meaning salvation. And this is “Give ear, O heavens,” meaning the great powers, which are called heavens, which is the brain, which has the power to accept everything. “And I will speak,” the term “speak,” <i>dibbur</i> in Hebrew, always denotes difficulty (and is therefore used here with “heavens”). “And may the earth hear the sayings of my mouth,” for “saying,” <i>amirah</i> in Hebrew, always denotes softness. In other words, you will call to the heart, which is called the earth, which is always thirsty for salvation, in the language of softness and comfort. The verses continue, “My doctrine shall drip as the rain” (“dripping,” <i>arof</i> in Hebrew, sounds just like the word for neck), meaning that for one who resists coming close to it, the Torah will strongly clutch the back of his neck, so to speak, and against his will he will have to accept the yoke of the Torah. Immediately upon accepting it, “my saying will flow like the dew,” meaning that the words of Torah will then be with him in comfort and joy."
"Mei HaShiloach, Parshat Ha’azinu.3","<i>“… as the light rain upon the herb, as the heavy rain upon the grass.”</i> (Devarim, 32:2)"
"Mei HaShiloach, Parshat Ha’azinu.4","Rashi explains that all grasses (<i>eisev</i>) in general are called “herb,” <i>deshe</i> in Hebrew, when the land is dressed in herbs. This means that all the 613 <i>mitzvot</i> are suited for all of Israel in general. “Like the heavy rain on the grass.” Rashi explains that each particular kind of herb specifically is called a “grass” or <i>eisev</i>. The intention of the verse is each particular soul in Israel, where each one recognizes the affliction of his heart. No one’s deficiency is similar to any others; therefore in that particular aspect where each one knows that he is deficient, the corresponding aspect in Torah must be reinforced in that very place until it is eventually completed. This is “the heavy rains upon the grass,” “heavy” meaning in great measure, or to increase the measure of Torah specifically in the place that is lacking."
"Mei HaShiloach, Parshat Ha’azinu.5","<i>“When I call in the name of God, ascribe greatness to Hashem.”</i> (Devarim, 32:3)"
"Mei HaShiloach, Parshat Ha’azinu.6","Moshe Rabeynu said, “why am I silencing all the powers of the upper worlds, called heavens, and all the powers that exist in the earth? In other words, I am doing this because I am calling and crying out that the words of Torah should be entered into the heart of each one in Israel, called the name of God. “Ascribe greatness unto Hashem” means to a place of expansion, that they should all be moving toward this and none should be preventing it. Even all the “external” forces, Nebuchadnezzar and his entourage, all the powers of this world, all of which are called fine dust almost not seen to the eye<sup>40</sup><i class=""footnote"">Of which Nebuchadnezzar said, “all the inhabitants of the earth are as nothing” [Daniel, 4:32]; see Gemara <i>Yoma</i>, 20b.</i> and were greatly harrowing the heart of man, all have been nullified in order that the words of Torah may enter into the heart of Israel. So now he began to speak the words of Torah to Israel since everything was silenced."
"Mei HaShiloach, Parshat Ha’azinu.7","<i>“The Rock, whose actions are perfect, for all His ways are justice, God of truth and without iniquity, He is just and right. Is corruption His? No, the blemish is His children’s, a crooked and perverse generation.”</i> (Devarim, 32:4)"
"Mei HaShiloach, Parshat Ha’azinu.8","In this you are to know and understand that every action that you do is from Him, may He be blessed, and without Him, a man will not raise an arm or leg to do anything. So there is no need to boast of your achievements. “Is corruption His? No!” This means that lest you say that since everything is in the hand of heaven, then therefore any faults on my part are also really from heaven, God forbid. Do not say this, rather all the good that you do ascribe to the blessed God, and all the faults ascribe to yourselves. “The blemish is His children’s,” this means that in the same place where they are His children, when they are very good, there we also found their imperfections. For whoever is greater than his peer, his inclination to evil is also greater (<i>Sotah</i>, 52a). “A stubborn and crooked generation,” “stubborn” meaning one who is obstinate with God and refuses to do His will because he is constantly drawn after his own personal quest for pleasure. “Crooked”<sup>41</sup><i class=""footnote"">The word <i>petaltol</i> in Hebrew is not really “crooked,” but as Rashi points out, an intensive form of <i>petil</i>, or wick, like a string wrapped many times around a wick to make it thick.</i> means the opposite. “Crooked” is one who goes to great lengths mortifying his flesh and dedicating himself to God in places that are totally unnecessary, excessively restraining himself, and this is also a transgression, for “he who is cruel troubles his own flesh” (Mishlei, 11:17)."
"Mei HaShiloach, Parshat Ha’azinu.9","<i>“Do you thus requite God [do you hold God responsible for causing this], you foolish and unwise people. Is He not your father, the One who has acquired you? He has made you and established you.”</i> (Devarim, 32:6)"
"Mei HaShiloach, Parshat Ha’azinu.10","In other words, you want to hold God responsible for the evil within you. “Is He not your father, the One who has acquired you” means that God is both like a father for us, and also like a father-in-law, and this is “the One who has acquired you.” It is the way of a father to be merciful with his son even if his son does not behave in the most upright manner. The father-in-law, however, seeks a husband for his daughter who is exceptional in his behavior and filled with good qualities. This is as it says, “is He not your father,” for God is merciful with us like a father with his son even if the son does not act in a good way. “The One who has acquired you” means that God takes pride in that you are exceptional and praiseworthy in your attributes, as a father-in-law does with a good son-in-law."
"Mei HaShiloach, Parshat Ha’azinu.11","<i>“Consider the days of old, fathom the years of many generations. Ask your father, and he will tell you, your elders, and they will say unto you.”</i> (Devarim, 32:7)"
"Mei HaShiloach, Parshat Ha’azinu.12","“Consider the days of old” means all that is in <i>Parshat Bereshit</i> until “and the heavens and the earth were complete” (i.e., the first chapter the book of <i>Bereshit</i>.) “Fathom the years of many generations,” means the two <i>Parshiot</i> of <i>Bereshit</i> and <i>Noach</i> (Chapters 2 through 11 in the book of <i>Bereshit</i>), which includes the ten generations from Adam to Noach, and the ten generations from Noach to Avraham. What is to be fathomed, or understood, is the way in which the blessed God would deal with these twenty generations. “Ask your father, and he will tell you” means to study the <i>Parshiot</i> that deal with Avraham Avinu, which are <i>Lech Lecha, Vayeira</i>, and <i>Chayei Sarah</i> (chapters 12 through 25:19 in the book of <i>Bereshit</i>). “Your elders, and they will say unto you” means the <i>Parshiot</i> that include Yitschok and Yaakov, which is the rest of the book of <i>Bereshit</i>, and to understand all the great dealings and spiritual exchange the blessed God had with the Patriarchs."
"Mei HaShiloach, Parshat Ha’azinu.13","Therefore when it hints of Avraham it says “<i>vayagedcha</i>” (“and he will tell you,” in a single word) rather than “<i>vayaged lecha</i>” (the same but spelled in two words). This is because Avraham Avinu caused such a tremendous stir in the world, to such an extent that he made it possible for each and every one of Israel to be able to tell individually of the greatness of the blessed God. This is represented by “<i>vayagedcha</i>—and he will tell you,” all in one single construction (meaning, for all), as opposed to “<i>vayaged lecha</i>,” in two words (where the word “two you” is singled out, as if it is possible for a select few). This represents how, by himself, each and every one could tell of the wonders of the blessed God."
"Mei HaShiloach, Parshat Ha’azinu.14","<i>“When the Most High gave the nations their inheritance, when He separated the children of men, He set the borders of the nations, according to the number of the children of Israel.</i>” (Devarim, 32:8)"
"Mei HaShiloach, Parshat Ha’azinu.15","In other words, His intention with the creation of the world and all the generations until Avraham Avinu was in order for the Israelite nation to come into the world. “He set the borders of the nations” is the means by which the nations derive their existence in the world, which is “according to the number of the children of Israel.” Effluence and life is effused to Israel, and from this, refuse remains. The nations then take this refuse, and derive their existence from it. This is as it is written (in the next verse), “for God’s portion is His people, Yaakov is the cord of His inheritence.” The main point is Israel."
"Mei HaShiloach, Parshat Vezot Habracha.1","<i>“And this is the blessing with which Moshe the man of God blessed the children of Israel before his death.”</i> (Devarim, 33:1)"
"Mei HaShiloach, Parshat Vezot Habracha.2","“The man of God” means that the blessed God delivered the matter into the hands of Moshe at that time. Just as he would bless, and just as he would arrange an account of what would happen to Israel until the end of all generations, thus the blessed God would agree and so it would be. Also, just as Moshe would arrange just how much Divine service would be necessary for each soul in Israel, so it would be."
"Mei HaShiloach, Parshat Vezot Habracha.3",<i>“… before his death.”</i>
"Mei HaShiloach, Parshat Vezot Habracha.4","Moshe Rabeynu was the most beloved and chosen out of all the souls in Israel. On the day of his death he was completed in perfection, as it is said, “I am one hundred and twenty years old today,” meaning that on this day he was completed in absolute perfection, for each one is completed at a particular time. Yaakov Avinu was completed at the time that he descended to Egypt, and the seventeen years he spent there were <i>me’eyn olam haba</i>, likened to the world to come. Moshe Rabeynu was completed on the day of his death, so he blessed them, and surely this blessing was in the way of the very best before Israel."
"Mei HaShiloach, Parshat Vezot Habracha.5","<i>“And he said; Hashem came from Sinai, and shined from Seir unto them; He appeared from Mount Paran, and He came from holy multitudes; from His right hand came a law of fire for them.</i>” (Devarim, 33:2)"
"Mei HaShiloach, Parshat Vezot Habracha.6","“Hashem came from Sinai.” The blessed God rests His presence with those who despise the delights of this world.<sup>42</sup><i class=""footnote""><i>Sinai</i> is close to the word for hate, <i>sina</i>, and so our sages creatively interpret the term in the Gemara. (<i>Sanhedrin</i>)</i> “And rose up from Seir unto them,” “<i>Seir</i>” hints at anger (as it sounds like the word for storm, <i>se’ara</i>). There is some good within this, like the heated anger of the scholars (see <i>Ta’anit</i> 4a, “if a young scholar gets into a rage it is because the Torah inflames him, as it says [Yirmiya, 23:29], ‘is not My word like fire, says Hashem’”). Therefore it only uses the word “shined,”<sup>43</sup><i class=""footnote"">“Shined” or <i>zarach</i>, like the first rays of the sun to be seen over the horizon, and not a more intensive term.</i> because there is only a small measure of good that can be derived from anger. “He appeared from Mount Paran,” this corresponds to lust, which corresponds to Yishmael. The word used for appeared, <i>hofi’a</i>, is an even less intense illumination than “shone”—<i>zericha</i>."
"Mei HaShiloach, Parshat Vezot Habracha.7","<i>“… and He came from holy multitudes ….”</i> (Devarim, 33:2)"
"Mei HaShiloach, Parshat Vezot Habracha.8","All forms of Divine assistance were found then, because an angel (holy multitudes of angels) means Divine assistance."
"Mei HaShiloach, Parshat Vezot Habracha.9","<i>“… from His right hand came a law of fire for them.”</i> (Devarim, 33:2)"
"Mei HaShiloach, Parshat Vezot Habracha.10","“From His right hand,” meaning because of the great love the blessed God has for Israel. Therefore all of the Torah is classified here as “a law of fire,” meaning severe punishments. This is “from His right hand,” meaning that they come from His love."
"Mei HaShiloach, Parshat Vezot Habracha.11","<i>“Yea, He loves the nations ….”</i> (Devarim, 33:3)"
"Mei HaShiloach, Parshat Vezot Habracha.12","The word for love, <i>chovev</i>, uses a language of concealment, for it means both “love”—<i>chibba</i>, and also “debt”—<i>chov</i> (or even punishment). This is like a father who forces his son to study the Torah, and according to the understanding of the son he is incurring a punishment."
"Mei HaShiloach, Parshat Vezot Habracha.13","<i>“… all His holy ones are in Your hand ….”</i> (Devarim, 33:3)"
"Mei HaShiloach, Parshat Vezot Habracha.14","This is voiced as if it is happening before him. This teaches that all who act out of love are in the hand of the blessed God, and His presence is explicit before them."
"Mei HaShiloach, Parshat Vezot Habracha.15","<i>“… they sat down at Your feet ….”</i> (Devarim, 33:3)"
"Mei HaShiloach, Parshat Vezot Habracha.16","They crowd together before the infinite expansiveness of the Holy One, blessed be He. Like at Mount Sinai, even though He held the mountain over them like a washbasin (saying, “if you accept the Torah, then fine, and if not, then this place will be your graves”), still, they crowded themselves under the mountain.<sup>44</sup><i class=""footnote"">They crowded together, even in the face of imminent danger at being crushed, to receive the presence of the Divine.</i>"
"Mei HaShiloach, Parshat Vezot Habracha.17","<i>“… every one shall receive Your words.”</i> (Devarim, 33:3)"
"Mei HaShiloach, Parshat Vezot Habracha.18","“<i>Yissa</i>—every one shall receive [or raise up]” is expressed in the singular voice. This means that they shall all receive together as one. This is as it is written (<i>Shemot</i>, 19:2), “and Israel camped before the mountain,” and the Midrash explains, “as one man and of one heart.” Also, <i>Yissa</i> is a term denoting “raised.” This is because Israel is raised up to the words of Torah. For when she (Israel) does not occupy herself in Torah she is lowered in diametric opposition to how she was raised. Then when Israel fulfills the Torah, they then raise the Torah on high.<sup>45</sup><i class=""footnote"">It may be added that those who study the Torah for the sake of all of Israel manage to raise up Israel who were lowered for lack of involvement in it.</i>"
"Mei HaShiloach, Parshat Vezot Habracha.19","<i>“Moshe commanded us the Torah, an inheritance for the community of Yaakov.”</i> (Devarim, 33:4)"
"Mei HaShiloach, Parshat Vezot Habracha.20","Here there are two matters. Both are contained in the blessing over the Torah which we pronounce each day, first, “who gave [<i>natan</i>] us His Torah,” and the second, “[blessed is God] who gives the Torah.” That which the Patriarchs rooted in the heart of all Israel cannot be weakened or removed, and the <i>Kedusha</i> that no sin can blemish, is called <i>natan</i>—“given.” However, the portion that the blessed God allotted to each soul in Israel, with which he may innovate original ideals in Torah, may be blemished by man, God forbid. Of this our sages explained (<i>Berachot</i>, 57a), “If one dreams he has intercourse with a betrothed maiden, he may expect to obtain knowledge of Torah, since it says, Moshe commanded us a law [Torah], an inheritance for the community of Yaakov. Read not <i>morashah</i> [inheritance], but <i>me’orasah</i> [betrothed].” “Inheritance” means the <i>Kedusha</i> of the Patriarchs. “Betrothed” means the power with which man is given to innovate."
"Mei HaShiloach, Parshat Vezot Habracha.21","<i>“And there was a king in Yeshurun ….”</i> (Devarim, 33:5)"
"Mei HaShiloach, Parshat Vezot Habracha.22","A state needs a king in order that its inhabitants do not transgress the decrees and statutes of the state. However, were all the inhabitants of the state to act in the ways of truth and honesty, then there would be no advantage to this position and they would no longer need a king. This only applies to an earthly king, yet with a king such as the blessed God there is still an advantage in His position even if all act with truth and righteousness. In this sense have the members of the great assembly enacted that we say (in the prayers of the High Holidays), “and You, Hashem our God, shall soon reign over all Your works… for You shall remove the governance of iniquity from the land.” In other words, in this way shall His throne be magnified, for the kingdom of the blessed God is not like an earthly kingdom. This is as is explained in the writings of the Holy Ari”zal (R. Yitschok Luria) on the subject of <i>Iggulim</i> and <i>Yosher</i>,<sup>46</sup><i class=""footnote"">Iggulim—creation ex nihilo where the ten <i>sefirot</i> emerged as concentric circles within the empty space, related to the idea of God’s general providence over the universe. Yosher, where the ten <i>sefirot</i> took the form of right, left, and middle columns, in the form of man, which emerged concurrently with the emergence of various stages of the Igullim, the structure in which most of the <i>kabbalah</i> and writings in the Zohar are understood, relating to <i>hashgacha pratit</i>, God’s individual providence with each soul in Israel. See Eyts Chaiim, Heichal Adam Kadmon, Gate 1, Branch 2.</i> where “<i>Iggulim</i>” hints that each soul in Israel stands directed before the blessed God, and no one has an elevated status over another. This is as it is explained in the Gemara (<i>Ta’anit</i>, 31a), “In the future God will make a circle dance of the <i>Tsaddikim</i>.”"
"Mei HaShiloach, Parshat Vezot Habracha.23","“A circle dance,” for in a circle each one is equally close. “<i>Yosher</i>” means that there are levels and different states of elevation of one over another, where one may be closer than the other. In the future, these two realms of <i>Iggulim</i> and <i>Yosher</i> will be together as one, for the <i>Kedusha</i> (sanctity) that we inherit from the Patriarchs is called “<i>Iggul</i>,” and the <i>Kedusha</i> that that one earns by distinguishing himself by means of his actions will gain him a state of spiritual elevation. Then he too will be recognized as the one whom the blessed God loves, and even within the equilibrium of a circle it will be apparent that he is closer than the rest. This is “and there was a king in Yeshurun,” for then the greatness of Moshe Rabeynu will be recognized."
"Mei HaShiloach, Parshat Vezot Habracha.24","<i>“Reuven shall live and not die; and let his men be numbered.”</i> (Devarim, 33:6)"
"Mei HaShiloach, Parshat Vezot Habracha.25","With this blessing Moshe Rabeynu healed the blessing that Yaakov had withheld from him before his death. Corresponding to what Yaakov said (<i>Bereshit</i>, 49:3), “the excellency [or ‘excess’] of strength,” meaning that he had taken the holy brazen strength and <i>simcha</i> (joy) of the heart away from him, Moshe Rabeynu blessed him by saying, “Reuven shall live,” meaning that he should have vivacity, joy, and holy strength in his heart. Corresponding to “the excellency [or ‘excess’] of dignity,” Moshe blessed him by saying, “let his men be numbered.” This is because increase comes from a state of elevation, for if there was no elevation of one over another, and each one were similar to his fellow in his understanding, there would be no possibility of increase for they would be equal. Thus it says (<i>Sanhedrin</i>, 89a), “no two prophets prophesize in the same way.” Yet since one’s life is not the same as another’s life, from this power, we find states of increase. Therefore one has an elevation over another, and therefore he blessed him by saying, “let his men be numbered,” which teaches of a healing for what Yaakov said, “the excellency [or ‘excess’] of dignity.”"
"Mei HaShiloach, Parshat Vezot Habracha.26","<i>“Reuven shall live and not die; and let his men be numbered.”</i> (Devarim, 33:6)"
"Mei HaShiloach, Parshat Vezot Habracha.27","The blessing of Moshe Rabeynu corresponded to (or even was in response to) the blessings of Yaakov Avinu. Yaakov had said to Reuven (<i>Bereshit</i>, 49:3), “the excellency [or, as Rashi says, excess, meaning more than your brothers] of dignity, the excellency of power. Unstable as water, you shall not excel.” The Midrash (<i>Bereshit</i> Rabba, 99:6) comments, “like water that is spilled from a cup, and nothing remains.” Concerning this, Moshe Rabeynu blessed him by saying, “let Reuven live,” corresponding to “the excellency of strength,” for by saying to him, “live,” meant that he would constantly draw life-force from the source of the waters of life. “And let his men numbered” was said in response to “excellency in dignity,” meaning that each one would himself be an essential member of the community."
"Mei HaShiloach, Parshat Vezot Habracha.28","<i>“… Hear, O God, the voice of Yehuda ….”</i> (Devarim, 33:7)"
"Mei HaShiloach, Parshat Vezot Habracha.29","A blessing for Shimon is hinted in this statement.<sup>47</sup><i class=""footnote"">This is because the name Shimon means “one who hears.” Shimon did not receive a separate blessing from Moshe, and Rashi notes that Moshe was still angry with him for mass fornication with the Moabite women in Shittim [<i>Bamidbar</i>, 25:1].</i> The twelve tribes represent all of the limbs of the <i>Shechina</i>, the Divine presence, as mentioned in the Zohar (<i>Bereshit</i>, 241a). Reuven (meaning, “you shall <i>see</i> a son”) is the eyes of the <i>Shechina</i>, for he always has a clear view of the blessed God. Shimon (meaning “one who <i>hears</i>”) is the ears of the <i>Shechina</i>, and Yehuda is the heart of the <i>Shechina</i>, for he has a clean and refined heart. This is the meaning of the verse, “Hear, O God, the voice of Yehuda,” that the tribe of Shimon should hear the voice of Yehuda. This is because the tribe of Shimon must constantly undergo refinement, as is explained in <i>Parshat Toldot</i> on the verse, “and Yitschok loved Eisav.”<sup>48</sup><i class=""footnote"">Where it says: Shimon, however, (as opposed to Levi) entered himself into uncertainty, saying, “God forbid I would consider myself licentious,” and marrying Dinah. Thus he entered himself into a situation that needed clarification, saying he trusts that God will make it clear that it was good, that his intention was not only to take her out from Shchem and all his intentions were for the sake of Heaven. Therefore the tribe of Shimon needed all these kinds of clarifications, such as Zimri who also said that his intention was good, as explained in its place (<i>Parshat Balak</i>). And in the future, when the tribe of Shimon will be clarified, its level will be greater than Levi.</i>"
"Mei HaShiloach, Parshat Vezot Habracha.30","<i>“… and bring him [Yehuda] unto his people ….”</i> (Devarim, 33:7)"
"Mei HaShiloach, Parshat Vezot Habracha.31","In order that he may find favor in the eyes of his people, for Yehuda is constantly in a state of dispute with Efriam, as is explained in <i>Parshat Vayeishev</i>.<sup>49</sup><i class=""footnote"">This is as it is said (Yesahya, 11:13), “Efriam shall not be jealous of Yehuda, and Yehuda shall not distress Efriam.” These two tribes were always opposing each other, for the force of life that the blessed God gave to Efriam (from Yosef) was of the nature that it always looked to every action regarding its judgment and law, without moving from it. Therefore, when the writings warn Israel against sinning, then the aim of the Torah will be to say (Amos, 5:6), “lest the house of Yosef should prevail like fire,” meaning that they should concern themselves that there should be no opponents to their actions. The root of life for Yehuda, however, is to look to the blessed God regarding the course of every action. Even though he sees where the judgment leans, still he looks to the blessed God in order to see the depth of the truth of the matter. It could be that even though the judgment is true according to the claims of the plaintiffs, yet still it is not at the deepest level of truth, for fear that one would make a false claim.<br>This is as we find (<i>Nedarim</i>, 25a) in the case of Rava’s cane. (One had not paid another a debt, and the other asserted that he had paid it. They told him to swear on a Torah scroll, and before doing so, he said to his lender, “hold my cane,” inside of which he had hidden the amount owed. He then swore on the Torah that all the money he owed he had paid to his hand. Which, of course, only he could know was true. The lender was furious at the apparent false oath and broke the cane, the money spilling onto the floor.) So it is with all matters, and this is the root of life for Yehuda, to look to God in everything and not to act simply in a way that is accepted or habitual. Even though yesterday he acted in such a way, yet anyhow, today he does not want to rely on his former response, only that the blessed God should illuminate His will into him anew. This matter sometimes necessitates even doing something against the law, for “it is a time to do for God, the Torah has been suspended” (Tehillim, 119:126). In this way these two tribes oppose each other. Of the future it is said that, “Efriam will not be jealous of Yehuda, and Yehuda will not distress Efriam.” Then Efriam will not accuse Yehuda for the times when he goes outside of the law. He will not trouble him over this, because the blessed God will show Efriam the intentions of Yehuda, that his intentions are for the sake of Heaven and not for his own benefit. Then, of itself, there will be peace between them.</i>"
"Mei HaShiloach, Parshat Vezot Habracha.32","<i>“… let his hands be sufficient for him, and may You be a help for him against his adversaries.”</i> (Devarim, 33:7)"
"Mei HaShiloach, Parshat Vezot Habracha.33","“Let his hands be sufficient for him” means that he should by himself find enough power in his own hands to be successful in war against his adversaries. “May You be a help for him against his adversaries” means that even in a place where he would not have the power to effect something, that there too he shall receive the salvations of God. This is as our sages said (<i>Chullin</i>, 46a), “[regarding what must be intact in an animal’s liver for it to be kosher] there must be one olive’s size in the region of the gall-bladder and an olive’s size in the most vital place.” The liver is the source of anger that would cause one to take revenge. This is “an olive’s size in the most vital place,” in other words, “let his hands be sufficient for him.” “And an olive’s size in the gall-bladder” means a place where there is absolutely no ablility to act from his own side, and this is “may You be a help for him against his adversaries.” Therefore, the event just preceding this passage from the Gemara reads, “An army once was stationed at Pumbedita. Rabba and Rav Yosef fled the town and were met on the way by Rav Zeira, who said to them, ‘Fugitives! Remember the olive’s bulk of which the Rabbis spoke must be found in the region of the gall-bladder.’” The meaning is that they should have remembered that the blessed God will give His salvations only from His side, even if they did not have the power in to act on their own. Understand deeply."
"Mei HaShiloach, Parshat Vezot Habracha.34","With the help of the One who forms mountains, is completed the order of <i>Devarim</i>."
"Mei HaShiloach, Parshat Vezot Habracha.35","And with the assistance of the One who gives strength, is finished and completed the order of the Torah."
"Mei HaShiloach, Megillat Ruth.1","<i>“Let your eyes be on the field where they are reaping ….”</i> (Ruth, 2:9)"
"Mei HaShiloach, Megillat Ruth.2","“Let your eyes be on the field” means the ability to expand outward. “Where they are reaping” means that surely it will be completed for the good. There is sowing, and there is reaping. “Sowing” is when one first accepts upon himself the yoke of the sovereignty of heaven. At that time he must constrict himself against running after the object of his lust. This is as it is said (in the third section of the <i>Shema</i>, concerning <i>tsitsit, Bamidbar</i>, 15:36), “so you will not seek out after your eyes and after your hearts.” On this it is said in the Tehillim (126:5), “those who sow in tears [will reap in joy].” “Tears” signifies constriction. This is understood in the laws of <i>truma</i> (tithes). The Gemara comments on the verse (<i>Shemot</i>, 22:28), “do not delay in giving the produce of your winepresses (<i>Dima’acha</i> the same as the word for tears, which Rashi says refers to required tithes).” There it says that even one grain of wheat that must be tithed is mixed into a measure of wheat that is exempt, then the whole measure must be tithed.<sup>1</sup><i class=""footnote"">Hence the word for tear, <i>Dima’a</i>, signifies constriction and limitation.</i>"
"Mei HaShiloach, Megillat Ruth.3","This all concerns the time of sowing. However, in the time of reaping, when man’s heart is sufficiently refined, and he only desires that which is God’s will, then man is permitted to extend as befits his will. On this it says, “let your eyes be on the field where they reap,” meaning that in the time of reaping it is permitted to seek out after your eyes.<sup>2</sup><i class=""footnote"">Or, where your desires lead you.</i> “Field” signifies expansion into one’s desires. This is why Eisav was described as (<i>Bereshit</i>, 25:27) “a man of the field,” for he went after his heart with all of his desires. However, when one’s heart is not yet purified, it is forbidden to expand outward. Then at the time when his heart is refined, it is called “the scent of a field that God has blessed.”<sup>3</sup><i class=""footnote"">Which Yitschok said of Yaakov when he blessed him.</i>"
"Mei HaShiloach, Megillat Ruth.4","<i>“God shall pay you for your work, and your reward shall be complete ….”</i> (Ruth, 2:12)"
"Mei HaShiloach, Megillat Ruth.5","In the Midrash on Ruth it is written (Ruth Rabba, 5:4), “Rav Chasa said, [the reward is given] because you will take shelter under the wings of the Divine Presence.” “Your reward shall be complete” means that every action will be called in your name, whether in thought or in deed. Yet truly, the realm of thought is in the hands of the blessed God. Therefore Rav Chasa said, “because you came to take shelter under His wings,” namely, that of your own initiative you came to take refuge with God and to ascribe all your actions to the blessed God. Therefore the blessed God responds in kind, by calling even thoughts<sup>4</sup><i class=""footnote"">Which should be the province of God.</i> the actions of man. This is the meaning of the name of Rav Chasa, for there is a principle that the sages of the Talmud are called in the name of their teaching. <i>Chasa</i>, is directly related to “<i>Chusa</i>—taking refuge,” as in “taking refuge in the shadow of His wings.” This is as it is written in the Midrash (Shir HaShirim Rabba, 23:25), “what is ‘with the crown with which His mother crowned Him.’ (Shir HaShirim 3)? This is likened to a king who loved his daughter so much, that he was not satisfied with calling her ‘daughter’ or ‘sister,’ and could only thoroughly express his love for her when he called her ‘his mother.’ [For there are various verses where God likens Israel to a daughter or a sister, and here in the present verse He calls Israel ‘His mother.’]”"
"Mei HaShiloach, Megillat Ruth.6","Since David haMelech had said (Divrei haYamim 1, 29:14), “all things have come from You, from Your own hand have we given to You,” meaning that he ascribed all the actions of man to the blessed God, for this precisely, “He [God] could thoroughly express his love for her until He called her ‘His mother.’ ” “Mother” means thought (as the mother gives birth to the child, so does thought give birth to action). Thus even the realm of thought will then be called in your name. This is as it is written in the Midrash (<i>Bamidbar</i> Rabba, 12:18), “it told to Moshe concerning the sacrifices which they brought at the inauguration of the Tabernacle, “take from them.”<sup>5</sup><i class=""footnote"">The princes knew what to offer, each a bull, and every two a wagon, which had not even been told to Moshe. Thus Moshe feared that the <i>Shechina</i> had departed from them and rested on the princes. Thus God reassured Moshe, saying, “take from them.” See the Mei HaShiloach, last selection in <i>Parshat Nasso</i>, for more on this.</i> Moshe Rabeynu’s mind had weakened when he saw that the action of the princes. Then the blessed God told him to take that which the princes had brought, for this was the work of their hands. Thus the prince Netanel ben Tsoar had raised (presented) this advice, for he knew that, “God had placed wisdom in his mouth” (Mishlei, 2:6). For this, the matter was called in their name, as explained in its place in <i>Parshat Nasso</i> (last selection)."
"Mei HaShiloach, Megillat Kohellet.1","<i>“It is good to take hold of this, and from this you should not remove your hand ….”</i> (Kohellet, 7:18)"
