"shekalim, Erster Abschnitt.1","<b>M</b><small>OŠE EMPFING DIE</small> T<small>ORA AUF</small>[<small>DEM</small> B<small>ERGE</small>] S<small>INAJ, ÜBERLIEFERTE SIE</small> J<small>EHOŠUA͑</small>, J<small>EHOŠUA͑ DEN</small> Ä<small>LTESTEN, DIE</small> Ä<small>LTESTEN DEN</small> P<small>ROPHETEN UND DIE</small> P<small>ROPHETEN ÜBERLIEFERTEN SIE DEN</small> M<small>ÄNNERN DER</small> G<small>ROSSSYNODE</small>. D<small>IESE SPRACHEN DREI</small> D<small>INGE AUS:</small> S<small>EID BEDÄCHTIG BEIM</small> R<small>ECHTSPRECHEN, BILDET VIELE</small> S<small>CHÜLER AUS, UND ERRICHTET EINEN</small> Z<small>AUN UM DIE</small> T<small>ORA</small><sup>1</sup><i class=""footnote"">fn2668,Durch Verschärfung der Bestimmungen derselben.</i>."
"shekalim, Fünfter Abschnitt.17","XVII. V<small>IER</small> E<small>IGENSCHAFTEN GIBT ES BEI DENEN, DIE VOR DEN</small> G<small>ELEHRTEN SITZEN</small><sup>39</sup><i class=""footnote"">fn2775,Die vorgeschrittener sind als die Jünger, od. Schüler (<span dir=""rtl"">תלמידים</span>), von welchen die Mišna 14 spricht; hei jenen handelt es sich lediglich um das Erfassen u. Vergessen, bei diesen dagegen um das tiefere Eindringen in das Thema des Studiums.</i>: S<small>CHWAMM</small>, T<small>RICHTER</small>, S<small>EIHER UND</small> S<small>CHWINGE</small>. E<small>IN</small> S<small>CHWAMM, DER ALLES AUFSAUGT; EIN</small> T<small>RICHTER, DER AN DER EINEN</small> S<small>TELLE AUFNIMMT UND AN DER ANDEREN</small> S<small>TELLE AUSFLIESSEN LÄSST; EIN</small> S<small>EIHER, DER DEN</small> W<small>EIN AUSFLIESSEN LÄSST UND DIE</small> H<small>EFE BEHÄLT; EINE</small> S<small>CHWINGE, DIE DAS</small> S<small>TAUBMEHL FAHREN LÄSST UND DAS</small> K<small>RAFTMEHL BEHÄLT</small>."
"shekalim, Fünfter Abschnitt.18","XVIII. J<small>EDE</small> L<small>IEBE, DIE VON ETWAS ABHÄNGT, HÖRT AUF, SOBALD DAS ETWAS AUFHÖRT; DIE ABER NICHT VON ETWAS ABHÄNGT, HÖRT NIEMALS AUF</small>. W<small>ELCHES IST BEISPIELSWEISE EINE</small> L<small>IEBE, DIE VON ETWAS ABHÄNGT?</small> D<small>IE</small> L<small>IEBE VON</small> A<small>MNON UND</small> T<small>AMAR<sup>40</sup><i class=""footnote"">fn2776,Cf. iiSam. 13,1ff.</i></small>. U<small>ND DIE NICHT VON ETWAS ABHÄNGT?</small> D<small>IE</small> L<small>IEBE VON</small> D<small>AVID UND</small> J<small>EHONATHAN</small><sup>41</sup><i class=""footnote"">fn2777,Cf. iSam. 19,1ff.</i>."
"shekalim, Fünfter Abschnitt.19","XIX. J<small>EDER</small> S<small>TREIT, DER UM DES</small> H<small>IMMELS WILLEN GEFÜHRT WIRD, HAT BLEIBENDEN</small> E<small>RFOLG; DER NICHT UM DES</small> H<small>IMMELS WILLEN GEFÜHRT WIRD, HAT KEINEN BLEIBENDEN ERFOLG. WELCHES IST BEISPIELSWEISE EIN STREIT UM DES</small> H<small>IMMELS WILLEN?</small> D<small>ER</small> S<small>TREIT ZWISCHEN</small> H<small>ILLEL UND</small> Š<small>AMMAJ</small>. N<small>ICHT UM DES</small> H<small>IMMELS WILLEN?</small> D<small>ER</small> S<small>TREIT</small> Q<small>ORAḤS UND SEINER GANZEN</small> R<small>OTTE</small>."
"shekalim, Fünfter Abschnitt.20","XX. W<small>ER DAS</small> P<small>UBLIKUM ZU VERDIENSTLICHEN</small> H<small>ANDLUNGEN FÜHRT, DEM BLEIBT DIE</small> S<small>ÜNDE FERN, WER ABER DAS</small> P<small>ÜBLIKUM ZUR</small> S<small>ÜNDE VERLEITET, DEM LÄSST MAN NICHT GELINGEN</small>, B<small>USSE ZU TUN</small>. M<small>OŠE WAR SELBST VERDIENSTVOLL UND FÜHRTE DAS</small> P<small>ÜBLIKUM ZU VERDIENSTLICHEN</small> H<small>ANDLUNGEN, DAHER WIRD DAS</small> V<small>ERDIENST DER</small> M<small>ENGE IHM BEIGELEGT, WIE ES HEISST</small>:<sup>42</sup><i class=""footnote"">fn2778,Dt. 33,21.</i><i>die Gerechtigkeit des Herrn hat er geübt, und seine Rechte in Gemeinschaft mit Jisraél</i>. J<small>EROBEA͑M SÜNDIGTE UND VERFÜHRTE DIE</small> M<small>ENGE, DAHER WIRD DIE</small> S<small>ÜNDE DER</small> M<small>ENGE IHM BEIGELEGT, WIE ES HEISST</small>:<sup>43</sup><i class=""footnote"">fn2779,iReg, 15,30,</i><i>wegen der Sünden Jerobea͑ms, des Sohnes> NebaṬts, die er verübt, und zu welchen er Jisraél verleitet hat</i>."
"shekalim, Fünfter Abschnitt.21","XXI. W<small>ER DIE DREI FOLGENDEN</small> E<small>IGENSCHAFTEN HAT, IST VON DEN</small> S<small>CHÜLERN UNSERES</small> V<small>ATERS</small> A<small>BRAHAM, UND WER ANDERE DREI</small> E<small>IGENSCHAFTEN HAT, IST VON DEN SCHÜLERN DES RUCHLOSEN BLLEAM. ELN GUTES AÜGE, BESCHEIDENES GEMÜT UND DEMUTIGER SLNN [KENNZEICHNEN] DIE SCHÜLER</small> A<small>BRAHAMS; EIN BÖSES</small> A<small>UGE, HOCHFAHRENDES</small> G<small>EMÜT UND EIN HOCHFAHRENDER</small> S<small>INN [KENNZEICHNEN] DIE</small> S<small>CHÜLER DES RUCHLOSEN</small> B<small>ILE</small> I<small>M</small>. W<small>ELCHEN</small> U<small>NTERSCHIED GIBT ES ZWISCHEN DEN</small> S<small>CHÜLERN UNSERES</small> V<small>ATERS</small> A<small>BRAHAM UND DEN</small> S<small>CHÜLERN DES RUCHLOSEN</small> B<small>ILEA͑M?</small> D<small>IE</small> S<small>CHÜLER UNSERES</small> V<small>ATERS</small> A<small>BRAHAM GENIESSEN AUF DIESER</small> W<small>ELT UND ERBEN DIE ZUKÜNFTIGE</small> W<small>ELT, DENN ES HEISST</small>:<sup>44</sup><i class=""footnote"">fn2780,Pr. 8,21.</i><i>daß ich diejenigen, die mich lieb haben, Besitztum erben lasse und ihre Schatzkammern fülle;</i> <small>ABER DIE</small> S<small>CHÜLER DES RUCHLOSEN</small> B<small>ILEA͑M ERBEN DAS</small> F<small>EGEFEUER UND SINKEN IN DIE</small> G<small>RUBE DER</small> U<small>NTERWELT, DENN ES HEISST</small>:<sup>45</sup><i class=""footnote"">fn2781,Ps. 55,24.</i><i>du aber, o Gott, wirst sie in die tiefste Grube hinabstürzen; Menschen von Blutgier und Falsch werden ihre Tage nicht auf die Hälfte bringen, ich aber vertraue auf dich.</i>"
"shekalim, Fünfter Abschnitt.22","XXII. J<small>EHUDA B.TEMA SAGTE:</small> S<small>EI MUTIG WIE EIN</small> L<small>EOPARD, BEHEND WIE EIN</small> A<small>DLER, SCHNELL WIE EIN</small> H<small>IRSCH UND HELDHAFT WIE EIN</small> L<small>ÖWE, DEN</small> W<small>ILLEN DEINES</small> V<small>ATERS IM</small> H<small>IMMEL ZU VOLLBRINGEN</small>."
"shekalim, Fünfter Abschnitt.23","XXVIII. E<small>R SAGTE FERNER:</small> D<small>ER</small> F<small>RECHLING FÜR DAS</small> F<small>EGEFEUER UND DER</small> S<small>CHÜCHTERNE FÜR DAS</small> P<small>ARADIES</small>. E<small>S SEI DIR WOHLGEFÄLLIG, O</small> H<small>ERR, UNSER</small> G<small>OTT, DASS IN</small> B<small>ÄLDE, IN UNSEREN</small> T<small>AGEN, DEINE</small> S<small>TADT ERBAUT WERDE, UND LASS UNS DEINER</small> L<small>EHRE TEILHAFTIG WERDEN</small><sup>46</sup><i class=""footnote"">fn2782,Dieser Satz scheint eine Schlußformel des Traktates zu sein.</i>."
"shekalim, Fünfter Abschnitt.24","XXIV. E<small>R SAGTE FERNER:</small> M<small>IT FÜNF</small> J<small>AHREN FÜR [DAS</small> S<small>TUDIUM DER</small>] S<small>CHRIFT, MIT ZEHN FÜR [DAS</small> S<small>TUDIUM DER]</small> M<small>IŠNA, MIT DREIZEHN FÜR</small> [<small>DIE</small> P<small>FLICHT DER</small>] G<small>ESETZESÜBUNG, MIT FÜNFZEHN FÜR</small> [<small>DAS</small> S<small>TUDIUM DES</small>] T<small>ALMUD, MIT ACHTZEHN FÜR DIE</small> H<small>EIRAT, MIT ZWANZIG FÜR DAS</small> S<small>TREBEN</small><sup>47</sup><i class=""footnote"">fn2783,Für die Wahl eines Berufes.</i>, <small>MIT DREISSIG</small> V<small>OLLKRAFT, MIT VIERZIG</small> E<small>LNSICHT, MIT FÜNFZIG</small> R<small>ATVERMÖGEN</small><sup>48</sup><i class=""footnote"">fn2784,Man kann sich nicht mehr aktiv an allen Zweigen des Staatslebens beteiligen.</i>, <small>MIT SECHZIG DAS</small> A<small>LTER, MIT</small> S<small>IEBZIG DAS</small> G<small>REISENALTER, MIT ACHTZIG DAS HOHE</small> A<small>LTER</small><sup>49</sup><i class=""footnote"">fn2785,Wörtl. das Starke, das Hohe, mit Anlehnung an Ps. 90,10.</i>, <small>MIT NEUNZIG GEBÜCKT</small><sup>50</sup><i class=""footnote"">fn2786,]Nach mancher Erkl. <span dir=""rtl"">שוח</span> Grube, man geht der Grube entgegen.</i>, <small>MIT HUNDERT IST MAN WIE TOT UND DER</small> W<small>ELT ENTZOGEN</small>."
"shekalim, Fünfter Abschnitt.25","XXV. B<small>EN</small> B<small>AG</small> B<small>AG SAGTE</small>: W<small>ENDE UND WÜHLE IN IHR</small><sup>51</sup><i class=""footnote"">fn2787,In der Tora.</i>, <small>DENN IN IHR IST ALLES; SCHAUE IN SIE UND WERDE IN IHR ALT UND VERBRAUCHT, UND WEICHE NICHT VON IHR, DENN ES GIBT NICHTS</small> B<small>ESSERES ALS SIE</small>."
"shekalim, Fünfter Abschnitt.26",XXVI. B<small>EN</small> H<small>E</small> H<small>E SAGTE</small>: D<small>ER</small> M<small>ÜHE ENTSPRICHT DER LOHN</small>.
"shekalim, Sechster Abschnitt.1","D<small>IE</small><sup>1</sup><i class=""footnote"">fn2788,Dieser Abschnitt, mit dem besonderen Namen <span dir=""rtl"">פרק קנין תורח</span> (von der Aneignung der Gesetzeskunde), auch als <span dir=""rtl"">פרק רבי מאיר</span> bezeichnet, gehört, wie schon die Einleitung besagt, nicht zum Mišnakanon, gleichwohl befindet er sich in allen, bei dieser Ausgabe benutzten Texten.</i> W<small>EISEN LEHRTEN IN DER</small> S<small>PRACHE DER</small> M<small>IŠNA</small>. G<small>EPRIESEN SEI ER, DER SIE UND IHRE</small> M<small>LŠNA</small> [L<small>EHRE</small>] <small>ERWÄHLT HAT</small>."
"shekalim, Sechster Abschnitt.2","<b>R.</b> M<small>EÍR SAGTE:</small> W<small>ER SICH MIT DER</small> T<small>ORA UM IHRER SELBST WILLEN BEFASST, DEM SIND VIELE</small> D<small>INGE BESCHIEDEN; UND NOCH MEHR, ER IST WÜRDIG, DASS DIE GANZE</small> W<small>ELT NUR SEINETWEGEN BESTEHE</small>. E<small>R HEISST</small> F<small>REUND UND</small> L<small>IEBLING, ER LIEBT</small> G<small>OTT, UND LIEBT DIE</small> M<small>ENSCHEN, ER ERFREUT</small> G<small>OTT UND ERFREUT DIE</small> M<small>ENSCHEN</small>. S<small>IE BEKLEIDET IHNMIT</small> S<small>ANFTMUT UND</small> G<small>OTTESFURCHT UND BEFÄHIGT IHN, GERECHT, FROMM, RECHTSCHAFFEN UND TREU ZU SEIN; SIE HÄLT IHN FERN VON DER</small> S<small>ÜNDE UND FÜHRT IHN DEM</small> V<small>ERDIENSTE ZU; UND DURCH IHN GEWINNEN</small> R<small>AT UND</small> B<small>ELEHRUNG</small>, E<small>INSICHT UND</small> K<small>RAFT, DENN ES HEISST</small>:<sup>2</sup><i class=""footnote"">fn2789,Pr. 8.14.</i><i>mein ist Rat und Belehrung, ich bin Einsicht, mein ist Stärke</i>. S<small>IE GEWÄHRT IHM FERNER</small> K<small>ÖNIGTUM</small>, H<small>ERRSCHAFT UND</small> E<small>RFORSCHUNG DES</small> R<small>ECHTES, UND MAN OFFENBART IHM DIE</small> G<small>EHEIMNISSE DER</small> T<small>ORA</small>. E<small>R WIRD WIE EINE NIE VERSIEGENDE</small> Q<small>UELLE UND WIE EIN FORTWÄHREND WACHSENDER</small> S<small>TROM</small>. E<small>R SEI BESCHEIDEN</small>, L<small>ANGMÜTIG UND NACHSICHTIG, WENN ER GEKRÄNKT WIRD</small>. S<small>IE ERHEBTIHN ÜBER ALLE</small> W<small>ESEN</small>."
"shekalim, Sechster Abschnitt.3","II. R. J<small>EHOŠUA͑ B</small>. L<small>EVI SAGTE :</small> T<small>AG FÜR</small> T<small>AG ERTÖNT EINE</small> H<small>ALLSTIMME VOM</small> B<small>ERGE</small> Ḥ<small>OREB</small><sup>3</sup><i class=""footnote"">fn2790,An dem das Gesetz verliehen wurde.</i> <small>UND RUFT UND SPRICHT:</small> W<small>EHE DEN</small> M<small>ENSCHEN OB DER</small> K<small>RÄNKUNG DER</small> T<small>ORA</small>. W<small>ER SICH NICHT MIT DER</small> T<small>ORA BEFASST, HEISST EIN</small> V<small>ERWIESENER, DENN ES HEISST</small>: <sup>4</sup><i class=""footnote"">fn2791,Pr. 11,22.</i><i>wie ein goldener Ring am Rüssel eines Schweines, so eine schöne Frau, die nicht von Schicklichkeit weiß</i><sup>5</sup><i class=""footnote"">fn2792,Wie dies aus dem Schriftverse gedeutet wird, ist nicht recht klar; viell, wird in den Worten <span dir=""rtl"">נזם זהב באף</span> das W. <span dir=""rtl"">נזוף</span> gefunden. In den Parallelstellen fehlt dieses Zitat.</i>. F<small>ERNER HEISST ES</small>:<sup>6</sup><i class=""footnote"">fn2793,Ex. 32,16.</i><i>es waren die Tafeln ein Werk Gottes und die Schrift eine Gottesschrift, eingegraben [ḥaruth] auf die Tafeln,</i> <small>UND MAN LESE NICHT</small> <i>ḥaruth, sondern ḥieruth</i> [F<small>REIHEIT</small>], <small>DENN EIN</small> F<small>REIER IST NUR DER, DER SICH MIT DER</small> T<small>ORA BEFASST</small>. W<small>ER SICH MIT DER</small> T<small>ORA BEFASST, STEIGT AUCH IN DIE</small> H<small>ÖHE, DENN ES HEISST</small>: <sup>7</sup><i class=""footnote"">fn2794,Num. 21,19.</i><i>vom Geschenke zum Gotteserbe und vom Gotleserbe zu den Höhen</i><sup>8</sup><i class=""footnote"">fn2795,Wörtl. Übersetzung der in diesem Verse genannten Ortsnamen.</i>."
"shekalim, Sechster Abschnitt.4","III. W<small>ER VON SEINEM</small> N<small>ÄCHSTEN NUR EINEN</small> A<small>BSCHNITT, EINEN</small> L<small>EHRSATZ, EINEN</small> S<small>CHRIFTVERS ODER AUCH NUR EINEN</small> B<small>UCHSTABEN LERNT, MUSS IHM</small> E<small>HRUNG ERWEISEN, DENN SO FINDEN</small> W<small>IR ES BEI</small> D<small>AVID, DEM</small> K<small>ÖNIGE VON</small> J<small>ISRAÉL; ER HATTE VON</small> A<small>HITOPHEL NUR ZWEI</small> D<small>INGE GELERNT, UND MACHTE IHN ZU SEINEM MEISTER, HAUPT UND VERTRAUTEN, DENN ES HEISST</small>: <sup>9</sup><i class=""footnote"">fn2796,Ps. 55,14.</i><i>du, ein Mensch meinesgleichen, mein Haupt und mein Vertrauter</i>. E<small>S IST NUN [DURCH EINEN SCHLUSS] VOM LEICHTEREN AUF DAS SCHWERERE ZU FOLGERN: WENN</small> D<small>AVID, DER</small> K<small>ÖNIG VON</small> J<small>ISRAÉL, DER VON</small> A<small>HITOPHEL NUR ZWEI</small> D<small>INGE GELERNT HATTE, IHN DIESERHALB ZU SEINEM</small> M<small>EISTER</small>, H<small>AUPT UND</small> V<small>ERTRAUTEN MACHTE, UM WIEVIEL MEHR MUSS DERJENIGE, DER VON SEINEM</small> N<small>ÄCHSTEN EINEN</small> A<small>BSCHNITT, EINEN</small> L<small>EHRSATZ, EINEN</small> S<small>CHRIFTVERS ODER AUCH NUR EINEN BUCHSTABEN LERNT, DIESEM EHRUNG ERWEISEN</small>. E<small>HRUNG GEBÜHRT NUR DER</small> T<small>ORA, DENN ES HEISST</small>:<sup>10</sup><i class=""footnote"">fn2797,Pr. 3,85.</i><i>Ehre werden die Weisen zum Besitze erhalten;</i> [<small>FERNER</small>:]<sup>11</sup><i class=""footnote"">fn2798,Ib. 28,10.</i><i>die Frommen Gutes ererben</i>, <small>UND UNTER</small> ‘G<small>UTES</small>’ <small>IST NUR DIE</small> T<small>ORA ZU VERSTEHEN, DENN ES HEISST</small>:<sup>12</sup><i class=""footnote"">fn2799,Ib. 4,2.</i><i>denn eine gute Lehre Gebe Ich Euch, verlaßt meine Tora nicht</i>."
"shekalim, Sechster Abschnitt.5","IV. D<small>IES IST DER RICHTIGE</small> W<small>EG [ZUR</small> E<small>RWERBUNG] DER</small> T<small>ORA:</small> B<small>ROT MIT</small> S<small>ALZ ESSEN</small>, W<small>ASSER NACH</small> M<small>ASS TRINKEN, AUF DER</small> E<small>RDE SCHLAFEN, EIN</small> L<small>EBEN DER</small> E<small>NTBEHRUNG FÜHREN UND SICH MIT DER</small> T<small>ORA ABMÜHEN; TUST DU ALSO, DANN HEIL DIR UND WOHL DIR; HEIL DIR AUF DIESER</small> W<small>ELT UND WOHL DIR IN DER ZUKÜNFTIGEN</small> W<small>ELT</small>."
"shekalim, Sechster Abschnitt.6","V. S<small>TREBE NICHT NACH</small> W<small>ÜRDE UND GELÜSTE NICHT NACH</small> E<small>HRE, DIE DEIN</small> S<small>TUDIUM ÜBERSTEIGT</small>. G<small>ELÜSTE NICHT NACH DER</small> T<small>AFEL DER</small> K<small>ÖNIGE, DENN DEINE</small> T<small>AFEL STEHT HÖHER ALS IHRE, UND GRÖSSER IST DEINE</small> K<small>RONE ALS IHRE</small>. U<small>ND DEIN</small> A<small>RBEITSHERR IST ZUVERLÄSSIG, DASS ER DIR DEN</small> L<small>OHN DEINER</small> A<small>RBEIT BEZAHLEN WERDE</small>."
"shekalim, Sechster Abschnitt.7","VI. B<small>EDEUTENDER IST DIE</small> T<small>ORA ALS DAS</small> P<small>RIESTERTUM UND DAS</small> K<small>ÖNIGTUM, DENN DAS</small> K<small>ÖNIGTUM WIRD DURCH DREISSIG</small> B<small>EDINGUNGEN<sup>13</sup><i class=""footnote"">fn2800,Cf. iSam. 8,10ff. u. hierzu kommen noch die für den König geltenden Ausnahmegesetze; cf. Syn. Fol. 18a.</i>ERWORBEN, DAS</small> P<small>RIESTERTUM WIRD DURCH VIERUNDZWANZIG</small> B<small>EDINGUNGEN<sup>14</sup><i class=""footnote"">fn2801,Gemeint sind hier die priesterl. Abgaben, die zusammen 24 betragen.</i>ERWORBEN, DIE TORA ABER DURCH ACHTUNDVIERZIG, UND ZWAR: DURCH STUDIUM, DURCH</small> L<small>AUSCHEN DES</small> O<small>HRES, DURCH</small> R<small>ICHTUNG DER</small> L<small>IPPEN, DURCH</small> E<small>INSICHT DES</small> H<small>ERZENS, DURCH</small> V<small>ERSTAND DES</small> H<small>ERZENS, DURCH</small> E<small>HRFURCHT, DURCH</small> S<small>ÜNDENSCHEU, DURCH</small> D<small>EMUT, DURCH</small> F<small>REUDIGKEIT, DURCH</small> V<small>ERKEHR MIT</small> G<small>ELEHRTEN, DURCH</small> B<small>ESPRECHUNG MIT</small> K<small>OLLEGEN, DURCH</small> E<small>RÖRTERUNG MIT</small> S<small>CHÜLERN, DURCH ÜBERLEGUNG, DURCH</small> L<small>ESEN DER</small> S<small>CHRIFT, DURCH</small> S<small>TUDIEREN DER</small> M<small>IŠNA, DURCH</small> B<small>ESCHRÄNKUNG DES</small> H<small>ANDELS, DURCH</small> B<small>ESCHRÄNKUNG DES</small> S<small>CHLAFES, DURCH</small> B<small>ESCHRÄNKUNG DER</small> G<small>ENÜSSE, DURCH</small> B<small>ESCHRÄNKUNG DES</small> S<small>CHERZENS, DURCH</small> B<small>ESCHRÄNKUNG DES</small> U<small>MGANGES<sup>15</sup><i class=""footnote"">fn2802,Unter <span dir=""rtl"">דרך ארץ</span> ist wahrscheinl. der eheliche Umgang zu verstehen, in welchem Sinne dies Wort auch sonst gebraucht wird; viell, aber der Umgang mit Menschen.</i>, DURCH</small> G<small>EDULD, DURCH EIN GUTES</small> H<small>ERZ, DURCH</small> V<small>ERTRAUEN AUF DIE</small> G<small>ELEHRTEN UND DURCH</small> E<small>RTRAGEN VON</small> L<small>EIDEN</small>. M<small>AN MUSS FERNER SEINEN</small> P<small>LATZ KENNEN, MIT SEINEM</small> A<small>NTEIL FROH SEIN, SEINE</small> W<small>ORTE MIT EINEM</small> Z<small>AUNE UMHEGEN, SICH NICHTS ZUGUTE TUN, BELIEBT SEIN</small>, G<small>OTT LIEBEN, DIE</small> M<small>ENSCHEN LIEBEN, DIE</small> G<small>ERECHTIGKEIT LIEBEN, DIE</small> Z<small>URECHTWEISUNGEN LIEBEN, DIE</small> R<small>EDLICHKEIT LIEBEN, SICH VON</small> E<small>HRUNGEN FERN HALTEN, NICHT STOLZ AUF SEIN STUDIUM SEIN, SICH NICHT AUF SEIN LEHRAMT FREUEN, MIT SEINEM</small> N<small>ÄCHSTEN DER</small> L<small>AST TRAGEN, IHN NACH DER GUTEN</small> S<small>EITE BEURTEILEN, IHN AUF DIE</small> W<small>AHRHEIT BRINGEN UND IHN ZUM</small> F<small>RIEDEN VERANLASSEN</small>. M<small>AN SOLL FERNER BEIM</small> L<small>ERNEN ÜBERLEGT SEIN, FRAGEN UND ANTWORTEN</small>, H<small>ÖREN UND</small> [<small>AN</small> W<small>ISSEN</small>] <small>ZUNEHMEN, LERNEN, UM ZU LEHREN, LERNEN, UM DANACH ZU HANDELN, SEINEN</small> L<small>EHRER WEISE MACHEN, DAS</small> G<small>EHÖRTE GENAU WIEDERGEBEN UND ALLES IM</small> N<small>AMEN SEINES</small> U<small>RHEBERS</small><sup>16</sup><i class=""footnote"">fn2803,Auch wenn <span dir=""rtl"">שואל ומשיב</span> u. ebenso <span dir=""rtl"">שומע ומוסיף</span> zusammen gehören, sind es 49 Aufzählungen; in manchem Texte fehlt <span dir=""rtl"">אוהב את הצדקות</span>, dagegen kommt ,<span dir=""rtl"">מיעוט שיחה</span> hinzu.</i><small>SAGEN</small>. D<small>U LERNST ALSO, WER ETWAS IM</small> N<small>AMEN SEINES</small> U<small>RHEBERS SAGT, BRINGE</small> E<small>RLÖSUNG ÜBER DIE</small> W<small>ELT, DENN ES HEISST</small>:<sup>17</sup><i class=""footnote"">fn2804,Est. 2,22.</i><i>da sagte es Ester dem Könige im Namen Mordekhajs</i>."
"shekalim, Sechster Abschnitt.8","VII. B<small>EDEUTEND IST DIE</small> T<small>ORA, DASS SIE DENEN, DIE NACH IHR HANDELN</small>, L<small>EBEN GEWÄHRT AUF DIESER</small> W<small>ELT UND IN ZUKÜNFTIGER</small> W<small>ELT, DENN ES HEISST</small>:<sup>18</sup><i class=""footnote"">fn2805,Pr. 4,22.</i><i>denn sie sind Leben für die, die sie finden, und Gesundung für ihren ganzen Leib</i>. F<small>ERNER HEISST ES</small>:<sup>19</sup><i class=""footnote"">fn2806,Ib. 3,8.</i><i>sie wird eine Heilang für deinen Leib sein und deine Knochen erquicken</i>. F<small>ERNER HEISST ES</small>:<sup>20</sup><i class=""footnote"">fn2807,Ib. 3,18.</i><i>sie ist ein Lebensbaum für die, die sie ergreifen, und wer sie festhält, ist beglückt.</i> F<small>ERNER HEISST ES</small>:<sup>21</sup><i class=""footnote"">fn2808,Ib. 1,9.</i><i>denn ein lieblicher Kranz sind sie für dein Haupt, und ein Kettenschmuck an deinem Halse.</i> F<small>ERNER HEISST ES</small>:<sup>22</sup><i class=""footnote"">fn2809,Ib. 4,9.</i><i>sie wird einen lieblichen Kranz um dein Haupt winden, eine prächtige Krone wird sie dir bescheren</i>. F<small>ERNER HEISST ES</small>:<sup>23</sup><i class=""footnote"">fn2810,Ib. 3,16.</i><i>langes Leben ist in ihrer Rechten, in ihrer Linken Reichtum und Ehre</i>. F<small>ERNER HEISST ES</small>: <sup>24</sup><i class=""footnote"">fn2811,Ib. V. 2.</i><i>denn Lebensdauer und Jahre des Lebens und Wohlfahrt xoerden sie dir mehren</i>."
"shekalim, Sechster Abschnitt.9","VIII. R. Š<small>IMO͑N B</small>. M<small>ENASJA SAGTE IM</small> N<small>AMEN DES</small> R. Š<small>IMO͑N B</small>. J<small>OḤAJ:</small> S<small>CHÖNHEIT</small>, K<small>RAFT</small>, R<small>EICHTUM</small>, E<small>HRE</small>, W<small>EISHEIT</small>, A<small>LTER</small>, G<small>REISENALTER UND</small> K<small>INDERSEGEN GEBÜHRT DEN</small> F<small>ROMMEN, UND SO GEBÜHRT ES SICH FÜR DIE</small> W<small>ELT, DENN ES HEISST</small>:<sup>25</sup><i class=""footnote"">fn2812,Ib. 16,31.</i><i>eine krone des Schmuckes ist das Greisenhaupt, auf dem Wege der Frömmigkeit wird sie erlangt</i>. F<small>erner heisst es</small>:<sup>26</sup><i class=""footnote"">fn2813,Ib. 17,6.</i><i>der Alten Krone sind Kindeskinder, und der Kinder Ruhm sind ihre Väter</i>. F<small>ERNER HEISST ES</small>:<sup>27</sup><i class=""footnote"">fn2814,Ib. 20,29.</i><i>der Jünglinge Ruhm ist ihre Stärke, und der Greise Schmuck ist das Greisenhaupt</i>. F<small>ERNER HEISST ES</small>:<sup>28</sup><i class=""footnote"">fn2815,Jes. 24,23.</i><i>und der Mond wird sich schämen und die Sonne zu Schanden werden; denn der Herr der Heerscharen wird die Königsherrschaft auf dem Berge Çijon und in Jerušalem antreten, und vor seinen Ältesten die Herrlichkeit</i>."
"shekalim, Sechster Abschnitt.10","IX. R. Š<small>IMO͑N B</small>. M<small>ENASJA SAGTE :</small> D<small>IESE SIEBEN</small> D<small>INGE, DIE DIE</small> W<small>EISEN FÜR DIE</small> F<small>ROMMEN AUFGEZÄHLT HABEN, SIND SÄMTLICH BEI</small> R<small>ABBI UND SEINEN</small> K<small>INDERN VERWIRKLICHT WORDEN</small>."
