Genesis 1 1,"At the beginning of God’s creating<br>of the heavens and the earth,"
Numbers 32 30,"But if the drafted [warriors] do not cross over with you,<br>they will receive-holdings with you in the land of Canaan."
Numbers 32 31,"The Sons of Gad and the Sons of Re’uven answered, saying:<br>What <small>YHWH</small> has spoken to your servants, thus will we do:"
Numbers 32 32,"we ourselves will cross over, as drafted men, before <small>YHWH</small>, into the land of Canaan;<br>[remaining] with us [will be] our inherited holding, across the Jordan."
Numbers 32 33,"So Moshe gave to them, to the Sons of Gad, the Sons of Re’uven, and half the tribe of Menashe son of Yosef,<br>the kingdom of Sihon king of the Amorites,<br>and the kingdom of Og king of Bashan,<br>the land as regards its towns in the territories, the towns of the land all around."
Numbers 32 34,"And the Sons of Gad rebuilt Divon, Atarot, and Aro’er,"
Numbers 32 35,"Aterot Shofan, and Ya’zer and Yogbeha,"
Numbers 32 36,"and Bet Nimra and Bet Haran,<br>as fortified cities and as fences for flocks."
Numbers 32 37,"And the Sons of Re’uven rebuilt Heshbon and El’alei<br>and Kiryatayim,"
Numbers 32 38,"and Nevo and Baal Me’on—of changed name—<br>and Sivma;<br>and they called them by [other] names,<br>the names of the towns that they built."
Numbers 32 39,"Then went out the Sons of Makhir son of Menashe, to Gil’ad,<br>they captured it <br>and dispossessed the Amorites that were in it."
Numbers 32 40,"And Moshe gave Gil’ad to Makhir son of Menashe,<br>and he settled there."
Numbers 32 41,"And Ya’ir son of Menashe marched out<br>and captured their villages,<br>he called them Havvot-Ya’ir/Fortified-Villages of Ya’ir."
Numbers 32 42,"And Novah went out<br>and captured Kenat and its daughter-towns,<br>and he called it Novah, after his [own] name."
Numbers 33 1,"These are the marching-stages of the Children of Israel that they went on<br>from the land of Egypt, by their forces,<br>through the hand of Moshe and Aharon."
Numbers 33 2,"Moshe wrote down their departures, by their marching-stages, by order of <small>YHWH</small>.<br>Now these are their marching-stages, by their departures:"
Numbers 33 3,"they marched from Ra’mses, in the first month,<br>on the fifteenth day of the first month;<br>on the morrow of the Passover-meal<br>the Children of Israel departed with a high hand, before the eyes of all Egypt,"
Numbers 33 4,"while Egypt was burying those whom <small>YHWH</small> had struck down among them, all the firstborn,<br>and on their gods, <small>YHWH</small> had rendered judgment."
Numbers 33 5,"And the Children of Israel marched on from Ra’mses, and encamped at Sukkot;"
Numbers 33 6,"they marched on from Sukkot, and encamped at Eitam, which is at the edge of the wilderness."
Numbers 33 7,"And they marched on from Eitam and turned toward Pi-Ha-Hirot, that [runs] along the face of Baal Tzefon,<br>and encamped before Migdol."
Numbers 33 8,"They marched on from Penei Ha-Hirot and crossed in the midst of the Sea into the wilderness;<br>then they marched a journey of three days into the Wilderness of Eitam,<br>and encamped at Mara."
Numbers 33 9,"They marched on from Mara and came to Eilim;<br>now in Eilim [were] twelve springs of water and seventy palms,<br>and they encamped there."
Numbers 33 10,"They marched on from Eilim, and encamped by the Sea of Reeds."
Numbers 33 11,"They marched on from the Sea of Reeds, and encamped in the Wilderness of Syn."
Numbers 33 12,"They marched on from the Wilderness of Syn, and encamped at Dofka."
Numbers 33 13,"They marched on from Dofka, and encamped at Alush."
Numbers 33 14,"They marched on from Alush, and encamped at Refidim,<br>but there was no water there for the people to drink."
Numbers 33 15,"They marched on from Refidim, and encamped in the Wilderness of Sinai."
Numbers 33 16,They marched on from the Wilderness of Sinai and encamped at Kivrot Ha-Taava.
Numbers 33 17,"They marched on from Kivrot Ha-Taava, and encamped at Hatzerot."
Numbers 33 18,"They marched on from Hatzerot, and encamped at Ritma."
Numbers 33 19,"They marched on from Ritma, and encamped at Rimmon Peretz."
Numbers 33 20,"They marched on from Rimmon Peretz, and encamped at Livna."
Numbers 33 21,"They marched on from Livna, and encamped at Rissa."
Numbers 33 22,"They marched on from Rissa, and encamped at Kehelata."
Numbers 33 23,"They marched on from Kehelata, and encamped at Mount Shefer."
Numbers 33 24,"They marched on from Mount Shefer, and encamped at Harada."
Numbers 33 25,"They marched on from Harada, and encamped at Mak’helot."
Numbers 33 26,"They marched on from Mak’helot, and encamped at Tahat."
Numbers 33 27,"They marched on from Tahat, and encamped at Terah."
Numbers 33 28,"They marched on from Terah, and encamped at Mitka."
Numbers 33 29,"They marched on from Mitka, and encamped at Hashmona."
Numbers 33 30,"They marched on from Hashmona, and encamped at Moserot."
Numbers 33 31,"They marched on from Moserot, and encamped at Benei Ya’kan."
Numbers 33 32,"They marched on from Benei Ya’kan, and encamped at Hor Ha-Gidgad."
Numbers 33 33,"They marched on from Hor Ha-Gidgad, and encamped at Yotvata."
Numbers 33 34,"They marched on from Yotvata, and encamped at Avrona."
Numbers 33 35,"They marched on from Avrona, and encamped at Etzyon Gever."
Numbers 33 36,"They marched on from Etzyon Gever, and encamped in the Wilderness of Tzyn—that is Kadesh."
Numbers 33 37,"They marched on from Kadesh, and encamped at Hill’s Hill, at the edge of the land of Edom."
Numbers 33 38,"Now Aharon the priest went up on Hill’s Hill, by order of <small>YHWH</small>,<br>and died there,<br>in the fortieth year after the going out of the Children of Israel from the land of Egypt,<br>in the fifth month, on the first of the month."
Numbers 33 39,Aharon was three and twenty and a hundred years old<br>when he died at Hill’s Hill.
Numbers 33 40,"Now the Canaanite, the king of Arad <br>—he sat [as ruler] in the Negev, in the land of Canaan—heard of the coming of the Children of Israel."
Numbers 33 41,"They marched on from Hill’s Hill, and encamped at Tzalmona."
Numbers 33 42,"They marched on from Tzalmona, and encamped at Punon."
Numbers 33 43,"They marched on from Punon, and encamped at Ovot."
Numbers 33 44,"They marched on from Ovot, and encamped at Iyyei Ha-Avarim, in the territory of Moav."
Numbers 33 45,"They marched on from Iyyim, and encamped at Divon Gad."
Numbers 33 46,"They marched on from Divon Gad, and encamped at Almon Divlatayim."
Numbers 33 47,"They marched on from Almon Divlatayim, and encamped in the highlands of the Avarim/The Region-Across, facing Nevo."
Numbers 33 48,"They marched on from the highlands of the Avarim and encamped in the Plains of Moav, by Jordan-Jericho."
Numbers 33 49,"And they encamped along the Jordan, from Bet Yeshimot as far as Avel Shittim/Acacia Meadow,<br>in the Plains of Moav."
Numbers 33 50,"<small>YHWH</small> spoke to Moshe in the Plains of Moav,<br>by Jordan-Jericho, saying:"
Numbers 33 51,"Speak to the Children of Israel, and say to them:<br>When you cross the Jordan into the land of Canaan,"
Numbers 33 52,"you are to dispossess all the settled-folk of the land from before you.<br>You are to destroy all their figured-objects,<br>all their molten images you are to destroy,<br>all their sanctuaries you are to wipe out,"
Numbers 33 53,"that you may take possession of the land and settle in it,<br>for to you I have given the land, to possess it."
Numbers 33 54,"You shall arrange-inheritance of the land by lots, according to your clans: <br>for the many, you are to make-much their inheritance,<br>for the few, you are to make-little their inheritance&mdash;<br>wherever the lot comes out for them there, [so] shall theirs be;<br>by the tribes of your fathers you are to receive-inheritance."
Numbers 33 55,"But if you do not dispossess the settled-folk of the land from before you,<br>those who are left of them shall be<br>as barbs in your eyes, and as spines in your sides;<br>they will harrass you on the land that you are settling in,"
Numbers 33 56,"and it shall be:<br>as I intended to do to them, so I will do to you!"
Numbers 34 1,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 34 2,"Command the Children of Israel and say to them:<br>When you enter the land, Canaan,<br>this is the land that will fall to you as an inheritance,<br>the land of Canaan by its borders:"
Numbers 34 3,"the Negev limit will be for you from the Wilderness of Tzyn alongside Edom;<br>the Negev border will be for you from the edge of the Sea of Salt, on the east;"
Numbers 34 4,"the border will then turn for you from the Negev-side of Scorpions’ Pass, crossing on to Tzyn;<br>its outer-reaches will be from the Negev-side of Kadesh Barne’a,<br>[then] going out to Hatzar Addar and crossing on to Atzmon."
Numbers 34 5,"The border will then turn from Atzmon toward the Wadi of Egypt,<br>its outer-reaches will be at the Sea."
Numbers 34 6,As the seaward border will be for you the Great Sea and [its own] border;<br>this will be for you the seaward border.
Numbers 34 7,And this will be for you the northern border:<br>from the Great Sea you are to mark yourselves [a line] to Hill’s Hill.
Numbers 34 8,"From Hill’s Hill you are to mark going to Hamat,<br>and the outer-reaches of the border shall be at Tzedad."
Numbers 34 9,"Then the border will go out to Zifron,<br>and its outer-reaches will be Hatzar Einan;<br>this will be for you the northern border."
Numbers 34 10,"And you are to mark for yourselves, for the border eastward:<br>from Hatzar Einan to Shefam."
Numbers 34 11,"And the border will go down from Shefam to Rivla, on the east of Ayin/The Spring,<br>then the border will go down and brush the shoulder of the Sea of Kinneret, eastward,"
Numbers 34 12,"then the border will go down along the Jordan,<br>and its outer-reaches will be the Sea of Salt.<br>This will be the land for you, in its borders all around!"
Numbers 34 13,"So Moshe commanded the Children of Israel, saying:<br>This is the land for which you are to arrange-inheritance by lot,<br>that <small>YHWH</small> commanded to be given to the nine tribes and the half tribe."
Numbers 34 14,"For the tribe of the Sons of the Re’uvenites, according to their Fathers’ House,<br>and the tribe of the Sons of the Gadites, according to their Fathers’ House,<br>and half of the tribe of Menashe<br>have [already] taken their inheritance;"
Numbers 34 15,"two tribes and the half tribe<br>have taken their inheritance across from Jordan-Jericho,<br>eastward, toward sunrise."
Numbers 34 16,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 34 17,"These are the names of the men that will arrange-for-your-inheritance of the land:<br>El’azar the priest and Yehoshua son of Nun,"
Numbers 34 18,"and one leader, one leader per tribe you are to take for arranging-inheritance of the land."
Numbers 34 19,And these are the names of the men:<br>of the tribe of Yehuda: Calev son of Yefunne
Numbers 34 20,Of the tribe of the Sons of Shim’on: Shemuel son of Ammihud.
Numbers 34 21,Of the tribe of Binyamin: Elidad son of Kislon.
Numbers 34 22,"Of the tribe of the Sons of Dan, leader: Bukki son of Yogli."
Numbers 34 23,"Of the Sons of Yosef:<br>of the tribe of the Sons of Menashe, leader: Hanniel son of Efod,"
Numbers 34 24,"of the tribe of the Sons of Efrayim, leader: Kemiel son of Shiftan."
Numbers 34 25,"Of the tribe of the Sons of Zevulun, leader: Elitzafan son of Parnakh."
Numbers 34 26,"Of the tribe of the Sons of Yissakhar, leader: Paltiel son of Azzan."
Numbers 34 27,"Of the tribe of the Sons of Asher, leader: Ahihud son of Shelomi."
Numbers 34 28,"Of the tribe of the Sons of Naftali, leader: Pedah’el son of Ammihud."
Numbers 34 29,"These [are they] whom <small>YHWH</small> commanded to parcel-out-inheritance for the Children of Israel, in the land of Canaan."
Numbers 35 1,"<small>YHWH</small> spoke to Moshe, in the Plains of Moav,<br>by Jordan-Jericho, saying:"
Numbers 35 2,"Command the Children of Israel,<br>that they may give over to the Levites, from their inherited holdings, towns to settle in,<br>and pasture-land for the towns around them, give to the Levites."
Numbers 35 3,"The towns shall be for them to settle in,<br>and their pasture-lands shall be for their cattle, their property and for all their animals."
Numbers 35 4,"And the pasture-lands of the towns that you give to the Levites [shall be]<br>from the wall of the town and outward, a thousand cubits all around;"
Numbers 35 5,"you are to measure outside the city, the eastern limit: two thousand by the cubit,<br>and the Negev limit, two thousand by the cubit,<br>and the seaward limit, two thousand by the cubit,<br>and the northern limit, two thousand by the cubit,<br>with the town in the middle.<br>This shall be for them the pasture-lands of the towns."
Numbers 35 6,"And with the towns that you give to the Levites,<br>with the six towns of asylum that you give for fleeing-to for the [accidental] murderer—<br>along with them you are to give forty-two towns."
Numbers 35 7,"All the towns that you are to give the Levites:<br>forty-eight towns,<br>them and their pasture-lands."
Numbers 35 8,"And the towns that you give [them] from the holdings of the Children of Israel—<br>from those that have-many you are to take-many, from those that have-few you are to take-few;<br>each one according to his inheritance that they receive-as-inheritance<br>is to give of its towns for the Levites."
Numbers 35 9,"<small>YHWH</small> spoke to Moshe, saying:"
Numbers 35 10,"Speak to the Children of Israel and say to them:<br>When you cross over the Jordan, into the land of Canaan:"
Numbers 35 11,"You are to select for yourselves [certain] towns&mdash;<br>towns of asylum shall they be for you,<br>for fleeing-to for the [accidental] murderer, one who strikes down a life in error."
Numbers 35 12,"The towns shall be for you for asylum from the [blood] redeemer,<br>that the murderer not die<br>until he can come before the community for judgment."
Numbers 35 13,And the towns that you provide—<br>six towns of asylum shall there be for you.
Numbers 35 14,"Three of the towns you are to provide across the Jordan,<br>and three of the towns you are to provide in the land of Canaan<br>&mdash;towns of asylum they are to be&mdash;"
Numbers 35 15,"for the Children of Israel, for the sojourner and for the temporary-settler among them,<br>these six towns are to be for asylum,<br>for fleeing to for anyone who strikes down a person in error."
Numbers 35 16,"But if with an iron instrument he struck him down, so that he died,<br>he is a murderer:<br>put to death, put to death must the murderer be!"
Numbers 35 17,"And if with a stone in hand through which one can die he struck him down, so that he died,<br>he is a murderer: <br>put to death, put to death must the murderer be!"
Numbers 35 18,"Or with a wooden tool in hand through which one can die he struck him down, <br>so that he died,<br>he is a murderer:<br>put to death, put to death must the murderer be!"
Numbers 35 19,"As for the blood redeemer—<br>he may put to death the murderer,<br>upon meeting him, he may put him to death."
Numbers 35 20,"Now if in hatred he pushed him,<br>or threw [something] at him lying-in-wait, so that he died,"
Numbers 35 21,"or in enmity struck him with his hand, so that he died,<br>put to death, put to death must the striker be&mdash;<br>he is a murderer:<br>the blood redeemer may put the murderer to death, upon meeting him."
Numbers 35 22,"But if with suddenness, with no [previous] enmity, he pushed him,<br>or threw at him any tool, without lying-in-wait,"
Numbers 35 23,"or with any stone tool through which one can die, without seeing [him],<br>he dropped it on him, so that he died<br>—now he was not his enemy, not one seeking his ill—"
Numbers 35 24,"the community is to judge between the striker and the blood redeemer,<br>according to these regulations;"
Numbers 35 25,"the community is to rescue the murderer from the hand of the blood redeemer,<br>and the community is to return him to his town of asylum, to which he fled;<br>he is to stay in it until the death of the Great Priest<br>who was anointed with the oil of holiness."
Numbers 35 26,"But if the murderer goes out, yes, goes out<br>from the border of his town of asylum, whence he fled,"
Numbers 35 27,"and the blood redeemer finds him, outside the border of his town of asylum,<br>the blood redeemer may murder the murderer;<br>he has no bloodguilt."
Numbers 35 28,"For in his town of asylum he must stay, until the death of the Great Priest;<br>after the death of the Great Priest<br>the murderer may return to the land of his holding."
Numbers 35 29,"These shall be for you<br>as a law of procedure into your generations, throughout all your settlements:"
Numbers 35 30,"whoever strikes down a life,<br>at the mouth of witnesses [only] may a murderer be murdered;<br>one witness [alone] may not testify against the person, to have-him-put-to-death."
Numbers 35 31,"You are not to accept a ransom for the life of a murderer,<br>since he is culpable, [deserving] the death-penalty;<br>indeed, he is to be put to death, put to death!"
Numbers 35 32,"And you are not to accept a ransom<br>for fleeing to his town of asylum,<br>for returning to settle in the land,<br>until the death of the Great Priest."
Numbers 35 33,"You are not to corrupt the land that you are in,<br>for the blood—it will corrupt the land,<br>and the land will not be purged of the blood that has been shed upon it<br>except through the blood of him who shed it."
Numbers 35 34,"You are not to make-<i>tamei</i> the land in which you are settling,<br>in whose midst I dwell,<br>for I am <small>YHWH</small>,<br>Dweller in the midst of Israel!"
Numbers 36 1,"There came near the heads of the Fathers’ [Houses] of a clan of the Sons of Gil’ad son of Makhir son of Menashe, of the clans of the Sons of Yosef;<br>they spoke before Moshe and before the leaders,<br>the heads of the Father[s’ Houses] of the Children of Israel,"
Numbers 36 2,"they said:<br>It is my lord that <small>YHWH</small> has commanded to give out the land as inheritance, by lot, to the Children of Israel,<br>and my lord was commanded by <small>YHWH</small> to give out the inheritance of Tzelofhad our brother, to his daughters."
Numbers 36 3,"Now should they be for one of the members of [another] tribe of the Children of Israel as wives,<br>their inheritance will be diminished from the inheritance of their fathers<br>and be added to the inheritance of the tribe for whom they become [wives];<br>from our allotted inheritance it will be diminished!"
Numbers 36 4,"And when there is a Homebringing for the Children of Israel<br>and their inheritance is added to the inheritance of the tribe for which they are [wives]<br>from the inheritance of our fathers’ tribe,<br>their inheritance will be diminished!"
Numbers 36 5,"So Moshe commanded the Children of Israel by order of <small>YHWH</small>, saying:<br>Rightfully has the tribe of the Sons of Yosef spoken!"
Numbers 36 6,"This is the word that <small>YHWH</small> commands concerning the daughters of Tzelofhad, saying:<br>For those good in their eyes, they may become wives;<br>however, [only] for a clan from the tribe of their father, may they become wives."
Numbers 36 7,"The inheritance of the Children of Israel is not to go round from tribe to tribe;<br>indeed, each one to the inheritance of his father’s tribe is to cleave, [among] the Children of Israel."
Numbers 36 8,"And every daughter who comes-into-possession of inheritance from the tribes of the Children of Israel—<br>for someone from the clan of her father’s tribe she must become a wife,<br>in order that the Children of Israel may remain-in-possession, each one, of the inheritance of his fathers."
Numbers 36 9,"There shall not go round the inheritance of a tribe to another tribe;<br>indeed, each to his inheritance is to cleave, [among] the tribes of the Children of Israel."
Numbers 36 10,"As <small>YHWH</small> had commanded Moshe,<br>thus the daughters of Tzelofhad did."
Numbers 36 11,"They became&mdash; Mahla, Tirtza, Hogla, Milka and No’a, the daughters of Tzelofhad&mdash;wives for the sons of their uncles,"
Numbers 36 12,"in the clans of the Sons of Menashe son of Yosef they became wives,<br>so that their inheritance went along with the tribe of the clan of their father."
Numbers 36 13,"These are the commandments and the regulations <br>that <small>YHWH</small> commanded by the hand of Moshe to the Children of Israel, <br>in the Plains of Moav, by Jordan-Jericho."
Deuteronomy 1 1,"These are the words that Moshe spoke to all Israel<br>in [the country] across the Jordan<br>in the wilderness, in the plains near Suf,<br>between Paran and Tofel, Lavan, Hatzerot, and Di-Zahav—"
Deuteronomy 1 2,"eleven days [it is] from Horev, by the route of Mount Se’ir, [going] by Kadesh-Barne’a."
Deuteronomy 1 3,"And it was in the fortieth year,<br>in the eleventh month, on [day] one of the month:<br>Moshe spoke to the Children of Israel<br>exactly as <small>YHWH</small> had commanded him concerning them,"
Deuteronomy 1 4,"after he had struck<br>Sihon king of the Amorite, who sat [as ruler] in Heshbon,<br>and Og king of Bashan, who sat [as ruler] in Ashtarot, in Edre’i."
Deuteronomy 1 5,"In [the country] across the Jordan, in the land of Moav,<br>Moshe set about to explain this Instruction, saying:"
Deuteronomy 1 6,"<small>YHWH</small> our God spoke to us at Horev, saying:<br>Enough for you, staying at this mountain!"
Deuteronomy 1 7,"Face about, march on<br>and come to the Amorite highlands and to all its dwellers<br>in the Plains, the Highlands and the Lowlands, the Negev/Parched-Land and the shore of the Sea,<br>the land of the Canaanite and the Lebanon,<br>as far as the Great River, the river Euphrates."
Deuteronomy 1 8,"See,<br>I give the land before you;<br>enter, take possession of the land<br>about which <small>YHWH</small> swore to your fathers, to Avraham, to Yitzhak, and to Yaakov,<br>to give to them and to their seed after them."
Deuteronomy 1 9,"And I said to you at that time, saying:<br>I am not able, I alone, to carry you;"
Deuteronomy 1 10,"<small>YHWH</small> your God has made-you-many—<br>and here you are today, like the stars in the heavens in abundance!"
Deuteronomy 1 11,"<small>YHWH</small>, the God of your fathers, may he add to you as you are a thousand times,<br>and bless you, as he promised to you!"
Deuteronomy 1 12,"How can I carry, I alone, your load, your burden, your quarreling?"
Deuteronomy 1 13,"Provide yourselves men, wise, understanding and knowledgeable, for your tribes,<br>and I will set them as heads-over-you."
Deuteronomy 1 14,"And you answered me, you said:<br>Good is the word that you have proposed to do!"
Deuteronomy 1 15,"So I took heads of your tribes, men wise and knowledgeable,<br>and I placed them as heads over you,<br>as rulers of thousands, rulers of hundreds, rulers of fifties, and rulers of tens, and as officials for your tribes."
Deuteronomy 1 16,"And I commanded your judges at that time, saying:<br>hear-out [what is] between your brothers;<br>judge with equity between each-man and his brother or a sojourner."
Deuteronomy 1 17,"You are not to [specially-]recognize a face in judgment,<br>as the small, so the great, you are to hear-them-out;<br>you are not to be in fear of any-man,<br>for judgment—it is God’s!<br>And [any] legal-matter too hard for you, bring near to me,<br>and I will hear-it-out."
Deuteronomy 1 18,So I commanded you at that time concerning all the matters that you should do.
Deuteronomy 1 19,"We marched on from Horev<br>and traveled through the whole wilderness, that great and awe-inspiring one that you saw,<br>by the Amorite highland route,<br>as <small>YHWH</small> our God commanded us,<br>and we came as far as Kadesh-Barne’a."
Deuteronomy 1 20,And I said to you:<br>You have come to the Amorite highlands that <small>YHWH</small> our God is giving us.
Deuteronomy 1 21,"See,<br><small>YHWH</small> your God has given this land before you;<br>go up, take possession [of it],<br>as <small>YHWH</small> the God of your fathers promised you.<br>Do not be afraid, do not be dismayed!"
Deuteronomy 1 22,"Then you came near to me, all of you, and said:<br>Let us send men before us<br>that they may explore the land for us<br>and return us word<br>about the route that we should [use to] go up against it<br>and about the towns that we will come to."
Deuteronomy 1 23,"The matter was good in my eyes,<br>and so I took from among you twelve men, one man per tribe."
Deuteronomy 1 24,"They faced about and went up into the hills, and came as far as the Wadi of Clusters<br>and spied it out."
Deuteronomy 1 25,They took in their hand some of the fruit of the land and brought [it] down to us<br>and returned us word; they said:<br>Good is the land that <small>YHWH</small> our God is giving us!
Deuteronomy 1 26,Yet you were not willing to go up;<br>you rebelled against the order of <small>YHWH</small> your God.
Deuteronomy 1 27,"You muttered in your tents; you said:<br>Because of <small>YHWH’S</small> hatred for us he took us out of the land of Egypt,<br>to give us into the hand of the Amorites, to wipe us out!"
Deuteronomy 1 28,"To where are we going up?<br>Our brothers have made our hearts melt, saying:<br>A people greater and taller than we,<br>towns great and fortified to heaven,<br>and even Children of the Anakites we saw there!"
Deuteronomy 1 29,"But I said to you:<br>Do not shake-in-fear, do not be afraid of them!"
Deuteronomy 1 30,"<small>YHWH</small> your God, who goes before you,<br>he will do battle for you,<br>exactly as he did with you in Egypt, before your eyes,"
Deuteronomy 1 31,"and in the wilderness, where you saw<br>how <small>YHWH</small> your God carried you<br>as a man carries his child,<br>on all the way that you went upon,<br>until your coming to this place."
Deuteronomy 1 32,"Yet in this matter<br>you have not been evincing trust in <small>YHWH</small> your God,"
Deuteronomy 1 33,"who goes before you on the way<br>to scout out for you a place to pitch-your-camp,<br>in fire by night, to show you the way on which you should go,<br>and in a cloud by day!"
Deuteronomy 1 34,"<small>YHWH</small> heard the voice of your words,<br>and he became furious and swore [an oath], saying:"
Deuteronomy 1 35,"If they should get-to-see—a [single] man of all of these men, of this evil generation—<br>the good land that I swore to give to their fathers . . . !"
Deuteronomy 1 36,"Only Calev son of Yefunne, <i>he</i> will get-to-see it,<br>to him I will give the land that he has tread upon, and to his children,<br>in consequence that he fully-followed after <small>YHWH</small>."
Deuteronomy 1 37,"At me also <small>YHWH</small> was incensed for your sakes, saying:<br>You also will not enter there!"
Deuteronomy 1 38,"Yehoshua son of Nun, who stands before you, <i>he</i> will enter there;<br>him [you are to] strengthen,<br>for he will allot-it-as inheritance to Israel."
Deuteronomy 1 39,"Now your little-ones, of whom you said: For plunder will they be,<br>and your children who as of today do not [yet] know good or ill,<br><i>they</i> shall enter there,<br>to them I will give it, and they will take possession of it!"
Deuteronomy 1 40,"As for you, face about, march into the wilderness, by the Reed Sea route."
Deuteronomy 1 41,"But you spoke up; you said to me:<br>We have sinned against <small>YHWH</small>,<br>we will go up and do battle,<br>exactly as <small>YHWH</small> our God commanded us!<br>So each-man girded on his implements of battle<br>and you made bold to go up to the highlands."
Deuteronomy 1 42,"But <small>YHWH</small> said to me:<br>Say to them:<br>You are not to go up, you are not to do battle,<br>for I am not in your midst—<br>so that you not be defeated before your enemies!"
Deuteronomy 1 43,"So I spoke to you,<br>but you did not hearken;<br>you rebelled against the order of <small>YHWH</small>,<br>you brazenly went up to the highlands."
Deuteronomy 1 44,"And the Amorites came out, those who were settled in those highlands, to meet you,<br>they pursued you—as bees do!—<br>and they crushed you at Se’ir, as far as Horma."
Deuteronomy 1 45,"You returned, and you wept before the presence of <small>YHWH</small>,<br>but <small>YHWH</small> did not hearken to your voice,<br>he did not give-ear to you."
Deuteronomy 1 46,"So you stayed in Kadesh for many days, like the days you had stayed [there before],"
Deuteronomy 2 1,"and we faced about and marched into the wilderness, by the Reed Sea route,<br>as <small>YHWH</small> had spoken to me;<br>we circled around the highlands of Se’ir for many days-and-years."
Deuteronomy 2 2,"Then <small>YHWH</small> said to me, saying:"
Deuteronomy 2 3,"Enough for you, circling around these highlands!<br>Face about, northward!"
Deuteronomy 2 4,"And as for the people, command [them], saying:<br>You are about to cross the territory of your brothers, the Children of Esav, who are settled in Se’ir.<br>Though they are afraid of you,<br>take exceeding care!"
Deuteronomy 2 5,"Do not stir yourselves up against them,<br>for I will not give you of their land so much as the sole of a foot can tread on,<br>for as a possession to Esav I gave the highlands of Se’ir."
Deuteronomy 2 6,"Food you may market from them for silver, that you may eat;<br>and also water you may purchase from them for silver, that you may drink."
Deuteronomy 2 7,For <small>YHWH</small> your God has blessed you in all the works of your hands—<br>he has known your travels in this great wilderness!<br>These forty years <small>YHWH</small> your God is with you;<br>you have not lacked a thing!
Deuteronomy 2 8,"So we crossed on by, away from our brothers, the Children of Esav, who are settled in Se’ir,<br>[away] from the route of the Plain, from Eilat and from Etzion Gever,<br>and we faced about and crossed the route of the Wilderness of Moav."
Deuteronomy 2 9,"<small>YHWH</small> said to me:<br>Do not harass Moav,<br>do not stir yourself up against them in battle,<br>for I will not give you [any] of their land as a possession,<br>for to the Children of Lot I have given Ar as a possession."
Deuteronomy 2 10,"—The Emites/Frightful-Ones were formerly settled there,<br>a people great and many, and tall like the Anakites."
Deuteronomy 2 11,"[As] Refa’ites/Shades are they considered, like the Anakites [are],<br>but the Moavites call them Emites."
Deuteronomy 2 12,"Now in Se’ir the Horites were formerly settled;<br>but the Children of Esav dispossessed them and wiped them out from before them and settled in their place,<br>[just] as Israel did to the land of their possession,<br>which <small>YHWH</small> gave to them.—"
Deuteronomy 2 13,"Now, arise, cross you the Wadi Zered!<br>So we crossed the Wadi Zered."
Deuteronomy 2 14,"And the days that we traveled from Kadesh Barne’a until we crossed the Wadi Zered [were]:<br>thirty-eight years,<br>until all that generation came to an end, the men of battle, from amid the camp,<br>as <small>YHWH</small> had sworn to them."
Deuteronomy 2 15,"Yes, the hand of <small>YHWH</small> was against them, to panic them from amid the camp,<br>until they met their end."
Deuteronomy 2 16,"Now it was, when all the men of battle had ended [their] dying from amid the people,"
Deuteronomy 2 17,"<small>YHWH</small> spoke to me, saying:"
Deuteronomy 2 18,"You are crossing today the territory of Moav, Ar."
Deuteronomy 2 19,"[When] you come near, opposite the Children of Ammon,<br>do not harass them, do not stir yourself up against them,<br>for I will not give any of the land of the Children of Ammon to you as a possession,<br>for to the Children of Lot I have given it as a possession."
Deuteronomy 2 20,"It, too, is considered the land of the Refa’ites&mdash;<br>Refa’ites were settled in it in former-times,<br>but the Ammonites call them Zamzummites/Barbarians,"
Deuteronomy 2 21,"a people great and many, tall like the Anakites,<br>and yet <small>YHWH</small> wiped them out from before them, and they dispossessed them,<br>and settled in their place,"
Deuteronomy 2 22,"as he did to the Children of Esav who are settled in Se’ir,<br>that he wiped out the Horites from before them, and they dispossessed them<br>and settled in their place,<br>until this day."
Deuteronomy 2 23,"As for the Avvites who were settled in villages as far as Gaza,<br>Kaftorites who came from Kaftor wiped them out and settled in their place."
Deuteronomy 2 24,"Arise, march on and cross the Wadi Arnon!<br>See, I have given into your hand Sihon king of Heshbon, the Amorite, and his land;<br>Start! Take-possession!<br>And stir yourself up against him in battle!"
Deuteronomy 2 25,"This day<br>I will start to put the terror of you and the awe of you<br>upon the peoples [that are] under all the heavens,<br>so that when they hear heard-rumors of you,<br>they will shudder and writhe before you."
Deuteronomy 2 26,"Now I sent messengers from the Wilderness of Kedemot to Sihon, king of Heshbon,<br>words of peace, saying:"
Deuteronomy 2 27,"Let me cross through your land;<br>on the main-route, on the main-route I will go&mdash;<br>I will not turn aside right or left."
Deuteronomy 2 28,"As for food, for silver you may market [it] to me, that I may eat,<br>as for water, for silver you may give [it] to me, that I may drink;<br>only: let me cross on foot—"
Deuteronomy 2 29,"as the Children of Esav, who are settled in Se’ir, did for me,<br>and the Moavites, who are settled in Ar,<br>until I have crossed the Jordan<br>into the land that <small>YHWH</small> our God is giving us."
