"Meir, I Orah Hayyim.1.1",<i>Q</i>. Is it proper to wear <i>zizith</i> (fringes) made of flax?
"Meir, Iii Eben Haezer.325.3","S<small>OURCES</small>: Pr. 284; Mord. Ket. 281; Tesh. Maim. to <i>Nashim</i>, 13."
"Meir, Iii Eben Haezer.326.1","<i>Q</i>. The <i>ketubah</i> of a widow contained the following clause: ""you shall collect whatever you have brought in, as your dowry, over and above the amount you are entitled to as your <i>ketubah</i>"" without description of what the dowry consisted. The widow seized some articles stating that her late husband had given them to her as a present. Are we to believe her statement (in accordance with the rule of <i>Miggo</i>), since if she had wanted to lie she might have claimed that said articles were part of her dowry?"
"Meir, Iii Eben Haezer.326.2","<i>A</i>. A mere claim to the effect that the articles had formed part of her <i>ketubah</i> would have been insufficient. Since her <i>ketubah</i> did not enumerate the articles and valuables that made up her dowry, she would have to prove what the dowry consisted of before she would be entitled to collect any part thereof. Therefore, we do not have to believe her statement."
"Meir, Iii Eben Haezer.326.3",S<small>OURCES</small>: L. 243.
"Meir, Iii Eben Haezer.327.1",<i>Q</i>. A sold his immovable property. Do the protests of A's wife invalidate such sale [since his wife's <i>ketubah</i> is a lien upon his real estate]?
"Meir, Iii Eben Haezer.327.2","<i>A</i>. If the property was set aside by A to be used in payment of his wife's <i>ketubah</i> in case of divorce or his death, or, if it originally formed part of the wife's dowry, the sale is invalid. Otherwise the sale is valid until A's death, or until A divorces his wife, at which time the latter will be permitted to seize such property in payment of her <i>ketubah</i>."
"Meir, Iii Eben Haezer.327.3",S<small>OURCES</small>: Cr. 250; L. 124; Mord. B.B. 545. Cf. <i>Agudah</i> B.B. 90.
"Meir, Iii Eben Haezer.328.1","<i>Q</i>. A wants to buy a house. He is afraid to do so, however, lest his wife later legally restrain him from reselling it [since a wife's <i>ketubah</i> constitutes a lien on the husband's immovables]. Should A stipulate that he buys the house on condition that his wife be unable to restrain him from selling it, and if she formally agrees thereto, would such an agreement be binding on the wife; or would it be null and void since she would thus have agreed to a thing that as yet had no existence?"
"Meir, Iii Eben Haezer.328.2","<i>A</i>. The above agreement would be binding on A's wife, for a person may relinquish his claim to rights and privileges before they are created."
"Meir, Iii Eben Haezer.328.3","S<small>OURCES</small>: Cr. 263; Mord. Ket. 212; Hag. Maim. <i>Ishut</i> 23, 2. Cf. Moses Minz, <i>Responsa</i> 39."
"Meir, Iii Eben Haezer.329.1","<i>Q</i>. A quarrelled with his wife. Subsequently it was discovered that A bought real estate but had the deeds made out in the name of his relative, B, intending by means of these transactions to evade paying his wife's <i>ketubah</i>."
"Meir, Iii Eben Haezer.329.2","<i>A</i>. A's wife is entitled to collect her <i>ketubah</i> from this real estate, for, transactions that are intended to nullify a rabbinical ordinance are void."
"Meir, Iii Eben Haezer.329.3","S<small>OURCES</small>: Mord. B.B. 649; <i>Mordecai Hagadol</i>, p. 336a; Asher, <i>Responsa</i> 78, 1; ibid. 78, 3; <i>Tur Hoshen Mishpat</i> 99."
"Meir, Iii Eben Haezer.330.1",<i>Q</i>. What should be done to a man who revolted against his wife and gave away his money to others to avoid paying her the <i>ketubah</i>? Please explain in detail the laws concerning rebellious husbands and rebellious wives.
"Meir, Iii Eben Haezer.330.2","<i>A</i>. If the husband refuses to support his wife he can be forced to support her. If he does support his wife, but refuses to cohabit with her, he should be told that according to the Rabbis he is required to divorce her or be called <i>abaryana</i> (renegade), but he cannot be forced to divorce her. If, however, he refuses to do either, he can be forced to grant her a divorce."
"Meir, Iii Eben Haezer.330.3",S<small>OURCES</small>: Pr. 946.
"Meir, Iii Eben Haezer.331.1","When Rabbi Zamlan was ill he sent for Rabbi Asher in order that the latter help him dispose of his property in a manner that would make it impossible for his wife, L, to appropriate his possessions in payment of her <i>ketubah</i> or for her sustenance. Rabbi Asher refused to come, but Rabbi Zamlan implored him and pleaded with him saying: ""What can I do for my only son who, after my death, will have to go begging from door to door?"" Rabbi Asher then agreed to act as a witness, and Rabbi Zamlan gave away to his son and to other persons, all of his property as an outright gift effective immediately. After his death, L's relatives summoned Rabbi Zamlan's son to the court of Rabbi Perez. The latter recorded the claims of the two parties and sent the claims to Rabbi Meir without giving the names of the litigants and without expressing any opinion on the subject. Rabbi Meir ruled that L was entitled to collect her <i>ketubah</i>, or to draw her sustenance, from the possessions of Rabbi Zamlan which he had given to his son; his reason being that even an outright gift to an heir is considered an inheritance and that the widow's <i>ketubah</i> is a lien upon it."
"Meir, Iii Eben Haezer.331.2",Rabbi Perez took issue with Rabbi Meir quoting Alfasi's decision that the ordinance of Usha — which ruled that a person who divided all of his property among his children may derive his sustenance as well as that of his wife's from such property — was not accepted.
"Meir, Iii Eben Haezer.331.3","Rabbi Meir reproved Rabbi Perez for resorting to Alfasi when the Talmud specifically decided that the ordinance of Usha was not accepted. R. Meir contended, however, that only that part of the ordinance was not accepted which gave the right to the donor, and to his wife while he was alive, to derive their sustenance from the property he had given away; while the rule that the widow may collect her sustenance or her <i>ketubah</i> from such property after the donor's death, was accepted before the ordinance of Usha was promulgated, and has remained in force independently of such ordinance."
"Meir, Iii Eben Haezer.331.4","Meanwhile L's relatives have written to Rabbi Meir asking for his decsion in this matter. R. Meir answered that he usually refrained from sending legal opinions to litigants, or to their relatives, and confined his responses to judges. But, when Rabbi Perez, in his second letter, gave the names of the litigants, R. Meir realized that the letters from L's relatives dealt with the same case. R. Meir recalled that among these letters was found a letter from Rabbi Asher which explained the circumstances of the gift mentioned above. Therefore, R. Meir added (in his second letter to Rabbi Perez) that since according to Rabbi Asher's letter, the donor mentioned the contingency of death when he summoned Rabbi Asher, he therefore made the gift to his son <i>causa mortis</i> (cf. B. B. 151a), and a widow is undoubtedly entitled to collect her <i>ketubah</i> from <i>causa mortis</i> gifts."
"Meir, Iii Eben Haezer.331.5","S<small>OURCES</small>: Cr. 192; Am II, 46–7; cf. Hag. Maim. to <i>Ishut</i> 16, 4; Mord. Ket. 161. Cf. <i>Agudah</i> B.M. 29; Moses Minz, <i>Responsa</i> 66."
"Meir, Iii Eben Haezer.332.1","<i>Q</i>. A's widow, Leah, and his children put forth their claims, through representatives, regarding real property left to A by his mother on condition that after A's death the property be transferred to A's children and not be used to pay Leah's <i>ketubah</i>. Leah claimed that the said property never belonged to A's mother since the latter received it in payment of her <i>ketubah</i>, but failed to take the required oath before collecting such <i>ketubah</i>. Leah, therefore, demanded her <i>ketubah</i> from this property. A's sons, then, produced a document to the effect that A, foregoing the required oath, permitted his mother to take the property of his deceased father in payment of her <i>ketubah</i>, and bestowed upon her as a gift whatever amount the property was worth in excess of her <i>ketubah</i>. Leah, however, claimed that as soon as her father-in-law died, his property, automatically falling to her husband, was subject to the lien of her <i>ketubah</i>, and that A, therefore, had no right to waive the oath his mother was required to take and to bestow gifts upon her without her (Leah's) permission."
"Meir, Iii Eben Haezer.332.2","<i>A</i>. The property belongs to the grandchildren who were already born at the time the gift was made by A's mother, and Leah cannot collect her <i>ketubah</i> therefrom. We have no proof that A's mother received more than the amount specified in the <i>ketubah</i>. A's document bestowing on his mother as a gift whatever she received over and above her <i>ketubah</i> does not prove that she actually received more than was due her. Leah's claim that A had no right to bestow gifts without her permission is valid only in regard to real property, but a husband may sell or give away personal property without his wife's permission. Therefore, A's mother had a right to give her property to A and to his children. Moreover, since Leah is not certain that A's mother collected more than her <i>ketubah</i>, and can take no oath to that effect, the property goes to A's children."
"Meir, Iii Eben Haezer.332.3","This Responsum is addressed to ""my teachers and relatives, Rabbi Menahem and Rabbi Hillel."""
"Meir, Iii Eben Haezer.332.4","S<small>OURCES</small>: Cr. 205; Pr. 987–8; <i>Mordecai Hagadol</i>, p. 153c; Tesh. Maim. to <i>Mishpatim</i>, 7; cf. ibid. 43; Maharil, <i>Responsa</i> 75."
"Meir, Iii Eben Haezer.333.1","<i>Q</i>. In order to be entitled to her <i>ketubah</i>, a widow must take an oath that she did not steal, retain, or use any of her husband's property in any manner not specifically permitted by her husband. It is, however, only natural for a wife, during her marital status, to donate small sums of her husband's money (to relatives or to charity) without the husband's knowledge. Of such money, she usually keeps no account, and is not in a position to remember each donation. How, then, can a widow take this oath without violating her conscience?"
"Meir, Iii Eben Haezer.333.2","<i>A</i>. If the widow can not approximate the exact sum she spent without her husband's knowledge or permission, let her forego a great part of her <i>ketubah</i> rather than hazard the taking of a false oath."
"Meir, Iii Eben Haezer.333.3",S<small>OURCES</small>: Pr. 117.
"Meir, Iii Eben Haezer.334.1","<i>Q</i>. A set apart the land upon which he dwelt for the payment of his wife's <i>ketubah</i>. After his death, the trustee of the orphans demanded that A's widow take an oath to the effect that she did not appropriate anything that belonged to her husband, before she be permitted to collect her <i>ketubah</i> from this real estate. Is the trustee justified in his demand?"
"Meir, Iii Eben Haezer.334.2","<i>A</i>. Since the property was mortgaged to A's widow, she is now considered to be in possession of her <i>ketubah</i>. And as long as she does not demand her <i>ketubah</i>, she is not required to take an oath (Ket. 87b) unless the orphans claim positive knowledge of her having appropriated anything that belonged to their father. Therefore, A's widow is not required to take an oath."
"Meir, Iii Eben Haezer.334.3","S<small>OURCES</small>: Cr. 266; Am II, 6; Mord. Ket. 224. Cf. Moses Minz, <i>Responsa</i> 96."
"Meir, Iii Eben Haezer.335.1","<i>Q</i>. A died and left a widow, a son and a daughter. The widow, without taking the usual oath regarding her <i>ketubah</i>, came to an agreement with the orphans regarding A's estate, and undertook to support them until they reach a certain age. The daughter died while she was still young. Now, the son demands from his mother the amount not expended for the support of the daughter."
"Meir, Iii Eben Haezer.335.2",<i>A</i>. The widow owes nothing to her son.
"Meir, Iii Eben Haezer.335.3",S<small>OURCES</small>: Pr. 860.
"Meir, Iii Eben Haezer.336.1","<i>Q</i>. A formally released his mother, L, from the obligation of taking the required oath regarding her <i>ketubah</i>, and gave her the right to will the property to whomever she might please, to sons and to daughters, to give more to some and less to others, on condition that she transfer to A a particular piece of real property forthwith. Immediately after the formal release, however, A said to his mother that since this real property was mortgaged, her release was not to become effective till she redeem it for him. L promised to redeem it. Now, however, she refuses to do so."
"Meir, Iii Eben Haezer.336.2","<i>A</i>. Unless L redeem the above property, her agreement with A is void, for A's last stipulation proves that he had originally agreed to release L on condition only that she transfer the property to him unencumbered by mortgages. Moreover, a stipulation made immediately after an agreement is concluded, but while the matter is still being discussed, becomes part of the agreement (B. B. 114a)."
"Meir, Iii Eben Haezer.336.3",S<small>OURCES</small>: Cr. 96.
"Meir, Iii Eben Haezer.337.1","<i>Q</i>. L, a widow, summons to court her father's half-brother, A, who with L's father were children of the same father, B, but not of the same mother, and claims that the movables, immovables, and books which A inherited from his mother did not belong to his mother since she did not take the required oath regarding her <i>ketubah</i>. A avers that his mother told him: a) that his father, B, left no money beyond what was necessary to repay his debts; b) that he left a house, vineyards, and books; and c) that he gave her the house and the vineyards as an outright gift. A further claims: a) that his father gave him the books as a gift; b) that his father freed his mother from the necessity of taking an oath and forewent the return of any money she might have taken from him; c) that the above transactions were properly recorded by B in a written instrument; and d) that A's brothers and even L and her husband, forwent their claims against his mother and gave her written instruments to that effect."
"Meir, Iii Eben Haezer.337.2","<i>A</i>. If A was in undisturbed possesssion of the litigated immovables for three years, or if his mother had dug pits and trenches in the immovables or had sold parts thereof three years prior to her death, we uphold A's claim if supported by an oath, since he had recourse to a <i>miggo</i> (he could have claimed that he had purchased the immovables from his brothers, or that his mother had purchased them); otherwise, A must return the immovables to his father's estate. Regarding the books, however, if witnesses did not see B's books in A's possession, A would be entitled to retain them upon taking an oath in support of his claim. If witnesses saw B's books in A's possession A would have to return them to the estate. L, on the other hand, will not be entitled to any part of the property thus returned to the estate, unless she takes an oath to the effect that she had never relinquished her rights to such property."
"Meir, Iii Eben Haezer.337.3","S<small>OURCES</small>: Mord. B.B. 527; <i>Agudah</i> B.B. 72. Cf. Moses Minz, <i>Responsa</i> 96; <i>Terumat Hadeshen</i> 330."
"Meir, Iii Eben Haezer.338.1","<i>Q</i>. When A died he was survived by his wife, L, his son, C, and his daughter. Subsequently L married B and brought him as her dowry that which she had taken from A's estate, namely: fifty <i>marks</i> and a half interest in A's books. The other half interest in the books she gave to her son C. The money and books, however, did not cover the amount L was entitled to according to her <i>ketubah</i>. Furthermore, when L gave her money to B she stipulated that he clothe and sustain her son and daughter, that he hire teachers for her son, and that he provide a dowry for her daughter. When C grew up, B decided to dissolve his partnership with C in the books. He invited the worthies of the community and in their presence the books were equally divided by lot between B and C. Subsequently L died. Whereupon C demanded that B return to him all he had received from L, since the latter had not taken the required oath regarding her <i>ketubah</i> and consequently had nothing of her own to give to B."
"Meir, Iii Eben Haezer.338.2","<i>A</i>. Unless C can prove that L had taken from A's estate more than the amount that was due her according to her <i>ketubah</i>, B owes nothing to C. If L were alive she would have been required to take an oath regarding her <i>ketubah</i>, but no oath is required of her heirs. However, if L gave immovables to B, as part of her dowry, the burden of proof regarding L's title to these immovables would lie with B, for the legal advantage enjoyed by the litigant who is in possession of the litigated money, is entirely absent when immovables are the subjects of the litigation."
"Meir, Iii Eben Haezer.338.3","S<small>OURCES</small>: Mord. B.B. 547. Cf. Moses Minz, <i>Responsa</i> 96; <i>Terumat Hadeshen</i> 330."
"Meir, Iii Eben Haezer.339.1","<i>Q</i>. L, A's widow who has had no children with A, gave away his books to religious (or charitable) institutions of two or three communities, before she took the required oath regarding her <i>ketubah</i>. A's heirs summoned her to court claiming that she had taken from A more than was due her according to her <i>ketubah</i>. L appeared in court and was ready to take the required oath regarding her <i>ketubah</i>, but died before she could do so. L's trustee asked the judges how to dispose of the books that were entrusted to him, and the judges instructed him to deliver them to the donee institutions. Now A's heirs demand the return of these books."
"Meir, Iii Eben Haezer.339.2","<i>A</i>. This is a highly controversial subject. The court of Würzburg — and I believe also of Speyer, following a decision by R. Simha — usually follow the decision of R. Eliezer (Shebu. 48a) which in our case would be in favor of the donees. However, we follow the ruling of Rav and Samuel (ibid.) that the entire estate belongs to the heirs. According to our opinion, therefore, even if the donee has already taken possession of the widow's gift, it should be returned to the heirs; but, if the donee has originally taken possession of the gift at the instruction of a court, we usually uphold the court's decision on the assumption that the court has followed the opinion of R. Eliezer (ibid. 48b). However, you state that the court has also decided that L's heirs have no claim on A's estate; they followed, therefore, the opinion of Rav and Samuel. Thus their decision in favor of the donees can no longer be construed as following the opinion of R. Eliezer, and must be considered a mere error."
"Meir, Iii Eben Haezer.339.3",S<small>OURCES</small>: Cr. 88.
"Meir, Iii Eben Haezer.340.1","<i>Q</i>. Leah, A's widow who was now the wife of C, had taken the proper oath regarding her <i>ketubah</i> before a court, whereupon the court had transferred to her A's house in payment of her <i>ketubah</i>. This house had been originally given to A by his father, B, who had distributed the rest of his property among his (B's) sons-in-law as gifts <i>causa mortis</i>. B's sons-in-law now claim to possess a deed to the effect that B gave the house to A with the stipulation that, in case A died childless, the house should belong to B's daughters. [Since A died childless] B's sons-in-law demand the house."
"Meir, Iii Eben Haezer.340.2","<i>A</i>. Since A was the legal heir to the house, B had no power to terminate A's normal right of conveying his inheritance to his heirs (cf. B. B. 133a). Therefore, B's stipulation limiting A's normal right of inheritance was void; the house unreservedly belonged to A, and Leah, his widow, had the right to collect her <i>ketubah</i> therefrom."
"Meir, Iii Eben Haezer.340.3","S<small>OURCES</small>: Cr. 260; P. 287; Mord. B.B. 595; Hag. Maim., <i>Zekiah</i> 12, 3; Asher <i>Responsa</i> 84, 2; <i>Tur Hoshen Mishpat</i> 248; <i>Agudah</i> B.B. 180."
"Meir, Iii Eben Haezer.341.1","1) <i>Q</i>. A married a widow, B, and lived with her for eight years till her death. B had not taken the customary widow's oath regarding her <i>ketubah</i> due her from her former husband. When she married A she was not considered very rich and no one suspected that she owned more than the value of her <i>ketubah</i>. But, after her death, when A declared, under oath, to the community (leaders, probably for purposes of taxation) the value of his assets, it was discovered that he had inherited from B more than the value of her <i>ketubah</i> from her former husband. The heirs of the latter, therefore, demand that A return the excess to them."
"Meir, Iii Eben Haezer.341.2","<i>A</i>. If the valuables B brought to A were undistinguishable and no one recognized them as having belonged to B's former husband, A is free from obligation for five reasons. a) Even if the valuables B brought to A were worth more than the value of her <i>ketubah</i>, such valuables may not all necessarily have come from the estate of her former husband, for she might have received some gifts or found a treasure. b) Were B still alive she would have been obliged to take an oath [to the effect that she did not take from her former husband more than the value of her <i>ketubah</i>], but now that she is dead, A is free from the obligation of taking an oath, since he is not supposed to know his wife's affairs. c) A is not even required to take the oath of an heir — that B never told him, and that he did not know that she had received from the estate of her former husband more than the value of her <i>ketubah</i> — since the heirs of B's former husband are not positive in their claim. The heirs, however, may pronounce the ban (<i>herem</i>) in the synagogue against anyone who does possess such knowledge and does not reveal it. Such ban would include A. d) Whatever a person would have retained, had he taken an oath, his heirs may retain without the necessity of taking an oath. e) Some authorities require A to take the oath of an heir; but since many great authorities absolve him from such oath, and since A is in possession of the aforesaid valuables, the burden of proof is upon the plaintiff. For similar reasons A would be free from the obligation of taking an oath, even if some of the valuables brought to him by B were distinguishable and were recognized as having belonged to B's former husband, if the valuables thus recognized were in themselves not worth more than the value of B's <i>ketubah</i>. But, if the distinguishable valuables are in themselves worth more than the value of B's <i>ketubah</i>, A must return the difference to the heirs of B's first husband."
"Meir, Iii Eben Haezer.341.3","2) <i>Q</i>. Witnesses have testified to the effect that B and her former husband, C, had made a binding agreement that in the event of the death of one party, the surviving party would share the property with the heirs. After C's death, B settled with all of C's heirs, except the youngest, D, who was born after the drawing up of the agreement. D, therefore, is now pressing his claim."
"Meir, Iii Eben Haezer.341.4","<i>A</i>. D was entitled to his share even though he was born after the agreement was made, for in it B did not bestow benefits on anybody; she merely relinquished her rights to C's property up to a certain extent, and D later became heir to the relinquished property. However, A may claim that B brought him nothing from C's estate, or he may contend that B had already settled with D, and be free from obligation for the reasons enumerated above."
"Meir, Iii Eben Haezer.341.5","S<small>OURCES</small>: Am II, 17; cf. Hayyim Or Zarua, <i>Responsa</i> 86; ibid. 165; ibid. 191."
"Meir, Iii Eben Haezer.342.1","<i>Q</i>. A drew up a legal document in which he used the following words: ""Effective as of today, but to be executed after our (meaning himself and his wife, L) deaths, our daughter R shall inherit an equal share with her brothers, those already born and those that might be born, in whatever will remain of my estate."" After A's death, his children and his widow, L, interpreted the document to mean that A had appointed L trustee over his estate. When L proved a very inefficient, careless, and wasteful trustee, A's sons reached an agreement with L, whereby she was to receive forty <i>marks</i> for turning over the estate to A's sons immediately. Before relinquishing her trusteeship, L and her youngest son B (who was eighteen years of age) agreed to allow R's husband to take his wife's share of the estate immediately, without having to wait for L's death. A's two other sons object to this latter agreement."
"Meir, Iii Eben Haezer.342.2","<i>A</i>. A's heirs were entitled to take over his estate at any time they wished to do so. The giving of forty <i>marks</i> to L in order that she relinquish her trusteeship, was entirely unnecessary, for A's document, while making the collection of R's share in A's estate dependant on L's death, did not appoint L trustee of said estate. Moreover, had A explicitly appointed L trustee of his estate, the court would have removed her at no expense to the heirs, since she had proven to be inefficient, careless, and wasteful. The second agreement is not binding on A's two sons since L, not being a trustee of the estate, had no legal power to dispose of part of the estate. B, however, was able to forego his own part of R's share, and his act is binding upon such part if R (or her husband) was in possession of her share at the time of the latter agreement. Thus R would be entitled to receive one third of her share (B's part of her share) immediately, while B's two brothers would manage the other two-thirds for their own profit and gain until L's death."
"Meir, Iii Eben Haezer.342.3","Although the brothers are entitled to manage R's share for their own profit, they are not permitted to sell or otherwise alienate any part of it; and their responsibility thereto would be that of a gratuitous watchman. Thus any increase that will accrue until L's death will belong to the brothers, while, any decrease of value caused by theft, loss or unavoidable accident will be suffered by R. Should the brothers be called upon to pay L her <i>ketubah</i>, one quarter of such payment should come out of R's share. R may not claim that her father has made her an outright gift, free of any lien or obligation, since A did not intend to give R a greater share than that of his sons. After L's death, R may exact an oath from her brothers to the effect that they did not retain for themselves anything belonging to her."
"Meir, Iii Eben Haezer.342.4","2) <i>Q</i>. L's trustee claimed that L's property which she had given to her husband, had been given only to gratify him, but had not been intended as an outright gift. Therefore, this property had belonged to L; and she gave it to her mother by right."
"Meir, Iii Eben Haezer.342.5","<i>A</i>. This property was not listed in L's <i>ketubah</i>, and was thus considered <i>niksei melug</i> regarding which a woman may not claim that her gift thereof to her husband was not actually meant to be binding but was given in order to gratify him (B. B. 50a). Therefore, the gift was binding, and she no longer had any claim to said property. She had no right to give it to her mother."
"Meir, Iii Eben Haezer.342.6","This Resp. is addressed to: ""My teacher Rabbi Eliezer b. Ephraim."""
"Meir, Iii Eben Haezer.342.7","S<small>OURCES</small>: Cr. 30; Pr. 243–4; Am II, 18."
"Meir, Iii Eben Haezer.343.1","<i>Q</i>. A claims that his father before his death declared in his will that a certain amount be given to A's mother. A wants to pay that amount to his mother, but she insists on collecting her <i>ketubah</i>."
"Meir, Iii Eben Haezer.343.2","<i>A</i>. Since A's father did not declare his last will in the presence of his wife, she was not bound by such will. She is therefore entitled to collect her <i>ketubah</i> in full."
"Meir, Iii Eben Haezer.343.3",S<small>OURCES</small>: Mord. B.B. 587.
"Meir, Iii Eben Haezer.344.1","<i>Q</i>. A rented a house to B for five years and received the rent for the entire period in advance. He promised to repay B the expenses for any structures he might erect in the house, and gave him a written guaranty to this effect. B spent six pounds on such structures. Subsequently, A died and his widow, L, took over the house in payment of her <i>ketubah</i>."
"Meir, Iii Eben Haezer.344.2","<i>A</i>. B must vacate the house; for L's <i>ketubah</i> was a lien upon it, before it was rented to B. L may remove anyone from the house, whether buyer, renter, or creditor; provided, of course, that her marriage to A took place, and A was owner of the house, before he sold it, rented it, or borrowed money. Therefore, if A left no movables and his estate does not exceed L's <i>ketubah</i>, B can not reclaim his money. If, however, A left movables with a third person, these movables ought to be turned over to B in payment of the obligation due him, and any excess should go to L. Whenever a creditor and a widow press their claims to an estate consisting of movables — unless the movables had previously been set aside by the husband for the payment of his wife's <i>ketubah</i> — the creditor has priority over the widow. The creditor's priority, however, as against the widow extends only to the payment of the <i>Ikkar ketubah</i>, the additional jointure, and that part of the dowry which the husband wrote in the <i>ketubah</i> in excess of what she actually gave him as dowry — thus in our <i>ketubah</i> we uniformly write that the wife brought in a dowry worth fifty pounds, regardless of the actual value of her dowry, and in our country a woman collects one hundred <i>marks</i> as her dowry, since we interpret the term ""pound"" to be a pound of weight, consisting of two <i>marks</i>. In regard to whatever the widow actually brought in as dowry she is considered a creditor sharing equally with other creditors in collecting from movables. Although a woman is entitled to collect the entire amount her husband wrote in the dowry clause of her <i>ketubah</i> in excess of what she actually brought in, she does not have equal right with a creditor in collecting that excess. Therefore, since in collecting her actual dowry from movables, L is on an equal footing with B, the movables mentioned above must be equally divided between L and B (and not in proportion to the respective obligations). When an estate consists of movables and immovables, and the latter do not suffice to cover the <i>ketubah</i>, the widow collects the <i>Ikkar ketubah</i>, the additional jointure, and the excess dowry, from the immovables, while she takes her part of the movables in payment of her actual dowry. The creditor may not claim that the immovables taken by the widow are in payment of her actual dowry, while she may not collect the rest of the <i>ketubah</i> from the movables until he, the creditor, collects his full debt therefrom, for the <i>Ikkar ketubah</i> and the additional jointure are liens upon the immovables, while in regard to the actual dowry she is considered a creditor entitled to share with the other creditors in collecting from movables (cf. Ket. 86a)."
"Meir, Iii Eben Haezer.344.3","S<small>OURCES</small>: Am II, 67."
"Meir, Iii Eben Haezer.345.1","<i>Q</i>. After L, a widow, remarried, she presented for collection the <i>ketubah</i> she had received from her first husband. In the absence of unencumbered property, L sought to collect her <i>ketubah</i> from a piece of the real estate which her former husband had sold to A. A, in turn, had sold the real estate to B; and after the latter's death, it fell to his orphans some of whom were minors. L contended that her husband had sold the real estate without her consent, and without obtaining her signature to the deed."
"Meir, Iii Eben Haezer.345.2","<i>A</i>. If L will take an oath to the effect that she did not as yet collect any part of her <i>ketubah</i>, and that she did not consent to the sale of the above property, she will be entitled to evict B's heirs from it. The talmudic statement you quote in the query: ""after a widow remarries, the burden of proof lies on her shoulders (ket. 96b)"", does not apply to a case where the widow seeks to collect her <i>ketubah</i>. Moreover, the <i>ketubah</i>-document in itself constitutes adequate and sufficient proof of the fact that the widow did not collect her <i>ketubah</i>. The fact that B's heirs are able to prove three years of undisturbed possession, also has no bearing on the case. A widow is not required to protest the occupancy by another of real property which does not belong to her, but which she may eventually come to seize in payment of her <i>ketubah</i>."
"Meir, Iii Eben Haezer.345.3","This responsum is addressed to: ""my teacher Rabbi Joseph""."
"Meir, Iii Eben Haezer.345.4","S<small>OURCES</small>: Tesh. Maim. to <i>Ishut</i> 5; <i>Mordecai Hagadol</i>, p. 310c."
"Meir, Iii Eben Haezer.346.1","<i>Q</i>. A widow, who seized the property left by her husband but did not take the required oath regarding her <i>ketubah</i>, donated part of such property to a sacred cause. Has the donation become sacred?"
"Meir, Iii Eben Haezer.346.2","<i>A</i>. Since the property did not belong to the widow, she could not render it sacred, and the orphans are entitled to take it back."
"Meir, Iii Eben Haezer.346.3","S<small>OURCES</small>: Am II, 16."
"Meir, Iii Eben Haezer.347.1","<i>Q</i>. A widow seized the property of her late husband. She kept it for years; some of it she squandered, and some of it she gave away as presents. Now the orphans demand that she take an oath regarding her management of the aforesaid property."
"Meir, Iii Eben Haezer.347.2","<i>A</i>. The orphans are justified in their demand that the widow take an oath regarding the property she has squandered or given away. Although the Yerushalmi rules that a widow who seized the property of her late husband is not required to render an accounting, Ritzba (R. Isaak b. Abraham) is of the opinion that this ruling of the Yerushalmi applies only when the widow is expected eventually to take an oath regarding her <i>ketubah</i>."
"Meir, Iii Eben Haezer.347.3","S<small>OURCES</small>: Am II, 14."
"Meir, Iii Eben Haezer.348.1","<i>Q</i>. L, B's widow, seized all of his movables in payment of her <i>ketubah</i>. Subsequently, A, B's creditor, produced B's note of indebtedness and by the use of force took away the movables from L."
"Meir, Iii Eben Haezer.348.2","<i>A</i>. A acted within his rights. The ruling of the Talmud (Ket. 86a), which gives the debtor precedence over the widow in the settlement of an estate, is to be enforced even if the widow has already seized her husband's property."
"Meir, Iii Eben Haezer.348.3","S<small>OURCES</small>: Cr. 195; Hag. Maim., <i>Ishut</i> 17, 2. Cf. Asher, <i>Responsa</i> 79, 1; Weil, <i>Responsa</i> 30."
"Meir, Iii Eben Haezer.349.1",<i>Q</i>. A widow demands her <i>ketubah</i> and a creditor demands his money from an estate. Who has priority in collecting from the estate?
"Meir, Iii Eben Haezer.349.2","<i>A</i>. The creditor has priority over the widow. Moreover, even when the estate consists of assets only to satisfy one of the claimants, the creditor is paid in preference to the widow. In our times, since the creditor as well as the widow collects from unencumbered movables, the creditor has priority over the widow in collecting from such movables."
"Meir, Iii Eben Haezer.349.3","S<small>OURCES</small>: Cr. 140; P. 283. Cf. Asher, <i>Responsa</i> 79, 1; Weil, <i>Responsa</i> 30."
"Meir, Iii Eben Haezer.350.1","<i>Q</i>. A creditor demanded his money from a critically ill person. The latter admitted the indebtedness and ordered his heirs to repay the debt. Do you follow the decision of R. Tam that a widow has priority over a creditor in collecting (her <i>ketubah</i>) from movables, or the decision of Alfasi and the Geonim that the creditor has priority over the widow?"
"Meir, Iii Eben Haezer.350.2","<i>A</i>. No difference of opinion exists between R. Tam and the Geonim in regard to this law. Even the former admits that nowadays, when the ordinance of the Saburaim gives the creditor the right to collect his debt from movables even after the debtor's death, the creditor has priority over the widow in collecting from movables."
"Meir, Iii Eben Haezer.350.3","S<small>OURCES</small>: Pr. 334; Am II, 68; Tesh. Maim. to <i>Ishut</i>, 23."
"Meir, Iii Eben Haezer.351.1","<i>Q</i>. The trustee of the charity-chest claims that he lent money from the charity-chest to A, L's late husband, and that the money is now in L's possession. L avers that she does not know who gave this money to her late husband, but that she took whatever she could find belonging to him in payment of her <i>ketubah</i>."
