Old	New	Hebrew
6 – Mitzvah-Related Washing	6. Mitzvah Related Washing	ו – רחיצה של מצווה
7 – Anointing, Smelling Spices, and Smoking	7. Anointing, Smelling Spices, and Smoking	ז – סיכה, בשמים ועישון
8 – Wearing Shoes	8. Wearing Shoes	ח – נעילת הסנדל
9 – Marital Relations	9. Marital Relations	ט – תשמיש המיטה
10 – Torah Study	10. Torah Study	י – תלמוד תורה
11 – Greeting One Another	11. Greeting One Another	יא – שאלת שלום
12 – Trips and Visiting the Western Wall (Kotel)	12. Trips and Visiting the Western Wall (Kotel)	יב – טיול והליכה לכותל המערבי
13 – Sitting and Lying on the Ground	13. Sitting and Lying on the Ground	יג – ישיבה ושכיבה על הארץ
14 – Doing Work	14. Doing Work	יד – עשיית מלאכה
15 – The Reading of Eichah and Dimming the Lights	15. The Reading of Eichah and Dimming the Lights	טו – קריאת איכה והחשכת האור
16 – Anneinu, Nacheim, the Priestly Blessings, and Tachanun	16. Anneinu, Nacheim, the Priestly Blessings, and Tachanun	טז – עננו, נחם, ברכת כהנים ותחנון
17 – Removing the Curtain from Before the Ark; Tallit and Tefillin	17. Removing the Curtain from Before the Ark; Tallit and Tefillin	יז – הסרת הפרוכת, טלית ותפילין
18 – Words of Torah in our Prayers and the Blessing of SheAsah Li Kol Tzorki	18. Words of Torah in our Prayers and the Blessing of SheAsah Li Kol Tzorki	יח – דברי תורה שבתפילה וברכת 'שעשה לי כל צרכי'
19 – The Laws of the Tenth of Av	19. The Laws of the Tenth of Av	יט – דין יום עשירי באב
20 – When Tish’a B’Av Falls Out on Shabbat and is Postponed	20. When Tish'a B'Av Falls Out on Shabbat and is Postponed	כ – דיני תשעה באב שחל בשבת ונדחה
21 – Minors	21. Minors	כא – דין קטנים
11 - Hanuka	11. Hanuka	יא - ימי החנוכה
01. The Enduring Holiday of Ĥanuka	01. The Enduring Holiday of Hanuka	א – ימי החנוכה לדורות
07. Adding a New Candle on Each Day of Ĥanuka	07. Adding a New Candle on Each Day of Hanuka	ז – מוסיף והולך עד שמונה
08. Al Ha-nisim, Hallel, and Torah Reading	08. Al Ha'nisim, Hallel, and Torah Reading	ח – על הנסים, הלל וקריאה בתורה
10. Festive Meals on Ĥanuka	10. Festive Meals on Hanuka	י – סעודות בחנוכה
12 - Lighting the Chanukah Candles	12. Lighting the Chanukah Candles	יב - הדלקת נרות חנוכה
01. The Mitzva to Light Ĥanuka Candles	01. The Mitzva to Light Hanuka Candles	א – מצוות הדלקת נרות חנוכה
02. The Number of Candles and the Mehadrin min Ha-mehadrin Practice	02. The Number of Candles and the Mehadrin min Ha'mehadrin Practice	ב – מספר הנרות ומנהג מהדרין מן המהדרין
05. The Berakhot and Ha-nerot Halalu	05. The Berakhot and Ha'nerot Halalu	ה – הברכות ו'הנרות הללו'
13 - When and Where to Light Ĥanuka Candles	13. When and Where to Light Hanuka Candles	יג - דיני המקום והזמן
06. Delaying Candle-Lighting When Necessary	06. Delaying Candle Lighting When Necessary	ו – בשעת הצורך מותר לאחר את זמן ההדלקה
08. Lighting Before Shki’a or Late at Night in Pressing Circumstances	08. Lighting Before Shki'a or Late at Night in Pressing Circumstances	ח – הדלקה בשעת הדחק לפני השקיעה ומאוחר בלילה
10. Guests on Shabbat Ĥanuka	10. Guests on Shabbat Hanuka	י – משפחה שמתארחת בשבת
14 - The Month of Adar	14. The Month of Adar	יד - חודש אדר
15 - Purim and Reading the Megillah	15. Purim and Reading the Megillah	טו - פורים ומקרא מגילה
3 – Establishing Purim as an Everlasting Holiday	3. Establishing Purim as an Everlasting Holiday	ג – קביעת פורים לדורות
14. Al Ha-nisim, Torah Reading, Eulogies, and Taĥanun	14. Al Ha'nisim, Torah Reading, Eulogies, and Tahanun	יד – על הנסים, קריאת התורה, הספד ותחנון
16 - The Mitzvot of Joy and Kindness	16. The Mitzvot of Joy and Kindness	טז - מצוות השמחה והחסד
03. Matanot La-evyonim	03. Matanot La'evyonim	ג – מתנות לאביונים
04. Mishlo’aĥ Manot	04. Mishlo'ah Manot	ד – משלוח מנות
05. Types of Foods for Mishlo’aĥ Manot	05. Types of Foods for Mishlo'ah Manot	ה – באיזה מנות מקיימים המצווה
06. Who Is Obligated in Mishlo’aĥ Manot and Matanot La-evyonim?	06. Who Is Obligated in Mishlo'ah Manot and Matanot La'evyonim?	ו – החייבים במשלוח מנות ומתנות לאביונים
07. The Proper Time for Matanot La-evyonim and Mishlo’aĥ Manot	07. The Proper Time for Matanot La'evyonim and Mishlo'ah Manot	ז – זמן נתינת המתנות והמנות ושליחות בקיומם
08. Between Mishlo’aĥ Manot and Matanot La-evyonim	08. Between Mishlo'ah Manot and Matanot La'evyonim	ח – בין משלוח מנות למתנות לאביונים
09. The Mitzva to Rejoice and Eat a Se’uda	09. The Mitzva to Rejoice and Eat a Se'uda	ט – מצוות השמחה והסעודה
14. Can a Drunk or Tipsy Person Recite Berakhot and Pray Ma’ariv?	14. Can a Drunk or Tipsy Person Recite Berakhot and Pray Ma'ariv?	יד – דין שתוי ושיכור בברכות ותפילת ערבית
15. Scheduling the Se’uda when Purim is on Friday	15. Scheduling the Se'uda when Purim is on Friday	טו – זמן הסעודה בפורים שבערב שבת
17 - Walled and Unwalled Cities	17. Walled and Unwalled Cities	יז - דיני פרזים ומוקפים
05. Purim Ha-meshulash	05. Purim Ha'meshulash	ה – פורים המשולש
01 - Introduction	01. Introduction	א - פתיחה
04. Shabbat and the Holidays – the Mitzvot and Their Punishments	04. Shabbat and the Holidays. the Mitzvot and Their Punishments	ד – השבת והחגים – במצוות ובעונשים
07. The Festive Meals – “Mikra’ei Kodesh”	07. The Festive Meals. "Mikra'ei Kodesh"	ז – סעודות החג – מקראי קודש
08. The Mitzva of Simḥa	08. The Mitzva of Simha	ח – מצוות השמחה
02 - Positive Yom Tov Obligations	02. Positive Yom Tov Obligations	ב - דיני עשה ביום טוב
06. Birkat Ha-mazon	06. Birkat Ha'mazon	ו – ברכת המזון
08. Torah Reading on Yom Tov and Ḥol Ha-mo’ed	08. Torah Reading on Yom Tov and Hol Ha'moed	ח – קריאת התורה בחג ובחול המועד
09. The Musaf Amida and Ve-te’erav	09. The Musaf Amida and Ve'te'erav	ט – תפילת מוסף – וְתֶעֱרַב
13. Isru Ḥag	13. Isru Hag	י"ג – איסרו חג
03 - The Principles of the Melakhot	03. The Principles of the Melakhot	ג - כללי המלאכות
05. For Non-Jews and for Animals	05. For Non Jews and for Animals	ה – עבור נוכרים ובעלי חיים
06. Shaveh Le-khol Nefesh	06. Shaveh Le'khol Nefesh	ו – שווה לכל נפש
04 - Melakhot Pertaining to Food	04. Melakhot Pertaining to Food	ד - מלאכות המאכלים
01. Kotzer, Dash, and Soḥet	01. Kotzer, Dash, and Sohet	א – קוצר, דש וסוחט
02. Toḥen	02. Tohen	ב – טוחן
06. Laws Pertaining to Sheḥita	06. Laws Pertaining to Shehita	ו – שחיטה ודיניה
07. Sheḥita Nowadays	07. Shehita Nowadays	ז – שחיטה כיום
05 - Mav’ir, Mekhabeh, and Electricity	05. Mav'ir, Mekhabeh, and Electricity	ה - הבערה כיבוי וחשמל
01. Mav’ir	01. Mav'ir	א – הבערה
06 - Hotza’ah and Muktzeh	06. Hotza'ah and Muktzeh	ו - הוצאה ומוקצה
01. The Melakha of Hotza’ah	01. The Melakha of Hotza'ah	א – מלאכת 'הוצאה'
04. Teḥumin	04. Tehumin	ד – תחומין
07 - Various Laws of Yom Tov	07. Various Laws of Yom Tov	ז - מדיני יום טוב
08 - Eruv Tavshilin	08. Eruv Tavshilin	ח - עירוב תבשילין
09 - Yom Tov Sheni	09. Yom Tov Sheni	ט - יום טוב שני של גלויות
10 - The Mitzvot of Ḥol Ha-mo’ed	10. The Mitzvot of Hol Ha'moed	י - מצוות חול המועד
01. Ḥol Ha-mo’ed	01. Hol Ha'moed	א – חול המועד
07. The Spiritual Significance of Ḥol Ha-mo’ed	07. The Spiritual Significance of Hol Ha'moed	ז – משמעותו הרוחנית של חול המועד
11 - Melakha on Ḥol Ha-mo’ed	11. Melakha on Hol Ha'moed	יא - מלאכת חול המועד
18. Jews and Non-Jews on Ḥol Ha-mo’ed	18. Jews and Non Jews on Hol Ha'moed	י"ח – ישראל וגוי בחול המועד
12 - When Work Is Permitted on Ḥol Ha-mo’ed	12. When Work Is Permitted on Hol Ha'moed	יב - היתרי עבודה במועד
02. Davar Ha-aved (Preventing a Loss)	02. Davar Ha'aved (Preventing a Loss)	ב – מלאכת דבר האבד
03. Not to Plan Work for Ḥol Ha-Mo’ed	03. Not to Plan Work for Hol HaMo'ed	ג – שלא יכוון מלאכתו למועד
04. Various Laws of Davar Ha-aved	04. Various Laws of Davar Ha'aved	ד – מדיני מלאכת דבר האבד
11. Time-Sensitive Mitzva Needs	11. Time Sensitive Mitzva Needs	י"א – לצורך מצווה עוברת הותרה מלאכת אומן
12. Building Synagogues, Schools, and a Ma’akeh	12. Building Synagogues, Schools, and a Ma'akeh	י"ב – בית כנסת ובית ספר ומעקה
13 - Shavu’ot	13. Shavu'ot	יג - חג השבועות
01. Shavu’ot and Its Relationship with Pesaḥ	01. Shavu'ot and Its Relationship with Pesah	א – חג השבועות ויחסו לחג הפסח
02. Preparation and Purification During Sefirat Ha-omer	02. Preparation and Purification During Sefirat Ha'omer	ב – תהליך ההכנה וההיטהרות בספירת העומר
04. Ḥag Ha-Katzir	04. Hag HaKatzir	ד – חג הקציר
05. Yom Ha-Bikurim	05. Yom HaBikurim	ה – יום הביכורים
07. Extra Joy – Spiritual and Physical	07. Extra Joy. Spiritual and Physical	ז – שמחה יתירה – רוחנית וגשמית
08. Shavu’ot Night Learning	08. Shavu'ot Night Learning	ח – לימוד ליל שבועות
10. Birkhot Ha-shaḥar and Other Laws for Those Who Remain Awake All Night	10. Birkhot Ha'shahar and Other Laws for Those Who Remain Awake All Night	י – ברכות השחר ועוד דינים לערים בלילה
15. The Six Days Following Shavu’ot	15. The Six Days Following Shavu'ot	ט"ו – ששת הימים שלאחר חג השבועות
9 – A Time of Atonement and Yom Kippur Katan	9. A Time of Atonement and Yom Kippur Katan	ט – זמן כפרה ויום כיפור קטן
10 – Ya’aleh VeYavo in Shemoneh Esrei	10. Ya'aleh VeYavo in Shemoneh Esrei	י – יעלה ויבוא בתפילה 
11 -Ya’aleh VeYavo in Grace After Meals	11. Ya'aleh VeYavo in Grace After Meals	יא – יעלה ויבוא בברכת המזון 
12 – Hallel on Rosh Chodesh	12. Hallel on Rosh Chodesh	יב – הלל בראש חודש
13 – Customs Relating to the Recital of Hallel	13. Customs Relating to the Recital of Hallel	יג – מנהגי אמירת ההלל
14 – The Torah Reading and Musaf Service	14. The Torah Reading and Musaf Service	יד – קריאת התורה ומוסף 
15 – The Meaning Behind the Blessing of the Moon	15. The Meaning Behind the Blessing of the Moon	טו – משמעות ברכת הלבנה 
16 – The Laws of Reciting the Blessing Joyously	16. The Laws of Reciting the Blessing Joyously	טז – דיני אמירתה בשמחה
17 – Seeing the New Moon	17. Seeing the New Moon	יז – ראיית הלבנה
18 – The Proper Time for Birkat HaLevanah	18. The Proper Time for Birkat HaLevanah	יח – זמן ברכת הלבנה
09. Ta’anit Esther	09. Ta'anit Esther	ט – תענית אסתר
10. Commemoration of the Half-Shekel	10. Commemoration of the Half Shekel	י – זכר למחצית השקל 
10. Women’s Mitzva of Simḥa	10. Women's Mitzva of Simha	י – מצוות שמחה לנשים
17. Visiting One’s Rabbi	17. Visiting One's Rabbi	י"ז – הקבלת פני רבו ברגל
01. Mav’ir	01. Mav'ir	ב – כיבוי
