Index Title,Be'er Mayim Chaim on Torah,
"Be'er Mayim Chaim on Torah, Numbers 8:2:15","ראיתי לבאר כאן מאמר חז""ל פלאי <small>(במדבר רבה ט""ו, ו')</small> הנאמר על פסוק הזה וזה לשונו: דבר אל אהרן וגו' בהעלותך את הנרות וגו' זה שאמר הכתוב <small>(תהלים ל""ד, י')</small> יראו את ה' קדושיו כי אין מחסור ליראיו. את מוצא למעלה כל הנשיאים הקריבו חוץ מנשיאו של לוי. ומי היה נשיאו של לוי זה אהרן שנאמר <small>(במדבר י""ז, י""ח)</small> ואת שם אהרן תכתוב על מטה לוי. ואהרן לא הקריב עם הנשיאים והיה אומר אוי לי שמא בשבילי אין הקב""ה מקבל שבטו של לוי אמר לו הקב""ה וכו' אל תתירא לגדולה מזו אתה מתוקן וכו' הקרבנות כל זמן שבית המקדש קיים הם נוהגים אבל הנרות לעולם אל מול פני המנורה יאירו וכו' וכל הברכות שנתתי לך לברך את בני אינן בטלין לעולם וכו' עד כאן. וכל המפרשים ראו כן תמהו מה שהבדיל הנרות הללו מן הקרבנות שהקרבנות אינן נוהגים כי אם בזמן שבית המקדש קיים והנרות לעולם הן (ונודע שגם הנרות אינם אלא בזמן שבית המקדש קיים והרמב""ן ז""ל מפרשו על נרות חנוכה שנוהגין לדור דור עיין בדבריו) גם מתחילתו צריך הבנה מה שכתב זה שאמר הכתוב יראו את ה' קדושיו וגו' מה ענין כתוב זה אל הנאמר כאן בהעלותך וגו'. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:16","ויתכן בביאורו על פי אשר ביארנו בחיבורנו סידורו של שבת באריכות <small>(שורש השמיני ענף ב')</small>. ושורש הדברים בקיצור מופלג לבאר מאמר חז""ל <small>(שמות רבה מ""ה, ו')</small> על פסוק <small>(שמות ל""ג, י""ט)</small> וחנותי את אשר אחון וזה לשונו: באותו שעה הראה הקב""ה למשה את כל האוצרות של מתן שכר וכו' והוא אומר האוצר הזה של מי הוא והוא אומר של עושי מצוות. והאוצר הזה של מי הוא של מגדלי יתומים וכו'. ואחר כך ראה אוצר גדול אמר האוצר הזה של מי הוא אומר לו מי שיש לו אני נותן לו משכרו ומי שאין לו אני עושה לו חנם ונותן לו מזה וכו' עד כאן. וגם זה פלא גדול הוא. כי היתכן שזה שאין לו כלל ולא עבד הבורא מימיו יקח יותר מזה ששיבר עצמותיו כל ימיו לעשות מצוות הבורא. שזה לוקח מאוצר שלו וזה לוקח מאוצר הגדול. ונודע אומרם ז""ל <small>(עבודה זרה ג'.)</small> מי שטרח בערב שבת יאכל בשבת ועתה נהפוך שטוב שלא לטרוח ליקח מאוצר הגדול. ועוד הלא אמרו ז""ל <small>(בבא קמא נ'.)</small> כל האומר הקב""ה וותרן הוא וכו'. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:17","ואמנם כי הנה מי שיש לו לב משכיל ונבון ועדיין לא נשתקע בהבלי עולם הזה ותעתועיו. מעצמו יבין לאשורו שאין כל העולם כדאי לעבודת שמו יתברך. כי היתכן שיבוא אחד מאלו המחזרים על הפתחים מלובש בבגדים המבזים את לובשיהם קרוע ובלוי, ונוסף לזה אם הוא איש כפרי ולא ראה אורות מימיו עב השכל למאוד, למלך הארץ היושב על כסא רם ונשא וכל צבאיו שריו ויועציו עומדים לפניו מימינו ומשמאלו מלובשים בגדי משי ורקמה וכתרים על ראשיהם משובצים מכל אבני יקר המאירין ומפיקין נוגה. והמה מחוכמים בכל מיני חכמה ומדע מלומדים בכל מיני כתב ולשון וכל אחד ואחד מצפה ומתאוה אולי יכבדנו המלך לשרתו בדבר מה להביא הקערה לפניו על השולחן או למזוג לו כוס לשתות וכדומה מעבודת המלך. ועתה יבוא איש הכפרי העני הזה בבגדים טלאי על גבי טלאי לומר אני אשמש את המלך לשום לפניו לחם לאכול ובגד ללבוש וכדומה. ומכל שכן שיאמר אני רוצה להכתיר את המלך בכתר המלוכה שלו אשר ודאי אינו כדאי זה לראות את כתר המלוכה ומכל שכן לנגוע בקצהו בידיו הגסים המטונפים ומזוהמים. האם לא ירוצץ ראשו ברגע שלא יוודע כלל אם היה זה בעולם כי ח""ו הוא מבזה את המלך שהמלך ישתמש בכלי שבור כזה. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:18","והרבה יותר מזה לאין קץ הוא בעבודת אלהינו יתברך ויתעלה שמו לעד ולעולמי עולמים. שגדולתו וחכמתו כביכול והדרת זיו יקר תפארתו הוא בלתי שיעור וערך וכל מלאכי מעלה ושרפי קודש וחיות אש לא השיגו מגדולתו יתברך שמו אף אפס קצהו כי אם מעט לפי ערכם ולא יותר. וכל צבא השמים כתות כתות אלפי אלפים ורבוא רבבות מלאכי השרת וחיות הקודש שכולם מאירים ומופיעים מסוף העולם ועד סופו ונוצצים נוגה לכל עבר ועבר עומדים מימינו ומשמאלו מצפים ומתאוים וחושקים ויכמה בשרם ותצמא נפשם מתי יגיע העת והעונה שהוא ישרת למלך הכבוד. ועתה יבוא אדם נברא מטיפה סרוחה חרס מחרסי אדמה עב השכל דל גאה עני ואביון, נודד ללחם איו <small>(על פי איוב ט""ו, כ""ג)</small> קצר קומה קטן וקל ודל כמות שהוא, חייו אינן חיים היום כאן ומחר בקבר סומא לא ראה אורות מימיו. לומר אני אשמש את המלך מלך מלכי המלכים הקב""ה הגדול והנורא שאין קץ לתפארתו ואין ערך לגדולתו. הלא ח""ו ח""ו יתחייב ראשו למלך על הרהורו זאת במחשבתו לבד ומכל שכן בדיבור פה וקל וחומר במעשה. וקל וחומר בן בנו של קל וחומר בעבודה זו הניתן לנו בתפילה ותורה ומצוות שכולם הם כתרי כתרים להיות עולה ויושב בראש אלוה כביכול ולהכתיר בזה את אלהינו יתברך שמו כביכול בכתר הכבוד כמאמרם ז""ל <small>(חגיגה י""ג:)</small> במתניתא תנא סנדלפון שמו הגבוה מחבירו מהלך חמש מאות שנה ועומד אחורי המרכבה וקושר כתרים לקונו. וכתבו התוספות שם מתפילתן של צדיקים הוא עושה עטרות וכו' עד כאן. וכן הוא מפורש בזוה""ק <small>(בשלח נ""ח.)</small> תאנא סנדלפון עלאה הוא וכו' והוא קאים בתר פרגודא דמאריה וקשר ליה כתרין מבעותהון דצלותהון דישראל. ובשעתא דמטי האי כתר לרישא דמלכא קדישא הוא מקבל צלותהון דישראל וכולהו חיילין ואוכלוסין מזדעזעין וכו'. וכמאמר הכתוב <small>(ישעיה מ""ט, ג')</small> ישראל אשר בך אתפאר. כלומר שמעשיך נעשין פאר ועטרה לראשי. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:19","ואכן הנה אלהינו יתברך שמו ח""ו אינו מלך כמלכי ארץ לומר זה ראוי לשמשני וזה אינו. כי במקום גדולתו שם ענותנותו אשר את דכא ישכון ושפל רוח להחיות רוח שפלים ולהחיות לב נדכאים כי טוב ומיטיב הוא יתברך שמו וחפץ חסד להיטיב עם כל בריותיו בכל מיני דומם צומח חי מדבר מקרני ראמים עד ביצי כינים. ומיטיב לרעים ולטובים ברוב חסדיו. ועל כן נתן רשות לנו קרוצי חומר להיות מעובדי עבודתו יתברך שמו. ועוד כי הוא הנותנת כי מלך ממלכי הארץ אשר יש שיעור לגדולתו וערכו, ממילא יש גם כן שיעור וקצבה לעבדיו העומדים לפניו לומר כי זה הוא הראוי לעמוד לפניו וזה אינו ראוי. מה שאין כן באלהינו יתברך שמו שאין שיעור וערך לגדולתו. והוא המשפילי לראות בשמים ובארץ. כלומר שזה כביכול השפלה לפניו לראות בשמים כמו בארץ כי הכל כלא נגדו כאפס ותהו נחשבו לו כנודע. ואף במלאכיו ישים תהלה <small>(איוב ד', י""ח)</small> וכמצביה עביד בחיל שמיא <small>(דניאל ד', ל""ב)</small>. ועל כן אם לא היו עובדי עבודתו רק מלאכי מעלה. ח""ו היה כנראה כי יש קצבה לגדולת כבודו לומר אשר הם הראוים לעמוד לשרת לפניו. ועל כן במקום גדולתו שם ענותנותו להשתמש בכלים שבורים לגמרי להראות על רוב גודל ענותנותו ולהראות אשר אף הגדולים כקטנים יחשב אצלו והוא המשפילי לראות בשמים ובארץ. לכן נאה לפניו להשתמש בקטנים יותר מבגדולים שלא יראה כי הם הראוים לאותו איצטלא. וזה שאמר הכתוב <small>(ישעיה נ""ז, ט""ו)</small> כי כה אמר רם ונשא שוכן עד וקדוש שמו מרום וקדוש אשכון ואת דכא ושפל רוח וגו'. כלומר לפי שהוא רם ונשא למעלה למעלה מכל הרמים והנשאים על כן מרום וקדוש אשכון פירוש עם המלאכים וגם ואת דכא אשכון ושפל רוח וגו'. כי אם לא היה מעונתו רק במלאכים היה נראה ח""ו כי יש גבול לגדולתו. ולא כן הוא. ועל כן החמיר הקב""ה במלאכים הרבה יותר מישראל שאין מזכירים את ה' אלא אחר שלוש תיבות וישראל אחר שני תיבות <small>(חולין צ""א:)</small>, ואין מלאכים אומרים שירה למעלה עד שיאמרו ישראל למטה כמאמרם ז""ל <small>(שם)</small>, ואין המלאכים אומרים שירה בכל עת שירצו כי אם פעם אחת ביום או בחודש או בשנה ובשמיטה כאשר יסד הפייטן באקדמות סדירא בהון קדושתא וכד חלפא שעתא סיומא דלעלם ואף לא לשבועתא. אבל עדב יקר אחסנתא חביבין דבקבעתא כלומר שישראל מותרין להודות לשמו יתברך בכל עת שירצו. ולכאורה הלא הקב""ה הוא הטוב והמיטיב לכל ולמה לא יתן רשות למלאכיו להללו ולשבחו ולספר הודו תמיד כיון שהם מתאוים ומצפים לזה מיום בריאתם יצו ה' חסדו עמהם בזה. ואמנם כי ח""ו יהיה זה כקיצור בשבחיו יתברך. להיות נראה כי ראוים הם לשמשו ולהם נאה עבודה הזאת. מה שאין כן באדם על הארץ שזה ודאי לא יעלה על לב בר דעת לומר כי ראוי הוא לעבודה והראיה ממלאכים שאין להם רשות לעבוד כל כך. על כן הם מותרים תמיד לעובדו יתברך. ואסור למלאכים להתחיל בשירה קודם ישראל הכל להראות כי ח""ו לא מחמת גדלם הם מותרים לעובדו כי אם מרוב ענותנותו יתברך. וראיה מישראל שוכני בתי חומר שגם הם משבחים והם ודאי עפר ואפר רימה ותולעה ועל כן אחר שבחי ישראל מתחילין המלאכים.",
"Be'er Mayim Chaim on Torah, Numbers 8:2:20","ונחזור לענין כי מי שהוא קצת בר דעה והשכל מבין אשר ודאי הוא אינו ראוי וכדאי בשום אופן לעשות רצונו יתברך ולעבוד למלך הכבוד רב ושליט עיקרא ושרשא דכל עלמין וכולא קמיה כלא. ואילו ימסור נפשו ורוחו ונשמתו ועם כל אשר לו בבית ובחוץ בעד מה שיעשה רגע אחד בכל ימי חייו רצון הבורא יתברך על נכון. גם זה אינו התחלה, על אחת מני אלף וכו' להיות ראוי לשמשו. כי מה הוא ומה ימי חייו וכל אשר לו הבל ותהו אין בו מתום. לולי רחמי ה' וחסדיו אשר מעולם ועד עולם שנתן לו רשות לעובדו יתברך. ואפשר לזה אמר הכתוב <small>(ויקרא י""ט, י""ד)</small> ויראת מאלהיך אני ה'. פירוש גם בעת שאני ה' עליך ואתה עומד ומשרת אותי בעבודתך גם אז ויראת מאלהיך שתוגדל היראה והפחד בלבבך לומר וכי איך אני ראוי לעובדו יתברך בפרט בעבודות הגדולות האלה לעשות כתר הכבוד להיות עולה ויושב בראש אלהי צבאות ופן אפסול את העבודה הגדולה בשום דבר מה במחשבת חוץ מעט מזעיר ותיכף הרי פיגול הוא ולא ירצה ונמצא ח""ו טנפתי את הכתר בטינוף הצואה ונתחייבתי ראשי למלך ואף בכריתת ראשי איני כדאי, על אחת מני אלף וכו' לשלם בעד זה. ועוד תוגדל היראה בלבבו במה אוכל לשלם כל ימי חיי למלך המלכים ברוך הוא במה שזיכני בעבודתו ובפרט בעבודה הזאת. ועוד יהיה מתפחד באימה ויראה ורתת וזיע בהיות כי לפי ערך שאני מכיר עתה בגדולתו יתברך יותר מאתמול ולא עבדתיהו אתמול כראוי לפי שאני מבין עתה יותר. ומזאת אני ירא ומתפחד על קיצורי בעבודתי אליו מתמול ומשלשום. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:21","ואפשר לזה אמר אנטיגנוס איש סוכו לתלמידיו <small>(אבות א', ג')</small> אל תהיו כעבדים המשמשים וכו' אלא הוו כעבדים המשמשים וכו' שלא על מנת לקבל פרס ויהי מורא שמים עליכם. פירוש כי זה לא מבעיא שיעלה על דעת האדם לשמשו עבור קבלת שכר. כי איזה פתי יסור הנה שלא להבין אפס קצהו שהוא לו לזכיה ולצדקה גדולה מאוד מאוד עד אין שיעור וערך במה שזכה לעשות רצון בוראו על כן הוו כעבדים המשמשים וכו' שלא על מנת לקבל פרס. ואמנם כי חוץ לזה עוד ויהי מורא שמים עליכם שאחר העבודה תהיו באימה ויראה ופחד אם היתה עבודתו עבודה החשובה כזה כראוי ובמה יוכל כל ימיו לקדם להקב""ה ולעבוד לו על זה הרגע שזכה בעבודה, ועל קיצורו בעבודה בימים העוברים עד עתה כנאמר. ולזה יאמר הכתוב <small>(תהלים י""ט, י')</small> יראת ה' טהורה עֹמדת לעד. כי הנה בחינת היראה כשהיא באה מחמת העבירה שהאדם מרגיש בעצמו שחטא נגד המקום, זו אינה תמידיות ויש לה הפסק. כי כאשר יחזור בתשובה שלימה עד אשר סליחה יבושר ויאמר לו וסר עוונך וגו' הרי שוב אינו ירא ואינו מתפחד. או בצדיק גמור מנעוריו נפסק היראה הזו כיון שהוא זך ונקי בלי שום חטא. אבל היראה הזו שכתבנו שבאה מעבודה, זו נקראת טהורה לפי שנוהגת בטהורים לגמרי שלא חטאו מימיהם והיא תמידיות ואין לה הפסק. ועל כן אמר יראת ה' טהורה פירוש היראה הזו שהיא טהורה שבאה על רוב טהרה וקדושה לא על חטא ועוון. זו עומדת לעד שאין לה הפסק לעולם. וזה פירוש הכתוב <small>(שמות כ', כ')</small> ובעבור תהיה יראתו על פניכם לבלתי תחטאו. כלומר שתראו ממנו אף לבלתי תחטאו. גם כשלא תחטאו כלל וכלל תראו ממנו לגודל איכות חשיבות העבודה אשר בידכם כאמור. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:22","ואולם שלימות בחינה זו לא יצוייר כי אם אחר שיוקדם לה הענוה השלימה הברורה על מכונה. כי אם יחזיק האדם עצמו לדבר בעולם הרי כבר יצוייר בנפשו שעל כל פנים הוא הראוי לעבודה הזו יותר מחבירו. ונמצא אין היראה הזו על שלימותה אחר שיש לו מציאות לומר כי על כל פנים הוא ראוי לזה יותר מזולתו. אבל מי שקדמה לו הענוה השלימה כבחינת משה רבינו עליו השלום שאמר <small>(שמות ט""ז, ז')</small> ונחנו מה, והיה עניו מאוד מכל האדם אשר על פני האדמה ולא יצוייר בנפשו שום מציאות הרי ודאי שיהא ירא מאוד ומתפחד באימה ויראה ורתת וזיע וחלחלה וכל אבריו וארכבותיו דא לדא נקשן לומר מי אנכי לגשת עד הלום אין הלום אלא מלכות <small>(זבחים ק""ב.)</small> מלכו של עולם ברוך הוא לעובדו ולשרתו ולברך בשמו ולהשים כתר מלכות בראשו וככל הנזכר. ועל כן אמר הכתוב <small>(משלי כ""ב, ד')</small> עקב ענוה יראת ה' כלומר הסוף של ענוה הוא יראת ה' שהאדם שיש לו בחינת הענוה שאמרנו תיכף בא ליראה הזו כי יודע בבירור בעצמו שאינו כדאי לעבודה הזו בשום אופן. ועל כן משה רבינו שהיה בו שלימת מדת ענוה אמרו חז""ל <small>(ברכות ל""ג:)</small> שיראה לגבי משה מלתא זוטרתי היא. כי לגודל ההכנעה והענוה שהיה בו ממילא היה ירא ומתפחד לפני מי הוא עומד ואת מי הוא עובד. ועיין שם בחיבורנו שהארכנו שם בזה בכמה וכמה בחינות ובביאור אומרם <small>(בבא בתרא ע""ה.)</small> פני משה כפני חמה על דרך זה. ועל כן אמרו חז""ל <small>(שיר השירים רבה א', ט')</small> מה שעשתה חכמה עטרה לראשה עשתה ענוה סנדל לעקבה וכו' כי אם יהיה האדם חכם בכל החכמות שבעולם ואפילו יהיה גדול מאוד בחכמת התורה אם לא יהיה לימודו כראוי לא יבוא מזה ליראה את ה' הנכבד והנורא כי אדרבה אמרו חז""ל <small>(יומא ע""ב:)</small> לא זכה נעשית לו סם מיתה וכו' כי על ידי זה יוכל איש בער להתגדל בקרבו לומר כי מי כמוני דעה מורה שר התורה אני ואפסי עוד. וזה אש היא עד אבדן תאכל והוא לו סם המות ממש. כי לעולם לא יוכל להדבק בבוראו אחרי אשר תועבת ה' כל גבה לב ואמרו חז""ל <small>(סוטה ה'.)</small> אין אני והוא יכולים לדור וכו'. ונודע מאמרם ז""ל <small>(ספרי מובא בילקוט נשא רמז ת""ש, א')</small> חביבין הן ישראל שאף על פי שהן טמאין שכינה שרויה ביניהם. וכן הוא אומר <small>(ויקרא ט""ז, ט""ז)</small> השוכן אתם בתוך טומאתם. ויוכל להיות אשר האיש אשר שבע תועבות בלבו מעבירות רעות המטמאין את האדם בכל מיני טומאות אף על פי כן הקב""ה כביכול אתו ושוכן עמו בתוך טומאתו. מה שאין כן זה אשר לבו מתגדל בקרבו וסובר שיש לו איזה מעלה מה שאין זאת לחבירו אומר הקב""ה אין אני והוא יכולין לדור וכו'. כי זבחי אלהים רוח נשברה ומי שלבו נשבר ונכנע בקרבו יודע שעדיין לא התחיל בעבודת בוראו כלום כי כן הוא האמת כאשר ביארנו למעלה שאין כל העולם כדאי לרגע אחת עבודת שמו יתברך. רק צדקה עשה הקב""ה שנתן לנו תורתו ועבודתו. ועיקר נתינת התורה והעבודה הוא כדי שעל ידי זה יושבר ויוכנע לב האדם בקרבו להיות ראוי למשכן ה' כי ואת דכא אשכון ושפל רוח. אשר לזה היה כל עיקר בריאת העולם שיתדבק האדם בבוראו אחר התרחקותו ממנו, על ידי שברון לבבו והכנעתו באמת על ידי התורה והמצוות. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:23","ואפשר לזה אמרו חז""ל <small>(בראשית רבה מ""ד, א')</small> לא ניתנו המצוות אלא לצרף בהן את הבריות כלומר לצרפם ולחברם למלך עולמים ברוך הוא על ידי שבירת הלב והכנעה שבאה על ידי התורה והמצוות בזוכרו חסדי הבורא וטובתו במה שהיטיב עמו למסור לו עבודתו כנאמר. וכל עוד יותר שיראה גדולת הבורא על ידי התורה והמצוות יותר יוכנע לבבו ויושפל לפני כל. מאשר יודע קיצורו בעבודה לפני מלך גדול ונורא כזה. אבל אם האדם פוסק מן התורה והמצוות והולך לו מלא גיאות לומר כי מי ידמה לו והוא למדן מופלג או כבר התענה הפסקות ונתגלגל בשלג כדרך מחשבות אלו הפתאים. כל תורתו ומצוותיו ועשיותיו אינן נחשבים לכלום, כי הפכן ממה שניתנו לו. הם ניתנו בכדי שיהיה נשבר לבבו בקרבו על ידי זה והוא אדרבה נתגאה על ידי זה ונתרחק מבוראו להלאה. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:24","ועל כן אמרו חז""ל <small>(אבות ג', כ""א)</small> אם אין חכמה אין יראה אם אין יראה אין חכמה, ולכאורה הם שני הפכים כי איזה מהם יקדים האדם אי אפשר לקדם היראה כי אם אין חכמה וכו' ואי אפשר להקדים החכמה כי אם אין יראה וכו' ואכן האמת כן הוא כי אם יתחיל האדם לימודו ועשיות תורתו ומצוותיו ותפילה בלי הקדמת יראת ה'. רק שיסבור כי הוא הראוי לתורה ומצוות כי איש חכם הוא ומיוחס ויש לו מעשים טובים וכדומה. הרי חכמתו מה הוא חשובה כי אדרבה אחר הלימוד יותר יוגדל לבו בקרבו כבר כי למד כך וכך דפים רמב""ם ושולחן ערוך וכדומה. ועוד חפר בה כמה חפירות שחידש בה חדשות כזה וכזה. ותיכף הולך לבקש איש שיוכל להגיד לו את כל לבו ומתפאר עצמו לפניו כך וכך אמרתי וחידשתי. וכשלא ירצה חבירו להודות לו יחפש בכל מיני חיפושים ביום ולילה בכדי לנצח את חבירו ולהראות שאין חבירו נחשב לכלום נגדו. וזה הוא לו סם המות גמור ונתרחק מבוראו במרחק רב. ומה הוא ומה ימי חייו ותורתו ומצוותיו אם הוא רחוק מהקב""ה אלפיים אמה ויותר. ועל כן צריך להקדים יראת ה' לפני תורתו ומצוותיו לומר מי אנכי שאזכה לעמוד לפני מלך עולמים ברוך הוא ולהתדבק בו על ידי תורתו ומצוותיו ואני מלא פשעים וכו' ועל ידי זה מהרהר בתשובה שלימה לפני בוראו באמת ובתמים לקבל עליו מעתה עול תורתו ומצוותיו ומתחיל ללמוד בשבירת לב והכנעה. ואכן שלימות יראה זו לא תבוא כי אם אחר עשית התורה והמצוות. כי קודם להם הרי לבו שלם בקליפין דיליה ולא אתבר ואינו נכנס כלל לשבירת הלב באמת ולהכרת גדולת בוראו. כי מאין יהיה לו זה בלתי התורה והמצוות. ואמנם אחר הלימוד ועשיית המצוות שלא ניתנו רק לשבירת הלב הזה. כי האדם מדבק עצמו בקונו על ידיהם ומבין בגדולת בוראו ביותר ואז בעזר הבורא עליו נעשה לבו נשבר ונכנע באמת ואז בא ממילא לבחינת היראה האמיתית שזכרנו הבאה מרוב ענוה ושפלות. ועל כן שניהם אמת כי קודם החכמה צריך להקדים על כל פנים היראה הקטנה כאשר יוכל להבין קצת בגדולת הבורא ולהיות נכנע לפניו אבל אם אין חכמה אין יראה כי לא ישיג שלימות היראה כי אם אחר החכמה כאמור. ועל כן מה שעשתה חכמה עטרה לראשה שהוא ראשית חכמה יראת ה', שקודם להחכמה צריך להקדים יראת ה', עשתה ענוה סנדל לעקבה שמיד שבא האדם לבחינת הענוה ממילא יראה מלתא זוטרתי היא לגביה כמדובר. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:25","ועל זה אמר הכתוב <small>(תהלים ל""ד, י')</small> יראו את ה' קדֹשיו כי אין מחסור ליראיו וגו'. כי לכאורה היה ההוה אמינא לומר אשר הקדושים אשר בארץ הנשמרים מכל חטא ועוון מנעוריהם, שוב אין בהם מצות יראת ה' שאין להם לירא מדבר כיון שלא פעלו עולה מימיהם. על כן אמר הכתוב לא כן כי אם יראו את ה' קדושיו שאפילו קדושיו יראו את ה' למען תהיה יראתו על פניהם אף לבלתי תחטאו כנאמר. כי מה יזכה ילוד אשה להקריב אשה לה' מלך גדול ונורא אם לא בחסדי האל. על כן חלילה לגשת אם לא באימה ויראה ורתת וזיע ככל האמור. ולזה אמר כי אין מחסור ליראיו כלומר שאינו חסר מצות היראה לעולם ונוהגת בכל אדם ובכל זמן אף בצדיק גמור מימיו. אדרבה שנוהגת בגדולים יותר מבקטנים כי הללו יראין יראה אמיתית יראת שמו יתברך והללו יראין יראת עצמם שלא יענשו ממרומים בנזקי גופן או נזקי ממונם או עונשי גיהנם. אבל לא את ה' הם יראים לומר כי מי אנכי לגשת עד הלום כנאמר. ועוד יאמר כי אין מחסור ליראיו כלומר כי בחינת היראה הזו שקדושיו יראים מלפניו הוא בלתי הפסק ואינם חסרים לעולם מיראה זו אדרבה היא נתוספת בכל יום ויום יותר, מהכרתו בגדולת בוראו ביותר ולבו נשבר ונכנע ומתפחד ומתירא לפני מי הוא עומד. ",1
"Be'er Mayim Chaim on Torah, Numbers 8:2:26","והנה נודע אשר האדם שזוכה לעבודת בוראו כדבר האמור בלב נשבר ונדכה ביראה ואהבה ושמחה במחשבה דיבור ומעשה. הקב""ה כביכול ברוך הוא וברוך שמו מקבל תענוג ונחת רוח גדול מעבודה זו אחרי שהאדם יודע בנפשו כי אינו ראוי לזה לולי רחמי ה' וחסדיו אשר מעולם על יראיו לזכותם בעבודתו. וה' הטוב יראה ללבב כי מה שהוא בכוחו יעשה ונפשו יודעת מפחיתת ערכו וירא ובוש מלגשת אל העבודה רק שהוא מוכרח לזה מצווי הבורא. וממילא הקב""ה מעורר נגדו כביכול כל שרשי אורות עבודה זו בתורה ותפילה או מצוות ומעשים טובים למעלה למעלה במקום עליון בשיעור קומה. ויאיר לנגדו אור בהיר בשחקים ממקום שורש המצות והיא קיימת לו לעד ולעולמי עולמים. כיון שגרם למעלה בחינת יחוד וזיווג והאיר שם, הרי זה קיים לו לדרי דרין. מה שאין כן העושה מצוה וסובר שהוא ראוי למצוה זו מפני חשיבתו וגדולתו הרי תועבת ה' כל גבה לב וגו' <small>(משלי ט""ז, ה')</small>, ואין הקב""ה מקבל מצוה כזה ואין מאיר נגדו מאור בהיר בשחקים אשר בשבעה הנרות העליונים. אשר על כן אהרן הכהן שהדליק את השבעה הנרות למטה בגודל ענותנותו וצדקתו וכאומרם ז""ל <small>(בתורת כהנים מובא בילקוט רמז תקכ""א וברש""י)</small> בפסוק <small>(ויקרא ט', ז')</small> קרב אל המזבח וגו' שהיה אהרן בוש וירא לגשת אמר לו משה למה אתה בוש לכך נבחרת וכו' כי הגיע לבחינת היראה האמיתית שזכרנו. ודאי ודאי שגרם בזה הארת שבעת הנרות העליונים הידועים הרמוזים במראה אשר ראה יהושע הכהן הגדול <small>(זכריה ד' ב')</small> מנורת זהב כלה וגו' ושבעה נרותיה עליה שבעה ושבעה מוצקות לנרות וגו'. והאור מאיר שבעתים כאור שבעת הימים בכלל ובפרט כנודע למארי קבלה. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:27","ולזה אמרו חז""ל <small>(בראשית רבה ס""ב, א')</small> בפסוק <small>(תהלים ל""ז, י""ח)</small> יודע ה' ימי תמימים ונחלתם לעולם תהיה שחבב הקב""ה שנותן של צדיקים וכתבם בתורה כדי שתהא נחלת ימיהם זכורה לעולם וכו'. כי אותן הימים ימי תמימים שעבדו בהן עבודת בוראן יתברך ופעלו בקרב שנים ימי חייהם הארת האורות העליונים יחודי שמותיו יתברך וזיווגי הפרצופים ומאורות שבעת הימים. אשר זה הוא מקור כל הברכות והישועות ושפע האורות לכל העולמות. הנה הם מאירים בזה לארץ ולדרים עליה ברחמים לעד ולעולמי עולמים ועל כן נכתבו ימיהם ושנותיהם בתורה הקדושה שהיא נצחית לנצח נצחים להורות הדבר הזה כי נחלת ימיהם זכורה לעולם אשר זכו בימי חייהם על הארץ להאיר אור שבעת הימים וליחד ולקרב המדות והמראות הנוראות אחד אל אחד להמשיך על ידי זה כל בחינת שפע וברכה ממקור הברכות והחיים כל אחד לפי ערכו ושורש נשמתו לכללות העולמות ופרטיהם ופרטי פרטיהם עד סוף ימי עולם. ",
"Be'er Mayim Chaim on Torah, Numbers 8:2:28","ובזה יתבאר מאמר חז""ל שהתחלנו בו על נכון כי לצד שרצה לבאר שהיה אהרן ירא ואמר אוי לי שמא בשבילי אין הקב""ה מקבל שבטו של לוי וכו' ולכאורה יתמה ענין יראת אהרן הכהן. כי הלא אהרן קדוש ה' מנעוריו היה, וממה יירא אם לא חטא מעודו. על כן מקדים זה שאמר הכתוב יראו את ה' קדושיו וגו' וכאמור כי אפילו הקדושים אשר בארץ נמצא בהם בחינת היראה ואדרבה יראו את ה' קדושיו כלומר כי קדושיו את ה' הם יראים מה שאין כן החוטאים אינם יראים כי אם יראת עצמם כנזכר למעלה ועל כן אהרן קדוש ה' נתיירא מאוד לומר אולי עבורו נדחה שבטו מעבודת ה'. כי לצד הכרתו והבנתו בה' קיצר בעבודתו מאוד מאוד. או אפשר לא הודה לו כראוי בכל לבו ובכל נפשו ומאודו על שזכה לעבודתו. או שאר בחינת היראה שזכרנו למעלה כי מי ומי ראוי לעבוד עבודת ה' המחיה ומהוה את כל מלך גדול ונורא אשר כל דארי ארעא כלא חשיבין וכמצבייה עביד בחיל שמיא. ",
