Quoting Book,Quoting Ref,Quoted Book,Quoted Ref,Snippet
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Eikev 4",Bava Kamma,," למשול עליו, מזה ראיה שהוא ירא ה', ובאם יהדר במצות עד שליש כמאמר חז""ל (בבא קמא ט':) אז ראיה שהוא אוהב ה' והוא מעומק לבו ולא על הגוון, וגם כאן הזהיר"
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Shoftim 2",Shabbat,,") שבדיבר הקל שעבר נעשה מורד, ואף שנראין לדברי חולין הם מהש""י. כהן"
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Shoftim 6",,,") וסוף איגלאי מילתא דהאי שעתא הוי שכרא שתי, וזה הוא בלי דעת האדם "
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Shoftim 8",Sanhedrin,,) כובש פניו בקרקע היינו שנמצא בו כבידות ואין בו זריזות לאמור לבעל
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Shoftim 16",Leviticus,,"אשימה עלי מלך ככל הגוים אשר סביבתי. ע""ז נאמר בזוה""ק (ויקרא י""ב.) ישראל באן אתר אשרי להו והשיב ויתן אותם אלקים ברקיע השמים. היינ"
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Ki Teitzei 6",Chullin,," שני מצות פירש הקב""ה מתן שכרן אחת קלה שבקלות ואחת חמורה שבחמורות (חולין פ' שלוח הקן), כי שלוח הקן מורה שיוכל האדם לעזוב כל טוב עוה""ז בשביל "
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Ki Teitzei 9",,," בו, וקצותה את כפה, היינו שעי""ז יפסיד כל זכויותיו כי כף היינו ימין (מנחות ט':)."
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, Nitzavim 6",Genesis,," אלקיך ושמעת בקולו, היינו קול פנימאה הנמצא בכל דבר כדאיתא בזוה""ק (בראשית נ':). ושב ה' אלקיך את שבותך ורחמך, היינו רחמנות שהיא בתמימות הלב ית"
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, V'Zot HaBerachah 10",Berakhot,," יחדש בהתורה חדשות בזה יוכל האדם לפגום ח""ו. וזה הענין שפרשו חז""ל (ברכות נ""ז.) מורשה ומאורסה, מורשה היינו קדושת האבות ומאורסה היינו מה שניתן ל"
Mei HaShiloach,"Mei HaShiloach, Volume I, Deuteronomy, V'Zot HaBerachah 16",,,) והשיב לו רבא אין דסגינן בשלימותא כתיב בן תומת ישרים תנחם (משלי 
Mei HaShiloach,"Mei HaShiloach, Volume I, Prophets, Joshua 4:1",Nedarim,," הכהנים אל החרבה. הנה הירדן בעולם נגד הכבד בנפש שמורה על כעס כדאיתא (נדרים כ""ב:) אכתי לא עבר ירדנא, והים סוף בעולם נגד חוט השדרה בנפש שמורה על ת"
Mei HaShiloach,"Mei HaShiloach, Volume I, Prophets, II Samuel 17:1",,,) כי כל חטא שאינו בפרסום מהנקל לתקנו אבל כשהוא בגלוי אז קשה לתקנו
Mei HaShiloach,"Mei HaShiloach, Volume I, Prophets, I Kings 12:1",,,") כי רחבעם היה זב יתראה שמכאן פשטו, כי זב היינו שממהר ומקדים הזמן"
Mei HaShiloach,"Mei HaShiloach, Volume I, Writings, Psalms 69:1",,,)
Mei HaShiloach,"Mei HaShiloach, Volume I, Writings, Psalms 119:1",Leviticus,,"חצות לילה אקום להודות לך. איתא בזוה""ק (ויקרא כ""ג:) מי שעוסק בתורה בחצות לילה אז אורייתא מודעת ליה חטאו ולא באורח "
Mei HaShiloach,"Mei HaShiloach, Volume I, Writings, Psalms 131:1",Beitzah,,") גבי יונה כל דמדדה כו' וכנסת ישראל נמשלין ליונה כידוע (שבת מ""ט.)"
Mei HaShiloach,"Mei HaShiloach, Volume I, Writings, Proverbs 3:3",,,).
Mei HaShiloach,"Mei HaShiloach, Volume I, Writings, Proverbs 13:4",Berakhot,," צדיק. היינו אם הוא חבורה של מצוה ואז הצדיק מייתר הרבה מרעהו כמחז""ל (ברכות ס""ג:) שנים ששונים ולא בד בבד."
Mei HaShiloach,"Mei HaShiloach, Volume I, Writings, Proverbs 30:2",Chullin,," גבר בעלמה. נשר מורה על טומאה כי הנשר אין לו אף סימן אחד של טהרה (חולין ס""א.) וכל ארבע סימני טומאה נמצאו בו, ושמים מורה על טהרה ובהירות היינו"
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Berakhot 5a:1",,,") וע""י יתישת כח של ד""ת יוכל להזדכך לב האדם כמו מיסורין, לכן (תהלי"
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Berakhot 34b:1",,," ממש כענין המראה לנגד עיניו, דרך משל כאשר ראה הנביא את הארבע מלכיות (דניאל ז') והיו נמשלין בנבואתו כנשר וכו' היה רואה כח הנשר בכל העולמות עד ש"
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Shabbat 49a:1",Ketubot,,") שהשביע הקב""ה את ישראל, וזהו פי' טומנין בכסות היינו מצות ציצית ש"
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Pesachim 112a:1",Bava Batra,," בדעתו שההתחלה היה מהמלמד שלימד את יואב ולימד לו טעות בין זכר לזכר (בבא בתרא כ""א:) על כן נשאר עוד זאת האומה, ומצערת לישראל ע""כ צוה ללמד מספר מוגה."
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Yoma 26a:1",Nedarim,," תורה בעוה""ז, כגון כופר הכל הפסק הלכה שהוא פטור ובמעשה דקניא דרבא (נדרים כ""ה.) שבאמת היה טוען שקר אף שהיה אליבא דהלכתא שכופר הכל פטור על פי ד"""
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Rosh Hashanah 8b:1",,," לאמתה כי אף שדן דין אמת יוכל להיות שהדין מרומה כמעשה דקניא דרבא (נדרים כ""ה.). וחלום טוב הוא המחשבה, מלך יקרא הלב כמו שמבואר בספר יצירה [פ""ו,"
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Megillah 11a:1",Avodah Zarah,," אימתי ראו כל אפסי ארץ את ישועות אלקינו בימי מרדכי ואסתר. כתיב (תהלים ע""ז,ט""ו) אתה האל עושה פלא הודעת בעמים עוזך, היינו כי כל הניסים שעשה הקב"""
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Chagigah 3a:1",,," הזה לקיים המצוה בשלימות ולא מתוך הרגל, וזה המאמר נאמר גם בנר חנוכה (שבת כ""ב.) ללמד לאדם שלא ידמה בנפשו מה יהיה אם אינו מקיים המצוה בשמחה, לכן"
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Nedarim 81a:1",,,") שאחאב היה יודע פ""ה פנים בתורה ודואג ואחיתופל טינא היתה בלבם, הי"
Mei HaShiloach,"Mei HaShiloach, Volume I, Talmud, Bekhorot 8b:2",Sanhedrin,,) לא הוי הוי דהוי לא כל שכן. והשיבו לו מי איכא סילתא לכודנייתא הי
Mei HaShiloach,"Mei HaShiloach, Volume II, Introduction 16",Chagigah,,") שגם במעשה מרכבה יש נאה דורש ונאה מקיים, היינו שיבין האדם שצריך "
Mei HaShiloach,"Mei HaShiloach, Volume II, Genesis, Bereshit 1",Leviticus,,"בראשית ברא אלהים את השמים ואת הארץ. איתא בזוה""ק (ויקרא י""א:) עשרה מאמרות במעשה בראשית ועשרה מאמרות במתן תורה, היינו כשהאדם "
Mei HaShiloach,"Mei HaShiloach, Volume II, Genesis, Vayeshev 7",,," חסרונו אכן השי""ת ברוב רחמיו מודיע לו חסרונו לא ע""י עונש כדאיתא בזה""ק (ויקרא כ""ג:) ומאן דקאים בליליא למלעי באורייתא אורייתא קא מודעא ליה חוביה ול"
Mei HaShiloach,"Mei HaShiloach, Volume II, Genesis, Vayechi 1",Pesachim,,) ומקודם לא סדרו ביניהם מה שיאמרו רק ששרתה עליהם רוח הקודש שכוונו
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Vaera 3",,," תחת דבר הפדוי כענין פדעהו מרדת שחת מצאתי כפר וכו'. ובלקוטי תורה (ירמיה ל""א) נמצא כי גאולה גדולה מפדיה וכו', היינו שפדיה רומז שאפילו אם מצד "
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Vaera 3",,," וכו' הה""ד מצאתי כפר למפדי ליה. ונתבאר הענין בהאר""י ז""ל (לקוטי תורה ישעיה א') גאולה הם רחמים פשוטים וכו' אבל הפדיון לא נעשה אלא בכפר תחת דבר הפדוי"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Vaera 4",Bava Metzia,," שהוא למעלה מהכרת דעת האדם אין לו קנין וזכות בו. כדאיתא (בהגהת אשר""י ב""מ פ""ב) באחד שקנה מעכו""ם בדיל בחזקת בדיל, ומכרו לישראל אחר בחזקת בדיל, "
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Bo 7",,," שתים פת באפריקי שתים. טט מורה על התחלה שעדיין לא ניכר, כדאיתא בזה""ק (בראשית ג'.) שאות ט' מורה שטובו גנוז בגויה ואינו ניכר הטובה שנמצא בהמצוה. ו"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Bo 8",,,") שזה אפריקי, וזהו שתים השניות שבתפילין, שרומזים שהאדם יתענג מחיי"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Beshalach 1",Joshua,," למה נקרא זאת נס, אכן עומק הענין בזה כמו שנתבאר בחלק ראשון ובחלק זה (יהושע ד""ה ויהי) שמשה רבינו בקע את הים שישראל יהיו מנושאים על כל התאות שב"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Beshalach 3",Psalms,,") אף שהיה מלך בן מלך שיחוס על אנשים עניים בדעת, כמו שכתיב וצדקתך "
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Yitro 12",Shabbat,," ראו ישראל מפורש שלא היה שום אתערותא מצדם, וכמבואר בחלק ראשון (מסכת שבת פ""ו.), וזה דאיתא במדרש (שיר השירים א',נ""ו) שינה של עצרת עריבה (וכמבוא"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Terumah 5",Shabbat,," לחכמה אחרת אם כן הרי גם המלאכים חמדו לה, כמו שנתבאר בחלק ראשון (מסכת שבת פ""ח) וזה היה תשובת אליהו זכור לטוב לאותו תלמיד בני לא זכה האיש לדברי"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Tetzaveh 3",Berakhot,,"), שברא נפשות רבות בדעות שונות ומכחישים אלו את אלו, וכן יש תמיד ב"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Tetzaveh 5",,," הליועץ למלך נתנוך חדל לך ושם היה הענין עמוק בזה כמבואר בחלק ראשון (ויקרא ד""ה על כל) כי מלך כל היוצא מפיו הם דברי אלהים כמבואר בחלק ראשון (ש"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Tetzaveh 5",,," ד""ה על כל) כי מלך כל היוצא מפיו הם דברי אלהים כמבואר בחלק ראשון (שופטים ד""ה "
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Tetzaveh 5",,,"""ה שופטים ב')."
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Ki Tisa 5",Genesis,," ובזה נקראו הטובות על שמו כי קנה אותם ע""י שסבל מהם, וזה נקרא בזה""ק (בראשית ט""ז:) מטי ולא מטי וע""י זה נקבע הקדושה בלבו יתד שלא תמוט לנצח, לכן נכ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Ki Tisa 11",Genesis,," בתיקוני הזהר (תיקון מ' פ':) דהא לית תמן פרודא לעילא וכו', ובזה""ק (בראשית כ""ו:) עיין שם כל הענין."
Mei HaShiloach,"Mei HaShiloach, Volume II, Exodus, Ki Tisa 12",,,).
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Vayikra 1",I Kings,," שעל ידי מעשה המצות מתלבש האדם ומתאזר בתקופות כדאיתא במדרש (רבה תשא פמ""א א') אין לך שעה שישראל באין בזרוע עם הקב""ה כשעה שמקיימין את המצות. ה"
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Vayikra 6",Leviticus,," והסיר את מראתו בנוצתה שזה הוא במקום קרביו. הענין בזה כדאיתא בזה""ק (ויקרא ח':) כמה דהוה חטאה הכי הוה מקריב יש שמכיר בנפשו שיש לו חטא במעשה ממ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Vayikra 9",,," שמיני היה ראוי להיות התחלת ספר ויקרא, וענין מה שמתחיל במדרש (תנחומא ויקרא ב') בענין טעה בברכת המינים שמחזירין אותו שמא מין הוא שאם יהא בו צד "
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Shmini 3",,," יהודה נמשל לירח שלית ליה מגרמיה כלום כדאיתא בזה""ק (ויחי רל""ז.,רל""ח.) (ר""ה כ""ה.) ששבט יהודה מכיר תמיד הכרה מפורשת שהכל מה' לכן נאמרו אצלו ברכות "
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Shmini 5",Chullin,,) ששם כתובים כל סימני חיות ובהמות ועופות איתא שם שאמר ליה קיסר לר
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Shmini 6",II Kings,," ולכתוב רחמנא קשקשת ולא בעי סנפיר א""ר אבהו וכן תנא דבי ר' ישמעאל (ישעיה מ""ב,כ""א) יגדיל תורה ויאדיר, הענין בזה כי קשקשת הוא כמו עין שמרמז על אלופ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Shmini 7",II Kings,," ולכתוב רחמנא קשקשת ולא בעי סנפיר א""ר אבהו וכן תנא דבי ר' ישמעאל (ישעיה מ""ב,כ""א) יגדיל תורה ויאדיר. ענין ויאדיר מורה על דבר שממילא נדע אותו ומ""מ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Kedoshim 4",II Kings,," ערוה אתה מוצא קדושה. ערוה נקרא כל חמדות עוה""ז כענין שנאמר (בראשית מ""ב,ט') ערות הארץ, והאדם אשר מגדיר עצמו בגדר חזק בפני כל הנאת עוה""ז אז "
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Kedoshim 6",Kiddushin,,"), ואת שבתתי תשמרו, שבאלו השנים ימצא העיקר המכוון, כי העיקר כונת "
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Kedoshim 8",II Kings,," ופחדו אל ה' ואל טובו באחרית הימים, כמו שאדם מפחד וחרד ומצפה, (תהלים מ""ב,ג') מתי אבוא ואראה פני אלהים ולא כתיב ואראה רק ואראה היינו שיתראה ע"
Mei HaShiloach,"Mei HaShiloach, Volume II, Leviticus, Emor 7",,,").
"
Mei HaShiloach,"Mei HaShiloach, Volume II, Numbers, Beha'alotcha 9",,,) שמשה רבינו התפלל עליו ועזר מצריו תהיה שיהיה יכול לאסוקי שמעתא א
Mei HaShiloach,"Mei HaShiloach, Volume II, Numbers, Sh'lach 4",,,") שזה מורה שנתברר כל דבר בהעומק, ואם כן היה צריך להיות הסדר תחילה"
Mei HaShiloach,"Mei HaShiloach, Volume II, Numbers, Sh'lach 6",,,) וכמבואר בחלק ראשון (פרשת אמור) ובחלק זה (פרשת אמור) כי אלו השני
Mei HaShiloach,"Mei HaShiloach, Volume II, Numbers, Balak 1",I Kings,," תיכף ביצאתם קבלו התורה שהוא חירות מכל עול ושיעבוד כדאיתא (רבה שמות פמ""א ט', ובהרבה מקומות) חרות על הלוחות אל תקרא חרות אלא חירות ועל זה נאמ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Numbers, Masei 2",,,).
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Devarim 2",,,"), וכל הצער והסבלנות שהיה להם היה כדי שאח""כ יקבעו ד""ת בהם בקביעות"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Eikev 2",,,") על הקרבים וזה דאיתא בגמ' (תענית י""א:) כאלו קדוש שרוי בתוך מעיו "
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Eikev 4",,," (תהלים ק""ד,ט""ו) ויין ישמח לבב אנוש וכו' ותמרים מסיר הדאגה כדאיתא בגמ (כתובות י':) וכן להיפוך מצינו בגמ' (ברכות ל""ו.) שקמחא דשערי קשה לקוקיאני, וכ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Re'eh 1",Sanhedrin,,") שזה קאי על ירושלים, ועל שילה לא נאמר ואמהתיכם רק אחר שכתיב והיה"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Shoftim 8",,," איביך אשר נתן ה' אלהיך לך. כל הטובות הכין השי""ת רק לישראל כדאיתא בגמ (יבמות ג'.) אפילו הספינות הבאות מגליא לאספמיא אינן מתברכות אלא בשביל ישראל,"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Shoftim 11",,," חולין ו'.), ונסתרות נקרא מה שנמצא הטעות בלב ואין האדם מרגיש כלל "
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Ki Teitzei 1",,," מזמור שיר ליום השבת טוב להדות לה' מזמור זה שבת אמרה כדאיתא בזהר חדש (בראשית ד""ה אלה תולדות) וזה ותרם כראם קרני, שכל הנהגות של השי""ת עם ישראל הוא"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Ki Teitzei 4",,,") שב""ש אוסרים שינוייהן, שאפילו אם ישנה אותם שיאמר שרוצה בזה לשם ש"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Ki Tavo 4",Rosh Hashanah,,). ולתתך עליון על כל הגוים אשר עשה לתהלה ולשם ולתפארת ולהיותך עם 
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Nitzavim 1",,," נרמז ענין פילגש בגבעה, איש ואשה ומשפחה רומז על המעשה ראשונה מהפלגש (שופטים י""ט) ושבט נאמר על אשר בכו לפני ה' על אשר דחו שבט בנימין לבוא בקהל כמו"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Nitzavim 1",Judges,," נאמר על אשר בכו לפני ה' על אשר דחו שבט בנימין לבוא בקהל כמו שכתיב (שופטים כ""א) עד שהאיר הקב""ה את עיניהם שראו שנזכר חטאם בתורה כמו שכתיב כאן וה"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Nitzavim 4",,,") זה המחזיר אבדתו לעכו""ם, כי סליחה היא לבטל הרע מהלב ויהיה הכל בק"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Nitzavim 5",,," תקונא קדישא לאתתקנא בה בר נש וכו' ולכן נאמר ושמעת בקלו וכדאיתא בזה""ק (בראשית נ':) והאי קול פנימאה איהו וכו' ומהכא נפקא אורייתא דאיהו קול יעקב וע"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Vayeilech 1",,," לפניו להשיג שלימות אחר רק להתעלות ולהתכלל ברעוא עלאה כדאיתא בזה""ק (בראשית מ""ד:) וזה השיג ביום האחרון מימי חייו, [הגה""ה מאחי אדמו""ר בעל ארחות ח"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Ha'Azinu 3",,,") שכל התורה נקרא שירה ועיקר הוא שירת האזינו, וצורתא דשמעתתא של שי"
Mei HaShiloach,"Mei HaShiloach, Volume II, Deuteronomy, Ha'Azinu 8",,," שבאחרית הימים כאשר תגבר יד אויב על ישראל חלילה כדאיתא במדרש (שוח""ט תהלים ב') על מלחמת גוג ומגוג שיאמר אני מזדווג לפטרונן ויאמרו כל העכו""ם רדפו"
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Joshua 2:1",,,"ונתתם לי אות אמת. איתא בזה""ק (ויקרא ב'.) דא אות ו' דדא אקרי אות אמת ואי תימא שאר אתוון לאו אינון אמת, א"
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Judges 5:1",,,) ובנחה יאמר שובה ה' רבבות אלפי ישראל מלמד שאין השכינה שורה על פח
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Judges 5:1",,,"), וזה ענין התקשרות השי""ת עם ישראל כדאיתא בזהר חדש אחרי (דף מ""ט:)"
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Isaiah 33:1",II Kings,," אמונת עתיך חסן ישועת חכמת ודעת יראת ה' היא אוצרו. איתא במדרש (רבה לך מ""ב,ד') כל מקום שנאמר והיה שמחה, וכאן הוא שלעתיד ישמח כל אחד בחלקו שהופ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Isaiah 51:2",Shabbat,," הנמצאים בשורשו כמו שיצחק אבינו אשר ממנו יהיה כל הישועות לעתיד כדאיתא (שבת פ""ט:) ועל הלבוש היה מדתו מדת גבורה כמו שאיתא בזה""ק (שלח קע""ג:) מצפון "
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Isaiah 54:1",Genesis,," ושוהם הוא אבנו של יוסף שמדתו אהבה והשפעה וכמו שנתבאר בחלק ראשון (פרשת בראשית ד""ה וזהב הארץ) וגבריאל הוא מדת גבורה וישפה הוא אבנו של בנימין שרומ"
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Isaiah 58:1",I Kings,," יעיד על ענינים כאלו שישראל כוונו לעומק רצונו ית' וזה נקרא (ישעיה מ""א,ט') ומאציליה קראתיך, מהזוית ששם ההבדל בין הקצות הוא כחוט השערה, על "
Mei HaShiloach,"Mei HaShiloach, Volume II, Prophets, Joel 4:1",Yoma,,",כ""ג.) כל תלמיד חכם שאינו נוקם ונוטר כנחש אינו תלמיד חכם."
Mei HaShiloach,"Mei HaShiloach, Volume II, Writings, Psalms 4:1",,,"), רק קודם בואו להתגברות התאוה. וזה שכתיב רגזו שירגז וירעש בו הלא"
Mei HaShiloach,"Mei HaShiloach, Volume II, Writings, Psalms 47:1",Bava Batra,,") מה נחלה אין לה הפסק שלא תפסוק לעולם, מחמת שכל חמדות עולם הזה הם"
Mei HaShiloach,"Mei HaShiloach, Volume II, Writings, Psalms 78:1",Nedarim,," יהיה) ששבט יהודה מכוון רצון השי""ת שלא מדעת וכעין עובדא דקניא דרבא (נדרים כ""ה.) וכן בגמ' (בבא מציעא צ""ז.) איכסוף לסוף אגלאי מלתא דלמיסר טעונה ה"
Mei HaShiloach,"Mei HaShiloach, Volume II, Writings, Proverbs 1:3",Chagigah,,") שיש ד""ת שאין מוסרים אותם לכל אדם, וזה נקרא חכמות בחוץ שהאדם הוא"
Mei HaShiloach,"Mei HaShiloach, Volume II, Writings, Proverbs 17:1",Deuteronomy,," מאה וע""י המוסר של ד""ת נפדו מכל היסורין כמו שנתבאר בחלק ראשון (פרשת דברים ד""ה ויהי)."
Mei HaShiloach,"Mei HaShiloach, Volume II, Writings, Proverbs 31:1",Genesis,," ילבינו ומזה נראה שעיקר השבח הוא שלג, אך הענין בזה כי שלג איתא בזוה""ק (בראשית ו':) ביום השלג ביומא דגרמו חובין ודינא אתדן לעילא מעם בי דינא עלאה "
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Berakhot 9b:1",Exodus,," שמשלו על השבעים נפש מישראל משלו על כל השבעים אומות כדאיתא בזוה""ק (שמות ה':), והיינו שהיה למצרים כח חיים לשעבד בכל הע' אומות, ובעת שהוציא ה"
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Berakhot 20a:1",,," תדיר כמבואר בחלק ראשון (פרשת משפטים ד""ה ראשית בכורי אדמתך ובליקוטי הושע ד""ה אשור) אכן לפעמים צריך האדם להשתמש במדה מהירות, שימסור נפשו ולא"
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Berakhot 20a:2",,,") והיה עוצם עיניו מראות מרע, ועל זה לא נתיירא מיצר הרע."
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Pesachim 50a:3",Pesachim,," אלו הסתרות אז יתראה אור השי""ת וכמו שנתבאר בחלק ראשון (ליקוטי הש""ס פסחים נ'.) שהשם הויה רומז שהכל בידי שמים וכל מחשבות ומעשים הכל הוא מהשי""ת,"
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Pesachim 54b:1",Megillah,," עין כי אופיה של מלכות פרס הוא צרת עין כמבואר בחלק ראשון (לקוטי הש""ס מגילה ז' ד""ה תני) ובחלק זה (פרשת קרח ד""ה ויקח א') ולכן נאמר תחלה מלכות בי"
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Pesachim 106a:1",,,") שבכניסת שבת היה צריכים לתקוע וכן לקדש, היינו שכל מה שהיה קודם ה"
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Megillah 12b:1",Megillah,," בגדי ישע מעיל צדקה יעטני. היינו כמו שנתבאר בחלק ראשון (לקוטי הש""ס מגילה י""ב: ד""ה והקרוב) שכל המצות ומע""ט שישראל עושים הם לבושים לאור השי""ת, ש"
Mei HaShiloach,"Mei HaShiloach, Volume II, Talmud, Megillah 12b:1",Yoma,,") ויוצרא דעריות גם כן היה בידם ורצו לבטלו, רק מחמת שלא היה אז עדי"
Mei HaShiloach,"Mei HaShiloach, Volume II, Anthology, In Zohar 1",,,"מה שאיתא בזוה""ק (ויקרא י""ג.) שלום על ישראל סתם, וכן בזוה""ק (פנחס רמ""א.) ישראל סבא סתמא, שעי"
Mei HaShiloach,"Mei HaShiloach, Volume II, Anthology, Miscellany 2",,,") לידע אינש בנפשיה, היינו שתיכף בתחלת ההשפעה יבין האדם איזה דברי "
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Genesis, Lech Lecha 3",Sanhedrin,," שעשהו הקב""ה צינור שיהיה שביל שכל ההשפעות ילכו דרך זה.(תפארת יוסף סנהדרין ק""ח: ד""ה אמר ב')"
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Genesis, Lech Lecha 3",,," מאי דעתך דקאי צדק במערב מהדרנא ומוקימנא ליה במזרח כמו שאיתא בש""ס (שבת קנ""ו.), ובאם אברהם אבינו ע""ה היה מחשב לעצמו אז איזה כח, היה מקום לו לא"
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Genesis, Lech Lecha 4",Shabbat,," כל השמחות מסתעפין משמחה זו שזו המצוה מרמז על שמחה, שכן אמרו בש""ס (שבת ק""ל.) שקבלו ישראל עליהם זו המצוה בשמחה.(בית יעקב בראשית וירא א', ב')"
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Genesis, Vayetzei 2",Chullin,," שמו שמעון. ושמעתי פירושו כי שנואה אנכי, דדיוקנו של יעקב בכסא הכבוד (חולין צ""א:) והקב""ה נקרא שונא זימה (סנהדרין ק""ו.) והוא הריח ריח זה בה, ובשמע"
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Genesis, Vayeshev 1",Pesachim,," תורה ויודעי דת ודין וגמירי הלכתא דאין משיבין על הקלקלה כדאיתא בש""ס (פסחים ג'.) והיה להם להשליך את הכתונת שלא יצא מפיהם דבר קלקלה. אכן מאחר שכן"
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Exodus, Yitro 1",,,") עגלא תילתא.(בית יעקב שמות יתרו ל""ט)"
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Exodus, Mishpatim 2",,," עשה עכת""ד כפי מה שיצאו מפיו הקדוש בקיצור נמרץ ולא ביאר יותר.(שביתת שבת א' ד""ה ונהירנא ועי""ש באריכות הדברים, פרי צדיק משפטים ו')"
Mei HaShiloach,"Mei HaShiloach, Mei HaShiloach Anthology, Exodus, Ki Tisa 2",Ketubot,,") ואין מכיר הנוכח, ומשה רבינו לא נכנס לארץ, ואין זה פגם למשה רבינ"
