Index Title,Ibn Ezra on Genesis
Ibn Ezra on Genesis 41:43:2,"<b>מרכבת.</b> עץ נתונה על ארבעה סוסים, ומרכבת שלמה לעדה<i data-commentator=""Yahel Ohr"" data-order=""קט""></i><i data-commentator=""Karnei Ohr"" data-order=""מב""></i>:"
Ibn Ezra on Genesis 41:43:3,"<b>אברך.</b> כל אדם קורא לפניו אכרע ואשתחוה<i data-commentator=""Yahel Ohr"" data-order=""קי""></i>, זו המלה מבנין הכבד הנוסף<i data-commentator=""Yahel Ohr"" data-order=""קיא""></i><i data-commentator=""Karnei Ohr"" data-order=""מג""></i>, ויברך על ברכיו (דה""ב, ו, יג) מהקל<i data-commentator=""Yahel Ohr"" data-order=""קיב""></i> וכלם מגזרת ברכים<i data-commentator=""Yahel Ohr"" data-order=""קיג""></i><i data-commentator=""Karnei Ohr"" data-order=""מד""></i>, ויאמר ר' יונה המדקדק הספרדי<i data-commentator=""Yahel Ohr"" data-order=""קיד""></i> כי אברך שם הפועל<i data-commentator=""Yahel Ohr"" data-order=""קטו""></i>, והאל""ף תחת ה""א<i data-commentator=""Yahel Ohr"" data-order=""קטז""></i> כמו אשכם ושלוח (ירמי' כה ד)<i data-commentator=""Yahel Ohr"" data-order=""קיז""></i><i data-commentator=""Karnei Ohr"" data-order=""מה""></i> ולפי דעתי שאל""ף אשכם לשון המדבר<i data-commentator=""Yahel Ohr"" data-order=""קיח""></i>:"
Ibn Ezra on Genesis 41:44:1,"<b>אני פרעה.</b> אני לבדי המלך, ואין אדם שיהיה ברשותו זולתך,"
Ibn Ezra on Genesis 41:44:2,"וטעם רגלו<i data-commentator=""Yahel Ohr"" data-order=""קיט""></i>, לו רשות ללכת<i data-commentator=""Yahel Ohr"" data-order=""קכ""></i> או על דרך משל<i data-commentator=""Yahel Ohr"" data-order=""קכא""></i><i data-commentator=""Karnei Ohr"" data-order=""מו""></i>,והוא הנכון:"
Ibn Ezra on Genesis 41:45:1,"<b>צפנת פענח.</b> אם זו המלה מצרית לא ידענו פירושה<i data-commentator=""Yahel Ohr"" data-order=""קכב""></i>, ואם היא מתורגמת<i data-commentator=""Yahel Ohr"" data-order=""קכג""></i> לא ידענו שם יוסף<i data-commentator=""Yahel Ohr"" data-order=""קכד""></i> ויהיה פי'<i data-commentator=""Yahel Ohr"" data-order=""קכה""></i> פענח כאשר תרגם המתרגם ארמית<i data-commentator=""Yahel Ohr"" data-order=""קכו""></i><i data-commentator=""Karnei Ohr"" data-order=""מז""></i>, והיא מלה מרובעת<i data-commentator=""Yahel Ohr"" data-order=""קכז""></i>:"
Ibn Ezra on Genesis 41:45:2,"<b>כהן און.</b> עובד השם או עובד עו""ג<i data-commentator=""Yahel Ohr"" data-order=""קכח""></i><i data-commentator=""Karnei Ohr"" data-order=""מח""></i>, כי כהן בכל המקרא כי אם משרת על דעתי<i data-commentator=""Yahel Ohr"" data-order=""קכט""></i><i data-commentator=""Karnei Ohr"" data-order=""מט""></i>:"
Ibn Ezra on Genesis 41:45:3,"<b>ויצא יוסף.</b> יצא שמו, כטעם ""ויצא לך שם בגוים"" (יחז' טז יד) או יצא ועבר על כל מקום והכריזו עליו כדי שיכירוהו<i data-commentator=""Yahel Ohr"" data-order=""קל""></i><i data-commentator=""Karnei Ohr"" data-order=""נ""></i>:"
Ibn Ezra on Genesis 41:48:1,"<b>את כל אוכל.</b> אין פי' כל<i data-commentator=""Yahel Ohr"" data-order=""קלא""></i> כי הי' מתים ברעב, וכן וכל הארץ באו (למטה פסוק נז)<i data-commentator=""Yahel Ohr"" data-order=""קלב""></i> רק טעמו שקבץ כל אשר יכול<i data-commentator=""Yahel Ohr"" data-order=""קלג""></i><i data-commentator=""Karnei Ohr"" data-order=""נא""></i>:"
Ibn Ezra on Genesis 41:51:1,"<b>כי נשני אלהים.</b> טעמו כי אמר<i data-commentator=""Yahel Ohr"" data-order=""קלד""></i><i data-commentator=""Karnei Ohr"" data-order=""נב""></i>, ויאמר ר' יהודה המדקדק הראשון<i data-commentator=""Yahel Ohr"" data-order=""קלה""></i>, כי נשני על משקל חנני<i data-commentator=""Yahel Ohr"" data-order=""קלו""></i>, ויאמר ר' משה הכהן הספרדי<i data-commentator=""Yahel Ohr"" data-order=""קלז""></i> כי הפתח תחת חירק<i data-commentator=""Yahel Ohr"" data-order=""קלח""></i><i data-commentator=""Karnei Ohr"" data-order=""נג""></i>:"
Ibn Ezra on Genesis 41:54:1,"<b>וַתְחִילֶנָה.</b> מבנין הקל פעל הכפל<i data-commentator=""Yahel Ohr"" data-order=""קלט""></i><i data-commentator=""Karnei Ohr"" data-order=""נד""></i>:"
Ibn Ezra on Genesis 41:54:2,"<b>בכל הארצות.</b> סביבות מלכות מצרים<i data-commentator=""Yahel Ohr"" data-order=""קמ""></i><i data-commentator=""Karnei Ohr"" data-order=""נה""></i>:"
Ibn Ezra on Genesis 41:56:1,"<b>ויפתח יוסף את כל.</b> האוצרות שהיו עמם<i data-commentator=""Yahel Ohr"" data-order=""קמא""></i><i data-commentator=""Karnei Ohr"" data-order=""נו""></i>:"
Ibn Ezra on Genesis 41:56:2,"<b>וישבור למצרים.</b><i data-commentator=""Yahel Ohr"" data-order=""קמב""></i> פירוש נתן שבר למצרים<i data-commentator=""Yahel Ohr"" data-order=""קמג""></i>, וטעמו קנין<i data-commentator=""Yahel Ohr"" data-order=""קמד""></i><i data-commentator=""Karnei Ohr"" data-order=""נז""></i>:"
Ibn Ezra on Genesis 41:57:1,"<b>לשבור אל יוסף.</b> הפוך וכן הוא, וכל הארץ באו מצרים אל יוסף לשבור<i data-commentator=""Yahel Ohr"" data-order=""קמה""></i><i data-commentator=""Karnei Ohr"" data-order=""נח""></i>:"
Ibn Ezra on Genesis 42:1:1,"<b>וירא יעקב.</b><i data-commentator=""Yahel Ohr"" data-order=""א""></i> בעבור היות ההרגשות<i data-commentator=""Yahel Ohr"" data-order=""ב""></i> נחברות במקום אחר<i data-commentator=""Yahel Ohr"" data-order=""ג""></i> יחליפו זו בזו, כמו, ראה ריח בני"" (למעלה כז כז)<i data-commentator=""Yahel Ohr"" data-order=""ד""></i> ""ומתוק האור"" (קהלת יא ז)<i data-commentator=""Yahel Ohr"" data-order=""ה""></i>, וכן וירא יעקב<i data-commentator=""Yahel Ohr"" data-order=""ו""></i>, כי אחריו כתיב ""הנה שמעתי"" (פ' ב)<i data-commentator=""Yahel Ohr"" data-order=""ז""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i>:"
Ibn Ezra on Genesis 42:1:2,"<b>למה תתראו.</b> שיש לכם הון<i data-commentator=""Yahel Ohr"" data-order=""ח""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i>, או אל תהיו מריבים זה עם זה כמו נתראה פנים (דה""ב, כה, יז)<i data-commentator=""Yahel Ohr"" data-order=""ט""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i>:"
Ibn Ezra on Genesis 42:2:1,"<b>ושברו.</b> וקנו לנו שבר<i data-commentator=""Yahel Ohr"" data-order=""י""></i>:"
Ibn Ezra on Genesis 42:4:1,"<b>אסון.</b> מות<i data-commentator=""Yahel Ohr"" data-order=""יא""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 42:6:1,"<b>המשביר.</b> מגזרת שבר וטעמו מוכר<i data-commentator=""Yahel Ohr"" data-order=""יב""></i>, והוא פועל יוצא לשני פעולים<i data-commentator=""Yahel Ohr"" data-order=""יג""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>:"
Ibn Ezra on Genesis 42:7:1,"<b>ויתנכר.</b> מגזרת נכרי, הראה שהוא נכרי<i data-commentator=""Yahel Ohr"" data-order=""יד""></i>:"
Ibn Ezra on Genesis 42:7:2,"<b>קשות.</b> שם התואר והטעם מלות קשות<i data-commentator=""Yahel Ohr"" data-order=""טו""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>, וכן יענה עזות (משלי יח כג)<i data-commentator=""Yahel Ohr"" data-order=""טז""></i>:"
Ibn Ezra on Genesis 42:7:3,"<b>ויכירם.</b> בתחילה הכיר שהם אחיו<i data-commentator=""Yahel Ohr"" data-order=""יז""></i> ואחר כך הסתכל בכל אחד והכירו<i data-commentator=""Yahel Ohr"" data-order=""יח""></i> וזהו ויכר יוסף את אחיו<i data-commentator=""Yahel Ohr"" data-order=""יט""></i>:"
Ibn Ezra on Genesis 42:9:1,"<b>ערות הארץ.</b> בעבור היות המנהג להסתיר הערוה שהיא דבר מגונה<i data-commentator=""Yahel Ohr"" data-order=""כ""></i>, על כן אמר דרך משל<i data-commentator=""Yahel Ohr"" data-order=""כא""></i>, או בעבור היות הערוה נסתרת, כך אתם באים לראות סוד הארץ<i data-commentator=""Yahel Ohr"" data-order=""כב""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>, והוא הנכון בעיני:"
Ibn Ezra on Genesis 42:11:1,"<b>נחנו.</b> בלא אלף<i data-commentator=""Yahel Ohr"" data-order=""כג""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i> והוא האמת<i data-commentator=""Yahel Ohr"" data-order=""כד""></i>:"
Ibn Ezra on Genesis 42:11:2,"<b>כנים.</b> נאמנים<i data-commentator=""Yahel Ohr"" data-order=""כה""></i>, ויתכן להיותו מגזרת ""כן תעשה כאשר דברת"" (למעלה יח ה)<i data-commentator=""Yahel Ohr"" data-order=""כו""></i> או מגזרת ""כן בנות צלפחד"" (במד' כו ו)<i data-commentator=""Yahel Ohr"" data-order=""כז""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>, כמו האמת<i data-commentator=""Yahel Ohr"" data-order=""כח""></i>:"
Ibn Ezra on Genesis 42:16:1,"<b>האסרו.</b> תאסרו, כמו ומות בהר (דבר' לב נ)<i data-commentator=""Yahel Ohr"" data-order=""כט""></i><i data-commentator=""Karnei Ohr"" data-order=""י""></i>:"
Ibn Ezra on Genesis 42:19:1,"<b>רעבון בתיכם.</b> צורך בעבור הרעב<i data-commentator=""Yahel Ohr"" data-order=""ל""></i>, וטעמו הביאו אל בתיכם<i data-commentator=""Yahel Ohr"" data-order=""לא""></i>:"
Ibn Ezra on Genesis 42:21:1,"<b>אבל.</b> כמו ""אבל שרה אשתך"" (למעלה יז יט)<i data-commentator=""Yahel Ohr"" data-order=""לב""></i><i data-commentator=""Karnei Ohr"" data-order=""יא""></i> כמו אכן (למעלה כח טז)<i data-commentator=""Yahel Ohr"" data-order=""לג""></i>:"
Ibn Ezra on Genesis 42:23:1,"<b>המליץ.</b> מבאר מגזרת מליצה<i data-commentator=""Yahel Ohr"" data-order=""לד""></i><i data-commentator=""Karnei Ohr"" data-order=""יב""></i>,"
Ibn Ezra on Genesis 42:23:2,"ולקח שמעון, כי כאשר יחטאו רבים הגדול שבהם בשנים יענש יותר<i data-commentator=""Yahel Ohr"" data-order=""לה""></i> ועזב ראובן כי הוא הצילו)<i data-commentator=""Yahel Ohr"" data-order=""לו""></i><i data-commentator=""Karnei Ohr"" data-order=""יג""></i>,"
Ibn Ezra on Genesis 42:25:1,"ויאמר ר' משה הכהן<i data-commentator=""Yahel Ohr"" data-order=""לז""></i> כי כסף וזהב לא ימצאו בלשון רבים<i data-commentator=""Yahel Ohr"" data-order=""לח""></i><i data-commentator=""Karnei Ohr"" data-order=""יד""></i> והנה שכח ""כספיהם"" (למטה פ' כה)<i data-commentator=""Yahel Ohr"" data-order=""לט""></i><i data-commentator=""Karnei Ohr"" data-order=""טו""></i>:"
Ibn Ezra on Genesis 42:26:1,"<b>וישאו את שברם.</b> אשר קנו<i data-commentator=""Yahel Ohr"" data-order=""מ""></i>:"
Ibn Ezra on Genesis 42:27:1,"<b>ויפתח האחד.</b> האחד מהן. ויתכן להיות ראובן כי הוא הבבור, כמו אחד בחשבון<i data-commentator=""Yahel Ohr"" data-order=""מא""></i><i data-commentator=""Karnei Ohr"" data-order=""טז""></i>:"
Ibn Ezra on Genesis 42:33:1,"<b>ואת רעבון בתיכם.</b> צורך<i data-commentator=""Yahel Ohr"" data-order=""מב""></i>:"
Ibn Ezra on Genesis 42:36:1,"<b>כלנה.</b> כל הצרות האלה<i data-commentator=""Yahel Ohr"" data-order=""מג""></i><i data-commentator=""Karnei Ohr"" data-order=""יז""></i>:"
Ibn Ezra on Genesis 42:37:1,"<b>וי""א</b> כי פי' תמית תעניש<i data-commentator=""Yahel Ohr"" data-order=""מד""></i><i data-commentator=""Karnei Ohr"" data-order=""יח""></i>, ואחרים אמרו שזאת תפלה לנגד השם<i data-commentator=""Yahel Ohr"" data-order=""מה""></i> וכלל הדבר אילו היה מדבר נכונה, לא היה יעקב מחריש<i data-commentator=""Yahel Ohr"" data-order=""מו""></i><i data-commentator=""Karnei Ohr"" data-order=""יט""></i>:"
Ibn Ezra on Genesis 43:8:1,"<b>גם אנחנו.</b> דרך לשון הקדש להוסיף גם ראשון<i data-commentator=""Yahel Ohr"" data-order=""א""></i> כמו משל בנו גם אתה (שופ' ה כב)<i data-commentator=""Yahel Ohr"" data-order=""ב""></i>:"
Ibn Ezra on Genesis 43:11:1,"<b>זאת עשו.</b> זאת העצה<i data-commentator=""Yahel Ohr"" data-order=""ג""></i>:"
Ibn Ezra on Genesis 43:11:2,"<b>מזמרת הארץ.</b> כל דבר משובח מגזרת ""זמירות"" (ישעי' כד טז)<i data-commentator=""Yahel Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 43:11:3,"<b>צרי ונכאת.</b> כבר פירשתים<i data-commentator=""Yahel Ohr"" data-order=""ה""></i>:"
Ibn Ezra on Genesis 43:11:4,"<b>בטנים.</b> אין אלו ריע במקרא, וי""א אגוזים<i data-commentator=""Yahel Ohr"" data-order=""ו""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i>:"
Ibn Ezra on Genesis 43:12:1,"<b>משנה.</b> שני<i data-commentator=""Yahel Ohr"" data-order=""ז""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i>:"
Ibn Ezra on Genesis 43:12:2,"<b>משגה.</b> משמות בעלי הה""א<i data-commentator=""Yahel Ohr"" data-order=""ח""></i>"
Ibn Ezra on Genesis 43:14:1,"וטעם ואל שדי שיש לו כח לעשות כאלה<i data-commentator=""Yahel Ohr"" data-order=""ט""></i>:"
Ibn Ezra on Genesis 43:14:2,"<b>כאשר שכלת.</b> במות יוסף, אחשב כי שכלתי מהכל<i data-commentator=""Yahel Ohr"" data-order=""י""></i>:"
Ibn Ezra on Genesis 43:18:1,"<b>להתגולל.</b> מגזרת בגלל הדבר (דבר' טו י)<i data-commentator=""Yahel Ohr"" data-order=""יא""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i>:"
Ibn Ezra on Genesis 43:18:2,"<b>ולהתנפל</b> כאדם שיתנפל מעצמו על אחד, ויאמר לו אתה הפלתני<i data-commentator=""Yahel Ohr"" data-order=""יב""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 43:20:1,"<b>בי.</b> לשון בקשה<i data-commentator=""Yahel Ohr"" data-order=""יג""></i>, ולפי דעתי שהוא דרך קצרה, כמו בי אני אדני העון (ש""א כה כד)<i data-commentator=""Yahel Ohr"" data-order=""יד""></i>, וטעם עון במקום הזה, כטעם ""גדול עוני מנשוא"" (למעלה ד יג) והטעם עשה בי מה שתרצה ותשמעני<i data-commentator=""Yahel Ohr"" data-order=""טו""></i>:"
Ibn Ezra on Genesis 43:23:1,"<b>נתן לכם מטמון.</b> יתכן שהיה לאדם מטמון בביתו ושכחו כאשר שמו באוצר, ויצא בגורלכם<i data-commentator=""Yahel Ohr"" data-order=""טז""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i> כי כספיכם בא אלי<i data-commentator=""Yahel Ohr"" data-order=""יז""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>:"
Ibn Ezra on Genesis 43:24:1,"<b>ביתה יוסף.</b> כמשפט הלשון אל בית יוסף<i data-commentator=""Yahel Ohr"" data-order=""יח""></i>:"
Ibn Ezra on Genesis 43:27:1,"<b>השלום אביכם הזקן.</b> שם תחת שם התואר<i data-commentator=""Yahel Ohr"" data-order=""יט""></i> והיא דרך קצרה, כאלו אמר השלום לאביכם, וכן ""ואתה שלום"" (ש""א כה ו)<i data-commentator=""Yahel Ohr"" data-order=""כ""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>:"
Ibn Ezra on Genesis 43:28:1,"<b>ויקדו.</b> שמו הקדקד בארץ וכבר השתחוו<i data-commentator=""Yahel Ohr"" data-order=""כא""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i>:"
Ibn Ezra on Genesis 43:29:1,"<b>אלהים יָחְנְך.</b> אין לו משקל<i data-commentator=""Yahel Ohr"" data-order=""כב""></i> אולי השתנה כן בעבור אות הגרון<i data-commentator=""Yahel Ohr"" data-order=""כג""></i>:"
Ibn Ezra on Genesis 43:30:1,"<b>כי נכמרו.</b> בערו ויקדו<i data-commentator=""Yahel Ohr"" data-order=""כד""></i>, וכן ""עורנו כתנור נכמרו"" (איכה ה, י)<i data-commentator=""Yahel Ohr"" data-order=""כה""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>:"
Ibn Ezra on Genesis 43:34:1,"<b>וישא משאות.</b> דורון<i data-commentator=""Yahel Ohr"" data-order=""כו""></i><i data-commentator=""Karnei Ohr"" data-order=""י""></i>:"
Ibn Ezra on Genesis 43:34:2,"<b>ידות.</b> חלקים<i data-commentator=""Yahel Ohr"" data-order=""כז""></i>:"
Ibn Ezra on Genesis 43:34:3,"<b>ממשאות כלם.</b> מדורון כל אחד מהם<i data-commentator=""Yahel Ohr"" data-order=""כח""></i> כי רחוק<i data-commentator=""Yahel Ohr"" data-order=""כט""></i> לתת לו חמש ידות על כל חלק וחלק<i data-commentator=""Yahel Ohr"" data-order=""ל""></i><i data-commentator=""Karnei Ohr"" data-order=""יא""></i>:"
Ibn Ezra on Genesis 44:2:1,"<b>גביעי.</b> כוס<i data-commentator=""Yahel Ohr"" data-order=""א""></i>:"
Ibn Ezra on Genesis 44:5:1,"<b>והוא נחש ינחש בו.</b> הוא נסה אתכם בו לדעת אם אתם גנבים, כמו ""נחשתי"" (למעלה ל, כז) וכן ""כי נחש ינחש"" (למטה פ' טו)<i data-commentator=""Yahel Ohr"" data-order=""ב""></i>, וטעמו למה לא פחדתם, כי לנסותכם שמתי גביע הכסף לפניכם, והעלמתי עיני עד שתקחוהו<i data-commentator=""Yahel Ohr"" data-order=""ג""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i>, ויאמר ר' יונה כי פי' ""בו"" בעבורו, וכן הוא טעמו, והוא ישאל למנחשים בעבורו<i data-commentator=""Yahel Ohr"" data-order=""ד""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i>, גם כי נחש ינחש<i data-commentator=""Yahel Ohr"" data-order=""ה""></i> כי איש כמוני יש לי מנחשים<i data-commentator=""Yahel Ohr"" data-order=""ו""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i>, וי""א כי הגביע היה מצויר ובו היה מסתכל לפני אחיו ואומר זה הוא הגדול וזה נולד אחריו<i data-commentator=""Yahel Ohr"" data-order=""ז""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 44:16:1,"<b>טי""ת נצטדק.</b> תחת תי""ו התפעל<i data-commentator=""Yahel Ohr"" data-order=""ח""></i> בעבור הצדי""ק<i data-commentator=""Yahel Ohr"" data-order=""ט""></i>:"
Ibn Ezra on Genesis 44:16:2,"<b>האלהים מצא.</b> על דרך משל<i data-commentator=""Yahel Ohr"" data-order=""י""></i>, כי עון היה לנו<i data-commentator=""Yahel Ohr"" data-order=""יא""></i> וכאלו נשכח ואיננו והיום נמצא<i data-commentator=""Yahel Ohr"" data-order=""יב""></i>,"
Ibn Ezra on Genesis 44:16:3,"או יהיה פי' עון עבדיך, כמו גדול עוני  מנשוא (למעלה ד' יג)<i data-commentator=""Yahel Ohr"" data-order=""יג""></i>:"
Ibn Ezra on Genesis 44:18:1,"<b>ויגש. כי כמוך כפרעה.</b> אתה כמלך והמלך כמוך<i data-commentator=""Yahel Ohr"" data-order=""יד""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>, וכן כל שני כפי""ן שהן זה אחר זה, כמו ""כעמי כעמך"" (מ""ב ג ז)<i data-commentator=""Yahel Ohr"" data-order=""טו""></i> והיא דרך קצרה<i data-commentator=""Yahel Ohr"" data-order=""טז""></i>:"
Ibn Ezra on Genesis 44:20:1,"<b>אב זקן.</b> כי הגדול שבכולם הוא בן מ""ה שנים<i data-commentator=""Yahel Ohr"" data-order=""יז""></i> ויתכן להיות אביהם בחור<i data-commentator=""Yahel Ohr"" data-order=""יח""></i>:"
Ibn Ezra on Genesis 44:21:1,"<b>ואשימה עיני עליו.</b> שאראה אותו<i data-commentator=""Yahel Ohr"" data-order=""יט""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>:"
Ibn Ezra on Genesis 44:22:1,"<b>ועזב את אביו ומת.<i data-commentator=""Yahel Ohr"" data-order=""כ""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i></b> ולמה לא הביא<i data-commentator=""Yahel Ohr"" data-order=""כא""></i> המזכיר החמשה שאין להם הכרע<i data-commentator=""Yahel Ohr"" data-order=""כב""></i>, כמו ""וישלוף נעלו"" (רות ד ח)<i data-commentator=""Yahel Ohr"" data-order=""כג""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i>, וזה עמהם<i data-commentator=""Yahel Ohr"" data-order=""כד""></i>:"
Ibn Ezra on Genesis 44:28:1,"<b>אך טרף טרף.</b> והעד כי לא ראיתיו עד הנה<i data-commentator=""Yahel Ohr"" data-order=""כה""></i>:"
Ibn Ezra on Genesis 45:1:1,<b>להתאפק.</b> לסבול:
Ibn Ezra on Genesis 45:1:2,"<b>לכל הנצבים עליו.</b> טעמו, עד שיצאו כל הנצבים עליו<i data-commentator=""Yahel Ohr"" data-order=""א""></i><i data-commentator=""Karnei Ohr"" data-order=""א""></i>, והוצרך לקרוא להוציאם<i data-commentator=""Yahel Ohr"" data-order=""ב""></i>:"
Ibn Ezra on Genesis 45:2:1,"<b>בִבְכִי.</b> במקום הפסקא<i data-commentator=""Yahel Ohr"" data-order=""ג""></i><i data-commentator=""Karnei Ohr"" data-order=""ב""></i> וכמוהו ""ראה עֳנִי (איכה ג, א)<i data-commentator=""Yahel Ohr"" data-order=""ד""></i><i data-commentator=""Karnei Ohr"" data-order=""ג""></i>:"
Ibn Ezra on Genesis 45:8:1,"<b>כי האלהים.</b> שלחני<i data-commentator=""Yahel Ohr"" data-order=""ה""></i><i data-commentator=""Karnei Ohr"" data-order=""ד""></i>:"
Ibn Ezra on Genesis 45:8:2,"<b>לאב.</b> טעמו למורה<i data-commentator=""Yahel Ohr"" data-order=""ו""></i> וכן ""אבי כל תופש"" (למעלה ד כא)<i data-commentator=""Yahel Ohr"" data-order=""ז""></i>:"
Ibn Ezra on Genesis 45:11:1,"<b>פן תורש.</b> כמו תכרת<i data-commentator=""Yahel Ohr"" data-order=""ח""></i><i data-commentator=""Karnei Ohr"" data-order=""ה""></i>, וכן להוריש גוים (דבר' ד לה)<i data-commentator=""Yahel Ohr"" data-order=""ט""></i><i data-commentator=""Karnei Ohr"" data-order=""ו""></i>:"
Ibn Ezra on Genesis 45:12:1,"<b>כי פי.</b> ידוע, כי פה מוכרת<i data-commentator=""Yahel Ohr"" data-order=""י""></i> וכאשר יהיה סמוך<i data-commentator=""Yahel Ohr"" data-order=""יא""></i> ישוב הה""א הנעלם<i data-commentator=""Yahel Ohr"" data-order=""יב""></i> ליו""ד נעלם<i data-commentator=""Yahel Ohr"" data-order=""יג""></i>, כמו<i data-commentator=""Yahel Ohr"" data-order=""יד""></i> ""פי צדיק"" (תה' לז ל) גם כן לשון רבים<i data-commentator=""Yahel Ohr"" data-order=""טו""></i>, ופי רשעים (משלי יוד, יא) ובהתחבר זה היו""ד עם יו""ד סימן המדבר<i data-commentator=""Yahel Ohr"" data-order=""טז""></i> חסרו האחד<i data-commentator=""Yahel Ohr"" data-order=""יז""></i>, כמו ""כי פי המדבר""<i data-commentator=""Yahel Ohr"" data-order=""יח""></i>, והטעם שהיה מדבר בלשונם עמם בלא מליץ<i data-commentator=""Yahel Ohr"" data-order=""יט""></i><i data-commentator=""Karnei Ohr"" data-order=""ז""></i>:"
Ibn Ezra on Genesis 45:14:1,"<b>צוארי.</b> ימצא לשון רבים<i data-commentator=""Yahel Ohr"" data-order=""כ""></i><i data-commentator=""Karnei Ohr"" data-order=""ח""></i> ויחיד<i data-commentator=""Yahel Ohr"" data-order=""כא""></i>, ועם תוספות נו""ן<i data-commentator=""Yahel Ohr"" data-order=""כב""></i> אכן<i data-commentator=""Yahel Ohr"" data-order=""כג""></i> האל""ף לא נעדר<i data-commentator=""Yahel Ohr"" data-order=""כד""></i><i data-commentator=""Karnei Ohr"" data-order=""ט""></i>:"
Ibn Ezra on Genesis 45:17:1,"<b>טענו.</b> שימו משא<i data-commentator=""Yahel Ohr"" data-order=""כה""></i> ומטעני חרב (ישעי' יד יט) קרוב ממנו<i data-commentator=""Yahel Ohr"" data-order=""כו""></i><i data-commentator=""Karnei Ohr"" data-order=""י""></i>:"
Ibn Ezra on Genesis 45:17:2,"<b>בעירכם.</b> בהמתכם וכן ""אנחנו ובעירנו"" (במד' כ, ד)<i data-commentator=""Yahel Ohr"" data-order=""כז""></i><i data-commentator=""Karnei Ohr"" data-order=""יא""></i>:"
Ibn Ezra on Genesis 45:18:1,"<b>חלב הארץ.</b> כמו שומן<i data-commentator=""Yahel Ohr"" data-order=""כח""></i><i data-commentator=""Karnei Ohr"" data-order=""יב""></i>:"
Ibn Ezra on Genesis 45:22:1,"<b>חליפות שמלות.</b> מלבושים אין זה כמו זה<i data-commentator=""Yahel Ohr"" data-order=""כט""></i> והפחות שתים<i data-commentator=""Yahel Ohr"" data-order=""ל""></i><i data-commentator=""Karnei Ohr"" data-order=""יג""></i>:"
Ibn Ezra on Genesis 45:23:1,"<b>וטעם כזאת.</b> מחליפות שמלות מהטובות שהיו במצרים<i data-commentator=""Yahel Ohr"" data-order=""לא""></i><i data-commentator=""Karnei Ohr"" data-order=""יד""></i>:"
Ibn Ezra on Genesis 45:23:2,"<b>בר.</b> דגן<i data-commentator=""Yahel Ohr"" data-order=""לב""></i>:"
Ibn Ezra on Genesis 45:23:3,"<b>ולחם.</b> כמשמעו<i data-commentator=""Yahel Ohr"" data-order=""לג""></i>:"
Ibn Ezra on Genesis 45:23:4,"<b>ומזון.</b> אפונים<i data-commentator=""Yahel Ohr"" data-order=""לד""></i> ופול ועדשים ודחן וכסמין<i data-commentator=""Yahel Ohr"" data-order=""לה""></i> ותאנים<i data-commentator=""Yahel Ohr"" data-order=""לו""></i> וצמוקים<i data-commentator=""Yahel Ohr"" data-order=""לז""></i> ותמרים<i data-commentator=""Yahel Ohr"" data-order=""לח""></i>, כי אלה לבדם הם מזון<i data-commentator=""Yahel Ohr"" data-order=""לט""></i><i data-commentator=""Karnei Ohr"" data-order=""טו""></i> חוץ מדגן ושעורה<i data-commentator=""Yahel Ohr"" data-order=""מ""></i>:"
Ibn Ezra on Genesis 45:24:1,"<b>וטעם אל תרגזו.</b> שיכעום איש על אחיו בעבור מכירתו<i data-commentator=""Yahel Ohr"" data-order=""מא""></i><i data-commentator=""Karnei Ohr"" data-order=""טז""></i>:"
