term english,term translation,term alternate,term hebrew,term hebrew alternate,hebrew description,english description,,
Arikh Anpin,,,א''א,,,"The <<<i>partzuf</i>>> of <<<i>Keter</i>>> is called <<<i>Arikh Anpin</i>>>, or “the long face,” on account of the essence of the <<light of <i>Ḥokhma</i>>> within it. <<<i>Tiferet</i>>> is called <<<i>Ze’er Anpin</i>>>, or “the small face,” because it contains only a slight illumination from the <<light of <i>Ḥokhma</i>>>. The names <<<i>Arikh Anpin</i>>> and <<<i>Ze’er Anpin</i>>> correspond to one another, for they refer only to the <<light of <i>Ḥokhma</i>>> in the <<<i>partzuf</i>>>, since the <<<i>Ḥokhma</i>>> is called the <<light>> of the face, as stated. This must be understood (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 13).  
The <<<i>Malkhut</i>>> of the <<head>> is the mystical concept of an emanator, for a <<fusion through collision>> occurs on its <<partition>>, meaning a resistance to <<enclothing>>. Accordingly, it is the diametric opposite to <<enclothing>>, which is called an emanated being. How, then, can the one <<devolve>> from the other? It is for this reason that the <<head>>, which is called <<<i>Keter</i>>>, has two levels: The first is <<<i>Atik</i>>>, which is the resistance to <<enclothing>>. It is only the <<root>> to the <<light>> of <<<i>ĥassadim</i>>>, where <<enclothing>> does not occur, because there was no <<constriction (<i>tzimtzum</i>)>> on the <<light>> of <<<i>ĥassadim</i>>>, and thus it does not suffer from any <<opacity (<i>ovyut</i>)>> on account of <<enclothing>> at all. It is considered the <<root>> to the second <<head>>, which is the level of <<<i>Arikh Anpin</i>>>, the <<root>> of the <<enclothing>>, and it serves as the intermediary between emanator and emanated being, since it is the <<root>> for the <<enclothing>> of the <<light of <i>Ḥokhma</i>>>. By contrast, the emanator, which is <<<i>Atik</i>>>, is the opposite of the emanated being, as explained. Accordingly, every <<<i>Keter</i>>> is divided into two levels: <<<i>Atik</i>>>, which is only the <<root>> to the <<light of giving>>, <<<i>Arikh Anpin</i>>>, which is the <<root>> to the <<light of <i>Ḥokhma</i>>> (<i>Talmud Eser Sefirot</i>, v. 8, Q & A 130).  
",,TAS
Adam Kadmon,,,א''ק,,,"The first world that receives from <<<i>Ein Sof</i>>>. It is also called “one line,” extending immediately after the <<constriction (<i>tzimtzum</i>)>> from <<<i>Ein Sof</i>>> until near this world. The name “Adam” refers only to the <<<i>sefirot</i>>> of the straight line in the first world, which is the <<light>> of the <<<i>ruaḥ</i>>>, meaning the <<light>> of giving, not its circular <<<i>sefirot</i>>>, which contain only the <<light>> of <<<i>nefesh</i>>>, meaning the <<light>> of receiving for themselves, without the ability to give to others. This is the <<root>> of man (“Adam”) in this world (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 1).      ",,TAS
Abba,,,אבא,,,"The <<<i>partzuf</i>>> formed from <<<i>Ḥokhma</i>>> is called <<<i>Abba</i>>> (<i>Talmud Eser Sefirot</i>, v. 2, <i>Or Penimi</i>, ch. 5).",,TAS
Eheyeh,,,אהי''ה,,,"There are various ways in which the name <i>Eheyeh</i>, which alludes to <<<i>Imma</i>>>, can be written out in full – that is, when each <<letter>> of the name is spelled out as a word on its own. The following must be understood:
The <<letters>> of the names allude to the <<vessels>> and their level of <<opacity (<i>ovyut</i>)>>, when the supernal light <<fuses>> and is <<enclothed>> in them. The plain <<letters>> of the name allude to the <<opacity (<i>ovyut</i>)>> of <<<i>Keter</i>>>, where the <<opacity (<i>ovyut</i>)>> is not yet recognizable but is merely a <<root>>. Accordingly, the <light>> that is <<enclothed>> there is only the <<light>> of <<<i>nefesh</i>>>, for the <<light>> of <<<i>nefesh</i>>> is <<enclothed>> in the <<vessel>> of <<<i>Keter</i>>>, as is known. If, however, the <<letters>> are written out in full, this indicates that the <<opacity (<i>ovyut</i>)>> is already recognizable, that the supernal light is fusing above it, producing the ten <<<i>sefirot</i>>> which refer to that measure of <<opacity (<i>ovyut</i>)>> (<i>Talmud Eser Sefirot</i>, v. 12, Q & A 1). 
The different meanings of these “writings in full” vary: “The level of the upper <<<i>Imma</i>>> divides into a <<head>>, <<body>>, and legs; <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, and <<<i>Daat</i>>>; <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>; and <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>. The name <i>Eheyeh</i>, when the <<letters>> <i>yod</i> are written out in full (in its <i>yod</i> and <i>heh</i>), which are <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, and <<<i>Daat</i>>>, receives from the corresponding level in the <<<i>Sag</i>>> of <<<i>Adam Kadmon</i>>> that is from the navel and below, where the <<second constriction>> has not yet taken <<root>>, which is the expression of the <i>alef</i>. The name <i>Eheyeh</i> with each <i>alef</i> is in its <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, and <<<i>Tiferet</i>>>, which receives from the corresponding level, below the navel of <<<i>Adam Kadmon</i>>>, where the <<second constriction>> has already taken <<root>>. That is why it is written out in full with each <i>alef</i>, as stated on p. 463, Answer 1. The <i>Eheyeh</i> with each <i>heh</i> is in its <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>, which are the <<back side>>, written out in full with each <i>heh</i>” (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 16).    
",,TAS
Abba and Imma,Father and Mother,,או''א,,,"The <<<i>partzuf</i>>> formed from <<<i>Ḥokhma</i>>> is called <<<i>Abba</i>>>, while the <<<i>partzuf</i>>> formed from <<<i>Binna</i>>> is called <<<i>Imma</i>>>.
When referring only to their upper [<i>elyon</i>] sections, they are called <<<i>Abba</i> and <i>Imma Ila’in</i>>>. 
",,TAS
Returning light,,,או''ח,,,"This is the <<light>> that is not received in the fourth level. That is, its special function is to fill the fourth level, which, however, does not receive the <<light>>, on account of the <<partition>> that blocks and rebuffs it. This action is called <<fusion through collision>> (see <i>Histaklut Penimit</i>, v. 2, section 22, s.v., “<i>ve-hineh</i>”). Likewise, every receiving <<vessel>> in the <<<i>partzufim</i>>>, from the <<constriction (<i>tzimtzum</i>)>> and onwards, is drawn from this <<returning light>>, which serves for them in place of the fourth level in <<<i>Ein Sof</i>>>. 
V. 2, <i>Histaklut Penimit</i>, 79 (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 2).    
",,TAS
Direct light,,direct light,או''י,,,"The upper <<light>> that is drawn from <<<i>Ein Sof</i>>> and given in the <<<i>partzufim</i>>>, after the <<constriction (<i>tzimtzum</i>)>> and onwards. It is called by this name to indicate that it is not given in the <vessels>> of the circular <<<i>sefirot</i>>>. The same applies to all levels that contain nothing of the <<opacity (<i>ovyut</i>)>> of the fourth level, except for the <<<i>sefirot</i>>> of the straight line alone. This is in accordance with the general rule that one who bestows does so only in something that is more <<opaque>>, which is the <<<i>opacity</i> (ovyut)>> of the fourth level (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 3).    ",,TAS
Inner light,,inner light,או''פ,,,"The <<light>> <<enclothed>> in a <<vessel>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 5).",,TAS
Light of Ḥokhma,,,אוֹר הַחֲכָמָה,,,"The <<light>> drawn to an emanated being in the first expansion, which is the entirety of the life force and essence of the emanated being (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 5).",,TAS
Letters,,letters,אוֹתִיּוֹת,,,"The <<letters>> are the <vessels>> in which the essences are <<enclothed>>. They comprise twenty-two chief levels, from which all the <<<i>partzufim</i>>> are constructed, and these are called the twenty-two <<letters>> (<i>Talmud Eser Sefirot</i>, v. 6, Q & A 10).",,TAS
Ears nose and mouth,,ears nose and mouth,אח''פ,,,"A name for the three levels and the <<vessels>> that emerge from each <<<i>Malkhut</i>>> of the <<head>>.
The “ears”: <<<i>Malkhut</i>>> of the second level. 
The “nose”: <<<i>Malkhut</i>>> of the third level. 
The “mouth”: <<<i>Malkhut</i>>> of the fourth level. 
After the second <<constriction (<i>tzimtzum</i>)>>, in which the <<<i>Malkhut</i>>> once again joined <<<i>Bina</i>>>, each <<ear nose and mouth>> fell to the level below them.  
",,TAS
Back side,,back side,אֲחוֹרַיִם,,,"The part of a <<vessel>> that is not designed to receive or give is called the <<back side>>. See “the way of the <<back side>>” (<i>Talmud Eser Sefirot</i>, v. 4, Q & A 9). ",,TAS
First level,,first level,בחי''א,,,"          The <<light>> initially spreads and emerges from the Creator as <<light of <i>Ḥokhma</i>>>, which is the entirety of its life force belonging to that emanated being. It incorporates the first <<level>> of the <<will to receive>> and is called the first expansion, or the first <<level>>. Subsequently, a will of giving prevails in that <<light>>. The prevailing of this will draws out <<light>> of <<<i>ĥassadim</i>>> from the Creator, and this is called the first prevailment, or the second <<level>>. Next, that <<light>> of <<<i>ĥassadim</i>>> expands with a great expansion, that is, with the illumination of <<<i>Ḥokhma</i>>>, which is called the second expansion, or the third <<level>>. Then the <<will to receive>>, which is incorporated in the <<light>> from the first expansion, as stated, once again prevails in that <<light>>, thereby completing the <<will to receive>> in its mature, full form. This is called the second prevailment, or the fourth <<level>> (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 69).   ",,TAS
Third level,,third level,בחי''ג,,,"The <<light>> initially spreads and emerges from the Creator as <<light of <i>Ḥokhma</i>>>, which is the entirety of its life force belonging to that emanated being. It incorporates the first <<level>> of the <<will to receive>> and is called the first expansion, or the first <<level>>. Subsequently, a will of giving prevails in that <<light>>. The prevailing of this will draws out <<light>> of <<<i>ĥassadim</i>>> from the Creator, and this is called the first prevailment, or the second <<level>>. Next, that <<light>> of <<<i>ĥassadim</i>>> expands with a great expansion, that is, with the illumination of <<<i>Ḥokhma</i>>>, which is called the second expansion, or the third <<level>>. Then the <<will to receive>>, which is incorporated in the <<light>> from the first expansion, as stated, once again prevails in that <<light>>, thereby completing the <<will to receive>> in its mature, full form. This is called the second prevailment, or the fourth <<level>> (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 69).   ",,TAS
Fourth level,,fourth level,בחי''ד,,,"The <<light>> initially spreads and emerges from the Creator as <<light of <i>Ḥokhma</i>>>, which is the entirety of its life force belonging to that emanated being. It incorporates the first <<level>> of the <<will to receive>> and is called the first expansion, or the first <<level>>. Subsequently, a will of giving prevails in that <<light>>. The prevailing of this will draws out <<light>> of <<<i>ĥassadim</i>>> from the Creator, and this is called the first prevailment, or the second <<level>>. Next, that <<light>> of <<<i>ĥassadim</i>>> expands with a great expansion, that is, with the illumination of <<<i>Ḥokhma</i>>>, which is called the second expansion, or the third <<level>>. Then the <<will to receive>>, which is incorporated in the <<light>> from the first expansion, as stated, once again prevails in that <<light>>, thereby completing the <<will to receive>> in its mature, full form. This is called the second prevailment, or the fourth <<level>> (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 69).   ",,TAS
First three,,first three,ג''ר,,,"The <<first three>> are the <<lights>> that came before the <<vessels>>, which are <<enclothed>> in the <<returning light>> that ascends to them from the <<partition>> which is from them and above. That is, the first three <<<i>sefirot</i>>> – <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, and <<<i>Bina</i>>> – which are also known as the <<head>> of the <<<i>partzuf</i>>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 13).
Those first three and the <<head>> are the ten <<<i>sefirot</i>>> of <<direct light>>, which are <<enclothed>> in the <<returning light>> that ascends from the <<partition>> and above, meaning the beginning and <<root>>. For they are not yet considered complete <<vessels>> that are suited to the full <<enclothing>> of the <<light>>, but only as <<roots>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 96).
",,TAS
Restraints,,restraints,גְּבוּרוֹת,,,The illumination of <<<i>Ḥokhma</i>>> without <<<i>ḥassadim</i>>> is called <<restraints>.   ,,TAS
Maturity,,,גַּדְלוּת,,,"The <<brains>> of <<<i>Abba</i>>>, that is, the illumination of <<<i>Ḥokhma</i>>>, are called <<maturity>> (<i>Talmud Eser Sefirot</i>, v. 7, Q & A 31). ",,TAS
Gulgalta and eyes,,,גו''ע,,,"The <<<i>partzuf</i>>> of the <<<i>Keter</i>>>. The <<vessel>> where the <<light>> of <<<i>yeḥida</i>>> is <<enclothed>> is also called <<<i>gulgalta</i>>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 22), as well as the <<vessel>> of <<<i>Ḥokhma</i>>> of the <<head>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 76).
After the second <<constriction (<i>tzimtzum</i>)>> they are considered the main part of the <<<i>partzuf</i>>>.    
",,TAS
Body,,,גוף,,,"The <<enclothing>> of the <<lights>> in the <<vessels>> must initially be in “potential” form, and only subsequently “actualized.” The <<enclothing>> of the ten <<<i>sefirot</i>>> in “potential” form is called <<head>>, while the <<enclothing>> of the ten <<<i>sefirot</i>>> in “actualized” form is called <<body>> (<i>Talmud Eser Sefirot</i>, v. 4, Q & A 13).  ",,TAS
Gulgalta,Skull,skull,גֻּלְגְּלָתָא,,,"The <<<i>partzuf</i>>> of the <<<i>Keter</i>>>. The <<vessel>> where the <<light>> of <<<i>yeḥida</i>>> is <<enclothed>> is also called <<<i>gulgalta</i>>> (<i>Talmud Eser Sefirot</i>, v. 3, Q & A 22).",,TAS
Throat,,throat,גָּרוֹן,,," The <<<i>Bina</i>>> that emerged outside of the <<head>> of <<<i>Arikh Anpin</i>>> is called <<throat>> (<i>garon</i>), as in the phrase “a stranger [<i>ger</i>] in a strange land” (see Exodus 18:3), for it emerged to a place that is unsuitable for it. Likewise, every <<<i>Bina</i>>> that emerges outside of the <<head>> is called a <<throat>> (<i>Talmud Eser Sefirot</i>, v. 8, Q & A 12).",,TAS
Beard,,beard,דִּיקְנָא,,,"The first <<fusion>> for the<<<i>partzuf</i>>> of the <i>nekudim</i> (points) was in the “apertures of the eyes” of the <<head>> of the <<<i>Sag</i>>>, and yet the <<ear nose and mouth>> of the <<head>> did not bring the <<<i>Sag</i>>> to the outside, since there is no such thing as loss in the spiritual plane. The division of the level had no effect on the <<head>> of the <<<i>Sag</i>>>, other than with respect to an additional <<face>>, which is the <<face>> of the <<hairs>>. For the <<hairs>> of the <<head>> emerged from apertures of the eyes and above, and from that point and below the <<hairs>> of the <<beard>> emerged as <<ear nose and mouth>> (<i>Talmud Eser Sefirot</i>, v. 6, Q & A 28).     ",,TAS
Five restraints,,five restraints,ה''ג,,,"The ten <<<i>sefirot</i>>> have five levels, <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Ze’ir</i>>>, and <<<i>Nukba</i>>>, when the <<first three>> are essences. However, when their entire essence is nothing other than <<light>> of <<<i>ḥassadim</i>>>, the five levels are <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>> and <<<i>Hod</i>>>, that is, five <<<i>ḥassadim</i>>>. If they are expressions of <<restraints>>, meaning the illumination of <<<i>Ḥokhma</i>>> without <<<i>ḥassadim</i>>>, the five levels, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>> and <<<i>Hod</i>>>, are called five <<restraints>>. Thus, there are three expressions of the five levels: If their essence is <<<i>Ḥokhma</i>>> they are called <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Ze’ir</i>>>, and <<<i>Nukba</i>>>; if their essence is <<<i>ḥassadim</i>>> and they have the illumination of <<<i>Ḥokhma</i>>> they are called five <<<i>ḥassadim</i>>>, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>> and <<<i>Hod</i>>>; and if they lack <<<i>ḥassadim</i>>> and are left with the illumination of <<<i>Ḥokhma</i>>> alone they are called five <<restraints>>, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>> and <<<i>Hod</i>>> (<i>Talmud Eser Sefirot</i>, v. 7, Q & A 37). ",,TAS
Lower heh,,,ה''ת,,," A name for <<<i>Malkhut</i>>>, after the last <i>heh</i> of the name <<<i>Havaya</i>>>. Furthermore, when the <<<i>Nukba</i>>> of <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>> is together with it <<back-to-back>> and they are attached to a single wall, it is called the bottom <i>heh</i> of <<<i>Havaya</i>>>, for it is attached to the <i>vav</i> of <<<i>Havaya</i>>> in its name. Subsequently, at the time of <<maturity>>, after it has been sawn away from it and has become a separate <<<i>partzuf</i>>> in its own right, it has a special name of its own, <i>Adonai</i> or <i>Elohim </i>(<i>Talmud Eser Sefirot</i>, v. 9, Q & A 36).   ",,TAS
Havaya,,,הוי''ה,,,"The <i>yod </i>of <<<i>Havaya</i>>> is the first expansion of the <<light>>, which is called the first level (see v. 1, Answers, answer 69). The first <i>heh</i> of <<<i>Havaya</i>>> is the first prevailment in the <<light>>, called the second level. The <i>vav</i> of <<<i>Havaya</i>>> is the second expansion of the <<light>>, which is called the third level. Finally, the last <i>heh</i> of <<<i>Havaya</i>>> is the second prevailment in the <<light>>, called the fourth level (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 70).        ",,TAS
Gaze,,gaze,,,,"The expansion of the <<light>> of <<<i>Ein Sof</i>>> for the <<fusion through collision>> in the <<partition>> in the <<vessel>> of the <<<i>Malkhut</i>>> in order to raise <<returning light>> is called <<gaze>>. This is because the <<light>> that expands from <<<i>Ein Sof</i>>> is always considered <<light of <i>Ḥokhma</i>>>, which is termed <<light>> of the <<eyes>>, or “sight,” or <<gaze>> (<i>Talmud Eser Sefirot</i>, v. 6, section 36).
The giving of the <<brains>> from a higher level to a lower one is called the “upper <<gaze>>,” since the <<gaze>> is drawn from the <<eyes>>, that is, from <<<i>Ḥokhma</i>>> of the <<head>>, which is called <<eyes>>, as is known (<i>Talmud Eser Sefirot</i>, v. 15, Q & A 36).
The totality of giving that comes from <<<i>Ḥokhma</i>>> is called <<gaze>>.",,TAS
Ze'er Anpin,,,ז''א,,,"<<<i>Ze</i>’<i>er</i> <i>Anpin</i>>> means “the small face,” for the <<light of <i>Ḥokhma</i>>> is called “the light of the face,” in the mystical meaning of the verse: “A man’s wisdom illuminates his face” (Ecclesiastes 8:1). In the same vein, the general <<<i>partzuf</i>>> of the <<<i>Keter</i>>> in the world of <<<i>Atzilut</i> (Emanation)>> is called <<<i>Arikh Anpin</i>>>, or “the long face,” because it contains the essence of the <<light of <i>Ḥokhma</i>>>. Consequently, the third level, whose essence is only <<light of giving>> that is drawn from <<<i>Bina</i>>>, but which also contains illumination from << <i>Ḥokhma</i>>> (albeit not the essence of the <<light of <i>Ḥokhma</i>>>), is called by this name of “the small face,” or <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>>. The reason is that the <<light>> of its <<face>> is small and slight in relation to the first level (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 24). ",,TAS
Seven lower ones,,seven lower ones,ז''ת,,,"The ten <<<i>sefirot</i>>> that are drawn from the <<partition>> and below are called <<body>> or the <<seven lower ones>> (see v. 2, Answers, answer 11). When on occasion, every <<<i>partzuf</i>>> is regarded as only ten <<<i>sefirot</i>>>, the <<first three>> <<<i>sefirot</i>>> will be <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, and <<<i>Bina</i>>>, in the <<head>> of the <<<i>partzuf</i>>>, while the <<seven lower ones>>, which are <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, <<<i>Yesod</i>>>, and <<<i>Malkhut</i>>>, are in the <<body>> of the <<<i>partzuf</i>>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 25).      ",,TAS
Ze'er Anpin and Nukba,,,זו''ן,,,See the entries on <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>> and <<<i>Nukba</i>>>. ,,TAS
Pairing or fusion,,,זִוּוּג,,,"<<Fusion through collision>>
This refers to the activity of the <<partition>>, which blocks and conceals the <<light>> from the first level, and rebuffs the <<light>> that belongs to it back to its root. This action is <<fusion through collision>>, a name that conveys that the action includes two opposite movements: On the one hand, it “strikes” the <<light>>, meaning it rebuffs and prevents it from illuminating. On the other hand, it “fuses” with the <<light>>, that is, it causes it to increase and spread greatly (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 23).
The giving of <<light>> from one <<<i>partzuf</i>>> to another is called <<pairing or fusion>>.  
",,TAS
Chest,,chest,חזה,,,"The <<chest>> is the endpoint of the <<second constriction>> (<i>Talmud Eser Sefirot</i>, v. 16, Q & A 94). ",,TAS
ḥaya,,,חיה,,,"The light of <<Ḥokhma>>, in the mystical meaning of the verse (Ecclesiastes 7:12): “Wisdom [<i>ḥokhma</i>] preserves the life of he who has it” (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 27). ",,TAS
Ḥassadim,Giving,,חֲסָדִים,,,"The <<light of giving>> (“<i>ĥassadim</i>”) is the <<light>> that <<enclothes>> upon <<light of <i>Ḥokhma</i>>> and is drawn to the emanated being at the first prevailment (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 6). ",,TAS
Navel,,navel,טַבּוּר,,,"The <<<i>Malkhut</i> (Kingship)>> of the <<body>>, from where the limitation and rejection of the <<light>> begins in practice, is called <<navel>> (<i>Talmud Eser Sefirot</i>, v. 4, Q & A 31).   ",,TAS
Ten sefirot,,,י''ס,,,"The ten <<<i>sefirot</i>>> are <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, <<<i>Yesod</i>>>, and <<<i>Malkhut</i>>>. They are in essence only five: <<<i>Keter</i>>>, <<<i>Ḥokhma</i>>>, <<<i>Bina</i>>>, <<<i>Tiferet</i>>>, and <<<i>Malkhut</i>>>, because the <<<i>sefira</i>>> of <<<i>Tiferet</i>>> incorporates the six <<<i>sefirot</i>>>: <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, <<<i>Tiferet</i>>>, <<<i>Netzaḥ</i>>>, <<<i>Hod</i>>>, and <<<i>Yesod</i>>>. They become five <<<i>partzufin</i>>>: <<<i>Arikh Anpin</i>>>; <<<i>Abba</i> and <i>Imma</i>>>; and <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>> and <<<i>Nukba</i>>>. The <<<i>Keter</i>>> is called <<<i>Arikh Anpin</i>>>; <<<i>Ḥokhma</i>>> and <<<i>Bina</i>>> are called <<<i>Abba</i> and <i>Imma</i>>>; and finally, <<<i>Tiferet</i>>> and <<<i>Malkhut</i>>> are called <<<i>Ze</i>’<i>er</i> <i>Anpin</i>>> and <<<i>Nukba</i>>> (<i>Zohar</i>, <i>Ma’amar HaShoshana</i>, 3).   ",,TAS
Yeḥida,,,יְחִידָה,,,"The <<light>> enclothed in the <<<i>sefira</i>>> of <<<i>Keter</i>>> is called <<<i>yeḥida</i>>> (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 31).",,TAS
Right,,right,יָמִין,,,"There are two sides to the <<light of giving>>, right and left. The increase of <<<i>ḥassadim</i>>>
(“giving”) is called the right side, whereas the <<constriction (<i>tzimtzum</i>)>> of <<<i>ḥassadim</i>>>
is called the left side. They are called “sides” to reflect their equal status, like two sides of the same level (<i>Talmud Eser Sefirot</i>, v. 4, section 17). 
A lower level can sometimes ascend to the same plane as a higher level, when that higher level requires it in order to complete itself. Then the lower level is considered the left, while the higher one is the right (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 23). 
",,TAS
Yisrael Sabba and Tevuna,,,ישסו''ת,,,"The <<seven lower ones>> of <<<i>Abba</i> and <i>Imma</i>>>, that is, their <<ear nose and mouth>>, are called <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>>. Initially, at the time of the <<fusion>> of the <<gaze>> of the <<eyes>> of <<<i>Abba</i> and <i>Imma</i>>> towards one another, <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>> and <<<i>Abba</i> and <i>Imma</i>>> are united in a single <<<i>partzuf</i>>>. Subsequently, however, when <<<i>Abba</i> and <i>Imma</i>>> return to a <<back-to-back>> <<fusion>>, <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>> separate from them and emerge as a special <<head>> at the level of the <<ear nose and mouth>>, becoming a distinct <<<i>partzuf</i>>> (<i>Talmud Eser Sefirot</i>, v. 7, Q & A 50).",,TAS
Vessel,,,כלי,,,"The <<will to receive>> in an emanated being is its <<vessel>> (<i>Talmud Eser Sefirot</i>, v. 1, Q & A 25). However, from the first <<constriction (<i>tzimtzum</i>)>>, the <<returning light>> is the <<vessel>>.",,TAS
Keter (Ḥokhma and Bina),,,כֶּתֶר ,,,"The resting of a <<root>> on a level is called <<<i>Keter</i>>>, in the sense of <i>makhtir</i>, meaning surrounding, since it is the purest of the level, and thus it surrounds the entire <<<i>partzuf</i>>> from above (<i>Talmud Eser Sefirot</i>, v. 2, Q & A 35).  ",,TAS
Leah,,,לֵאָה ,,,"It is known that <<<i>Ze’er Anpin</i>>> is constructed entirely from the <<brains>> of <<<i>Imma</i>>>. <<<i>Imma</i>>>, which is <<<i>Bina</i>>>, divides into the <<first three>> and the <<seven lower ones>>. Her <<first three>> are <<<i>Abba</i> and <i>Imma Ila’in</i>>>, which are <<<i>ḥassadim</i>>> that are covered and rebuffed from <<<i>Ḥokhma</i>>>, while her <<seven lower ones>> are <<<i>Yisrael</i> <i>Sabba</i> and <i>Tevuna</i>>> and revealed <<<i>ḥassadim</i>>> in the illumination of <<<i>Ḥokhma</i>>>. Likewise, <<<i>Ze’er Anpin</i>>> that is constructed from <<<i>Imma</i>>> is in the mystical meaning of the verse: “And I am a smooth man” (Genesis 27:11). For from the <<chest>> and above, the <<first three>> of <<<i>Imma</i>>> illuminate in it, that is, the covered <<<i>ḥassadim</i>>>, whereas from the <<chest>> and below, the <<seven lower ones>> of <<<i>Bina</i>>> illuminate in it, which are revealed <<<i>ḥassadim</i>>>. Since they are two virtually opposite expressions, the verse calls it “a smooth man,” smooth of <<hairs>>, as is known. 
Now, for the same reason the <<<i>Nukba</i>>> of <<<i>Ze’er Anpin</i>>> also divides into two. There is an upper <<<i>Nukba</i>>>, from the <<<i>Malkhut</i>>> of the <<first three>> of <<<i>Imma</i>>>, which is covered <<<i>ḥassadim</i>>>. This is called <<Leah>>. She <<enclothes>> on its <<<i>Ḥesed</i>>>, <<<i>Gevura</i>>>, and <<<i>Tiferet</i>>>, until the <<chest>>, which is in the place of her covered <<<i>ḥassadim</i>>>. It also has a second <<<i>Nukba</i>>>, from the <<<i>Malkhut</i>>> of the <<seven lower ones>> of <<<i>Imma</i>>>, which is revealed <<<i>ḥassadim</i>>>, called <<Rachel>>. She <<enclothes>> in the place of its <<chest>> and below, that is, in the place of its revealed <<<i>ḥassadim</i>>>. Accordingly, <<Leah>> receives only the <<back side>> of the <<<i>Yesod</i> (Foundation)>> of <<<i>Imma</i>>>, which ends at the place of the <<chest>>. For she rebuffs <<<i>Ḥokhma</i>>> like the <<first three>> of <<<i>Imma</i>>>, and cannot venture from the <<chest>> and below, where the <<<i>Yesod</i>>> of <<<i>Abba</i>>> serves openly. The reverse is true of <<Rachel>>: Her entire holding is only in the <<<i>Yesod</i>>> of <<<i>Abba</i>>>, in the mystical meaning of “father (<i>Abba</i>) founded (<i>yasad</i>) the daughter.” Consequently, she cannot suckle from above the <<chest>> of <<<i>Ze’er Anpin</i>>>, since there the <<<i>Yesod</i>>> of <<<i>Abba</i>>> is hidden and concealed in the <<<i>Yesod</i>>> of <<<i>Imma</i>>> (<i>Talmud Eser Sefirot</i>, v. 14, Q & A 125). 
",,TAS
