א,A
צלחת,a plate
צלי צליה,Roast roast
צליבה,crucifixion
צליה,grilling
צללפונית,A cell phone
צלם,photographer
צלמות,shadow of death
צלע,rib
צלפחד בנות,Tzelofchad girls
צלפחד,Tzelofchad
צלצל למד קמוצה,Harpoon learned clenched
צלצל כנפים,Ring wings
צלצל,harpoon
צמח,plant
צמים,Fasting
צמיתות,Serfdom
צמצום,reduction
צמר,wool
צנה,Tzana
צנום,thin
צנים,toast
צניעות,modesty
צנף,Whip
צנצנת,jar
צעה,She walked
צעיר,young
צעק צעקה,Shouted a shout
צער בעלי חיים,Cruelty to animals
צער,grief
צפה,Watch
צפון,north
צפוני,northern
צפור,bird
צפורה,birdie
צפורן,clove
צפיחית,Screaming
צפיעות,Tzviot
צפירה,siren
צפניה,Zefania
צפנית צפנת בת פניאל,Tsafanit Tsafnat Bat Pniel
צפנת פענח,Encryption Decoder
צפרדע,frog
צר,narrow
צרה,trouble
צרוף,pure
צרור החיים,eternal life
צרי,balm
צרכי צבור,Public needs
צרעה,wasp
צרעת בגדים,Leprosy clothes
צרעת בתים,Leprosy houses
צרעת,leprosy
צרף צרוף,Attach attachment
צרפית,French
צרפת,France
ק,K.
קאת,Cath
קבה אהל,A cave
קבה ארר,Kebbe Arrer
קבוץ גלויות,Kibbutz Galuyot
קבורה,burial
קבלה,Acceptance
קבע,fix
קבעת,You set
קבץ,Group
קבר רחל,Rachel&#39;s Tomb
קבר,grave
קדוש החודש,Holy of the month
קדוש השם,The Holy One
קדוש ידים ורגלים,Holy hands and feet
קדוש לבנה,A white shrine
קדוש,holy
קדושה קדש,Holy holiness
קדושין,Kadushin
קדח,bore
קדים,Bow
קדימה,forward
קדיש,Kaddish
קדם,pre
קדמוני,ancient
קדקד,Caddek
קדר,potter
קדש קדשה,Holy of Holiness
קדש ברנע,Kadesh Barnea
קדש,Kadesh
קהל,crowd
קהלת,Ecclesiastes
קהת,Kehat
קו,line
קוד,Code
קוה,Please
קוט,Cout
קול,Voice
קום,get up
קומה,floor
קוסם,magician
קוף,monkey
קוץ,thorn
קור,cold
קורא,reader
קורות,history
קושיא,Cushia
קטב מרירי,Qutb Merri
קטורה,Ketura
קטורת,incense
קטיעה בר שלום,Amputation Bar Shalom
קטן,Little
קטנה,Small
קטף,He picked
קידה,A bow
קין קרבן,Cain is a victim
קין והבל,Cain and Abel
קין,Cain
קינוי וסתירה,Keeny and contradiction
קיני,Kinney
קינין,Keenin
קינן,Kenan
קיסר,Caesar
קיסרי,imperial
קיץ,summer
קיק,Castor
קישון,Kishon
קל וחומר,All the more so
קלון,shame
קלות ראש,light headedness
קלי,Kelly
קליאופטרא,Cleopatra
קללה,curse
קלפה,Peel
קמואל,Kamuel
קמח,flour
קמחית,Flour
קמט,wrinkle
קמיע,talisman
קמץ קמצים,He clenched pimples
קמצן קמצנות,Stingy miserliness
קן צפור,A bird&#39;s nest
קנאה,jealousy
קנאות,fanaticism
קנה בושם,Buy perfume
קנה הריאה,Buy a lung
קנז,Kenaz
קנין,property
קנמון,cinnamon
קנס,fine
קנצי,Kantzi
קנקנתום,vitriol
קסם,magic
קעקע,tattoo
קפדן קפדנות,Strictly strict
קפיצת הדרך,The leap forward
קץ,end
קצין,officer
קצירה,reaping
קצף,foam
קצר רוח,Impatient
קרא קריאה,Read Read
קרא בשם ה,Read the name of the
קראים,Kareem
קרב ימי,Battle of the Sea
קרב,battle
קרבן אכילה,An eating victim
קרבן אשה,The victim of a woman
קרבן אשם,A guilty victim
קרבן בית דין,The victim of the Beit Din
קרבן בכור,The firstborn offering
קרבן הקרבה,Sacrifice sacrifice
קרבן זריקת הדם,The victim of the blood injection
קרבן חביתין,The victim of the barrel
קרבן חגיגה,The Korban Celebration
קרבן חזה ושוק,Sacrifice victim and market
קרבן חטאת,Korban Hatat
קרבן חנוך,The Korban Chanoch
קרבן יום הכפורים,The Day of Atonement
קרבן לבונה,The victim of frankincense
קרבן לידה,Victim of birth
קרבן מוסף,The offering is added
קרבן מחוסר זמן,A victim of lack of time
קרבן מלואים,A sacrifice from the Levites
קרבן מלח,Salt sacrifice
קרבן מליקה,Malika sacrifice
קרבן מנחה,Mincha Korban
קרבן מעשר בהמה,The offering of the tithe of beast
קרבן מצורע,A leper victim
קרבן נותר,A sacrifice remains
קרבן נזיר,A monk victim
קרבן נסוך המים,A victim of pouring water
קרבן נסך,Korban Nesekh
קרבן נשיא,The Victim of the President
קרבן נשיאים,The sacrifice of presidents
קרבן סוטה,A deviant victim
קרבן סמיכה,A thick victim
קרבן עבודה זרה,The offering of idolatry
קרבן עולה ויורד,A victim rises and falls
קרבן עולה,A burnt offering
קרבן עולת ראיה,A victim of seeing
קרבן עומר,The Sacrifice of Omar
קרבן עוף,Chicken sacrifice
קרבן עצים,A victim of trees
קרבן פגול,A pesky victim
קרבן פסח מצרים,The Passover Korban Mitzrayim
קרבן פסח שני,The Second Passover Korban
קרבן פסח,The Korban Pesach
קרבן פעולה,Action victim
קרבן פר העלם דבר,The sacrifice of the bull is nothing
קרבן פר כהן משיח,The Conquest of Pr
קרבן שחוטי חוץ,A victim of outer threads
קרבן שחיטה,The victim of slaughter
קרבן שיר,A song victim
קרבן שלמים,A complete sacrifice
קרבן שמיני,The eighth victim
קרבן שמן,Oil victim
קרבן שני הלחם,The second victim of the bread
קרבן שתי הלחם,The offering of the two loaves
קרבן תודה,Thank you victim
קרבן תמורה,The sacrifice of Tmura
קרבן תמיד,Always a victim
קרבן תנופה,The victim of momentum
קרבן תקיעה,Sacrifice victim
קרבן,victim
קרה,Happened
קרואי העדה,Readers of the community
קרוב קרובים,Close relatives
קרוב ימי,Close to my days
קרוב רחוקים,Close and distant
קרח בני,Ice my son
קרח קרחה,Ice was bald
קרח,ice
קרי וכתיב,Kerry and Katib
קרי,curry
קריאת התורה,Reading the Torah
קריאת שמע על המטה,Shema on the staff
קריאת שמע,Shema
קריעה,tearing
קריעת ים סוף,parting the Red Sea
קרית ספר,Kiryat Sefer
קרן,Foundation
קרקע,ground
קרקר,Cracker
קרש,board
קש קשש,Straw Straw
קשב,attention
קשה עורף,stubborn
קשה,Difficult
קשוט,decoration
קשט,Decorated
קשיטה,Kheta
קשקשת,dandruff
קשר קשור,Related relationship
קשת,Rainbow
אבא בנימין,Father Benjamin
אבא בר מרתא,Father Bar Martha
אבא חלפתא,Father is a healer
אבא חלקיה,"Father, Chalkia"
אבא יודן,Father Yuden
אבא שאול אבא שאול בן בטנית,Abba Shaul Abba Shaul Ben Batnit
אבא תחנה,Father station
אבוה בר איהי,Abva Bar Ayei
אביי,Abaye
אבימי בריה דרבי אבהו,Avimi Beria Derby Abahu
אבימי,Avimi
אדמון,Admon
אילפא,Ilpa
איסי בר יהודה,Isi Bar Yehuda
אליעזר זעירא,Eliezer Zeira
אמימר,Emmer
בבא בן בוטא,Baba Ben Bota
בטנית,Abdominal
בן זומא,Ben Zoma
בן ננס,Son of a dwarf
בן עזאי,Ben Azzai
בני בתירא,Benny Batira
בנימין הצדיק,Benjamin the Righteous
בר קפרא,Bar Kapra
ברוריה,Bruria
הורקנוס,Hyrcanus
הלל בן רבן גמליאל,Hillel ben Rabban Gamliel
הלל,praise
זעירי,Tiny
חוני המעגל,Honi the Circle
חוצפית המתורגמן,The interpreter
חנן בן אבישלום,Hanan Ben Avishalom
חנן המצרי,Egyptian Hanan
חנן הנחבא,Hanan the Nachba
יהודה בן דורתאי,Yehuda ben Dorthai
יהודה בר חייה,Yehuda Bar Chaya
יהושע בן גמלא,Joshua ben Gamla
יוחנן בן בג בג,John the son of Beg
יוחנן כהן גדול,John the Great
יונתן בן עוזיאל,Yonatan Ben Uziel
יונתן בן עמרם,Yonatan Ben Amram
יוסי בן יועזר,Yossi Ben Yoezer
יוסי בן סימאי,Yossi Ben Simai
לוי בן סיסי,Levi Ben Sisi
לוי בריה דרב הונא בר חייא,Levi Breeh Drab Huna Bar Chiya
מנימין בר איהי,Benjamin Bar Ayei
מר בר רב אשי,Mr. Bar Rav Ashi
מר בריה דרבינא,Mr. Beria Darbina
מר זוטרא בריה דרב נחמן,Mr. Zutra Beria Rabbi Nachman
מר זוטרא חסידא,Mr. Zutra Hasidah
מר זוטרא,Mr. Zutra
מר עוקבא בר חמא,Mr. Uqba Bar Hama
מר עוקבא,Mr. Okba
נחום איש גם זו,Nahum is also a man
נחום איש קודש קדשים,Nachum of the Holy of Holies
נחום המדי,Nahum the Medi
נחמיה איש בית דלי,Nehemiah of the House of Aquarius
נתן צוציתא,Natan Tzutsia
סומכוס,Somchus
עולא,Ula
עוקבא,Okba
עיפא,Ifa
עקביא בן מהללאל,Akavia Ben Mahalalel
פלימו,Plymouth
קרנא,Karna
ר אבא דמן חיפה,Dr. Abba Daman Haifa
ר אבון,R. Avon
ר אושעיא בריבי,R. Ushaia Rivi
ר אלעזר בן פרטא,R. Elazar ben Parta
ר אלעזר הקפר,R. Elazar Hakper
ר אלעזר חסמא,R. Elazar Hasma
ר אלעזר מהגרוניא,R. Elazar of the Gronia
ר אפס,Zero
ר יאשיה דמן אושא,Yosha Daman Usha
ר יאשיה,R. Yoshia
ר יהודה בן קנוסא,R. Yehuda ben Knosa
ר יהודה,R. Yehuda
ר יהושע בן ר עקיבא,R. Yehoshua ben R. Akiva
ר יהושע בריה דרב אידי,Rabbi Yehoshua Beria Derby Idi
ר יהושע,R. Joshua
ר יוחנן בן מתיא,R. Yohanan ben Mattia
ר יוחנן החורני,Dr. Yohanan Hahorani
ר יוחנן הסנדלר,R. Yohanan the shoemaker
ר יוסי בן דורמסקית,Yossi Ben Dormskit
ר יוסי בר חלפתא,Dr. Yossi Bar Halfta
ר יוסי בר חנינא,Yossi Bar Hanina
ר יוסי בר נתן,Yossi Bar Natan
ר יוסי דמן יוקרת,Dear Yossi Deman
ר יוסי דפקיעין,Dr. Yossi Dapkein
ר יוסי הגלילי,Yossi Galili
ר יוסי קטנתא,Yossi Katana
ר יסא,Yes
ר יעקב בן קרשי,Rabbi Yaakov ben Karshi
ר יעקב בר אחא,Rabbi Yaakov Bar Acha
ר ישמעאל בן אלישע,R. Ishmael son of Elisha
ר ישמעאל בן פיאבי,Rabbi Ishmael Ben Piabi
ר ישמעאל בר יוסי,Rabbi Ishmael Bar Yosi
ר פפייס,R. Papies
ר צדוק,R. Tzadok
ר שמעון בר ווא,Rabbi Shimon Bar-V
ר,R.
ראה ראיה,See evidence
ראובן,Reuven
ראשון,First
ראשית הגז,First gas
ראשית,beginning
רב רבי,Rabbi Rebbi
רב רבנות,Rabbinate
רב אבא בר תחליפא,Rabbi Abba bar Tzilapa
רב אדא בר אבא,Rav Ada Bar Abba
רב אדא בר אהבה,Rav Ada bar love
רב אדא בר אחוה,Rav Ada Bar Achva
רב אדא בר מתנא,Rav Ada bar of Tanna
רב אדא סבא,Rabbi Ada Saba
רב אויא סבא,Rabbi Oya Grandfather
רב אויא,Rav Aoya
רב אחא בר אבא,Rav Acha bar Abba
רב אחא בר יוסף,Rav Acha bar Yosef
רב אחא בר יעקב,Rav Acha bar Yaakov
רב אחא בר רב הונא,Rav Aha bar Rav Huna
רב אחא בריה דרב איקא,Rav Acha Beria Drev Ika
רב אחא בריה דרבינא,Rav Acha Beria Darbina
רב אחא דהוצל,Rav Acha Dauchel
רב אחא,Rav Aha
רב אחאי,Rav Achai
רב אחדבוי בר אמי,Rav Ahavavi Bar Ami
רב אידי בר אבין,Rabbi Idi Bar Avin
רב אידית,Multi-Edith
רב אשי,Rav Ashi
רב ביבי בר אביי,Rabbi Bibi Bar Abaye
רב ביבי,Rabbi Bibi
רב ברונא,Rav Bronna
רב גידל,Rav grew
רב גמדא,Rav Gamda
רב דימי אחוה דרב ספרא,Rav Dimi Achva Der Spra
רב דימי בר יוסף,Rav Dimi Bar Yosef
רב דימי מנהרדעא,Rabbi Dimi of Naharda
רב הונא בר חיון,Rav Huna Bar Hayoun
רב הונא בר חייא,Rav Huna Bar Chiya
רב הונא בר חיננא,Rav Huna Bar Chinna
רב הונא בריה דרב איקא,Rav Huna Beria Rav Ika
רב הונא בריה דרב יהושע,Rav Huna was the son of Rabbi Yehoshua
רב הונא בריה דרב נתן,Rav Huna was the son of Rav Natan
רב הונא ריש גלותא,Rav Huna Rish Galuta
רב הונא,Rav Huna
רב המנונא סבא,Rabbi Menna Saba
רב המנונא,The rabbi
רב זביד,Rav Zvid
רב חייא אריכא,Rav Hiya Aricha
רב חייא בר אדא,Rav Hiya Bar Ada
רב חייא בר אשי,Rav Hiya Bar Ashi
רב חמא בר טוביה,Rabbi Hama Bar Tuvia
רב חמא בריה דרבה בר אבהו,Rabbi Hama Beria Darba Bar Abahu
רב חמא,Rabbi Hama
רב חנא,Rabbi Hanna
רב חנינא בר שילא,Rav Chanina bar Shila
רב חנן בר רבא,Rav Chanan bar Raba
רב חנן,Rav Hanan
רב חננאל,Rav Chananel
רב חנניא בר שלמיא,Rav Hanina bar Shalmaya
רב חסדא,Rav Hasda
רב טבות,Many benefits
רב טובי בר מתנא,Rabbi Toby Bar of Tanna
רב יהודה בר אישתתא,Rav Yehuda bar Ishtata
רב יהודה בר יחזקאל,Rav Yehuda bar Yehezkel
רב יהודה,Rav Yehuda
רב יוסף בר חמא,Rabbi Yosef bar Hama
רב יוסף בריה דר יהושע,Rav Yosef Beria Der Yehoshua
רב יוסף בריה דרבא,Rav Yosef Beria Draba
רב יוסף,Rav Yosef
רב יחזקאל,Rav Yehezkel
רב ייבא סבא,Rav imported a grandfather
רב יצחק בר ביסנא,Rav Yitzchak bar Bisna
רב יצחק בר יוסף,Rav Yitzchak Bar Yosef
רב יצחק ברבי,Rav Yitzchak Barbi
רב יצחק בריה דרב יהודה,Rav Yitzchak Beria of Rabbi Judah
רב ירמיה בר אבא,Rabbi Jeremiah bar Abba
רב כהנא,Rav Kahane
רב מלכיו,Rabbi Malkio
רב מנשה,Rav Menashe
רב מרדכי,Rav Mordechai
רב מרי בר רחל,Rabbi Mary Bar Rachel
רב מרי,Rabbi Mary
רב משרשיא,Rav Masharashi
רב מתנה,A great gift
רב נחמן בר יעקב,Rav Nachman bar Yaakov
רב נחמן בר יצחק,Rav Nachman bar Yitzchak
רב נחמן,Rav Nachman
רב נתן בר אסיא,Rav Natan Bar Assia
רב סחורה,Merchandise
רב סמא,Rav Sama
רב סעורם,A great multitude
רב ספרא,Rav Safra
רב עוירא סבא,Rabbi Oira Saba
רב עוירא,Rav Oira
רב עולא בר אבא,Rabbi Ula Bar Abba
רב עולא בריה דרב עילאי,Rabbi Ula is a supreme rabbi
רב עוקבא בר חמא,Rabbi Uqba bar Hama
רב עיליש,Rav Ilish
רב עמרם חסידא,Rav Amram Hassidah
רב עמרם,Rav Amram
רב ענן בר תחליפא,Rav Anbar bar will heal
רב ענן,A great cloud
רב פנחס בן רב חסדא,Rav Pinchas ben Rav Chisda
רב פפא בר שמואל,Rav Papa Shmuel
רב פפא,Rav Papa
רב פפי,Rav Pepi
רב רחומי,Rav Rahumi
רב שימי בר אשי,Rav Shimi Bar Ashi
רב שמואל בר אבא,Rav Shmuel bar Abba
רב שמואל בר ביסנא,Rav Shmuel bar Bisna
רב שמואל בר זוטרא,Rav Shmuel bar Zutra
רב שמואל בר יהודה,Rav Shmuel Bar Yehuda
רב שמואל בר יצחק,Rav Shmuel bar Yitzchak
רב שמואל בר שילת,Rav Shmuel bar Shilat
רב ששת,Rav Sheshet
רב,multi
רבא בר שרשום,Rava Bar that was written
רבא,Great
רבבה,myriad
רבה קשת,Rabbi Keshet
רבה בר אבוה,Rabbah bar Avoah
רבה בר בר חנה,Rabba Bar Bar Chana
רבה בר חנה,Rabbi Bar Chana
רבה בר רב הונא,Rabbah bar Rav Huna
רבה בר רב חנן,Rabbi Bar Rav Hanan
רבה,Great
רבוע,square
רבי אבא בר זוטרא,Rabbi Abba bar Zutra
רבי אבא בר פפא,Rabbi Abba Bar Papa
רבי אבא בריה דרבי חייא,Rabbi Abba Beria Derby Hiya
רבי אבא דמן עכו,Rabbi Abba Daman Acre
רבי אבא,Rabbi Abba
רבי אבוה,Rabbi Avoah
רבי אבין,Rabbi Avin
רבי אבינא,Rabbi Avina
רבי אביתר,Rabbi Eviatar
רבי אושעיא,Rabbi Oshaya
רבי אחא בר עולא,Rabbi Acha bar Ula
רבי אחא שר הבירה,Rabbi Aha the Minister of the Capital
רבי אחי בר יאשיה,Rabbi Bar Yoshia
רבי אליעזר בן יעקב,Rabbi Eliezer son of Jacob
רבי אליעזר בנו של ר יוסי הגלילי,Rabbi Eliezer son of Rabbi Yossi the Galilean
רבי אליעזר,Rabbi Eliezer
רבי אלכסנדרי,Rabbi Alexandri
רבי אלעאי,Rabbi Elai
רבי אלעזר בן דורדיא,Rabbi Elazar ben Dordia
רבי אלעזר בן דמה,Rabbi Elazar ben Dama
רבי אלעזר בן חסמא,Rabbi Elazar ben Hasma
רבי אלעזר בן חרסום,Rabbi Elazar ben Harsom
רבי אלעזר בן עזריה,Rabbi Elazar ben Azarya
רבי אלעזר בן ערך,Rabbi Elazar ben Arach
רבי אלעזר בן פדת,Rabbi Elazar ben Fadat
רבי אלעזר בן צדוק,Rabbi Elazar ben Zadok
רבי אלעזר בן שמוע,Rabbi Elazar ben Shammua
רבי אלעזר בן שמעון,Rabbi Elazar ben Shimon
רבי אלעזר בר יוסי,Rabbi Elazar bar Yossi
רבי אלעזר,Rabbi Elazar
רבי אמי ורבי אסי,Rabbi Ami and Rabbi Assi
רבי בון,Rabbi Boone
רבי בנאה,Rabbi Bena
רבי דוסא בן הרכינס,Rabbi Dosa Ben Harkins
רבי דוסתאי בר ינאי,Rabbi Dostai bar Yanai
רבי הושעיא,Rabbi Hoshaya
רבי זירא,Rabbi Zira
רבי זכאי,Rabbi Zakai
רבי זכריה בן אבקולס,Rabbi Zechariah ben Abecols
רבי זכריה בן הקצב,Rabbi Zechariah ben the butcher
רבי זעירא,Rabbi Zeira
רבי חגי,Rabbi Haggai
רבי חזקיה,Rabbi Hezekiah
רבי חייא בר אבא,Rabbi Hiya bar Abba
רבי חייא בר בא,Rabbi Hiya Bar came
רבי חייא בר גמדא,Rabbi Hiya bar Gamda
רבי חייא בר זרנוקי,Rabbi Hiya Bar Zarnowski
רבי חייא בר יוסף,Rabbi Hiyya bar Yosef
רבי חייא בר רב,Rabbi Hiyya bar Rav
רבי חייא פרוואה,Rabbi Hiya Froy
רבי חייא,Rabbi Hiya
רבי חלבו,Rabbi Chelbo
רבי חמא בר ביסא,Rabbi Chama Bar Issa
רבי חמא בר רבי חנינא,Rabbi Chama bar Rabbi Chanina
רבי חמי בר חנינה,Rabbi Chami Bar Hanina
רבי חנא בר ביזנא,Rabbi Hanna Bar Bizna
רבי חנא בר חנילאי,Rabbi Hanna Bar Chanilai
רבי חנא פתוראה,Rabbi Hanna Paturah
רבי חנינא בן אחי ר יהושע,Rabbi Chanina son of Rabbi Joshua
רבי חנינא בן אלעזר,Rabbi Chanina ben Elazar
רבי חנינא בן אנטיגנוס,Rabbi Chanina ben Antiginus
רבי חנינא בן גמליאל,Rabbi Chanina ben Gamliel
רבי חנינא בן דוסא,Rabbi Chanina ben Dosa
רבי חנינא בר חמא,Rabbi Chanina bar Hama
רבי חנינא בר יוסף,Rabbi Chanina bar Yosef
רבי חנינא בר פפא,Rabbi Chanina bar Papa
רבי חנינא בר פפי,Rabbi Chanina bar Pepi
רבי חנינא,Rabbi Chanina
רבי חנינה בן תרדיון,Rabbi Chanina ben Teradyon
רבי חנניה בן חכינאי,Rabbi Chananiah ben Chachini
רבי חנניה,Rabbi Chananiah
רבי טבלא,Rabbi Tabla
רבי טרפון,Rabbi Tarfon
רבי יהודה בן בבא,Rabbi Yehudah ben Baba
רבי יהודה בן בתירא,Rabbi Yehudah ben Betira
רבי יהודה בן טבאי,Rabbi Yehudah ben Tabai
רבי יהודה בר נחמיה,Rabbi Yehuda bar Nehemiah
רבי יהודה הנדואה,Rabbi Yehudah Handawa
רבי יהודה נשיאה,Rabbi Yehuda Nasiha
רבי יהושע בן לוי,Rabbi Yehoshua ben Levi
רבי יהושע בן פתר ראש,Rabbi Yehoshua ben Fetter Rosh
רבי יהושע בן קרחה,Rabbi Yehoshua ben Korcha
רבי יודן,Rabbi Yudan
רבי יוחנן בן גודגדא,Rabbi Yohanan ben Godegda
רבי יוחנן בן נורי,Rabbi Yohanan ben Nuri
רבי יוחנן בן תורתה,Rabbi Yohanan ben Toratah
רבי יוחנן,Rabbi Yohanan
רבי יונה,Rabbi Yona
רבי יונתן בן עכמאי,Rabbi Yonatan ben Akmai
רבי יונתן,Rabbi Yonatan
רבי יוסי בן קסמא,Rabbi Yosi ben Kisma
רבי יוסי בר אסיין,Rabbi Yosi Bar Asien
רבי יוסי בר כיפר,Rabbi Yosi bar Kiefer
רבי יוסי בר ר יהודה,Rabbi Yosi bar Yehuda
רבי יוסי הכהן,Rabbi Yosi HaCohen
רבי יוסי,Rabbi Yosi
רבי ינאי בר ישמעאל,Rabbi Yannai bar Ishmael
רבי ינאי,Rabbi Yannai
רבי יעקב בר אידי,Rabbi Ya&#39;akov bar Idi
רבי יצחק נפחא,Rabbi Yitzchak Nafha
רבי יצחק,Rabbi Yitzchak
רבי ירמיה,Rabbi Yirmiyahu
רבי ישבב,Rabbi Sathev
רבי ישמעאל,Rabbi Yishmael
רבי כרוספדאי,Rabbi Krospdayi
רבי לוי,Rabbi Levi
רבי מאיר,Rabbi Meir
רבי מיאשא בר בריה דר יהושע,Rabbi Miesha bar Beriah der Joshua
רבי מנחם בר סימאי,Rabbi Menachem Bar Simai
רבי מתיא,Rabbi Matia
רבי נהוראי,Rabbi Nehorai
רבי נחוניא בן הקנה,Rabbi Nachonia son of the barrel
רבי נחוניא חופר שיחין,Rabbi Nachonia digs a sheikh
רבי נחוניא,Rabbi Nachonya
רבי נחמיה,Rabbi Nehemiah
רבי נתן,Rabbi Nathan
רבי עזרא,Rabbi Ezra
רבי עקיבא,Rabbi Akiva
רבי פדת,Rabbi Paddat
רבי פנחס בן יאיר,Rabbi Pinchas ben Yair
רבי פנחס בר ערובא,Rabbi Pinchas bar Aruba
רבי פנחס,Rabbi Pinchas
רבי פרידא,Rabbi Frieda
רבי ראובן בן איסטרובלי,Rabbi Reuven ben Istarovli
רבי רומנוס,Rabbi Romanus
רבי שילא,Rabbi Shila
רבי שמואל בן סוסרטיי,Rabbi Shmuel ben Suserty
רבי שמואל בר רבי יוסי,Rabbi Shmuel bar Yosi
רבי שמלאי,Rabbi Shamlai
רבי שמעון בן איסי בן לקוניא,Rabbi Shimon ben Isi ben Lakonia
רבי שמעון בן אליקים,Rabbi Shimon ben Elyakim
רבי שמעון בן אלעזר,Rabbi Shimon ben Elazar
רבי שמעון בן חלפתא,Rabbi Shimon ben Halfafta
רבי שמעון בן יהוצדק,Rabbi Shimon ben Yochadek
רבי שמעון בן יוחאי,Rabbi Shimon ben Yochai
רבי שמעון בן לקיש,Rabbi Shimon ben Lakish
רבי שמעון בן נתנאל,Rabbi Shimon ben Netanel
רבי שמעון בר רבי,Rabbi Shimon bar Rabi
רבי תנחום ב,Rabbi Tanchum b
רבי תנחום בן חנילאי,Rabbi Tanchum ben Chanieli
רבי תנחום בר איסבלוסטיקא,Rabbi Tanchum bar Isabelostika
רבי תנחום,Rabbi Tanchum
רבי תנחומא,Rabbi Tanhuma
רבי,Rabbi
רביבים,Revivim
רביד,necklace
רבים,many
רבין חסידא,Rabin is a Hasidah
רבין סבא,Rabin was a grandfather
רבין,Rabin
רבינא,Rabina
רביעית,quarter
רבית,interest
רבן גמליאל,Rabban Gamliel
רבן יוחנן בן זכאי,Rabban Yohanan ben Zakkai
רבן שמעון בן גמליאל,Rabban Shimon ben Gamliel
רבנות,rabbinate
רבץ,Rabin
רבקה,Rebecca
רבשקה,Ravashka
רגז,He was upset
רגל מזיק,To a harmless foot
רגל תור,To the queue
רגל,Foot
רגם,Reg
רגן,Regan
רגע רוגע,A calm moment
רגע,moment
רגעי ארץ,Land moments
רגש,emotion
רדה,Rada
רדף,He pursued
רהב,arrogance
רוב,majority
רוגז רגז,An angry irritation
רודוס,Rhodes
רודף רדף,A haunted pursuer
רווק,Single
רוח נפש,Spirit of the soul
רוח ה,Wind of the
רוח הקודש,the Holy Spirit
רוח טומאה רעה,The spirit of evil impurity
רוח,wind
רוחות מזיקין,Spirits
רוחות,Winds
רוחניות,spirituality
רוכל,Peddler
רום עינים,Ruminant eyes
רומוס ורומולוס,Romulus and Romulus
רומי,Roman
רועה רעה,A bad shepherd
רופא,doctor
רוצח,murderer
רוק רקיקה,Rock and paste
רות,Ruth
רותם,Rotem
רחב,Wide
רחבה,square
רחבעם,Rechavam
רחוב,Street
רחוק,far away
רחיצה,washing
רחל,Rachel
רחם,womb
רחמים,mercy
רחש,rustle
רטפש,Scratching
רטש,Rattles
ריאה,Lung
ריב,fight
ריח,smell
ריחים,Smelly
רימון,Pomegranate
רינה רנן,Rina Renan
ריע,Ria
ריפות,Rains
ריצה,running
ריש גלותא,Resh Galuta
רך לבב,fainthearted
רך,soft
רכוש,property
רכיבה רכב,Riding a car
רמי בר חמא,Rami Bar Hama
רמי בר יחזקאל,Rami Bar Yehezkel
רמי בר תמרי,Rami Bar Tamari
רע עין,Bad eye
רעב,hunger
רעה,evil
רעואל,Reuel
רעידת אדמה,Earthquake
רעם,Thunder
רעמסס,Ramses
רעץ,Shake
רפאים,Ghost
רפאל,Raphael
רפואה,medicine
רפידים,Rapids
רפרם בר פפא,Reperm Bar Papa
רפרם,Reperm
רצד,He ran away
רצה רצון,Wanted
רצפה בת איה,Floor Bat Aya
רצפה,floor
רצץ,Ritz
רק,only
רקד רקידה,He danced a dance
רקח,perfumer
רקיע,firmament
רקיק,wafer
רקם,Rex
רש,Resh
רשות היחיד הרבים,The individual&#39;s many
רשות,permission
רשימו,Reshimo
רשע וטוב לו,Evil and good to him
רשע,evil
רשף,Reshef
שילא בר אבינא,Shilo bar Avina
שמאי,appraiser
שמואל הקטן,Little Shmuel
שמואל,Shmuel
שמעון בן שטח,Shimon Ben Shetach
שמעון העמסוני,Shimon Hamsony
שמעון הפקולי,Shimon Fakoli
שמעון הצדיק,Shimon hatzadik
שמעון התימני,Shimon the Yemenite
שמעיה ואבטליון,Shemaiah and Avtalyon
תודוס,Todos
ש,That
שא,Sha
שאה שאיה,Shah Shaya
שאול גיהנם,Shaul Hellen
שאול מלך,Saul is king
שאור,sourdough
שאילת שלום,Borrowing peace
שאל שאלה,Ask a question
שאנן,carefree
שאף,Aspire
שאר,rest
שאת צרעת,You&#39;re leprosy
שאת,That you
שבא מלכת,Who came queen
שבואל,Schwal
שבוי שבויה שבי,A captive captive in me
שבוע,week
שבועה,oath
שבועות,Weeks
שבור מלכא,Broken Malka
שבח,praise
שבטים,Tribes
שביל,path
שבירת הכלים,Breaking the dishes
שבכה,lattice
שבלול,snail
שבנא,Sheva
שבע בן בכרי,Sheva Ben - Bakri
שבעה מינים,Seven species
שבעה עמים,Seven peoples
שבעה עשר בתמוז,Seventeenth of Tammuz
שבעה רועים,Seven Shepherds
שבעים זקנים,Seventy old people
שבעים נפש,Seventy people
שבעת ימי המשתה,The seven days of the feast
שבעתים,sevenfold
שבץ,Embed
שבר וישבר,Broken and broken
שבר יש שבר,A fracture has a fracture
שבר שבירה,Breakage fracture
שבר תשברנה,A fracture will break
שבת אסורי,Shabbat is forbidden
שבת בגד,Shabat betrayed
שבת וישבת,Shabbat and sat
שבת זכור ושמור,Shabbat Remember and Save
שבת מוצאי,Shabbat Motza&#39;i
שבת נר,Shabbat candle
שבת נשמה יתרה,Shabbat is an extra soul
שבת סעודה,Shabbat meal
שבת ערב,Saturday evening
שבת קדוש והבדלה,Shabbat is holy and Havdalah
