Sanhedrin 2a:1	<sup>i</sup> <b>G</b>ELDANGELEGENHEITEN$fn1 <small>WERDEN VOR DREI</small> [R<small>ICHTERN VERHANDELT</small>], R<small>AUB UND</small> K<small>ÖRPERVERLETZUNGEN</small>$fn2 <small>VOR DREI</small>, S<small>CHADEN- UND HALBER</small> S<small>CHADENERSATZ</small>$fn3, Z<small>AHLUNG DES</small> D<small>OPPELTEN</small>$fn4 <small>UND DES</small> V<small>IER ODER</small> F<small>ÜNFFACHEN</small>$fn5 <small>VOR DREI</small>,
Sanhedrin 96a:4	$fn292<i>Da teilte er sich wider sie, er und seine Leute, in der Nacht und schlug sie &amp;c</i>. R. Joḥanan sagte: Der Engel, der sich Abraham einstellte, hieß Nacht, denn es heißt:$fn293<i>und die Nacht, die da sprach: es wurde ein Knabe empfangen</i>. R. Jiçḥaq der Schmied sagte: Es ereigneten sich ihm Dinge, wie sie in der Nacht geschahen, denn es heißt:$fn294<i>vom Himmel her kämpften dir Sterne, von ihren Bahnen kämpften sie mit Sisra</i>. Reš Laqiš sagte: Die [Erklärung] des Schmiedes ist besser als die des Schmiedessohnes$fn295.
Sanhedrin 96a:5	$fn296<i>Er verfolgte sie bis Dan</i>. R. Joḥanan sagte: Als dieser Fromme bis Dan herankam, schwand ihm seine Kraft, denn er sah, daß seine Kindeskinder dereinst in Dan Götzen dienen werden, wie es heißt:$fn297<i>und er stellte das eine in Beth-él auf, das andere aber tat er nach Dan</i>. Auch jener Frevler gewann an Kraft erst als er Dan erreicht hatte, denn es heißt:$fn298<i>von Dan her läßt sich das Schnauben seiner Rosse vernehmen</i>.
Sanhedrin 96a:6	R. Zera sagte: Obgleich R. Jehuda b. Bethera aus Nezibis sagen ließ, daß man gegen einen Greis, der unverschuldet seine Gesetzeskunde vergessen hat, aufmerksam sei, daß man mit den Halsadern$fn299vorsichtig sei, nach R. Jehuda, und daß man aufmerksam sei gegen die Söhne unwissender Leute, von denen Gesetzeskunde ausgeht, so darf man ihnen dennoch folgendes$fn300sagen:
Sanhedrin 96a:7	$fn301<i>Du bleibst im Rechte, Herr, wenn ich mit dir hadern wollte; doch zur Rede möchte ich dich stellen, warum das Treiben der Frevler Gelingen hat, und warum alle, die treulos handeln, unangefochten bleiben? Du pflanztest sie ein, sie schlagen auch Wurzel, sie gedeihen, bringen auch Frucht</i>. Was erwiderte man ihm? – $fn302<i>Wenn du mit Fußgängern läufst und die dich schon ermüden, wie willst du mit Rossen um die Wette laufen. Und fühlst du dich im friedlichen Lande sicher, was willst du tun im Dickicht des Jardens</i>?
Sanhedrin 96a:8	Ein Gleichnis. Einst sagte jemand, er könne drei Parasangen vor Pferden in einem Sumpfe laufen; als sich ihm darauf ein Fußgänger einstellte, vor dem er drei Mil auf trockenem Boden lief und müde wurde, sprach man zu ihm: Wenn dies vor einem Fußgänger der Fall ist, um wieviel mehr vor Pferden; wenn dies bei drei Mil der Fall ist, um wieviel mehr bei drei Parasangen; und wenn dies auf trockenem Boden der Fall ist, um wieviel mehr in einem Sumpfe.
Sanhedrin 96a:9	Ebenso verhält es sich auch bei dir: wenn du dich wunderst über die Belohnung, die ich jenem Frevler zuteil werden ließ, weil er mir zu Ehren vier Schritte lief, um wieviel mehr [wirst du dich wundern], wenn ich Abraham, Jiçḥaq und Ja͑qob, die vor mir wie die Pferde liefen, ihre Belohnung zukommen lassen werde. Hierauf deutet der Schriftvers:$fn303<i>Wegen der Propheten</i>$fn304<i>ist mein Herz in meinem Innern gebrochen, es schlottern all meine Gebeine; ich bin wie ein Trunkener und wie ein Mann, den der Wein übermannt</i>$fn305<i>hat; vor dem Herrn und vor seinen heiligen Worten</i>. –
Sanhedrin 96a:10	Welche vier Schritte sind es? – Es heißt:$fn306<i>zu jener Zeit sandte Merodakh Baládan, der Sohn des Baládan, der König von Ašur, einen Brief &amp;c</i>. Sandte er etwa deshalb an Ḥizqijahu einen Brief und Geschenke, weil er gehört hatte, daß er krank war und zu Kräften gekommen sei? Vielmehr:$fn307<i>und sich nach dem Wunderzeichen zu erkundigen, das im Lande geschehen war</i>. R. Joḥanan sagte nämlich: Der Tag, an dem Aḥaz starb, hatte nur zwei Stunden,
Sanhedrin 96a:11	und als Ḥizqija krank und darauf gesund geworden war, gab ihm der Heilige, gepriesen sei er, jene zehn Stunden zurück, denn es heißt:$fn308<i>ich will den Schatten am Sonnenzeiger des Aḥaz zehn Stufen zurückgehen lassen, über welche er gelaufen war; da ging die Sonne zehn Stufen, die sie am Sonnenzeiger herabgestiegen war, wieder zurück</i>. Als er hierauf fragte, was dies zu bedeuten habe, erwiderte man ihm, Ḥizqija sei krank gewesen und genesen. Darauf sprach er: Es gibt einen solchen Mann, und ich sollte ihm keinen Gruß entbieten! Alsdann schrieben sie: Ein Gruß dem Könige Ḥizqija, ein Gruß der Stadt Jerušalem, ein Gruß dem großen Gott.
Sanhedrin 96a:12	Nebukhadneçar war der Kanzler Baládans und war damals nicht anweisend; als er kam, fragte er sie, was sie geschrieben hätten, und sie erwiderten ihm, so und so hätten sie geschrieben. Da sprach er zu ihnen: Ihr ruft ihn ‘großer Gott’, und nennt ihn zuletzt!? Schreibt vielmehr wie folgt: Ein Gruß dem großen Gott, ein Gruß der Stadt Jerušalem, ein Gruß dem König Ḥizqija. Da sprachen sie zu ihm: Der Leser des Briefes mag auch der Bote sein.
Sanhedrin 96a:13	Hierauf lief er ihm$fn309nach. Als er vier Schritte gelaufen war, kam [der Engel] Gabriél und hielt ihn zurück. R. Joḥanan sagte: Würde nicht Gabriél gekommen sein und ihn zurückgehalten haben, so würde es für die Feinde Jisraéls kein Mittel mehr gegeben haben$fn310. –
Sanhedrin 96a:14	Weshalb heißt er Baládan, Sohn Baládans? – Man erzählt, der König Baládan hatte das Aussehen eines Hundes bekommen, und sein Sohn wurde an seiner Stelle zum Könige eingesetzt; daher pflegte er seinen Namen und den Namen seines Vaters zu unterschreiben. Deshalb heißt es:$fn311<i>ein Sohn ehrt seinen Vater und ein Sklave seinen Herrn</i>.
Sanhedrin 96a:15	Ein Sohn ehrt seinen Vater, wie wir eben gesagt haben; ein Sklave seinen Herrn, denn es heißt:$fn312<i>im fünften Monate aber, am zehnten des Monats, das ist das neunzehnte Regierungsjahr des Königs Nebukhadneçar, des Königs von Babel, rückte Nebuzarádan, der oberste der Leibwächter, der vor dem Könige von Babel Dienst hatte, nach Jerušalem und verbrannte den Tempel des Herrn und den Palast des Königs</i>.
Sanhedrin 96b:1	Kam denn Nebukhadneçar nach Jerušalem, es heißt ja:$fn313<i>und sie führten ihn zum Könige von Babel nach Ribhla</i>, und R. Abahu sagte, es sei Antiochien$fn314!? Dies erklärten R. Ḥisda und R. Jiçḥaq b. Evdämi; einer erklärt, dessen Bild war in seinem Wagen eingraviert, und einer erklärt, er hatte ganz besondere Ehrfurcht vor ihm, sodaß es ihm schien, als stehe er vor ihm.
Sanhedrin 96b:2	Raba sagte: Eine Ladung von dreihundert Maultieren mit eisernen, Eisen zertrümmernden Beilen sandte Nebukhadneçar dem Nebuzarádan, und diese alle verschlang$fn315ein Torflügel von Jerušalem; denn es heißt: $fn316<i>mit Beil und Hammer zerschlugen sie ihr Tafelwerk</i>$fn317. Darauf wollte er umkehren, denn er dachte: ich fürchte, mir könnte es ebenso ergehen, wie Sanḥerib.
Sanhedrin 96b:3	Da ertönte eine Hallstimme und sprach: Springer, Sohn des Springers, springe, Nebuzarádan, denn es ist die Zeit herangereicht, daß das Heiligtum zerstört werde, daß der Tempel verbrannt werde. Ein Beil war ihm zurückgeblieben, mit diesem schlug er [auf das Tor] mit der Helmseite, und es wurde geöffnet, wie es heißt:$fn318<i>er tut sich kund wie einer, der im Dickicht der Bäume Äxte emporhebt</i>.
Sanhedrin 96b:4	Hierauf ging er mordend weiter, bis er an den Tempel herankam und ihn in Brand steckte; da hob er sich in die Höhe, man stieß ihn aber vom Himmel mit einem Fußtritte zurück, denn es heißt:$fn319<i>der Herr hat die Kelter der jungfräulichen Tochter Jehuda getreten</i>. Als hierauf jener hochmütig wurde, ertönte eine Hallstimme und sprach zu ihm: Ein totes Volk hast du getötet, einen verbrannten Tempel hast du verbrannt, gemahlenes Mehl hast du gemahlen. Es heißt nämlich:$fn320<i>nimm die Mühle und mahle Mehl, tue den Schleier ab, hebe die Schleppe auf; entblöße die Schenkel und wate durch die Ströme</i>; es heißt nicht: mahle Weizen, sondern Mehl.
Sanhedrin 96b:5	Darauf sah er das brausende Blut Zekharjas und fragte, was dies zu bedeuten habe; und sie erwiderten ihm, es sei verschüttetes Opferblut. Da sprach er zu ihnen: Holt mir [andere Tiere] her, ich will es untersuchen. Er schlachtete sie und [das Blut] war nicht gleich. Hierauf sprach er zu ihnen: Sagt es mir, sonst zerfetze ich euer Fleiscli mit eisernen Kämmen.
Sanhedrin 96b:6	Sie erwiderten ihm: Dieser war Priester und Prophet; er weissagte den Jisraéliten die Zerstörung Jerušalems, und man tötete ihn. Da sprach er: Ich werde ihn beruhigen. Da holte er die Gelehrten und tötete$fn321sie; [das Blut] setzte sich aber nicht. Hierauf holte er die Schulkinder und tötete sie; es setzte sich aber nicht. Hierauf holte er die jungen Priester und tötete sie; es setzte sich aber nicht, Hierauf tötete er vierundneunzig Myriaden; es setzte sich aber nicht.
Sanhedrin 96b:7	Alsdann trat er heran und sprach: Zekharja, Zekharja, die besten unter ihnen habe ich bereits umgebracht; ist es dir lieb, daß ich sie alle töte? Da setzte es sich sofort. Hierauf kam ihm ein Bußgedanke in den Sinn, indem er dachte: wenn ihnen, die nur eine Seele umgebracht haben, dies geschah, was wird nun mir geschehen. Da lief er fort, sandte ein Testament nach Hause und wurde Proselyt.
Sanhedrin 96b:8	Die Rabbanan lehrten: Na͑man$fn322war Beisaßproselyt; Nebuzarádan war wirklicher Proselyt; Kindeskinder des Sisra$fn323lehrten das Gesetz in Jerušalem; Kindeskinder des Sanḥerib lehrten öffentlich das Gesetz. – Wer sind sie? – Šema͑ja und Ptolljon.
Sanhedrin 96b:9	Kindeskinder des Haman lehrten das Gesetz in Bene Beraq. Auch Kindeskinder jenes Frevlers wollte der Heilige, gepriesen sei er, unter die Fittiche der Göttlichkeit nehmen; da sprachen die Dienstengel vor dem Heiligen, gepriesen sei er: Herr der Welt, den, der dein Haus zerstört und deinen Tempel verbrannt hat, willst du nun unter die Fittiche der Göttlichkeit bringen!? Hierauf deutet der Schriftvers:$fn324<i>wir wollten Babel heilen, aber es war nicht zu heilen</i>, und U͑la sagte, dies beziehe sich auf Nebukhadneçar. R. Šemuél b. Naḥmani sagte: Damit sind die babylonischen Flüsse gemeint. Es wurde erklärt, es seien die der verdorrten Dattelpalmen in Babylonien$fn325.
Sanhedrin 96b:10	U͑la sagte: A͑mmon und Moab waren böse Nachbarn Jerušalems; als sie hörten, wie die Propheten die Zerstörung Jerušalems weissagten, sandten sie an Nebukhadneçar: Mache dich auf und komme. Er entgegnete: Ich fürchte, es könnte mir so ergehen, wie den ersten.
Sanhedrin 96b:11	Sie erwiderten ihm:$fn326<i>der Mann ist nicht daheim; (er hat eine Reise in die Ferne angetreten.)</i> Unter Mann ist der Heilige, gepriesen sei er, zu verstehen, denn es heißt:$fn327<i>der Herr ist ein Mann des Krieges</i>. Er entgegnete: Er ist in der Nähe und kommt bald zurück. Sie erwiderten ihm: <i>Er hat eine Reise in die Ferne angetreten</i>. Er entgegnete: Es befinden sich unter ihnen Fromme, die um Erbarmen flehen und ihn holen werden.
Sanhedrin 96b:12	Sie erwiderten ihm:$fn328<i>den Geldbeutel hat er mit sich genommen</i>. Unter Geld sind die Frommen zu verstehen, denn es heißt:$fn329<i>ich erkaufte sie mir um fünfzehn Geldstücke und einen Ḥomer Gerste und einen Letekh Gerste</i>.
Sanhedrin 96b:13	Er entgegnete: Die Frevler könnten Buße tun, um Erbarmen flehen und ihn holen. Sie erwiderten ihm: Er hat ihnen bereits eine Frist$fn330bestimmt. Denn es heißt:$fn328<i>erst am Vollmondtag kehrt er wieder heim</i>, und unter Vollmondtag ist eine festgesetzte Zeit zu verstehen, denn es heißt:$fn331<i>am Vollmond, auf den Tag unseres Festes</i>. Er entgegnete: Der Winter hat bereits begonnen und ich kann wegen des Schnees und des Regens nicht kommen.
Sanhedrin 96b:14	Sie erwiderten ihm: Komm über die Gipfel der Berge. Denn es heißt:$fn332<i>sendet die Lämmer für den Beherrscher des Landes, von den Felsschluchten aus durch die Wüste zum Berge der Bewohner Çijons</i>. Er entgegnete: Wenn ich komme, so habe ich keinen Platz, wo ich mich niederlassen könnte. Sie erwiderten ihm: Ihre Gräber sind besser als deine Paläste. Denn es heißt:$fn333<i>zu jener Zeit, spricht der Herr, wird man die Gebeine der Könige von Jehuda und die Gebeine seiner Oberen, die Gebeine der Priester und die Gebeine der Propheten und die Gebeine der Bewohner Jerušaléms aus ihren Gräbern herausholen und sie hinbreiten der Sonne und dem Monde und dem ganzen Himmelsheere, die sie geliebt und denen sie gedient haben und denen sie nachgelaufen sind</i>.
Sanhedrin 96b:15	R. Naḥman sprach zu R. Jiçḥaq: Hast du vielleicht gehört, wann der Sohn der Verfallenen$fn334kommen wird? Dieser fragte: Wer ist denn der Sohn der Verfallenen? Jener erwiderte: Der Messias. – Den Messias nennst du Sohn der Verfallenen!? Jener erwiderte: Freilich, denn es heißt:$fn335<i>an jenem Tage werde ich die
Sanhedrin 97a:1	verfallene Hütte Davids wieder</i> <i>aufrichten</i>. Da erwiderte er: So sagte R. Joḥanan: Im Zeitalter, in dem der Sohn Davids kommen wird, werden die Schriftgelehrten vermindert werden, und auch die Augen der anderen werden vor Trauer und Klage dahinschwinden; viele Leiden und böse Verhängnisse werden neu aufeinander folgen; bevor noch das eine vorüber sein wird, wird das andere bereits herbeigeeilt sein.
Sanhedrin 97a:2	Die Rabbanan lehrten: Im Septennium, in dem der Sohn Davids kommen wird, [wird sich folgendes ereignen:] im ersten Jahre wird in Erfüllung gehen der Schriftvers:$fn336<i>ich werde regnen lassen auf die eine Stadt und auf die andere Stadt nicht</i>. Im zweiten werden Pfeile des Hungers$fn337abgesandt werden. Im dritten wird der Hunger sehr stark sein; Männer, Frauen und Kinder, Fromme und Männer der Tat werden sterben, und die Tora wird bei denen, die sie studieren, in Vergessenheit geraten. Im vierten wird eine Sättigkeit und doch keine Sättigkeit sein. Im fünften wird eine große Sättigkeit sein; man wird essen und trinken und lustig sein, und die Tora wird zu denen, die sie studieren, zurückkehren. Im sechsten werden Stimmen$fn338erschallen. Im siebenten werden Kriege sein. Am Ausgange des siebenten wird der Sohn Davids kommen.
Sanhedrin 97a:3	R. Joseph sprach: Es sind ja bereits viele Septennien dieser Art eingetroffen, dennoch ist er nicht gekommen!? Abajje erwiderte ihm: Sind etwa auch die Stimmen des sechsten Jahres und die Kriege des siebenten eingetroffen; und sind ferner diese Ereignisse etwa in der richtigen Reihenfolge eingetroffen!?
Sanhedrin 97a:4	$fn339<i>Daß deine Feinde, Herr, gelästert haben, geschmäht haben die Fußspuren deines Gesalbten</i>. Es wird gelehrt: R. Jehuda sagte: Im Zeitalter, in dem der Sohn Davids kommen wird, wird das Versammlungshaus [der Gelehrten] zum Hurenhause werden, Galiläa wird zerstört und Gabla$fn340verwüstet$fn341werden; die Grenzbewohner werden von Stadt zu Stadt wandern, ohne daß man sich ihrer erbarmen wird; die Weisheit der Gelehrten wird entarten, die Sündenscheuen werden verachtet sein, das Gesicht des Zeitalters wird dem Gesichte eines Hundes
Sanhedrin 97a:5	$fn342gleichen und die Wahrheit wird vermißt werden, denn es heißt:$fn343<i>und so kam es, daß die Wahrheit vermißt ward, und wer Böses meidet, ist wahnsinnig</i>. – Was heißt: <i>und so kam es, daß die Wahrheit vermißt ward</i>? In der Schule Rabhs erklärten sie: Sie wird sich in Herden$fn344teilen und auswandern. Was heißt: <i>wer Böses meidet, ist wahnsinnig</i>? In der Schule R. Šilas erklärten sie: Wer Böses meiden wird, wird bei den Menschen als wahnsinnig gelten.
Sanhedrin 97a:6	Raba sagte: Zuerst glaubte ich, es gebe in der Welt keine Wahrheit, bis mir einer von den Jüngern, namens R. Ṭabuth, manche sagen, namens R. Ṭabjomi, einer der sein Wort nicht brechen würde, selbst wenn man ihm das ganze Vermögen der Welt geben würde, folgendes erzählte: Einst kam er nach einer Ortschaft, die ‘Wahrheit’ hieß; da brachen sie nicht ihr Wort, und es gab keinen, der vor der Zeit gestorben wäre. Dort nahm er eine Frau und bekam von ihr zwei Kinder.
Sanhedrin 97a:7	Eines Tages, als seine Frau gerade den Kopf wusch, kam eine Nachbarin und klopfte an die Tür; er glaubte, es sei nicht schicklich$fn345, und sagte ihr, [seine Frau] sei nicht anwesend. Da starben ihm seine beiden Kinder. Hierauf kamen die Einwohner der Ortschaft zu ihm und fragten ihn, was dies zu bedeuten habe, und als er ihnen das Ereignis erzählte, sprachen sie zu ihm: Wir ersuchen dich, unsere Ortschaft zu verlassen, damit du nicht den Tod auf die Einwohner hetzest.
Sanhedrin 97a:8	Es wird gelehrt: R. Nehoraj sagte: Im Zeitalter, in dem der Sohn Davids kommen wird, werden die Jungen das Gesicht der Greise beschämen und Greise werden vor den Jungen aufstehen; eine Tochter wird gegen ihre Mutter auftreten, eine Schwiegertochter gegen ihre Schwiegermutter; das Gesicht des Zeitalters wird dem Gesicht eines Hundes gleichen, und ein Sohn wird sich vor seinem Vater nicht schämen.
Sanhedrin 97a:9	Es wird gelehrt: R. Neḥemja sagte: Im Zeitalter, in dem der Sohn Davids kommen wird, wird die Frechheit überhand nehmen und die Achtung$fn346entarten; der Weinstock wird seine Früchte bringen, der Wein aber wird teuer sein; undl auch die ganze Regierung wird der Ketzerei verfallen, und eine Zurechtweisung wird es nicht geben. Dies ist eine Stütze für R. Jiçḥaq, denn R. Jiçḥaq sagte: Der Sohn Davids wird erst dann kommen, wenn die Regierung ganz der Ketzerei verfallen sein wird. Raba sagte: Welcher Schriftvers deutet hierauf?$fn347<i>Ist er ganz und gar weiß geworden, so ist er</i>$fn348<i>rein</i>.
Sanhedrin 97a:10	Die Rabbanan lehrten:$fn349<i>Denn der Herr wird seinem Volke Recht schaffen &amp;c. wenn er sieht, daß jeder Halt geschwunden ist, und Verschlossenes und Verlassenes fort ist</i>. Der Sohn Davids kommt nicht eher, als bis die Angeber überhand genommen haben werden. Eine andere Deutung: Bis die Schüler sich vermindert haben werden. Eine andere Deutung: Bis jeder Peruta aus dem Geldbeutel geschwunden sein wird. Eine andere Deutung: Bis sie an der Erlösung verzweifelt haben werden, denn es heißt: <i>und Verschlossenes und Verlassenes fort ist</i>; wenn, als ob dies denkbar wäre, Jisraél seine Stütze und seinen Helfer aufgegeben haben wird.
Sanhedrin 97a:11	So pflegte R. Zera, wenn er die Jünger traf, wie sie sich darüber$fn350unterhielten, zu ihnen zu sagen: Ich bitte euch, sie nicht hinauszuschieben, denn es wird gelehrt, drei Dinge treffen ein, wenn man an sie nicht denkt, und zwar: der Messias, ein Fund und ein Skorpion.
Sanhedrin 97a:12	R. Qaṭṭina sagte: Sechstausend Jahre wird die Welt bestehen und ein-[tausend] zerstört sein, denn es heißt:$fn351<i>und der Herr ivird allein an jenem Tage erhaben sein</i>. Abajje sagte, zweitausend werde sie zerstört sein, denn es heißt:$fn352<i>er wird uns nach zwei Tagen beleben, am dritten Tage uns wieder aufrichten, daß wir vor ihm leben</i>.
Sanhedrin 97a:13	Übereinstimmend mit R. Qaṭṭina wird gelehrt: Wie in jedem Siebenjahr-Zyklus ein Jahr Brachjahr ist, ebenso wird die Welt in siebentausend Jahren eintausend Jahre brach liegen, denn es heißt: <i>und der Herr wird allein an jenem Tage erhaben sein</i>; ferner heißt es:$fn353<i>ein Psalmlied für den Šabbathtag</i>, ein Tag der ganz Ruhe [Šabbath] ist, und es heißt:$fn354<i>denn tausend Jahre sind in deinen Augen wie der gestrige Tag, denn sie fahren dahin</i>.
Sanhedrin 97a:14	In der Schule des Elijahu wurde gelehrt: Sechstausend Jahre wird die Welt bestehen; zweitausend Jahre der Nichtigkeit$fn355, zweitausend Jahre der Tora$fn356und zweitausend Jahre der messianischen Zeit$fn357;
Sanhedrin 97b:1	wegen unserer zahlreichen Sünden aber sind schon manche von diesen verstrichen.
Sanhedrin 97b:2	Elijahu sprach zu R. Jehuda, dem Bruder R. Sala des Frommen: Die Welt hat nicht weniger als fünfundachtzig Jobelzyklen$fn358, und im letzten Jobel-Zyklus wird der Sohn Davids kommen. Dieser fragte: Am Anfang oder am Schlusse? Jener erwiderte: Ich weiß es nicht. – Wird er vollständig werden oder nicht? Jener erwiderte: Ich weiß es nicht. R. Aši erzählt, er habe ihm folgendes gesagt: Bis dahin hoffe nicht auf ihn, von dann ab aber kannst du auf ihn hoffen.
Sanhedrin 97b:3	R. Ḥanan b. Taḥlipha teilte R. Joseph mit: Ich traf einen Menschen, der eine in Quadratschrift und in der Heiligensprache geschriebene Rolle in seinem Besitze hatte, und auf meine Frage, woher er sie habe, erwiderte er mir, er hätte sich an das römische Heer vermietet und sie in einer römischen Verwahrungsstelle gefunden. Auf dieser stand geschrieben: Viertausendzweihunderteinundneunzig Jahre nach der Weltschöpfung wird die Welt verwaist sein; es folgen die Kriege der Seeungeheuer, die Kriege von Gog und Magog, und darauf die messianischen Tage; erst nach siebentausend Jahren wird der Heilige, gepriesen sei er, seine Welt von neuem errichten. R. Aḥa, Sohn des Raba, sagte: Es wurde gelehrt: nach fünftausend Jahren.
Sanhedrin 97b:4	Es wird gelehrt: R. Nathan sagte: Folgender Schriftvers durchbohrt und dringt bis in den Abgrund hinab:$fn359<i>Für die Weissagung ist eine Frist bestimmt, sie eilt dem Ende entgegen und trügt nicht. Wenn sie sich verzögert, so harre ihrer, denn sie kommt gewiß und bleibt nicht aus</i>.
Sanhedrin 97b:5	Nicht wie unsere Meister, die gedeutet haben [den Schriftvers]:$fn360<i>Zeit, Zeiten und eine halbe Zeit</i>;
Sanhedrin 97b:6	und nicht wie R. Šimlaj, der gedeutet hat [den Schriftvers]:$fn361<i>du speistest sie mit Tränenbrot und tränktest sie in reichem Maße</i>$fn362<i>mit Tränen</i>;
Sanhedrin 97b:7	und nicht wie R. A͑qiba, der gedeutet hat [den Schriftvers]:$fn363<i>denn nur noch eine kleine Frist währt es, so erschüttere ich Himmel und Erde</i>.
Sanhedrin 97b:8	Denn das erste Reich$fn364währte siebzig Jahre, das zweite Reich währte zweiundfünfzig Jahre und das Reich des Bar-Kochba zwei und ein halbes Jahr$fn365. –
Sanhedrin 97b:9	Was heißt: <i>sie eilt dem Ende entgegen und trügt nicht</i>? R. Šemuél b. Naḥmani erwiderte im Namen R. Jonathans: Es schwinde$fn366der Geist derjenigen, die das Ende$fn367berechnen wollen; diese sagen nämlich, sobald das [von ihnen berechnete] Ende herangereicht, und er$fn368nicht gekommen ist, so komme er nicht mehr; vielmehr harre man seiner, denn es heißt: <i>wenn sie sich verzögert, so harre ihrer</i>. Vielleicht denkst du: wir harren wohl, er$fn369aber nicht, so heißt es:$fn370<i>daher harrt der Herr, euch zu begnadigen, und er wird sich erheben, sich eurer zu erbarmen</i>.
Sanhedrin 97b:10	Wenn nun wir harren und er ebenfalls harrt, wer hält es denn zurück? Die Eigenschaft der Gerechtigkeit hält es zurück. Weshalb harren wir nun, wenn es die Eigenschaft der Gerechtigkeit zurückhält? Um eine Belohnung zu erhalten, denn es heißt:$fn370<i>Heil allen, die auf ihn harren</i>.
Sanhedrin 97b:11	Abajje sagte: Die Welt hat in jedem Zeitalter nicht weniger als sechsunddreißig Fromme, die täglich das Gesicht der Göttlichkeit empfangen, denn es heißt: <i>Heil allen, die auf ihn harren</i>; ‘lo [ihn]’ hat den Zahlenwert sechsunddreißig. – Dem ist ja aber nicht so, Raba sagte ja, die Reihe [der Frommen] vor dem Heiligen, gepriesen sei er, betrage achtzehntausend Parasangen, denn es heißt:$fn371<i>ringsum sind es achtzehntausend</i>!? – Das ist kein Widerspruch: eines gilt von denen, die den leuchtenden Glanz schauen, und eines von denen, die nur den nichtleuchtenden Glanz schauen. –
Sanhedrin 97b:12	Sind sie denn so zahlreich, Ḥizqija sagt ja im Namen R. Jirmejas im Namen des R. Šimo͑n b. Joḥaj: Ich sah die erhabenen Leute, ihrer sind nur wenige vorhanden; sind deren tausend, so gehöre ich und mein Sohn zu ihnen, sind deren hundert, so gehöre ich und mein Sohn zu ihnen, sind deren zwei, so sind es ich und mein Sohn!? –
Sanhedrin 97b:13	Das ist kein Widerspruch; eines gilt von denen, die nur mit Erlaubnis eintreten$fn372, und eines von denen, die ohne Erlaubnis eintreten.
Sanhedrin 97b:14	Rabh sagte: Alle [Angaben über das] Ende sind bereits vorüber; die Sache ist nur von Buße und guten Handlungen abhängig. Šemuél aber sagte: Es genügt, wenn der Leidtragende in seinem Leide verweilt$fn373. Hierüber [streiten auch] folgende Tannaím: R. Elie͑zer sagte: Wenn die Jisraéliten Buße tun, so werden sie erlöst, wenn aber nicht, so werden sie nicht erlöst. R. Jehošua͑ sprach zu ihm: Wenn sie keine Buße tun, werden sie nicht erlöst!? Vielmehr wird der Heilige, gepriesen sei er, gegen sie einen König auftreten lassen, der über sie böse Bestimmungen wie die des Haman verhängen wird, der sie zur Buße bringen und zum Besseren bekehren wird.
Sanhedrin 97b:15	Ein Anderes lehrt: R.Elie͑zer sagte: Wenn die Jisraéliten Buße tun, so werden sie erlöst, denn es heißt:$fn374<i>kehret zurück, ihr abtrünnigen Söhne, ich will euere Abtrünnigkeit heilen</i>. R. Jehošua͑ sprach zu ihm: Es heißt ja bereits:$fn375<i>umsonst wurdet ihr verkauft, und ohne Geld sollt ihr erlöst werden. Umsonst wurdet ihr verkauft</i>, wegen des Götzendienstes$fn376, <i>und ohne Geld sollt ihr erlöst werden</i>, ohne Buße und gute Handlungen.
Sanhedrin 97b:16	R. Elie͑zer erwiderte R. Jeḥošua͑: Es heißt ja bereits:$fn377<i>kehret zu mir zurück, so will ich zu euch zurückkehren</i>. R. Jehošua͑ entgegnete ihm: Es heißt ja bereits:$fn378<i>ich habe euch mir angetraut, ich will euch holen, einen aus einer Stadt und zwei aus einem Geschlechte, und euch nach Çijon bringen</i>.
Sanhedrin 97b:17	R. Elie͑zer erwiderte ihm: Es heißt ja bereits:$fn379<i>in Stille</i>$fn380<i>und Ruhe soll euch geholfen werden</i>. R. Jehošua͑ entgegnete R. Elie͑zer: Es heißt ja bereits:$fn381<i>so spricht der Herr, der Erlöser Jisraéls, sein Heiliger, zu dem, der von jedem verachtet</i>$fn382<i>wird, der von den Völkern verabscheut wird, zu dem Sklaven von Tyrannen:</i>
Sanhedrin 98a:1	<i>Könige sollen es sehen und aufstehen, Fürsten sollen sich bükken</i>.
Sanhedrin 98a:2	R.Elie͑zer erwiderte ihm: Es heißt ja bereits:$fn383<i>wenn du zurückkehrst, Jisraél, Spruch des Herrn, so kehrst du zu mir zurück</i>. R. Jehošua͑ entgegnete ihm: Es heißt ja bereits:$fn384<i>da hörte ich den in leinenen Gewändern gekleideten Mann, der sich oben über dem Wasser des Stromes befand – dabei erhob er seine Rechte und seine Linke gegen den Himmel und schwur bei dem, der ewig lebt – sagen: Nach einer Zeit, Zeiten und einer halben, wenn die Zertrümmerung der Macht des heiligen Volkes vollendet ist, so wird dies alles aufhören</i>$fn385 <i>&amp;c</i>. Alsdann schwieg R. Elie͑zer.
