Niddah 2a:1	<sup>i</sup> <b>Š</b>AMMAJ <small>SAGT, ALLE</small> F<small>RAUEN HABEN</small>$fn1 <small>AN IHRER</small> Z<small>EIT GENUG</small>$fn2; H<small>ILLEL SAGT, SEIT DER</small> [<small>VORLETZTEN</small>] U<small>NTERSUCHUNG BIS ZUR</small> [<small>LETZTEN</small>] U<small>NTERSUCHUNG</small>$fn3, <small>AUCH WENN VIELE</small> T<small>AGE</small> [<small>DAZWISCHEN LIEGEN</small>],
Niddah 56b:12	GEMARA. Er lehrt dies allgemein, auch wenn sie aus Tarmud$fn65kommen. R. Joḥanan sagte: Dies besagt, daß man Proselyten aus Tarmud aufnehme. – 
Niddah 56b:13	Dem ist ja aber nicht so, R. Joḥanan und Sabja sagten ja beide, daß man keine Proselyten aus Tarmud aufnehme!? 
Niddah 56b:14	Wolltest du sagen, ‘dies besagt’, er sei aber nicht dieser Ansicht, so sagte ja R. Joḥanan, die Halakha sei wie die anonvme Mišna!? – 
Niddah 56b:15	Amoräer streiten über die Ansicht R. Joḥanans.
Niddah 56b:16	A<small>US DER</small> M<small>ITTE VON</small> J<small>ISRAÉLITEN &amp;C</small>. Welche sind nach den Rabbanan unrein, wenn solche von Jisraéliten rein sind!? – 
Niddah 56b:17	Die Lehre ist lückenhaft und muß wie folgt lauten: aus der Mitte von Jisraéliten sind sie unrein, von Samaritanern sind sie nach R. Meír unrein, denn die Samaritaner sind wahrhafte Proselyten und nach den Weisen rein, denn die Samaritaner sind Löwenproselyten. – 
Niddah 56b:18	Wieso [begründet er] demnach: weil sie inbetreff ihrer Blutflecke nicht verdächtig sind, er sollte doch begründen: weil sie Löwenproselyten sind!? – 
Niddah 56b:19	Vielmehr, er meint es wie folgt: aus der Mitte von Jisraéliten und von Samaritanern sind sie unrein, weil die Samaritaner wahrhafte Proselyten sind; die in jisraélitischen Städten gefunden$fn66werden, sind rein, weil sie inbetreff ihrer Blutflecke nicht verdächtig sind, denn sie verstecken sie; 
Niddah 56b:20	die in samaritanischen Städten gefunden werden, sind nach R. Meír unrein, weil sie inbetreff ihrer Blutflecke verdächtig sind, und nach den Weisen rein, weil sie inbetreff ihrer Blutflecke nicht verdächtig sind.
Niddah 56b:21	<sup>iv</sup> <b>A</b><small>LLE</small> B<small>LUTFLECKE, DIE IRGENDWO</small>$fn67<small>GEFUNDEN WERDEN, SIND REIN, AUSGENOMMEN DIE IN</small> K<small>AMMERN</small>$fn68<small>ODER IN DER</small> U<small>MGEBUNG VON UNREINEN</small> R<small>ÄUMEN</small>$fn69<small>GEFUNDEN WERDEN</small>. 
Niddah 56b:22	D<small>IE UNREINEN</small> R<small>ÄUME DER</small> S<small>AMARITANER VERUNREINIGEN DURCH</small> B<small>EZELTUNG, WEIL SIE DA IHRE</small> F<small>EHLGEBURTEN BEGRABEN</small>. R. J<small>EHUDA SAGT, SIE BEGRABEN SOLCHE ÜBERHAUPT NICHT, VIELMEHR WERFEN SIE WEG UND LASSEN SIE VON EINEM</small> T<small>IERE FORTSCHLEPPEN</small>. 
Niddah 56b:23	<sup>v</sup> S<small>IE SIND GLAUBWÜRDIG, WENN SIE SAGEN: WIR HABEN DA</small> F<small>EHLGEBURTEN BEGRABEN, ODER: WIR HABEN DA KEINE BEGRABEN</small>. S<small>IE SIND GLAUBWÜRDIG, WENN SIE VON EINEM</small> V<small>IEH SAGEN: ES HAT BEREITS ERSTGEBOREN</small>$fn70, <small>ODER: ES HAT NOCH NICHT ERSTGEBOREN</small>. 
Niddah 56b:24	S<small>IE SIND GLAUBWÜRDIG ÜBER</small> G<small>RÄBERZEICHEN</small>$fn71 [<small>ZU BEKUNDEN</small>], <small>SIE SIND ABER NICHT GLAUBWÜRDIG BEI ÜBERHÄNGENDEN</small> Z<small>WEIGEN UND</small> M<small>AUERVORSPRÜNGEN</small>$fn72, <small>AUCH NICHT BEI EINEM</small> G<small>RÄBERPFLUGE</small>. 
Niddah 56b:25	D<small>IE</small> R<small>EGEL HIERBEI IST: BEI EINER</small> S<small>ACHE, HINSICHTLICH WELCHER SIE VERDÄCHTIG SIND, SIND SIE NICHT GLAUBWÜRDIG</small>.
Niddah 57a:1	GEMARA. Auf welche Auslegung stützen$fn73sie sich? –$fn74<i>Verrücke nicht</i> <i>die Grenze deines Nächsten, die die Vorfahren bei deinem Besitztume gezogen haben</i>; 
Niddah 57a:2	wer Besitztum hat, hat eine Grenze, und wer kein Besitztum hat, hat keine Grenze$fn75.
Niddah 57a:3	S<small>IE SIND GLAUBWÜRDIG, WENN SIE SAGEN: WIR HABEN BEGRABEN</small>. Sie halten ja nichts vom [Verbote]:$fn76<i>du sollst vor einen Blinden kein Hindernis legen</i>$fn77!? R. Abahu erwiderte: Wenn da ein Priester steht$fn78. – 
Niddah 57a:4	Vielleicht ist es ein unreiner Priester!? – Wenn er Hebe in der Hand hält. – Vielleicht ist es unreine Hebe!? – Wenn er davon ißt$fn79. – 
Niddah 57a:5	Wozu braucht dies demnach gelehrt zu werden!? – Man könnte glauben, sie seien in der Embryogenie nicht$fn80kundig, so lehrt er uns.
Niddah 57a:6	S<small>IE SIND GLAUBWÜRDIG, WENN SIE VON EINEM</small> V<small>IEH &amp;C</small>. Sie halten ja nichts vom [Verbote]: <i>du sollst vor einen Blinden kein Hindernis legen</i>!? R. Ḥija b. Abba erwiderte im Namen R. Joḥanans: Wenn er es schert und damit Arbeit verrichtet$fn81. – 
Niddah 57a:7	Wozu braucht dies demnach gelehrt zu werden!? – Man könnte glauben, sie seien über den Blutschmutz$fn82nicht unterrichtet, so lehrt er uns.
Niddah 57a:8	S<small>IE SIND GLAUBWÜRDIG ÜBER</small> G<small>RÄBERZEICHEN &amp;C</small>. Obgleich dies$fn83rabbanitisch ist; da dies in der Schrift vorkommt, achten sie darauf. Denn es heißt:$fn84<i>wenn er ein Menschengebein erblickt, so soll er daneben ein Zeichen errichten</i>.
Niddah 57a:9	S<small>IE SIND ABER NICHT GLAUBWÜRDIG BEI ÜBERHÄNGENDEN</small> Z<small>WEIGEN</small>. Bei überhängenden Zweigen, denn wir haben gelernt: Überhängende Zweige sind solche, die von einem Baume über den Boden$fn85hängen. M<small>AUERVORSPRÜNGE</small>. Denn wir haben gelernt: Wenn vorspringende Steine aus einer Steinwand ragen.
Niddah 57a:10	G<small>RÄBERPFLUG</small>. R. Jehuda sagte im Namen Šemuéls: Man blase auf einem Gräberpfluge [die Erde$fn86] weg und gehe weiter. 
Niddah 57a:11	Ferner sagte R. Jehuda b. Ami im Namen R. Jehudas, ein ausgetretener Gräberpflug sei rein. Ferner wird gelehrt: Wer einen Begräbnisplatz umpflügt, macht einen Gräberpflug. Wie weit macht er ihn? Eine Furchenstrecke, hundert Ellen, eine Fläche von vier Seá [Aussaat]. R. Jose sagt, fünf. – 
Niddah 57a:12	Sind sie denn nicht glaubhaft, es wird ja gelehrt: Wenn auf einem Felde ein Grab sich verloren hat, so ist ein Samaritaner zu bekunden glaubhaft, daß da$fn87kein Grab sich befinde, 
Niddah 57a:13	weil er nur über das Grab selbst$fn88bekundet. Wenn ein Baum über den Boden nachhängt, so ist er zu bekunden glaubhaft, daß da kein Grab sich befinde, weil er über das Grab selbst bekundet!? 
Niddah 57a:14	R. Joḥanan erwiderte: Wenn er selber über den ganzen [Platz] hin und hergeht. – 
Niddah 57a:15	Wozu braucht dies demnach gelehrt zu werden!? – Man könnte glauben, ein Streifen$fn89rage hinaus, so lehrt er uns.
Niddah 57a:16	D<small>IE</small> R<small>EGEL HIERBEI IST &amp;C</small>. Was schließt die Regel ein? – Sie schließt Šabbathgrenzen$fn90und Libationswein$fn91ein.
Niddah 57a:17	
Niddah 57b:1	<sup>i</sup> <b>W</b>ENN [<small>EINE</small> F<small>RAU</small>] <small>EINEN</small> B<small>LUTFLECK AN IHREM</small> L<small>EIBE SIEHT, SO</small> <small>IST SIE, WENN GEGEN DIE</small> S<small>CHAMSTELLE, UNREIN, UND WENN NICHT GEGEN DIE</small> S<small>CHAMSTELLE, REIN</small>. W<small>ENN</small>$fn1 <small>AN DER</small> F<small>ERSE ODER AN DER</small> S<small>PITZE DES GROSSEN</small> Z<small>EHS, SO IST SIE UNREIN; 
Niddah 57b:2	WENN AM</small> S<small>CHENKEL ODER AM</small> F<small>USSE EINWÄRTS, SO IST SIE UNREIN, WENN AUSWÄRTS, SO IST SIR REIN; WENN AN DEN</small> S<small>EITEN</small>$fn2, <small>OB DA ODER DORT</small>$fn3, <small>SO IST SIE REIN</small>. 
Niddah 57b:3	S<small>IEHT SIE EINEN AN IHREM</small> H<small>EMDE, SO IST SIE, WENN UNTERHALB DES</small> G<small>ÜRTELS, UNREIN, UND WENN OBERHALB DES</small> G<small>ÜRTELS, REIN</small>. S<small>IEHT SIE EINEN AM</small> Ä<small>RMEL, SO IST SIE, WENN ER BIS ZUR</small> S<small>CHAMSTELLE REICHT, UNREIN, UND WENN NICHT, REIN</small>. 
Niddah 57b:4	H<small>ATTE SIE ES NACHTS AUSGEZOGEN UND SICH DAMIT ZUGEDECKT, SO IST SIE, WO AUCH DER</small> F<small>LECK SICH BEFINDET, UNREIN, WEIL ES SICH VERSCHIEBT</small>. D<small>ASSELBE GILT AUCH VON EINEM</small> Ü<small>BERWURFE</small>.
Niddah 57b:5	GEMARA. Šemuél sagte: Wenn sie den Erdboden untersucht hatte und sich hingesetzt, und darauf da Blut findet, so ist sie rein, denn es heißt: $fn4<i>an ihrem Leibe</i>, nur wenn sie etwas an ihrem Leibe gespürt hat. – 
Niddah 57b:6	Das [Wort] <i>an ihrem Leibe</i> deutet ja darauf, daß sie innen wie außen$fn5 unrein ist!? – Die Schrift könnte ja <i>am Leibe</i> sagen, wenn es aber <i>an ihrem Leibe</i> heißt, so deutet dies darauf: nur wenn sie etwas an ihrem Leibe verspürt hat. – 
Niddah 57b:7	Aber auch dies wird ja gedeutet: <i>an ihrem Leibe</i>, nicht aber an der Eihaut oder einem Fleischklumpen$fn6!? – Hieraus ist beides zu entnehmen. – 
Niddah 57b:8	Komm und höre: Wenn eine Frau ihre [kleine] Notdurft verrichtet und Blut wahrgenommen hat, so ist sie, wie R. Meír sagt, wenn stehend, unrein, und wenn sitzend, rein$fn7. 
Niddah 57b:9	In welchem Falle: hat sie ehvas gespürt, wieso ist sie sitzend rein; doch wohl, wenn sie nichts gespürt hat, und er lehrt, stehend sei sie unrein!? – 
Niddah 57b:10	Tatsächlich, wenn sie etwas gespürt hat, aber sie kann Urin gespürt haben; stehend$fn8 ging der Urin zur Quelle zurück und es kam Blut, sitzend ist sie rein. – 
Niddah 57b:11	Komm und höre: Wenn der Wischlappen sich unter dem Kissen befunden hat und Blut sich darauf befindet, so ist er, wenn rund, rein, und wenn länglich, unrein$fn9. 
Niddah 57b:12	In welchem Falle: hat sie etwas gespürt, wieso ist er, wenn rund, rein; doch wohl, wenn sie nichts gespürt hat, und er lehrt, wenn länglich, sei sie unrein!? – 
Niddah 57b:13	Nein, tatsächlich, wenn sie etwas gespürt hat, aber sie kann den Wischlappen gespürt haben; wenn länglich, so kommt es entschieden aus ihrem Körper, wenn rund, ist er rein. – 
Niddah 57b:14	Komm und höre: Findet sich [Blut] auf seinem [Wischlappen], so sind sie unrein, und sie sind ein Opfer schuldig; findet es sich auf ihrem sofort, so sind sie unrein, und sie sind ein Opfer schuldig, findet es sich auf ihrem nach einer Zeit, so sind sie des Zweifels wegen unrein, jedoch von einem Opfer frei. 
Niddah 57b:15	In welchem Falle: hat sie etwas gespürt, wieso sind sie, wenn nach einer Zeit, von einem Opfer frei; doch wohl, wenn sie nichts gespürt hat, und er lehrt, wenn es sich auf ihrem findet, seien sie, wenn sofort, unrein und ein Opfer schuldig. – Nein, tatsächlich, wenn sie etwas gespürt hat, nur kann sie das Glied gespürt haben. – 
Niddah 57b:16	Komm und höre: Es ergibt sich also, daß es beim Weibe drei Arten von Zweifel gibt: an ihrem Leibe ist es zweifelhaft, ob unrein oder rein, und es ist unrein; an ihrem Hemde ist es zweifelhaft, ob unrein oder rein, und es ist rein; beim Berühren und beim Schütteln$fn10richte man sich nach der Mehrheit. 
Niddah 57b:17	‘Man richte sich nach der Mehrheit’ heißt wohl, wenn sie während der Mehrheit ihrer Tage unrein war, sei sie unrein, obgleich sie nichts gespürt hat!? – 
Niddah 57b:18	Nein, wenn sie während der Mehrheit ihrer Tage spürend wahrnimmt, ist sie unrein, denn sie kann gespürt und darauf nicht geachtet haben.
Niddah 57b:19	Der Meister sagte: An ihrem Leibe ist es zweifelhaft, ob unrein oder rein, und es ist unrein; an ihrem Hemde ist es zweifelhaft, ob unrein oder rein, und es ist rein. 
Niddah 57b:20	In welchem Falle: wenn unterhalb des Gürtels, wieso ist es, wenn an ihrem Hemde, rein, wir haben ja gelernt, wenn unterhalb des Gürtels, sei sie unrein, und wenn oberhalb des Gürtels, wieso ist es, wenn an ihrem Leibe, unrein, wir haben ja gelernt, wenn sie Blut an ihrem Leibe sieht, sei sie, wenn nicht gegen die Schamstelle, rein!? – 
Niddah 57b:21	Wenn du willst, sage ich: unterhalb des Gürtels, und wenn du willst, sage ich: oberhalb des Gürtels. Wenn du willst, sage ich, unterhalb des Gürtels, wenn sie nämlich durch die Schlächtergasse gegangen ist. Wenn an ihrem Leibe, so ist es aus ihrem Körper gekommen, denn, wenn von anderwärts, so müßte es sich auf ihrem Hemde befinden; befindet es sich aber an ihrem Hemde, so ist es von anderwärts gekommen, denn wenn von ihrem Körper, so müßte es sich an ihrem Leibe befinden. 
Niddah 57b:22	Wenn du aber willst, sage ich: oberhalb des Gürtels, wenn sie sich nämlich nach rückwärts gebeugt hat. Wenn an ihrem Leibe, so ist es entschieden aus ihrem Körper gekommen, denn, wenn von anderwärts, so müßte es sich auf ihrem Hemde befinden; wenn aber an ihrem Hemde, so ist es von anderwärts gekommen, denn, wenn aus ihrem Körper, so müßte es sich an ihrem Leibe befinden. – 
Niddah 57b:23	Immerhin lehrt er, wenn an ihrem Leibe, sei es zweifelhaft, ob unrein oder rein, und es sei unrein. Obgleich sie nichts gespürt hat!? Ferner haben wir gelernt, wenn sie einen Blutfleck an ihrem Leibe gegen die Schamstelle sieht, sei sie unrein. Obgleich sie nichts gespürt hat!? R. Jirmeja aus Diphte erwiderte: Šemuél pflichtet bei, 
Niddah 58a:1	daß sie rabbanitisch unrein sei. 
Niddah 58a:2	R. Aši erwiderte: Šemuél ist der Ansicht R. Neḥemjas, denn wir haben gelernt: R. Neḥemja sagte: Was für die Unreinheit nicht empfänglich$fn11st, ist auch für Blutflecke nicht empfänglich. – 
Niddah 58a:3	Erklärlich ist es nach R. Aši, daß er vom Erdboden spricht, weshalb aber spricht er nach R. Jirmeja vom Erdboden, dies gilt ja auch von einem Gewande$fn12!? – Von diesem ist es selbstverständlich; 
Niddah 58a:4	selbstverständlich ist dies von einem Gewände, das sich nicht genau untersuchen läßt, weil angenommen werden kann, es sei von anderwärts gekommen, aber auch am Erdboden, den man genau untersuchen kann, und angenommen werden kann, es sei aus ihrem Körper gekommen, ist sie rein.
Niddah 58a:5	W<small>ENN AN DER</small> F<small>ERSE ODER AN DER</small> S<small>PITZE DES GROSSEN</small> Z<small>EHS, SO IST SIE UNREIN</small>. Allerdings an der Ferse, weil sie diese Stelle berühren kann$fn13, weshalb aber, wenn an der Spitze des großen Zehs? Wolltest du sagen, weil diese die Ferse berühren kann, so wird ja nicht eine Unreinheit [durch Übertragung] von einer Stelle auf eine andere angenommen. 
Niddah 58a:6	Es wird nämlich gelehrt: Hat sie eine Verletzung am Halse, sodaß sie es$fn14darauf zurückführen$fn15kann, so führe sie es darauf zurück, wenn aber an der Schulter, sodaß sie es nicht darauf zurückführen kann, so führe sie es nicht darauf zurück. 
Niddah 58a:7	Man nehme aber nicht an, sie habe es vielleicht mit der Hand genommen und es da hingetan!? – Vielmehr, anders ist es beim großen Zeh, weil es beim Schreiten direkt erfolgt sein kann. – 
Niddah 58a:8	Wird denn nicht eine Unreinheit [durch Übertragung] von einer Stelle auf eine andere angenommen, es wird ja gelehrt: Findet es sich an ihren Fingergelenken, so ist sie unrein$fn16, weil die Hände geschäftig sind. 
Niddah 58a:9	Doch wohl, weil wir sagen, sie habe sich mit einer Hand untersucht, und mit dieser die andere Hand berührt!? – Nein, anders verhält es sich mit der Hand, die ganz allein$fn17überallhin rührt.
Niddah 58a:10	W<small>ENN AM</small> S<small>CHENKEL ODER AM</small> F<small>USSE ETNWÄRTS &amp;C</small>. Wie weit einwärts? – In der Schule R. Jannajs sagten sie, bis zum Nestelbande$fn18. 
Niddah 58a:11	Sie fragten: Gilt die Stelle des Nestelbandes als einwärts oder auswärts? – Komm und höre: R. Qaṭṭina lehrte: bis zum Nestelbande, und das Nestelband selbst gilt als einwärts. R. Ḥija, Sohn des R. Ivja, lehrte es ausdrücklich: In der Schule R. Jannajs sagten sie, bis zur Stelle des Nestelbandes, und das Nestelband selbst gilt als einwärts.
Niddah 58a:12	R. Jirmeja fragte: Wie ist es, wenn [der Fleck] ringförmig ist, wenn reihenförmig, wenn in einzelnen Tropfen, wenn in der Breite der Hüfte? – 
Niddah 58a:13	Komm und höre: An ihrem Leibe ist es zweifelhaft, ob unrein oder rein, und es ist unrein. ‘An ihrem Leibe’, doch wohl auf diese Weise. – Nein, wenn es streifenartig ist.
Niddah 58a:14	Einst fand eine Frau Blut am Webeaufzuge, und als sie vor R. Jannaj kam, sprach er zu ihr: Geh hin und zurück$fn19. – 
Niddah 58a:15	Es wird ja aber gelehrt, daß man beim Reinheitsgesetze nicht wiederhole$fn20!? – Nur erleichternd sagen wir nicht, daß man wiederhole, erschwerend aber wiederhole man wohl.
Niddah 58a:16	H<small>ATTE SIE ES AUSGEZOGEN &amp;C</small>. Es wird gelehrt: R. Elea͑zar b. R. Jose sagte: So entschied ich es in Rom erschwerend, und als ich zu den Weisen im Süden kam, sprachen sie zu mir: du hast richtig entschieden.
Niddah 58a:17	Die Rabbanan lehrten: Wenn eine große das Hemd einer kleinen oder eine kleine das Hemd einer großen anhatte, so sind, wenn [der Blutfleck] bis zur Schamstelle der größeren reicht, beide unrein, wenn aber nicht, so ist die große rein und die kleine unrein. 
Niddah 58a:18	Ein Anderes lehrt: Hatte sie ihr Hemd untersucht und es einer Gefährtin geliehen, so ist sie rein und ihre Gefährtin führe es auf jene zurück. R. Šešeth sagte: Nur zivilrechtlich ist dies gelehrt worden, hinsichtlich der Unreinheit aber ist sie rein und ihre Gefährtin unrein. – 
Niddah 58b:1	Womit ist es hierbei anders als bei der folgenden Lehre: Wenn zwei Weiber sich mit einem Vogel befaßt haben, der nur einen Sela͑ Blut hatte, und ein Sela͑ Blut an der einen und ein Sela͑ Blut an der anderen gefunden wird, so sind beide$fn21unrein!? – Anders ist es da, wo ein Sela͑ mehr vorhanden ist$fn22.
Niddah 58b:2	Die Rabbanan lehrten: Wenn sie drei untersuchte Hemden anhatte, so kann sie, wenn sie [den Blutfluß] auf etwas zurückführen kann, ihn darauf zurückführen, selbst wenn er sich am untersten befindet, und wenn sie ihn nicht auf etwas zurückführen kann, nicht zurückführen, selbst wenn am obersten. 
Niddah 58b:3	Zum Beispiel: ist sie durch die Schlächtergasse gegangen, so kann sie ihn darauf zurückführen, selbst wenn am untersten, und ist sie nicht durch die Schlächtergasse gegangen, so kann sie ihn nicht darauf zurückführen, selbst wenn am obersten.
Niddah 58b:4	<b>S</b><small>IE KANN</small> [<small>DEN</small> B<small>LUTFLECK</small>] <small>AUF ALLES ZURÜCKFÜHREN, WORAUF NUR ZURÜCKGEFÜHRT WERDEN KANN</small>. <sup>ii</sup> H<small>AT SIE EIN</small> V<small>IEH, EIN</small> W<small>ILD ODER EINEN</small> V<small>OGEL GESCHLACHTET, SICH MIT</small> B<small>LUTFLECKEN BEFASST ODER NEBEN ANDEREN, DIE SICH DAMIT BEFASSTEN, GESESSEN, ODER EINE</small> L<small>AUS GETÖTET, SO FÜHRE SIE IHN DARAUF ZURÜCK</small>. 
Niddah 58b:5	W<small>IE WEIT KANN SIE IHN DARAUF</small>$fn23<small>ZURÜCKFÜHREN</small>? R. Ḥ<small>ANINA B.</small> A<small>NTIGONOS SAGTE</small>: B<small>IS ZUR</small> [G<small>RÖSSE EINER</small>] B<small>OHNENGRAUPE, AUCH WENN SIE KEINE GETÖTET HAT</small>. S<small>IE KANN IHN AUCH AUF IHR</small> K<small>IND ODER IHREN</small> M<small>ANN</small>$fn24<small>ZURÜCKFÜHREN</small>. H<small>AT SIE EINE</small> V<small>ERLETZUNG, DIE AUFBRECHEN UND BLUTEN KANN, SO KANN SIE IHN DARAUF ZURÜCKFÜHREN</small>. 
Niddah 58b:6	E<small>INST KAM EINE</small> F<small>RAU VOR</small> R. A͑<small>QIBA UND SPRACH ZU IHM</small>: I<small>CH HABE EINEN</small> B<small>LUTFLECK GESEHEN</small>. <sup>iii</sup> D<small>A SPRACH ER ZU IHR</small>: H<small>ATTEST DU VIELLEICHT EINE</small> V<small>ERLETZUNG</small>? S<small>IE ERWIDERTE IHM</small>: A<small>LLERDINGS, ABER SIE IST VERHEILT</small>. E<small>R ENTGEGNETE</small>: K<small>ANN SIE VIELLEICHT AUFGEBROCHEN SEIN UND GEBLUTET HABEN</small>? S<small>IE ERWIDERTE</small>: J<small>AWOHL</small>. D<small>A ERKLÄRTE SIE</small> R. A͑<small>QIBA ALS REIN</small>. 
Niddah 58b:7	A<small>LS EU DARAUF SEINE</small> S<small>CHÜLER EINANDER ANSCHAUEN SAH, SPRACH ER ZU IHNEN</small>: W<small>AS IST EUCH DA AUFFALLEND</small>? D<small>IE</small> W<small>EISEN SAGTEN ES NICHT ERSCHWEREND, SONDERN ERLEICHTERND; ES HEISST</small>:$fn25<i>und wenn ein Weib blutflüssig ist, Blut ist ihr Fluß aus ihrem Leibe</i>, B<small>LUT UND NICHT EIN</small> B<small>LUTFLECK</small>. 
Niddah 58b:8	<sup>iv</sup> W<small>ENN DER</small> W<small>ISCHLAPPEN SICH UNTER DEM</small> P<small>OLSTER BEFUNDEN HATTE UND EIN</small> B<small>LUTFLECK SICH DARAUF BEFINDET, SO IST ER, WENN RUND, REIN</small>$fn26, <small>UND WENN LÄNGLICH, UNREIN</small> – <small>SO</small> R. E<small>LEA͑ZAR B.</small> R. Ç<small>ADOQ</small>.
Niddah 58b:9	GEMARA. Wir lernen hier, was die Rabbanan gelehrt haben: Einst führte ihn R. Meír auf eine Augcnsalbe zurück. Rabbi führte ihn auf das Harz einer Sykomore zurück.
Niddah 58b:10	O<small>DER GESESSEN</small>. Nur wenn sie gesessen hat, nicht aber, wenn sie nicht gesessen$fn27hat, 
Niddah 58b:11	somit lernen wir hier, was die Rabbanan gelehrt haben: Wenn sie durch die Schlächtergasse gegangen ist und es zweifelhaft ist, ob sie bespritzt worden ist oder nicht bespritzt worden ist, so führe sie ihn darauf zurück; ist es zweifelhaft, ob sie vorübergegangen ist oder nicht vorübergegangen ist, so ist sie unrein.
Niddah 58b:12	O<small>DER EINE</small> L<small>AUS GETÖTET</small>. Nur wenn getötet, nicht aber, wenn nicht getötet, somit vertritt unsere Mišna die Ansicht des R. Šimo͑n b. Gamliél, denn es wird gelehrt: Hat sie eine [Laus] getötet, so führe sie ihn darauf zurück, hat sie keine getötet, so führe sie ihn nicht darauf zurück – so R. Šimo͑n b. Gamliél. Die Weisen sagen, ob so oder so führe sie ihn darauf zurück. 
Niddah 58b:13	R. Šimo͑n b. Gamliél sprach: Für meine Ansicht gibt es keine Grenze$fn28und für die Ansicht meiner Kollegen gibt es kein Ende$fn29. 
Niddah 58b:14	Für meine Ansicht gibt es keine Grenze, denn demnach gibt es keine Frau, die für ihren Mann rein ist, da es kein Bett gibt, das nicht viele Tropfen Läuseblut hätte. 
Niddah 58b:15	Und für die Ansicht meiner Kollegen gibt es kein Ende, denn demnach gibt es keine Frau, die für ihren Mann nicht rein ist, denn es gibt kein Laken, das nicht viele Tropfen Blut hätte. 
Niddah 58b:16	Einleuchtender sind vielmehr die Worte des R. Ḥanina b. Antigonos als meine Worte und als ihre Worte, denn er sagt: Bis zur [Größe einer] Bohnengraupe führe sie ihn darauf zurück. Und wir pflichten seinen Worten bei. – Bis zu welcher [Größe] nach den Rabbanan, welche sagen, sie führe ihn darauf zurück? R. Naḥman b. Jiçḥaq erwiderte: Sie führe ihn auf eine Wanze zurück, bis zur Lupinengröße.
Niddah 58b:17	Die Rabbanan lehrten: Die Wanze ist gleichmäßig lang und breit, ihr Geschmack gleicht ihrem Geruche, und ihr ist die Zusicherung gegeben, daß, wer sie zerdrückt, sie auch riechen$fn30muß. Lang wie breit, hinsichtlich der Blutflecke. 
Niddah 58b:18	Ihr Geschmack gleicht ihrem Geruche hinsichtlich der Hebe. Wir haben nämlich gelernt: Oder er$fn31den Geschmack einer Wanze im Munde verspürt, so spucke er$fn32aus. Woher weiß man es? Der Geschmack gleicht ihrem Geruche. Aber woher kennt man diesen? Ihr ist die Zusicherung gegeben, daß, wer sie zerdrückt, sie riechen muß.
Niddah 58b:19	R. Aši sagte: In einer Stadt, in der Schweine$fn33sind, sind Blutflecke nicht zu berücksichtigen. R. Naḥman b. Jiçḥaq sagte: Droqereth gleicht einer Stadt, in der Schweine sind.
Niddah 58b:20	W<small>IE WEIT KANN SIE IHN DARAUF ZURÜCKFÜHREN &amp;C</small>. R. Hona sagte: In Graupengröße kann sie ihn nicht darauf zurückführen, unter Graupengröße kann sie ihn darauf zurückführen. R. Ḥisda aber sagte: In Graupengröße kann sie ihn darauf zurückführen, über Graupengröße kann sie ihn nicht darauf zurückführen. – 
Niddah 58b:21	Es wäre anzunehmen, daß sie darüber streiten, ob das ‘bis’$fn34einbegriffen ist. R. Hona ist der Ansicht: bis, und das ‘bis’ ist nicht einbegriffen, und R. Ḥisda ist der Ansicht: bis, und das ‘bis’ ist einbegriffen. – 
Niddah 58b:22	R. Hona kann dir erwidern: Es gibt Fälle, wo das ‘bis’ einbegriffen ist, und es gibt Fälle, wo das ‘bis’ nicht einbegriffen ist; bei diesen erschwerend und bei jenen erschwerend. 
Niddah 58b:23	Und R. Ḥisda kann dir erwidern: Sonst, kann ich dir erwidern, tatsächlich erschwerend und nicht erleichternd, hierbei aber ist nach R. Abahu zu entscheiden, denn R. Abahu sagte: Bei allen Maßangaben der Weisen ist zu erschweren, außer bei der Graupengröße der Blutflecke, wobei zu erleichtern ist. 
Niddah 58b:24	Manche lehren dies als solbständige$fn35Lehre: R. Hona sagt, [genau] Graupengröße gelte als über Graupengröße, und R. Ḥisda sagt, [genau] Graupengröße gelte als unter Graupengröße. Sie streiten, ob hierbei das ‘bis’ einbegriffen ist, wie wir eben gesagt haben. Man wandte ein: 
Niddah 59a:1	Waren an ihr Tropfen Blut unten$fn36und Tropfen Blut oben, so führe sie sie bis zur Graupengröße auf die oberen zurück. Doch wohl bis zur Graupengröße nach unten!? – Nein, bis zur Graupengröße nach oben.
Niddah 59a:2	Es wurde gelehrt: Wenn sich an ihr [ein Blutfleck] in Graupengröße und etwas darüber befindet, und an diesem etwas eine Laus haftet, so ist sie, wie R. Ḥanina sagt, unrein, und wie R. Jannaj sagt, rein. R. Ḥanina sagt, sie sei unrein, denn nur in Graupengröße ist es darauf zurückzuführen, nicht aber ist es in Graupengröße und darüber darauf zurückzuführen. 
Niddah 59a:3	R. Jannaj sagt, sie sei rein, denn dies gilt nur dann, wenn keine Laus daran haftet, wenn aber eine Laus daran haftet, so ist es klar, daß das etwas Läuseblut ist, somit bleibt nur Graupengröße zurück, und wie er sonst darauf zurückzuführen ist, so ist er auch in diesem Falle darauf zurückzuführen.
