Menachot 2a:1	<sup>i</sup> <b>J</b>EDES S<small>PEISOPFER, VON DEM DER</small> H<small>AUFE AUF EINEN ANDEREN</small> N<small>AMEN</small>$fn1<small>ABGEHOBEN WORDEN IST, IST TAUGLICH</small>$fn2, <small>NUR WIRD ES DEM</small> E<small>IGENTÜMER NICHT ALS</small> P<small>FLICHTOPFER ANGERECHNET, AUSGENOMMEN SIND DAS</small> S<small>ÜND</small>-S<small>PEISOPFER</small>$fn3 <small>UND DAS</small> E<small>IFERSUCHTS</small>-S<small>PEISOPFER</small>$fn4. 
Menachot 80b:3	Ferner sagte Raba: Wenn jemand sein Dankopfer abgesondert hat und es abhanden gekommen ist, statt dessen ein anderes abgesondert hat und es ebenfalls abhanden gekommen ist, und nachdem er ein drittes abgesondert hat, sich die ersten wieder einfinden, und nunmehr alle drei dastehen, so benötigt, wenn er Sühne durch das erste erlangt hat, das zweite$fn142 nicht des Brotes und das dritte$fn143wohl; 
Menachot 80b:4	hat er durch das dritte Sühne erlangt, so benötigt das zweite nicht des Brotes und das erste wohl; und hat er Sühne durch das mittelste erlangt, so benötigen die anderen nicht$fn144des Brotes. Abajje aber sagte: Hat er durch eines von ihnen Sühne erlangt, so benötigen die beiden anderen nicht des Brotes, denn jedes von ihnen ist ein Ersatz des anderen.
Menachot 80b:5	R. Zera sagte: Dasselbe gilt auch vom Sündopfer; wenn jemand sein Sündopfer abgesondert hat und es abhanden gekommen ist, statt dessen ein anderes abgesondert hat und es ebenfalls abhanden gekommen ist, und nachdem er ein drittes abgesondert hat, sich die ersten wieder einfinden, und nunmehr alle drei dastehen, so ist, wenn er Sühne durch das erste erlangt hat, das zweite verenden zu lassen und das dritte weiden zu lassen; 
Menachot 80b:6	hat er Sühne durch das dritte erlangt, so ist das zweite verenden zu lassen und das erste weiden zu lassen, und hat er Sühne durch das mittelste erlangt, so sind die beiden anderen verenden zu lassen. Abajje aber sagte: Hat er durch eines von ihnen Sühne erlangt, so sind die beiden anderen verenden zu lassen, denn jedes von ihnen ist ein Ersatz des anderen. – Was heißt ‘dasselbe’$fn145? – 
Menachot 80b:7	Man könnte glauben, dies gelte nur von jenem Falle, da man sagen$fn146kann, es sei ein weiteres Dankopfer, nicht aber hierbei, da man nicht sagen kann, es sei ein weiteres Sündopfer$fn147, so lehrt er uns.
Menachot 80b:8	R. Ḥija lehrte: Ist ein Dankopfer mit dem Eingetauschten desselben verwechselt worden und eines von ihnen verendet, so gibt es für das andere kein Mittel$fn148mehr; was ist da zu machen: bringt man damit das Brot dar, so kann es ja das Eingetauschte$fn149sein, und bringt man damit das Brot nicht dar, so kann es ja das [originäre] Dankopfer sein. – 
Menachot 80b:9	Wenn er gesagt hat, er nehme [die Darbringung]$fn150auf sich, bringe er doch ein anderes Vieh und das Brot und spreche: ist das lebende das Eingetauschte, so sei dieses das Dankopfer und das Brot dazu, und ist das lebende das [originäre] Dankopfer, so gehöre das Brot dazu und das andere sei zur Sicherheit$fn151!? – 
Menachot 80b:10	In dem Falle, wenn man gesagt hat: dieses$fn152sei. 
Menachot 80b:11	
Menachot 80b:12	Die Lernenden$fn153sprachen vor Rabbi: Mag er doch das Brot bringen und sprechen: ist das lebende das [originäre] Dankopfer, so sei dieses das Brot dazu, wenn aber nicht, so sei es profan$fn154!? Dieser erwiderte: Darf man denn Profanes in den Tempelhof bringen!? – 
Menachot 80b:13	Mag er doch ein Vieh und das Brot bringen und sprechen: ist das lebende das Eingetauschte, so sei dieses das Dankopfer und das Brot dazu, und ist das lebende das [originäre] Dankopfer, so gehöre das Brot dazu und das andere sei ein Heilsopfer$fn155!? Dieser erwiderte: Man vermindert dann die Essens[frist]$fn156des Heilsopfers. 
Menachot 80b:14	Levi sprach zu Rabbi: Mag er doch ein Vieh und das Brot bringen und sprechen: ist das lebende das Eingetauschte, so sei dieses das Dankopfer und das Brot dazu, und ist das lebende das [originäre] Dankopfer, so gehöre das Brot dazu und das andere sei Überschuß des Dankopfers$fn157!? Dieser erwiderte: Es scheint, daß dieser kein Hirn im Schädel hat; 
Menachot 81a:1	darf man denn von vornherein [ein Opfer] als Überschuß absondern!?
Menachot 81a:2	R. Jiçḥaq b. Šemuél b. Martha saß vor R. Naḥman und sprach: Mag er doch ein Vieh und das Brot bringen und sprechen: ist das lebende das Eingetauschte, so sei dieses das Dankopfer und das Brot dazu, und ist das lebende das [originäre] Dankopfer, so gehöre das Brot dazu und es sei auf dieses eingetauscht!? 
Menachot 81a:3	Dieser erwiderte: Sage, Meister, die vierzig auf seine Schulter, und dies sollte zulässig sein$fn158!?
Menachot 81a:4	Als einst U͑la erkrankte, besuchten ihn Abajje und die Jünger; da ließen sie sich nieder und sagten: Wenn dem so ist, wie R. Joḥanan sagt, daß es$fn159 heilig ist, wenn es sich$fn160außerhalb der Mauer des Tempelhofes befindet, so mag man doch das Brot außerhalb des Tempelhofes niederlegen und sprechen: ist das lebende das [originäre] Dankopfer, so sei dies das Brot dazu, wenn aber nicht, so sei es profan!? – 
Menachot 81a:5	Vier$fn161sind ja zu schwingen, wie sollte man es machen: schwingt man sie außerhalb, so heißt es ja:$fn162<i>vor dem Herrn</i>, und wenn innerhalb, so bringt man ja Profanes in den Tempelhof; dies ist somit nicht möglich. 
Menachot 81a:6	R. Šiša, Sohn des R. Idi, wandte ein: Wenn dem so ist, wie Ḥizqija sagt, daß nämlich vierzig von den achtzig heilig$fn163sind, so mag er doch ein Vieh und achtzig [Kuchen] bringen und sprechen: ist das lebende das [originäre] Dankopfer, so sei auch dieses ein Dankopfer und diese achtzig [Kuchen] für beide, und ist das lebende das Eingetauschte, so sei das andere das Dankopfer und dieses das Brot dazu, und vierzig von den achtzig mögen heilig sein. – 
Menachot 81a:7	Man beschränkt dann den Genuß der [anderen] vierzig$fn164.
Menachot 81a:8	R. Aši sprach zu R. Kahana: Wenn dem so ist, wie R. Joḥanan sagt, daß, wenn man ein trächtiges [Vieh] als Sündopfer abgesondert und es geworfen hat, man beliebig durch dieses oder das Junge Sühne erlangen könne, mag er doch ein trächtiges Vieh bringen, warten bis es geworfen hat, und dazu achtzig [Kuchen] bringen und sprechen: ist das lebende das Eingetauschte, so seien dieses und das Junge das Dankopfer und die achtzig für beide, und ist das lebende das [originäre] Dankopfer, so sei auch das andere ein Dankopfer und die achtzig für beide, und das [Junge] gelte als Überschuß des Dankopfers!? 
Menachot 81a:9	Dieser erwiderte: Wer sagt uns, daß R. Joḥanan der Ansicht ist, man könne [das Junge] zurücklassen$fn165, vielleicht kann man es nicht$fn166zurücklassen, und der Grund$fn167R. Joḥanans ist, weil man durch den Zuwachs des Geheiligten Sühne erlangen könne$fn168.
Menachot 81a:10	Einst kam Rabina nach Damharja; da sprach R. Dimi, Sohn des R. Hona, aus Damharja zu Rabina: Mag er doch ein Vieh bringen und sprechen: ich nehme$fn169auf mich, sodann ein anderes Vieh$fn170und achtzig [Kuchen] bringen und sprechen: ist das lebende das Eingetauschte, so seien diese beiden Dankopfer und die achtzig [Kuchen] für diese, und ist das lebende das [originäre] Dankopfer, so sei jenes, von dem ich gesagt habe: ich nehme auf mich, ebenfalls ein Dankopfer und die achtzig [Kuchen] für beide, und das andere sei zur Sicherheit. 
Menachot 81a:11	Dieser erwiderte: Die Tora sagt:$fn171<i>besser du gelobst nicht, als daß du gelobst und nicht hältst</i>, und du sagst, daß er von vornherein geloben$fn172soll.
Menachot 81a:12	<sup>v</sup><b>S</b><small>AGTE JEMAND</small>, <small>ER NEHME AUF SICH</small> [<small>DIE</small> D<small>ARBRINGUNG</small>] <small>EINES</small> D<small>ANKOPFERS</small>, <small>SO BRINGE ER DIESES UND DAS</small> B<small>ROT DAZU VON</small> P<small>ROFANEM</small>; 
Menachot 81b:1	[<small>SAGTE ER</small>:] <small>DAS</small> D<small>ANKOPFER VON</small> P<small>ROFANEM UND DAS</small> B<small>ROT VOM</small> [<small>ZWEITEN</small>] Z<small>EHNTEN</small>, <small>SO</small> <small>BRINGE ER JENES UND DAS</small> B<small>ROT</small>$fn173<small>VON</small> P<small>ROFANEM</small>; [<small>SAGTE ER</small>:] <small>DAS</small> D<small>ANKOPFER VOM</small> Z<small>EHNTEN UND DAS</small> B<small>ROT VON</small> P<small>ROFANEM</small>, <small>SO BRINGE ER ES SO</small>; [<small>SAGTE ER</small>:] <small>DIESES UND DAS</small> B<small>ROT VOM</small> Z<small>EHNTEN</small>, <small>SO BRINGE ER ES SO</small>. E<small>R BRINGE ES ABER NICHT VOM</small> W<small>EIZEN DES ZWEITEN</small> Z<small>EHNTEN</small>, <small>SONDERN VOM</small> E<small>RLÖSE DES ZWEITEN</small> Z<small>EHNTEN</small>.
Menachot 81b:2	GEMARA. R. Hona sagte: Sagte jemand, er nehme auf sich [die Darbringung] der Dankopferbrote, so bringe er das Dankopfer und die Brote. Dieser wußte nämlich, daß das Brot nicht ohne Dankopfer dargebracht werde, und wollte ein Dankopfer mit dem Brote spenden, und wenn er Dankopferbrote sagte, so nannte er nur das letztere. – 
Menachot 81b:3	Wir haben gelernt: [Sagte er:] das Dankopfer vom Zehnten und das Brot von Profanem, so bringe er es, wie er gelobt hat. Weshalb denn, da er das Brot von Profanem gelobt hat, so sollte er doch [das Opfer] und das Brot von Profanem bringen$fn174!? – 
Menachot 81b:4	Anders ist es in diesem Falle; er sagte: das Dankopfer vom Zehnten, somit ist es ebenso, als würde er gesagt haben, er wolle das Brot für das Dankopfer eines anderen$fn175bringen. – 
Menachot 81b:5	Wieso lehrt er demnach im Anfangsatze, wenn [er gesagt hat:] das Dankopfer von Profanem und das Brot vom Zehnten, bringe er dieses und das Brot von Profanem, man sollte auch hierbei sagen, es sei ebenso als würde er gesagt haben, er wolle das Dankopfer für das Brot eines anderen bringen!? – 
Menachot 81b:6	Es ist nicht gleich; allerdings wird das Brot zum Dankopfer gebracht, wird aber das Dankopfer zum Brote gebracht!? – 
Menachot 81b:7	Komm und höre: Sagte jemand, er nehme auf sich [die Darbringung] eines Dankopfers ohne Brot oder eines Schlachtopfers ohne Gußopfer, so nötige man ihn, das Dankopfer mit dem Brote oder das Schlachtopfer mit dem Gußopfer zu bringen. 
Menachot 81b:8	Nur wenn er [das Dankopfer] genannt hat, nicht aber, wenn er das Dankopfer nicht genannt$fn176hat!? – 
Menachot 81b:9	Nein, dasselbe gilt auch, wenn er das Dankopfer nicht genannt hat, da er aber vom Schlachtopfer ohne Gußopfer lehren will, und dies$fn177vom Gußopfer ohne Schlachtopfer nicht lehren$fn178kann, so lehrt er es auch vom Dankopfer. – 
Menachot 81b:10	Weshalb$fn179denn, dies ist ja ein Gelübde mit einer Tür$fn180!? 
Menachot 81b:11	Ḥizqija erwiderte: Hier ist die Ansicht der Schule Šammajs vertreten, die sagt, man richte sich nach der ersten Fassung$fn181. Wir haben nämlich gelernt: [Sagte jemand], er wolle Nazir sein inbezug auf Trocken-$fn182und Dörrfeigen, so ist er, wie die Schule Šammajs sagt, Nazir$fn183, und wie die Schule Hillels sagt, nicht Nazir. 
Menachot 81b:12	R. Joḥanan erwiderte: Du kannst auch sagen, die der Schule Hillels, wenn er nämlich sagt, wenn er gewußt hätte, daß man nicht so$fn184geloben könne, würde er nicht so, sondern anders$fn185gelobt haben. – Wieso nötige$fn186man ihn!? – Wenn er zurücktreten will. – 
Menachot 81b:13	Komm und höre: Wenn jemand gesagt hat, er nehme auf sich [die Darbringung] eines Dankopfers ohne Brot oder eines Schlachtopfers ohne Gußopfer, und als man ihm sagte, er habe das Dankopfer mit dem Brote oder das Schlachtopfer mit dem Gußopfer zu bringen, er erwiderte, wenn er dies gewußt hätte, würde er nicht gelobt haben, so nötige man ihn und halte ihm vor:$fn187<i>achte und höre</i>. 
Menachot 81b:14	Erklärlich ist dies$fn188nach Ḥizqija, gegen R. Joḥanan aber ist dies ja ein Einwand!? – R. Joḥanan kann dir erwidern; hier ist entschieden die Ansicht der Schule Šammajs vertreten. – 
Menachot 81b:15	Was heißt: <i>achte und höre</i>? Abajje erwiderte: <i>Achte</i>, bringe das Dankopfer; <i>höre</i>, bringe das Brot. Raba erklärte: <i>Achte</i>, bringe das Dankopfer und das Brot; <i>höre</i>, pflege nicht so zu verfahren.
Menachot 81b:16	D<small>IESES UND DAS</small> B<small>ROT VOM</small> Z<small>EHNTEN</small>, <small>SO BRINGE ER ES SO</small>. Muß er es denn bringen$fn189!? R. Naḥman und R. Ḥisda erklärten: Wenn er will, bringe er, und wenn er nicht will, bringe er nicht$fn190.
Menachot 81b:17	E<small>R BRINGE ES NICHT VOM</small> W<small>EIZEN DES ZWEITEN</small> Z<small>EHNTEN</small>, <small>SONDERN VOM</small> E<small>RLÖSE DES ZWEITEN</small> Z<small>EHNTEN</small>. R. Naḥman und R. Ḥisda sagten beide: Dies gilt nur vom Weizen des zweiten Zehnten, vom Weizen aber, der für den Erlös des zweiten Zehnten gekauft worden ist, bringe man es wohl.
Menachot 81b:18	R. Jirmeja saß vor R. Zera und trug vor: Dies gilt nur vom Weizen des zweiten Zehnten, vom Weizen aber, der für den Erlös vom zweiten Zehnten gekauft worden ist, bringe man es wohl. Da sprach er zu ihm: Meister, so sagst du, ich aber sage, auch nicht vom Weizen, der für den Erlös vom zweiten Zehnten gekauft worden ist. Ich will meinen Grund sagen, und ich will deinen Grund sagen. Ich will deinen Grund sagen: hinsichtlich des Dankopfers folgerst du dies$fn191vom Heilsopfer
Menachot 82a:1	$fn192und hinsichtlich des Heilsopfers durch [das Wort] <i>dort</i>$fn193vom Zehnten, wie nun das Heilsopfer nicht originärer Zehnt$fn194ist, ebenso darf auch das Dankopfer nicht originärer Zehnt sein, und auch der für den Erlös vom zweiten Zehnten gekaufte Weizen ist kein originärer Zehnt. 
Menachot 82a:2	Ich will meinen Grund sagen: hinsichtlich des Dankopfers folgere ich dies vom Heilsopfer und hinsichtlich des Heilsopfers durch [das Wort] <i>dort</i> vom Zehnten, wie nun das Heilsopfer nicht von der Art des Zehnten ist, ebenso darf auch das Dankopfer[brot] nicht von der Art des Zehnten sein, während der für den Erlös vom zweiten Zehnten gekaufte Weizen von der Art des Zehnten ist.
Menachot 82a:3	R. Ami sagte: Wenn man Geld vom zweiten Zehnten für ein Heilsopfer erfassen$fn195läßt, so hat das Heilsopfer es nicht$fn196geeignet. – Aus welchem Grunde? – Die Heiligkeit des Heilsopfers ist nicht so bedeutend, die Heiligkeit des zweiten Zehnten zu erfassen$fn197. 
Menachot 82a:4	Man wandte ein: Wenn jemand$fn198ein Wild zu einem Heilsopfer$fn199oder ein Vieh zum freien Genusse des Fleisches$fn200kauft, so wird die Haut nicht profan. Dies besagt ja wahrscheinlich, daß das Heilsopfer sie eigne$fn201!? – 
Menachot 82a:5	Hierzu wird ja gelehrt: Rabh sagte, das Heilsopfer eigne sie nicht, und wenn es heißt, die Haut werde nicht profan, so ist dies zu verstehen, bei dieser komme die Bestimmung des Profanwerdens nicht zur Anwendung$fn202. – Aus welchem Grunde? Rabba erwiderte: Es ist ebenso als würde er ein Rind zum Pflügen gekauft haben$fn203.
Menachot 82a:6	Es wurde gelehrt: Wenn man Geld vom zweiten Zehnten für ein Heilsopfer erfassen läßt, so hat dieses es, wie R. Joḥanan sagt, geeignet, und wie R. Elea͑zar sagt, nicht geeignet. 
Menachot 82a:7	Nach R. Jehuda, welcher sagt, der [zweite] Zehnt sei Eigentum des Gemeinen, stimmen alle überein, daß dieses es geeignet$fn204habe, sie streiten nur nach R. Meír, welcher sagt, der [zweite] Zehnt sei Eigentum des Höchsten. Derjenige, nach dem dieses es nicht eignet, ist der Ansicht R. Meírs$fn205, und derjenige, nach dem dieses es eignet, ist der Ansicht, da der Zehnt$fn206als Heilsopfer darzubringen$fn207ist, so ist, wenn man ihn erfassen läßt, die Erfassung gültig. 
Menachot 82a:8	Man wandte ein: Wenn man Geld vom zweiten Zehnten für ein Heilsopfer erfassen läßt, so muß man, wenn man es auslöst, zwei Fünftel$fn208hinzufügen, eines wegen des Geheiligten$fn209und eines wegen des Zehnten$fn210!? – 
Menachot 82a:9	Du glaubst wohl, dies gelte nach aller Ansicht, hier ist die Ansicht R. Jehudas$fn211vertreten.
Menachot 82a:10	<sup>vi</sup><b>W</b><small>OHER</small>, <small>DASS WENN JEMAND SAGT</small>, <small>ER NEHME AUF SICH</small> [<small>DIE</small> D<small>ARBRINGUNG</small>] <small>EINES</small> D<small>ANKOPFERS</small>, <small>ER ES NUR VON</small> P<small>ROFANEM BRINGEN MUSS</small>? E<small>S HEISST</small>:$fn212<i>du sollst dem Herrn, deinem Gott, das Pesaḥopfer schlachten, Schafe und Rinder</i>, <small>UND DA DAS</small> P<small>ESAḤOPFER NUR VON</small> L<small>ÄMMERN UND</small> Z<small>IEGEN ZU BRINGEN IST</small>, <small>SO DEUTEN DIE</small> W<small>ORTE</small> <i>Schafe und Rinder</i> <small>DARAUF</small>, <small>DASS ALLES</small>, <small>WAS VON</small> S<small>CHAFEN UND</small> R<small>INDERN DARGEBRACHT WIRD</small>, <small>DEM</small> P<small>ESAḤOPFER GLEICHE</small>; <small>WIE DAS</small> P<small>ESAḤOPFER</small> P<small>FLICHT IST UND NUR VON</small> P<small>ROFANEM DARGEBRACHT WERDEN MUSS</small>, 
Menachot 82a:11	<small>EBENSO MUSS AUCH JEDES ANDERE PFLICHTIGE</small> [O<small>PFER</small>]$fn213<small>NUR VON</small> P<small>ROFANEM DARGEBRACHT WERDEN</small>. D<small>AHER SIND</small>, <small>WENN JEMAND SAGT</small>, <small>ER NEHME AUF SICH</small> [<small>DIE</small> D<small>ARBRINGUNG</small>] <small>EINES</small> D<small>ANKOPFERS</small>, <small>ODER EINES</small> H<small>EILSOPFERS</small>, <small>DA SIE ALS</small> P<small>FLICHT DARZUBRINGEN SIND</small>, <small>DIESE NUR VON</small> P<small>ROFANEM DARZUBRINGEN</small>, D<small>IE</small> G<small>USSOPFER</small>$fn214<small>SIND IN JEDEM</small> F<small>ALLE</small>$fn215<small>NUR VON</small> P<small>ROFANEM DARZUBRINGEN</small>$fn216.
Menachot 82a:12	GEMARA. Woher dies$fn217vom Pesaḥopfer selbst? – Es wird gelehrt: R. Elie͑zer sagte: Das Pesaḥopfer ist in Miçrajim geboten worden und das Pesaḥopfer ist für die späteren Generationen geboten worden, wie das in Miçrajim gebotene Pesaḥopfer nur von Profanem gebracht$fn218wurde, ebenso ist auch das für die späteren Generationen gebotene Pesaḥopfer nur von Profanem zu bringen. 
Menachot 82a:13	R. A͑qiba sprach zu ihm: Ist denn hinsichtlich des Möglichen vom Unmöglichen$fn219zu folgern!? Jener erwiderte: Obgleich es nicht möglich war, dennoch ist dies ein bedeutender Beweis und man lerne hiervon. 
Menachot 82a:14	Hierauf entgegnete R. A͑qiba wie folgt: Wohl galt dies vom Pesaḥopfer in Miçrajim, weil bei diesem das Blutsprengen und [die Darbringung] der Opferteile auf dem Altar nicht erforderlich war, 
Menachot 82b:1	während beim Pesaḥopfer für die späteren Generationen das Blutsprengen und [die Darbringung] der Opferteile auf dem Altar erforderlich$fn220ist!? 
Menachot 82b:2	Jener erwiderte: Es heißt:$fn221<i>du sollst diesen Dienst in diesem Monat üben</i>, alle Dienstübungen dieses Monats müssen diesem gleichen$fn222. – 
Menachot 82b:3	Ist R. A͑qiba der Ansicht, man könne nicht hinsichtlich des Möglichen vom Unmöglichen folgern, so sollte er doch dabei$fn223bleiben, und ist er davon zurückgetreten, 
Menachot 82b:4	und folgert es nicht vom Pesaḥopfer in Miçrajim, nur wegen des [anderen] Einwandes, so ist ja vom Pesaḥopfer in der Wüste$fn224 [das Entgegengesetzte] zu beweisen!? – 
Menachot 82b:5	Er entgegnete nach der Ansicht R. Elie͑zers: nach meiner Ansicht ist hinsichtlich des Möglichen vom Unmöglichen überhaupt nicht zu folgern, aber auch nach deiner Ansicht, man könne hinsichtlich des Möglichen vom Unmöglichen folgern, [ist zu entgegnen:] wohl galt dies vom Pesaḥopfer in Miçrajim, weil bei diesem das Blutsprengen und [die Darbringung] der Opferteile auf dem Altar nicht erforderlich war, während beim Pesaḥopfer für die späteren Generationen das Blutsprengen und [die Darbringung] der Opferteile auf dem Altar erforderlich ist. 
Menachot 82b:6	Hierauf erwiderte ihm R. Elie͑zer, [es heißt:] <i>du sollst üben</i>. – 
Menachot 82b:7	Sollte R. Elie͑zer ihm erwidert haben, vom Pesaḥopfer in der Wüste sei [das Entgegengesetzte]$fn224zu beweisen!? – 
Menachot 82b:8	Er erwiderte nach der Ansicht R. A͑qibas: nach meiner Ansicht ist hinsichtlich des Möglichen vom Unmöglichen zu folgern, und gegen deinen Einwand ist vom Pesaḥopfer in der Wüste [das Entgegengesetzte] zu beweisen, aber auch nach deiner Ansicht, man könne nicht hinsichtlich des Möglichen vom Unmöglichen folgern, [ist zu erwidern, es heißt:] <i>du sollst üben</i>. – 
Menachot 82b:9	Sollte jener auch jetzt$fn225entgegnet$fn226haben!? R. Šešeth erwiderte: Dies besagt, daß [ein Schluß durch] Vergleichung nicht zu widerlegen$fn227sei. 
Menachot 82b:10	Im Lehrhause wandten sie ein: Kann denn von dem, was durch Vergleichung gefolgert wird, durch Vergleichung gefolgert$fn228werden!? – Die Folgerung ist eine gemeinsame, denn alle Pesaḥopfer gehören zusammen$fn229. – 
Menachot 82b:11	Woher entnimmt R. A͑qiba, daß das Pesaḥopfer nur von Profanem darzubringen sei!? – Er entnimmt es aus folgender Lehre Šemuéls im Namen R. Elie͑zers:$fn230<i>Dies ist das Gesetz für das Brandopfer, das Speisopfer, das Sündopfer, das Schuldopfer, das Einweihungsopfer und die Schlachtung des Heilsopfers</i>. 
Menachot 82b:12	Brandopfer, wie beim Brandopfer ein Gerät erforderlich ist, ebenso ist auch bei allen übrigen ein Gerät erforderlich. – Welches Gerät, wollte man sagen, ein Becken$fn231, so heißt es ja auch vom Heilsopfer der Gemeinde:$fn232<i>und tat es in Becken</i>!? – 
Menachot 82b:13	Vielmehr, ein Messer. – Woher dies vom Brandopfer selbst? – Es heißt:$fn233<i>da streckte Abraham die Hand aus und nahm das Messer, seinen Sohn zu schlachten</i>, und da war es ein Brandopfer, wie es heißt:$fn234<i>er brachte ihn als Brandopfer statt seines Sohnes dar</i>. 
Menachot 82b:14	Speisopfer, wie das Speisopfer nur von Männern aus der Priesterschaft gegessen werden darf, ebenso dürfen auch alle übrigen nur von Männern aus der Priesterschaft gegessen werden. – Welche sind es, wenn Sündopfer und Schuldopfer, 
Menachot 83a:1	so steht dies ja bei diesen ausdrücklich$fn235geschrieben, 
Menachot 83a:2	und wenn Heilsopfer der Gemeinde, so ist es ja aus einer Einschließung der Schrift zu entnehmen:$fn236<i>an hochheiliger Stelle sollst du es essen, jeder Mann darf es essen</i>, dies lehrt, daß Heilsopfer der Gemeinde nur von Männern aus der Priesterschaft gegessen werden dürfen!? – 
Menachot 83a:3	[Hierüber streiten] Tannaím; manche entnehmen es aus diesem und manche entnehmen es aus jenem. – 
Menachot 83a:4	Sündopfer, wie das Sündopfer durch Absorption$fn237Heiligkeit überträgt, ebenso übertragen auch alle übrigen Heiligkeit durch Absorption. 
Menachot 83a:5	Schuldopfer, wie beim Schuldopfer nicht Eihaut und Nachgeburt$fn238heilig$fn239sind, ebenso sind auch bei allen übrigen Eihaut und Nachgeburt nicht heilig. Er ist der Ansicht, die Jungen der Opfer seien erst bei ihrem Vorhandensein$fn240 heilig; ferner auch, daß man hinsichtlich des Möglichen vom Unmöglichen$fn241folgere. 
Menachot 83a:6	Einweihungsopfer, wie beim Einweihungsopfer das Zurückbleibende verbrannt wurde$fn242und Lebendes nicht als Zurückbleibendes vorhanden$fn243war, ebenso ist auch bei allen übrigen das Zurückbleibende zu verbrennen und Lebendes$fn244gilt nicht als Zurückbleibendes. 
Menachot 83a:7	Heilsopfer, wie Heilsopfer verwerflich machen$fn245und verwerflich werden, ebenso können auch alle übrigen verwerflich machen und verwerflich werden. 
Menachot 83a:8	In einer Barajtha wird im Namen R. A͑qibas gelehrt: <i>Dies ist das Gesetz &amp;c</i>. Speisopfer, wie das Speisopfer durch Absorption Heiligkeit überträgt, ebenso übertragen auch alle übrigen Heiligkeit durch Absorption. 
Menachot 83a:9	Und dies muß sowohl vom Sündopfer als auch vom Speisopfer gelehrt werden. Würde der Allbarmherzige es nur vom Speisopfer geschrieben haben, [so könnte man glauben,] nur dieses absorbiere, weil es locker ist, nicht aber das Sündopfer. Und würde der Allbarmherzige es nur vom Sündopfer geschrieben haben, [so könnte man glauben,] weil es wegen der Fettigkeit in das Fleisch eindringt, nicht aber gelte dies vom Speisopfer. Daher ist beides nötig. 
Menachot 83a:10	Sündopfer, wie das Sündopfer nur von Profanem, am Tage und mit der rechten Hand dargebracht wird, ebenso werden auch alle übrigen nur von Profanem, am Tage und mit der rechten Hand dargebracht. – 
Menachot 83a:11	Woher dies vom Sündopfer selbst? R. Ḥisda erwiderte: Die Schrift sagt:$fn246<i>Aron bringe seinen Sündopferfarren heran</i>, seinen, nicht aber von Gemeindemitteln und nicht vom Zehnten. – 
Menachot 83a:12	Daß es am Tage erfolgen muß, geht ja hervor aus [den Worten:]$fn247<i>am Tage, da er gebot</i>!? – Er lehrt es unnötig. – 
Menachot 83a:13	Daß es mit der rechten Hand erfolgen muß, geht ja hervor aus einer Lehre des Rabba b. Bar Ḥana, denn Rabba b. Bar Ḥana sagte im Namen des Reš Laqiš, überall, wo ‘Finger’ und ‘Priester’ genannt$fn248werden, sei der der Rechten zu verstehen!? – Er lehrt es unnötig. – 
Menachot 83a:14	Schuldopfer, wie die Knochen des Schuldopfers erlaubt$fn249sind, ebenso sind auch bei allen übrigen die Knochen erlaubt. – 
Menachot 83a:15	Wofür verwendet R. A͑qiba$fn250[den Schriftvers:] <i>du sollst das Pesaḥopfer schlachten</i>!? – 
Menachot 83b:1	Diesen verwendet er für eine Lehre R. Naḥmans, denn R. Naḥman sagte im Namen des Rabba b. Abuha: Woher, daß der Überschuß des Pesaḥopfers als Heilsopfer darzubringen ist? Es heißt:$fn251<i>du sollst das Pesaḥopfer schlachten dem Herrn, deinem Gott, Schafe und Rinder</i>, und da das Pesaḥopfer nur von Lämmern und Ziegen darzubringen ist, [so lehrt dies,] daß der Überschuß des Pesaḥopfers als das darzubringen ist, wofür Schafe und Rinder verwandt$fn252werden. – 
Menachot 83b:2	Ist dies denn hieraus zu entnehmen, dies geht ja aus einer Lehre des Vaters Šemuéls hervor. Es heißt:$fn253<i>Ist sein Opfer vom Kleinvieh, zur Schlachtung eines Heilsopfers</i>, und hierzu sagte der Vater Šemuéls, was vom Kleinvieh kommt, diene zur Schlachtung eines Heilsopfers!? – 
Menachot 83b:3	Ist dies denn hieraus zu entnehmen, dies geht ja aus folgender Lehre hervor:$fn254<i>Lamm</i>, dies schließt das Pesaḥopfer hinsichtlich des Fettschwanzes$fn255ein; 
Menachot 83b:4	und da es noch heißt: <i>wenn ein Lamm</i>, so schließt dies auch das über ein Jahr alte Pesaḥ[lamm]$fn256und das neben dem Pesaḥopfer dargebrachte Heilsopfer ein hinsichtlich aller für das Heilsopfer geltenden Vorschriften, daß nämlich diese des Stützens, des Gußopfers und des Schwingens von Brust und Schenkel benötigen. 
Menachot 83b:5	Wenn es aber weiter noch heißt:$fn257<i>wenn ein Zicklein</i>, so ist das Thema unterbrochen; dies lehrt, daß der Fettschwanz des Zickleins nicht dargebracht werde. 
Menachot 83b:6	Diesbezüglich sind somit drei Schriftverse vorhanden; einer wegen des Falles, wenn die Zeit$fn258und das Lebensjahr$fn259verstrichen sind, einer wegen des Falles, wenn die Zeit und nicht das Lebensjahr verstrichen ist, und einer wegen des Falles, wenn weder die Zeit noch das Lebensjahr$fn260verstrichen ist. 
