		comma separated			Halachic/Midrashic/Mahshava/Linguistic									For placed sources	For unplaceable Sources	For unplaceable Sources			
רד"ק תהלים פרק מח פסוק ד	Radak Psalms 48:4	Jerusalem						22	Psalms	10	no	no	partially	Radak on Psalms 48:4	(ד) אלהים בארמנותיה. ארמנות ערים אחרות חזקות בבנין וגבוהות להשגב שם, אבל ארמנות ירושלים החוזק שלהם טוב מזה כי אלהים נודע בהם שהוא למשגב לכל המבקשים להשגב בו, כמו שכתוב (משלי יח, י): מגדל עוז שם ה' בו ירוץ צדיק ונשגב:				
שמות רבה (וילנא) פרשת תצוה פרשה לו סימן א	Shemot Raba parshat Tetzaveh 36:1	Makom, The Fairest of Branches, Joy of All the Earth, Jerusalem, Mount Zion, North Side, City of a Great King	Holy Temple, north side of the altar			Jeremiah	sacrifice, atonement, light	22	Psalms	11	yes	no	yes	Shemot Rabbah 36:1					
מדרש תנחומא (בובר) פרשת פקודי סימן ח	Midrash Tanchuma (Buber) parshat Pekudei 8	Zion, Jerusalem, Fairest of Branches, Joy of All the Earth, Mount Zion, North Side, City of a Great King		building of the Tabernacle, building of the First Temple, coming world 		Shlomo, Moshe, The Holy One, Batsheva, Israel, Aaron	Tabernacle, king, Red Sea, Sinai, tree, Shabbat, Eden	22	Psalms	12	no	no	no	x	[ח] כמה חכמים היו שם ולא היו יכולים להקים את המשכן, אמר שלמה רבות בנות עשו חיל, למה שעשו את המשכן ולא היו יודעים ליישב אותו, נטלו כל אחד ואחד מלאכתו והלכו להם אצל משה, כל אחד ואחד היה אומר הרי קרסי הרי קרשי הרי בריחי, ושרתה רוח הקודש על משה, והקים את המשכן, ולא תאמר משה, אלא המשכן מעצמו עמד, שנאמר הוקם המשכן, ולא תאמר המשכן אלא אפילו בית עולמים, אילולי שעזר הקדוש ברוך הוא, לא שלמה, ולא כל ישראל, היו בונין אותו, מנין שכך אמר דוד, אם ה' לא יבנה בית [שוא עמלו בוניו בו] (תהלים קכז א), לפיכך במעשה נסים הוקם המשכן, כיון שהוקם את המשכן התחילו כל ישראל שמחין, שנאמר צאינה וראינה בנות ציון במלך שלמה (שה"ש =שיר השירים= ג יא), במלך שהשלום שלו, זה מלך מלכי המלכים הקדוש ברוך הוא, [בעטרה] שעטרה לו אמו (שם /שיר השירים ג'/), והוא קורא למשכן עטרה, מה העטרה הזו מצויירת, כך היה המשכן מצוייר תכלת וארגמן. בעטרה שעטרה לו אמו, אמר ר' יצחק חזרתי על כל המקרא כולה ולא מצאתי שעשתה בת שבע עטרה לשלמה בנה, והוא אומר בעטרה שעטרה לו אמו, ר' שמעון בן יוחי שאל לר' אלעזר בר יוסי א"ל אפשר ששמעת מאביך מהו בעטרה שעטרה לו אמו, א"ל כך אמר אבא, משל למלך שהיתה לו בת יחידה, והיה אהבה יותר מדאי, לא זו מחבבה עד שקרא אותה [אחותי, לא זו מחבבה עד שקרא אותה] אמי, כך חיבב הקדוש ברוך הוא את ישראל וקרא אותם בתי, שנאמר שמעי בת וראי (תהלים מה יא), ולא זז עד שקרא אותם אחותי, שנאמר אחותי רעיתי (שה"ש =שיר השירים= ה ב), לא זז עד שקרא אותם אמי, שמעו אלי עמי ולאומי וגו' (ישעיה נא ד), ולאמי כתיב, עמד ר' שמעון בן יוחי ונשקו על ראשו ואמר אילולי לא באתי לעולם אלא לשמוע דבר זה דיי. ביום חתונתו (שה"ש שם /שיר השירים ג' י"א/), על הים. וביום שמחת לבו (שם /שיר השירים ג' י"א/), בירושלים. ד"א ביום חתונתו. בסיני, וביום שמחת לבו, בירושלים. אמר דוד יפה נוף משוש כל הארץ וגו' (תהלים מח ג), כתאנה הזו שהיא צרה מלמטה ורחבה מלמעלה, שנאמר ורחבה ונסבה למעלה למעלה וגו' (יחזקאל מא ז). יפה נוף וגו'. ר' לוי אמר נאה היא לעצמה, שהיא מניפה לאומות העולם, שנאמר להנפה גוים בנפת שוא ורסן מתעה על לחיי עמים (ישעיה ל כח). ד"א יפה נוף. בהניפתה, שנאמר והניף אהרן וגו' (במדבר ח יא), והניף את העומר (ויקרא כג יא). משוש כל הארץ (תהלים מח ג). אמר ר' יונתן בן אלעזר מעשה היה בפרגמטיוטס (רועה) אחד שהלך לארץ ישראל למכור פלפלין, הלך וישב לו ולא מכר, אמר זו היא שאמרו משוש כל הארץ, לשעה אחת מכר פרקמטיא שלו, אמר ודאי זו היא משוש כל הארץ, הר ציון ירכתי צפון קרית מלך רב, וכל השבח הזה בשל מה, בשביל שהיא קרית מלך רב, כיון שחרבה ירושלים, ערבה כל שמחה, גלה משוש כל הארץ (ישעיה כד יא), מהו ערבה חשכה קבלה, כמו שאומרים ויהי ערב (בראשית א ה), בעולם הזה שבת משוש כל הארץ, כשישוב הקדוש ברוך הוא ויבנה את ירושלים, הוא מחזיר את השמחה, שנאמר כי נחם ה' ציון נחם כל חרבותיה וישם מדברה כעדן וערבתה כגן ה' ששון ושמחה ימצא בה תודה וקול זמרה (ישעיה נא ג). סליק פרשה פקודי. וסליק ספר שמות.	There were many sages there, but they were unable to erect the Tabernacle. Shlomo said “…Many women have acquired wealth…” (Proverbs 31:29) Why? Because they made the Tabernacle, but were unable to put it in place. Each one took what they had made and went to Moshe. Each one said ‘here is my board!’ ‘here is my bar!’ The Holy Spirit came to rest on Moshe and he erected the Tabernacle. Don’t say it was Moshe, rather the Tabernacle stood up on its own, as it says “…that the Tabernacle was set up…” (Exodus 40:17) And don’t say that this was true only of the Tabernacle, but also of the Eternal House. If it were not that the Holy One gave His assistance, neither Shlomo or all of Israel would have built it. From where do we know this? Because David said so “If the Lord will not build a house, its builders have toiled at it in vain …” (Psalms 127:1) Therefore the Tabernacle was erected through miraculous means, and since the Tabernacle was erected all of Israel began to rejoice, as it says “Go out, O daughters of Zion, and gaze upon King Solomon …” (Song of Songs 3:11) At the king to whom peace (shalom) belongs, the king, king of kings, the Holy One, blessed be He. “…the crown with which his mother crowned him…” (Song of Songs 3:11) It calls the Tabernacle ‘crown.’ Just as a crown is decorated, so too the Tabernacle was decorated with blue and purple dyes. ‘At the crown with which his mother crowned him’ R’ Yitzchak said: I went over all the scripture and I did not find that Bat Sheva made a crown for her son Shlomo, and it says ‘at the crown with which his mother crowned him.’ R’ Shimon ben Yochai asked R’ Elazar bar Yosi: is it possible that you heard from your father the meaning of ‘At the crown with which his mother crowned him’? He replied: this is what my father said ‘this can be compared to a king who had an only daughter, whom he loved too much. He continued in his love until he came to call her ‘my sister,’ he continued in his love until he came to call her ‘my mother.’ Thus the Holy One cherished Israel and called them ‘my daughter,’ as it says “Hearken, daughter, and see…” (Psalms 45:11) And he continued until He called them ‘my sister, as it says “…my sister, my beloved…” (Song of Songs 5:2) He continued until He called them ‘my mother,’ “Hearken to Me, My people, and My nation (leumi)…” (Isaiah 51:4) It is written as l’imi (to my mother). R’ Shimon ben Yochai got up, kissed him on his head and said: if I had only come into the world to hear this teaching, that would have been enough. “…on the day (b’yom) of his nuptials…” (Song of Songs 3:11) By the sea (yam). “…and on the day of the joy of his heart.” (Songs of Songs 3:11) In Jerusalem. Another explanation. “…on the day of his nuptials…” At Sinai. “…and on the day of the joy of his heart.” In Jerusalem. David said “The fairest of branches, the joy of the entire earth…” (Psalms 48:3) Like the fig tree which is narrow below and broad above, as it says “And it became wider and it wound higher and higher…” (Ezekiel 41:7) “The fairest of branches (nof)…” R’ Levi said: she is beautiful unto herself, because she waves (manifa) to the nations of the world, as it says “…to wave the nations with a vain waving, and a misleading bit on the jaws of the peoples.” (Isaiah 30:28) Another explanation. “The fairest of branches (nof)…” Through her waving, as it says “Then Aaron shall lift up the Levites as a waving…” (Numbers 8:11) “And he shall wave the omer…” (Leviticus 23:11) “…the joy of the entire earth…” (Psalms 48:3) R’ Yonatan ben Elazar said: it once happened that a certain merchant who went to the land of Israel to sell peppers went and settled himself but could not sell anything. He said: this is the place they call ‘the joy of the entire earth’! In one hour he sold all of his merchandise, and he said: certainly this is the joy of all the earth. “…Mount Zion, by the north side, the city of a great king.” (Psalms 48:3) And why all this praise? Because she is the city of a great king. Once Jerusalem was destroyed “…all joy is darkened; the joy of the land is exiled.” (Isaiah 24:11) What does the word darkened mean? That tradition was darkened and they say “and it was evening” (Genesis 1:5) In this world Shabbat is the joy of the entire earth. When the Holy One comes back and rebuilds Jerusalem He will return the joy, as it says “For the Lord shall console Zion, He shall console all its ruins, and He shall make its desert like a paradise and its wasteland like the garden of the Lord; joy and happiness shall be found therein, thanksgiving and a voice of song.” (Isaiah 51:3)	x		Midrash Tanchuma
פסיקתא רבתי (איש שלום) פיסקא מא - תקעו	Pesikta Rabati 41	Zion, Jerusalem, Fairest of Branches, Joy of All the Earth, Mount Zion, North Side, City of a Great King 	north side of the altar	time to come			tree, altar, dew, blessing, sacrifices, shofar, mountain	22	Psalms	13	yes	no	yes	Pesikta Rabbati 41					
מדרש תנחומא (בובר) פרשת שמיני סימן ט	Midrash Tanchuma (Buber) parshat Shemini 9	Zion, Joy of All the Earth, Fairest of Branches	Holy Temple	coming world		Yehonadav ben Rechav, Jeremiah, The Holy One	mourning	22	Psalms	14	no	no	no	x	[ט] אשרי אדם שאינו להוט אחר היין, שכן אתה מוצא בבני יהונדב בן רכב, שצוה להם אביהם ואמר להם שלא לשתות יין, ומה ראה שלא לשתות יין, אלא שמע ירמיה מתנבא שבית המקדש חרב, אמר להם היו מתאבלים מעכשיו, בית לא תבנו [וזרע לא תזרעו] וכרם לא תטעו ולא יהיה לכם, כי באהלים תשבו כל (ימי חייכם) [ימיכם] (ירמיה לה ז), ושמרו מצות אביהם, כיון שהיה ירמיה מתנבא לישראל לומר להם עשו תשובה, ולא היו עושין, אמר הקדוש ברוך הוא לירמיה אתה אומר להם עשו תשובה ואינן עושין, ובניו של יונדב בן רכב מצוה קלה צוה להם אביהם והן משמרין אותה, ואני אומר לישראל עשו תשובה ואינן שומרים, שנאמר הוקם את (דבר) [דברי] (יונדב) [יהונדב] בן רכב אשר צוה את בניו לבלתי שתות יין, ולא שתו עד היום הזה, כי (שמרו) [שמעו] את מצות אביהם, ואנכי דברתי (לכם) [אליכם] השכם (והערב) [ודבר] ולא שמעתם [אלי] (שם שם /ירמיהו ל"ה/ יד), מה כתיב שם, אמר הקדוש ברוך הוא לירמיה, אמור להם חייכם הואיל ושמרתם את המצוה הזו, שאין משפחותיכם פוסקת מלפני לעולם, שכן כתיב לכן כה אמר ה' [צבאות אלהי ישראל] לא יכרת איש ליונדב בן רכב (עוד) [עומד] לפני כל הימים (שם שם /ירמיהו ל"ה/ יט), לכן הוא מזהירן על היין יין ושכר אל תשת. אמר ישעיה צווחה על היין בחוצות ערבה כל שמחה (ישעיה כד יא), מהו ערבה כל שמחה, חשכה כל שמחה, כד"א ויהי ערב (בראשית א ה), (שבת) [גלה] משוש הארץ (ישעיה שם /כ"ד/), ששבתה ציון, שכתב בה יפה נוף משוש כל הארץ (תהלים מח ג), אמר הקדוש ברוך הוא לישראל בעולם הזה היין סימן קללה, אבל לעולם הבא אני אעשה אותו עסיס, שנאמר והיה ביום ההוא יטפו ההרים עסיס וגו' (יואל ד יח).	Happy is the man who is not inflamed with desire for wine. So you find regarding the descendants of Yehonadav ben Rechev, whose father commanded them and told them not to drink wine. And what did he see that he told them not to drink wine? He heard Jeremiah prophecy that the Holy Temple would be destroyed, and he said to them: start mourning now. “And you shall not build a house, neither shall you sow nor shall you plant a vineyard, nor shall you have [any], but you shall dwell in tents all your days…” (Jeremiah 35:7) And they kept the command of their father. When Jeremiah prophesied to Israel telling them to repent and they did not listen, the Holy One said to Jeremiah: you are telling them to repent and they are not doing so. The children of Yehonadav ben Rechev were commanded a simple thing by their father and they keep it, and I tell Israel to repent but they do not listen, as it says “The words of Jonadab the son of Rechab, which he commanded his sons not to drink wine, are performed, and they have not drunk wine until this day for they hearkened to the commandment of their father, and I have spoken to you, speaking betimes, yet you have not hearkened to Me.” (Jeremiah 35:14) What is written there? The Holy One said to Jeremiah: Say to them ‘by your lives! Since you kept this commandment, your family will never be cut off from before Me.’ This is what is written there “Therefore, so said the Lord of Hosts, the God of Israel; There shall not be cut off from Jonadab the son of Rechab a man standing before Me for all times.” (Jeremiah 35:19) Therefore he warned them against wine, “Do not drink wine that will lead to intoxication…” (Leviticus 10:9) Isaiah said “A cry for wine is in the streets; all joy is darkened…” (Isaiah 24:11) What does arvah all joy mean? All joy is darkened, as it says “…and it was evening (erev)…” (Genesis 1:5) “…the joy of the land is exiled.” (Isaiah 24:11) Because Zion has ceased, of which is was written “The fairest of branches, the joy of the entire earth…” (Psalms 48:3) The Holy One said to Israel: in this world wine is a sign of cursedness, but in the world to come I will make it nectar, as it says “And it shall come to pass on that day that the mountains shall drip with wine…” (Yoel 4:18)	x		Midrash Tanchuma
מדרש תנחומא (בובר) פרשת דברים - הוספה סימן ה	Midrash Tanchuma (Buber) parshat Devarim 5	Mount Zion, North Side	Holy Temple			Esau	mountain, Sinai	22	Psalms	15	no	no	no	x	[ה] ד"א סוב את ההר. מה עושה בבית המקדש, שכתיב הר ציון ירכתי צפון (תהלים מח ג), לא דייכם שאין אתם נוטלין את הרו, אלא הוא נכנס להר שלכם ומחריבו. פנו לכם צפונה (דברים ב ג), התקינו עצמיכם למלכיות, שהם באות עליכם, שנאמר כי הנני קורא לכל ממלכות צפונה נאם ה' (ירמיה א טו). ואת העם צו לאמר (דברים שם /ב'/ ד), ללמד לדורות שהם באים אחריכם שיהו מצוין אלו את אלו שיהו זהירין מן עשו. אתם עוברים (דברים שם /ב'/), סימן יפה להם שהם עוברין, למה כשתבא את הפורעניות אינה באה אלא על היושבים, שנאמר פחד ופחת ופה עליך יושב הארץ (ישעיה כד יז). אתם עוברים בגבול אחיכם בני עשו (דברים שם /ב'/), והנביא קורא עד הגבול שלחוך כל אנשי בריתך (עובדיה א ז). וייראו מכם ונשמרתם מאד (דברים שם /ב'/), אף על פי שהם יראים מכם, ונשמרתם מאד, אמר רבן שמעון בן גמליאל בשעה שהם יראים ממנו אמר לנו ונשמרתם מאד, אנחנו שמובלעים ביניהם על אחת כמה וכמה.	Another explanation. “You have encompassed this mountain long enough…” (Deuteronomy 2:3) What does he do in the Holy Temple, of which it is written “…Mount Zion, by the north side…” (Psalms 48:3)? It is not enough that you may not take his mountain, rather he will enter into your mountain and destroy it! “Turn you northwards.” (Deuteronomy 2:3) Prepare yourselves for the kingdoms which are coming upon you, as it says “For I will call all the families of the kingdoms of the north, says the Lord…” (Jeremiah 1:15) “And command the people, saying…” (Deuteronomy 2:4) To teach the generations who come after you that each should command the next to be careful of Esau. “You are to pass through…” (ibid.) It is a good sign for them that they are passing through. Why? Because when retribution comes, it only comes on those who are settled, as it says “Fright and a pit and a trap [shall come] upon you, inhabitant of the land.” (Isaiah 24:17) “You are to pass through the border of your brothers, the children of Esau…” (Deuteronomy 2:4) And the prophet cries “Until the border all your allies escorted you…” (Ovadiah 1:7) “…and they will be afraid of you. Be very careful.” (Deuteronomy 2:4) Even though they are afraid of you, be very careful. We who are absorbed among them all the more so.	x		Midrash Tanchuma
תהלים פרק נא	Psalms 51:20	Zion, Jerusalem					walls	22	Psalms	16	yes	yes	yes	Psalms 51:20					
רד"ק תהלים פרק נא פסוק כ	Radak Psalms 51:20	Zion	Holy Temple, sanctuary	destruction of the First Temple, destruction of the Second Temple, Messianic era			prayer, sacrifice, messiah	22	Psalms	17	no	no	partially	Radak on Psalms 51:20	(כ) היטיבה ברצונך. בשני הפסוקים האלה האחרונים נראה ששבה אליו רוח הקודש בעודו מתפלל בזה המזמור שאמר (בפסוק יד): השיבה לי ששון ישעך, וכן היה ששבה לו כי אלה הפסוקים הם נבואה עתידה, כי ראה ברוח הקודש שעתיד בית המקדש להחרב, ראשון ושני, על העוונות, ואעפ"י שהיו מקריבים קרבנות תמיד כיון שהיו מעשיהם רעים בזה האל הקרבנות והחריב המקדש, ובימי המשיח יהיו הקרבנות רצויים שיהיו כל ישראל בלב אחד לעבוד את ה', לפיכך אמר: היטיבה ברצונך את ציון:				
	Psalms 68:17	The Mountain that God Desired					mountain 				yes	yes	yes	Psalms 68:17		Why do you lurk, you lofty mountains, for the mountain that God desired for His dwelling? Even the Lord will dwell [there] forever.			
	Radak Psalms 68:17	The Mountain that God Desired, Jerusalem		Holy Temple, land of Israel			Sinai				no	no	yes	Radak on Psalms 68:17		Why do you lurk (tratzdun) – There are those who explain tratzdun as dance, meaning why do you praise yourselves? You are considered nothing compared the mountain which God desired for His dwelling, which is the mountain of the House. Rabbenu Hai explained tratzdun as a language of consideration and expectation, comparing it to the Arabic in this case. The meaning then would be – why are you interested in and in expectation of honor? Honor is due only to the mountain which God desired for His dwelling. This is the mountain of the House where the Holy Temple is located, the cause of the glory of Jerusalem because there the glory is seen continually, as well as His aid and compassion. Behold, over all of the land of Israel the hand of the enemy rules, and of Jerusalem it says “…neither shall he shoot there an arrow, nor shall he advance upon it with a shield, nor shall he pile up a siege mound against it,” (Isaiah 37:33) and it says “And I will protect this city to save it…” (Isaiah 37:35) And the verse continues ‘Even the Lord will dwell there forever’ because on mount Sinai He did not dwell forever:			
	Bamidbar Raba (Vilna) parshat Bamidbar 1:8	Moriah, The Mountain that God Desired				Moshe, The Holy One	Sinai	22	Psalms		yes	no	yes	Bemidbar Rabbah 1:8					
תהלים פרק סח	Psalms 68:30	Jerusalem	palace					22	Psalms	18	yes	yes	yes	Psalms 68:30					
רש"י תהלים פרק סח פסוק ל	Rashi Psalms 68:30	Jerusalem	palace					22	Psalms	19	yes	no	yes	Rashi on Psalms 68:30					
אסתר רבה (וילנא) פרשה א סימן ד	Esther Raba (Vilna) 1:4	Jerusalem	palace	Babylonian exile, Solomon's reign, Messianic era			king, messiah, shechina	22	Psalms	20	yes	yes	yes	Esther Rabbah 1:4					
תהלים פרק עב פסוק טז	Psalms 72:16	Levanon					mountain	22	Psalms	21	yes	yes	yes	Psalms 72:16					
רד"ק תהלים פרק עב פסוק טז	Radak Psalms 72:16						king, blessing	22	Psalms	22	no	no	partially	Radak on Psalms 72:16:1-3	(טז) יהי פסת בר. בימי המלך הזה יהיה ברכה בעולם עד שיזרע אדם מלוא כף תבואה אפילו בראש ההרים ויהיו השבלים טובות ובריאות עד שירעשו ברוח הנושבת בהם כמו עצי הלבנון. ופריו, פירושו פרי כף התבואה. ויציצו מעיר, מחוץ בשדות תהיה ברכה, וכן בעיר בבני אדם תהיה הברכה עד שיציצו מעיר לרוב כעשב הארץ:				
תלמוד בבלי מסכת כתובות דף קיא עמוד ב	Talmud Bavli Ketubot 111b	Jerusalem		time to come				22	Psalms	23	yes	no	yes	Talmud Ketubot 111b:27-28					
תלמוד בבלי מסכת יומא דף כא עמוד ב	Talmud Bavli Yoma 21b	Levanon	Holy Temple, Palace	building of the First Temple		Shlomo		22	Psalms	24	yes	no	yes	Talmud Yoma 21b:6-8					
תהלים פרק עו	Psalms 76:3	Shalem, Zion					sukkah	22	Psalms	25	yes	yes	yes	Psalms 76:3					
אבן עזרא תהלים פרק עו פסוק ג	Ibn Ezra Psalms 76:3	Shalem, Zion, Jerusalem					gate, peace, prayer	22	Psalms	26	yes	no	yes	Ibn Ezra on Psalms 76:3		was in Shalem – This is Jerusalem. Perhaps it is called so because it is whole (shlema) opposite the gate of heaven, or that it is fitting to be in peace (shalom). Or perhaps they called it thus in a prayerful maner, as in “Request the welfare of Jerusalem…” (Psalms 122:6)	Placed earlier, but translation is slightly different		
רד"ק תהלים פרק עו פסוק ג	Radak Psalms 76:3	Shalem, Zion, Jerusalem, Yireh	Holy Temple			Malchitzedek, Shem, Avraham, The Holy One	sukkah, king	22	Psalms	27	no	no	partially	Radak on Psalms 76:3	(ג) ויהי בשלם סכו, ואז תהיה בשלם סֻכּוֹ שיבנה בה בית המקדש. וזכר ציון בפרט, לפי שהוא מקום המלך. ושלם הוא ירושלם, כמו שנאמר (בראשית יד, יח): ומלכי צדק מלך שלם, זהו שֵׁם בן נח שׁקראוֹ שָׁלֵם, ואברהם קרא לבית המקדש יראה, כמו שנאמר (שם כב, יד) ויקרא אברהם שם המקום ההוא ה' יראה. אמר הקדוש ברוך הוא: אם אקרא אותו כמו שׁקראוֹ שֵׁם אבטל דברי אברהם, ואם אקרא אותו יראה כמו שׁקראוֹ אברהם אבטל דברי שֵׁם. קרא אותו ירושלם (שו"ט):				
מלבי"ם תהלים פרק עו פסוק ג	Malbim Psalms 76:3	Shalem, Zion, Jerusalem	Sanctuary				sukkah, king, Sanhedrin, kohen	22	Psalms	28	yes	no	partially	Malbim on Psalms 76:3		His Tabernacle was in Shalem – In Jerusalem where the masses dwell, there was the Tabernacle of the Lord because a tabernacle is a temporary dwelling. and His dwelling place in Zion – In Zion where the king, the Sanhedrin and the priests of the Lord lived, there was His fixed dwelling because there was the Sanctuary of the Lord.	Placed earlier, but translation is different		
תהלים פרק עט	Psalms 79:1	Jerusalem	Holy Temple					22	Psalms	29	yes	yes	yes	Psalms 79:1					
רש"י תהלים פרק עט פסוק א	Rashi Psalms 79:1	Zion					fire	22	Psalms	30	yes	no	yes	Rashi on Psalms 79:1					
תהלים פרק פז	Psalms 87:3	City of God						22	Psalms	31	yes	yes	yes	Psalms 87:3					
רד"ק תהלים פרק פז פסוק ג	Radak Psalms 87:3	Jerusalem, Fairest of Branches, Joy of All the Earth, City of God	center of the world					22	Psalms	32	no	no	partially	Radak on Psalms 87:3:1-2					
מצודת דוד תהלים פרק פז פסוק ג	Metzudat David Psalms 87:3	Zion, City of God					Sanhedrin, Torah	22	Psalms	33	yes	no	yes	Metzudat David on Psalms 87:3					
תהלים פרק קב	Psalms 102:17	Zion						22	Psalms	34	yes	yes	yes	Psalms 102:17					
מדרש תנחומא (ורשא) פרשת וירא סימן טז	Midrash Tanchuma (Warsaw) parshat Vayera 16	Jerusalem, Zion	Yehudah	Avraham in the land		Sarah, Avraham, Avimelech	angel	22	Psalms	35	yes	no	yes	Midrash Tanchuma 1:4:16					
מדרש תהלים (בובר) מזמור צט ד"ה [א] [צט, א	Midrash Tehillim (Buber) mizmor 99:1	Zion					shechina	22	Psalms	36	no	no	no	x	...אמר ר' חנינא ה' בציון גדול כשיחזיר שכינתו לציון אותה שעה הוא גדול בציון, אמר ר' יוחנן וקרא מסייעו לו לר' חנינא כי (נחם) [בנה] ה' ציון (תהלים קב יז) אותה שעה נראה בכבודו (שם שם /תהלים ק"ב/).	…R’ Chanina said: “The Lord is great in Zion…” (Psalms 99:2) When He returns His Presence to Zion, in that hour He is great in Zion. R’ Yochanan said: there is a verse which supports R’ Chanina: “When the Lord has built up Zion…” (Psalms 102:17) In that hour “…He appeared in His glory.” (ibid.)	x		Midrash Tehillim
תהלים פרק קב	Psalms 102:22	Jerusalem, Zion						22	Psalms	37	yes	yes	yes	Psalms 102:22					
מלבי"ם תהלים פרק קב פסוק כב	Malbim Psalms 102:22	Jerusalem, Zion		time to come			kohen	22	Psalms	38	yes	no	yes	Malbim on Psalms 102:22					
תהלים פרק קכ	Psalms 120:1							22	Psalms	39	yes	yes	yes	Psalms 120:1					
רש"י תהלים פרק קכ פסוק א	Rashi Psalms 120:1		court of Israel, court of women			David	levi, water, sacrifice	22	Psalms	40	yes	no	yes	Rashi on Psalms 120:1					
תהלים פרק קכב	Psalm 122:1					David		22	Psalms	41	yes	yes	yes	Psalms 122:1					
אבן עזרא תהלים פרק קכב פסוק א	Ibn Ezra Psalms 122:1	Zion		building of the First Temple, Third Temple		David	festivals	22	Psalms	42	yes	no	yes	Ibn Ezra on Psalms 122:1					
מלבי"ם תהלים פרק קכב פסוק א	Malbim 122:1	Jerusalem					shechina, heart	22	Psalms	43	no	no	partially	Malbim on Psalms 122:1	(א) שיר המעלות לדוד, מדבר בשבח ירושלים, מצייר את האומה בכללה כגוף אחד המורכב מאיברים פרטים שונים וירושלים היא העיר שחוברה לה יחדיו ויתחברו האיברים הפרטים, להיות גוף שלם יכול בו רוח החיים ונפש המשכלת ונפש האלהית, והנה בית ה' הנמצא בה היא הכלי המכין את הגויה הכללית אל חול השכינה ונפש האלהית בה, אמנם העיר עצמה היא כלב ומוח בגויה אשר יכינו אותה אל קבלת נפש החיים ונפש המשכלת, עפ"ז יאמר הנה שמחתי באומרים לי בית ה' נלך, מצד ששם ה' שכן והוא משכן השכינה והאלהות בקדש, אמנם.				
תלמוד בבלי מסכת מכות דף י עמוד א	Talmud Bavli Makkot 10a	Jerusalem		building of the First Temple		David, The Holy One, Shlomo	gate, Torah, festivals, sacrifice, altar	22	Psalms	44	yes	yes	yes	Talmud Makkot 10a:82-91					
תלמוד ירושלמי (וילנא) מסכת ביכורים פרק ג הלכה ב	Talmud Yerushalmi (Vilna) Bikkurim 3:2	Zion, Jerusalem	Temple Mount, courtyard				gate 	22	Psalms	45	yes	no	yes	Jerusalem Talmud Bikkurim 11a:2-3					
תהלים פרק קכב	Psalms 122:3	Jerusalem						22	Psalms	46	yes	yes	yes	Psalms 122:3					
אבן עזרא תהלים פרק קכב פסוק ג	Ibn Ezra Psalms 122:3	Jerusalem					festivals	22	Psalms	47	yes	yes	yes	Ibn Ezra on Psalms 122:3					
תלמוד ירושלמי (וילנא) מסכת חגיגה פרק ג הלכה ו	Talmud Yerushalmi (Vilna) Chagigah 3:6	Jerusalem					festivals, tribes	22	Psalms	48	yes	no	yes	Jerusalem Talmud Chagigah 21a:3-4					
