Index Title,"The Five Books of Moses, by Everett Fox"
"The Five Books of Moses, by Everett Fox, Numbers, Part III; The Preparations for Conquest, A Case of Inheritance; Daughters of Tzelofhad II 4","the blood redeemer may murder the murderer,"
"The Five Books of Moses, by Everett Fox, Numbers, Part III; The Preparations for Conquest, A Case of Inheritance; Daughters of Tzelofhad II 5",he has no bloodguilt.
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 1",Deuteronomy 1-34
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 2","D<small>EUTERONOMY HOLDS A UNIQUE POSITION, AND SPEAKS WITH A UNIQUE VOICE, IN THE</small> literature of the Torah. Up to this point, through the first four books, we have encountered a powerful mixture of literary genres; indeed, the books owe their characteristic stamp to the way in which they incorporate these genres. Genesis is predominantly narrative, punctuated by genealogies; Exodus begins with narrative and later proceeds with covenant-making and law, and then with the precise details of sanctuary building; Leviticus is composed almost entirely of cultic and then ethical and social law; and finally, Numbers alternates narrative and varied laws, under the structure of preparations for wilderness march, first encounters with the Promised Land, and preparations for entry. Except for Leviticus, the books also exhibit, at strategic points, striking examples of biblical poetry."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 3","An ancient name for Deuteronomy, <i>mishne tora</i>—which means “copy of the Torah,” but which was erroneously understood as “second Torah”—would seem to indicate more of the same combining of genres, and a not-too-close reading would support the idea of a rehashing of narrative, covenant-making, law, and poetry. But the reader who takes the time to weigh what stands before him or her will find much more. In its structure, style, content, and intent, Deuteronomy goes beyond what has preceded it. The image of Moshe addressing the assembled people on the Plains of Moab—the central setting of the book—provides the occasion for not merely a retelling, but a recasting of Israel’s mission and destiny. No book of the Torah is truer to the idea of “instruction” (Deuteronomy uses the term numerous times), including an emphasis on teaching and learning, with assembled and yet-to-be-born children as much the audience as “elders.”"
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 4","From the book’s opening phrase, “Now these are the words [or even “speeches”] that Moshe spoke to the Children of Israel / in (the country) across the Jordan,” the basic premise of Deuteronomy is that the aged Moshe, personally and indeed in the first person, speaks for the last time to the assembled Israelites, before their triumphant entry into the land of Canaan. The setting affects the entire content of the book; no longer is the narrator in the background, as in most of the Torah, but instead he is presented as directly addressing a living audience, an audience composed not only of the ancient hearers portrayed in the text but also of contemporary listeners."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 5","The image of a leader delivering a long public address on an auspicious occasion is well known from the ancient world, most familiarly from Greek historians (cf. Van Seters) but also abundantly in the ancient Near East (Weinfeld). The historian seeks to paint a vivid picture of the personality of his speaker and the high drama of the moment, and may go on at great length. While admitting to not having had the benefit of eyewitness sources, such chroniclers are nevertheless sincere in their desire to present what undoubtedly would have been said on such an occasion."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 6","Deuteronomy, whenever it was composed and placed in the Torah, takes this approach a step further. It is a fantastic conceit, really: as Rosenberg (1975) notes, Moshe, the man who was “not a man of words” (Ex. 4:10), all of a sudden finds his voice. And as Polzin (1980) has shown in his forceful analysis, in Deuteronomy Moshe’s voice functions fairly indistinguishably from God’s own—and then closes off the text by stipulating that nothing in the future is to be added or subtracted to it. So we are dealing with a text of directly authoritative character, a series of speeches that in their own self-understanding already bore the status of “Torah.” Hence Deuteronomy introduces into the Bible for the first time the concept of canon—a bounded, accepted body of authoritative literature."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 7","Moshe’s addresses, which include a historical review, repeated appeals to observe God’s laws and dire warnings against their violation, a reworking of previous laws and the addition of new ones, and a poem designed to keep the appeals and warnings in popular memory, have about them a deep rhetorical urgency. As such they are stylistically quite different from most of what is found in the first four books of the Bible. To be sure, there are many moments of high rhetoric in the previous narratives, and the laws—including cultic ones—are also not lacking appeals to the emotions (cf., for instance, the repeated injunctions to not oppress the sojourner, “for you were sojourners in the land of Egypt”). But as an extended piece of argumentation and pleading, Deuteronomy holds pride of place in the Torah, with its specialized vocabulary (described in the notes and commentary below), its alternately pleading and warning tone, and its long, elegant phrases (as Gottwald notes, these phrases are most often cast in the form of subordinate clauses, not the typical syntactical form found in the previous books)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 8","But not only does Deuteronomy provide an emotional capstone to the four books that precede it. It functions to link up with both the landed history of Israel in the narrative books to follow (Joshua through Kings) and the prophets’ emotional speeches to the people and their leaders. In the words of G. Ernest Wright,"
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 9",the central purpose of Deuteronomy is to furnish Israel with a complete order of faith and life which is the prerequisite for a prosperous and secure existence on the God-given land. The historian [of the succeeding books] shows how Israel failed to keep it and what the consequences were.
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 10","It is in fact the monarchic setting that is commonly held to be the historical background to the compilation of Deuteronomy. While Moshe’s last days and the people’s being poised on the steppes opposite Jericho would certainly be a dramatic enough moment for our book’s speeches to occur, its language, style, and many of its concerns point to a later time in the history of Israel as a likely venue for at least a good part of its emotional appeal."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 11","That time, in the opinion of most biblical scholars over the past two centuries, was the middle of the reign of King Josiah (ruled 640–608 <small>B.C.E.</small>) of Judah, the southern kingdom (Israel, the north, had been overrun by Assyria a century previously). The Assyrian Empire, dominant in the region for three hundred years, was on the wane, and Josiah took advantage of this decline of power to expand his kingdom northward. He also—at about the time of the death of Ashurbanipal, the last powerful king of Assyria—began a wide-ranging reform that consisted largely of destroying the local “high places” of pagan worship that had figured so prominently in the reign of his grandfather, the notorious Manasseh (ruled 687–642). II Kings 23 describes the purge in great detail, noting both places and priests that were now rendered inoperative in favor of the centralization of the cult in Jerusalem."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 12",It is within this setting that Chapter  22 reports the dramatic discovery of a scroll “of the Torah.”
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 13","The high priest Hilkiah said to Shaphan the secretary, “I have found the book of the law in the house of the L<small>ORD</small>.” … Shaphan then read it aloud to the king. When the king heard the words of the book of the law, he tore his clothes. Then the king commanded … saying: “Go, inquire of the L<small>ORD</small> for me, for the people, and for all Judah, concerning the words of this book that has been found, for great is the wrath of the L<small>ORD</small> … because our ancestors did not obey the words of this book, to do according to all that is written concerning us.” (22:8, 10–13, New Revised Standard Version)"
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 14","What precisely were the contents of the “book” we do not know; but it is usually taken to have been some form of Deuteronomy. The rhetorical force of the newly discovered text must have been considerable, for its reported result was that the king"
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 15","directed that all the elders of Judah and Jerusalem should be gathered to him. … he read in their hearing all the words of the book of the covenant that had been found in the house of the L<small>ORD</small>. The king stood by the pillar and made a covenant before the L<small>ORD</small>, to follow the L<small>ORD</small>, keeping his commandments, his decrees, and his statutes, with all his heart and all his soul, to perform the words of this covenant that were written in this book. All the people joined in the covenant. (23:1–3)"
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 16","The connections between these passages and the style of Deuteronomy will be obvious to anyone who reads the book, and it seems clear that Josiah’s reforms are closely related to concerns expressed in Deuteronomy."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 17","The Bible’s portrayal of this background does not necessarily mean that Deuteronomy was composed for the occasion, or even that it originated in Judah. Several scholars (notably Ginsberg) have remarked on connections to the northern kingdom of Israel (e.g., affinities to the prophet Hosea), and so it is possible that at least some of our book was a series of traditions brought south by refugees fleeing the Assyrian onslaught. In any event, the text of Deuteronomy addresses its audience with such emotional immediacy that it may safely be presumed that a crisis of major proportions loomed, and the opportunity presented itself for a large-scale revival—or redefinition—of Israel’s self-understanding. Similar crises later in Jewish history may have led to the editing and writing down (but not necessarily the composition) of other central texts, the Mishnah (c. 200) and the Babylonian Talmud (c. 450). Like these documents, and like the first four books of the Torah, Deuteronomy is written in such a way that it is difficult to pin down its precise background, which through additions and circumspection has been substantially obliterated. What is left to us are the many repetitions of “today” or “this day,” which signal the desire to make the “Instruction” contemporary for the audience, whoever and whenever that may be."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 18","The net effect of this process of creation and development was to establish the Torah’s character as a text that shows signs of new life and new thinking within itself. Deuteronomy, by its inclusion as the final book of the five, officially began the practice of “explaining” (1:5) the traditions of Israel, and thus paved the way for the classic form of Jewish religious and intellectual activity: the interpretation of Scripture (cf. Fishbane 1988 for a definitive study on “inner-biblical exegesis,” interpretation that appears within the Bible itself and hence becomes a legitimate part of its traditions). This activity strongly influenced Christianity and Islam as well, and is still a part of religious discourse and development in the Western world."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 19","In its overall structure, Deuteronomy breaks down fairly easily; but it is perhaps best understood in the light of comparative ancient Near Eastern material. Weinfeld’s lifetime of research has demonstrated the strong parallels between our book and certain Assyrian treaty texts (earlier Hittite texts have also been shown to be helpful in this regard; cf. Levenson 1985b for a useful summary). It is striking indeed that the Esarhaddon Treaty texts from the seventh century <small>B.C.E.</small>, which also produced the final form of Deuteronomy, seem to prefigure the basic structure of what Moshe lays out in the book: a historical overview, an exhortation to keep the covenant, the laws—particulars of the covenant, a series of blessings and curses following upon observance or nonobservance of the covenant, and a ceremony ratifying it. A similar pattern, in abbreviated form, may be observed in the Sinai covenant in Ex. 19–24."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 20","Weinfeld points out that such covenants or treaties were two-sided, with the suzerain granting his vassals certain favors in return for “love” (= loyalty), and threatening dire consequences if that loyalty were to become suspect. What is fascinating about the parallels is not so much that they exist, but that here, apparently, a political model from a hated enemy has been assimilated and transformed into a positive religious-national one. Such transformative power seems to be characteristic of biblical culture, which probably reworked known stories and poems, among other genres, into genuine Israelite creations (the Flood narratives of Genesis and Psalm 29 are two fruitful examples of the process)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 21","Deuteronomy, then, focuses mainly on the relationship between God and Israel, a relationship that has been spelled out before (as in Exodus) but that forms in this book the very soul of the text. Every act that Israel performs as a community, and every one done by individuals, is to be seen in that light. As elsewhere in the Bible, breaking one of God’s rules means not merely a violation of a statute but an affront to the suzerain, the sovereign Lord, and thus a grave risk to society’s well-being and even to its very existence. And there is a unity of purpose and concept here: Gottwald summarizes the message of the book as “the indivisible unity of <i>one God</i> for <i>one people</i> in <i>one land</i> observing <i>one cult</i>” (italics his)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 22","Given the treaty pattern that we have just referred to, an outline of the book might proceed along the following lines:"
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 23",I   Historical Overview (Moshe as Narrator; 1–4:43)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 24",A   Narrative of the Wilderness Journey (1–3)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 25",B   Transition: Beginning of the Exhortation (4:1–40) and Addendum on Towns of Asylum (4:41–43)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 26",II  Opening Exhortation (Moshe as Pleader; 4:44–11:36)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 27",Looking Back to the Revelation at Sinai
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 28",III The Terms of the Covenant (Moshe as Lawgiver; 12–28)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 29",A   The Laws (12–26)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 30",B   Covenant Ceremony; Blessings and Curses (27–28)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 31",IV Concluding Exhortation (Moshe as Pleader; 29–30)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 32",Looking Ahead to Exile and Return
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 33",V  Final Matters (31–34)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 34",A   Passing the Mantle (31)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 35",B   Moshe’s Admonitory Poem (32)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 36",C   Moshe’s Blessing to the Tribes (33)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 37",D   The End (34)
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 38","A few simple structural observations, based on a closer look at the text itself, may be made here. Parts I and V stress the role of Yehoshua (Joshua) in the future. Then, too, Parts II and IV use similar rhetorical formulas toward the end of each (“See, I set before you this day …,” 11:26 and 30:15). Such a symmetry would suggest that Part III is the crucial one, and that is of course the case. Everything in Deuteronomy radiates out from the laws: a new humanism, a rethinking of tradition, and above all, a heartfelt appeal to “choose life” (30:19), a good life on the land under the blessing of God."
"The Five Books of Moses, by Everett Fox, Deuteronomy, On the Book of Deuteronomy and Its Structure 39","It is only when that appeal has been fully made, and when all of Deuteronomy’s new material has been added (with no more to come, as the text sees it!), that Moshe can finally die, and the people of Israel can proceed into the Promised Land. The book of Numbers proved to be a false ending, and indeed the report of Moshe’s death was postponed from the end of that book to this, so that the biblical tradition could transform itself into a truly multifaceted and rich one. The Torah, which began in the nameless, unknowable past, ends in the limitless present and future, with a potential life ahead for the Israelite people as bountiful and as beautiful as the “good land” that Moshe is allowed to see from the summit of Pisga."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview 1",Deuteronomy 1:1–4:43
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview 2","I<small>N THIS INTRODUCTORY SECTION, WHICH SOME SCHOLARS HAVE VIEWED AS A LATER</small> addition to the core of the book, Moshe reviews the journey of the Israelites from Mount Sinai (“Horev”) into the Negev, and from there up east of the Dead Sea to a spot opposite Jericho. Two things make this more than a mere itinerary: First, Moshe confines himself to the most important moments—the choosing of leaders, the sending of the spies (with all its disastrous consequences), the encounters with various nations, and the provisions made for the soon-to-occur conquest. Second, the text characterizes itself, not as a narrative per se, but as an “explanation” (1:5) of the “Instruction.” In other words, history is made to function as lesson here. That the account ends with Bet (Baal) Pe’or in 3:29 is surely not accidental; as 4:3 reminds us, this was the site of Israel’s great apostasy, the final negative act by a wayward generation that was not to live to enter the land of Israel. By means of this introduction, the new generation is warned about the failings of the old, and begins to be prepared for “entering and taking-possession of the land” promised to their ancestors (4:1)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview 3","The first four chapters of the book establish its character as a link: by recounting key events in Israel’s wanderings, they summarize the narratives of Exodus and Numbers; by demonstrating that disaster resulted from the people’s rebellions, they set the ideology that will permeate the so-called Deuteronomistic History, namely the books of Joshua, Judges, Samuel, and Kings (Nelson)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview 4","It should be realized that these chapters are not merely previous narratives repeated verbatim. They are in fact reworkings of earlier material, often with changes. Thus, to use Brettler’s example, 1:9–18 retells Ex. 18:13–26, with the change that this time, as Moshe appoints lower-level leadership for the people, he does so without his father-in-law Yitro (who had helped in the Exodus version), and chooses them on the basis of their capabilities (“wisdom”), not their piety. Brettler also points to the frequent use of the phrase “at that time” as an indicator of later additions to the text. For a comprehensive discussion of how these opening chapters differ from earlier accounts, see Tigay."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Setting Out 1",Deuteronomy 1:1-46
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Setting Out 2","After the narrator’s brief introduction, which places the Israelites at the very borders of the Promised Land, Moshe’s words bring the Israelites from Sinai to Kadesh, in the southern part of the land. He begins with his own problem, the burden of leadership; but the bulk of the chapter functions to explain why the Israelites that came out of Egypt were not privileged to enter the land itself. Stylistically interesting is Moshe’s constant use of quotations—he cites God, himself, and the Israelites. The effect is to make the narrative vivid and also authoritative in tone (cf. Polzin 1980)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Encountering the Nations 1",Deuteronomy 2:1-3:22
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Encountering the Nations 2","Moshe’s narrative moves the people toward their present location, east of Jericho, detailing their disappointments and triumphs in meetings with the indigenous peoples of the area. The account begins tentatively, with Israel warned not to antagonize their “cousins,” the Children of Esav, but ends with a foreshadowing of the conquest of Canaan—the successful war-making of the two and a half tribes (cf. Num. 32) that received land east of the Jordan."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Moshe's Personal Plea 1",Deuteronomy 3:23-29
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Moshe's Personal Plea 2","Before Moshe begins his appeal to the people of Israel to keep the covenant, he recalls his fervent prayer to God to be allowed into the land himself, a prayer that is, of course, answered in the negative. This recollection raises the emotional stakes of what is to come; the bulk of the book is now established as Moshe’s last words."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Transition 1",Deuteronomy 4:1-40
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Transition 2","Moshe, having narrated Israel’s wilderness travels up to the spot where they are standing, now launches into the main set of speeches that characterize Deuteronomy’s style, a series of exhortations to the people to follow God’s laws. This section is connected to the previous material by its evocation of past events (the sin at Baal Pe’or and the revelation at Sinai/Horev), but it also points to the future, by means of its vision of exile and return. Not surprisingly, the words “hear/hearken,” “see,” “laws (and regulations),” and “command” are all key expressions; these become increasingly important in the chapters to follow."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Transition 3","Ironic is the repeated warning, which appears here for the first time, not to add anything to the Instruction. Yet Deuteronomy itself does just that. But, as we have noted above, by closing the Torah after the end of the book, Deuteronomy is able to introduce innovations with the force of tradition, and seemingly guard against further overt revision."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Transition 4","Levenson (1975) sees this section, along with material in chapters 28–32, as providing a framework for the book for the Israelite community in exile, suggesting that return to God is still possible through keeping the commandments laid out within the framework."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Towns of Asylum 1",Deuteronomy 4:41-43
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part I; Historical Overview, Towns of Asylum 2","In a brief passage that seems utterly out of place amid the deep rhetoric of this section, Moshe carries out a command he had received in Num. 35:9–34 to make sure that an accidental manslayer has a special place(s) to flee to from an avenging family. Perhaps this has been placed here because it is one of the few “laws and regulations” in the Torah whose observance is mandated on the east bank of the Jordan River—and hence is one of the few that Moshe personally gets to carry out."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation 1",Deuteronomy 4:44–11:32
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation 2","T<small>HIS SECTION OF</small> D<small>EUTERONOMY IS A LONG PERSONAL AND EMOTIONAL PLEA ON BE</small>-half of the leader. Its rhetoric has become famous, as have several passages noted below. It is in this section that Moshe appears in his most classic Deuteronomistic mode, urging the people on to follow God’s rules and warning them against violating the covenant."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation 3","Recurring phrases in the section include “Hearken O Israel,” “And now, O Israel,” “When I bring you into the land …,” and “take-care.” In addition, the word “love,” which as noted above carries the connotation of “loyalty,” is important in these speeches."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation 4","After a brief geographical introduction in vv.44–49, which parallels the opening of the book and which, in the eyes of many, once served as the book’s actual beginning, the section presents a version of the so-called Ten Commandments, and a short recapitulation of the circumstances surrounding their being given on Sinai. In that sense, Chapter 5 is a continuation of the historical overview of the beginning of the book."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation 5","Another famous passage here is in Chapter 6, where Israel is enjoined to “love” God, warned about what will happen if they abandon him, and given a kind of script as answer to their children’s future question, “What (mean) the precepts, the laws and the regulations that Y<small>HWH</small> your God has commanded you?” (v.20)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation 6","Other important themes appear in these speeches. Israel is defined as a people that is not to intermarry with the indigenous peoples of Canaan; as a people chosen, not for its military power or large population, but because God “loved” them, and because he could not abide the Canaanites’ behavior. To prove his point that Israel possesses no inherent superiority, Moshe turns again to history, and retells the story of the Molten Calf (Ex. 32–34)."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation 7","He ends (in Chap. 11) by reiterating the motif of God’s power and hence his ability to reward faithfulness with the gift of the good land. Israel is promised blessing and not curse, provided that they “take-care to observe” the laws which are now to be set before them."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Basic Rules 1",Deuteronomy 4:44-5:30
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Basic Rules 2","After a brief introduction, the text appears to begin the sequence of “laws and regulations” with the Ten Commandments. The latter, however, are quoted from Sinai (albeit in slightly altered form), and we are justified in viewing them, just as their counterpart in Ex. 20, as a kind of preamble to the laws themselves. They may even function as a narrated piece amid the pleas of Moshe. At any event, Chap. 5 uses key words we have previously encountered—“speak,” “command,” “hear”—but puts major emphasis on variations of the root “live.” The message would seem to be that those who heard God speaking at Sinai miraculously survived, and now will survive into the long term if they keep God’s covenant which he presented at the mountain."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Basic Rules 3","The Ten Commandments, of course, form a cornerstone of Western civilization—although a glance at them will reveal that they have not been very well followed over the past two millennia. But their language and their message remain an ideal. They served for a time as part of Jewish liturgy, but were ultimately removed from the Prayer Book out of fear that it would be thought that ten rules were the limit of one’s obligations to God."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Basic Rules 4","As in Chap. 4, where the audience is warned not to add anything to the revealed Instruction, Chap. 5 also reminds them that nothing was added at Sinai."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Centrality of Education 1",Deuteronomy 6:1-25
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Centrality of Education 2","Deuteronomy places particular emphasis on transmitting the meaning and practice of the laws. Crucial here is the concept that constant recital of key ideas and experiences, and making sure to pass them on to new generations, will insure the observance of the commandments and hence Israel’s good life on the promised soil. “Command” is the frequently used key word; the central passage is the so-called <i>Shema</i> (“Hearken [O Israel]”), already used in ancient times as both the core prayer in daily Jewish liturgy and the cry of martyrs (it is used as well as a prayer for retiring at night and as the core of the deathbed confession). Here memory is the key: the experience of slavery in Egypt, Israel’s trying behavior in the wilderness, and, above all, the constant rescuing grace of God. The idea that there should be constant reminders of the covenant became a staple of Jewish ritual practice, from the early education of children in the biblical text, to the <i>tefillin</i> (see below) worn in daily prayer, to the <i>mezuza</i> (a small box containing passages from Deuteronomy) on the doorpost. All three are mentioned in vv.7–9."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Centrality of Education 3","Vv. 5–9 have an oral, liturgical ring to them, with the tenfold repetition of the sound <i>ekha</i> (“your”). A good many sections of Deuteronomy in fact utilize this style, providing the book, despite its emphasis on the phenomenon of writing, with a distinctive sound."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, Israel and the Canaanites 1",Deuteronomy 7:1-26
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, Israel and the Canaanites 2","An important part of Israel’s self-understanding in Deuteronomy, as elsewhere in the Torah, is separation from other peoples—particularly from the inhabitants of the land they are to conquer. This chapter emphasizes the absolute avoidance of the Canaanites which the Israelites are to practice (it begins and ends with “devotion-to-destruction,” a kind of ritual ban or confiscation). The violence on the part of Israel spoken of in the opening verses, and the destruction wrought by God in the closing lines, frame a middle section that speaks of God’s “love” and “loyalty” toward Israel—again, in the mode of an ancient Near Eastern overlord. The emotional tone of the chapter strongly suggests a period of intense nationalism."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Land 1",Deuteronomy 8:1-20
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Land 2","Moshe now recounts the past—God’s care of Israel in the wilderness (the opening chapters stressed other aspects), in order to set up expectations for the future life of the people in the Promised Land. The reference to the past is to insure that Israel not attribute its success and happiness in the land to their own prowess; otherwise they will disappear like the peoples they are replacing."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Land 3","Appearing here, as it does frequently elsewhere in the Bible, is the idea of the “merit of the Fathers”—the concept that God is beneficent and forgiving toward the Israelites chiefly owing to the deeds of their ancestors. It survived as a key idea in classical Judaism."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Calf Incident 1",Deuteronomy 9:1-11:32
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, The Calf Incident 2","Continuing the argument of the last chapter—that Israel should take great care to remember who it was that led them—Moshe makes pointed reference to the great rebellion that took place at the foot of Sinai itself: the incident of the Golden (“Molten”) Calf in Ex. 32–34. In this he is recapitulating the rhetoric of the opening chapters of the book, as well as of the great poem in Chap. 32, which utilize the past to inform the future. The calf incident, in fact, paves the way for the passages that immediately follow."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, Concluding Exhortation 1",Deuteronomy 10:12-11:32
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part II; Opening Exhortation, Concluding Exhortation 2","To conclude his long introduction to the laws, Moshe returns to the theme of Y<small>HWH</small>’s love for Israel, expanding it to include Israel’s duty to love the stranger and also to love God. Once again the past is invoked, especially those parts of it that focus on God’s might. The intimate connection between people and land is stressed through Moshe’s wonderful description of Canaan (vv.11–12), and the polarity of blessing and curse rounds out his plea—just as a long blessing/curse cycle will round out the whole book in Chaps. 29 and 30. In fact, Chap. 11, both in its beginning (“you are to keep his charge, his laws, his regulations and his commandments”) and its ending (“you are to take-care to observe all the laws and the regulations that I place before you today”), form a fitting lead-in to the long sequence of laws that is about to commence."
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 1",Deuteronomy 12–28
"The Five Books of Moses, by Everett Fox, Deuteronomy, Part III; The Terms of the Covenant 2","A<small>fter lengthy exhortation we are brought at last to the heart of Deu-</small> teronomy. Just as its corresponding Exodus section, Chapters 19–24, stands at the center of that book, and Gen. 22, Lev. 19, and Num. 19–20 place dramatic narratives or important laws at their core, the laws that we now encounter focus our attention on the object of Moshe’s main concern in Deut. 1–11 and 27–30: the “covenant” or pact between God and Israel. Israel is to demonstrate its love or loyalty to God by “taking-care to observe” the laws, and binds itself in a ceremony, at least in descriptive form, at the end of the section."
