Ii Kings 1:1,And Moav rebelled against Israel after the death of Ah’av.
Ii Kings 19:18,"and they have put their gods to the fire
—for they are not gods,
but the work of human hands, wood and stone—
so they have demolished them."
Ii Kings 19:19,"But now, O Y<small>HWH</small> our God,
pray deliver us from his hand,
so that all the kingdoms of the earth may know that you, Y<small>HWH</small>, are God, you alone!"
Ii Kings 19:20,"And Yesha’yahu son of Amotz sent [word] to Hizkiyyahu, saying:
Thus says Y<small>HWH</small>, the God of Israel:
That which you prayed to me concerning Sanheriv king of Assyria, I have heard."
Ii Kings 19:21,"This is the word that Y<small>HWH</small> speaks concerning him:
She despises you, she derides you,
the Nubile Daughter of Zion;
after you, she shakes her head after you,
the Daughter of Jerusalem:"
Ii Kings 19:22,"Whom have you mocked and blasphemed?
Against whom have your raised [your] voice?
You have lifted up your eyes on high
against the Holy One of Israel!"
Ii Kings 19:23,"By the hand of your messengers you have mocked Y<small>HWH</small>,
you said: With my vast chariotry
<i>I</i> have gone up the loftiest mountains,
the flanks of the Levanon;
I cut down the highest of its cedars,
the choicest of its junipers.
And I came to its farthest lodge,
its garden-like forest."
Ii Kings 19:24,"It was I who dug and drank
the water of strangers,
and I dried up with the soles of my feet
all the Nile-streams of Egypt."
Ii Kings 19:25,"Have you not heard? From of old I did it,
in former days I fashioned it;
now I bring it to pass,
and it is:
crashing into wrecked heaps
fortified towns,"
Ii Kings 19:26,"while their settled-folk, short-armed,
were dismayed and confounded.
They were [like] the herbage of the field,
the green grass,
the straw of the rooftops, blasted
before the east wind;"
Ii Kings 19:27,"your staying, your going, and your coming I know,
[yes], and your raging against me."
Ii Kings 19:28,"Because you have raged against me,
and your roaring has ascended to my ears,
I will put my hook in your nostrils
and my bridle in your lips,
and I will turn you back on the way
by which you came."
Ii Kings 19:29,"And this shall be the sign for you:
eat this year the wild-growth,
and in the second year, the aftergrowth,
and in the third year, sow and harvest and plant vineyards,
and eat their fruit."
Ii Kings 19:30,"And the survivors of the House of Judah, the remaining ones,
will add rootgrowth below,
and will produce fruit above;"
Ii Kings 19:31,"for from Jerusalem shall go forth a remnant,
and the survivors from Mount Zion
—the zeal of Y<small>HWH</small> of the Forces-On-High will do this!"
Ii Kings 19:32,"Therefore, thus says Y<small>HWH</small> concerning the king of Assyria:
He shall not enter this city,
he shall not shoot an arrow there,
he shall not advance upon it [with a] shield,
he shall not pile up a siege-mound against it!"
Ii Kings 19:33,"By the way that he came, he shall return,
but this city he shall not enter
—the Utterance of Y<small>HWH</small>!"
Ii Kings 19:34,"And I will shield this city to deliver it, for my sake and for the sake of David my servant."
Ii Kings 19:35,"It was on that very night
that the messenger of Y<small>HWH</small> went forth
and struck down in the camp of Assyria a hundred and eighty-five thousand;
they started-early at daybreak,
and here, all of them were corpses, dead men!"
Ii Kings 19:36,"So Sanheriv king of Assyria marched off and went away and returned [home],
and stayed in Nineveh."
Ii Kings 19:37,"Now it was, when he was bowing down in the house of Nisrokh his god,
that Adrammelekh and Sar’etzer his sons struck him down with the sword.
They escaped to the land of Ararat,
and Esar-haddon his son became king in his place."
Ii Kings 20:1,"In those days,
Hizkiyyahu became sick, to [the point of] death.
And Yesha’yahu son of Amotz, the prophet, came to him and said to him:
Thus says Y<small>HWH</small>:
Charge your household,
for you are about to die, and will not live!"
Ii Kings 20:2,"He turned his face to the wall
and prayed to Y<small>HWH</small>, saying:"
Ii Kings 20:3,"Please, O Y<small>HWH</small>,
pray recall how I have walked about before you with truthfulness and with a whole heart,
and what was good in your eyes, I have done!
And Hizkiyyahu wept with a great weeping."
Ii Kings 20:4,"Now Yesha’yahu had not yet gone out of the middle courtyard
when the word of Y<small>HWH</small> [came] to him, saying:"
Ii Kings 20:5,"Return, you are to say to Hizkiyyahu, <i>Nagid</i> of my people:
Thus says Y<small>HWH</small>, the God of David your father:
I have heard your prayer,
I have seen your tears.
Here, I am healing you;
on the third day, you will go up to the House of Y<small>HWH</small>."
Ii Kings 20:6,"I will add fifteen years to your days,
and from the grasp of the king of Assyria I will rescue you, along with this city;
I will shield this city
for my sake and for the sake of David my servant."
Ii Kings 20:7,"Then Yesha’yahu said:
Fetch a cake of figs.
They fetched it and placed it on the boil,
and he lived."
Ii Kings 20:8,"And Hizkiyyahu said to Yesha’yahu:
What is the sign that Y<small>HWH</small> will heal me,
so that I may go up by the third day to the House of Y<small>HWH</small>?"
Ii Kings 20:9,"Yesha’yahu said:
This will be for you the sign from Y<small>HWH</small>
that Y<small>HWH</small> will do the thing that he has promised:
the shadow has gone forward ten steps;
can it return ten steps?"
Ii Kings 20:10,"He said:
It is easy for the shadow to lengthen ten steps;
not so, that the shadow can return backward ten steps."
Ii Kings 20:11,"So Yesha’yahu the prophet called out to Y<small>HWH</small>,
and he made the shadow return by the steps by which it had gone down on the step-dial of Ahaz, backward by ten steps."
Ii Kings 20:12,"At [about] that time,
Merodakh Bal’adan son of Bal’adan king of Babylon sent letters and a gift to Hizkiyyahu,
for he had heard that Hizkiyyahu was sick."
Ii Kings 20:13,"And Hizkiyyahu was pleased with them,
and he had them see his whole storehouse—the silver, the gold, the spices, and the fine oil,
his weapons house,
and all that was to be found in his treasuries.
There was not a thing that Hizkiyyahu did not have them see in his house or in all his kingdom."
Ii Kings 20:14,"Then Yesha’yahu the prophet came to King Hizkiyyahu and said to him:
What did these men say,
and from where do they come to you?
Hizkiyyahu said:
From a land far away they came, from Babylon."
Ii Kings 20:15,"He said:
What did they see in your house?
He said:
Everything that is in my house they saw;
there was not a thing that I did not have them see in my treasuries."
Ii Kings 20:16,"Then Yesha’yahu said to Hizkiyyahu:
Hear the word of Y<small>HWH</small>:"
Ii Kings 20:17,"Here, days are coming
when everything in your house will be carried off,
[all] that your fathers amassed-as-treasure up until this day, to Babylon;
there will not be a thing left, says Y<small>HWH</small>!"
Ii Kings 20:18,"And some of your sons who have issued from you, whom you have begotten, will be taken away,
and they will become officials in the Great-Hall of the king of Babylon."
Ii Kings 20:19,"Hizkiyyahu said to Yesha’yahu:
Good is the word of Y<small>HWH</small> that you have spoken.
For he said [to himself]:
Will there not [at least] be trustworthy peace in my days?"
Ii Kings 20:20,"Now the rest of the events of Hizkiyyahu, and all his mighty-deeds,
—how he made the pool and the channel, and brought the waters into the city—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 20:21,"Hizkiyyahu lay beside his fathers,
and Menashe his son reigned as king in his place."
Ii Kings 21:1,"Twelve years old was Menashe at his becoming king,
and for fifty-five years he reigned as king in Jerusalem;
his mother’s name was Heftzi-va."
Ii Kings 21:2,"He did what was evil in the eyes of Y<small>HWH</small>,
according to the abominations of the nations that Y<small>HWH</small> had dispossessed before the Children of Israel:"
Ii Kings 21:3,"he once again built the sanctuaries that Hizkiyyahu his father had demolished,
and erected sacrificial-altars to Baal,
and made an Ashera-pole, just as Ah’av king of Israel had made,
and bowed down to all the Forces of the Heavens, and served them;"
Ii Kings 21:4,"he built sacrificial-altars in the House of Y<small>HWH</small>
about which Y<small>HWH</small> had said: In Jerusalem I will set my name!,"
Ii Kings 21:5,"and he built sacrificial-altars to all the Forces of the Heavens
in the two courtyards of the House of Y<small>HWH</small>;"
Ii Kings 21:6,"he had his son cross through the fire
and practiced soothsaying and divination, made [contact with] ghosts and all-knowing ones—
he did much that was evil in the eyes of Y<small>HWH</small>, to provoke him."
Ii Kings 21:7,"And he placed the statue of Ashera that he had made
in the House about which Y<small>HWH</small> had said to David and to Shelomo his son:
In this House in Jerusalem, which I have chosen from all the tribes of Israel,
I will set my name for the ages,"
Ii Kings 21:8,"and I will not continue to make Israel’s foot wander from the soil that I gave to their fathers;
if only they take care to observe according to all that I have commanded them,
including all the Instruction that my servant Moshe commanded them."
Ii Kings 21:9,"But they did not hearken,
and Menashe led them astray to do what was evil, more than the nations that Y<small>HWH</small> had wiped out before the Children of Israel."
Ii Kings 21:10,"So Y<small>HWH</small> spoke by the hand of his servants the prophets, saying:"
Ii Kings 21:11,"Because Menashe king of Judah has done these abominations,
practicing more evil than all that the Amorites did who were before him,
and has caused Judah too to sin with his Illicit-Things,"
Ii Kings 21:12,"therefore,
thus says Y<small>HWH</small>, the God of Israel:
Here, I am about to bring such evil upon Jerusalem and Judah
that all who hear of it, their two ears will ring!"
Ii Kings 21:13,"I will stretch out over Jerusalem the measuring-line of Shomeron and the plumb-bob of the House of Ah’av,
and I will wipe Jerusalem clean as one wipes a dish clean,
wiping and turning it over on its face."
Ii Kings 21:14,"And I will forsake the remnant of my inheritance
and give them into the hand of their enemies,
so that they become spoil and pillage for all their enemies,"
Ii Kings 21:15,"because they have done what was evil in my eyes, and have been provoking me
from the day that their fathers went out of Egypt until this day."
Ii Kings 21:16,"—Now even more, Menashe spilled innocent blood, exceedingly much,
until he filled Jerusalem from one end to the [other] end,
aside from his sin by which he caused Judah to sin,
by doing what was evil in the eyes of Y<small>HWH</small>."
Ii Kings 21:17,"Now the rest of the events of Menashe, and all that he did,
and the sins that he sinned—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 21:18,"Menashe lay beside his fathers;
he was buried in the garden of his house, in the garden of Uzza,
and Amon his son reigned as king in his place."
Ii Kings 21:19,"Twenty-two years old was Amon at his becoming king,
and for two years he reigned as king in Jerusalem;
his mother’s name was Meshullemet daughter of Harutz, from Yotva."
Ii Kings 21:20,"He did what was evil in the eyes of Y<small>HWH</small>, as Menashe his father had done:"
Ii Kings 21:21,"he walked in all the way that his father had walked,
and served the Illicit-Things that his father had served, and bowed down to them;"
Ii Kings 21:22,"he abandoned Y<small>HWH</small>, the God of his fathers,
and did not walk in the way of Y<small>HWH</small>."
Ii Kings 21:23,"And Amon’s [court-]servants conspired against him,
and put the king to death in his house."
Ii Kings 21:24,"But the Landed People struck down all those who had conspired against Amon,
and the Landed People made Yoshiyyahu his son king in his place."
Ii Kings 21:25,"Now the rest of the events of Amon, [and all] that he did—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 21:26,"He was buried in his burial-place in the garden of Uzza,
and Yoshiyyahu his son became king in his place."
Ii Kings 22:1,"Eight years old was Yoshiyyahu at his becoming king,
and for thirty-one years he reigned as king in Jerusalem;
his mother’s name was Yedida daughter of Adaya, from Botzkat."
Ii Kings 22:2,"He did what was right in the eyes of Y<small>HWH</small>,
and walked in all the way of David his father;
he did not turn aside to the right or to the left."
Ii Kings 22:3,"Now it was in the eighteenth year of King Yoshiyyahu:
the king sent Shafan son of Atzalyahu son of Meshullam the Scribe to the House of Y<small>HWH</small>, saying:"
Ii Kings 22:4,"Go up to Hilkiyyahu the Great Priest and have him sum up the silver that has been brought to the House of Y<small>HWH</small>,
which the guardians of the threshold have gathered from the people,"
Ii Kings 22:5,"and let them give it into the hand of those doing the work, those accountable in the House of Y<small>HWH</small>;
they shall give it over to those doing the work who are in the House of Y<small>HWH</small>, to strengthen the breaches in the House of Y<small>HWH</small>—"
Ii Kings 22:6,"to the carvers, to the builders, and to the wall-masons,
and for purchasing wood and hewn stone, to strengthen the House."
Ii Kings 22:7,"But there need not be reckoning with them for the silver that is given into their hand,
for in trustworthy-fashion they deal."
Ii Kings 22:8,"Then Hilkiyyahu the Great Priest said to Shafan the Scribe:
I have found a [written] Record of the Instruction in the House of Y<small>HWH</small>!
And Hilkiyyahu gave the record to Shafan, and he read it."
Ii Kings 22:9,"Then Shafan the Scribe came to the king
and returned word to the king;
he said:
Your servants have melted down the silver that was found in the House
and have given it over to the hand of those doing the work, those accountable in the House of Y<small>HWH</small>."
Ii Kings 22:10,"And Shafan the Scribe told the king, saying:
Hilkiyya the priest has given me a [written] record.
And Shafan read it before the king."
Ii Kings 22:11,"It was, when the king heard the words of the Record of the Instruction,
that he tore his garments;"
Ii Kings 22:12,"and the king commanded Hilkiyya the priest and Ahikam son of Shafan and Akhbor son of Mikhaya and Shafan the Scribe and Asaya Servant of the king, saying:"
Ii Kings 22:13,"Go, inquire of Y<small>HWH</small> on my behalf, on behalf of the people, and on behalf of all Judah
concerning the words of this Record that has been found,
for great is the wrath of Y<small>HWH</small> that has been kindled against us
because our fathers did not hearken to the words of this Record,
to observe all that is written concerning us!"
Ii Kings 22:14,"So Hilkiyyahu the priest and Ahikam and Akhbor and Shafan and Asaya
went to Hulda the prophetess, wife of Shallum son of Tikva son of Harhas, Guardian of the [Royal] Garments
—now she was dwelling in Jerusalem, in the Second [District]—
and they spoke to her."
Ii Kings 22:15,"She said to them:
Thus says Y<small>HWH</small>, the God of Israel:
Say to the man who sent you to me:"
Ii Kings 22:16,"Thus says Y<small>HWH</small>:
Here, I am about to bring evil upon this place and upon its inhabitants,
all the words of the Record that the king of Judah has read,"
Ii Kings 22:17,"because they have abandoned me and sent-up-smoke to other gods,
in order to provoke me with all the works of their hands—
so my wrath will be kindled against this place, and will not be extinguished!"
Ii Kings 22:18,"But to the king of Judah, the one sending you to inquire of Y<small>HWH</small>,
thus you are to say to him:
Thus says Y<small>HWH</small>, the God of Israel:
As for the words that you have heard,"
Ii Kings 22:19,"because your heart was tender and you humbled yourself before Y<small>HWH</small>
when you heard what I spoke concerning this place and concerning its inhabitants,
to become a desolation and a curse,
and you tore your garments and wept before me,
I too have heard
—Y<small>HWH</small>’s Utterance."
Ii Kings 22:20,"Therefore,
here, I will gather you to your fathers;
you will be gathered to your burial-place in peace,
so that your eyes will not see all the evil that I am about to bring upon this place.
And they returned word to the king."
Ii Kings 23:1,"The king sent
and had all the elders of Judah and Jerusalem gathered to him."
Ii Kings 23:2,"Then the king went up to the House of Y<small>HWH</small>,
and all the men of Judah and all the inhabitants of Jerusalem with him,
and the priests and the prophets and all the people, great and small,
and he read in their ears all the words of the Record of the Covenant that had been found in the House of Y<small>HWH</small>."
Ii Kings 23:3,"And the king stood by the standing-column
and cut a covenant in the presence of Y<small>HWH</small>
to walk after Y<small>HWH</small>, to keep his commandments, his testimonies, and his laws
with all [one’s] heart and with all [one’s] being,
to fulfill the words of this covenant that were written in this Record.
And all the people took a stand in the covenant."
Ii Kings 23:4,"Then the king charged Hilkiyyahu the Great Priest and the priests of second rank and the guardians of the threshold
to take out of the Great-Hall of Y<small>HWH</small>
all the vessels that had been made for Baal and for Ashera and for all the Forces of the Heavens,
and he burned them outside Jerusalem, on the terraces of Kidron,
and carried their ashes to Bet-El."
Ii Kings 23:5,"And he put an end to the clerics whom the kings of Judah had given-license to send-up-smoke at the sanctuaries in the towns of Judah and in the [sacred] places around Jerusalem,
namely, those who sent-up-smoke to Baal, to the sun, to the moon, and to the constellations,
and to all the Forces of the Heavens."
Ii Kings 23:6,"And he brought out the Ashera-pole from the House of Y<small>HWH</small>, outside Jerusalem, to the Wadi Kidron,
and burned it in the Wadi Kidron;
then he crushed it into dust
and threw its dust over the burial-ground of the [common] people."
Ii Kings 23:7,"And he demolished the houses of the [male] prostitutes that were in the House of Y<small>HWH</small>,
where the women had been weaving coverings for the Ashera-pole."
Ii Kings 23:8,"And he brought in all the priests from the towns of Judah,
and he rendered <i>tamei</i> the sanctuaries where the priests had sent-up-smoke
from Geva to Be’er-Sheva,
and he demolished the sanctuaries at the gates that were at the entrance to the gate of Yehoshua, commander of the city,
which were at a person’s left [entering] the gate of the city."
Ii Kings 23:9,"However, the priests of the sanctuaries did not go up to the sacrificial-altar of Y<small>HWH</small> in Jerusalem,
although they ate unleavened-bread among their brothers."
Ii Kings 23:10,"And he rendered <i>tamei</i> the <i>Tofet</i>/Hearth that is in the Valley of Ben Hinnom,
so that no [one could] cross his son or his daughter through the fire to the Molekh."
Ii Kings 23:11,"And he put an end to the horses that the kings of Judah had dedicated to the sun at the entrance to the House of Y<small>HWH</small>,
near the chamber of Natan-Melekh the Official that was in the [Temple] colonnade,
and the chariots of the sun he burned with fire."
Ii Kings 23:12,"And as for the sacrificial-altars that were on the roof of the upper chamber of Ahaz, which the kings of Judah had made,
and the sacrificial-altars that Menashe had made in the two courtyards of the House of Y<small>HWH</small>,
the king demolished them;
he hastened them from there and threw their rubble into the Wadi Kidron."
Ii Kings 23:13,"And the sanctuaries which were facing Jerusalem, which were to the right/south of the Mount of the Ruinbringer,
which Shelomo king of Israel had built to Astarte, the Detestable-One of the Sidonians,
to Kemosh the Detestable-One of Moav,
and to Milkom the Abominable-One of the Children of Ammon,
the king rendered <i>tamei</i>."
Ii Kings 23:14,"And he smashed the standing-pillars,
and cut down the Ashera-poles
and filled in their sites with human bones."
Ii Kings 23:15,"And also the sacrificial-altar that was at Bet-El, the sanctuary that Yorov’am son of Nevat made, [the one] who had caused Israel to sin,
also that altar and the sanctuary, he demolished,
and he burned the sanctuary and crushed it fine, into dust,
and he burned the Ashera-pole."
Ii Kings 23:16,"And Yoshiyyahu faced about
and saw the burial-places that were there on the hill,
so he sent and had the bones taken from the burial-places and burned on the altar, rendering it <i>tamei</i>,
in accordance with the word of Y<small>HWH</small> which the man of God had proclaimed,
who had proclaimed these things."
Ii Kings 23:17,"Then he said:
What is this marker that I see?
The men of the town said to him:
It is the burial-place of the man of God who came from Judah,
who proclaimed these things that you have done against the sacrificial-altar of Bet-El."
Ii Kings 23:18,"He said:
Let it rest;
let no one disturb his bones!
So they let his bones be,
along with the bones of the prophet who had come from Shomeron."
Ii Kings 23:19,"And also all the sanctuary buildings that were in the towns of Shomeron
which the kings of Israel had made to provoke [Y<small>HWH</small>], Yoshiyyahu removed;
he dealt with them in accordance with all the deeds that he had done in Bet-El."
Ii Kings 23:20,"And he slew all the priests of the sanctuaries who were there, on the sacrificial-altars,
and burned human bones on them.
Then he returned to Jerusalem."
Ii Kings 23:21,"And the king commanded all the people, saying:
Observe the Passover to Y<small>HWH</small> your God,
as is written in this Record of the Covenant!"
Ii Kings 23:22,"—For no such Passover had been observed
since the days of the judge-leaders who led Israel,
and all the days of the kings of Israel and the kings of Judah."
Ii Kings 23:23,"But in the eighteenth year of King Yoshiyyahu
such a Passover was observed to Y<small>HWH</small> in Jerusalem."
Ii Kings 23:24,"And also the ghosts and the all-knowing ones, the <i>terafim</i> and the Illicit-Things,
and all the Detestable-Things that could be seen in the land of Judah and in Jerusalem,
Yoshiyyahu eradicated,
in order to fulfill the words of the Instruction, the ones written in the Record that Hilkiyyahu the priest had found in the House of Y<small>HWH</small>."
Ii Kings 23:25,"Now like him there was none before him as king,
who turned back to Y<small>HWH</small> with all his heart, with all his being, and with all his substance,
in accordance with all the teaching of Moshe,
and after him there arose none like him."
Ii Kings 23:26,"Yet Y<small>HWH</small> did not turn back from his great flaming-anger, whose anger flared up against Judah,
on account of all the provocations with which Menashe had provoked him."
Ii Kings 23:27,"So Y<small>HWH</small> said:
Judah too I will remove from my presence,
just as I removed Israel,
and I will reject this city which I chose, Jerusalem,
along with the House about which I said: My name will be there!"
Ii Kings 23:28,"Now the rest of the events of Yoshiyyahu, and all that he did—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 23:29,"In his days, Pharaoh Nekho king of Egypt came up to the king of Assyria, to the River Euphrates,
and King Yoshiyyahu marched out to meet him,
but he put him to death at Megiddo when he saw him."
Ii Kings 23:30,"His servants conveyed him dead from Megiddo, and brought him to Jerusalem,
and they buried him in his burial-place.
And the Landed People took Yehoahaz son of Yoshiyyahu
and anointed him, making him king in place of his father."
Ii Kings 23:31,"Twenty-three years old was Yehoahaz at his becoming king,
and for three months he reigned as king in Jerusalem;
his mother’s name was Hamutal daughter of Yirmeyahu, from Livna."
Ii Kings 23:32,"He did what was evil in the eyes of Y<small>HWH</small>,
exactly as his fathers had done."
Ii Kings 23:33,"And Pharaoh Nekho imprisoned him at Rivla, in the region of Hamat, from reigning as king in Jerusalem,
and placed a fine on the land of a hundred talents of silver and a talent of gold."
Ii Kings 23:34,"Pharaoh Nekho made Elyakim son of Yoshiyyahu king in place of Yoshiyyahu his father,
and changed his name to Yehoyakim,
while Yehoahaz he took away, so that he came to Egypt and died there."
Ii Kings 23:35,"Now the silver and the gold, Yehoyakim gave [as payment] to Pharaoh,
but he had to assess the land, in order to give the silver by order of Pharaoh:
from each one according to his assessment he exacted the silver and the gold, from the Landed People, to give to Pharaoh Nekho."
Ii Kings 23:36,"Twenty-five years old was Yehoyakim at his becoming king,
and for eleven years he reigned as king in Jerusalem;
his mother’s name was Zevuda daughter of Pedaya, from Ruma."
Ii Kings 23:37,"He did what was evil in the eyes of Y<small>HWH</small>,
exactly as his fathers had done."
Ii Kings 24:1,"In his days, Nevukhadnetzar king of Babylon came up.
And Yehoyakim was servant to him for three years,
but then he turned and rose-in-revolt against him."
Ii Kings 24:2,"So Y<small>HWH</small> sent loose against him raiding-bands of Chaldeans, bands of Aram, bands of Moav, and bands of the Children of Ammon;
he sent them loose against Judah, to annihilate it,
in accordance with the word of Y<small>HWH</small> which he had spoken by the hand of his servants the prophets."
Ii Kings 24:3,"Yes, at the order of Y<small>HWH</small> did all this [come] against Judah,
to remove them from his presence,
for the sins of Menashe, in accordance with all that he did,"
Ii Kings 24:4,"and also [because of] the innocent blood that he shed
—for he filled Jerusalem with innocent blood—
so Y<small>HWH</small> was not willing to forgive."
Ii Kings 24:5,"Now the rest of the events of Yehoyakim, and all that he did—
are they not written in the Record of Yearly Events of the Kings of Judah?"
Ii Kings 24:6,"Yehoyakim lay beside his fathers,
and Yehoyakhin his son became king in his place."
Ii Kings 24:7,"Now the king of Egypt no longer went out [to war] from his land any more,
for the king of Babylon had taken away, from the Wadi of Egypt to the River Euphrates,
all that had belonged to the king of Egypt."
Ii Kings 24:8,"Eighteen years old was Yehoyakhin at his becoming king,
and for three months he reigned as king in Jerusalem;
his mother’s name was Nehushta daughter of Elnatan, from Jerusalem."
Ii Kings 24:9,"He did what was evil in the eyes of Y<small>HWH</small>,
exactly as his father had done."
Ii Kings 24:10,"At [about] that time, the servants of Nevukhadnetzar king of Babylon went up to Jerusalem,
and the city came under siege."
Ii Kings 24:11,"Nevukhadnetzar king of Babylon came to the city
while his servants were besieging it,"
Ii Kings 24:12,"and Yehoyakhin king of Judah went out [in surrender] to the king of Babylon,
he and his mother, his court-servants, his officers, and his officials,
and the king of Babylon took him [prisoner] in year eight of his being king."
Ii Kings 24:13,"And he brought out from there all the treasuries of the House of Y<small>HWH</small> and the treasuries of the king’s house;
he cut-to-pieces all the vessels of gold that Shelomo king of Israel had made in the Great-Hall of Y<small>HWH</small>,
as Y<small>HWH</small> had promised."
Ii Kings 24:14,"He exiled all of Jerusalem:
all the officers and all the mighty-men of valor,
ten thousand exiles,
and all the carvers and the smiths;
none remained, save the poorest of the people of the land."
Ii Kings 24:15,"And he exiled Yehoyakhin to Babylon,
while the king’s mother and the king’s wives and his officials and the “rams” of the land he made go into exile, from Jerusalem to Babylon,"
Ii Kings 24:16,"along with all the men of valor, seven thousand,
and the carvers and the smiths, a thousand,
all mighty-men, trained for battle;
the king of Babylon brought them into exile, to Babylon."
Ii Kings 24:17,"And the king of Babylon installed Mattanya his uncle as king in his place,
and changed his name to Tzidkiyyahu."
Ii Kings 24:18,"Twenty-one years old was Tzidkiyyahu at his becoming king,
and for eleven years he reigned as king in Jerusalem;
his mother’s name was Hamutal daughter of Yirmeyahu, from Livna."
Ii Kings 24:19,"He did what was evil in the eyes of Y<small>HWH</small>,
exactly as Yehoyakim had done."
Ii Kings 24:20,"Indeed, [it was] because of Y<small>HWH</small>’s anger that it happened in Jerusalem and in Judah,
until he cast them out from his presence.
And Tzidkiyyahu rose-in-revolt against the king of Babylon."
Ii Kings 25:1,"So it was in the ninth year of his being king,
in the tenth month, on the tenth of the month:
Nevukhadnetzar king of Babylon, he and all his army, came against Jerusalem;
they set up camp against it and built a bulwark against it, all around."
Ii Kings 25:2,And the city came under siege until the eleventh year of King Tzidkiyyahu.
Ii Kings 25:3,"On [day] nine of the [fourth] month, hunger became strong in the city;
there was no food [even] for the Landed People."
Ii Kings 25:4,"The city-wall was broken through,
[and Tzidkiyyahu] and all the men fit for battle [fled] at night through the gate between the double-walls that are near the king’s garden,
with the Chaldeans all around the city;
he went by the Road of the Plain."
Ii Kings 25:5,"But the Chaldean army pursued after the king
and overtook him in the Plains of Jericho,
with all his army having scattered from him."
Ii Kings 25:6,"They seized the king and brought him up to the king of Babylon, at Rivla,
and pronounced judgment upon him."
Ii Kings 25:7,"The sons of Tzidkiyyahu were slain before his eyes,
and Tzidkiyyahu’s eyes were blinded;
then they bound him with double-bronze and brought him to Babylon."
Ii Kings 25:8,"Now in the fifth month, on [day] seven of the month—that is the nineteenth year of King Nevukhadnetzar, king of Babylon,
Nevuzar’adan, Captain of the Guard, servant to the king of Babylon, came to Jerusalem;"
Ii Kings 25:9,"he burned down the House of Y<small>HWH</small> and the king’s house
and all the houses of Jerusalem,
and every house of a great-one he burned with fire."
Ii Kings 25:10,"As for the walls of Jerusalem, all around,
they were demolished by all the Chaldean army that belonged to the Captain of the Guard."
Ii Kings 25:11,"And the rest of the people who remained in the city,
and those falling away who had fallen away to the king of Babylon, the rest of the masses,
Nevuzar’adan the Captain of the Guard exiled;"
Ii Kings 25:12,"but from the poor of the land, the Captain of the Guard allowed some to remain,
as vine-dressers and as husbandmen."
Ii Kings 25:13,"Now the bronze columns that were in the House of Y<small>HWH</small>,
and the bases and the Bronze Sea that were in the House of Y<small>HWH</small>, the Chaldeans smashed,
and brought their bronze to Babylon."
Ii Kings 25:14,"And the pots and the shovels and the snuffers and the ladles
and all the bronze vessels with which they attended, they took."
Ii Kings 25:15,"And the fire-pans and the forks that were of gold, [each of] gold, and of silver, [each of] silver—
the Captain of the Guard took."
Ii Kings 25:16,"Now the columns, two, the Sea, one, and the bases that Shelomo had made for the House of Y<small>HWH</small>,
were beyond weighing for bronze, all these vessels."
Ii Kings 25:17,"Eighteen cubits was the height of the one column,
with a crowning-capital for it of bronze,
and the height of the capital three cubits,
with a lattice-work and pomegranates on the capital, all around,
—all of it was bronze—
and like these for the second column, along with the lattice-work."
Ii Kings 25:18,"And the Captain of the Guard took Seraya the Head Priest and Tzefanyahu the Second Priest
and the three guardians of the threshold;"
Ii Kings 25:19,"and from the city he took an official who was [The One] Accountable for the Men of War,
and five men from Those [Who] See the King’s Face who were found in the city,
and the Scribe of the Commander of the Armed-Forces who mustered the forces of the Landed People,
and sixty men from the Landed People who were found in the city;"
Ii Kings 25:20,"Nevuzar’adan the Captain of the Guard took them
and brought them to the king of Babylon at Rivla."
Ii Kings 25:21,"And the king of Babylon struck them down and put them to death at Rivla, in the land of Hamat.
So Judah was exiled from its soil."
Ii Kings 25:22,"Now as for the people who remained in the land of Judah,
whom Nevukhadnetzar king of Babylon allowed to remain—
he appointed over them Gedalyahu son of Ahikam son of Shafan."
Ii Kings 25:23,"And all the commanders of the soldiers heard, they and their men, that the king of Babylon had appointed Gedalyahu,
so they came to Gedalyahu at Mitzpa—
Yishmael son of Netanya, Yohanan son of Kare’ah, Seraya son of Tanhumet the Netofatite, and Yaazanyahu son of the Maakhatite,
they and their men."
Ii Kings 25:24,"And Gedalyahu swore to them and to their men;
he said to them:
Do not be afraid of serving the Chaldeans;
stay in the land and serve the king of Babylon, and it will go well with you!"
Ii Kings 25:25,"But it was in the seventh month
that Yishmael son of Netanya son of Elishama, one of the royal seed, and ten men with him, came
and struck down Gedalyahu, so that he died,
along with the Judeans and the Chaldeans who were with him at Mitzpa."
Ii Kings 25:26,"Then all the people, great and small, and the commanders of the soldiers, arose and went to Egypt,
for they were afraid of the Chaldeans."
Ii Kings 25:27,"Now it was in the thirty-seventh year of the exile of Yehoyakhin king of Judah,
in the twelfth month, on the twenty-seventh of the month,
that Ehvil-Merodakh, king of Babylon, in the year of his becoming king, lifted up the head of Yehoyakhin king of Judah, from the prison house."
Ii Kings 25:28,"He spoke kind-words with him
and set his throne above the thrones of the kings who were with him in Babylon."
Ii Kings 25:29,"So he changed his prison garments
and ate food regularly before him,
all the days of his life;"
