l,a,n,g,u,a,g,e
s,e,r,v,e,r
v,e,r,s,i,o,n,T,i,t,l,e
v,e,r,s,i,o,n,S,o,u,r,c,e
Torah.1,A<small>CKNOWLEDGMENTS</small>
"Torah, On the Book of Numbers and Its Structure.48","Of special note in the book of Numbers is the emphasis on the Levites and their tasks. The text introduces this group, which may have originated as a guild rather than as a tribe, already in Chapter 1 (v.47). Thereafter, they play a major role in the book—the portrayal of their purification for service (Chap. 8), the great rebellion fomented by some of them (16), their important function as guardians against encroachment on the sanctuary (18), and their distribution in certain towns that serve also as places of refuge for accidental manslayers (35) is spread throughout the book, as if to form a distinctive thread amid the other themes of wandering, rebellion, and preparation for conquest. This interest in the Levites, in the eyes of some scholars, signals a particularly late development in the history of Israelite religion, and perhaps a late editing for our book as well. It also indicates how thoroughly the wilderness traditions have been reworked, to establish a hoary history for the central Israelite institutions connected with divine worship. While it is next to impossible to trace the internal struggles of the Israelite priesthood over the centuries with historical precision, it seems clear that such strife was part of history, and may be reflected in the portrayals of Aharon, Korah, and Pin’has, to mention just a few of the priestly/Levitical figures that populate the wilderness stories. At any rate, the combining of clearly priestly material into the varied narrative and poetic stuff of Numbers has created a book different than what might have been, had the editors sought a story and only a story. The same, of course, might be said for the entire five books of which Numbers is a part."
"Torah, On the Book of Numbers and Its Structure.49","As I noted in the introduction to Volume II of this work, <i>Now These Are the Names</i> (Exodus), the hero’s journey through the unknown is, of course, a central theme in Western literature. From Homer’s <i>Odyssey</i> to Sinbad’s journeys in <i>A Thousand and One Nights</i> to the many twentieth-century works on the theme, the protagonist’s unfamiliar terrain has become the familiar metaphor for our own inner journeys. Such accounts normally concentrate on obstacles in the way: opponents divine and human, harsh landscapes, wild beasts, lack of water, lack of people and succor. Heroes are left to their own devices, and if they are successful in completing their journey, the audience experiences the vicarious triumph of conquering the impossible. Indeed, the operating principle seems to be: the greater the obstacles, the more stunning the triumph."
"Torah, On the Book of Numbers and Its Structure.50","The wilderness trek recounted in the heart of the book of Numbers has a wholly different feel. To be sure, there are obstacles, some of them standard, such as the dearth of food and water and the opposition of hostile nations along the way. But the main emphasis in these texts is on internal obstacles—the people’s lack of trust, faith, and courage. And as so often happens in the Torah, physical background, as important as it obviously is in Numbers, what with a myriad of geographical locations noted, is overshadowed by the dominant issue of the relationship between Israel and God. The God of the wilderness journey is initially a provider and protector (cf. Ex. 15–18); when he turns lawgiver, Israel’s situation seems secure despite the harsh ecological setting. But Numbers has chosen to remember the people’s moments of doubt and rebellion above all, and so the orderly leaving of Sinai which closes the first part of the book, along with the orderly preparations for conquest that mark its third part, fade in the reader’s consciousness before the memorable narratives in Chapters 11–25."
"Torah, On the Book of Numbers and Its Structure.51","It has been pointed out (Tunyogi) that these stories serve as “foundation accounts,” as stories that tell about “the archetypes to be repeated in all coming generations.” As such, they are significant in later Israel’s understanding of itself. Through the book of Numbers, later generations were warned not to repeat the sins of the wilderness; and Moshe himself came to be looked upon as the quintessential prophet. For the era of the literary prophets (ninth-sixth centuries <small>B.C.E.</small>), concerned as they were with Israel’s forgetfulness and backsliding, and the era of Babylonian Exile (sixth century <small>B.C.E.</small>), in which the exiles also found themselves outside the Promised Land, there could have been no stronger warning or cause for hope than the stories and laws set down in the Torah, and especially the traditions recorded in the book of Numbers."
"Torah, I: the Wilderness Camp.1",(1–10)
"Torah, I: the Wilderness Camp.2","T<small>O LIST IS TO DEMONSTRATE A SENSE OF ORDER AND CONTROL</small>. T<small>HE BOOK OF</small> Numbers commences with several lists that serve to arrange and catalog the Israelite camp in the wilderness: first, the “accountings” of the Israelites fit for battle; then, the symmetrical arrangement of the camp itself, around the Tabernacle; and finally, the special listing of the Levite population, accompanied by an enumeration of its special tasks in the camp. The first part of Numbers thus takes place as it were in the shadow of Mount Sinai—that is, under the aegis of the priestly school of thinking, in which order is everything."
"Torah, I: the Wilderness Camp.3","There is a strong military bent to the arrangement. The census of Chapter 1 is not a head count of the entire Israelite population, but rather of those “twenty years of age and upward,” those eligible to serve in the army. The setup of the camp resembles that in ancient Egypt, with the sanctuary and ark (here “Dwelling” and “coffer”) in the center (in the Egypt of Raamses II—thought by some to have been the Pharaoh of the Exodus—it was the king’s throne). The Levites, whom we have not encountered previously as a group with tasks distinct from those of the priests, emerge in this part of the book as caretakers and perhaps guardians of the sanctuary, in addition to their tasks of dismantling and transport of the “Holy-Shrine.” This military aspect reflects an ancient concept of Israel as the “forces of Y<small>HWH</small>,” surely a conquest image, which later becomes standardized in language in the phrase usually rendered “the L<small>ORD</small> of Hosts.”"
"Torah, I: the Wilderness Camp.4","Some of the material in this section might well have been put elsewhere. Chapters 5–7 would have fit nicely in Leviticus; Chapter 7, the listing of the tribal gifts brought to the sanctuary upon its dedication, could even have followed Ex. 40, where Moshe completes the erection of the structure. That these chapters are here therefore must be the result of a conscious decision, either to include material that did not find its way into the other books, or out of a feeling that they were appropriately placed in the book about Israel’s wanderings in the wilderness."
"Torah, Ii: the Rebellion Narratives.1",(11–25)
"Torah, Ii: the Rebellion Narratives.2","V<small>IRTUALLY THE FIRST THING THE</small> I<small>SRAELITES DO AFTER SETTING OUT ON THE SECOND</small> leg of their journey to the Promised Land is—rebel. This pattern was already seen in the book of Exodus, where, despite the climactic miracle of deliverance at the Sea of Reeds, the Israelites “grumbled against Moshe” at Mara because of lack of drinkable water. Although a strain in later biblical thinking remembered the wilderness period as a kind of honeymoon (cf. Jer. 2:2), the Torah itself chose to remember it as a severe time of testing which the ex-slaves ultimately failed to pass."
"Torah, Ii: the Rebellion Narratives.3","The second part of Numbers is a remarkable collection of rebellion narratives that simultaneously display striking similarities and great and colorful differences. The section details six rebellions of the people, and two of the leaders themselves. They are united by a consistent vocabulary: verbs such as “grumble” and “assemble/gather/speak against” depict complaints against Moshe and Aharon and against God. These stories also display the recurring themes of dearth of food and water, and God’s anger at the rebellions, usually expressed in some form of plague (or, additionally, fire)."
"Torah, Ii: the Rebellion Narratives.4","Rather than unfold in simple chronological order, one following another, these pieces of the text have been intensified by priestly editing, which has interspersed the stories with a number of cultic and legal passages (Chaps. 15, 18, and 19, all of which bear the theme word “law” [Heb. <i>hok</i> or <i>hukka</i>]), and which are somehow related to previous or succeeding narratives. The interruptions also allow each of the memorable rebellion narratives to “breathe,” giving the audience time to digest the images and the drama presented therein. The stories possess both in abundant measure; one thinks, for instance, of the “meat between the teeth” (11:33), of the grape clusters borne on a pole by two men (13:23); and of the great confrontation with Korah in Chapter 16 (not to mention its resolution), as well as Moshe’s dramatic failure in Chapter 20."
"Torah, Ii: the Rebellion Narratives.5","As in any great literature, repetition of story type or type scene is here accomplished via variation of the most telling kind. In this case we observe once again an alternating pattern to the rebellions, a pattern which reveals not one theme but several:"
"Torah, Ii: the Rebellion Narratives.6","The people, over lack of food (chapter 11)"
"Torah, Ii: the Rebellion Narratives.7","Moshe’s siblings, over prophetic primacy (12)"
"Torah, Ii: the Rebellion Narratives.8","The people, over the spies’ false report (14)"
"Torah, Ii: the Rebellion Narratives.9","Levites, over Moshe and Aharon’s prerogatives (16)"
"Torah, Ii: the Rebellion Narratives.10","The people, over the rebellious Levites’ sinister fate (17)"
"Torah, Ii: the Rebellion Narratives.11","Moshe himself, over the burden of leading the people (20)"
"Torah, Ii: the Rebellion Narratives.12","The people, over the lack of food and water (21)"
"Torah, Ii: the Rebellion Narratives.13","The pattern observable here is broken, in true biblical rhetorical style (where the last in a sequence often serves by its oddness to reinforce the whole), in a final rebellion (Chap. 25), where the people’s actions involve neither the “complaining” vocabulary nor a revolt against human leadership, but rather comprise the greatest biblical crime of them all: worship of other gods. Viewed in this patterned fashion, the rebellion narratives emerge with a kind of crescendo effect."
"Torah, Ii: the Rebellion Narratives.14","It is also possible, as I have done in “On the Book of Numbers and Its Structure,” above, to follow the scheme put forth by Mann—a three-part structure to the section, each with its internal logic and conclusions. These are treated below; for the moment, it will suffice to see in the first subsection (Chaps. 11–14) the inevitable result of wilderness rebellions: the divine decree that the slave generation must die out before entering the Promised Land; the second subsection (16–20) deals with the challenges to the leadership of Moshe and Aharon, and results in a similar decree, that they will die outside the land; and the third subsection (20–25) chronicles the encounter of the Israelites with neighboring nations, which initially goes in their favor but ends with the disastrous incident at Baal Pe’or (25)."
"Torah, Ii: the Rebellion Narratives.15","The primary issue in these stories, to the biblical writer, is lack of trust in God. Each of the three sections mentions or implies that problem; 14:11 and 20:12 use the verb itself, and the narrative of Chapter 25 suggests it. The bottom line is that the Israelites could not keep faith with God—even after both staggering acts of divine intervention (i.e., rescue) and demonstrations of the force of divine wrath—and this lack of faith led ultimately to their dying out in the wilderness outside the Promised Land, in punishment. The stories clearly were meant to be understood as an unfortunate example for later generations, and were taken as such already in the biblical period (see, for example, the treatment in Psalm 78)."
"Torah, Ii: the Rebellion Narratives.16","Read on another level, the rebellion narratives are largely concerned with the issue of human leadership, its qualifications, manifestations, and limitations (and even failures). Has there ever been a leader as beleaguered as Moshe? From the beginning of his career on the sands of Egypt, where he assumes the mantle of leadership in the matter of retaliating against the sadistic Egyptian taskmaster (Ex. 2:11–12), to its end at the plains of Moab, in stern address to the people he has struggled to lead (this is the setting of the entire next book, Deuteronomy), he must evoke trust in God, lead the people through an uncharted wilderness, and inspire confidence in his own leadership. His success is muted by the passing of the generation he initially leads, before it can enter Canaan; like them, he too must pass on—with merely a look beyond the Jordan, but no more. Later generations of Jewish readers wept on confronting Moshe’s seemingly premature death, and created heroic tales of his pleading before God to be let into the land he had so long sought to reach. In Numbers he fully deserves this stature, alternately interceding with and cajoling God, standing up for and then almost giving up on this people with whom his life has become so enmeshed. Our stories stress his gifts of prophecy and his pathos as a deeply human leader."
"Torah, Ii: the Rebellion Narratives.17","A final, troubling issue is the character of God in this part of the book. It is a measure of the Bible’s artistry that the rebellion accounts are so varied in content and style; but the variations in punishment—from undetailed death to skin disease to stoning and the earth opening up, just to mention a few examples—create an impression, not of artistic richness but of unremitting severity. The Bible does not seem to have a problem with this kind of divine behavior, and other ancient cultures would have felt at home here, but already in late antiquity, and continuing down to our own day, Jews and Christians most often have preferred, and prayed to, a more forgiving, nurturing, and compassionate God. Dealing with these texts, in the end, raises the question of whether to understand them as the result of “historical necessity” or “literary conceit” (that is, the old generation simply had to die out) or as they stand in the text: a harsh portrayal of what happened when the covenant people violated the covenant."
"Torah, On Bil’am.1","N<small>OW EMBEDDED WITHIN THE SECOND PART OF THE BOOK OF</small> N<small>UMBERS, THE STORIES</small> and exalted poetry connected with the name of the pagan prophet Bil’am (Balaam) in many ways point to the final section of the book. They provide a welcome relief from the depressing and at times exasperating narratives of rebellion. Israel in Bil’am’s vision is the realization of the patriarchal dream, a sea of people (and tents) without number, upright in conduct and victorious in battle. In its focusing on the theme of reversal—curses turned to blessings, ass turned seer/prophet, and prophet turned fool—the Bil’am section suggests that, as we leave the old generation to die out in the wilderness, God’s own “cursing” of the people because of their rebelliousness will somehow, ultimately, be turned into blessing. No wonder that Buber (1988) felt the hidden presence of Moses and his vision of Israel in these chapters."
"Torah, On Bil’am.2","Recent archaeological finds have placed Bil’am as a figure known to extrabiblical traditions located in the lands east of the Jordan. The Torah uses him (as the Bible may have used Job and other such personalities) for its own purposes, picking up a theme it has utilized earlier: the acknowledgment of God’s power and Israel’s glory by a wise or inspired pagan (cf., for instance, the figure of Jethro, Moses’ father-in-law, in Ex. 18; or, to use later examples, Jericho’s Rahab in Josh. 2 and the Queen of Sheba in I Kings 10). Just as the Pharaoh is made to acknowledge God’s power and Israel’s glory toward the beginning of the Exodus sequence, so the nations or tribes surrounding Israel are portrayed as coming to the same realization at its end. Bil’am, as it were, provides religious legitimacy for these ideas in the non-Israelite domain."
"Torah, On Bil’am.3","The narrative is built, not only on obvious theme words such as “word,” “speak,” and “curse/revile/doom,” but also on repeating phrases. Central to them, in variation, is “only the word that I [God] speak to you, / that (alone) may speak” (22:20, 35, 38; 23:12, 36). The episode with the she-ass, one of the most unusual in the Bible, revolves around the threefold “And the she-ass saw YHWH’s messenger” (22:23, 2.5, 27), suggesting, of course, that Bil’am, the reputed holy man, does not see him. The story also offers an illustration of the Bible’s balanced sense of justice: Balak “once again” sends emissaries, Bil’am “once again” beats the she-ass, but these actions are thwarted by the divine messenger’s “once again” blocking the path (and, symbolically, the curse)."
"Torah, On Bil’am.4","While some scholars have suggested that the she-ass section has origins independent from the main body of the story, it is verbally linked to Bil’am’s speeches later in the story by a single device. The refrain of “these three times,” describing Bil’am’s beating of the she-ass and her refusal to continue, is matched by the threefold refusal of God to allow anything but blessing to publicly issue forth from the prophet’s mouth (“[on] these three occasions,” 24:10)."
"Torah, On Bil’am.5","The poetic sections of the story are built on the basis of a stock scene: Bil’am has Balak build seven altars and prepare seven bulls and seven rams; the prophet sacrifices the animals, and has the king stand alongside the altars while he, Bil’am, goes off to encounter God. When he returns, he “takes up his parable,” stressing twice how God blesses, not curses, Israel, and how he will under no circumstances revoke that blessing. The full version of the blessing, beginning in 24:3, is distinguished by its lofty tone (clearly suggesting the infusion of the “spirit of God” [24:2]). The tripled “Utters …” signals an abrupt change in mood and inspiration; the word, more properly “the utterance of …,” is frequently used by the later Prophets to open their speeches."
"Torah, On Bil’am.6","A word should be said about the “oracles to the nations” that begin in 24:17. These are reminiscent of many Prophetic passages, in which the seer turns outside Israel and addresses the neighboring peoples (e.g., Amos 1–2:3). Their inclusion in Numbers helps to link the Bil’am story with what has immediately preceded it, the account of Israel’s militarily successful encounter with its historical neighbors."
"Torah, On Bil’am.7","Similarly, the Bil’am episode is linked to the chapter that follows it, the apostasy at Baal-Peor. A tradition reported in 31:8 informs us that Bil’am was among those killed by Pin’has in his “zeal” or “indignation” (Fishbane 1974) for Y<small>HWH</small>."
"Torah, On Bil’am.8","<img src=""images/Art_P9.jpg"" alt=""art""/>"
"Torah, On Bil’am.9","<b><i>Num. 22:23</i> Now the she-ass saw Y<small>HWH</small>’s messenger/stationed in the way, his sword drawn in his hand …</b>"
"Torah, Iii: the Preparations For Conquest.1",(26–36)
"Torah, Iii: the Preparations For Conquest.2","T<small>HE LAST PART OF</small> N<small>UMBERS IS WHAT THE READER MIGHT HAVE EXPECTED ALL ALONG</small>: a collection of materials that deal directly with the upcoming conquest of Canaan. It is concerned, then, with the transfer of leadership from Moshe to Yehoshua (Joshua); with provisions for two and a half tribes to remain on the east bank of the Jordan River, as long as they take part in the impending invasion; with listing the entire route of the Israelites, from Egypt to the plains of Moab; and with the borders of the land to be conquered."
"Torah, Iii: the Preparations For Conquest.3","As has been the case earlier in the book, however, other material intervenes: a theme and variation doublet on the inheritance of land in a case where a man leaves daughters, not sons; two chapters on what sacrifices are to be brought on holy days; a section on vows taken by women; war with Midyan and the precise apportioning of spoils, both to warriors and to the sanctuary; and the law regarding accidental homicide, in which family vengeance is circumvented by the existence of “safe” Levite towns to which the manslayer may flee."
"Torah, Iii: the Preparations For Conquest.4","The inconsistent thematics may again be explained by the intrusion of an editorial hand, again by priestly interests. In Levine’s view, most of Chapters 25–36 function to establish matters of importance in the priestly view, just as in Chapters 1–10. Here law takes precedence over narrative."
"Torah, Iii: the Preparations For Conquest.5","Despite the varied subject matter of this section, it holds together structurally, via the common biblical technique of word (sound) repetition. The rather common verb <i>tzivvah</i>, “command,” weaves through every one of Chapters 26–36, except for 33. Sometimes it introduces what God wants the Israelites to do; sometimes it leads to the formula of fulfillment, “as YHWH commanded the Children of Israel, so they did”; still other times it refers to a command given by Moshe himself. The entire section begins with the verb (26:4), and ends with it as well (36:13). In addition, the chapters most far afield, 28–29 (taken as a unit) and 30, begin and end with it. Whether this was a conscious technique by redactors is hard to say, but its existence is striking."
"Torah, Iii: the Preparations For Conquest.6","Another structural device, that of framing, also occurs in this part of the book: after the introductory census (Chap. 26), the rest is built between two brackets, each involving the daughters of Tzelofhad, and each opening with the verb “to come-near” (27:1 and 36:1). So despite the wide-ranging material, some sense of unity has been imposed upon it."
"Torah, Iii: the Preparations For Conquest.7","Finally, there is the key occurrence, for the book of Numbers, of more lists, from census to holiday sacrifices, from stops along the journey to the precise borders of the Promised Land. We are in the presence of order once again."
"Torah, Iii: the Preparations For Conquest.8","What remains lacking at the end of the book is exactly what Deuteronomy supplies: a final exhortation from Moshe, which includes reiteration and further clarification of the laws, a public covenant ceremony, Moshe’s long blessing of the people, and the account of his death and burial. If added here, these topics might have tipped the scales of Numbers, which has given us almost too much to digest as it is; as the Torah has come down to us, they are more appropriately treated in the expansive and majestic rhetorical setting of Deuteronomy."
"Torah, Iii: the Preparations For Conquest.9","<img src=""images/Art_P10.jpg"" alt=""art""/>"
"Torah, Iii: the Preparations For Conquest.10","<b><i>Num. 26:3</i> Moshe spoke, and El’azar the priest, to them in the Plains of Moav …</b>"
"Torah, Deuteronomy.1","<img src=""images/line.jpg"" alt=""art""/>"
"Torah, Deuteronomy.2",D<small>EUTERONOMY</small>
"Torah, Deuteronomy.3","<img src=""images/line.jpg"" alt=""art""/>"
"Torah, Deuteronomy.4",T<small>HESE</small> A<small>RE THE</small> W<small>ORDS</small>
"Torah, On the Book of Deuteronomy and Its Structure.1","D<small>EUTERONOMY HOLDS A UNIQUE POSITION, AND SPEAKS WITH A UNIQUE VOICE, IN THE</small> literature of the Torah. Up to this point, through the first four books, we have encountered a powerful mixture of literary genres; indeed, the books owe their characteristic stamp to the way in which they incorporate these genres. Genesis is predominantly narrative, punctuated by genealogies; Exodus begins with narrative and later proceeds with covenant-making and law, and then with the precise details of sanctuary building; Leviticus is composed almost entirely of cultic and then ethical and social law; and finally, Numbers alternates narrative and varied laws, under the structure of preparations for wilderness march, first encounters with the Promised Land, and preparations for entry. Except for Leviticus, the books also exhibit, at strategic points, striking examples of biblical poetry."
"Torah, On the Book of Deuteronomy and Its Structure.2","An ancient name for Deuteronomy, <i>mishne tora</i>—which means “copy of the Torah,” but which was erroneously understood as “second Torah”—would seem to indicate more of the same combining of genres, and a not-too-close reading would support the idea of a rehashing of narrative, covenant-making, law, and poetry. But the reader who takes the time to weigh what stands before him or her will find much more. In its structure, style, content, and intent, Deuteronomy goes beyond what has preceded it. The image of Moshe addressing the assembled people on the Plains of Moab—the central setting of the book—provides the occasion for not merely a retelling, but a recasting of Israel’s mission and destiny. No book of the Torah is truer to the idea of “instruction” (Deuteronomy uses the term numerous times), including an emphasis on teaching and learning, with assembled and yet-to-be-born children as much the audience as “elders.”"
"Torah, On the Book of Deuteronomy and Its Structure.3","From the book’s opening phrase, “Now these are the words [or even “speeches”] that Moshe spoke to the Children of Israel / in (the country) across the Jordan,” the basic premise of Deuteronomy is that the aged Moshe, personally and indeed in the first person, speaks for the last time to the assembled Israelites, before their triumphant entry into the land of Canaan. The setting affects the entire content of the book; no longer is the narrator in the background, as in most of the Torah, but instead he is presented as directly addressing a living audience, an audience composed not only of the ancient hearers portrayed in the text but also of contemporary listeners."
"Torah, On the Book of Deuteronomy and Its Structure.4","The image of a leader delivering a long public address on an auspicious occasion is well known from the ancient world, most familiarly from Greek historians (cf. Van Seters) but also abundantly in the ancient Near East (Weinfeld). The historian seeks to paint a vivid picture of the personality of his speaker and the high drama of the moment, and may go on at great length. While admitting to not having had the benefit of eyewitness sources, such chroniclers are nevertheless sincere in their desire to present what undoubtedly would have been said on such an occasion."
"Torah, On the Book of Deuteronomy and Its Structure.5","Deuteronomy, whenever it was composed and placed in the Torah, takes this approach a step further. It is a fantastic conceit, really: as Rosenberg (1975) notes, Moshe, the man who was “not a man of words” (Ex. 4:10), all of a sudden finds his voice. And as Polzin (1980) has shown in his forceful analysis, in Deuteronomy Moshe’s voice functions fairly indistinguishably from God’s own—and then closes off the text by stipulating that nothing in the future is to be added or subtracted to it. So we are dealing with a text of directly authoritative character, a series of speeches that in their own self-understanding already bore the status of “Torah.” Hence Deuteronomy introduces into the Bible for the first time the concept of canon—a bounded, accepted body of authoritative literature."
"Torah, On the Book of Deuteronomy and Its Structure.6","Moshe’s addresses, which include a historical review, repeated appeals to observe God’s laws and dire warnings against their violation, a reworking of previous laws and the addition of new ones, and a poem designed to keep the appeals and warnings in popular memory, have about them a deep rhetorical urgency. As such they are stylistically quite different from most of what is found in the first four books of the Bible. To be sure, there are many moments of high rhetoric in the previous narratives, and the laws—including cultic ones—are also not lacking appeals to the emotions (cf., for instance, the repeated injunctions to not oppress the sojourner, “for you were sojourners in the land of Egypt”). But as an extended piece of argumentation and pleading, Deuteronomy holds pride of place in the Torah, with its specialized vocabulary (described in the notes and commentary below), its alternately pleading and warning tone, and its long, elegant phrases (as Gottwald notes, these phrases are most often cast in the form of subordinate clauses, not the typical syntactical form found in the previous books)."
"Torah, On the Book of Deuteronomy and Its Structure.7","But not only does Deuteronomy provide an emotional capstone to the four books that precede it. It functions to link up with both the landed history of Israel in the narrative books to follow (Joshua through Kings) and the prophets’ emotional speeches to the people and their leaders. In the words of G. Ernest Wright,"
"Torah, On the Book of Deuteronomy and Its Structure.8",the central purpose of Deuteronomy is to furnish Israel with a complete order of faith and life which is the prerequisite for a prosperous and secure existence on the God-given land. The historian [of the succeeding books] shows how Israel failed to keep it and what the consequences were.
"Torah, On the Book of Deuteronomy and Its Structure.9","It is in fact the monarchic setting that is commonly held to be the historical background to the compilation of Deuteronomy. While Moshe’s last days and the people’s being poised on the steppes opposite Jericho would certainly be a dramatic enough moment for our book’s speeches to occur, its language, style, and many of its concerns point to a later time in the history of Israel as a likely venue for at least a good part of its emotional appeal."
"Torah, On the Book of Deuteronomy and Its Structure.10","That time, in the opinion of most biblical scholars over the past two centuries, was the middle of the reign of King Josiah (ruled 640–608 <small>B.C.E.</small>) of Judah, the southern kingdom (Israel, the north, had been overrun by Assyria a century previously). The Assyrian Empire, dominant in the region for three hundred years, was on the wane, and Josiah took advantage of this decline of power to expand his kingdom northward. He also—at about the time of the death of Ashurbanipal, the last powerful king of Assyria—began a wide-ranging reform that consisted largely of destroying the local “high places” of pagan worship that had figured so prominently in the reign of his grandfather, the notorious Manasseh (ruled 687–642). II Kings 23 describes the purge in great detail, noting both places and priests that were now rendered inoperative in favor of the centralization of the cult in Jerusalem."
"Torah, On the Book of Deuteronomy and Its Structure.11",It is within this setting that Chapter  22 reports the dramatic discovery of a scroll “of the Torah.”
"Torah, On the Book of Deuteronomy and Its Structure.12","The high priest Hilkiah said to Shaphan the secretary, “I have found the book of the law in the house of the L<small>ORD</small>.” … Shaphan then read it aloud to the king. When the king heard the words of the book of the law, he tore his clothes. Then the king commanded … saying: “Go, inquire of the L<small>ORD</small> for me, for the people, and for all Judah, concerning the words of this book that has been found, for great is the wrath of the L<small>ORD</small> … because our ancestors did not obey the words of this book, to do according to all that is written concerning us.” (22:8, 10–13, New Revised Standard Version)"
"Torah, On the Book of Deuteronomy and Its Structure.13","What precisely were the contents of the “book” we do not know; but it is usually taken to have been some form of Deuteronomy. The rhetorical force of the newly discovered text must have been considerable, for its reported result was that the king"
"Torah, On the Book of Deuteronomy and Its Structure.14","directed that all the elders of Judah and Jerusalem should be gathered to him. … he read in their hearing all the words of the book of the covenant that had been found in the house of the L<small>ORD</small>. The king stood by the pillar and made a covenant before the L<small>ORD</small>, to follow the L<small>ORD</small>, keeping his commandments, his decrees, and his statutes, with all his heart and all his soul, to perform the words of this covenant that were written in this book. All the people joined in the covenant. (23:1–3)"
"Torah, On the Book of Deuteronomy and Its Structure.15","The connections between these passages and the style of Deuteronomy will be obvious to anyone who reads the book, and it seems clear that Josiah’s reforms are closely related to concerns expressed in Deuteronomy."
"Torah, On the Book of Deuteronomy and Its Structure.16","The Bible’s portrayal of this background does not necessarily mean that Deuteronomy was composed for the occasion, or even that it originated in Judah. Several scholars (notably Ginsberg) have remarked on connections to the northern kingdom of Israel (e.g., affinities to the prophet Hosea), and so it is possible that at least some of our book was a series of traditions brought south by refugees fleeing the Assyrian onslaught. In any event, the text of Deuteronomy addresses its audience with such emotional immediacy that it may safely be presumed that a crisis of major proportions loomed, and the opportunity presented itself for a large-scale revival—or redefinition—of Israel’s self-understanding. Similar crises later in Jewish history may have led to the editing and writing down (but not necessarily the composition) of other central texts, the Mishnah (c. 200) and the Babylonian Talmud (c. 450). Like these documents, and like the first four books of the Torah, Deuteronomy is written in such a way that it is difficult to pin down its precise background, which through additions and circumspection has been substantially obliterated. What is left to us are the many repetitions of “today” or “this day,” which signal the desire to make the “Instruction” contemporary for the audience, whoever and whenever that may be."
"Torah, On the Book of Deuteronomy and Its Structure.17","The net effect of this process of creation and development was to establish the Torah’s character as a text that shows signs of new life and new thinking within itself. Deuteronomy, by its inclusion as the final book of the five, officially began the practice of “explaining” (1:5) the traditions of Israel, and thus paved the way for the classic form of Jewish religious and intellectual activity: the interpretation of Scripture (cf. Fishbane 1988 for a definitive study on “inner-biblical exegesis,” interpretation that appears within the Bible itself and hence becomes a legitimate part of its traditions). This activity strongly influenced Christianity and Islam as well, and is still a part of religious discourse and development in the Western world."
"Torah, On the Book of Deuteronomy and Its Structure.18","In its overall structure, Deuteronomy breaks down fairly easily; but it is perhaps best understood in the light of comparative ancient Near Eastern material. Weinfeld’s lifetime of research has demonstrated the strong parallels between our book and certain Assyrian treaty texts (earlier Hittite texts have also been shown to be helpful in this regard; cf. Levenson 1985b for a useful summary). It is striking indeed that the Esarhaddon Treaty texts from the seventh century <small>B.C.E.</small>, which also produced the final form of Deuteronomy, seem to prefigure the basic structure of what Moshe lays out in the book: a historical overview, an exhortation to keep the covenant, the laws—particulars of the covenant, a series of blessings and curses following upon observance or nonobservance of the covenant, and a ceremony ratifying it. A similar pattern, in abbreviated form, may be observed in the Sinai covenant in Ex. 19–24."
"Torah, On the Book of Deuteronomy and Its Structure.19","Weinfeld points out that such covenants or treaties were two-sided, with the suzerain granting his vassals certain favors in return for “love” (= loyalty), and threatening dire consequences if that loyalty were to become suspect. What is fascinating about the parallels is not so much that they exist, but that here, apparently, a political model from a hated enemy has been assimilated and transformed into a positive religious-national one. Such transformative power seems to be characteristic of biblical culture, which probably reworked known stories and poems, among other genres, into genuine Israelite creations (the Flood narratives of Genesis and Psalm 29 are two fruitful examples of the process)."
"Torah, On the Book of Deuteronomy and Its Structure.20","Deuteronomy, then, focuses mainly on the relationship between God and Israel, a relationship that has been spelled out before (as in Exodus) but that forms in this book the very soul of the text. Every act that Israel performs as a community, and every one done by individuals, is to be seen in that light. As elsewhere in the Bible, breaking one of God’s rules means not merely a violation of a statute but an affront to the suzerain, the sovereign Lord, and thus a grave risk to society’s well-being and even to its very existence. And there is a unity of purpose and concept here: Gottwald summarizes the message of the book as “the indivisible unity of <i>one God</i> for <i>one people</i> in <i>one land</i> observing <i>one cult</i>” (italics his)."
"Torah, On the Book of Deuteronomy and Its Structure.21","Given the treaty pattern that we have just referred to, an outline of the book might proceed along the following lines:"
"Torah, On the Book of Deuteronomy and Its Structure.22",I   Historical Overview (Moshe as Narrator; 1–4:43)
"Torah, On the Book of Deuteronomy and Its Structure.23",A   Narrative of the Wilderness Journey (1–3)
"Torah, On the Book of Deuteronomy and Its Structure.24",B   Transition: Beginning of the Exhortation (4:1–40) and Addendum on Towns of Asylum (4:41–43)
"Torah, On the Book of Deuteronomy and Its Structure.25",II  Opening Exhortation (Moshe as Pleader; 4:44–11:36)
"Torah, On the Book of Deuteronomy and Its Structure.26",Looking Back to the Revelation at Sinai
"Torah, On the Book of Deuteronomy and Its Structure.27",III The Terms of the Covenant (Moshe as Lawgiver; 12–28)
"Torah, On the Book of Deuteronomy and Its Structure.28",A   The Laws (12–26)
"Torah, On the Book of Deuteronomy and Its Structure.29",B   Covenant Ceremony; Blessings and Curses (27–28)
"Torah, On the Book of Deuteronomy and Its Structure.30",IV Concluding Exhortation (Moshe as Pleader; 29–30)
"Torah, On the Book of Deuteronomy and Its Structure.31",Looking Ahead to Exile and Return
"Torah, On the Book of Deuteronomy and Its Structure.32",V  Final Matters (31–34)
