Index Title,Judaism Fossil.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.32","Nothing more clearly shows Mr. Toynbee’s intellectual dishonesty than his misrepresentation of “Deutero-Isaiah,” the prophet who created the immortal figure of “the Suffering Servant of the Lord.”<sup>8</sup><i class=""footnote"">Ibid., LIII.</i> In Christian belief and theology “Deutero-Isaiah” is the cornerstone of the prophetic testimony for the mission of Jesus. It is from the eternally living words of this Jewish prophet that Mr. Toynbee himself quotes in order to describe most adequately his own idea of the savior.<sup>9</sup><i class=""footnote"">VI/277-78.</i> In a sense, it would be even true to say that the prophet’s “Suffering Servant” is the key to the understanding of Mr. Toynbee’s <i>Study</i>. Nevertheless, when our author tries to determine the place of the same “Deutero-Isaiah” in Judaism and Jewish history, he calls him “a day-dreamer” who exposed himself “with a vengeance to the censure” of a psychoanalyst. One cannot help wondering what becomes of the christological testimony and Mr. Toynbee’s own savior, if a few sessions with a psychoanalyst might have been enough to cure “Deutero-Isaiah” of his “escapism.” Is “Deutero-Isaiah” a day-dreaming, anxiety-ridden neurotic only when he testifies against Mr. Toynbee’s pet theories? Does he become a divinely inspired witness and prophet only when he appears to fit into the Toynbean universe?"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.33",<b>2. T<small>HE</small> M<small>EANING OF THE</small> M<small>ACCABEAN</small> S<small>TRUGGLE AND OF THE</small> Z<small>EALOT</small> R<small>EBELLIONS AGAINST</small> R<small>OME</small></b>
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.34","Since Mr. Toynbee’s psychological version of Judaic development has no basis either in theology or in history, we shall discuss his interpretations of the Maccabean and Zealot attitudes as described by him on the basis of the premises of his theological version of Judaism."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.35","As already stated, the Maccabees were no creators in the realm of Judaism. Whether their policies were right or wrong, there never existed a “Maccabean Judaism” or a Maccabean “Church Militant.” What Mr. Toynbee is unable to understand is that Judaism has been embodied not in a church but in a people. In the history of a people, constituted by a religion, the mundane and religious elements cannot be neatly separated from each other. In the Maccabean wars, political freedom was the precondition of religious freedom. In view of the oppressive legislation of Antiochus Epiphanes, which forbade the practice of Judaism under penalty of death, Jews—if they wanted to remain Jews—had to be free. The military and political struggle subserved the religious purpose. That is the only conclusion one may draw from the records available. The Maccabees fought for liberty, imbued by the conviction, as Judah Maccabee put it, that as liberty “is a thing of itself agreeable to all men, so it proves to be to us much more desirable, by its affording us the liberty of worshipping God.”<sup>10</sup><i class=""footnote"">Josephus, <i>Antiquities of the Jews</i>, XII/7-3.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.36","Although with the Maccabees the religious motivation was more pronounced, probably with the Zealots under the Roman Empire the goal of national liberty was more in the foreground. But even with them it is hardly possible to separate the mundane plane of life from the religious. Describing the philosophy of the various sects among the Jews, Josephus says of the Zealots: “These men agree in all other things with the Pharisaic notions; but they have an inviolable attachment to liberty, and say, that God is to be their only Ruler and Lord.”<sup>11</sup><i class=""footnote"">Ibid., XVIII/1-6.</i> The thought that a servant of God calls no man his lord is deeply religious, and it is unlikely that either the Maccabees or the Zealots ever associated the idea of liberty with a “mundane” meaning, as Toynbee wants it."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.37","The Maccabean and Zealot wars had one important feature in common: they were provoked by insults to the basic religious convictions of Jewry and inspired by the threat to their spiritual survival. The Seleucid era in Judea began after the battle of Gaza. As early as 312 <small>B.C.E.</small> Jewry became the subject people of the Hellenized kingdom of Syria, but they never rebelled as long as there was no interference with their religious and spiritual life. About 150 years after the loss of political freedom to the Seleucids, the Maccabean revolt started when—by the order of Antiochus Epiphanes—an “abomination of desolation” was set up in the Temple of Jerusalem and the practice of Judaism was forbidden in all the land. The situation was rather similar at the time of the last Jewish rebellions against the yoke of the Roman Empire about three centuries later. The revolt of Bar Kokba broke out when Hadrian on the ruins of Jerusalem established his own city of Aelia Capitolina and on the place of the Temple of the One True God erected a temple of Jupiter.<sup>12</sup><i class=""footnote"">Dio Cassius, <i>Roman History</i>, LXIX, 12; quoted by Dubnow, <i>Weltgeschichte des Jüd. Volkes</i>, III/55.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.38","Even though the threat to Judaism was not as obvious at the moment of the actual beginning of the Zealot war with Rome, it was deeply embedded in the real causes of that insurrection too. The same generation of Jews that was driven, by the barbarity of the brigand procurators of the type of Antonius Felix and Gessius Florus,<sup>13</sup><i class=""footnote"">Josephus gives us a vivid description of the last of the Roman procurators, Gessius Florus (64-66): “… Gessius Florus, as though he had been sent on purpose to show his crimes to everybody, made a pompous ostentation of them to our nation, as never omitting any sort of violence, nor any unjust sort of punishment; for he was not moved by pity and never was satisfied with any degree of gain that came in his way; nor had he any more regard to great than to small acquisitions, but became a partner with the robbers themselves. For a great many fell then into that practice without fear, as having him for their security, and depending on him, that he would save them harmless in their particular robberies …” <i>Antiquities</i>, XX/11-1. Of Antonius Felix, a predecessor of Florus by four years (52-60), Tacitus says in his <i>History</i> (V/8-9): “… Antonius Felix, indulging in every kind of barbarity and lust, exercised the power of a king in the spirit of a slave.” At the end of his remarks about Felix, Tacitus continues with the significant statement: “Yet the <i>endurance</i> of the Jews lasted till Gessius Florus was procurator. In his time the war broke out.” In order to appreciate the kind of objectivity that distinguishes the historian Toynbee one has to compare what he has to say about the conduct of Rome in Judea with this testimony of the Roman historian, who—as is well known—was far from partial to the Jews. Whereas Tacitus acknowledges the vileness of the Roman provocation and recognizes the high degree of Jewish endurance and restraint, in a number of passages Mr. Toynbee is quite annoyed with the noble Romans who showed so much moderation towards the Jews (e.g., VI/201) and maintains that “the Romans, in their dealings with the Jews, exercised almost <i>super-human self-restraint</i> before the Zealots forced their hand …” in 66 C.E. and finally in 132. (VII/112) Tacitus is of course not unknown to Mr. Toynbee, but his testimony must be ignored for it provides no confirmation whatever for “the satanic emeute of the Jewish Zealots.”</i> to the revolt of despair, had still fresh in its memory two significant incidents that very nearly anticipated the Zealot war by twenty-five or thirty-five years. They still recalled the calculated insult to their religious faith by Pontius Pilate, who—breaking with established custom—displayed in Jerusalem the Roman military standards bearing the effigies of Caesar, which he removed only as the result of the determined resistance of the entire people. When, several years after Pilate’s procuratorship, the emperor Caligula insisted that his statue be set up in the Temple of Jerusalem and granted divine honors, the challenge to the survival of Judaism was no less serious than at the time of Antiochus Epiphanes. Only the death of Caligula (41 <small>C.E.</small>) averted, temporarily, the catastrophe that finally culminated in 66-69 <small>C.E.</small>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.39","Mr. Toynbee makes light of these manifestations of the faith-inspired resistance of Jewry during the Maccabean and Zealot wars. He does not mention them when he builds his theory of the “transformation” of Judaism in a political instrument in a mundane struggle. He refers to them under the incongruous heading. “The Utility of a Monetary Currency as a Medium for Governmental Propaganda.” Having mentioned the indignation of the Jews at the placing of the statue of the Olympian Zeus in the Holy of Holies of the Temple of Jerusalem, which did not allow them “to rest until they had thrown off every vestige of Seleucid rule”; and having also noted the vehement reaction to Pontius Pilate’s smuggling of the Roman military standards into Jerusalem under the cover of darkness, Toynbee continues: “Yet in their holy land the Jews had schooled themselves meekly, not only to seeing, but to handling, using, earning, hoarding, and by all these compromising actions progressively countenancing, the abominable image on Caesar’s coinage, and had thereby anticipated in action the observation of their future Roman chastiser Vespasian that sordid money does not smell.” In order to catch a good glimpse of the Toynbean mentality, one should read this passage from the <i>Study</i><sup>14</sup><i class=""footnote"">VII/314-15. The reference is to the following passage from Suetonius. <i>The Lives of the Twelve Caesars</i> (quoted here after the Modern Library edition, p. 335): “When Titus found fault with him for contriving a tax upon public toilets, he held a piece of money from the first payment to his son’s nose, asking whether its odor was offensive to him. When Titus said ‘No,’ he replied, ‘Yet it comes from urine’.” Mr. Toynbee obviously has a delicate sense of humor, for which the late Julius Streicher, gauleiter of Bavaria and editor of the <i>Stuermer</i> might well have envied him. Strangely enough, his sense of humor deserts him when, only a few pages further on (ibid., 339), he describes the same kind of “Jewish” attitude adopted by the primitive Christians toward the worship of Caesar. They refused to serve in the Roman army, though not for long, because they objected, among other things, to “the worship of the Emperor’s genius and offer of sacrifice to it, and the veneration of military standards as idols.” One wonders what the primitive Christians used for money: or, since they did not school themselves to <i>seeing, handling, using, earning, hoarding</i> it—which, as is well known only Jews would do—did they perhaps overlook the fact that the image, as abominable to them as to the Jews, was on Caesar’s coin?</i> together with what a Prussian historian has to say on the same subject. In an essay on the “Ghetto and Jews of Rome,” Ferdinand Gregorovius makes the following observation:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.40","Caligula had special grounds for his bitterness against the Jews. He had conceived the idea of having a colossal statue of himself in the character of a god set up in the Holy of Holies of the Temple at Jerusalem, for he had learned that the Jewish people alone among the nations of the earth had refused to grant him divine honors. He issued orders to Petronius, the governor of Phoenicia, to have the statue set up. Thereupon, as Josephus and Philo relate, all Judea, men, women, children, and the aged, betook themselves to Phoenicia. They covered the country like a cloud, and so loud was their lament that even when it ceased its echoes reverberated through the air. They threw themselves upon their knees before Petronius and adjured him to slay them all, weaponless as they were: they would never suffer the sanctuary of God to be desecrated. The scene represents one of the most magnificent tragedies a people has ever experienced, and the moral resistance they offered to Caligula is one of the most admirable episodes in the history of the Jewish people, shedding more glory upon them than the greatest achievements of David and Solomon.<sup>15</sup><i class=""footnote"">The essay is found in Gregorovius’ <i>Wanderjahre in Italien;</i> it was written in 1853. An English translation of the essay alone was published by Schocken Books, New York, in 1948. Our quotation is from that edition, page 31; italics ours.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.41","This episode, which so deeply impressed a Petronius that he implored Caligula to rescind his order and in which the Prussian historian admires the magnificent tragedy of moral resistance, moves Mr. Toynbee only to a scurrilous anti-Semitic joke. Our main concern is, however, with his falsification of history in this connection. He asserts that the reason for the toleration of Judaism as compared with the persecution of Christianity under Nero and his successors was that the Christians refused “to accept the Government’s claim that it was entitled to compel its subjects to act against their consciences.” Similarly, he maintains that the subjects and peoples of the Hellenic universal state, out of a sense of gratitude for peace and unity, “without much heart searchings” acquiesced in the deification of the Caesars; it was only with the advent of Christianity that the concept was challenged.<sup>16</sup><i class=""footnote"">V/648 and VI/201-02.</i> The truth is, as we have seen, that it was the Jewish people of the Seleucid and Roman empires who alone among all the nations refused to accept any dictation to their conscience and resisted any suggestion of Caesaro-worship. This was the common religious inspiration of the Maccabean and Zealot periods in Jewish history, whether the fight against the oppressor of their conscience was conducted with or without weapons. The primitive Christians were following the Jewish example.<sup>17</sup><i class=""footnote"">Even Toynbee cannot help acknowledging this, at least by implication, when (in a footnote, VI/181-2,3) he mentions Philo’s magnificent tribute to Augustus. There he says: “Yet this Jewish enthusiast for Augustus and his work would have rejected as a shocking blasphemy any suggestion that he should express his gratitude towards a human saviour by paying him those divine honours that, in Philo’s belief, were payable exclusively to the One True God.”</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.42","Since, contrary to all proof, Mr. Toynbee tenaciously clings to his “mundane” version of the Maccabean wars, he does not understand the nature of the Maccabean accomplishment. It is true that if the Maccabees had been concerned with the restoration of a “mundane” national kingdom, their success would have been short-lived and effaced by the final defeat at the hands of the Romans. As it was, the Maccabean victories brought about the defeat of Antiochus Epiphanes and, through it, the defeat of the Hellenic temptation for the Jewish soul. The Maccabees conquered Jewry for Judaism and, without them, it is doubtful whether Christianity would even have had a chance to be born. Because the Maccabean victory was essentially accomplished within the Jewish soul, the material conquest of Zealot Jewry by Rome on the battlefield could not undo the Maccabean achievement. Mr. Toynbee is perfectly right in his condemnation of the forcible conversion of some Gentiles by one or two of the Hasmonean princes. It might have helped him to understand the significance of that episode for Jewry and Judaism, had he followed the method of Jewish historians and distinguished the Maccabean period from the Hasmonean. The Maccabees were <i>the people</i> under the leadership of a family that emerged from the midst of the people; the Hasmoneans were a dynasty that became more and more estranged from the people and their recognized leaders, the Pharisees. Imitating the petty potentates around them, they degenerated at times into a tyranny. For instance, Alexander Jannai—the only Hasmonean whom Mr. Toynbee mentions by name—was probably more ruthless in his long civil wars, fought with foreign mercenaries against his own people, than in his foreign wars against neighboring Gentile nations. The religious conversions undertaken by some Hasmoneans were dictated by their personal dynastic policies; they occurred in two dangerous frontier districts for the purpose of military safety. To see in these Hasmonean princes representatives of Judaism, and in their policies the manifestation of Jewish religious intolerance, is about as justified as, for example, to see Henry VIII as a paragon of Christianity, and his marital affairs as a change in the Christian ethos.<sup>18</sup><i class=""footnote"">Henry VIII of England was of course much more representative of Christianity than the Hasmonean princes, under discussion, were of Judaism. The Tudor king did establish a specific branch of the Church in Christendom, whereas Hyrcanus, Aristobolus, and Alexander Jannai were without any influence on Judaism.</i> In footnotes and annexes Mr. Toynbee occasionally allows his readers a fleeting glance at the truth, which he distorts and falsifies in his main text; and so he grants the Pharisees the credit “that they did not let themselves drift with the tide of popular feeling, but parted company with the Maccabees just when, and just because, the Maccabees put their treasure in the establishment of an earthly kingdom.”<sup>19</sup><i class=""footnote"">VI/122, footnote 2.</i> This is the closest Mr. Toynbee ever gets to the acknowledgment of the truth. The Pharisees did part company with some of the Hasmonean princes, and particularly with Alexander Jannai, for the reasons indicated; they did not part company with the Maccabees. When the Pharisees broke with the Hasmonean dynasty, with them went the people. This, however, is again another aspect of history to which a man whose only sources on Judaism are the New Testament and Eduard Meyer dare not open his eyes."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.43",<b>3. T<small>HE</small> E<small>THOS OF</small> J<small>UDAISM IN THE</small> M<small>ACCABEAN AND</small> Z<small>EALOT</small> P<small>ERIODS</small></b>
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.44","During his lengthy and repetitive discussion of the Maccabees and the Zealots, Mr. Toynbee pretends that these were the leaders and teachers in Judaism and that what they represented was the Judaic ethos. If they fought in wars, then war is consecrated by Jewish tradition<sup>20</sup><i class=""footnote"">VII/341.</i>; if Hasmonean princes converted some Gentiles by force, then “a fanatical religious intolerance” is the very essence of Judaism. Nothing is more characteristic of this intellectual perversion than Mr. Toynbee’s cherished contrast between the gentleness of Jesus and the militancy of a Theudas or a Judas of Galilee. He elaborates on it, he comes back to it again and again; it typifies for him the two ways in history, exemplified by Christian gentleness and Judaic violence.<sup>21</sup><i class=""footnote"">See, e.g., I/288, footnote 3; V/78 and 382.</i> But who were Theudas and Judas of Galilee? What was their place in Judaism and its history? Like hundreds of others of their generation, they were patriots, who in the parlance of all oppressors and their Herodian underlings against whom patriots ever revolted in history, were referred to as brigands. Theudas and Judas owe their notoriety mainly to the fact that they are mentioned in the New Testament. But what a comparison for an historian to make—between Jesus and the Jewish Robin Hood or Davy Crockett! Here gentle Christianity—there violent Judaism!"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.45","The recognized teachers and interpreters of Judaism, who in most cases were also the leaders of Jewry, their teachings, their philosophy, their religious and ethical tenets, their manner of life and death—all are completely ignored by Mr. Toynbee. The friendliest thing one may say about him is that he is an ignoramus. If he had obtained a Jewish prayer book and turned to the section which contains a part of the Mishnah which is normally translated as “Ethics of the Fathers,” he would have found the names of the outstanding leader and teacher of each generation of Jewry, beginning with the Seleucid era and concluding with the time of the Hadrian persecutions, which followed the Bar Kokba debacle. The chain of tradition outlined in the first chapter covers the entire period which is interpreted by Mr. Toynbee. The few dicta handed down there in the names of the leading teachers of Israel might have helped our author to gain some slight inkling of the spirit of Judaism in the Maccabean and Zealot phases of Jewish history."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.46","At the opening of the Seleucid era he would have come across the adage by Simon the Just, the High Priest, that the world was based on three things: the Torah, religious worship, and the practice of loving-kindness. At the end of the entire era under survey stands the figure of Rabban Simon ben Gamliel, the head of the Sanhedrin, who died a martyr’s death during the Hadrianic persecutions. One of his maxims, a variation on the theme of Simon the Just, stated that the world was preserved by three things: by truth, by justice, and by peace. “As it is said: execute the judgment of truth and peace in your gates.”<sup>22</sup><i class=""footnote"">Zechariah, VIII/16.</i> Concerning the mundane expectations of Jewry, Mr. Toynbee might have pondered over the teaching of Antigonos of Socho, a disciple of Simon the Just, who said of the service of God: “Be not like servants who minister to their master upon the condition of receiving a reward; but like servants who minister to their master without the condition of receiving a reward.”<sup>23</sup><i class=""footnote"">According to another version: “… but like servants who minister to their master on condition of receiving no reward.” The consistency of the Jewish ethos on this point is nobly illustrated by the Hassidic anecdote concerning the saintly Dov Baer of Mezritch. In his early years, the Maggid lived in great poverty with his young wife. When their child was born, he did not have the penny for which the midwife asked in order to buy some camomile tea for the baby. In his sorrow, out of pity for his child, the Maggid gave a sigh, whereupon he heard a voice say to him: “You have lost your share in the Coming World.” In his answer the Maggid exclaimed: “…. the reward has been done away with. Now I can begin to serve in good earnest.” See Martin Buber, <i>Tales of the Hasidim, Early Masters</i>, pp. 98-99. Schocken Books, New York, 1945.</i> Concerning the authentic Judaic attitude toward Herod and Herodianism, Mr. Toynbee might have consulted the policy statement of Shemayah, one of the leaders of the Pharisees, the teacher of Hillel, the man who with dignity and courage stood up to the Hasmonean king Hyrcanus and the young but already powerful Herod, when the latter was accused in the Sanhedrin of murder. It is the same Shemayah who advised the people of Jerusalem to admit Herod peacefully to the capital, when Herod together with Sosius besieged Jerusalem, but under whose guidance the Pharisees refused to take the oath of loyalty to Herod, the King by the grace of Rome.<sup>24</sup><i class=""footnote"">See Josephus, <i>Antiquities of the Jews</i>, XIV/9-4, XV/1-1 and 10-4.</i> The Judaic attitude toward the times and their problems was expressed by Shemayah and preserved in the first chapter of the “Ethics of the Fathers”: “Love work, hate lordship, and seek no intimacy with the mundane authority.” Concerning the Jewish ethos of militancy, Hillel, the great disciple of the great master, might have provided Mr. Toynbee with some useful information. His maxim was: “Be of the disciples of Aaron, loving peace and pursuing peace, loving thy fellow-creatures, and drawing them near to the Torah.”"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.47","While these few maxims do throw some light on the subject which Mr. Toynbee discusses with such impressive pretense of authority, they are like a drop in the ocean compared with the full extent of the Judaic teaching of the Maccabean and Zealot periods. Mr. Toynbee, however, is not a perfect ignoramus on the subject of the Judaism of those days. His claim to perfection is marred by one quotation from the sayings of Rabbi Johanan ben Zakkai. After the destruction of the Temple, Rabbi Johanan comforted his disciple, Rabbi Joshua, that the practice of loving-kindness was equal to the Temple service in propitiating for the sins of Israel. But, as often, a little knowledge is more dangerous than none. Having quoted the above saying from a second-hand source, Mr. Toynbee proceeds to base on it another one of the theories of his fertile imagination: “In act and word Johanan ben Zakkai was proclaiming his <i>conversion</i> from the way of Violence to the way of Gentleness; and through this conversion he became <i>the founder of a new Jewry</i> …”<sup>25</sup><i class=""footnote"">V/75, italics ours.</i> Nothing could be further from the truth. Mr. Toynbee’s only justification for mentioning the “conversion” of Rabbi Johanan ben Zakkai is his own misrepresentation of Judaism as “a way of Violence.” Had our author taken even one glance at the original source from which his informants quote, he might have understood that the Rabbi was the head of the peace party in besieged Jerusalem.<sup>26</sup><i class=""footnote"">Aboth de Rabbi Nathan, VI/5.</i> The suggestion that Rabbi Johanan was “the founder of a new Jewry” is an utterly unjustified invention. He lived and taught in the spirit of his great master Hillel, with whom his personal relationship was one of touching mutual love and respect. On his sick bed the old, perhaps dying, Hillel called Rabbi Johanan, who was the youngest among his disciples, “Father of Wisdom and Father of his Generation.”<sup>27</sup><i class=""footnote"">Talmud Yerushalmi Nedarim, V/6.</i> And, when the disciple was later recognized by all as the “Father of the Generation,” he extolled the greatness of his masters by declaring, with self-effacing modesty, that all his wisdom he received from his masters; yet it compared to what they possessed as the amount of water that a fly, which dips into the sea and flies away again, takes away from the ocean.<sup>28</sup><i class=""footnote"">Talmud Babli, Succah, 28.</i> The very quotation Mr. Toynbee takes from the teachings of Rabbi Johanan ben Zakkai proves the continuity of the Judaic ethos throughout generations; for the Rabbi used for the “bestowal of kindness”—or the practice of loving-kindness—the same Hebrew expression that had been used, four centuries earlier, by Simon the Just, when he said that it constituted one of the foundations of the world.<sup>29</sup><i class=""footnote"">In fact, the Talmudic source quotes Rabbi Johanan ben Zakkai in fuller explanation of the phrase used by Simon the Just. The idea that “loving-kindness” was greater than sacrifice had been taught by the Pharisees—following the prophetic tradition—before Rabbi Johanan ben Zakkai. Rabbi Johanan ben Zakkai, being a contemporary of the fall of Jerusalem, was the first to use it as a thought of comfort at a moment of despair. On this point see, e.g., Leo Baeck, <i>The Pharisees and Other Essays</i>, Schocken, New York.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.48","While there may be some excuse for ignorance, there is none for intellectual dishonesty. When Mr. Toynbee discusses the reactions of Jewry to the impact of the Roman Empire, he acknowledges only “Herodianism” and “Zealotism.”<sup>30</sup><i class=""footnote"">VIII/580.</i> Characteristically, however, he does mention the existence of a strong peace party in Jerusalem when one would least expect it—in the chapter on “The Psychological Consequences of Atomic Warfare!” When he there discusses the possibilities of “heroism which is beyond Reason because it is above it,” he cannot suppress the example of Jewry in the years of their wars against the Roman Empire. In order to impress upon his readers the satanic addiction of Jewry to violence, Mr. Toynbee has underscored the obvious hopelessness of the Zealot reaction to Rome. But here, surely, was a fine example of “heroism which is beyond Reason because it is above it”; and a Jewish reader prepares himself to get—for a change—a few words of praise for his distant ancestors. He is mistaken again. For Mr. Toynbee hastens now to unearth the peace party and says: “It is, however, significant that in Jerusalem … a <i>majority</i> of the besieged would have countenanced overtures for forestalling extermination by surrender, if they had not been <i>terrorized by a minority of fanatics</i> into participating in these Zealots’ suicidal heroism.”<sup>31</sup><i class=""footnote"">IX/521.</i> The Zealots in their violence are identical with Jewry; in their heroism they are only “a minority of fanatics.” As a matter of principle, Mr. Toynbee always acknowledges the truth—when to ignore it might be more flattering to Judaism and Jewry than to recognize it. He does not recognize the philosophy of the peace party as one of the Jewish attitudes at the time of the crisis. Yet, it is within the peace party that Mr. Toynbee would have found the teachers of Jewry and interpreters of Judaism, the majority of the Pharisees together with the majority of the besieged."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.49",<b>4. E<small>THOS AND</small> M<small>ILITANCY</small></b>
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.50","Nothing could be less justified than the Toynbean contrast between the gentle Christian response and the violent “Judaic” one. Not only does he ignore the life and teachings of the recognized interpreters of Judaism, and the implementation of their ethos in the policies of a strong peace party, but he covers up the important point that the Christian response to the challenge of the times, the response of Jesus and his disciples, as well as that of the Christian apostle Paul, was in reality part of the Jewish response. This was not only because the founders and the apostles of Christianity were themselves Jews, but mainly because their ethos of gentleness was deeply embedded in the prophetic and Pharisaic tradition of the Jewry whose children they were too. It was the Jewish prophet Isaiah through whom the message of God was conveyed to Israel: “In sitting still and rest shall ye be saved, in quietness and in confidence shall be your strength….”<sup>32</sup><i class=""footnote"">Isaiah, XXX/15.</i> To Zerubbabel, whose activity—in the Toynbean distortion—is to create the nucleus of the mundane world empire of the Messiah, the charge is: “This is the word of the Lord unto Zerubbabel, saying: ‘Not by might, nor by power, but by My spirit, saith the Lord of hosts.’ ”<sup>33</sup><i class=""footnote"">Zechariah, IV/6.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.51","The fact that gentleness is not surrender, but rather the answer to a challenge on the spiritual plane, is fully realized by Mr. Toynbee. The Spirit of the Lord is itself the most powerful weapon. Thus he tells us, for example, that Paul “seizes upon all the noble and glorious connotations of War” in order to convey, “in a chain of military metaphors, the more ethereal glory and nobility of the Christian life.” Mr. Toynbee also maintains that “this use of military metaphor in the Epistles of Saint Paul is the <i>first step</i>—and a long one—towards a transfiguration of the word ‘War’ from a physical to a spiritual meaning.”<sup>34</sup><i class=""footnote"">IV/650 and footnote 1 ibid.</i> The truth is that, far from taking the “first step,” the Christian apostle only reflects the unsurpassed pronouncements of the Jewish prophets. Toynbee’s quotation is from the Second Epistle to the Corinthians:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.52","Though we walk in the flesh, we do not war after the flesh (for the weapons of our warfare are not carnal, but mighty through God to the pulling down of strongholds): casting down imaginations, and every high thing that exalteth itself against the knowledge of God, and bringing into captivity every thought to the obedience of Christ."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.53",To a Jewish ear the passage sounds like good orthodox Jewish teaching. Without the one reference to “obedience of Christ”—which may easily be replaced by “obedience of God”—it might pass for a Pharisaic comment on such verses from the prophets as these:
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.54","Behold, I have put My <i>words</i> in thy mouth;"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.55","See, I have this day set thee over the nations and over the kingdoms,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.56","To root out and to pull down,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.57",And to destroy and to overthrow;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.58","To build, and to plant.<sup>35</sup><i class=""footnote"">Jeremiah, I/9-10.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.59","Since the words are addressed to the one solitary man, Jeremiah, who is set up over nations and kingdoms, it is obvious that his weapons are but the words of God in his mouth—a fact so tragically confirmed by the prophet’s consequent life of suffering and sorrow."
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.60","But the mightiest step “towards a transfiguration of the word ‘War’ from a physical to a spiritual meaning” had been taken eight centuries before Paul, by Isaiah, who in his immortal Messianic vision said of the shoot that shall come forth “out of the stock of Jesse”:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.61","And the spirit of the Lord shall rest upon him,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.62","The spirit of wisdom and understanding,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.63",. . . . . . .
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.64","And he shall smite the land with the <i>rod of his mouth</i>,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.65",And with the <i>breath of his lips</i> shall he slay the wicked.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.66","And <i>righteousness</i> shall be the <i>girdle of his loins</i>,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.67",And<i> faithfulness</i> the <i>girdle of his reins</i>.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.68","The Judaic transfiguration of war into conquering spiritual potency on earth is completed by the vision of universal reconciliation and eternal peace, when the Jewish prophet concludes:"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.69","And the wolf shall dwell with the lamb,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.70",And the leopard shall lie down with the kid;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.71",And the calf and the young kids and the fatling together;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.72",And a little child shall lead them.
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.73",. . . . . . .
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.74",They shall not hurt nor destroy
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.75",In all my holy mountain;
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.76","For the earth shall be full of the knowledge of the Lord,"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.77","As the waters cover the sea.<sup>36</sup><i class=""footnote"">Isaiah, XI.</i>"
"Judaism Fossil., 1, the Tribal Deity and “deutero Isaiah.78","Beyond this, no further steps are needed toward the “transfiguration of the word ‘war’ ”—nor have they ever been taken by anyone."
